Timestep,C7,CLAV,IMUL_L,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_R,RILC,RHEE,IMUL_M,IMUR_M,LTHII,RTHII,IMUR_B,,x81,x82
All Timesteps RMSE,0.0154906,0.00959439,0,0,0.0285527,0.0242245,0.0141406,0.00920016,0,0,0.0162423,0,0.0162508,0.00467123,0.0378956,0.0290285,0.0216797,0.0121272,0.0125354,0.0291989,0.0155611,0.0146401,0.0342715,0.0141863,0.0145059,0.0138472,0.0405035,0.0402368,0.0239756,0.0171673,0.00272308,0.0400358,0.01129,0.0432669,0.0132164,0.0162842,0,0,0.0148255,0,0.01134,0.00871983,0.0857171,0.0269055,0.0148567,0.0147269,0.0207035,0.0282512,0.026808,0.0348121,0.0281023,0.0334433,0.0379241,0.0449064,0.0104764,0.015454,0.0104731,0.0110975,0.0151213,0,0,0,0,0,0,0,0,0,0.084415,0.0554784,0,0,0.0131427,0.256416,0,0,0,0
0,0.0387563,0.032684,0,0,0.0257137,0.0259948,0.0150782,0.0227529,0,0,0.024692,0,0.0142329,0.00973441,0.0277554,0.0150914,0.0323385,0.0204173,0.0144646,0.0550411,0.016107,0.0174212,0.03035,0.0231567,0.0199045,0.0216435,0.0530072,0.0302861,0.0327694,0.0153669,0.0040725,0.0542055,0.0182999,0.0514551,0.0397417,0.0443469,0,0,0.0406653,0,0.0150387,0.0195412,0.114823,0.0461508,0.0566232,0.0443214,0.00948186,0.0215433,0.0231742,0.022065,0.0296965,0.0182896,0.0333189,0.0494669,0.0126735,0.0208219,0.0124363,0.0405817,0.0414257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0405236,0.0337848,0,0,0.026581,0.026408,0.0157072,0.0227187,0,0,0.0251049,0,0.0138761,0.00940503,0.0291355,0.0176441,0.0330169,0.0201684,0.013221,0.0564583,0.0153003,0.0162897,0.0310471,0.0238428,0.0199829,0.0217191,0.0534616,0.031132,0.0331792,0.0153228,0.00448429,0.0857933,0.0184937,0.0584055,0.0423185,0.0465575,0,0,0.0415327,0,0.0153073,0.018482,0.112779,0.0375146,0.0579791,0.0456214,0.0130964,0.0261421,0.0252442,0.0359608,0,0.0427032,0.0317937,0.100495,0.0132143,0.0213626,0.0125563,0.0414871,0.0434965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0359673,0.0312403,0,0,0.0293499,0.0267877,0.0147849,0.022525,0,0,0.0246428,0,0.0140131,0.00883991,0.0282648,0.0189351,0.0325675,0.0223932,0.0152814,0.0527986,0.0147096,0.0149013,0.0313627,0.0223641,0.0185852,0.0203332,0.0525063,0.0333088,0.0322198,0.015381,0.00477935,0.0524625,0.0185037,0.050209,0.0401602,0.0418178,0,0,0.0403753,0,0.0154781,0.0182619,0.114423,0.0439644,0.0574282,0.0427856,0.0101043,0.0225345,0.0226728,0.021368,0.0292216,0.0188545,0.0330278,0.0489313,0.0127576,0.0208672,0.0126055,0.0388782,0.0385448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0351634,0.0308386,0,0,0.0322083,0.0269923,0.0143735,0.0229264,0,0,0.024969,0,0.0137537,0.0086684,0.0285842,0.0219563,0.033042,0.023661,0.0156053,0.0519799,0.0133044,0.0128697,0.0324145,0.0212979,0.0175107,0.019425,0.052235,0.0364195,0.0321244,0.0153708,0.00506341,0.0508832,0.0185538,0.049011,0.0397575,0.0414357,0,0,0.0398975,0,0.0156463,0.0188725,0.114101,0.0423897,0.058005,0.0428889,0.0102991,0.0231955,0.022002,0.0209198,0.0288801,0.0188532,0.0328388,0.0484923,0.0125405,0.020704,0.0125847,0.0385457,0.0376529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0348969,0.030446,0,0,0.0352238,0.0269958,0.0147345,0.0235657,0,0,0.0251504,0,0.0135074,0.00855428,0.0291065,0.0255496,0.0336671,0.0245899,0.015965,0.0518237,0.0118332,0.0107086,0.0336266,0.0200148,0.0162907,0.0184592,0.0522086,0.0403093,0.0322024,0.0152943,0.00511009,0.0490555,0.0185324,0.0476097,0.0394009,0.0412442,0,0,0.0394768,0,0.0155996,0.0186297,0.113806,0.0406359,0.0585656,0.0426121,0.0103564,0.02381,0.0212017,0.0205944,0.0284271,0.0189099,0.0327093,0.0477799,0.0124133,0.0206829,0.0124043,0.0380274,0.0372365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0335755,0.0301807,0,0,0.0374401,0.0272549,0.0162073,0.0246923,0,0,0.0254645,0,0.0134455,0.00843967,0.0297613,0.0292812,0.0344331,0.0243786,0.0164678,0.0505282,0.0105539,0.00891101,0.0346555,0.0187518,0.0156164,0.0176911,0.0522077,0.0427099,0.0322185,0.0153042,0.00532065,0.0471572,0.0185149,0.0459669,0.0390683,0.0401629,0,0,0.0391878,0,0.0156684,0.0186629,0.113397,0.0384172,0.0595172,0.0423399,0.01035,0.0242826,0.0201523,0.0202253,0.0279513,0.0190473,0.0325487,0.0472026,0.0124625,0.0206151,0.0123883,0.0372568,0.0356349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0331668,0.0298879,0,0,0.0392072,0.0273658,0.0179546,0.0255771,0,0,0.0257546,0,0.0136762,0.00848392,0.0305829,0.0330499,0.0352289,0.022288,0.0165952,0.0498673,0.00983533,0.00791116,0.0348734,0.0179908,0.016431,0.0173961,0.0522634,0.0442394,0.0321613,0.0153775,0.0053525,0.0449266,0.0184071,0.0442697,0.0388463,0.0398698,0,0,0.0386837,0,0.0155392,0.0179701,0.11297,0.0360472,0.0599682,0.0419825,0.0102324,0.0245235,0.0188502,0.0200301,0.0273387,0.0193194,0.0325005,0.0464862,0.0122496,0.0205834,0.0123583,0.0367222,0.0350122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0317019,0.0292358,0,0,0.0396573,0.0276456,0.0188568,0.0266298,0,0,0.0262778,0,0.0134877,0.00863435,0.0312488,0.0362533,0.0361769,0.0192556,0.0166925,0.0479753,0.00927967,0.00739522,0.0342766,0.018207,0.0176657,0.0175238,0.0521203,0.0440514,0.0325402,0.0153653,0.00545408,0.0421536,0.0183448,0.0421833,0.0386192,0.0384227,0,0,0.0383451,0,0.0154869,0.017672,0.112372,0.0332704,0.0604113,0.0408478,0.00987461,0.0244808,0.0173454,0.0198924,0.0266549,0.0195547,0.0323861,0.0457388,0.0123779,0.0203155,0.0123497,0.0359617,0.0332609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.031482,0.0287462,0,0,0.0395393,0.027642,0.0190068,0.0273481,0,0,0.0263673,0,0.0131541,0.00863085,0.0316846,0.0386977,0.0370285,0.0165972,0.0164071,0.047363,0.00881915,0.00722846,0.0332946,0.0187116,0.0185252,0.0178589,0.0517719,0.0437744,0.0331422,0.0152848,0.00542388,0.0391738,0.0182941,0.0414997,0.0383918,0.0382876,0,0,0.0377569,0,0.0153276,0.0171336,0.111837,0.0306248,0.0603988,0.040306,0.00922071,0.0242582,0.0159456,0.0207406,0.0252201,0,0.0333806,0.0439132,0.0121711,0.0201728,0.0121101,0.0356431,0.0330516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0285314,0.0277229,0,0,0.0390437,0.0279776,0.0187254,0.0279894,0,0,0.0272327,0,0.0127013,0.00903555,0.0317762,0.0404878,0.0376873,0.0158102,0.0159099,0.0440838,0.00830432,0.0071454,0.0327209,0.0189336,0.0186965,0.0181046,0.051205,0.0427374,0.0319739,0.0152397,0.00589981,0.0343497,0.0183017,0.037624,0.0379659,0.0347997,0,0,0.0375847,0,0.0152576,0.0170121,0.111264,0.0267092,0.0599383,0.0372951,0.00830524,0.0244548,0.01368,0.0203933,0.0250308,0.0206222,0.0327624,0.0425983,0.0127279,0.0199284,0.0120759,0.0340132,0.0300545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0273502,0.0274957,0,0,0.0391093,0.0281323,0.0186943,0.0285214,0,0,0.026971,0,0.0125884,0.00945538,0.0315558,0.0422395,0.0380936,0.0174191,0.0156401,0.040861,0.00842902,0.00828958,0.0326224,0.0186136,0.018679,0.0180361,0.0502686,0.0428377,0.0297555,0.014803,0.00623845,0.0309655,0.0182219,0.0348833,0.0381832,0.0345282,0,0,0.0369512,0,0.0143974,0.0169477,0.110712,0.0226946,0.0592687,0.0377616,0.00655937,0.0247538,0.0106296,0.0207326,0.0238725,0.020968,0.0327372,0.0420614,0.0120427,0.0197695,0.0120561,0.0336767,0.0288198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.0288723,0.0278307,0,0,0.0378288,0.027947,0.0187184,0.0285006,0,0,0.0270372,0,0.0125777,0.00925158,0.0316677,0.0438188,0.0377959,0.0195102,0.0145857,0.0430894,0.00851354,0.00931435,0.0328465,0.0186326,0.0186043,0.0185939,0.0502847,0.0404328,0.0307313,0.0152577,0.00594724,0.0282207,0.0180761,0.0313111,0.0376787,0.0358575,0,0,0.0363098,0,0.0151842,0.0166899,0.110485,0.0205876,0.0592437,0.0375152,0.00688843,0.0249933,0.00948817,0.0211801,0.0226898,0.0205853,0.0321691,0.0432084,0.0118029,0.0195416,0.0118313,0.0339377,0.030881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0295805,0.0280227,0,0,0.0352456,0.0278638,0.0181103,0.0284843,0,0,0.0271498,0,0.0125388,0.00924225,0.0317328,0.0443616,0.0372504,0.0212579,0.0137214,0.0432903,0.00953127,0.0100767,0.0330529,0.018838,0.0183218,0.0187777,0.0497396,0.0370444,0.0304319,0.0152924,0.0059231,0.0260243,0.0179497,0.0283879,0.0376138,0.0370362,0,0,0.0354832,0,0.0151981,0.0164984,0.110131,0.0183172,0.0586417,0.0380976,0.00647949,0.0257137,0.00743398,0.0218578,0.0215135,0.020573,0.0317799,0.0445058,0.0113164,0.0192756,0.0117331,0.0340649,0.0316427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.00598531,0.00479966,0,0,0.0341982,0.0238858,0.0165012,0.0095861,0,0,0.0176628,0,0.0172338,0.00460829,0.0419124,0.0456383,0.022012,0.0156322,0.0135382,0.0202073,0.0171777,0.0169384,0.0370172,0.0167682,0.0180111,0.0171407,0.0499314,0.0397986,0.0227008,0.0170629,0.00249231,0.00858062,0.0136908,0.022017,0.00787616,0.00594073,0,0,0.0168753,0,0.012626,0.00838904,0.0834344,0.0152462,0.00592407,0.0133859,0.0169699,0.0201009,0.0195763,0.0210255,0.0175774,0.0189974,0.0259042,0.037503,0.013875,0.0119418,0.00940426,0.00626311,0.00660147,0,0,0,0,0,0,0,0,0,0.086643,0,0,0,0,0,0,0,0,0
14,0.0054097,0.00479069,0,0,0.0300123,0.0237873,0.0154904,0.00942411,0,0,0.0174224,0,0.0171677,0.00461553,0.0422639,0.044985,0.0218984,0.0136129,0.0124543,0.0202434,0.0170558,0.0158705,0.0367589,0.0161696,0.0173167,0.0163026,0.0486518,0.0354034,0.0221247,0.0170997,0.00249038,0.00978099,0.0135345,0.0215235,0.00705392,0.00513151,0,0,0.0162349,0,0.0125246,0.00837716,0.0832134,0.0172383,0.00539747,0.0134218,0.0162835,0.0210929,0.0194946,0.0219038,0.0163547,0.0188574,0.0254598,0.0401606,0.0137951,0.0119554,0.00932964,0.00631782,0.00582704,0,0,0,0,0,0,0,0,0,0.0867423,0,0,0,0,0,0,0,0,0
15,0.00511032,0.00483666,0,0,0.0255711,0.0237273,0.0145469,0.00938142,0,0,0.0167834,0,0.0170556,0.00463597,0.0423891,0.0439799,0.0218832,0.0107891,0.0115173,0.02018,0.0159891,0.0149886,0.036588,0.0153451,0.0164478,0.0151395,0.0474864,0.0308252,0.0217903,0.0171276,0.00241599,0.0119579,0.0133807,0.0216614,0.0064672,0.00469323,0,0,0.0157,0,0.0124156,0.00846542,0.0828599,0.0190849,0.00492057,0.0135465,0.0159116,0.0223076,0.0199186,0.0225898,0.0151286,0.0186964,0.0248877,0.0432049,0.0139486,0.011981,0.00925524,0.00649456,0.00514497,0,0,0,0,0,0,0,0,0,0.0867176,0,0,0,0,0,0,0,0,0
16,0.00533493,0.00513635,0,0,0.0220834,0.0237134,0.0137412,0.00930997,0,0,0.016451,0,0.0169138,0.00470097,0.0424006,0.0427113,0.0220303,0.00854456,0.010777,0.0200968,0.0144469,0.0144207,0.0367743,0.0146363,0.0156115,0.0141795,0.0464049,0.027081,0.0216426,0.0171419,0.00235072,0.013803,0.0132826,0.0225394,0.0062279,0.00470412,0,0,0.0156796,0,0.0122488,0.00860328,0.0824371,0.0208437,0.00465819,0.0138101,0.015946,0.0238256,0.0208447,0.0231701,0.0139748,0.0185789,0.0241232,0.0452159,0.0143436,0.0119404,0.00921143,0.00681885,0.00471379,0,0,0,0,0,0,0,0,0,0.0865546,0,0,0,0,0,0,0,0,0
17,0.00994877,0,0,0,0.0193418,0.023679,0.0129597,0.00898182,0,0,0.015913,0,0.0168261,0.0044262,0.0424438,0.0409154,0.0221828,0.00752752,0.0100904,0.0224686,0.0132713,0.0141867,0.0372546,0.0137742,0.014335,0.0133253,0.0455174,0.0237933,0.022577,0.0172491,0.00254418,0.0193463,0.0131414,0.0229621,0.00591763,0.00896601,0,0,0.0150983,0,0.012361,0.00843101,0.0819986,0.0234983,0.00446437,0.0169834,0.0162756,0.0262541,0.0222622,0.0217698,0.0149171,0.0158001,0.0204995,0.0487708,0.0166176,0.011555,0.00928139,0.00949298,0.0074984,0,0,0,0,0,0,0,0,0,0.0861465,0.0244072,0,0,0,0,0,0,0,0
18,0.00582555,0.0054759,0,0,0.0165221,0.0237774,0.0123459,0.00836796,0,0,0.0161689,0,0.0166506,0.00446959,0.0424675,0.0386369,0.0222014,0.00717678,0.00927904,0.0200522,0.0121594,0.0135019,0.0377928,0.0129928,0.013349,0.0125993,0.0449396,0.0199634,0.0216185,0.0171725,0.00255378,0.0200101,0.0131657,0.0248251,0.0056249,0.00565108,0,0,0.0150153,0,0.0121929,0.00860858,0.0816859,0.024956,0.00457587,0.0147135,0.0169815,0.0281036,0.023826,0.0221948,0.0138018,0.0160713,0.0195761,0.0483133,0.0152973,0.0119283,0.00914488,0.00715762,0.0046697,0,0,0,0,0,0,0,0,0,0.0859476,0.0235615,0,0,0,0,0,0,0,0
19,0.00535797,0.00520672,0,0,0.013722,0.0237919,0.0117591,0.00782599,0,0,0.0161349,0,0.0165989,0.00435651,0.0423227,0.0359443,0.0221471,0.00687964,0.00835881,0.0203428,0.0112962,0.0126928,0.0382677,0.0121678,0.0126502,0.011785,0.0444732,0.0162087,0.0217367,0.017184,0.00274507,0.0200721,0.0132111,0.0267238,0.00509399,0.00513705,0,0,0.0147268,0,0.0123202,0.00857531,0.0814123,0.0263097,0.00496424,0.0146929,0.0180803,0.0299415,0.0256156,0.0222056,0.0128991,0.0159829,0.0183239,0.0469251,0.0153418,0.0118875,0.00908978,0.00668041,0.00401047,0,0,0,0,0,0,0,0,0,0.0855416,0.023989,0,0,0,0,0,0,0,0
20,0.00258648,0.00396762,0,0,0.0112852,0.0236549,0.0113462,0.00728665,0,0,0.0160701,0,0.0164976,0.00404463,0.0424786,0.033383,0.022061,0.00620332,0.00714911,0.0225522,0.0109503,0.0120821,0.0383836,0.0116374,0.0121942,0.011064,0.0443201,0.0134204,0.0222767,0.0171529,0.00269103,0.0199481,0.0134364,0.0284878,0.00535143,0.000629644,0,0,0.0136719,0,0.0128303,0.00818133,0.0812166,0.0274643,0.00508556,0.0136099,0.0194182,0.0316459,0.0273385,0.0219623,0.0122935,0.015645,0.0167396,0.0442581,0.013621,0.0120833,0.00926224,0.00465421,0.00110017,0,0,0,0,0,0,0,0,0,0.0852199,0.0251766,0,0,0,0,0,0,0,0
21,0.00422214,0.00421606,0,0,0.00967109,0.0236452,0.0115932,0.00669709,0,0,0.0157983,0,0.0164427,0.00390812,0.0426996,0.0317079,0.0218774,0.00561441,0.00591523,0.0241774,0.0110856,0.0118528,0.0381048,0.0115788,0.0120346,0.0108846,0.044452,0.0119143,0.0224834,0.0170848,0.00245283,0.0204928,0.0135141,0.0304377,0.00597889,0.00213544,0,0,0.0140818,0,0.0126841,0.00822114,0.081007,0.0285485,0.00525269,0.0133018,0.0207638,0.0331457,0.0290328,0.0217362,0.0119399,0.0152272,0.0152156,0.0407785,0.0135408,0.0122454,0.00905001,0.00455489,0.00282458,0,0,0,0,0,0,0,0,0,0.0847854,0.0271812,0,0,0,0,0,0,0,0
22,0.00569593,0.00474262,0,0,0.00879669,0.0236778,0.0121067,0.00603339,0,0,0.0157218,0,0.0162829,0.00379411,0.0427425,0.0306746,0.0216653,0.00518618,0.0046249,0.0253305,0.011421,0.0116999,0.0374561,0.0117298,0.0119921,0.0111399,0.0446845,0.011187,0.0228669,0.0170263,0.00247929,0.0212847,0.0135871,0.0319165,0.00608586,0.00263364,0,0,0.0143585,0,0.0125265,0.00821425,0.0808507,0.0297112,0.00537038,0.0131603,0.0219562,0.0344768,0.0304651,0.0217658,0.0116693,0.0148482,0.0141291,0.0356825,0.0138946,0.0119823,0.00894184,0.00510336,0.00362242,0,0,0,0,0,0,0,0,0,0.0842153,0.0296136,0,0,0,0,0,0,0,0
23,0.0122423,0,0,0,0.00854323,0.0238437,0.0126037,0.00538124,0,0,0.0156311,0,0.0160874,0.00347001,0.0426794,0.0300865,0.0216194,0.00563129,0.00332011,0.0292416,0.0118015,0.0115683,0.0366984,0.0119873,0.0121338,0.0115477,0.0448019,0.0105849,0.0249255,0.0170793,0.00283259,0.022931,0.0135473,0.0336696,0.0063423,0.00771941,0,0,0.0144937,0,0.0125305,0.00802489,0.0808145,0.0309916,0.00531369,0.0158186,0.023058,0.0355949,0.0316081,0.0220122,0.0114844,0.0143542,0.0134871,0.0306752,0.0165026,0.0111728,0.00886762,0.00923137,0.00771579,0,0,0,0,0,0,0,0,0,0.083538,0.0314855,0,0,0.0133675,0,0,0,0,0
24,0.00608911,0.00461804,0,0,0.0085657,0.0239105,0.0126742,0.00468308,0,0,0.0161083,0,0.0158553,0.00361271,0.0424302,0.0294687,0.0214317,0.00603654,0.00256433,0.0253737,0.0121214,0.011659,0.0357188,0.0119712,0.0125696,0.0115871,0.0447231,0.0102216,0.0240695,0.0169803,0.00268167,0.0256805,0.0137294,0.0364642,0.0059788,0.00248379,0,0,0.0147913,0,0.012369,0.00800295,0.0810818,0.0316267,0.00544634,0.0134585,0.0243998,0.03625,0.0327559,0.0225949,0.0115797,0.0145678,0.013322,0.0280319,0.0147026,0.0112869,0.00858004,0.0051451,0.00304961,0,0,0,0,0,0,0,0,0,0.0830605,0.0312771,0,0,0.0125963,0.0469657,0,0,0,0
25,0.00580844,0.00433397,0,0,0.00854771,0.0240647,0.0126902,0.00473555,0,0,0.0162156,0,0.0157482,0.00382049,0.0419926,0.0289353,0.0215782,0.00609103,0.00175639,0.025677,0.0121002,0.0116057,0.0349879,0.0117116,0.0127882,0.0112899,0.0442341,0.0102594,0.0251493,0.0170043,0.00279874,0.0297584,0.0138168,0.0390703,0.00673791,0.00204184,0,0,0.0146624,0,0.012511,0.00785258,0.0812656,0.0331567,0.00560763,0.0133732,0.0251769,0.0370697,0.033725,0.0231144,0.0116871,0.0143148,0.0133092,0.0294068,0.0145159,0.0111192,0.00846441,0.00463826,0.00297901,0,0,0,0,0,0,0,0,0,0.0820953,0.0310043,0,0,0.0119825,0.0479682,0,0,0,0
26,0.00591389,0.00465068,0,0,0.00897903,0.0241637,0.0127212,0.00492837,0,0,0.0162383,0,0.0155878,0.00432373,0.0413334,0.0283308,0.0218807,0.00593939,0.00167424,0.0262713,0.0116409,0.0113482,0.0344918,0.0117937,0.0124053,0.0111048,0.0435575,0.011559,0.025582,0.0169873,0.0029414,0.0331494,0.0139087,0.0404296,0.00759131,0.00208812,0,0,0.0144603,0,0.0126297,0.00764735,0.0815002,0.0343764,0.00583469,0.0131725,0.0257501,0.0378159,0.0346967,0.0233669,0.0117934,0.0141028,0.0130375,0.031641,0.014228,0.0110109,0.00844325,0.00451735,0.00347,0,0,0,0,0,0,0,0,0,0.0811439,0.0311852,0,0,0.0114591,0.0488444,0,0,0,0
27,0.00618928,0.00456153,0,0,0.0105532,0.0242791,0.0127232,0.00521541,0,0,0.016412,0,0.0154378,0.00459215,0.0406254,0.0273496,0.022287,0.00563542,0.00216239,0.0268886,0.0109211,0.0108916,0.0342892,0.0121083,0.0118974,0.0109199,0.0429139,0.0140861,0.0253437,0.0169706,0.00308451,0.035477,0.0140051,0.0402091,0.00805651,0.00255133,0,0,0.0142176,0,0.0127363,0.00742859,0.0815257,0.0352103,0.0062888,0.0128829,0.0262242,0.0383502,0.0357028,0.0231381,0.0118717,0.0139588,0.0124682,0.0331229,0.0138334,0.0108897,0.00844134,0.00431098,0.00420341,0,0,0,0,0,0,0,0,0,0.0801879,0.0315197,0,0,0.0110234,0.0496978,0,0,0,0
28,0.00653944,0.00479454,0,0,0.0123783,0.0243328,0.0126275,0.00564575,0,0,0.0165644,0,0.0153044,0.00452897,0.0399968,0.0261348,0.0225522,0.00512664,0.00273438,0.0271771,0.01041,0.0104311,0.0343081,0.0118754,0.0116575,0.0109372,0.0424528,0.0168102,0.0254377,0.0169635,0.00314822,0.0368771,0.0140975,0.0392792,0.00857198,0.00320006,0,0,0.013949,0,0.012876,0.00733007,0.0813748,0.0355966,0.00680398,0.0125805,0.0266725,0.038789,0.0364602,0.0225059,0.0118223,0.01392,0.0115837,0.0336906,0.0133565,0.0108205,0.00841183,0.00436818,0.00497326,0,0,0,0,0,0,0,0,0,0.0793259,0.0316507,0,0,0.0106831,0.0504772,0,0,0,0
29,0.00695406,0.00530938,0,0,0.0138576,0.0244826,0.0124258,0.00638145,0,0,0.0164523,0,0.0150604,0.004475,0.039553,0.0249852,0.0225274,0.00454223,0.00339615,0.0272329,0.0101368,0.0101112,0.0344307,0.011472,0.0115039,0.0112991,0.0422322,0.0195964,0.0257952,0.0169409,0.00308755,0.0372168,0.0142088,0.0385497,0.00972694,0.00391106,0,0,0.0137378,0,0.0130284,0.00720811,0.0811702,0.0355808,0.00719156,0.0122507,0.0269208,0.0393663,0.0367943,0.0217133,0.0115712,0.0139446,0.0106965,0.0334964,0.0128838,0.010754,0.00841639,0.0050466,0.00574805,0,0,0,0,0,0,0,0,0,0.0786911,0.0320169,0,0,0.0103781,0.0511306,0,0,0,0
30,0.00836054,0.00533398,0,0,0.0152661,0.024456,0.0123387,0.00721467,0,0,0.0156111,0,0.014844,0.00412567,0.0393712,0.0239548,0.0224772,0.00416583,0.00408336,0.0289942,0.0099757,0.00982628,0.0346848,0.0113052,0.0113603,0.0109728,0.0421581,0.0222829,0.0256036,0.0168429,0.00284455,0.0364879,0.0143831,0.0379471,0.0110563,0.00695041,0,0,0.0130164,0,0.0133914,0.00686611,0.0809306,0.0353873,0.00727951,0.0124744,0.0270881,0.0399154,0.0369386,0.0210143,0.0112285,0.0139959,0.00987319,0.0324417,0.0114891,0.0107317,0.00858736,0.0056826,0.00827528,0,0,0,0,0,0,0,0,0,0.078374,0.0329611,0,0,0.0099502,0.0517822,0,0,0,0
31,0.00907881,0.00669623,0,0,0.0165363,0.024641,0.0127569,0.00757935,0,0,0.0154847,0,0.0146483,0.00432471,0.0395824,0.02403,0.0222096,0,0.00474643,0.0288201,0.0101638,0.00969294,0.0350591,0.011682,0.0114471,0.0109852,0.0424809,0.0239256,0.0254289,0.0167834,0.00303209,0.0350145,0.0143639,0.0372053,0.0119684,0.00515966,0,0,0.0136366,0,0.0131372,0.00693576,0.0807079,0.0351093,0.00767829,0.0115292,0.0271134,0.0403851,0.0369994,0.0204177,0.0108728,0.0140903,0.00949349,0.0305993,0.0126733,0.010413,0.00834934,0.00647331,0.00751629,0,0,0,0,0,0,0,0,0,0.0779716,0.0338504,0,0,0.00922554,0.0523969,0,0,0,0
32,0.00935116,0.00738165,0,0,0.0179613,0.0246779,0.0121727,0.00886667,0,0,0.0156177,0,0.0146692,0.00431188,0.0391004,0.0227833,0.0218126,0.00489208,0.00520646,0.028985,0.0106372,0.00994239,0.0346157,0.0112402,0.0107759,0.0103734,0.0419806,0.025861,0.0255348,0.0167842,0.00309115,0.033101,0.0143591,0.0364433,0.0132616,0.00506229,0,0,0.0133755,0,0.0132308,0.00687226,0.0806117,0.0347276,0.00763997,0.0113576,0.0273202,0.0407731,0.037138,0.0200606,0.0105599,0.0142677,0.00956963,0.0285401,0.0126744,0.0101729,0.0083194,0.00685532,0.00759278,0,0,0,0,0,0,0,0,0,0.0780178,0.0340508,0,0,0.00945356,0.0528605,0,0,0,0
33,0.00928407,0.00766797,0,0,0.0192562,0.0247188,0.0120627,0.00949223,0,0,0.01546,0,0.0145541,0.00430299,0.0388157,0.0224161,0.0214823,0.00544869,0.00559913,0.0286962,0.011276,0.0102541,0.0342505,0.0110412,0.0105659,0.0102944,0.0416414,0.0276085,0.0258044,0.0167704,0.00307482,0.0315483,0.0143954,0.0358038,0.0142024,0.00476137,0,0,0.0131797,0,0.0133094,0.00688316,0.0805911,0.0342339,0.00769937,0.0112155,0.0274859,0.041133,0.0369606,0.0196566,0.0103965,0.0144506,0.00948278,0.0264511,0.0128341,0.0100752,0.00826786,0.0071007,0.00731793,0,0,0,0,0,0,0,0,0,0.0780523,0.0340804,0,0,0.00954337,0.0532123,0,0,0,0
34,0.00935163,0.00817735,0,0,0.0206126,0.0247827,0.0120329,0.00976064,0,0,0.0153684,0,0.0143761,0.00437793,0.0385017,0.0220271,0.0212189,0.00646544,0.00591672,0.028533,0.012147,0.0106536,0.0338634,0.0108355,0.0102869,0.0102305,0.0412627,0.0295723,0.0263516,0.016767,0.00299394,0.0304848,0.0144437,0.0351887,0.0148283,0.00459027,0,0,0.0129361,0,0.0134015,0.00676884,0.0806516,0.0336881,0.00783879,0.0111106,0.0276507,0.0412423,0.0370759,0.019337,0.0103448,0.0146854,0.00930675,0.0248972,0.0129949,0.00998834,0.00813802,0.00743098,0.007065,0,0,0,0,0,0,0,0,0,0.0781059,0.0340845,0,0,0.00958267,0.0533715,0,0,0,0
35,0.00941921,0.008206,0,0,0.0221434,0.0248288,0.0120123,0.00982514,0,0,0.014897,0,0.014091,0.00450902,0.0380561,0.0212255,0.0209539,0.00685626,0.00621789,0.028416,0.012986,0.0109072,0.0334043,0.0106902,0.00995282,0.0100746,0.0408721,0.0318231,0.0263675,0.016774,0.00294207,0.029723,0.0144183,0.0347792,0.015484,0.00446991,0,0,0.0125951,0,0.013472,0.00669171,0.0808863,0.0331213,0.00795407,0.0110919,0.0275011,0.0412118,0.0369665,0.019205,0.0103385,0.01505,0.00905394,0.0238227,0.0131291,0.00988811,0.0081006,0.00761518,0.00669229,0,0,0,0,0,0,0,0,0,0.0781861,0.0342179,0,0,0.00962906,0.053275,0,0,0,0
