Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LBHD,LTIBI,x79,
75,0.00734382,0.00613713,0,0,0,0,0,0,0.00280774,0.0187294,0.0206768,0.00805581,0,0.0107553,0,0.0295356,0.0094842,0.0389209,0.0417762,0.0261262,0.00993443,0.00905374,0.0194679,0.0186933,0.019051,0.0202454,0.0502404,0.0141217,0.0141806,0.0478362,0.0180593,0.0242559,0.0196566,0.00353834,0.0252976,0.00404272,0.0273649,0.00190906,0.00719413,0,0,0.0124388,0,0.0112625,0.00584902,0.0784662,0.0277452,0.0830764,0.0267978,0.00673425,0.00996092,0.00603542,0.0364623,0.0543347,0.0163129,0.0222811,0.0140741,0.0162099,0.0166063,0.0461768,0.0141554,0.00478995,0.00361855,0.00537732,0.00838343,0,0,0,0,0,0,0,0,0,0.0163207,0,0
76,0.00714635,0.00556904,0,0,0,0,0,0,0.00977344,0.0187967,0.0144347,0.00675093,0,0.0102127,0,0.0295031,0.00938588,0.0455259,0.021286,0.0243759,0.0168986,0.00672361,0.0191382,0.0174116,0.0146992,0.0185968,0.0538956,0.0126544,0.0113857,0.0351827,0.017829,0.0236022,0.0196864,0.00350318,0.025161,0.00407067,0.0289943,0.00102659,0.00621523,0,0,0.0114076,0,0.0111225,0.00556157,0.0795334,0.0290162,0.0837298,0.0278578,0.00487745,0.00940979,0.00766156,0.0367835,0.0544373,0.0187694,0.02229,0.0136175,0.0161489,0.0155416,0.0443517,0.0131,0.00499029,0.00344909,0.0048394,0.00789822,0,0,0,0,0,0,0,0,0,0.013171,0,0
77,0.00698138,0.00519263,0,0,0,0,0,0,0.00927199,0.0188914,0.0148889,0.00613924,0,0.00981184,0,0.0293546,0.0093922,0.0448512,0.0229929,0.0239146,0.0159869,0.00601062,0.0186397,0.0169897,0.0150061,0.0181611,0.053278,0.0120572,0.0107086,0.034856,0.0156668,0.0229826,0.019625,0.00338569,0.0247956,0.0040968,0.0301139,0.00151729,0.00579095,0,0,0.0107481,0,0.0110583,0.00538332,0.0796026,0.0300919,0.0832662,0.0282885,0.00514108,0.00914006,0.00847148,0.0373245,0.0546769,0.0199546,0.0218748,0.0132392,0.0159113,0.0140802,0.0397574,0.0123386,0.00525114,0.00331095,0.00456155,0.00778902,0,0,0,0,0,0,0,0,0,0.0128907,0,0
78,0.0072337,0.00526616,0,0,0,0,0,0,0.00747491,0.0190455,0.0198485,0.00623593,0,0.00926167,0,0.0290866,0.00933739,0.0370691,0.0357899,0.0250365,0.0090533,0.00732151,0.0181688,0.018814,0.0194104,0.0187257,0.0483206,0.0132692,0.0134565,0.0482809,0.0109108,0.0223333,0.019559,0.00316666,0.025508,0.00406998,0.0314849,0.0012957,0.00615073,0,0,0.0106692,0,0.0110885,0.00541986,0.0787198,0.0309264,0.0817323,0.0283736,0.00737487,0.00951511,0.00859145,0.0379059,0.0549991,0.0202099,0.0212358,0.0130203,0.0156558,0.012539,0.0343622,0.012049,0.00550807,0.00334917,0.00481508,0.00826588,0,0,0,0,0,0,0,0,0,0.0163318,0,0
79,0.00721757,0.00475059,0,0,0,0,0,0,0.00919221,0.0192524,0.0159269,0.00484786,0,0.00853784,0,0.0287341,0.00900316,0.0436159,0.0260083,0.0233624,0.0153797,0.00492446,0.0181355,0.0176188,0.0158259,0.0177781,0.052198,0.0114212,0.00985561,0.0345624,0.0118644,0.0216265,0.0195102,0.00292799,0.0278513,0.00422511,0.0340735,0.00296974,0.00540218,0,0,0.00976553,0,0.0109661,0.00503761,0.0797919,0.0343199,0.0822172,0.0295313,0.00581221,0.00878084,0.0102933,0.0381931,0.055127,0.0221302,0.0217649,0.0129932,0.0155557,0.0126473,0.0309603,0.0110709,0.00581334,0.00313052,0.00437869,0.00797197,0,0,0,0,0,0,0,0,0,0.0127632,0,0
80,0.00599155,0.00401243,0,0,0,0,0,0,0.00912963,0.0189092,0.0159407,0.00456666,0,0.00990735,0,0.0289604,0.0099815,0.0429017,0.0265822,0.0235771,0.0147831,0.00465069,0.0173607,0.0183297,0.0163446,0.0180651,0.0520449,0.0111164,0.00950457,0.0344026,0.0102305,0.0227209,0.0193654,0.00346449,0.0300824,0.00424405,0.0363284,0.00358749,0.00579006,0,0,0.00988961,0,0.0110001,0.00506889,0.0798096,0.0357933,0.0818016,0.030378,0.00592648,0.00864743,0.0111579,0.0388463,0.0556278,0.0231004,0.0222875,0.0129768,0.0155853,0.0128164,0.0291218,0.0114544,0.00588765,0.0031603,0.00396328,0.00766571,0,0,0,0,0,0,0,0,0,0.0127028,0,0
81,0.00622971,0.00427285,0,0,0,0,0,0,0.00941048,0.0192035,0.0154113,0.00464085,0,0.00879384,0,0.028552,0.00928154,0.042307,0.0263157,0.0237053,0.0140132,0.00453332,0.0177724,0.0190036,0.0167396,0.0184257,0.0518995,0.0107222,0.00915814,0.0341551,0.00861627,0.0219404,0.0193769,0.00306174,0.0335398,0.00431105,0.0390127,0.0043113,0.00511664,0,0,0.00950988,0,0.0109589,0.00499664,0.079693,0.0351558,0.0808442,0.0313459,0.00591485,0.00905235,0.0122006,0.0397288,0.0562824,0.0241919,0.022783,0.0131358,0.0156838,0.0129851,0.0318968,0.0110457,0.0060166,0.00320064,0.00458623,0.00739479,0,0,0,0,0,0,0,0,0,0.0126175,0,0
82,0.00588374,0.00409596,0,0,0,0,0,0,0.00934623,0.0192628,0.0143927,0.00521641,0,0.00871093,0,0.0284522,0.00943402,0.0419784,0.0253379,0.0236393,0.0135888,0.00490468,0.0177306,0.0194575,0.0169851,0.018763,0.0519093,0.0102786,0.00883355,0.0337207,0.0069314,0.0220034,0.019308,0.00301495,0.0365738,0.00439452,0.0409807,0.00514964,0.00514122,0,0,0.00935644,0,0.01094,0.00485208,0.0798175,0.0347229,0.0797967,0.0320036,0.00558804,0.00897898,0.0132047,0.040683,0.057092,0.0251353,0.023085,0.0134759,0.0160465,0.0130371,0.0354331,0.0110988,0.00608404,0.00318306,0.00491074,0.00711806,0,0,0,0,0,0,0,0,0,0.0123184,0,0
83,0.00565677,0.00377405,0,0,0,0,0,0,0.00943836,0.0191865,0.0132251,0.00542666,0,0.00916225,0,0.0283769,0.00988815,0.0416427,0.0242558,0.0237776,0.0136229,0.00554003,0.0175301,0.0199189,0.0172563,0.0191219,0.0519536,0.00983687,0.00864091,0.0331472,0.00493971,0.0224663,0.0192166,0.00316013,0.0378906,0.00448765,0.0413005,0.00597386,0.00615249,0,0,0.00964436,0,0.0110648,0.00474435,0.0800277,0.0350434,0.0792592,0.0327763,0.00601321,0.00852252,0.0142408,0.0415657,0.0579505,0.0259787,0.0231931,0.013591,0.0164454,0.0130041,0.0366327,0.0115981,0.00635428,0.00311166,0.00461683,0.00749535,0,0,0,0,0,0,0,0,0,0.012055,0,0
84,0.00556257,0.00388658,0,0,0,0,0,0,0.0103931,0.0192546,0.0120553,0.00560392,0,0.00889108,0,0.0281559,0.00984962,0.0410762,0.0232228,0.0239128,0.0140119,0.00598938,0.0176925,0.0203308,0.0175934,0.019516,0.0519402,0.00941138,0.00862175,0.032574,0.00236458,0.0224493,0.0191779,0.00312416,0.0379094,0.00452789,0.0412043,0.00679667,0.00643716,0,0,0.0098692,0,0.0111315,0.00476234,0.0802237,0.0346258,0.0787706,0.0333924,0.00641841,0.00862213,0.015534,0.0424086,0.0586736,0.026787,0.0229892,0.0135055,0.016734,0.0126458,0.0362384,0.0119061,0.00648135,0.00312049,0.0046459,0.00744225,0,0,0,0,0,0,0,0,0,0.0117883,0,0
85,0.00545226,0.00399879,0,0,0,0,0,0,0.0120145,0.0193445,0.0108753,0.00591963,0,0.00855836,0,0.0280314,0.00972405,0.0403581,0.02232,0.0239074,0.0144576,0.00644178,0.0177896,0.0205382,0.0179835,0.0199317,0.0519205,0.00901489,0.00871338,0.0321071,0.00138438,0.0223628,0.0191538,0.00307509,0.0367598,0.00457288,0.0409468,0.0075309,0.00666117,0,0,0.010091,0,0.0111927,0.00479617,0.0804033,0.034261,0.0783264,0.0338363,0.00665624,0.00871486,0.0166135,0.0431187,0.0594087,0.0274807,0.022773,0.0132545,0.0169822,0.0123107,0.0345518,0.0121853,0.00661943,0.00315548,0.0046826,0.00739228,0,0,0,0,0,0,0,0,0,0.0115466,0,0
86,0.0053629,0.00411036,0,0,0,0,0,0,0.0138711,0.019442,0.00975949,0.00644719,0,0.0082919,0,0.0277758,0.00952668,0.0400983,0.0214811,0.0237071,0.0145751,0.00690819,0.0178345,0.0206279,0.0182792,0.0202317,0.0519292,0.00875242,0.0087399,0.0318103,0.00396766,0.0222259,0.019122,0.0029713,0.0352703,0.00463477,0.0408642,0.00830432,0.00677989,0,0,0.0102353,0,0.0112682,0.00477236,0.0804797,0.0339684,0.0779565,0.0341229,0.00668894,0.00880334,0.0174308,0.0436464,0.0600941,0.0281859,0.0226792,0.0129938,0.0171942,0.012086,0.032553,0.012398,0.00677409,0.00319539,0.00469986,0.0074029,0,0,0,0,0,0,0,0,0,0.0113666,0,0
87,0.00534216,0.00417716,0,0,0,0,0,0,0.0160668,0.0195671,0.00863788,0.00718172,0,0.0080585,0,0.0275857,0.00925594,0.0399656,0.021024,0.0233793,0.0143168,0.00736682,0.0178804,0.020723,0.0184671,0.0203672,0.052054,0.00861721,0.00867389,0.0316025,0.00691324,0.0220266,0.0190969,0.00281946,0.0334998,0.00473897,0.0406071,0.00908133,0.00680242,0,0,0.0103231,0,0.0113692,0.00467398,0.0803671,0.0339634,0.0777507,0.0342834,0.00649071,0.0088167,0.0181128,0.0440152,0.0607875,0.0289113,0.0227937,0.0127601,0.0174475,0.0120596,0.0301764,0.0125477,0.00702229,0.00327151,0.00469138,0.00745805,0,0,0,0,0,0,0,0,0,0.0112428,0,0
88,0.00540445,0.00418852,0,0,0,0,0,0,0.0185002,0.0197131,0.00777837,0.00771646,0,0.00784882,0,0.0275388,0.00922969,0.0396616,0.0209144,0.0230203,0.0139337,0.00788919,0.0179086,0.0208331,0.0186021,0.0204633,0.0521621,0.00865096,0.00854836,0.031528,0.00977619,0.0217799,0.019084,0.00266573,0.0319816,0.00485124,0.0400584,0.00978657,0.00682209,0,0,0.0103905,0,0.0115125,0.00455603,0.0800753,0.0338995,0.0777364,0.0344097,0.00644929,0.0088588,0.0190276,0.0440565,0.0614103,0.0296523,0.0230157,0.0126051,0.0177004,0.0121563,0.028074,0.0127121,0.00731294,0.00339882,0.00462567,0.00753136,0,0,0,0,0,0,0,0,0,0.0112179,0,0
89,0.00564064,0.0041579,0,0,0,0,0,0,0.0209297,0.0198252,0.00734293,0.00792349,0,0.00769521,0,0.0274388,0.0093096,0.0392033,0.0208069,0.0226804,0.0136085,0.00838143,0.0179942,0.0208775,0.0188521,0.020523,0.052189,0.00870826,0.00840793,0.031538,0.012632,0.0215107,0.0190577,0.00258724,0.0312814,0.00496601,0.0395111,0.0103691,0.00686052,0,0,0.0104598,0,0.0116916,0.00447658,0.079908,0.0334883,0.0777621,0.0346126,0.00652102,0.00883318,0.019527,0.043659,0.0619301,0.0303744,0.0233483,0.0125191,0.0179103,0.01234,0.0266861,0.0128712,0.00754406,0.00353506,0.00450908,0.0076602,0,0,0,0,0,0,0,0,0,0.011263,0,0
90,0.00622125,0.00416584,0,0,0,0,0,0,0.0231438,0.0200131,0.00682337,0.00791772,0,0.00735552,0,0.0271166,0.00917909,0.03865,0.020553,0.0223973,0.0134023,0.00880806,0.018202,0.0208528,0.0190976,0.0205469,0.0520882,0.00864389,0.00823091,0.0314592,0.0154457,0.0209221,0.019037,0.00243436,0.0307792,0.00509496,0.039017,0.0109368,0.00694936,0,0,0.0104825,0,0.0118808,0.00441719,0.0799314,0.0332979,0.0777214,0.0347204,0.00661057,0.00871898,0.0200249,0.0432732,0.0621832,0.0309713,0.0238299,0.0124657,0.0180416,0.0127943,0.0258026,0.0128418,0.00783212,0.00365935,0.00446307,0.00789674,0,0,0,0,0,0,0,0,0,0.0113025,0,0
91,0.0056417,0.0040109,0,0,0,0,0,0,0.0250886,0.0197238,0.00606655,0.00782898,0,0.00851315,0,0.0271873,0.0100038,0.0380348,0.0204008,0.022248,0.013237,0.00944472,0.01784,0.0208448,0.0193552,0.020588,0.0518364,0.00833187,0.00801094,0.0312102,0.0180257,0.0214625,0.0188805,0.00299784,0.0302165,0.00510802,0.0381135,0.011541,0.00696797,0,0,0.01071,0,0.0119809,0.00447218,0.0801539,0.0335164,0.0777293,0.0345744,0.00665288,0.00889638,0.0204713,0.0431457,0.0622,0.0312035,0.0244592,0.0125327,0.0182697,0.0136035,0.0247519,0.0132156,0.00783743,0.00383892,0.00413512,0.00800663,0,0,0,0,0,0,0,0,0,0.0112039,0,0
92,0.005828,0.00385344,0,0,0,0,0,0,0.0268388,0.019744,0.00522186,0.00754937,0,0.00839917,0,0.0272442,0.010011,0.0374098,0.020368,0.0220623,0.0131357,0.0099934,0.0178466,0.0208742,0.0194928,0.0206025,0.0514656,0.00788735,0.00778185,0.0307847,0.0204661,0.0211518,0.0188858,0.00310442,0.0299219,0.00514357,0.0374749,0.0121383,0.00689376,0,0,0.0106982,0,0.0120721,0.00448556,0.0804751,0.0334601,0.0775102,0.0342006,0.00673246,0.00888426,0.0208879,0.0430501,0.0619961,0.0311592,0.0251169,0.0127391,0.0184468,0.014528,0.0243806,0.0132107,0.00807517,0.0039502,0.00391301,0.00800384,0,0,0,0,0,0,0,0,0,0.0110652,0,0
93,0.00613861,0.00372975,0,0,0,0,0,0,0.0285951,0.0198584,0.00438347,0.0071077,0,0.0080019,0,0.0273715,0.00981625,0.036831,0.020344,0.021905,0.0131403,0.0104727,0.0178994,0.0209365,0.0195289,0.0205896,0.0511183,0.00748805,0.00766696,0.0302876,0.0229426,0.0207821,0.0189645,0.00306037,0.0297047,0.00520401,0.0372344,0.0125863,0.00681384,0,0,0.0106159,0,0.0121373,0.0045024,0.0808921,0.0328862,0.0771594,0.0336464,0.00683332,0.00883993,0.0206582,0.0430327,0.0617217,0.0309432,0.0257764,0.0130877,0.0186217,0.015563,0.0248326,0.0130577,0.00830179,0.00406139,0.0037327,0.0080202,0,0,0,0,0,0,0,0,0,0.011007,0,0
94,0.00608963,0.00357793,0,0,0,0,0,0,0.0302082,0.0199376,0.00379091,0.0066295,0,0.00805921,0,0.0274859,0.0098682,0.0362612,0.0202159,0.0218937,0.0129913,0.0110776,0.0177018,0.0210341,0.0195947,0.0205085,0.0508479,0.00720193,0.00753687,0.0298828,0.0251402,0.020573,0.0189944,0.0029196,0.0292679,0.0053105,0.0370909,0.0130157,0.00679443,0,0,0.0106072,0,0.0121908,0.00447059,0.0811105,0.0325619,0.0768301,0.0328894,0.00707765,0.00884757,0.019964,0.0431723,0.0612458,0.0304974,0.0263955,0.0134546,0.0189431,0.0166511,0.0248838,0.0130258,0.00843357,0.00418067,0.00353269,0.00801833,0,0,0,0,0,0,0,0,0,0.011056,0,0
95,0.00608234,0.00350927,0,0,0,0,0,0,0.0318388,0.0200909,0.00322624,0.00619925,0,0.00804791,0,0.027516,0.00986274,0.0356631,0.0201552,0.0218018,0.0124174,0.0115137,0.0174718,0.021258,0.0202084,0.0204239,0.0507331,0.00684723,0.00724193,0.0295861,0.0271827,0.0201657,0.0190062,0.00263182,0.0291925,0.00542791,0.036648,0.0134868,0.00667983,0,0,0.010528,0,0.0122332,0.00432106,0.0814509,0.0334488,0.07655,0.0322988,0.00701899,0.00882383,0.019363,0.0428632,0.0608023,0.030097,0.0267152,0.0136089,0.0190285,0.0174426,0.0235346,0.0128918,0.00853931,0.00428154,0.00348969,0.00789845,0,0,0,0,0,0,0,0,0,0.0110612,0,0
96,0.00618386,0.00345858,0,0,0,0,0,0,0.0333582,0.020188,0.00307695,0.00567671,0,0.00797034,0,0.0274093,0.00986175,0.035261,0.020345,0.0217189,0.0122209,0.0118164,0.0173513,0.0214825,0.0206372,0.0205963,0.0506825,0.00685677,0.0070277,0.029372,0.0290096,0.0199279,0.0189703,0.00258872,0.0294416,0.00555843,0.0363682,0.0137072,0.00664992,0,0,0.0105953,0,0.0123102,0.00416796,0.0820305,0.0335151,0.076204,0.0316915,0.00701561,0.00868007,0.0193353,0.0422571,0.060244,0.029716,0.0266281,0.0138404,0.0190186,0.0178156,0.0238912,0.01276,0.0086272,0.00439684,0.00346437,0.00781548,0,0,0,0,0,0,0,0,0,0.0112162,0,0
97,0.00620397,0.00343151,0,0,0,0,0,0,0.0345533,0.0202575,0.00312972,0.00527155,0,0.00787817,0,0.0272177,0.0100218,0.0349361,0.0206411,0.0216794,0.0122768,0.012106,0.0171491,0.0217192,0.0208093,0.0206512,0.0506584,0.00697245,0.00680309,0.0292522,0.0305517,0.0196297,0.0189509,0.00265863,0.0287041,0.00573395,0.0354268,0.0137661,0.0066092,0,0,0.0105252,0,0.0123543,0.00404425,0.0825576,0.0328653,0.0758796,0.0307904,0.00706781,0.00855342,0.0188364,0.0416075,0.0595237,0.0291687,0.0262,0.0139891,0.0189463,0.0177859,0.0235631,0.0126762,0.00859919,0.00448969,0.00350223,0.00763833,0,0,0,0,0,0,0,0,0,0.011375,0,0
98,0.00610173,0.00348716,0,0,0,0,0,0,0.035557,0.0203897,0.00327975,0.00508943,0,0.00780303,0,0.0271037,0.0101195,0.0345888,0.0211234,0.0216747,0.0126293,0.0124554,0.0169147,0.0219233,0.0208667,0.0205604,0.0506408,0.00720447,0.00669873,0.0290734,0.0318641,0.0193219,0.0189173,0.00264501,0.0274698,0.00594775,0.0339671,0.0138697,0.00646721,0,0,0.0104152,0,0.0123758,0.00394287,0.0828307,0.0318082,0.0755585,0.0295902,0.00717894,0.00837843,0.0178681,0.0408897,0.0585735,0.0283524,0.0253512,0.0141369,0.0186698,0.0172426,0.0228225,0.0125451,0.00849638,0.00457916,0.00368727,0.00736912,0,0,0,0,0,0,0,0,0,0.0115898,0,0
99,0.00598594,0.00359551,0,0,0,0,0,0,0.0365343,0.020543,0.00342911,0.005094,0,0.00760918,0,0.0268643,0.0100892,0.0342025,0.0218029,0.021649,0.0130381,0.0127945,0.0166824,0.0220698,0.0210097,0.0205205,0.05062,0.00741348,0.00668688,0.0287952,0.0332415,0.018995,0.018874,0.00256768,0.0259327,0.00616041,0.0322945,0.0140677,0.00627512,0,0,0.0102819,0,0.0123884,0.00381966,0.0828727,0.0307506,0.0752348,0.0281806,0.0073542,0.00816174,0.0173823,0.0401004,0.0574594,0.0273301,0.0241235,0.0143096,0.0181673,0.0161681,0.0219381,0.0123408,0.0083807,0.00466088,0.00394745,0.00708749,0,0,0,0,0,0,0,0,0,0.0118659,0,0
100,0.00589118,0.00372272,0,0,0,0,0,0,0.0373049,0.0207176,0.00353347,0.00528971,0,0.00737665,0,0.0266363,0.00995968,0.0338458,0.0223874,0.0216488,0.0132371,0.0130625,0.0164988,0.022253,0.0212314,0.0205435,0.0505624,0.00744129,0.00662351,0.0285427,0.0344416,0.0186182,0.018824,0.00241056,0.024102,0.00638094,0.0304779,0.0142331,0.00608069,0,0,0.0101805,0,0.0124273,0.00372305,0.0828698,0.0295607,0.0749142,0.0265971,0.00754448,0.0079344,0.0175233,0.0392039,0.0562089,0.0262464,0.0225294,0.0145317,0.0175851,0.0147349,0.0214912,0.0121278,0.00859497,0.00471735,0.00422025,0.00681971,0,0,0,0,0,0,0,0,0,0.0120801,0,0
101,0.00487231,0.00415198,0,0,0,0,0,0,0.0382797,0.0204547,0.00384354,0.00563184,0,0.00855023,0,0.0267884,0.0107392,0.0338035,0.0231412,0.0216803,0.0134369,0.0134503,0.0157945,0.0225127,0.021458,0.0206128,0.050495,0.0074352,0.0066972,0.02824,0.0358796,0.0192683,0.018714,0.0028251,0.0224312,0.00652185,0.028187,0.0143582,0.00585063,0,0,0.0103567,0,0.0124637,0.00364296,0.0830028,0.028542,0.0747907,0.0248167,0.00765273,0.00768094,0.0171784,0.0382195,0.054933,0.0251114,0.0206875,0.0147987,0.0169071,0.0131194,0.0207867,0.012477,0.00826448,0.00475328,0.00457055,0.00661633,0,0,0,0,0,0,0,0,0,0.0123079,0,0
102,0.00464374,0.00450634,0,0,0,0,0,0,0.038883,0.0205766,0.00403615,0.0059913,0,0.00843293,0,0.0266955,0.0106749,0.0337956,0.0236158,0.0216702,0.0133025,0.0136296,0.0155444,0.02267,0.0216666,0.0207004,0.0505673,0.00750674,0.00668589,0.0280471,0.0367394,0.0189174,0.0187113,0.00275623,0.0206135,0.00671149,0.0260215,0.0145103,0.00558303,0,0,0.0103181,0,0.0124504,0.00353391,0.0832323,0.0270697,0.0746215,0.0228206,0.00787839,0.00752681,0.0165271,0.0371122,0.053381,0.0239615,0.018737,0.0151374,0.0162056,0.0116633,0.020969,0.0124293,0.00808963,0.00479564,0.00486949,0.00645575,0,0,0,0,0,0,0,0,0,0.0124343,0,0
103,0.00458494,0.00515958,0,0,0,0,0,0,0.0388942,0.0207768,0.00414339,0.00639473,0,0.00802375,0,0.0266635,0.0103741,0.0337731,0.0239748,0.021682,0.0130745,0.0136826,0.0155294,0.0228655,0.0218424,0.0207982,0.0510074,0.0075691,0.00663824,0.0279045,0.0372661,0.0186216,0.0186888,0.00257497,0.018874,0.00689761,0.0238983,0.0147342,0.00504635,0,0,0.0103582,0,0.0123448,0.00338446,0.0834808,0.0255055,0.0745444,0.0207381,0.00807094,0.00780987,0.0158048,0.035888,0.0516426,0.0227877,0.0167953,0.0155708,0.0154025,0.0105339,0.0219272,0.0122969,0.00790506,0.00483856,0.00549213,0.00588748,0,0,0,0,0,0,0,0,0,0.0125213,0,0
104,0.0044474,0.00580039,0,0,0,0,0,0,0.0392011,0.0209043,0.00443564,0.006828,0,0.00793812,0,0.0266305,0.0104234,0.0339292,0.0245597,0.0216939,0.0130542,0.0137357,0.0152257,0.0231538,0.0220846,0.0208827,0.0515493,0.0076733,0.00664888,0.0277175,0.0381682,0.0184462,0.0186528,0.00252013,0.0177228,0.00713085,0.0215976,0.0149945,0.00475343,0,0,0.0105354,0,0.012313,0.00315977,0.0835886,0.0242049,0.0745314,0.0186667,0.00812587,0.00779314,0.0154316,0.0344919,0.0498297,0.0215232,0.014973,0.016169,0.0144788,0.00983417,0.0233187,0.0123706,0.00758839,0.00487412,0.00593466,0.00550391,0,0,0,0,0,0,0,0,0,0.0126786,0,0
105,0.00444383,0.00645582,0,0,0,0,0,0,0.039753,0.0210186,0.00475453,0.00720415,0,0.00788849,0,0.0264556,0.0105069,0.0340457,0.0251894,0.0217363,0.0131387,0.0137686,0.0148472,0.0234018,0.0223885,0.0209552,0.0522094,0.00785923,0.00662652,0.0274882,0.0389771,0.0181755,0.0185929,0.0025069,0.0171253,0.00738876,0.0193893,0.0152,0.00447828,0,0,0.0107518,0,0.012295,0.00297225,0.0835071,0.0230836,0.0745967,0.0166171,0.00819222,0.00780165,0.0152456,0.0329096,0.0479084,0.0202292,0.0132661,0.016923,0.0134538,0.00942678,0.0255798,0.0124738,0.00737279,0.0049267,0.00642941,0.00508816,0,0,0,0,0,0,0,0,0,0.0128585,0,0
106,0.0045605,0.00704977,0,0,0,0,0,0,0.0399653,0.0211368,0.00505953,0.0074296,0,0.00793561,0,0.0263053,0.0105397,0.0342158,0.0260334,0.0218363,0.0133638,0.0137709,0.0144501,0.0236665,0.0227175,0.0211032,0.0522328,0.00813327,0.00653333,0.0272346,0.0393601,0.0180782,0.0185477,0.00249791,0.0173969,0.00761216,0.0171478,0.0152719,0.0042811,0,0,0.0110413,0,0.0122661,0.00291154,0.0834074,0.0220121,0.0747235,0.0146933,0.00823795,0.00782107,0.0150725,0.0312531,0.0459446,0.0189848,0.0116026,0.0178383,0.0122418,0.00908877,0.0285507,0.0126444,0.00716293,0.00495239,0.00690031,0.00473004,0,0,0,0,0,0,0,0,0,0.0132047,0,0
107,0.00478176,0.00759438,0,0,0,0,0,0,0.0400775,0.0212606,0.00540213,0.00744797,0,0.00810322,0,0.0262338,0.0106165,0.0343893,0.026999,0.0219211,0.0135919,0.013685,0.0140573,0.0239184,0.023039,0.0212814,0.0519713,0.00844765,0.00653832,0.0269544,0.0397737,0.0179981,0.0185014,0.00247861,0.0181324,0.00782525,0.0146844,0.0151736,0.00415845,0,0,0.0114353,0,0.0122723,0.00299306,0.0832863,0.0210122,0.0749461,0.012973,0.00822109,0.00788525,0.0149195,0.0294317,0.043934,0.017832,0.0100325,0.0189622,0.0108459,0.00873206,0.0316795,0.0128098,0.00699412,0.00490969,0.0073599,0.00445836,0,0,0,0,0,0,0,0,0,0.0135851,0,0
108,0.00503229,0.00801214,0,0,0,0,0,0,0.0402651,0.0213588,0.00581775,0.00722443,0,0.00831877,0,0.0262279,0.0107373,0.0344885,0.0280541,0.021928,0.0136416,0.0134813,0.0137637,0.024138,0.0233482,0.0214046,0.0518538,0.00864613,0.00668426,0.0266536,0.040283,0.0179024,0.0184885,0.00247949,0.0189949,0.00803768,0.0123804,0.0148814,0.00407593,0,0,0.011888,0,0.0122821,0.00320534,0.0831273,0.0202636,0.0752654,0.0113584,0.00820922,0.00798625,0.0147076,0.0273955,0.0417739,0.0168644,0.00854312,0.0203126,0.00934291,0.0083598,0.0345092,0.0129628,0.00685452,0.00488581,0.00774987,0.00420578,0,0,0,0,0,0,0,0,0,0.0139478,0,0
109,0.00528926,0.00831537,0,0,0,0,0,0,0.0407922,0.0214364,0.00644114,0.00687041,0,0.00853531,0,0.026242,0.0108371,0.0345547,0.0292441,0.0218941,0.0135757,0.0132238,0.0134639,0.024308,0.0236373,0.0213837,0.0518775,0.00886516,0.00683855,0.026336,0.0410259,0.0177871,0.0184361,0.00249984,0.0204044,0.00823793,0.0103338,0.0143477,0.00401118,0,0,0.012302,0,0.0122907,0.00338733,0.0829645,0.0194044,0.0755317,0.0100483,0.00815091,0.0080436,0.014538,0.0252293,0.0395508,0.0161591,0.00692026,0.0218555,0.00764113,0.00766039,0.0372829,0.0130984,0.00672732,0.00487043,0.00805333,0.00398046,0,0,0,0,0,0,0,0,0,0.0142699,0,0
110,0.00513183,0.00799569,0,0,0,0,0,0,0.0411254,0.021897,0.00712337,0.00642239,0,0.00724839,0,0.0258255,0.0100452,0.0346048,0.0306211,0.0217414,0.0135036,0.012845,0.013551,0.0244359,0.0238691,0.0212675,0.051925,0.00916332,0.0069941,0.0259716,0.0419098,0.0167575,0.0184026,0.00210696,0.0227963,0.00853083,0.00851985,0.0136868,0.00397076,0,0,0.0123846,0,0.0123544,0.00338181,0.0827468,0.0174832,0.0756235,0.00927033,0.00803878,0.00861052,0.0146616,0.0229589,0.0374321,0.0157696,0.00534872,0.0234831,0.00572434,0.00646596,0.0404035,0.0128125,0.00687029,0.0049326,0.00799254,0.00295225,0,0,0,0,0,0,0,0,0,0.0146335,0,0
