Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LFHD,LKNE,LWRB,x79,
All Timesteps RMSE,0.0542691,0.0345832,0,0,0,0,0,0,0.0464009,0.0175386,0.0330806,0.058705,0,0,0.0247343,0.0266497,0.00961747,0.0331291,0.0353584,0.0206855,0.0447296,0.0355044,0.0173349,0.018241,0.0186491,0.039823,0.0228727,0.0227316,0.0233844,0.0178096,0.0566539,0.0273537,0.0205933,0.0495484,0.0109185,0.0400332,0.10797,0.0486585,0,0,0.0267838,0,0.0114225,0.0164075,0.055145,0.0552556,0.0269577,0.0918564,0.0270068,0.0351668,0.0312614,0.0279644,0.0476364,0.0448265,0.0458412,0.0246698,0.0254513,0.0428997,0.0523944,0.0238175,0.00954272,0.00850819,0.0273997,0.04677,0,0,0,0,0,0,0,0,0,0.0239115,0.0060157,0,0
0,0.0366553,0.0266078,0,0,0,0,0,0,0.036354,0.0183633,0.0314468,0.0495213,0,0,0.0292079,0.0300218,0.0151479,0.0302517,0.0507759,0.0257212,0.0498603,0.0262611,0.0212645,0.0180889,0.0128362,0.0309331,0.0351442,0.0339454,0.0315443,0.0137082,0.0570755,0.0265564,0.0230051,0.0597639,0.0107596,0.0390735,0.107867,0.0354175,0,0,0.0310146,0,0.0108688,0.0188699,0.0547502,0.0599319,0.0272698,0.0826827,0.0327946,0.0369615,0.0268154,0.0265386,0.0406487,0.0381939,0.0455693,0.0362734,0.0306164,0.0464367,0.0574008,0.0278807,0.006954,0.0085801,0.0267776,0.0346255,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0359799,0.026402,0,0,0,0,0,0,0.0375041,0.0180917,0.0319773,0.0499744,0,0,0.0290986,0.0297564,0.0153162,0.0305929,0.0507727,0.0260139,0.0504223,0.0266047,0.0208635,0.0171244,0.0128305,0.0304837,0.0358295,0.0348126,0.0319326,0.0138574,0.0591008,0.0262914,0.0227404,0.0620363,0.0108646,0.0399458,0.108271,0.0347398,0,0,0.0309242,0,0.0109827,0.0184338,0.0537914,0.0630227,0.0273015,0.085986,0.0330361,0.036678,0.0266361,0.0263825,0.0413993,0.0379615,0.0470017,0.0362622,0.0307958,0.0479815,0.0602007,0.027617,0.00742644,0.00843294,0.0267685,0.034004,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0353134,0.0263331,0,0,0,0,0,0,0.036714,0.0179191,0.0317423,0.0504444,0,0,0.0289474,0.0298004,0.0150169,0.0311311,0.049503,0.0262383,0.0507414,0.0268122,0.0209194,0.017259,0.0133055,0.0302893,0.0364591,0.0353163,0.0319352,0.0133833,0.0590331,0.0259289,0.0227165,0.0625807,0.0108982,0.0400318,0.108684,0.0341467,0,0,0.0307801,0,0.0110631,0.0184215,0.0531017,0.0648671,0.0273453,0.0877431,0.0333471,0.0365904,0.0263594,0.0258315,0.0417871,0.0376782,0.047641,0.0361198,0.0307352,0.0486914,0.0606318,0.0275768,0.00762419,0.00844908,0.0268518,0.0333862,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0346892,0.0262943,0,0,0,0,0,0,0.035827,0.017642,0.0310796,0.0508556,0,0,0.0289809,0.0299973,0.0148209,0.0316071,0.047391,0.0263615,0.0508582,0.0270655,0.0209401,0.0174832,0.0139747,0.0305658,0.0369882,0.0357146,0.031704,0.012708,0.0586022,0.0257647,0.0226755,0.0617269,0.0108985,0.0398115,0.109021,0.0335549,0,0,0.0304802,0,0.011086,0.018372,0.0526376,0.0657823,0.0272948,0.0883654,0.0337082,0.0365066,0.0259013,0.0250848,0.0423928,0.0371818,0.0476837,0.0358052,0.0304232,0.0487043,0.0593349,0.0274609,0.00773611,0.00855221,0.0269409,0.0328006,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0548928,0.0350736,0,0,0,0,0,0,0.0334714,0.0179178,0.030239,0.0500121,0,0,0.0251424,0.0281218,0.0106017,0.0318567,0.0455682,0.0254883,0.0475834,0.038907,0.020759,0.0173884,0.0145906,0.0306811,0.037205,0.0359344,0.0315499,0.0122221,0.0574436,0.0295966,0.0217084,0.0603025,0.0111633,0.0390776,0.107726,0.0472777,0,0,0.0288233,0,0.0114646,0.0177023,0.0522128,0.0647362,0.0270068,0.0882808,0.0358632,0.0360226,0.0257736,0.0246672,0.0434532,0.0371018,0.0465765,0.0345827,0.0291164,0.0473497,0.057194,0.0263504,0.00835849,0.00879202,0.0270406,0.0473601,0,0,0,0,0,0,0,0,0,0.0407703,0,0,0
5,0.054305,0.034935,0,0,0,0,0,0,0.0320762,0.0177779,0.0291271,0.0506546,0,0,0.0242385,0.0279311,0.010414,0.0327746,0.0426295,0.0258761,0.0480536,0.0380856,0.021112,0.0177284,0.0158401,0.0313138,0.0375933,0.0362174,0.0312379,0.0112897,0.0567748,0.0286625,0.0215429,0.0581445,0.0110125,0.03842,0.108588,0.0469105,0,0,0.0289774,0,0.0112886,0.0179782,0.0521226,0.0634682,0.0265189,0.086894,0.0355802,0.0364825,0.0252171,0.025089,0.044353,0.0362645,0.045579,0.0337951,0.0281397,0.0460349,0.0540973,0.0266747,0.00813469,0.0088624,0.0272896,0.0468905,0,0,0,0,0,0,0,0,0,0.0406458,0,0,0
6,0.0536565,0.0347657,0,0,0,0,0,0,0.0301343,0.0178441,0.0277428,0.0511592,0,0,0.0234465,0.0279567,0.0100379,0.0336504,0.0393519,0.0261167,0.0481282,0.0372296,0.0210141,0.0177116,0.0170599,0.0319226,0.0376009,0.036147,0.0306937,0.0104393,0.0550721,0.0278099,0.0215666,0.0567069,0.0109057,0.0376884,0.108963,0.0465055,0,0,0.0292931,0,0.0111963,0.0181497,0.0520989,0.0625831,0.0260854,0.0861059,0.035299,0.0369498,0.0245192,0.024968,0.0451736,0.0354818,0.0451076,0.0330752,0.0273926,0.0452659,0.0517651,0.0271028,0.00785807,0.00889418,0.0275389,0.0463738,0,0,0,0,0,0,0,0,0,0.0402619,0,0,0
7,0.0528472,0.0346314,0,0,0,0,0,0,0.0276245,0.0179174,0.026376,0.051548,0,0,0.0225272,0.0278255,0.00935245,0.0345361,0.0360205,0.0262251,0.0480435,0.0359223,0.0204403,0.0173531,0.0181413,0.0325294,0.0372999,0.0357475,0.0301222,0.00980015,0.0523841,0.026705,0.021536,0.0554513,0.0108306,0.0372321,0.109167,0.0459542,0,0,0.0296565,0,0.0111251,0.0182459,0.0521024,0.062101,0.0256619,0.0861461,0.0349463,0.037355,0.0240246,0.0247858,0.0455854,0.0349481,0.0450925,0.0323991,0.0268606,0.0449534,0.0500581,0.0275482,0.0077952,0.00889519,0.0277888,0.045647,0,0,0,0,0,0,0,0,0,0.0396348,0,0,0
8,0.0517896,0.0344702,0,0,0,0,0,0,0.0243513,0.0178837,0.0252758,0.051988,0,0,0.0216607,0.0277051,0.00871754,0.0354014,0.0329558,0.0261922,0.0479787,0.0343663,0.0197598,0.0167023,0.0190926,0.0332104,0.0367369,0.0352059,0.0295753,0.00946153,0.0487991,0.0255111,0.0214359,0.0540852,0.0107432,0.0374587,0.109501,0.0451296,0,0,0.0299528,0,0.0110364,0.0184186,0.052213,0.0622409,0.0253044,0.0871219,0.0345255,0.0375458,0.0238441,0.0245652,0.0455148,0.0347284,0.0455192,0.0318146,0.0266611,0.0450672,0.0483649,0.0278018,0.00789478,0.00888301,0.0279495,0.0446624,0,0,0,0,0,0,0,0,0,0.0387997,0,0,0
9,0.0504662,0.0340645,0,0,0,0,0,0,0.0209747,0.017897,0.0245454,0.0527837,0,0,0.0207404,0.0275447,0.00831636,0.036124,0.0299227,0.0257342,0.0481339,0.0326089,0.0191162,0.015961,0.0199429,0.033944,0.0360755,0.0346485,0.0289674,0.00945802,0.043724,0.0241761,0.0213182,0.0523774,0.0107049,0.0381602,0.110192,0.0440269,0,0,0.0300337,0,0.0109819,0.0185474,0.0525862,0.0630572,0.0249811,0.0889351,0.0338559,0.0374288,0.0240368,0.0242474,0.0452928,0.0349843,0.0463711,0.0313915,0.0268249,0.0456151,0.0462676,0.0277395,0.00791016,0.0088602,0.0279459,0.0434816,0,0,0,0,0,0,0,0,0,0.0376201,0,0,0
10,0.0406356,0.0281235,0,0,0,0,0,0,0.0180438,0,0.0243892,0.0551497,0,0,0.0373921,0.0214409,0.0370519,0.0374991,0.0271307,0.0259817,0.0521842,0.0192488,0.0194469,0.0147996,0.0205178,0.0344707,0.0353642,0.0341445,0.0282092,0.0103767,0.0388777,0.0280734,0.012521,0.0503564,0.0112606,0.0395075,0.11311,0.0356261,0,0,0.0275309,0,0.0111366,0.0173735,0.0526745,0.0652946,0.0251666,0.0911801,0.0319526,0.0332617,0.0241556,0.0244451,0.0454054,0.035436,0.0481201,0.0315264,0.0277235,0.0471436,0.0438616,0.0236996,0.00869224,0.00869528,0.0251242,0.0355476,0,0,0,0,0,0,0,0,0,0.0359363,0,0,0
11,0.0441082,0.031739,0,0,0,0,0,0,0.0133873,0.0176921,0.0237525,0.0555547,0,0,0.0203435,0.0269578,0.00969715,0.0376167,0.0243821,0.0245694,0.0499213,0.0282354,0.0180511,0.0127495,0.0210919,0.0354821,0.0348552,0.0335632,0.0277709,0.00997758,0.0300853,0.0221741,0.0207165,0.0485721,0.0106185,0.0394857,0.113357,0.0394584,0,0,0.0301773,0,0.0108251,0.0188293,0.0533954,0.0653498,0.0240765,0.0924318,0.0312591,0.0377219,0.0256639,0.0244819,0.0444932,0.0368882,0.0479488,0.0306889,0.0271841,0.046802,0.0421082,0.0276537,0.00788438,0.00887616,0.0283038,0.0383679,0,0,0,0,0,0,0,0,0,0.0342908,0,0,0
12,0.0429344,0.0301762,0,0,0,0,0,0,0.00985148,0.0174483,0.0233634,0.05706,0,0,0.0193246,0.0268182,0.00919873,0.0383085,0.0214416,0.0239601,0.051177,0.0268328,0.0175888,0.0109302,0.0215141,0.0362893,0.0343216,0.0330076,0.0272638,0.0104693,0.021104,0.0209435,0.0205635,0.0469384,0.0110304,0.0400823,0.115202,0.0378346,0,0,0.0283699,0,0.0111881,0.0181495,0.053575,0.0665546,0.0237569,0.0938892,0.0297325,0.0346023,0.0266706,0.0239858,0.0445209,0.0381918,0.0488407,0.0304657,0.0275361,0.0475639,0.0406657,0.0246831,0.0087659,0.00906844,0.0265152,0.0372697,0,0,0,0,0,0,0,0,0,0.0323523,0.00711848,0,0
13,0.0438521,0.0297666,0,0,0,0,0,0,0.00831375,0.0173839,0.0229705,0.0580545,0,0,0.018589,0.0265468,0.00892353,0.0387639,0.0186227,0.0230609,0.0517024,0.0272697,0.0171744,0.00958446,0.0216963,0.0370668,0.0337641,0.0324138,0.0267396,0.0111159,0.0119923,0.0207034,0.0204477,0.0458168,0.0112525,0.0410393,0.116274,0.0380811,0,0,0.0273474,0,0.0114247,0.0177814,0.0534564,0.0678732,0.023794,0.0954062,0.0287695,0.0329069,0.027171,0.022633,0.0452389,0.039237,0.049955,0.0302578,0.02804,0.0485731,0.0398613,0.0228711,0.00974226,0.00924154,0.0258101,0.0378402,0,0,0,0,0,0,0,0,0,0.0304224,0.00681457,0,0
14,0.0442252,0.029241,0,0,0,0,0,0,0.0110324,0.0174627,0.0228736,0.0588943,0,0,0.0183397,0.0263569,0.00880435,0.0391476,0.0164421,0.0220299,0.0521167,0.0278527,0.0167721,0.00830146,0.0216262,0.0378598,0.0332323,0.0318975,0.0262014,0.0118763,0.00554181,0.0207963,0.0204182,0.0442062,0.0115097,0.0411052,0.11716,0.0380148,0,0,0.0264199,0,0.0116681,0.0175155,0.0535373,0.0678189,0.023847,0.0958067,0.027865,0.0311072,0.027729,0.0226958,0.0451286,0.0396617,0.0501799,0.0297927,0.0280927,0.0487083,0.03878,0.0211198,0.0106843,0.00938193,0.0249763,0.0381047,0,0,0,0,0,0,0,0,0,0.0286079,0.00662085,0,0
15,0.0440898,0.0288303,0,0,0,0,0,0,0.0165592,0.017556,0.0224932,0.0597135,0,0,0.0183965,0.0262742,0.00875664,0.0394314,0.0155049,0.0208804,0.0526267,0.0282765,0.0161191,0.00709153,0.0213177,0.0385311,0.0327144,0.0314668,0.0257066,0.0127797,0.00876607,0.02103,0.0204319,0.0427915,0.011813,0.041191,0.118171,0.0376538,0,0,0.0257275,0,0.0119311,0.0173989,0.0537319,0.0676811,0.0238492,0.0962647,0.0270731,0.0292699,0.0280972,0.0228417,0.0449151,0.0398046,0.0504011,0.0292713,0.0279796,0.048843,0.038119,0.0193371,0.0115077,0.00955879,0.0239297,0.0379852,0,0,0,0,0,0,0,0,0,0.0266518,0.00645301,0,0
16,0.04759,0.0307714,0,0,0,0,0,0,0.0225654,0.0174042,0.0219935,0.0598342,0,0,0.0197347,0.0265968,0.0090398,0.0394307,0.0159077,0.0191387,0.0511904,0.032223,0.0150645,0.00622852,0.0207979,0.0390774,0.0320351,0.0309868,0.0252502,0.0139067,0.0176467,0.0232126,0.0204976,0.0416886,0.0120016,0.0410332,0.118302,0.0401278,0,0,0.0252787,0,0.0121322,0.0170137,0.0538033,0.0672564,0.0238354,0.0971279,0.0268343,0.0283074,0.0283911,0.0228388,0.0449208,0.0401296,0.0504767,0.0285909,0.0275704,0.0487811,0.0378209,0.0184106,0.0120649,0.00965365,0.0239305,0.040993,0,0,0,0,0,0,0,0,0,0.024405,0.00646135,0,0
17,0.0476697,0.0302169,0,0,0,0,0,0,0.027755,0.0175005,0.0221521,0.0606902,0,0,0.0191064,0.0262794,0.00847048,0.0394749,0.0178569,0.0182389,0.0514194,0.0320563,0.0139154,0.00583331,0.0200966,0.0395055,0.0310664,0.0303136,0.0248261,0.0150881,0.025173,0.0228185,0.0203809,0.0405766,0.0121051,0.0408369,0.119239,0.0403937,0,0,0.0254106,0,0.0122107,0.01681,0.0539716,0.0670969,0.0237847,0.0982531,0.0266724,0.0283139,0.0286701,0.0228673,0.0450032,0.0405405,0.0506722,0.0280217,0.0273252,0.0488705,0.0377919,0.018006,0.0123429,0.00971954,0.0241748,0.0410559,0,0,0,0,0,0,0,0,0,0.0220894,0.00615759,0,0
18,0.047399,0.0296933,0,0,0,0,0,0,0.0321093,0.0176309,0.0231036,0.0620783,0,0,0.0186101,0.0260769,0.00796664,0.0390827,0.0206689,0.0170264,0.0519996,0.0317929,0.012584,0.00626237,0.0193141,0.0399263,0.0298001,0.029564,0.0245279,0.0163296,0.030961,0.0225097,0.0202816,0.0393422,0.0122382,0.0404989,0.120414,0.0403044,0,0,0.025546,0,0.0123519,0.0170135,0.0541267,0.0666539,0.023591,0.099399,0.0265772,0.0282817,0.0290392,0.0230381,0.0450379,0.0412157,0.0506527,0.0273215,0.0269777,0.0486489,0.0377961,0.0175704,0.0123539,0.00980656,0.0244153,0.0406749,0,0,0,0,0,0,0,0,0,0.0197336,0.00612542,0,0
19,0.0473075,0.029707,0,0,0,0,0,0,0.0349381,0.0177449,0.024702,0.063471,0,0,0.0182808,0.0259452,0.00759758,0.038481,0.0241765,0.0160974,0.0523885,0.0317315,0.0111254,0.00738098,0.0184149,0.0404064,0.0283337,0.0287632,0.0242534,0.0174924,0.0348326,0.0223656,0.0202267,0.0382034,0.0123057,0.0401841,0.12121,0.0402962,0,0,0.0257603,0,0.0124622,0.0169101,0.0543019,0.0661995,0.0233936,0.100358,0.0267795,0.0283809,0.0294025,0.0232385,0.045279,0.0418753,0.050527,0.0266232,0.0266625,0.0483595,0.0379433,0.0173337,0.0122339,0.00985959,0.0244825,0.040372,0,0,0,0,0,0,0,0,0,0.0174108,0.00603505,0,0
20,0.0471291,0.0296435,0,0,0,0,0,0,0.0361551,0.0178172,0.026445,0.0650867,0,0,0.0177411,0.0255511,0.00736183,0.0376714,0.0279381,0.0148377,0.05294,0.0314185,0.00974137,0.00887068,0.0175465,0.0408989,0.0267661,0.027892,0.0239891,0.0184719,0.0367272,0.0219957,0.0200732,0.0371642,0.0123545,0.0399781,0.121949,0.0401786,0,0,0.0258146,0,0.0125512,0.0169908,0.0545758,0.066085,0.0230493,0.101318,0.0267936,0.0283895,0.0297741,0.0232711,0.0458743,0.0425755,0.0505716,0.0259816,0.0264406,0.0482686,0.0385366,0.0170446,0.0124593,0.00988165,0.0244177,0.0399371,0,0,0,0,0,0,0,0,0,0.0147516,0.00577356,0,0
21,0.0471513,0.0296981,0,0,0,0,0,0,0.0362096,0.0178609,0.0281713,0.0667151,0,0,0.0174067,0.0252839,0.00700608,0.0369701,0.0318056,0.0139038,0.0533387,0.031249,0.00922459,0.0106717,0.0165874,0.0413812,0.0252848,0.0269621,0.0237333,0.019177,0.036409,0.0217195,0.019982,0.0363898,0.0123687,0.0397275,0.122382,0.0402224,0,0,0.0257096,0,0.012573,0.0172412,0.0549274,0.0661136,0.0227987,0.102174,0.0268801,0.0285612,0.0303295,0.0233462,0.0461149,0.0432882,0.0506609,0.0253715,0.0263029,0.0482771,0.0394452,0.0169135,0.012731,0.00989983,0.0243814,0.0397822,0,0,0,0,0,0,0,0,0,0.0121213,0.00554359,0,0
22,0.0474529,0.0298248,0,0,0,0,0,0,0.035284,0.0179165,0.0295902,0.0681599,0,0,0.0175129,0.0251889,0.00665559,0.0363809,0.0353322,0.0133767,0.0534034,0.0313508,0.00943688,0.0123605,0.0156451,0.0417653,0.0240539,0.0260892,0.0235193,0.0195871,0.0346779,0.0217808,0.0199618,0.0359042,0.0123415,0.0396659,0.122459,0.0405098,0,0,0.0254298,0,0.0125231,0.0173105,0.0555274,0.0663071,0.0226896,0.102979,0.0270269,0.0288981,0.0309198,0.0234674,0.0461501,0.0440288,0.0508635,0.0248742,0.0263075,0.0485011,0.0406363,0.0170039,0.0126439,0.0099302,0.0243927,0.0400041,0,0,0,0,0,0,0,0,0,0.00967111,0.00557175,0,0
23,0.048033,0.0301342,0,0,0,0,0,0,0.0335724,0.0179129,0.0303841,0.0694354,0,0,0.017841,0.025183,0.00660326,0.0358439,0.0381131,0.0133009,0.053089,0.0316004,0.00868719,0.0137641,0.0148017,0.0419179,0.0232031,0.0253087,0.0233758,0.0196553,0.0319275,0.022017,0.0199487,0.0356147,0.0122588,0.0397644,0.122174,0.0411545,0,0,0.0252325,0,0.0124397,0.0171585,0.0561945,0.0665871,0.0227187,0.103751,0.0271238,0.0295099,0.0316059,0.0235234,0.0461353,0.0447351,0.0511965,0.0244768,0.0264277,0.0489357,0.0420787,0.0173943,0.0124537,0.00993507,0.0246501,0.0405966,0,0,0,0,0,0,0,0,0,0.00740104,0.0055969,0,0
24,0.0487725,0.0306526,0,0,0,0,0,0,0.0313535,0.0178665,0.0304452,0.0705014,0,0,0.0182412,0.0251944,0.0066778,0.0352123,0.0399557,0.0134713,0.0524534,0.0318695,0.00991107,0.0153798,0.0141008,0.0418475,0.0227717,0.024632,0.0232994,0.0193904,0.0288164,0.0222495,0.0199395,0.0354169,0.0121346,0.039798,0.121599,0.0420448,0,0,0.025195,0,0.0123279,0.0170281,0.0566924,0.0669277,0.0228892,0.104396,0.0269626,0.0303032,0.032383,0.0234884,0.0460804,0.0453392,0.0515358,0.0240878,0.0265959,0.0493876,0.043558,0.0181073,0.0122045,0.00990993,0.025076,0.0413872,0,0,0,0,0,0,0,0,0,0.00574158,0.00549956,0,0
25,0.0492457,0.0309408,0,0,0,0,0,0,0.02866,0.0178746,0.0296186,0.0714356,0,0,0.0182911,0.0251542,0.00672065,0.0344968,0.0405011,0.01315,0.0520945,0.0318659,0.010942,0.016888,0.013363,0.0417822,0.0227185,0.0241696,0.0233415,0.0188941,0.0258643,0.0221917,0.0199165,0.0351141,0.0120508,0.0396281,0.121156,0.0427388,0,0,0.0251312,0,0.0122197,0.0169282,0.0568631,0.0670157,0.0230672,0.104872,0.0267708,0.0307801,0.0331395,0.0234741,0.0459621,0.0460014,0.0515824,0.0236431,0.0266682,0.0495238,0.0446902,0.0185139,0.0120303,0.00990121,0.0253561,0.0418952,0,0,0,0,0,0,0,0,0,0.00489845,0.00541957,0,0
26,0.0499369,0.0314046,0,0,0,0,0,0,0.025649,0.0178641,0.0281477,0.0719639,0,0,0.0184915,0.0251803,0.00675142,0.0339749,0.0401968,0.0132193,0.0514401,0.0321123,0.0115772,0.0183583,0.0127343,0.0416986,0.0228775,0.0238571,0.023495,0.0181548,0.0228455,0.0223972,0.0199247,0.0346737,0.0119677,0.0393126,0.120514,0.0436316,0,0,0.0250986,0,0.0121097,0.0169299,0.0567408,0.0668341,0.0233867,0.105162,0.026969,0.0313396,0.033701,0.0235038,0.0458028,0.0465674,0.0514015,0.023212,0.0266873,0.0494027,0.0453055,0.0189409,0.0117693,0.00988395,0.0257594,0.0425513,0,0,0,0,0,0,0,0,0,0.00500546,0.00541501,0,0
27,0.0509914,0.0322676,0,0,0,0,0,0,0.0225913,0.0177983,0.0263719,0.0720206,0,0,0.0190913,0.0252806,0.00689622,0.0335448,0.0394158,0.0137675,0.0502866,0.0327546,0.0123424,0.0198933,0.0122314,0.0414612,0.0231669,0.0236303,0.0237212,0.0172287,0.0200611,0.0229971,0.0199395,0.0342939,0.0118465,0.0389899,0.119561,0.0448576,0,0,0.0251542,0,0.0120292,0.0169517,0.0567194,0.0666371,0.0238282,0.105428,0.0272543,0.0321987,0.0340442,0.0235379,0.0456753,0.0468219,0.0512385,0.0228572,0.0266915,0.0492592,0.0457952,0.0196041,0.0114665,0.00984029,0.0263011,0.0435233,0,0,0,0,0,0,0,0,0,0.0056578,0.00547454,0,0
28,0.0519026,0.0330179,0,0,0,0,0,0,0.0197278,0.0177595,0.0244263,0.0716713,0,0,0.0196836,0.0253357,0.00698415,0.0329688,0.0380748,0.0139518,0.0491217,0.0331981,0.0129095,0.0210919,0.0115626,0.0411525,0.0235136,0.0236841,0.0239637,0.0162919,0.0179254,0.0234551,0.0199612,0.0339484,0.0117241,0.0386804,0.118572,0.0459685,0,0,0.0251683,0,0.0119415,0.0168425,0.05672,0.0664409,0.0242329,0.105577,0.0272943,0.0330138,0.0343327,0.0235807,0.0455704,0.0470168,0.051075,0.0225595,0.0266848,0.0491078,0.0461835,0.0202206,0.0113707,0.00977238,0.0266733,0.0443956,0,0,0,0,0,0,0,0,0,0.00625285,0.00558402,0,0
29,0.0525962,0.0334965,0,0,0,0,0,0,0.0169535,0.0177611,0.0224476,0.0710945,0,0,0.0200776,0.0253597,0.00704371,0.0322575,0.0364806,0.0136883,0.0481655,0.033332,0.0132737,0.0221504,0.0108231,0.0409697,0.0238995,0.023826,0.0242012,0.0154393,0.0163337,0.0236549,0.0199788,0.0336152,0.0116463,0.0383544,0.117747,0.0468429,0,0,0.0251727,0,0.011861,0.0168044,0.0566815,0.0660835,0.0245776,0.105639,0.0271381,0.0335753,0.0345835,0.023648,0.0454953,0.0472574,0.0509145,0.0222766,0.0266769,0.0489479,0.0464483,0.0205941,0.0114213,0.00973305,0.0268239,0.0450524,0,0,0,0,0,0,0,0,0,0.00684365,0.00576232,0,0
30,0.0533339,0.0339787,0,0,0,0,0,0,0.014528,0.0177317,0.0208242,0.0703985,0,0,0.0203803,0.0253898,0.00722098,0.0316162,0.0349832,0.0135531,0.047224,0.0335095,0.0137632,0.0227911,0.0100863,0.040917,0.0242146,0.0240583,0.0244199,0.0147066,0.015408,0.0238135,0.019986,0.0333188,0.0115559,0.0380475,0.117143,0.0477414,0,0,0.0252088,0,0.0117514,0.0166145,0.056693,0.0656431,0.0249599,0.105698,0.0271002,0.0341225,0.0348184,0.023763,0.0454557,0.0474675,0.0507119,0.0219891,0.0266287,0.0487524,0.0466392,0.0209225,0.0112134,0.00972419,0.0270403,0.0457687,0,0,0,0,0,0,0,0,0,0.00753477,0.00569549,0,0
31,0.0543394,0.0346723,0,0,0,0,0,0,0.0131337,0.0176671,0.0199054,0.0696192,0,0,0.0207819,0.0255078,0.00756779,0.0311883,0.0340865,0.0140394,0.0459966,0.0340722,0.0144855,0.0235491,0.00944611,0.0409103,0.0242235,0.0241362,0.0245318,0.0142311,0.0153081,0.0243009,0.0200283,0.0330945,0.0114016,0.0377922,0.116452,0.0488565,0,0,0.0251694,0,0.0116176,0.0163351,0.0566913,0.0652114,0.0254963,0.105737,0.0272196,0.0349103,0.0349842,0.0238635,0.0453802,0.0476217,0.0504963,0.0217298,0.026632,0.0485726,0.0468,0.0214771,0.0108869,0.00968441,0.0274383,0.0467614,0,0,0,0,0,0,0,0,0,0.00826636,0.00566391,0,0
32,0.0551637,0.0351573,0,0,0,0,0,0,0.0133245,0.0176334,0.0198719,0.068934,0,0,0.0210026,0.0256061,0.00782477,0.0308039,0.0339296,0.0142958,0.0449956,0.034574,0.0148698,0.0242533,0.00888612,0.0410695,0.0237471,0.0238729,0.0244768,0.0142994,0.0161912,0.0247747,0.0200523,0.0329116,0.011272,0.0375581,0.116023,0.0497532,0,0,0.0249402,0,0.0115028,0.0162587,0.0567973,0.064747,0.0259039,0.105791,0.0273099,0.0355031,0.0351437,0.0239728,0.045358,0.0478319,0.0503249,0.0214594,0.02665,0.0483873,0.0469468,0.0217719,0.0106472,0.0096126,0.027774,0.0475662,0,0,0,0,0,0,0,0,0,0.00881023,0.0057179,0,0
33,0.0557735,0.0354684,0,0,0,0,0,0,0.0151527,0.0176561,0.0207078,0.0684684,0,0,0.0212189,0.025606,0.00795464,0.0305883,0.0344182,0.0143475,0.0443485,0.0348743,0.0150935,0.0248596,0.00840328,0.0414359,0.0228244,0.0231595,0.024206,0.0149119,0.0181459,0.0249841,0.0200518,0.0327676,0.0112066,0.0373554,0.115937,0.0504381,0,0,0.02461,0,0.0114497,0.0162527,0.0569814,0.0642489,0.0261721,0.10586,0.0276227,0.0358116,0.0352967,0.0241259,0.0454544,0.0480235,0.0501572,0.0211869,0.0266318,0.0481719,0.0470767,0.0217238,0.0105647,0.00959626,0.0280775,0.0481656,0,0,0,0,0,0,0,0,0,0.0092691,0.00586289,0,0
34,0.056245,0.035699,0,0,0,0,0,0,0.0181033,0.0176998,0.0222498,0.0682175,0,0,0.0213663,0.0255287,0.0079016,0.0305837,0.0353964,0.0144048,0.0439645,0.0350098,0.01522,0.0255013,0.00815548,0.0419763,0.0215182,0.0217086,0.0237206,0.0159402,0.0208297,0.0249783,0.0200394,0.0325759,0.0111874,0.037103,0.116087,0.051043,0,0,0.0242783,0,0.0114095,0.016166,0.0572685,0.0636581,0.0263315,0.105832,0.0281922,0.0358909,0.0354202,0.0243371,0.0455332,0.0480628,0.0499693,0.0209484,0.0265552,0.0479318,0.0471406,0.0214728,0.0105863,0.00959297,0.0283807,0.0486496,0,0,0,0,0,0,0,0,0,0.00948244,0.00594658,0,0
