Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LFHD,LKNE,LWRB,x79,
131,0.0538793,0.0356137,0,0,0,0,0,0,0.0202245,0.0164774,0.0234412,0.0544001,0,0,0.0298032,0.0290005,0.0119334,0.0367791,0.0307753,0.0257731,0.0487022,0.0381261,0.0198095,0.0167343,0.0217523,0.0361031,0.0356966,0.0342881,0.0287002,0.0102274,0.0424024,0.0308416,0.0212367,0.0610573,0.0118302,0.0395403,0.112585,0.0466459,0,0,0.0277206,0,0.0122335,0.0174183,0.0516413,0.0635353,0.0273463,0.0883389,0.0328835,0.0361557,0.0256788,0.0245837,0.0433935,0.0359191,0.0464875,0.0321858,0.0268899,0.0455713,0.0568325,0.0247036,0.0104647,0.00945427,0.0299649,0.0468998,0,0,0,0,0,0,0,0,0,0.0363164,0.0070737,0,0
132,0.0534195,0.0351771,0,0,0,0,0,0,0.016716,0.0165339,0.0230554,0.0564031,0,0,0.0286928,0.0288504,0.0116467,0.0375381,0.0280791,0.0254174,0.0495459,0.0373848,0.0192808,0.015384,0.0223363,0.0371163,0.0349731,0.0336385,0.0280979,0.0103773,0.0378388,0.029845,0.0211975,0.059999,0.0117861,0.0405819,0.114165,0.0459689,0,0,0.0273098,0,0.0121242,0.017485,0.0520498,0.0641706,0.0267356,0.0898684,0.0319307,0.0354543,0.025733,0.0245169,0.0431999,0.0360021,0.0468985,0.0313058,0.0267021,0.0458518,0.0550663,0.0239394,0.0107531,0.00952138,0.0296826,0.0462607,0,0,0,0,0,0,0,0,0,0.0344321,0.00688192,0,0
133,0.0529914,0.034821,0,0,0,0,0,0,0.0136229,0.016613,0.022827,0.0581456,0,0,0.0275416,0.0287938,0.0112848,0.0382846,0.0255862,0.0249483,0.0500533,0.0366749,0.0188567,0.014213,0.0226803,0.0378208,0.0341982,0.032973,0.0274585,0.0107687,0.0310598,0.0289149,0.0211616,0.0583893,0.0117675,0.0411498,0.115301,0.0454302,0,0,0.0269206,0,0.0120285,0.0174857,0.0525567,0.0647807,0.0262487,0.0910387,0.0310802,0.034787,0.0262702,0.0245366,0.0431685,0.0366572,0.0471149,0.030734,0.0266201,0.0460238,0.0525583,0.0231872,0.0111322,0.00960606,0.0294121,0.0457426,0,0,0,0,0,0,0,0,0,0.0323424,0.00669689,0,0
134,0.0524449,0.0344351,0,0,0,0,0,0,0.0105828,0.0167097,0.022658,0.0595984,0,0,0.026349,0.0285641,0.0107398,0.0390328,0.0231358,0.0243701,0.0505126,0.0359298,0.0185409,0.0128807,0.0229293,0.0381609,0.0334369,0.032321,0.0268487,0.0112921,0.0228329,0.0279995,0.0210663,0.0566277,0.0118021,0.041337,0.116281,0.0448435,0,0,0.0266145,0,0.011992,0.0174415,0.0530303,0.0653023,0.025867,0.092071,0.0302239,0.0340339,0.0270592,0.0246756,0.0433001,0.0376868,0.0473853,0.0302921,0.026561,0.046029,0.0498975,0.0224824,0.0115952,0.00970714,0.0290904,0.0451611,0,0,0,0,0,0,0,0,0,0.0303921,0.00648426,0,0
135,0.051712,0.033903,0,0,0,0,0,0,0.00938226,0.0168428,0.0224904,0.0606965,0,0,0.025072,0.0282081,0.0100519,0.0396472,0.0203121,0.0234618,0.0510247,0.0349958,0.0184669,0.011358,0.023022,0.0381153,0.0327312,0.031699,0.026362,0.0118606,0.0133682,0.0269943,0.0209239,0.0545029,0.0118774,0.0412808,0.117161,0.0441998,0,0,0.026319,0,0.0120215,0.0173364,0.0532625,0.0656073,0.0255544,0.0928382,0.0292679,0.0332046,0.0277928,0.0246186,0.0437262,0.0387597,0.0475204,0.0298659,0.0265421,0.0459498,0.0474986,0.0216502,0.0120267,0.00981902,0.0286591,0.0443999,0,0,0,0,0,0,0,0,0,0.028588,0.00621056,0,0
136,0.0507985,0.0331923,0,0,0,0,0,0,0.0110087,0.0170051,0.0222969,0.0616313,0,0,0.0236884,0.0277599,0.00939185,0.0399993,0.0174912,0.0221022,0.0518162,0.0338824,0.0183415,0.0102241,0.0228276,0.0381793,0.0321387,0.0311104,0.0259003,0.012521,0.00437934,0.0258755,0.0207526,0.0520638,0.0119653,0.0410755,0.118031,0.0434466,0,0,0.0259521,0,0.012116,0.0172142,0.053451,0.0655404,0.0252747,0.0935387,0.0282034,0.0323002,0.0282296,0.0244852,0.044177,0.0396346,0.0475152,0.029386,0.0264849,0.0458154,0.0451197,0.0206615,0.0124479,0.00993136,0.0281207,0.04345,0,0,0,0,0,0,0,0,0,0.0268067,0.00592811,0,0
137,0.0501575,0.0326822,0,0,0,0,0,0,0.0144679,0.017111,0.0221613,0.0621595,0,0,0.0227078,0.0274679,0.00901888,0.0402252,0.0157496,0.0209422,0.0522466,0.033123,0.0179774,0.00938127,0.0224763,0.0383636,0.0316367,0.0305438,0.025416,0.0132163,0.00619027,0.025092,0.0206224,0.049667,0.0120346,0.0407746,0.118558,0.0429667,0,0,0.0256523,0,0.012185,0.0171483,0.0536791,0.0650093,0.0251573,0.0942077,0.0274978,0.0316792,0.0286592,0.0244143,0.0445133,0.0401321,0.0475046,0.0289202,0.026377,0.0456631,0.0428326,0.019865,0.0128023,0.00997834,0.0277465,0.0428508,0,0,0,0,0,0,0,0,0,0.0249451,0.00575513,0,0
138,0.0497779,0.0323459,0,0,0,0,0,0,0.0184156,0.0171703,0.0219069,0.0624168,0,0,0.0220459,0.0272912,0.00879729,0.0403255,0.0155142,0.0199836,0.0523927,0.0326763,0.0174795,0.00863034,0.0220215,0.0385818,0.0310508,0.0299621,0.0248505,0.0139646,0.0121357,0.024587,0.0205188,0.0476821,0.0121124,0.0405791,0.118918,0.0427402,0,0,0.0255029,0,0.0122235,0.01712,0.0540019,0.0645442,0.0251217,0.0949071,0.027063,0.0312445,0.0289145,0.0244793,0.0447152,0.0403272,0.0476843,0.0283958,0.0262347,0.0457095,0.0410112,0.0193854,0.013136,0.00999624,0.027501,0.0425163,0,0,0,0,0,0,0,0,0,0.0227927,0.0056366,0,0
139,0.049447,0.0320764,0,0,0,0,0,0,0.0223565,0.0172221,0.0218241,0.062703,0,0,0.021516,0.027085,0.00858461,0.0402139,0.0165373,0.0190151,0.0525602,0.0323631,0.0170742,0.00797291,0.0214105,0.0389758,0.0301914,0.0292529,0.0242797,0.0148131,0.0178382,0.0242067,0.020429,0.0462786,0.0121949,0.0408328,0.119365,0.0425463,0,0,0.0254437,0,0.0122692,0.0170388,0.054301,0.0645755,0.0250291,0.0960078,0.0267878,0.0308881,0.0290952,0.0243915,0.0449941,0.0405308,0.0482489,0.0278108,0.0260996,0.0461361,0.0399241,0.0190723,0.0133531,0.00998278,0.0273332,0.0421901,0,0,0,0,0,0,0,0,0,0.020261,0.00551636,0,0
140,0.0490922,0.0318083,0,0,0,0,0,0,0.0258869,0.0172801,0.022421,0.0632038,0,0,0.0210275,0.0268872,0.00836587,0.0398649,0.0186469,0.0180012,0.0528209,0.0320901,0.016371,0.00764329,0.0205901,0.0395592,0.0290685,0.0284586,0.023827,0.0157672,0.0228118,0.0238987,0.0203588,0.0451993,0.0122469,0.0414478,0.119967,0.0423326,0,0,0.0253382,0,0.012321,0.0169871,0.0545087,0.065002,0.0248731,0.0974839,0.0265822,0.0306406,0.0293791,0.0241194,0.0454018,0.0409632,0.0491138,0.0272355,0.0260213,0.0468069,0.0394726,0.0186803,0.01351,0.00992754,0.0271658,0.041775,0,0,0,0,0,0,0,0,0,0.0175579,0.00539776,0,0
