Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_M,RTHII,IMUR_M,IMUR_B
32,0.0455861,0.027272,0,0,0,0.0358894,0.0175136,0.0233613,0.0376383,0,0,0.0370284,0,0.0262075,0.0133159,0.0381387,0.0161726,0.029756,0.0316378,0.0485232,0.0303371,0.0488702,0.0435006,0.0463686,0.0444832,0.0222166,0.0204782,0.0204186,0.0153926,0.0447465,0.0340746,0.0200778,0.00612819,0.0487871,0.00880718,0.0217611,0.0930654,0.0395526,0,0,0.0170531,0,0.00899177,0.00673339,0.0548919,0.00629959,0.0234926,0.0538415,0.0294119,0.0248443,0.060614,0.0384027,0.0703753,0.018365,0.012138,0.0126869,0.0132264,0.0535284,0.0139647,0.00292342,0.00227895,0.0234441,0.0419555,0,0,0,0,0,0,0,0,0,0.0352557,0,0
33,0.0456419,0.0271848,0,0,0,0.0358038,0.0175549,0.0234258,0.0373786,0,0,0.037179,0,0.0261693,0.0132073,0.0378961,0.0164315,0.0298185,0.0314143,0.0481567,0.0305285,0.0486621,0.0434029,0.0462582,0.0440601,0.0221723,0.0204818,0.0204324,0.0152025,0.0448595,0.034264,0.0200828,0.00616843,0.0488006,0.00879043,0.0205262,0.0927475,0.0394576,0,0,0.0172008,0,0.00895802,0.00683081,0.0544159,0.00356256,0.0237322,0.0533478,0.0299518,0.0247843,0.0619026,0.0391064,0.0710564,0.017162,0.0140541,0.0125369,0.0131081,0.0542095,0.0141584,0.00297026,0.00227621,0.023487,0.0420075,0,0,0,0,0,0,0,0,0,0.0339752,0,0
34,0.0457834,0.027344,0,0,0,0.0357153,0.0175498,0.0235184,0.0370583,0,0,0.0373751,0,0.0261976,0.0133246,0.037623,0.017013,0.0298836,0.0312538,0.0475632,0.0307158,0.0485053,0.043337,0.0461654,0.0436312,0.0221519,0.0204981,0.020485,0.015047,0.0449924,0.0345041,0.0200705,0.00620199,0.0489733,0.00877706,0.0198951,0.092341,0.0394227,0,0,0.0173881,0,0.00892967,0.00693301,0.0539607,0.00347668,0.0239244,0.0530521,0.0306099,0.0247656,0.0632579,0.0400688,0.0717938,0.0164562,0.0163834,0.01265,0.0133723,0.0548159,0.0143219,0.00301269,0.00228904,0.0235189,0.042178,0,0,0,0,0,0,0,0,0,0.0327169,0,0
35,0.0459244,0.0274603,0,0,0,0.0356515,0.017569,0.0235143,0.0367631,0,0,0.0376855,0,0.02624,0.0136092,0.037368,0.0179185,0.0299627,0.0311645,0.046857,0.0309816,0.0483606,0.0432862,0.0460796,0.0432577,0.0221581,0.0206013,0.0205174,0.0148933,0.0452042,0.0347824,0.0200633,0.00622163,0.0493759,0.00878852,0.0200432,0.0918775,0.0393713,0,0,0.0176328,0,0.00891367,0.00701897,0.053495,0.00643842,0.0241034,0.0529664,0.031314,0.024788,0.0646284,0.0412292,0.0725686,0.0166279,0.0188485,0.0132133,0.0143007,0.0554764,0.0144605,0.00302964,0.00231058,0.0235571,0.0423997,0,0,0,0,0,0,0,0,0,0.0317057,0,0
36,0.046423,0.0276712,0,0,0,0.035574,0.0175515,0.0234108,0.0366339,0,0,0.0381803,0,0.0263063,0.0138853,0.0371313,0.018799,0.0301314,0.0312066,0.0461394,0.0316122,0.0483887,0.0434602,0.046139,0.0430481,0.0222249,0.0207172,0.0205579,0.0147001,0.0450886,0.0352414,0.0200621,0.00626676,0.0493573,0.00880763,0.0205591,0.0916958,0.0396459,0,0,0.0178661,0,0.00888958,0.0072323,0.0529191,0.0099165,0.0244448,0,0.0324605,0.0249762,0.0661935,0.0427087,0.0737019,0.0183362,0.0218043,0.0142583,0.0167155,0.0555547,0.0146507,0.00305674,0.00228837,0.0237051,0.0429823,0,0,0,0,0,0,0,0,0,0.0316824,0,0
37,0.0461174,0.0274786,0,0,0,0.0356977,0.0175951,0.0232992,0.0362084,0,0,0.0381775,0,0.0262608,0.0138483,0.0369504,0.0194456,0.0302224,0.0311605,0.0455461,0.0316402,0.0483246,0.0435134,0.0460395,0.0427534,0.0222921,0.0207491,0.0206221,0.0145253,0.0455199,0.0353745,0.0200508,0.00622241,0.0491817,0.008846,0.022038,0.0910617,0.0393889,0,0,0.0181182,0,0.0089189,0.00739184,0.0523975,0.013252,0.0244794,0.0530676,0.0327058,0.0247176,0.067868,0.0440718,0.0742954,0.018962,0.0243295,0.015764,0.0177177,0.0555978,0.0147953,0.00306177,0.00226181,0.0235578,0.0428389,0,0,0,0,0,0,0,0,0,0.0302883,0,0
38,0.0462321,0.0275099,0,0,0,0.03582,0.0175918,0.0232462,0.0356844,0,0,0.0383223,0,0.0263278,0.0139433,0.0368139,0.0202833,0.0303789,0.0311097,0.0449483,0.0318826,0.048293,0.0435611,0.0459618,0.0424637,0.0223705,0.020865,0.0206773,0.0142847,0.0459067,0.0357188,0.0200932,0.00627997,0.0485553,0.00884424,0.0236271,0.0905994,0.0394076,0,0,0.0183091,0,0.00893598,0.00757835,0.0516637,0.0164716,0.0246522,0.0532038,0.0335384,0.0246829,0.0694127,0.0456074,0.0751909,0.0209483,0.0274035,0.0177109,0.0201223,0.054767,0.0149648,0.0031084,0.0022767,0.0236907,0.0431336,0,0,0,0,0,0,0,0,0,0.029996,0,0
39,0.0464148,0.0277202,0,0,0,0.0361262,0.0175863,0.0232141,0.035249,0,0,0.038481,0,0.0264417,0.0141135,0.03666,0.0215185,0.030564,0.0310381,0.0443983,0.0321247,0.0482278,0.0435594,0.0458739,0.0421335,0.0224595,0.0209939,0.0207384,0.0140029,0.0463646,0.0360825,0.0201276,0.00634157,0.0478002,0.00887153,0.025443,0.0901359,0.0393164,0,0,0.0184404,0,0.00897996,0.00777433,0.0508301,0.0195792,0.0248049,0.0536701,0.0348041,0.0246178,0.0707623,0.0471974,0.0761748,0.0234982,0.0307172,0.0202068,0.0231192,0.0531018,0.0150369,0.00315106,0.00230985,0.0238503,0.0434246,0,0,0,0,0,0,0,0,0,0.0302135,0,0
40,0.0464837,0.0278472,0,0,0,0.0363556,0.0176117,0.0233265,0.0349915,0,0,0.0386918,0,0.026464,0.0142417,0.0363571,0.0228144,0.03073,0.0310403,0.0440663,0.032329,0.048169,0.0435624,0.0458256,0.0418065,0.0225969,0.0210127,0.0208415,0.0137225,0.0468121,0.0362464,0.0201245,0.00622934,0.0461265,0.00893193,0.0274146,0.0898064,0.039205,0,0,0.018645,0,0.0090549,0.00798836,0.0499541,0.0227456,0.0248941,0.0540625,0.0363819,0.0244738,0.071976,0.048916,0.0771339,0.0263296,0.0339943,0.0231122,0.026375,0.0504021,0.0150894,0.00313397,0.00233524,0.0238828,0.0435363,0,0,0,0,0,0,0,0,0,0.0307493,0,0
41,0.0464738,0.0279134,0,0,0,0.0365214,0.0176439,0.0233363,0.0345051,0,0,0.0387545,0,0.0264519,0.0142582,0.0359198,0.024141,0.0309533,0.0309881,0.0437415,0.0324907,0.0480566,0.0435357,0.0457618,0.0415095,0.0227636,0.0210704,0.0210371,0.0134633,0.0473073,0.0363537,0.0201059,0.00621787,0.0441657,0.00899702,0.0294146,0.0893177,0.0391006,0,0,0.018881,0,0.00911603,0.00806658,0.0491534,0.0257617,0.0250389,0.0544466,0.0372666,0.0243283,0.0731234,0.0503967,0.0780166,0.0289267,0.0369284,0.0260051,0.0293108,0.0474393,0.0151806,0.00310499,0.00229348,0.0238029,0.0435564,0,0,0,0,0,0,0,0,0,0.0312289,0,0
42,0.0464708,0.0280372,0,0,0,0.0366858,0.0176729,0.0233101,0.0337614,0,0,0.0387374,0,0.0265065,0.0142199,0.0356329,0.025657,0.0311804,0.0309014,0.0432799,0.032642,0.04799,0.0434407,0.0457166,0.0411934,0.0229012,0.0211677,0.0211884,0.0132364,0.0478466,0.0365593,0.0201182,0.0063227,0.0422659,0.00905326,0.0309432,0.0884973,0.0390622,0,0,0.0191035,0,0.00916735,0.00799709,0.0484466,0.0281633,0.0253111,0.0546839,0.0375846,0.0243283,0.0741158,0.0515492,0.0787842,0.0311201,0.0395835,0.0288101,0.0317257,0.0447153,0.0153787,0.00306191,0.00220933,0.0237526,0.0436158,0,0,0,0,0,0,0,0,0,0.0316205,0,0
43,0.0466943,0.0283092,0,0,0,0.0367044,0.0176637,0.0234363,0.0328975,0,0,0.0390425,0,0.02657,0.0142894,0.0354497,0.0273826,0.0313289,0.0308634,0.0426386,0.0328993,0.0479123,0.0433848,0.0456574,0.0407964,0.0230047,0.0213098,0.0213065,0.0130584,0.0481353,0.0368872,0.0201377,0.00644852,0.0404104,0.00907654,0.0314087,0.0874137,0.0392248,0,0,0.0192805,0,0.00918123,0.00823198,0.0478117,0.0297009,0.0258017,0,0.0386057,0.0244988,0.074628,0.0519559,0.0794085,0.0337783,0.0419055,0.0310532,0.0344931,0.042242,0.0156274,0.00302307,0.00220494,0.023853,0.0439109,0,0,0,0,0,0,0,0,0,0.0321485,0,0
44,0.0462639,0.0280309,0,0,0,0.0371204,0.0177048,0.0237479,0.0327205,0,0,0.0388428,0,0.0265711,0.0142717,0.0355432,0.0289967,0.0317092,0.0310658,0.0428408,0.0327383,0.0478239,0.0433766,0.0457359,0.0406684,0.0232514,0.0214789,0.0214876,0.012716,0.0490211,0.0368483,0.0201098,0.00635113,0.0390706,0.00913736,0.0318813,0.0874509,0.0387446,0,0,0.0193179,0,0.0092231,0.00830798,0.0472161,0.0301847,0.0257425,0.0557522,0.0389954,0.0242399,0.0750556,0.052568,0.079716,0.0349995,0.0434934,0.0323056,0.0357266,0.040328,0.0155611,0.00299988,0.0022412,0.0235327,0.0435581,0,0,0,0,0,0,0,0,0,0.032369,0,0
45,0.0459934,0.0278539,0,0,0,0.0374069,0.0177071,0.023635,0.0324539,0,0,0.0386594,0,0.0266129,0.014431,0.0354424,0.0306393,0.0320887,0.0312648,0.0429302,0.0327055,0.0477255,0.0433497,0.045761,0.0405527,0.0235131,0.0216922,0.0216748,0.0124431,0.0497243,0.0367781,0.0201036,0.00630378,0.0383077,0.00919062,0.031337,0.0873098,0.0384474,0,0,0.019342,0,0.00928199,0.00836342,0.0468343,0.0287861,0.0258058,0.0566256,0.0395011,0.0241467,0.0750994,0.0528054,0.0798815,0.0361671,0.0444859,0.0330047,0.0368436,0.0397321,0.0155965,0.0030334,0.0022687,0.0232986,0.0433355,0,0,0,0,0,0,0,0,0,0.0327238,0,0
46,0.0456896,0.0276438,0,0,0,0.0377713,0.0177194,0.023532,0.0321109,0,0,0.0383503,0,0.0266442,0.0148148,0.0353921,0.0324416,0.0324754,0.0314526,0.0429346,0.0326088,0.0476237,0.0432429,0.0457628,0.0404916,0.0237973,0.0219189,0.0218584,0.0122368,0.0505114,0.0366941,0.0201044,0.00628317,0.0384512,0.00927575,0.0303688,0.0870497,0.0380914,0,0,0.0194136,0,0.00938887,0.00835217,0.0466459,0.0263995,0.0258029,0.0575732,0.0398292,0.0240116,0.0748799,0.052715,0.0798051,0.0367392,0.044655,0.0331138,0.0374069,0.0404923,0.0155924,0.00303747,0.00226287,0.0230706,0.0430416,0,0,0,0,0,0,0,0,0,0.0329014,0,0
47,0.0453406,0.027424,0,0,0,0.038172,0.0177528,0.0234961,0.0318042,0,0,0.0381519,0,0.0266952,0.0149069,0.0352739,0.0341862,0.0328781,0.0316491,0.0429077,0.0324205,0.0475157,0.0431477,0.0457639,0.0404745,0.0240676,0.0221419,0.0220335,0.0120863,0.0513918,0.0365575,0.0201264,0.00616399,0.039165,0.00930735,0.0291203,0.0868357,0.0376946,0,0,0.0195029,0,0.00936438,0.00821191,0.0465006,0.02364,0.0257528,0.0583045,0.0400108,0.0238332,0.0745625,0.052311,0.0795725,0.036592,0.0442139,0.0325721,0.0372958,0.0419135,0.0154884,0.00307778,0.00231542,0.0228011,0.0427023,0,0,0,0,0,0,0,0,0,0.0328924,0,0
48,0.0450284,0.0273093,0,0,0,0.038545,0.0177531,0.0238027,0.0315214,0,0,0.0381652,0,0.0267265,0.0148784,0.0353144,0.035617,0.0333436,0.0317991,0.0426454,0.0322629,0.0473862,0.0430032,0.0457761,0.0404678,0.0243274,0.0223395,0.0220755,0.0119446,0.0523142,0.0364603,0.0201364,0.00609163,0.0402013,0.00932263,0.0281965,0.0865172,0.0373603,0,0,0.0195083,0,0.00936321,0.00817828,0.0465301,0.0218713,0.0258382,0.0585796,0.0401169,0.0237048,0.0740794,0.0516634,0.0791674,0.035644,0.0433449,0.0313816,0.0363979,0.0432771,0.0155494,0.00312147,0.00236941,0.0226062,0.0424226,0,0,0,0,0,0,0,0,0,0.0327005,0,0
49,0.0446652,0.02715,0,0,0,0.0389205,0.0177337,0.0241856,0.0311042,0,0,0.038097,0,0.026792,0.0147809,0.0352937,0.0367175,0.0338034,0.0318836,0.0422626,0.0321362,0.0472508,0.0428494,0.0457587,0.0404509,0.0246054,0.0225207,0.0221808,0.0117949,0.0530646,0.0363454,0.0201472,0.00604656,0.0415846,0.00932739,0.0278657,0.0860418,0.0369592,0,0,0.0194601,0,0.00938399,0.00806897,0.0467966,0.0222058,0.0259015,0.0584961,0.0401318,0.0235282,0.0733645,0.0507972,0.0784941,0.0340137,0.0417807,0.0295381,0.0348188,0.0444492,0.015657,0.00312741,0.00240045,0.0223994,0.0420895,0,0,0,0,0,0,0,0,0,0.0324554,0,0
50,0.0439188,0.0266974,0,0,0,0.0393295,0.0177651,0.024066,0.0306311,0,0,0.0377047,0,0.0267932,0.014577,0.0351576,0.0375514,0.0342072,0.0318767,0.0423575,0.0318944,0.0471761,0.0426849,0.0457697,0.0404829,0.0248817,0.0227307,0.022409,0.0115832,0.053639,0.0360039,0.0201259,0.00589637,0.043127,0.00937737,0.0273869,0.0856113,0.0361591,0,0,0.0194006,0,0.00941047,0.00805549,0.0472189,0.0229083,0.0254399,0.0583008,0.0399975,0.0230628,0.0724972,0.0497491,0.0776637,0.0318556,0.0395353,0.0269389,0.032688,0.0459831,0.0154588,0.0031636,0.00239774,0.0219096,0.0414323,0,0,0,0,0,0,0,0,0,0.0320424,0,0
51,0.0431492,0.0261959,0,0,0,0.0396741,0.0177816,0.0236736,0.0303402,0,0,0.0372618,0,0.0268122,0.0144667,0.035191,0.0382047,0.0346282,0.031989,0.0426075,0.0316575,0.0472182,0.0425241,0.0458448,0.040552,0.0251947,0.0229901,0.0226464,0.0113429,0.0541554,0.0356438,0.0201184,0.00582921,0.0443749,0.00940474,0.0266151,0.0853931,0.0353237,0,0,0.0193725,0,0.009432,0.00799796,0.0477442,0.0240759,0.0249261,0.0583497,0.0398497,0.022622,0.071443,0.048524,0.076773,0.0296155,0.0371637,0.0242549,0.0303935,0.0477893,0.0152017,0.00314918,0.0023678,0.0214394,0.0407729,0,0,0,0,0,0,0,0,0,0.0315681,0,0
52,0.0425526,0.0257559,0,0,0,0.0398668,0.0177469,0.0236426,0.0302149,0,0,0.037003,0,0.0268975,0.0145015,0.0353783,0.0387275,0.0351222,0.0321759,0.0428273,0.0315192,0.0472879,0.0424425,0.0460009,0.0406441,0.0255531,0.0232957,0.0228551,0.011096,0.0546991,0.0353895,0.0201408,0.00583712,0.0452519,0.00942341,0.0262161,0.0853683,0.0346442,0,0,0.0193033,0,0.00945352,0.00803993,0.0482763,0.0261152,0.0245711,0.0582853,0.0398114,0.0223051,0.0704056,0.0474183,0.0758996,0.0272303,0.0352349,0.0217519,0.0280016,0.0495743,0.0149571,0.00316794,0.00241087,0.0211248,0.0402616,0,0,0,0,0,0,0,0,0,0.0312499,0,0
53,0.0421532,0.0254133,0,0,0,0.0398745,0.0176679,0.0239359,0.0301338,0,0,0.0371633,0,0.0270357,0.0147444,0.0354086,0.0391341,0.0356994,0.0322578,0.0429664,0.0315017,0.0474209,0.042428,0.0461832,0.0407781,0.0258725,0.0236164,0.0230511,0.0108662,0.0551956,0.0352581,0.0201798,0.00589487,0.0458138,0.00937334,0.0267709,0.0854237,0.0341802,0,0,0.019193,0,0.00935712,0.00807717,0.0485381,0.0292374,0.0244828,0.057728,0.0399229,0.0222074,0.0696495,0.0467581,0.075146,0.025172,0.0343717,0.020063,0.026046,0.0507826,0.0147733,0.00319744,0.00250583,0.0209449,0.0399438,0,0,0,0,0,0,0,0,0,0.03129,0,0
54,0.0418227,0.0251434,0,0,0,0.0397393,0.0175455,0.0240667,0.0301444,0,0,0.0374732,0,0.0272416,0.0151066,0.0353752,0.0394583,0.0363366,0.0322021,0.0430234,0.0316149,0.0476401,0.0424883,0.0464776,0.0409629,0.0261953,0.0239372,0.0233293,0.0106585,0.0556244,0.0352915,0.0202307,0.00596803,0.0467154,0.00925293,0.0275612,0.0856013,0.0338613,0,0,0.0190708,0,0.00914749,0.0080706,0.0485376,0.0326749,0.0247783,0.0559364,0.0401239,0.0222463,0.0694644,0.0465287,0.0746701,0.0239193,0.0345077,0.0195714,0.0248939,0.0522413,0.0146333,0.00325387,0.00259424,0.0208412,0.0397264,0,0,0,0,0,0,0,0,0,0.0314556,0,0
55,0.0414489,0.0250205,0,0,0,0.039407,0.0174196,0.0240343,0.0302918,0,0,0.037923,0,0.0274983,0.0155473,0.0355375,0.0396715,0.036948,0.0320956,0.0429072,0.031909,0.0479483,0.0427352,0.0468528,0.0412,0.0266002,0.02435,0.0236364,0.0104741,0.0558812,0.0355151,0.0203166,0.00610336,0.0482239,0.0091354,0.0278369,0.0858788,0.0336141,0,0,0.0189473,0,0.00898321,0.00805057,0.0483828,0.0353837,0.0254528,0.0533934,0.0404548,0.0224218,0.0695406,0.0464182,0.0743834,0.0235832,0.0350091,0.0197855,0.0244972,0.054308,0.0146543,0.00335198,0.00266858,0.0208768,0.0395213,0,0,0,0,0,0,0,0,0,0.0314916,0,0
56,0.0410635,0.024946,0,0,0,0.0390737,0.0172875,0.0239975,0.0304569,0,0,0.0384756,0,0.0277689,0.0159435,0.0356272,0.0396384,0.0375472,0.031888,0.0426378,0.0323214,0.0482945,0.0430348,0.0472127,0.0414601,0.0270332,0.0248238,0.0239078,0.0102895,0.0559683,0.0358562,0.0204132,0.00629997,0.0501348,0.00907509,0.0273581,0.0861453,0.0334505,0,0,0.018768,0,0.00892604,0.00829762,0.0480206,0.0373212,0.0263358,0.0516471,0.0409111,0.0227084,0.0695502,0.0461244,0.0742572,0.0237914,0.0352064,0.019961,0.0246331,0.0568722,0.0148247,0.00347054,0.00273796,0.0211082,0.0392942,0,0,0,0,0,0,0,0,0,0.0312435,0,0
57,0.0407242,0.0250042,0,0,0,0.038783,0.0171508,0.0239084,0.0305427,0,0,0.0391826,0,0.0280282,0.0162239,0.0355442,0.0392975,0.0381608,0.0314661,0.042165,0.0327869,0.048599,0.043297,0.0475112,0.0416889,0.0274397,0.0252891,0.0241703,0.0100874,0.0558099,0.0362931,0.0205255,0.00645284,0.0519525,0.00901241,0.0266235,0.0861962,0.033334,0,0,0.0185627,0,0.00887888,0.00841673,0.0474208,0.0390221,0.0271003,0.0514821,0.0415015,0.0229262,0.0692192,0.0455378,0.0739471,0.0241799,0.0349906,0.0199171,0.0251035,0.0594258,0.0150382,0.00350158,0.00279115,0.021525,0.0390837,0,0,0,0,0,0,0,0,0,0.0303888,0,0
58,0.0403829,0.0251822,0,0,0,0.0383482,0.0169943,0.0238468,0.0306356,0,0,0.040014,0,0.0282722,0.0164313,0.0354432,0.0385647,0.038685,0.0307723,0.0415381,0.0331296,0.0488935,0.0435486,0.0477863,0.0419704,0.0277894,0.0257071,0.0244104,0.00989522,0.055277,0.0366981,0.0206245,0.00663907,0.0526121,0.00893826,0.0255055,0.085986,0.0332129,0,0,0.0182975,0,0.00882611,0.00857932,0.0466721,0.0408585,0.0277397,0.0522796,0.0419747,0.0229359,0.0687248,0.0450132,0.0734176,0.024585,0.0347793,0.0196754,0.0257807,0.0607574,0.0151576,0.00348934,0.00282022,0.0220279,0.0388586,0,0,0,0,0,0,0,0,0,0.0291071,0,0
59,0.0399981,0.0254362,0,0,0,0.03759,0.0168485,0.0237835,0.0308366,0,0,0.0408015,0,0.0285421,0.0165675,0.0354758,0.0374357,0.0390756,0.0298289,0.0409917,0.0332657,0.049201,0.0437808,0.048117,0.0424091,0.0280901,0.0261111,0.0246239,0.00972427,0.0543287,0.0369656,0.020728,0.0067684,0.0518972,0.00884348,0.0244044,0.0857231,0.0329979,0,0,0.017972,0,0.00877211,0.00854903,0.0460873,0.0425338,0.0281443,0.0528378,0.0422367,0.02304,0.0681802,0.0447279,0.0725344,0.0248178,0.034666,0.0194952,0.0262699,0.0603131,0.0152365,0.00345301,0.00285253,0.0225433,0.0386236,0,0,0,0,0,0,0,0,0,0.02767,0,0
60,0.0399096,0.0257607,0,0,0,0.0362604,0.0166488,0.0238606,0.0312679,0,0,0.0415948,0,0.0289019,0.0167694,0.035463,0.0359496,0.0394879,0.0288002,0.0408628,0.0333875,0.049662,0.0442512,0.0486527,0.0432367,0.0283438,0.0265639,0.0248799,0.00961498,0.0529037,0.0371936,0.0208525,0.00698154,0.0501311,0.00867881,0.0232708,0.0860785,0.0330092,0,0,0.0175107,0,0.00864041,0.00838583,0.0457355,0.0440458,0.0284361,0,0.0426503,0.0232689,0.0673912,0.0442869,0.0715477,0.0257795,0.0346056,0.019882,0.0272634,0.0583743,0.0152945,0.00337908,0.00286478,0.0230786,0.0386818,0,0,0,0,0,0,0,0,0,0.0266689,0,0
61,0.0392869,0.0256851,0,0,0,0.0348815,0.0165059,0.023798,0.03162,0,0,0.0417771,0,0.0291643,0.0168143,0.03565,0.0340404,0.0397057,0.0276587,0.0409576,0.0330397,0.0498097,0.0443625,0.0491565,0.0441472,0.0283444,0.0268873,0.0250837,0.00956848,0.0511171,0.0369566,0.0209375,0.00707798,0.0479846,0.00853156,0.022516,0.0859684,0.0324718,0,0,0.0168944,0,0.00843624,0.0081703,0.0459356,0.0423924,0.0282089,0.0516215,0.0422067,0.0230894,0.0664337,0.0436833,0.0701159,0.0238729,0.0337784,0.0189096,0.0249473,0.055989,0.0148834,0.00343376,0.00291842,0.0233085,0.0382208,0,0,0,0,0,0,0,0,0,0.0253573,0,0
62,0.0392676,0.0258863,0,0,0,0.0337084,0.0163094,0.0240736,0.0319898,0,0,0.0420149,0,0.0294775,0.0169957,0.0360233,0.0317132,0.0399289,0.0266983,0.0410127,0.0329328,0.0500317,0.0445425,0.0498502,0.0453408,0.0282583,0.0272333,0.0252892,0.00966298,0.0483646,0.0368156,0.0210439,0.00720313,0.0458124,0.0083872,0.0214301,0.0860814,0.0324404,0,0,0.0163598,0,0.00828965,0.00808285,0.0460813,0.0401168,0.028116,0.0502051,0.0422488,0.0231569,0.0653278,0.0424857,0.0690137,0.022533,0.0329174,0.0180058,0.0231149,0.0534638,0.0146898,0.00346393,0.00291337,0.0237436,0.0382434,0,0,0,0,0,0,0,0,0,0.0244267,0,0
63,0.0392555,0.0260409,0,0,0,0.0325878,0.0161648,0.0245127,0.0323387,0,0,0.0420312,0,0.0297218,0.0170968,0.0363959,0.0289798,0.0400189,0.0258804,0.0410939,0.0327531,0.0503039,0.0448484,0.0505858,0.0466498,0.028046,0.0275251,0.0254491,0.00985581,0.0446608,0.0366587,0.0211247,0.00728072,0.0441195,0.00831158,0.0208863,0.0862038,0.0323797,0,0,0.0160915,0,0.00821024,0.00801971,0.0463749,0.0378472,0.0279455,0.0493657,0.0422877,0.0230995,0.0639885,0.0410362,0.0679026,0.0218853,0.0317077,0.0173994,0.0219475,0.0511156,0.0144018,0.00346878,0.00299197,0.0240262,0.0382102,0,0,0,0,0,0,0,0,0,0.0234591,0,0
64,0.0391574,0.0260986,0,0,0,0.0308026,0.0160979,0.0247525,0.0325696,0,0,0.0419116,0,0.0298916,0.0169822,0.0367028,0.0262659,0.0399406,0.0249959,0.0411398,0.0324813,0.0505776,0.0453656,0.0512454,0.0478111,0.0276796,0.0276457,0.0254601,0.0100947,0.0400599,0.0363998,0.021183,0.00731613,0.042376,0.00829454,0.020806,0.0863319,0.0323125,0,0,0.0158777,0,0.0081362,0.00806714,0.0468465,0.0362386,0.0277155,0.0495173,0.042343,0.0227449,0.0628661,0.0399581,0.0668598,0.022041,0.0305792,0.0171393,0.0216897,0.0484092,0.013935,0.00369293,0.00320596,0.02413,0.0380373,0,0,0,0,0,0,0,0,0,0.0226787,0,0
65,0.0391608,0.026086,0,0,0,0.0285982,0.016139,0.0247088,0.0328838,0,0,0.0415209,0,0.0299348,0.0165894,0.0370699,0.0236364,0.0396405,0.0239287,0.041434,0.0321623,0.0509163,0.0458853,0.0518338,0.0488293,0.027198,0.0276249,0.0252515,0.0104895,0.0344194,0.0359633,0.0211997,0.00726916,0.040233,0.00827088,0.0207671,0.0868386,0.032201,0,0,0.0158852,0,0.00803701,0.00787837,0.0474539,0.0352478,0.0275072,0.0505263,0.0421436,0.022184,0.0622366,0.0393264,0.0661944,0.0224629,0.02974,0.0169472,0.0218983,0.0453342,0.0133661,0.00406679,0.00335126,0.0241145,0.0378866,0,0,0,0,0,0,0,0,0,0.022068,0,0
66,0.0392635,0.0260244,0,0,0,0.0273527,0.0162097,0.0247987,0.0333263,0,0,0.0408216,0,0.0298658,0.0161148,0.0374364,0.021222,0.0390871,0.0224211,0.0419395,0.0318278,0.0512381,0.0463479,0.0522611,0.0498479,0.0266575,0.0274912,0.0248942,0.0110742,0.0274974,0.035322,0.0211518,0.00708568,0.0375141,0.00825866,0.0205127,0.0876743,0.0321258,0,0,0.0159593,0,0.00793892,0.00755143,0.0478806,0.0345805,0.0273263,0.0518828,0.0417084,0.0215469,0.0620343,0.0391444,0.0660087,0.022629,0.0293977,0.0166562,0.0219924,0.0417297,0.0126263,0.00444116,0.00344979,0.0240134,0.0378238,0,0,0,0,0,0,0,0,0,0.0215853,0,0
67,0.0393832,0.0258353,0,0,0,0.0263308,0.0163264,0.024888,0.0338753,0,0,0.0398959,0,0.0296701,0.0156709,0.0376827,0.0191871,0.0382897,0.0206542,0.0426062,0.0313397,0.0515169,0.0467367,0.0525262,0.0507874,0.026071,0.0272575,0.0244044,0.0118301,0.0204206,0.0345665,0.0210719,0.00687395,0.0346637,0.00825274,0.0201101,0.0887251,0.0320625,0,0,0.016188,0,0.00783249,0.0077212,0.0479772,0.0345182,0.0271631,0.0533792,0.0409869,0.0207749,0.0621203,0.0391941,0.0661876,0.0229406,0.0291592,0.0166439,0.0222823,0.0378577,0.0118229,0.00499398,0.00356751,0.0237627,0.0378482,0,0,0,0,0,0,0,0,0,0.0212309,0,0
68,0.0394003,0.0255182,0,0,0,0.025254,0.0164606,0.0247789,0.0344428,0,0,0.0387738,0,0.029422,0.0153165,0.0380623,0.0176723,0.0371758,0.0190427,0.0433268,0.0307315,0.0517255,0.0469605,0.0526441,0.0515343,0.0254626,0.0269617,0.0239712,0.0126088,0.0164372,0.0337756,0.0209685,0.00663501,0.0319363,0.00827094,0.0197909,0.0898068,0.0319376,0,0,0.0163705,0,0.00776945,0.00806718,0.0478626,0.0347423,0.0270189,0.0545671,0.0400039,0.0199542,0.0624635,0.0393606,0.0666501,0.0233768,0.0288899,0.0168749,0.0227127,0.0339605,0.0109195,0.00560924,0.00366385,0.0234265,0.0378537,0,0,0,0,0,0,0,0,0,0.0210092,0,0
