Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_M,RTHII,IMUR_M,IMUR_B
9,0.0417322,0.0244953,0,0,0,0.0304901,0.0163295,0.0254542,0.0376772,0,0,0.0369695,0,0.0282005,0.0142597,0.039644,0.0272185,0.0216727,0.0313023,0.045239,0.0276312,0.0495631,0.0417743,0.0461884,0.0479323,0.0236189,0.0229267,0.021466,0.021479,0.0377074,0.032091,0.0206358,0.00644127,0.0522417,0.00797247,0.0464581,0.08809,0.0363448,0,0,0.0160852,0,0.00813265,0.00785923,0.0566024,0.0463561,0.0269873,0.0699642,0.0246696,0.0229937,0.0642382,0.0422875,0.0800625,0.0352109,0.00866176,0.0159149,0.0240163,0.0474507,0.0151335,0.00336712,0.0031567,0.0191827,0.0376466,0,0,0,0,0,0,0,0,0,0.0542272,0,0
10,0.0409272,0.0238769,0,0,0,0.0316247,0.0164969,0.0247245,0.038991,0,0,0.0358118,0,0.0278482,0.0134213,0.0396525,0.0253853,0.0209252,0.0316333,0.0474445,0.0271172,0.0499725,0.0419621,0.046448,0.0481534,0.0236771,0.0224861,0.0212305,0.0207684,0.0390511,0.0316284,0.0205507,0.00623241,0.0553997,0.00823929,0.0468553,0.0902184,0.0355304,0,0,0.01625,0,0.00837919,0.0074352,0.0567968,0.0471867,0.026661,0.0691895,0.0248024,0.0225306,0.0637335,0.042083,0.0796385,0.0346909,0.0089721,0.0153454,0.0237216,0.0511799,0.0146723,0.0031746,0.00303386,0.0188895,0.0368524,0,0,0,0,0,0,0,0,0,0.0546342,0,0
11,0.0401634,0.0233953,0,0,0,0.0331297,0.0166538,0.0240468,0.0407805,0,0,0.0348995,0,0.0276048,0.0131104,0.0401254,0.023286,0.0202138,0.0320936,0.049624,0.0266493,0.0503106,0.0419862,0.0467514,0.0486349,0.023731,0.0219537,0.0210162,0.0200201,0.0410086,0.0311792,0.0204512,0.00610801,0.0575224,0.0084911,0.0459896,0.0925955,0.0347261,0,0,0.0166458,0,0.00863185,0.00707031,0.0570202,0.0475576,0.0265288,0.0685245,0.0251881,0.0220924,0.0630093,0.0417699,0.0794566,0.0342551,0.00893381,0.0150845,0.0237573,0.0535029,0.0142494,0.00307102,0.00292009,0.0187486,0.0361263,0,0,0,0,0,0,0,0,0,0.0549391,0,0
12,0.0394352,0.0231082,0,0,0,0.0349377,0.0167702,0.0234923,0.0428806,0,0,0.034394,0,0.0273382,0.0128056,0.0409027,0.0212781,0.0195224,0.0327627,0.0516858,0.0262822,0.0505865,0.0420287,0.0471244,0.0493519,0.023763,0.0212241,0.0208233,0.0192242,0.0435548,0.0306645,0.0203312,0.00600498,0.0589926,0.00873258,0.0450037,0.0950659,0.0339434,0,0,0.0171853,0,0.00892045,0.00668185,0.0573186,0.0474181,0.0266402,0.0678144,0.0257833,0.021692,0.0621382,0.0412126,0.0790665,0.0336924,0.00885672,0.0148589,0.0235187,0.0550624,0.0139718,0.00296099,0.00284075,0.0187691,0.0354761,0,0,0,0,0,0,0,0,0,0.0549931,0,0
13,0.0387043,0.0227108,0,0,0,0.0370194,0.016879,0.0230908,0.04515,0,0,0.0338395,0,0.0270382,0.0125435,0.0416334,0.0195744,0.0187926,0.0334023,0.0537803,0.0258611,0.050923,0.042038,0.0475604,0.0501743,0.0237866,0.0207509,0.0206626,0.0184609,0.0463699,0.0301872,0.0202144,0.00583488,0.0596936,0.00895295,0.0440474,0.097611,0.0331126,0,0,0.0177385,0,0.00914512,0.00632498,0.0575616,0.0467977,0.0269072,0.0672513,0.0264331,0.0212935,0.0611192,0.040782,0.0782352,0.0331129,0.00879861,0.0147129,0.0232841,0.0558085,0.0136917,0.00291521,0.00288603,0.0188968,0.0348185,0,0,0,0,0,0,0,0,0,0.0547881,0,0
14,0.0407366,0.0235627,0,0,0,0.0353346,0.0167935,0.0242612,0.0438326,0,0,0.034521,0,0.0270856,0.0128767,0.0407506,0.0209946,0.0229854,0.0319103,0.0508578,0.0267125,0.0505876,0.0424143,0.0468333,0.0485581,0.0230598,0.0209192,0.0204846,0.0193314,0.0436774,0.0309131,0.0202468,0.00589737,0.0585451,0.00880026,0.0433679,0.0960199,0.0350731,0,0,0.0178993,0,0.00913752,0.00663577,0.0567552,0.0463352,0.0258011,0.0655467,0.0254839,0.0229466,0.0600652,0.0411765,0.0770151,0.0319763,0.0084471,0.0142935,0.0224655,0.0549186,0.0149426,0.00295739,0.0027978,0.0197188,0.0364924,0,0,0,0,0,0,0,0,0,0.0546505,0,0
15,0.0411115,0.0236301,0,0,0,0.0358822,0.0168123,0.0246285,0.0442455,0,0,0.0346722,0,0.0270321,0.0128647,0.041142,0.0206578,0.0240394,0.0316789,0.0502226,0.0267199,0.0509353,0.0428203,0.0469334,0.0485926,0.022934,0.0209011,0.020395,0.0192149,0.0441338,0.0311559,0.0202363,0.00589091,0.0575959,0.00884537,0.0426437,0.0967794,0.0354739,0,0,0.0174884,0,0.00920647,0.00652793,0.0562761,0.0451273,0.0251848,0.0636908,0.0254239,0.0231125,0.0592499,0.0411209,0.0759771,0.0309938,0.00817065,0.0139265,0.0217803,0.0545452,0.0150393,0.00291303,0.00261021,0.0200281,0.0369096,0,0,0,0,0,0,0,0,0,0.0541814,0,0
16,0.0415149,0.0237587,0,0,0,0.0360479,0.016853,0.0244349,0.0446491,0,0,0.0347469,0,0.026979,0.0128888,0.041369,0.0201894,0.0248971,0.0315946,0.0497925,0.026773,0.0512334,0.0432542,0.0470491,0.048679,0.0228774,0.0208816,0.020355,0.0190176,0.0442314,0.0313583,0.0202277,0.00584205,0.0558665,0.00887744,0.0411631,0.0977371,0.035895,0,0,0.0171638,0,0.00926673,0.00642108,0.0559441,0.0434872,0.0246921,0.0624318,0.0253682,0.0232589,0.0584745,0.0410649,0.0752257,0.0304134,0.00778646,0.0138919,0.0214367,0.0531386,0.0150206,0.00283534,0.00247555,0.0203902,0.0373249,0,0,0,0,0,0,0,0,0,0.053834,0,0
17,0.0419226,0.0240316,0,0,0,0.0359655,0.0168971,0.0240134,0.0449039,0,0,0.0349295,0,0.0269405,0.0129246,0.0414805,0.0197696,0.0255863,0.0316039,0.049612,0.026846,0.0515051,0.0435701,0.0471599,0.0487237,0.022824,0.0208447,0.020361,0.0188158,0.0443522,0.0314584,0.0202051,0.00584328,0.0541517,0.00883575,0.0395496,0.0986994,0.0363059,0,0,0.0169731,0,0.00930987,0.00626431,0.0556814,0.0414739,0.0242941,0.0615848,0.0253951,0.0234667,0.0578937,0.0408412,0.0746777,0.0298021,0.00751088,0.0139946,0.0211451,0.0514298,0.0149459,0.0028031,0.00247538,0.0207843,0.037695,0,0,0,0,0,0,0,0,0,0.0534147,0,0
18,0.0425228,0.0247592,0,0,0,0.0360393,0.0169158,0.0240062,0.0447228,0,0,0.0352356,0,0.026905,0.0130883,0.041536,0.0190831,0.0266042,0.0316814,0.0493291,0.02716,0.0517159,0.0437664,0.047251,0.0487187,0.0227949,0.0207639,0.0203694,0.0186067,0.0447292,0.031766,0.0201993,0.00594467,0.0526014,0.00874855,0.0380786,0.0992512,0.0368644,0,0,0.0168466,0,0.0093547,0.00616423,0.0554568,0.0393222,0.0240593,0.0608663,0.0257422,0.0237979,0.0576381,0.0404268,0.0740708,0.0291293,0.00730399,0.0140965,0.0208833,0.0497286,0.0148673,0.00289028,0.00254591,0.0213288,0.0382701,0,0,0,0,0,0,0,0,0,0.0528714,0,0
19,0.0431869,0.025566,0,0,0,0.036288,0.0168994,0.0239023,0.0441583,0,0,0.0359213,0,0.026923,0.0132678,0.0414468,0.0183975,0.0276894,0.031803,0.0488851,0.0276688,0.0519289,0.0438861,0.0473577,0.0486692,0.0227729,0.0207068,0.0203726,0.0183384,0.0450251,0.032154,0.0202334,0.00607497,0.0511697,0.00881521,0.0368586,0.0994801,0.0375582,0,0,0.0166477,0,0.00935704,0.00608652,0.0553403,0.0376113,0.0239093,0.0601354,0.0263215,0.0241848,0.0574085,0.0399247,0.073402,0.0285978,0.00713615,0.0141353,0.0201566,0.0480134,0.0147886,0.00294093,0.00247273,0.0219971,0.0390284,0,0,0,0,0,0,0,0,0,0.0521735,0,0
20,0.0434197,0.0260047,0,0,0,0.0363429,0.0169163,0.0237883,0.0436395,0,0,0.0362959,0,0.0268561,0.0132269,0.0411945,0.0179445,0.0280009,0.0318098,0.0487922,0.0278428,0.0520358,0.0440518,0.0474087,0.0484814,0.022708,0.020764,0.0203301,0.0180856,0.0448902,0.0322898,0.0202338,0.00614964,0.0499031,0.00893101,0.035831,0.0997296,0.0379851,0,0,0.0164789,0,0.00937623,0.00604721,0.0553186,0.0362737,0.023617,0.0598836,0.026491,0.024325,0.0571511,0.0396182,0.0727003,0.0284059,0.00696771,0.0142153,0.019509,0.0467424,0.0146406,0.00286191,0.0023813,0.0223726,0.0394562,0,0,0,0,0,0,0,0,0,0.051314,0,0
21,0.0437433,0.0264307,0,0,0,0.0363283,0.0169292,0.0237977,0.0429887,0,0,0.0364529,0,0.0267363,0.013171,0.0409583,0.0175716,0.0283209,0.0317471,0.0488089,0.0280107,0.0518818,0.0440932,0.0473953,0.0482538,0.0226551,0.0206451,0.0203253,0.0178301,0.0447493,0.0324885,0.0202125,0.00607625,0.0495456,0.0089477,0.0352529,0.0997131,0.0383725,0,0,0.0163862,0,0.00937906,0.00600173,0.0553347,0.0349342,0.0233287,0.0599154,0.0266457,0.0244086,0.0568203,0.0392374,0.0720742,0.0284783,0.00700203,0.0143433,0.0190723,0.0466906,0.014456,0.00286991,0.00240136,0.0226736,0.039852,0,0,0,0,0,0,0,0,0,0.0503531,0,0
