Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LBHD
18,0.0605477,0.026043,0,0,0,0,0,0,0.0566055,0.0165422,0.0380154,0.0601437,0,0.0479115,0,0.0281093,0.0151028,0.0284074,0.0375427,0.0221104,0.0384633,0.0438013,0.0389988,0.0330645,0.0333836,0.0228796,0.0473453,0.0314943,0.031552,0.0324747,0.0222512,0.0567898,0.039696,0.021034,0.0075052,0.0404615,0.00344837,0.0214073,0.109073,0.052404,0,0,0.0326478,0,0.00790624,0.0174343,0.0543198,0.00551185,0.0254796,0.059964,0.0315063,0.021208,0.014333,0.0265991,0.0416262,0.0181242,0.0162887,0.012146,0.013003,0.0101064,0.0551361,0.031049,0.00979085,0.00692901,0.0179395,0.0560816,0,0,0,0,0,0,0,0,0
19,0.0607256,0.0261968,0,0,0,0,0,0,0.0558852,0.0165273,0.0379503,0.0590372,0,0.0479988,0,0.0282734,0.0152362,0.028332,0.0387949,0.0221318,0.0388625,0.0428933,0.0393188,0.0330208,0.0336718,0.0227475,0.0471532,0.0318914,0.0319113,0.0327331,0.0222322,0.0561058,0.0401988,0.0210854,0.00760252,0.0401805,0.00346842,0.0196168,0.107995,0.0525882,0,0,0.0331982,0,0.00788375,0.0176999,0.0539212,0.00433233,0.0257252,0.0593525,0.0322308,0.0212849,0.0155148,0.0253872,0.0392715,0.0181409,0.0146936,0.0143787,0.0118913,0.00976864,0.0558923,0.0314704,0.00956612,0.00693646,0.0180536,0.0563602,0,0,0,0,0,0,0,0,0
20,0.0608856,0.0263519,0,0,0,0,0,0,0.0550149,0.0165358,0.0378182,0.0577649,0,0.0482288,0,0.0284016,0.015298,0.0282082,0.0401059,0.0220762,0.0392139,0.0419347,0.0394699,0.0330809,0.0339465,0.022799,0.046625,0.0322516,0.0321861,0.0329675,0.0221475,0.0553033,0.0406166,0.0211353,0.00769184,0.039743,0.00350135,0.0187147,0.10674,0.0527339,0,0,0.0340382,0,0.0078811,0.0179884,0.0533609,0.0056445,0.0260243,0.0588401,0.0330438,0.0214393,0.0167991,0.0242382,0.036537,0.0183637,0.0137767,0.0170595,0.0115147,0.00986345,0.0562558,0.0319855,0.00949778,0.00690463,0.0186528,0.0565877,0,0,0,0,0,0,0,0,0
21,0.061144,0.0265778,0,0,0,0,0,0,0.0541266,0.0165558,0.037721,0.0564719,0,0.0485967,0,0.0285387,0.0153955,0.0280421,0.0415304,0.0220816,0.0395423,0.0408661,0.0396521,0.0332065,0.0342517,0.0228675,0.0462019,0.0326571,0.0324895,0.0332061,0.0220972,0.054518,0.0410482,0.0212065,0.00778241,0.0388055,0.00351919,0.0183741,0.105304,0.0529313,0,0,0.0352253,0,0.00788361,0.0183242,0.0527519,0.00782199,0.0263412,0.0585112,0.0339275,0.0217181,0.0181104,0.0232421,0.033461,0.018822,0.0137893,0.0201265,0.0118706,0.0109402,0.0556599,0.0325484,0.00950427,0.00689378,0.0196097,0.0568632,0,0,0,0,0,0,0,0,0
22,0.0615206,0.0269009,0,0,0,0,0,0,0.0530991,0.0165378,0.0376014,0.0552334,0,0.0490009,0,0.0287356,0.0156095,0.0277925,0.0430825,0.0219345,0.0399076,0.0398214,0.0398874,0.0333358,0.0346493,0.0228312,0.0458973,0.0330561,0.0328575,0.0334436,0.0220495,0.0536499,0.0414746,0.0212663,0.00785564,0.0373402,0.00352088,0.0186078,0.103791,0.0532072,0,0,0.0362165,0,0.00789181,0.0186629,0.0521615,0.0102229,0.0266325,0.0581888,0.0347955,0.0220336,0.0194177,0.0225045,0.0305843,0.0195163,0.0148747,0.023357,0.0130413,0.012968,0.0538747,0.033132,0.00962362,0.00693886,0.0192418,0.0572413,0,0,0,0,0,0,0,0,0
23,0.0618325,0.0273103,0,0,0,0,0,0,0.0520428,0.0165141,0.0374941,0.0540139,0,0.0493934,0,0.0289755,0.0158274,0.0275857,0.044741,0.0217737,0.0403083,0.0388098,0.0399882,0.033495,0.0352069,0.022792,0.0456574,0.0334717,0.0332569,0.0336392,0.0219795,0.0528379,0.0418303,0.021331,0.00790098,0.0353516,0.00351681,0.0195359,0.10223,0.0534478,0,0,0.0370802,0,0.00790965,0.0190258,0.0515734,0.0127548,0.026873,0.0578771,0.0356131,0.0222527,0.0205674,0.0218962,0.0281653,0.0203315,0.0168282,0.026474,0.0150815,0.0157029,0.0506934,0.0337302,0.00968315,0.00697428,0.0191541,0.0575784,0,0,0,0,0,0,0,0,0
24,0.062006,0.0276904,0,0,0,0,0,0,0.0510831,0.0164771,0.0374037,0.0529115,0,0.0497511,0,0.029139,0.0160741,0.0274759,0.0465551,0.0216828,0.0406678,0.0378792,0.0399463,0.0336443,0.0356573,0.0229562,0.0453647,0.033941,0.0336741,0.0338399,0.0219004,0.052056,0.0420522,0.0213863,0.00797668,0.0327833,0.00351921,0.021082,0.100769,0.053619,0,0,0.0377092,0,0.0079175,0.019412,0.0509669,0.0161105,0.0271623,0.057541,0.0363656,0.0224729,0.0215925,0.0214254,0.0259766,0.0212715,0.0190957,0.0294356,0.0175203,0.0185607,0.046562,0.0343002,0.00968542,0.00699669,0.0193747,0.0578409,0,0,0,0,0,0,0,0,0
25,0.0621079,0.0280104,0,0,0,0,0,0,0.0501496,0.01643,0.0373823,0.0518487,0,0.0501499,0,0.029236,0.0163663,0.027357,0.0483952,0.0216284,0.0410086,0.0369615,0.0399111,0.0337821,0.0360358,0.0230868,0.0450809,0.0343371,0.034077,0.0340243,0.0217975,0.0512867,0.0422656,0.021437,0.00807448,0.0302264,0.00351666,0.0227843,0.0993603,0.0537775,0,0,0.0382453,0,0.00792619,0.0199723,0.0503772,0.019675,0.0274934,0.0572975,0.0371929,0.0227983,0.0223903,0.0211812,0.0240194,0.022196,0.0215664,0.0320136,0.0200444,0.0214737,0.042045,0.0348984,0.00970355,0.00704372,0.0196521,0.0580728,0,0,0,0,0,0,0,0,0
26,0.0621067,0.0283142,0,0,0,0,0,0,0.0492349,0.0163661,0.0373587,0.0508375,0,0.0505724,0,0.0294479,0.0166346,0.0273508,0.0501287,0.0215953,0.04141,0.0361366,0.0399345,0.0339365,0.0364221,0.0231251,0.0448074,0.0347633,0.0345171,0.0341923,0.0216832,0.0506218,0.042435,0.0214984,0.00816537,0.0274751,0.00350966,0.0239209,0.0981034,0.0538939,0,0,0.0392342,0,0.0079399,0.0203731,0.0498861,0.0220545,0.0277573,0.057248,0.0380751,0.0231146,0.0229829,0.0209177,0.0224641,0.0231094,0.0240976,0.0343488,0.0222652,0.0242951,0.0375108,0.0354783,0.00971086,0.00708666,0.0198323,0.0582342,0,0,0,0,0,0,0,0,0
27,0.061856,0.0283468,0,0,0,0,0,0,0.0483215,0.0163751,0.0374382,0.0501142,0,0.0506175,0,0.0296576,0.0166899,0.0274288,0.0517787,0.0214105,0.0418796,0.0356937,0.0395803,0.0340762,0.0367851,0.023085,0.044521,0.035205,0.0350435,0.0344174,0.0215905,0.0499654,0.0424152,0.0215442,0.00817829,0.0248802,0.00356285,0.024347,0.0973053,0.0537505,0,0,0.0399522,0,0.0079512,0.0206213,0.0494622,0.0226697,0.0278548,0.0573253,0.0386909,0.0232523,0.0233166,0.0204098,0.0216896,0.0237527,0.0261586,0.0359843,0.0238118,0.0266484,0.0335112,0.0358771,0.0097573,0.00706149,0.0197817,0.0581096,0,0,0,0,0,0,0,0,0
