Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,IMUL_M,RTHIA,RASI,,x74
1742,0.0424986,0,0,0,0,0.046793,0,0,0,0,0,0.0486805,0,0.0201034,0.017944,0,0,0.0176122,0,0,0.0531645,0.0548816,0.0367571,0.0216154,0.0116044,0.0431505,0.0292393,0.0360733,0.0417303,0.040297,0.0308492,0.0313276,0.0332015,0.0207835,0.0222436,0.0190225,0.0445857,0.0353207,0.0136055,0.016003,0,0.0291302,0.0462167,0,0,0.0222326,0,0,0.0276513,0.0380663,0.0448841,0.0252056,0.0230341,0.0407748,0.0486282,0.051691,0.0490657,0.0379254,0.0662163,0.0466256,0.0485539,0.0723459,0.0343698,0.0410259,0.0243503,0.0163308,0.0442862,0.067643,0,0,0,0,0.0689871,0.0483739,0,0
1743,0.0424369,0,0,0,0,0.0468767,0,0,0,0,0,0.0487926,0,0.0195257,0.017791,0,0,0.0173474,0,0,0.0532485,0.0549647,0.0361587,0.0217889,0.0117491,0.0430845,0.0293074,0.0359123,0.041812,0.0400578,0.031483,0.0307887,0.0334808,0.0203742,0.0219454,0.0200273,0.044517,0.0354169,0.0135785,0.0157019,0,0.029207,0.0461972,0,0,0.0222767,0,0,0.0276413,0.0380812,0.0453628,0.0252757,0.0234581,0.0408348,0.0485907,0.0519293,0.049336,0.0383109,0.0663023,0.0467913,0.0486505,0.072285,0.0350195,0.0409192,0.0243481,0.016345,0.0443869,0.0676107,0,0,0,0,0.0690205,0.0483795,0,0
1744,0.0423616,0,0,0,0,0.0469353,0,0,0,0,0,0.0488729,0,0.0189567,0.0177157,0,0,0.0170575,0,0,0.0533417,0.0549044,0.0355867,0.021908,0.0118906,0.042983,0.0293817,0.0359014,0.0417363,0.0397032,0.0321527,0.029715,0.0337833,0.0198888,0.0215258,0.0223046,0.0445035,0.0354918,0.013519,0.0153638,0,0.0292474,0.0461379,0,0,0.0223312,0,0,0.0276152,0.0381358,0.0458278,0.0252972,0.0238545,0.0409384,0.0486516,0.0521373,0.049561,0.0385595,0.0660867,0.0469738,0.0489605,0.0720708,0.0356755,0.0408478,0.0243393,0.0163863,0.0444573,0.0675252,0,0,0,0,0.0690214,0.0483403,0,0
1745,0.0423692,0,0,0,0,0.0469625,0,0,0,0,0,0.0490543,0,0.018704,0.0176575,0,0,0.0168238,0,0,0.0533716,0.0547897,0.0355403,0.0220268,0.0119483,0.0428408,0.0294259,0.0359128,0.0406877,0.0393364,0.0326811,0.0290982,0.0340865,0.0193267,0.0210162,0.0255822,0.0445306,0.0355544,0.013487,0.0151169,0,0.0292626,0.0461036,0,0,0.0223717,0,0,0.0276463,0.0382884,0.0462069,0.0252979,0.0242278,0.0410572,0.0487902,0.0524108,0.0498028,0.0386296,0.0654838,0.0472498,0.0490996,0.0725641,0.0361841,0.0408435,0.0242726,0.0163884,0.044582,0.0673379,0,0,0,0,0.0690678,0.0482827,0,0
1746,0.0423562,0,0,0,0,0.0470011,0,0,0,0,0,0.049234,0,0.018686,0.017756,0,0,0.0167557,0,0,0.0532903,0.0546778,0.0358222,0.0221141,0.0119497,0.0427926,0.0294054,0.0359195,0.0396131,0.0390422,0.0332205,0.028985,0.0344137,0.0190287,0.0208518,0.0282579,0.0443504,0.0356185,0.0135196,0.0149632,0,0.0293034,0.0460893,0,0,0.0224156,0,0,0.0277097,0.0385318,0.0466622,0.0252719,0.0245169,0.041362,0.048956,0.0527237,0.0501312,0.0389572,0.0652817,0.0475236,0.0491587,0.0729673,0.0366421,0.0408148,0.024144,0.0163675,0.0447341,0.067048,0,0,0,0,0.0690518,0.0481818,0,0
1747,0.0423551,0,0,0,0,0.0470215,0,0,0,0,0,0.0497428,0,0.0189445,0.0181663,0,0,0.016864,0,0,0.0532473,0.0545524,0.0359678,0.0222658,0.0119971,0.0427167,0.0293566,0.0359789,0.0389351,0.0387552,0.0338753,0.0292923,0.0347719,0.0190303,0.0211896,0.0287355,0.0441967,0.0357155,0.0135899,0.0157818,0,0.0297777,0.0460693,0,0,0.022447,0,0,0.0277615,0.0388696,0.0475319,0.0252003,0.0247452,0.0417055,0.0491424,0.0530256,0.0505281,0.0394801,0.0654679,0.0476169,0.0490617,0.0733944,0.037171,0.040716,0.023948,0.0163116,0.0449137,0.0666432,0,0,0,0,0.0693113,0.0480273,0,0
1748,0.042379,0,0,0,0,0.0470568,0,0,0,0,0,0.0505383,0,0.0195359,0.0188362,0,0,0.0167699,0,0,0.053306,0.054446,0.0352761,0.02236,0.0121563,0.042652,0.0293558,0.036006,0.0384586,0.0384984,0.0345444,0.0299678,0.0349415,0.0190857,0.0217595,0.027031,0.0441446,0.0358735,0.0136494,0.0165839,0,0.030166,0.0460278,0,0,0.0224782,0,0,0.027769,0.0392643,0.0482711,0.0250364,0.0248747,0.0420247,0.0492747,0.0534021,0.0508772,0.0399955,0.0660721,0.0476501,0.0490224,0.0736047,0.0376386,0.0406122,0.0236802,0.0161971,0.0451127,0.0662477,0,0,0,0,0.0696595,0.0477546,0,0
1749,0.042513,0,0,0,0,0.0471049,0,0,0,0,0,0.0507973,0,0.0202786,0.0195366,0,0,0.0166086,0,0,0.0534225,0.0543966,0.0341943,0.0222957,0.0123638,0.0427597,0.0294338,0.0360629,0.0379933,0.0382877,0.035266,0.0299927,0.0347638,0.019019,0.0222929,0.0247169,0.0441292,0.0359523,0.0136405,0.0166377,0,0.0300201,0.0459388,0,0,0.0224581,0,0,0.027787,0.0396471,0.048556,0.0249241,0.024842,0.0422882,0.0492986,0.0539143,0.0512374,0.0404823,0.0664705,0.0477898,0.0493434,0.0738686,0.0377755,0.0405598,0.0234401,0.0160459,0.0453862,0.0659255,0,0,0,0,0.0700607,0.0474391,0,0
1750,0.0427053,0,0,0,0,0.0471514,0,0,0,0,0,0.0510487,0,0.0211126,0.0203839,0,0,0.0164462,0,0,0.0535492,0.0541816,0.0335903,0.0221532,0.0126352,0.0429977,0.0295881,0.0363401,0.0375595,0.0379693,0.0358843,0.0299651,0.0346736,0.0191224,0.0228882,0.0225849,0.0440466,0.0359821,0.0135978,0.0157016,0,0.0291118,0.0458125,0,0,0.0223844,0,0,0.0277442,0.0401189,0.0481145,0.0248387,0.0246933,0.0425824,0.0492087,0.0546269,0.0516116,0.0411653,0.0668074,0.048655,0.0501313,0.074429,0.0374794,0.0405958,0.0232242,0.015948,0.0456763,0.0656482,0,0,0,0,0.0704567,0.0471692,0,0
1751,0.0429413,0,0,0,0,0.0471183,0,0,0,0,0,0.0512961,0,0.0218874,0.0213943,0,0,0.0162922,0,0,0.0536108,0.0537969,0.0333801,0.0218517,0.0129928,0.043391,0.0298617,0.0366556,0.037214,0.0376378,0.0365136,0.0302931,0.0347933,0.0195005,0.0235713,0.0203698,0.0440697,0.0360434,0.0135882,0.0160572,0,0.0285414,0.0456813,0,0,0.0222634,0,0,0.027591,0.0406642,0.0481486,0.0245909,0.0244565,0.042954,0.0491496,0.0554263,0.0520124,0.0421355,0.0668493,0.0492333,0.0505388,0.0746769,0.0372239,0.0407463,0.0230504,0.0158549,0.0458703,0.0654977,0,0,0,0,0.0709158,0.0470561,0,0
