Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,RTHIA,RTHI,RTHII,x75,x77,x80,x79,x76,
9,0.0492047,0,0,0,0,0.0435626,0,0,0,0,0,0,0.0368419,0,0.0297288,0.0487723,0,0,0.0200897,0,0,0.0458858,0.0367021,0.0341209,0.0327218,0.0152205,0.0260721,0.0400867,0.0256848,0.036451,0.044203,0.0342363,0.0365252,0.0408395,0.0253932,0.032101,0.0211019,0.058859,0.0196929,0.0198797,0.0396503,0,0.0205121,0.0507132,0.0390083,0,0,0.0118482,0,0,0.0210359,0.0534933,0.0459098,0.0213366,0.0104511,0.0283792,0.0488312,0.0410108,0.055267,0.0338166,0.0411895,0.0623783,0.0175354,0.0465381,0.0217382,0.0182022,0.0555173,0.0650506,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0491938,0,0,0,0,0.0435604,0,0,0,0,0,0,0.0369431,0,0.0297982,0.0482666,0,0,0.0200817,0,0,0.0458662,0.0365939,0.0342163,0.032738,0.0149485,0.0261681,0.0400541,0.0256669,0.0365385,0.0443007,0.0342311,0.0364144,0.0407502,0.0254134,0.0320446,0.0212245,0.0589514,0.0196815,0.0198324,0.0396577,0,0.0204926,0.0506658,0.0390034,0,0,0.0118309,0,0,0.0210678,0.0535328,0.045959,0.021221,0.0104326,0.0284234,0.0487528,0.0409485,0.0553007,0.0338711,0.0412208,0.0624182,0.0175859,0.0465471,0.0217875,0.0182435,0.0554141,0.065103,0,0,0,0,0,0,0,0,0,0,0,0
11,0.049254,0,0,0,0,0.0435201,0,0,0,0,0,0,0.0370339,0,0.0299339,0.0480805,0,0,0.0200916,0,0,0.0458834,0.0364993,0.0343362,0.0324821,0.0148329,0.0262411,0.0401042,0.0256024,0.0366012,0.0443567,0.0342292,0.0363633,0.0406927,0.0253216,0.0320089,0.0213521,0.0589017,0.0196845,0.0198038,0.0397135,0,0.0204976,0.0505676,0.0389776,0,0,0.0123367,0,0,0.0209491,0.0536123,0.0459759,0.0211793,0.0104155,0.0285248,0.0487522,0.0409024,0.0553533,0.0339119,0.0412221,0.0624301,0.0175868,0.0466325,0.0215517,0.0183431,0.0552831,0.0651827,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0492284,0,0,0,0,0.0435068,0,0,0,0,0,0,0.0370457,0,0.030147,0.0481893,0,0,0.0201155,0,0,0.0458805,0.0368746,0.0343912,0.0323313,0.0151209,0.0263353,0.040062,0.0255764,0.0365824,0.0443335,0.034209,0.0363194,0.0406953,0.0251362,0.0319856,0.0214051,0.0588637,0.0197427,0.0198575,0.0397628,0,0.0204814,0.0503105,0.0389701,0,0,0.0118304,0,0,0.0211676,0.0537202,0.0458891,0.0210159,0.0103944,0.0286506,0.0487249,0.0409092,0.0554301,0.0339456,0.0412317,0.0624057,0.0175952,0.0465884,0.0217355,0.0183249,0.055165,0.065207,0,0,0,0,0,0,0,0,0,0,0,0
13,0.0492815,0,0,0,0,0.0434787,0,0,0,0,0,0,0.0376051,0,0.0295133,0.047865,0,0,0.0200404,0,0,0.0460061,0.0392161,0.0336133,0.0332389,0.0161196,0.0267504,0.040097,0,0.0363981,0.0432995,0.0343487,0.0367202,0.0409453,0.025518,0.03227,0.020463,0.0590131,0.0198491,0.0198535,0.0394203,0,0.0204525,0.0506806,0.0385901,0,0,0.0120426,0,0,0.0214154,0.0525928,0.0458195,0.0209675,0.00991092,0.0275566,0.0481045,0.0403716,0.0553978,0.0338347,0.0411398,0.0624697,0.0172604,0.046876,0.0220901,0.018669,0.0552017,0.0648762,0,0,0,0,0,0,0,0,0,0,0,0
14,0.0491832,0,0,0,0,0.0432833,0,0,0,0,0,0,0.0374002,0,0.0300849,0.0483055,0,0,0.0203745,0,0,0.0458319,0.0385037,0.0342076,0.0323148,0.0146694,0.0266746,0.0396793,0.0256044,0.0363464,0.0441008,0.0341897,0.0364639,0.0408011,0.0250697,0.0318262,0.0207247,0.0591115,0.0200882,0.0200082,0.039916,0,0.0205687,0.0495598,0.0389501,0,0,0.012059,0,0,0.0213223,0.0538648,0.0453171,0.0206827,0.0103227,0.029053,0.0483458,0.0408161,0.0556093,0.0340711,0.0413199,0.0626037,0.0175224,0.0469019,0.0219501,0.0186185,0.0547625,0.0652599,0,0,0,0,0,0,0,0,0,0,0,0
15,0.0491207,0,0,0,0,0.0432162,0,0,0,0,0,0,0.0373937,0,0.0301442,0.0480641,0,0,0.0205087,0,0,0.0458943,0.0385115,0.0343415,0.0320291,0.0145545,0.0269336,0.039626,0.0255667,0.0362749,0.0441351,0.0342575,0.0366114,0.0408196,0.0249162,0.0317553,0.0203737,0.0591284,0.0202335,0.0200752,0.039973,0,0.0205349,0.0492556,0.0389109,0,0,0.0121905,0,0,0.0214042,0.0538596,0.0454898,0.0203111,0.0102576,0.0292285,0.0481203,0.0407172,0.0557087,0.0341786,0.0414422,0.0627628,0.0176909,0.0470168,0.0220979,0.018782,0.0545551,0.0652672,0,0,0,0,0,0,0,0,0,0,0,0
16,0.0491869,0,0,0,0,0.0431925,0,0,0,0,0,0,0.0381773,0,0.0308145,0.045205,0,0,0.0202184,0,0,0.0461334,0,0.0338905,0.0307014,0.0164795,0.0288357,0.0402753,0.0275885,0.035042,0.0442744,0.0364608,0.0375287,0.041279,0.0252174,0.0321291,0.0195475,0.0589914,0.0201289,0.0199794,0.0389223,0,0.0202201,0.0519627,0.0383293,0,0,0.0126354,0,0,0.0218051,0.0502677,0.0462136,0.0197858,0.00926319,0.0279855,0.0470566,0.0390789,0.055233,0.0336759,0.0411323,0.0625787,0.0173026,0.0474114,0.0227719,0.01931,0.0543383,0.0652062,0,0,0,0,0,0,0,0,0,0,0,0
17,0.049094,0,0,0,0,0.0430658,0,0,0,0,0,0,0.0376668,0,0.0307291,0.047139,0,0,0.0207071,0,0,0.045855,0.0385287,0.0344536,0.031253,0.0147027,0.0274937,0.0393729,0.0255565,0.0360305,0.0440676,0.0344141,0.036965,0.0409781,0.024669,0.0315378,0.0200134,0.0594025,0.020502,0.0203499,0.039797,0,0.0204244,0.0488559,0.038866,0,0,0.0124881,0,0,0.0215975,0.0537191,0.0453516,0.0199077,0.0100885,0.0295422,0.0476071,0.0405472,0.0558376,0.0343219,0.0416183,0.0629071,0.0175401,0.0474164,0.0224752,0.019055,0.0541089,0.0652287,0,0,0,0,0,0,0,0,0,0,0,0
18,0.0490157,0,0,0,0,0.0430345,0,0,0,0,0,0,0.0394145,0,0.0339435,0.0419804,0,0,0.0208596,0,0,0.0457174,0,0.0341681,0.0291921,0.0166419,0.0280001,0.0392035,0.0277763,0.0336363,0.0426987,0.036054,0.0383372,0.0427991,0.0249366,0.0301742,0.0192895,0.0598306,0.0206549,0.0205869,0.0383666,0,0.0200383,0.051832,0.0386631,0,0,0.0125956,0,0,0.0218611,0.0496415,0.0462163,0.0219361,0.00896787,0.0279668,0.0470175,0.0389234,0.055238,0.0335993,0.0411169,0.0626248,0.0168537,0.0477457,0.0229096,0.0193814,0.0540399,0.0647887,0,0,0,0,0,0,0,0,0,0,0,0
19,0.0492341,0,0,0,0,0.0434785,0,0,0,0,0,0,0.0395356,0,0.0342099,0.0432149,0,0,0.0199159,0,0,0.0461051,0,0.0339319,0.0317054,0.0170188,0.0275674,0.0406064,0.0285851,0.0339773,0.04253,0.0359904,0.0381881,0.0425904,0.0250039,0.0301827,0.0189769,0.0583803,0.0195622,0.0196564,0.0379539,0,0.0199345,0.0535652,0.0386467,0,0,0.0117099,0,0,0.0212873,0.0490329,0.0463651,0.0219711,0.00891752,0.0260616,0.04822,0.0387631,0.0550111,0.0333955,0.0410036,0.0624665,0.0166811,0.0466954,0.0219313,0.0184112,0.0551011,0.0652012,0,0,0,0,0,0,0,0,0,0,0,0
20,0.0482603,0,0,0,0,0.0431645,0,0,0,0,0,0,0.0397199,0,0.0332466,0.0459219,0,0,0.0208201,0,0,0.0456485,0.0401861,0.0337264,0.0340399,0.0153138,0.0276056,0.0374008,0.0279998,0.0366137,0.0423975,0.0331041,0.0365372,0.0410441,0.0240768,0.029948,0.0175826,0.0576506,0.0198838,0.0194541,0.0392356,0,0.0204472,0.0499249,0.0402774,0,0,0.0261259,0,0,0.0361437,0.0518404,0.0459592,0.0210501,0.00934921,0.0268377,0.0418157,0.0399704,0.0554042,0.0337754,0.0412358,0.0626002,0.0171266,0.0571685,0.0185664,0.0245137,0.0547213,0.0634381,0,0,0,0,0,0,0,0,0,0,0,0
21,0.0501304,0,0,0,0,0.0426447,0,0,0,0,0,0,0.0396175,0,0.0328497,0.0465243,0,0,0.0206918,0,0,0.0456956,0.0393552,0.033332,0.0328016,0.0152836,0.0261572,0.0392623,0.0268768,0.0357834,0.0425423,0.0336908,0.0369649,0.0415717,0.0246332,0.0303617,0.0172565,0.0585736,0.0202012,0.0197912,0.0395866,0,0.0202865,0.0504096,0.0389931,0,0,0.011524,0,0,0.0262952,0.0526689,0.0458236,0.0215115,0.00971432,0.0274078,0.046749,0.0402041,0.0555994,0.0340886,0.0414728,0.0626769,0.0174792,0.0493587,0.0187789,0.0289451,0.054572,0.0651821,0,0,0,0,0,0,0,0,0,0,0,0
22,0.0499488,0,0,0,0,0.0427718,0,0,0,0,0,0,0.0391773,0,0.032693,0.046768,0,0,0.0207977,0,0,0.0457363,0.0392642,0.0332856,0.0325237,0.0152954,0.0260281,0.0393659,0.0267317,0.0356716,0.0425699,0.033826,0.0370681,0.0415826,0.0250034,0.030519,0.0173786,0.0584743,0.0202573,0.0197973,0.039534,0,0.0202695,0.0505822,0.0391301,0,0,0.00977465,0,0,0.0244216,0.0527668,0.0458593,0.0216396,0.00983873,0.0275453,0.0474285,0.0402747,0.0555194,0.0340523,0.0414115,0.0626567,0.0174146,0.0480908,0.0192461,0.0274628,0.0546256,0.0652588,0,0,0,0,0,0,0,0,0,0,0,0
23,0.0497717,0,0,0,0,0.0428691,0,0,0,0,0,0,0.0388489,0,0.0325125,0.0465891,0,0,0.0208596,0,0,0.0456655,0.0391902,0.0332157,0.0325427,0.015298,0.0259605,0.039405,0.0266987,0.0355487,0.0425381,0.0338679,0.0371097,0.0415543,0.0250004,0.0306409,0.0176171,0.0584157,0.0201656,0.0197802,0.0395157,0,0.0203002,0.0506582,0.0391767,0,0,0.00931314,0,0,0.0235477,0.0528238,0.0458377,0.0216955,0.0099177,0.027571,0.0477771,0.0403425,0.0554699,0.0340093,0.0413355,0.0626204,0.0173947,0.0474226,0.0197245,0.0257464,0.054682,0.0652915,0,0,0,0,0,0,0,0,0,0,0,0
24,0.0496244,0,0,0,0,0.0429236,0,0,0,0,0,0,0.038648,0,0.0322503,0.0464856,0,0,0.0208985,0,0,0.0455144,0.0391507,0.0331563,0.0324918,0.0153546,0.0259281,0.0393971,0.0267104,0.0354267,0.0425716,0.0338807,0.0371151,0.0415093,0.0250104,0.0307182,0.0178771,0.058401,0.0199887,0.0197021,0.0395181,0,0.0203518,0.0507195,0.0391425,0,0,0.00929521,0,0,0.0229325,0.0528695,0.045815,0.0216853,0.009965,0.027563,0.0480934,0.0404181,0.0554479,0.033977,0.0412934,0.0625547,0.0173763,0.0470343,0.0200562,0.0241035,0.054702,0.0652997,0,0,0,0,0,0,0,0,0,0,0,0
25,0.0494997,0,0,0,0,0.0429977,0,0,0,0,0,0,0.0385375,0,0.0319994,0.0464712,0,0,0.0210422,0,0,0.0453822,0.0391174,0.0331935,0.0323479,0.015433,0.0259275,0.0393578,0.0267409,0.035349,0.0425961,0.0338912,0.0370788,0.0414825,0.0252463,0.0307696,0.0180897,0.0583584,0.0200853,0.0195915,0.0395679,0,0.0204049,0.0507566,0.0391138,0,0,0.00941016,0,0,0.0225427,0.0528994,0.0457837,0.0217186,0.00999807,0.027582,0.0483149,0.040437,0.0554368,0.0339519,0.0412961,0.0625477,0.0173459,0.0467615,0.0202659,0.0229284,0.0546965,0.0653707,0,0,0,0,0,0,0,0,0,0,0,0
26,0.049444,0,0,0,0,0.0430608,0,0,0,0,0,0,0.0383389,0,0.0318709,0.0463476,0,0,0.0212382,0,0,0.0453116,0.0390879,0.033224,0.032293,0.0154729,0.0258916,0.0392999,0.0267309,0.0353909,0.0425965,0.0339197,0.0370607,0.0414747,0.0254316,0.0308617,0.0183609,0.0583283,0.0201453,0.0194513,0.0395612,0,0.0204077,0.0508336,0.0391306,0,0,0.00954775,0,0,0.0222102,0.0529311,0.0458051,0.0216645,0.0100413,0.027625,0.0483858,0.040439,0.0554345,0.0339532,0.0413176,0.062572,0.0173875,0.0464383,0.0204601,0.0218973,0.0547119,0.0653974,0,0,0,0,0,0,0,0,0,0,0,0
27,0.0493936,0,0,0,0,0.0430951,0,0,0,0,0,0,0.0382022,0,0.0316269,0.0460548,0,0,0.0214792,0,0,0.0452625,0.0390557,0.0332474,0.0323164,0.0155271,0.0258471,0.039224,0.0267204,0.0354998,0.0426017,0.033944,0.0370672,0.0414532,0.0254622,0.0308982,0.0185855,0.0583338,0.0201433,0.0194071,0.0395606,0,0.0203807,0.0509257,0.0391635,0,0,0.00976401,0,0,0.0218772,0.0529656,0.0458584,0.0216192,0.0100809,0.0276229,0.0484412,0.0404497,0.0554162,0.033931,0.0413223,0.062556,0.0174111,0.0461903,0.0206187,0.0210026,0.054721,0.0654181,0,0,0,0,0,0,0,0,0,0,0,0
28,0.0493269,0,0,0,0,0.0431204,0,0,0,0,0,0,0.0380702,0,0.0314814,0.0459444,0,0,0.0217891,0,0,0.0450494,0.039022,0.0331665,0.0324351,0.0156104,0.0258033,0.0390684,0.0267219,0.0353416,0.0426124,0.0339793,0.0370969,0.0414105,0.0254003,0.0309625,0.018761,0.0583182,0.0201117,0.0193464,0.0395924,0,0.0203886,0.0510255,0.0391653,0,0,0.0100107,0,0,0.0215703,0.053004,0.04585,0.0215431,0.0101066,0.0275984,0.0484958,0.0404724,0.0553799,0.0339294,0.0413338,0.0625566,0.0174208,0.0459713,0.0206983,0.0201952,0.0547466,0.065478,0,0,0,0,0,0,0,0,0,0,0,0
29,0.0492174,0,0,0,0,0.0431444,0,0,0,0,0,0,0.0378395,0,0.031479,0.0459166,0,0,0.0221585,0,0,0.0446688,0.0390088,0.0330703,0.0326504,0.0157275,0.0257935,0.0388189,0.0267438,0.0352124,0.0426452,0.0340407,0.0370868,0.0413725,0.0253317,0.0311129,0.0190012,0.058204,0.0200884,0.0191927,0.0396598,0,0.0204117,0.0511002,0.0391659,0,0,0.0103376,0,0,0.0212793,0.0530456,0.0457904,0.0215356,0.0101406,0.0276046,0.0485117,0.040525,0.0553952,0.0339663,0.0413992,0.0625061,0.0174125,0.0457036,0.0206831,0.019395,0.0547737,0.0655968,0,0,0,0,0,0,0,0,0,0,0,0
30,0.0490338,0,0,0,0,0.0432144,0,0,0,0,0,0,0.0376472,0,0.0314315,0.0459956,0,0,0.0225628,0,0,0.0442817,0.0389983,0.0330371,0.032568,0.0157802,0.0257804,0.0385688,0.0267785,0.0351524,0.0426649,0.0340767,0.0370425,0.0413086,0.0254496,0.0311852,0.0192211,0.0581725,0.0200166,0.0189681,0.0397139,0,0.0204344,0.0511476,0.0391847,0,0,0.010718,0,0,0.0208921,0.053067,0.0457828,0.0215517,0.0101708,0.0275845,0.0484458,0.0405668,0.0554443,0.0339918,0.0414071,0.0624533,0.0174258,0.0453279,0.0207747,0.0187287,0.0548328,0.0656916,0,0,0,0,0,0,0,0,0,0,0,0
