Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,
1070,0.0510823,0,0,0,0,0.0372848,0,0,0,0,0,0,0.0277732,0,0.0225212,0.0386901,0,0,0.0128099,0,0,0.0400229,0.0326522,0.0230216,0.01829,0.0177577,0.037839,0.0276306,0.032439,0.0362047,0.0337071,0.0326162,0.0392394,0.044628,0.0271145,0.0275399,0.0248445,0.0437833,0,0.0191471,0.0255424,0,0.0237221,0.0373051,0.0515762,0,0,0.0201416,0,0,0.0319929,0.060722,0.0523028,0.0193028,0.0209374,0.040319,0.0504986,0.0346696,0.0610631,0.0478854,0.0277606,0.0576006,0.0361591,0.0397807,0.0650442,0.0177452,0.0361634,0.0237537,0.0114162,0.0391075,0.0808724,0,0,0,0
1071,0.0510713,0,0,0,0,0.0372843,0,0,0,0,0,0,0.0287921,0,0.0222667,0.0389434,0,0,0.0128276,0,0,0.0400019,0.0328165,0.0233164,0.0181727,0.0178257,0.0378596,0.0272541,0.032767,0.0364809,0.0336852,0.0325816,0.0394202,0.0446948,0.0273583,0.0279432,0.0242246,0.0438879,0,0.01917,0.025644,0,0.0231762,0.0377162,0.0515505,0,0,0.020088,0,0,0.0318013,0.0604942,0.0521059,0.0192884,0.0206702,0.0401026,0.0505093,0.0348819,0.0611007,0.0475972,0.0279127,0.0577794,0.0361457,0.039938,0.0647895,0.0175543,0.0363354,0.0238368,0.0115685,0.0391205,0.0807455,0,0,0,0
1072,0.0510875,0,0,0,0,0.0372785,0,0,0,0,0,0,0.0300694,0,0.0218898,0.039144,0,0,0.0128755,0,0,0.0400526,0.0329608,0.0236556,0.018077,0.0179119,0.0378375,0.0269375,0.0330562,0.0367937,0.0336404,0.0325678,0.039654,0.0447692,0.0276824,0.0283046,0.0233907,0.0439042,0,0.0192229,0.0257629,0,0.0228647,0.0381789,0.0514872,0,0,0.0200657,0,0,0.0317739,0.0601927,0.0519111,0.019237,0.0203786,0.0399667,0.0505805,0.0352443,0.0612201,0.0473357,0.0282193,0.0578449,0.0360954,0.0399369,0.0644084,0.0174458,0.0364531,0.0240165,0.0117149,0.0391444,0.0806297,0,0,0,0
1073,0.0510635,0,0,0,0,0.0373164,0,0,0,0,0,0,0.0320447,0,0.0213261,0.0392202,0,0,0.0129313,0,0,0.0402005,0.0331546,0.0239671,0.0179576,0.0180287,0.0377514,0.0267221,0.0333367,0.0371021,0.0335354,0.0326217,0.0399511,0.0448549,0.0280991,0.0285703,0.0222945,0.0438253,0,0.0193069,0.0259623,0,0.0228932,0.038581,0.0513953,0,0,0.0200478,0,0,0.0319379,0.0598664,0.0517473,0.0192035,0.0200625,0.0398681,0.0505978,0.0356295,0.0613603,0.0470765,0.0287257,0.0577398,0.0360168,0.0398587,0.0642019,0.0173078,0.0363685,0.0242462,0.0117807,0.0391664,0.0804437,0,0,0,0
1074,0.050724,0,0,0,0,0.0379018,0,0,0,0,0,0,0.0344963,0,0.0206668,0.0391785,0,0,0.0116635,0,0,0.0402102,0.0334148,0.0243431,0.0178046,0.0181947,0.0378711,0.0261211,0.0337446,0.0374083,0.0334658,0.032693,0.0402145,0.0449464,0.0285312,0.0288545,0.0211173,0.0449224,0,0.019235,0.0263244,0,0.0230439,0.0385302,0.0506185,0,0,0.0201717,0,0,0.032223,0.0595684,0.0516227,0.0192434,0.0197883,0.0399264,0.050447,0.0361701,0.0615382,0.0469582,0.0295275,0.0576877,0.0360366,0.039792,0.0639501,0.0172017,0.0362938,0.0244295,0.0117724,0.039568,0.0799649,0,0,0,0
1075,0.0506327,0,0,0,0,0.0380562,0,0,0,0,0,0,0.0376654,0,0.0201627,0.0390478,0,0,0.0114074,0,0,0.0403756,0.0337299,0.0247369,0.0177065,0.0184157,0.0378247,0.0259686,0.0344082,0.0377642,0.0335107,0.0328736,0.0405454,0.0450826,0.0289935,0.0295664,0.019566,0.044895,0,0.0192764,0.026986,0,0.0232807,0.0387322,0.0503564,0,0,0.0203031,0,0,0.0322971,0.0594941,0.05139,0.019212,0.0195721,0.0399544,0.050485,0.0366454,0.0616937,0.0467939,0.0304914,0.0578047,0.0362448,0.0398827,0.0637851,0.0170233,0.0365044,0.024412,0.0117234,0.0396141,0.0796728,0,0,0,0
1076,0.0508812,0,0,0,0,0.0375696,0,0,0,0,0,0,0.0415185,0,0.0196795,0.0387927,0,0,0.0129995,0,0,0.040672,0.0341198,0.0251198,0.0176506,0.0186532,0.0375707,0.0264658,0.0352523,0.0380606,0.0335826,0.0331768,0.0409288,0.0453752,0.0295106,0.0302131,0.0173073,0.0433008,0,0.0194173,0.0279481,0,0.0236145,0.0392846,0.0508731,0,0,0.0203541,0,0,0.0322159,0.0595421,0.0510622,0.0190512,0.0194712,0.0398638,0.0507883,0.0369926,0.0617543,0.0465201,0.0315007,0.0580811,0.0366289,0.0401343,0.0637316,0.0166954,0.0367084,0.0244049,0.0117476,0.0391684,0.0796724,0,0,0,0
1077,0.0507596,0,0,0,0,0.0376784,0,0,0,0,0,0,0.0458744,0,0.019067,0.038411,0,0,0.0130912,0,0,0.0406687,0.0345847,0.0255411,0.0174504,0.0187229,0.0374703,0.0265136,0.0356601,0.0382995,0.0337401,0.0334509,0.0412456,0.045698,0.0299506,0.0306921,0.0147485,0.0430631,0,0.0194353,0.02879,0,0.0241666,0.039761,0.050687,0,0,0.0205123,0,0,0.0322655,0.0595463,0.0507632,0.0190032,0.0195098,0.0398781,0.05104,0.0374419,0.0618068,0.0463076,0.0324615,0.0583114,0.0369847,0.040308,0.0636952,0.0164898,0.0365495,0.0244917,0.0118494,0.039226,0.0794194,0,0,0,0
1078,0.0502629,0,0,0,0,0.0383864,0,0,0,0,0,0,0.0497682,0,0.0184931,0.0379645,0,0,0.0113543,0,0,0.0404881,0.0350933,0.0260673,0.017184,0.0186321,0.0376027,0.0260011,0.0357349,0.0384574,0.0340149,0.0336459,0.0414832,0.0458158,0.0302706,0.0311964,0.0123534,0.0442799,0,0.0192808,0.0292808,0,0.0246691,0.0400302,0.0498014,0,0,0.020714,0,0,0.0324751,0.0594122,0.0505111,0.0192796,0.0195761,0.0399966,0.0511741,0.0380816,0.0619484,0.0462029,0.033235,0.0585229,0.037165,0.040443,0.0637043,0.0165453,0.0361673,0.0246719,0.0119611,0.0397924,0.0788894,0,0,0,0
1079,0.0501368,0,0,0,0,0.0385742,0,0,0,0,0,0,0.0534803,0,0.0181706,0.037487,0,0,0.0112456,0,0,0.0405735,0.0356524,0.0266594,0.0169717,0.0184718,0.0376203,0.0260125,0.0357106,0.0384769,0.0343702,0.0339063,0.0417017,0.0457933,0.0305345,0.0317342,0.00992675,0.0442106,0,0.0192349,0.02969,0,0.0250066,0.040247,0.0496854,0,0,0.0209344,0,0,0.0326131,0.059217,0.0501418,0.0193712,0.019724,0.0400894,0.0514369,0.0385173,0.062025,0.0460202,0.0340185,0.0587952,0.0374124,0.0405995,0.0638596,0.0165968,0.0360374,0.0247873,0.0120118,0.0399394,0.0786941,0,0,0,0
