Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,STRN,T10,x71,x72,x73,x74,RWRA,RTHII,,x76,x79
431,0.0460973,0,0,0,0,0.0451181,0,0,0,0,0,0,0.021731,0,0.0279142,0.0260248,0,0,0.0149652,0,0,0.0531787,0.0496774,0.0288564,0.0198433,0.0140757,0.0519576,0.0214081,0.042644,0.0454391,0.0363912,0.033889,0.0332088,0.0404718,0.0210518,0.0252631,0.0364969,0.0451577,0.0413555,0.0170669,0.0333192,0,0.0269467,0.0483625,0.0470027,0,0,0.0277169,0,0,0.0324716,0.052195,0.0540061,0.0155389,0.0126924,0.037344,0.0459713,0.0347253,0.0606623,0.0228559,0.0591249,0.0417715,0.0441868,0.0675268,0.0163766,0.0346325,0.0187731,0.0471375,0.0603361,0,0,0,0,0.032446,0.0485197,0,0,0
432,0.0460608,0,0,0,0,0.0450329,0,0,0,0,0,0,0.0206661,0,0.0277914,0.0256881,0,0,0.0149129,0,0,0.0530651,0.0491004,0.0276686,0.0202886,0.0139879,0.0519157,0.021523,0.0417198,0.045104,0.0367631,0.0332511,0.0331642,0.0404383,0.0208361,0.0244931,0.0369616,0.0451686,0.0413182,0.0170074,0.0328617,0,0.0276693,0.0469508,0.0471561,0,0,0.0278345,0,0,0.0324262,0.0524344,0.0543956,0.015405,0.0129784,0.0375105,0.0460352,0.0343834,0.0611503,0.0221523,0.0592626,0.0422719,0.0441543,0.0677569,0.0170739,0.0345426,0.0186725,0.0470923,0.0605382,0,0,0,0,0.0323173,0.0488418,0,0,0
433,0.0459682,0,0,0,0,0.0449196,0,0,0,0,0,0,0.0195865,0,0.0277583,0.0256534,0,0,0.0147895,0,0,0.0529791,0.0482421,0.0268589,0.0208295,0.0140091,0.0521803,0.0216325,0.0408336,0.0446694,0.037006,0.0324533,0.0334117,0.0403741,0.0207852,0.023879,0.0372939,0.045225,0.0412925,0.016993,0.0332908,0,0.0288924,0.0459616,0.0472802,0,0,0.0279411,0,0,0.0324759,0.0527102,0.054689,0.0154767,0.0136343,0.0376863,0.0461007,0.0340068,0.0610394,0.0212819,0.0594438,0.0425841,0.0438606,0.0685926,0.0177834,0.034441,0.0186926,0.0471153,0.0606339,0,0,0,0,0.0323754,0.0490412,0,0,0
434,0.0458854,0,0,0,0,0.0447942,0,0,0,0,0,0,0.0188438,0,0.0277466,0.0255921,0,0,0.0147627,0,0,0.0529338,0.0471783,0.0260662,0.0213678,0.0142997,0.0523918,0.0218628,0.040121,0.0441416,0.0369572,0.0318398,0.0334199,0.0403174,0.020782,0.0234592,0.0371404,0.0454011,0.041225,0.0169026,0.0341711,0,0.0298716,0.0451373,0.0473611,0,0,0.02803,0,0,0.0324941,0.0527345,0.0546042,0.0155102,0.0147389,0.0378826,0.0461209,0.0336671,0.0602102,0.0205253,0.0595442,0.0426377,0.0434571,0.0690644,0.0191725,0.034395,0.0187933,0.0471287,0.0607079,0,0,0,0,0.0325045,0.0495553,0,0,0
435,0.0458367,0,0,0,0,0.044658,0,0,0,0,0,0,0.0185561,0,0.0277845,0.0255418,0,0,0.0148435,0,0,0.0529122,0.045968,0.0255265,0.0218114,0.0146314,0.0525389,0.022265,0.0396439,0.0437012,0.0365777,0.0314895,0.0335247,0.0402574,0.0208416,0.0232217,0.0369488,0.0456321,0.0411573,0.0168207,0.0345293,0,0.0304275,0.0440187,0.0473211,0,0,0.0279342,0,0,0.032341,0.0526526,0.0542261,0.0154945,0.016437,0.0381734,0.0460525,0.0333343,0.0596099,0.0199725,0.0594254,0.0423984,0.0428649,0.0694337,0.0211402,0.0343398,0.0186863,0.0471167,0.0608233,0,0,0,0,0.0323635,0.0501036,0,0,0
436,0.0457671,0,0,0,0,0.0445292,0,0,0,0,0,0,0.0185534,0,0.0278474,0.0255044,0,0,0.0149081,0,0,0.0529389,0.0448807,0.0253461,0.0222557,0.0146823,0.0525798,0.0228863,0.039316,0.0433957,0.036013,0.0312964,0.0335907,0.0402493,0.0208994,0.0232176,0.0368486,0.0456924,0.0411201,0.0167567,0.0339441,0,0.0303897,0.0429832,0.0471358,0,0,0.0277719,0,0,0.0321554,0.0526154,0.053635,0.0154541,0.0183015,0.0385839,0.0459029,0.033112,0.0596755,0.0195809,0.059195,0.0419198,0.0422441,0.0696958,0.0234847,0.0343124,0.0185538,0.0470908,0.0609649,0,0,0,0,0.0321638,0.050547,0,0,0
437,0.0456832,0,0,0,0,0.0444314,0,0,0,0,0,0,0.0186102,0,0.0280216,0.0255035,0,0,0.0148476,0,0,0.0530355,0.0439978,0.0254171,0.0226304,0.0147091,0.0524964,0.023634,0.0390567,0.0431977,0.0355048,0.0312449,0.0337358,0.0401907,0.0209518,0.0234325,0.0366992,0.0454146,0.0410686,0.0166658,0.0331219,0,0.0299715,0.0423597,0.0468683,0,0,0.0276083,0,0,0.0320098,0.0526276,0.0529942,0.0155404,0.0203865,0.0390785,0.0458125,0.0329762,0.05959,0.0192592,0.0588406,0.0412341,0.0415955,0.0700031,0.0256924,0.0342954,0.0184644,0.0470756,0.0611439,0,0,0,0,0.0320042,0.0509863,0,0,0
438,0.0455821,0,0,0,0,0.0443756,0,0,0,0,0,0,0.0188711,0,0.0283994,0.0253448,0,0,0.0148025,0,0,0.0531319,0.0431217,0.0256331,0.0229147,0.0151204,0.0525137,0.0244709,0.0388883,0.0429592,0.0350799,0.0312594,0.0336864,0.0400689,0.0209148,0.0237819,0.0362397,0.0451192,0.0409684,0.0165368,0.0320644,0,0.02917,0.0419029,0.0465887,0,0,0.0276053,0,0,0.0318869,0.0527104,0.052229,0.0157361,0.0225132,0.039626,0.0458092,0.0329872,0.0597292,0.0193023,0.0584502,0.0406046,0.0409831,0.0701423,0.0279557,0.0343377,0.0183992,0.0470329,0.0614093,0,0,0,0,0.0318793,0.0514577,0,0,0
439,0.0455019,0,0,0,0,0.0443652,0,0,0,0,0,0,0.0193679,0,0.0287766,0.0251383,0,0,0.0150629,0,0,0.0532552,0.0424501,0.0257827,0.023186,0.0154534,0.0523264,0.0254317,0.0387852,0.0425538,0.0348309,0.0313704,0.0334378,0.0399682,0.0208862,0.0241911,0.0354221,0.0450076,0.0406483,0.01649,0.0307542,0,0.0284668,0.0408905,0.0463256,0,0,0.0275908,0,0,0.0317682,0.0527806,0.0513013,0.0158578,0.0246595,0.0402275,0.0457413,0.0330307,0.0596984,0.0195215,0.0580082,0.0398966,0.0404179,0.0701669,0.0304705,0.0343692,0.0183585,0.0469265,0.0617989,0,0,0,0,0.0317519,0.0519814,0,0,0
440,0.0455111,0,0,0,0,0.0443136,0,0,0,0,0,0,0.0201163,0,0.0289556,0.0251854,0,0,0.0148657,0,0,0.0534666,0.0419214,0.0257695,0.0234088,0.0156145,0.0517874,0.026314,0.0386441,0.0419391,0.0347702,0.0315315,0.0331267,0.0400144,0.0209476,0.0245399,0.0342572,0.0446591,0.0407919,0.0162572,0.0290848,0,0.0276692,0.0396388,0.046068,0,0,0.0275697,0,0,0.03164,0.0528928,0.0501375,0.015883,0.0265404,0.0407639,0.0457733,0.0330765,0.0598901,0.0199351,0.0575105,0.0391667,0.039977,0.069986,0.0335495,0.0342997,0.0182133,0.0467724,0.0621631,0,0,0,0,0.0315971,0.0526964,0,0,0
441,0.0455541,0,0,0,0,0.0442857,0,0,0,0,0,0,0.02098,0,0.0291176,0.0251745,0,0,0.0148351,0,0,0.0535676,0.0415047,0.0256641,0.0236784,0.0155816,0.0513334,0.0270511,0.0383384,0.041474,0.0346903,0.0316975,0.0335079,0.0400704,0.0210144,0.0247962,0.0329456,0.0444965,0.0407326,0.0161482,0.0269231,0,0.0264203,0.0385429,0.0458735,0,0,0.0274769,0,0,0.0315116,0.0529546,0.0489207,0.0157974,0.0286372,0.0413614,0.0457733,0.0332092,0.060049,0.0203537,0.0568293,0.0384802,0.0396855,0.0695349,0.0369174,0.0342848,0.0180786,0.0465819,0.062474,0,0,0,0,0.0313961,0.0532731,0,0,0
442,0.0455378,0,0,0,0,0.0442667,0,0,0,0,0,0,0.0215788,0,0.0292981,0.0255147,0,0,0.0149355,0,0,0.0536451,0.0408551,0.0253604,0.0240937,0.0156,0.0513211,0.0277802,0.0377641,0.0415854,0.0344494,0.0317939,0.0339886,0.0400763,0.0212679,0.024937,0.0320317,0.0444802,0.040607,0.0160294,0.0263299,0,0.022844,0.0371227,0.0457871,0,0,0.0274382,0,0,0.0313729,0.0525467,0.0462058,0.0152318,0.0308335,0.0421515,0.0458305,0.0339904,0.0619919,0.0208224,0.05556,0.0386547,0.0386946,0.0670277,0.0463742,0.0342654,0.0180652,0.046347,0.0629741,0,0,0,0,0.0312333,0.0539634,0,0,0
443,0.045545,0,0,0,0,0.0442605,0,0,0,0,0,0,0.0222767,0,0.0293389,0.0259846,0,0,0.0149099,0,0,0.053641,0.0402497,0.0250908,0.0244407,0.016104,0.0512875,0.028348,0.0373276,0.0412395,0.0342529,0.0318056,0.0342299,0.0399663,0.0214616,0.0249388,0.0310323,0.0442624,0.0404999,0.0159337,0.0274801,0,0.0206738,0.0357806,0.0457353,0,0,0.0275433,0,0,0.0312341,0.0526829,0.0460216,0.0148255,0.0319214,0.0429573,0.0459294,0.0345199,0.062654,0.0212793,0.0552181,0.038256,0.0381865,0.0668831,0.0518809,0.0342331,0.0181465,0.0461582,0.0634815,0,0,0,0,0.0311724,0.0544135,0,0,0
444,0.0456076,0,0,0,0,0.0442245,0,0,0,0,0,0,0.0231638,0,0.0293354,0.0265119,0,0,0.0148688,0,0,0.0536212,0.0396982,0.0247738,0.0247464,0.0165458,0.0513273,0.0287714,0.0369719,0.0408071,0.0341367,0.0318377,0.0343448,0.0399942,0.0216428,0.0249435,0.0298018,0.0442093,0.0404244,0.0158596,0.028679,0,0.0191577,0.0346049,0.045721,0,0,0.0276017,0,0,0.0311103,0.052776,0.0473887,0.0144746,0.0325099,0.0435924,0.0460665,0.034986,0.0627991,0.0217855,0.055431,0.0383522,0.0385018,0.0674143,0.0563818,0.0341613,0.0182595,0.0459811,0.0639926,0,0,0,0,0.0311676,0.0548678,0,0,0
445,0.0456576,0,0,0,0,0.0441361,0,0,0,0,0,0,0.0241604,0,0.0294019,0.0270295,0,0,0.014876,0,0,0.0536061,0.0392082,0.0245019,0.0251274,0.0168503,0.051388,0.0289912,0.0366126,0.0400814,0.0342128,0.0318374,0.0344633,0.0401904,0.021763,0.0249508,0.0284945,0.0444009,0.0403532,0.0157873,0.028708,0,0.0186986,0.0331738,0.0457582,0,0,0.0275961,0,0,0.0309452,0.0527432,0.0491368,0.0142928,0.0334095,0.0438645,0.0461649,0.0351973,0.0632343,0.0221932,0.0555689,0.038845,0.0390906,0.0679333,0.0595487,0.0341169,0.0181984,0.045831,0.0643911,0,0,0,0,0.0308797,0.0552451,0,0,0
446,0.0456918,0,0,0,0,0.0440506,0,0,0,0,0,0,0.025195,0,0.0294909,0.0273916,0,0,0.0148948,0,0,0.05355,0.0388355,0.0242902,0.0253612,0.0170743,0.0515694,0.0290297,0.0362124,0.039525,0.034264,0.0318357,0.0345811,0.0402886,0.0218669,0.0250358,0.0271841,0.0445277,0.0403598,0.0158222,0.028812,0,0.0187957,0.0316454,0.0458116,0,0,0.0276574,0,0,0.0308219,0.0525551,0.0508752,0.0142161,0.0346169,0.0437931,0.04624,0.0352425,0.0635612,0.0224294,0.0555758,0.0392794,0.0393697,0.0685392,0.0611806,0.0340409,0.0181257,0.0457514,0.0646583,0,0,0,0,0.0306745,0.0555971,0,0,0
447,0.0457181,0,0,0,0,0.043955,0,0,0,0,0,0,0.0260929,0,0.0295858,0.0276155,0,0,0.0149004,0,0,0.0534773,0.0384081,0.0241752,0.0254318,0.0171965,0.0515297,0.0289683,0.0357996,0.0390902,0.0342665,0.031782,0.0346117,0.0402681,0.0219735,0.0251657,0.0260879,0.0445156,0.0403351,0.0158509,0.0299505,0,0.0189851,0.0313011,0.0458546,0,0,0.0277705,0,0,0.0307111,0.0523519,0.0527805,0.0142343,0.035637,0.0436065,0.0463399,0.0353556,0.0636031,0.0225095,0.05577,0.0395979,0.0397248,0.0692995,0.0625529,0.0339306,0.0180591,0.0456571,0.0648225,0,0,0,0,0.0305801,0.0557925,0,0,0
448,0.0457168,0,0,0,0,0.0438753,0,0,0,0,0,0,0.0267056,0,0.0297541,0.0278727,0,0,0.0148661,0,0,0.0534548,0.0379572,0.0241629,0.0254784,0.0173407,0.0512423,0.0287574,0.0354461,0.0385502,0.0343391,0.0316306,0.034718,0.0402168,0.0221188,0.0252908,0.025363,0.0443783,0.0402892,0.0158485,0.0311334,0,0.0189658,0.0321438,0.0458996,0,0,0.0279141,0,0,0.0305835,0.0522158,0.0544331,0.0142508,0.0364192,0.0435027,0.0464916,0.0356017,0.0635341,0.0226381,0.0559201,0.0399711,0.0402607,0.0700544,0.0640364,0.0337758,0.018079,0.0456213,0.0649129,0,0,0,0,0.0304655,0.0559459,0,0,0
449,0.0457366,0,0,0,0,0.0437715,0,0,0,0,0,0,0.0274136,0,0.0298654,0.0280796,0,0,0.0148469,0,0,0.0535256,0.0376792,0.0242033,0.02555,0.0175564,0.0509107,0.0286044,0.0350794,0.0379221,0.0345494,0.0315602,0.0348037,0.0401769,0.0222482,0.025478,0.0245625,0.0444459,0.040261,0.0158506,0.031534,0,0.0189792,0.0321255,0.045981,0,0,0.0280445,0,0,0.0305131,0.0520633,0.0558897,0.0142411,0.0369976,0.0434207,0.0466059,0.0358256,0.063665,0.0226985,0.0561173,0.0403134,0.0407735,0.0706715,0.0660372,0.0336052,0.0180486,0.0456045,0.0650111,0,0,0,0,0.0303437,0.0562057,0,0,0
450,0.0457264,0,0,0,0,0.0436899,0,0,0,0,0,0,0.0282311,0,0.0298358,0.0281119,0,0,0.0148216,0,0,0.053633,0.0375119,0.0242263,0.0255672,0.0178719,0.0506579,0.0285023,0.0346824,0.0377354,0.034795,0.0316111,0.0348381,0.0401054,0.0223295,0.0256693,0.0236288,0.0443401,0.0402596,0.0158835,0.0318257,0,0.0189516,0.0312851,0.0459967,0,0,0.0282111,0,0,0.0304763,0.0518285,0.0570952,0.0142481,0.0373022,0.0434303,0.0466531,0.0359987,0.0635166,0.0226557,0.0561843,0.0402416,0.0410115,0.0709817,0.067838,0.0334426,0.0179998,0.0455245,0.0650665,0,0,0,0,0.0301959,0.0564414,0,0,0
451,0.0456994,0,0,0,0,0.0436149,0,0,0,0,0,0,0.0290475,0,0.0297155,0.027982,0,0,0.0149023,0,0,0.0537433,0.0373999,0.0241686,0.0255751,0.0181737,0.050311,0.028471,0.0343874,0.0377326,0.0349246,0.0316659,0.0348237,0.0400028,0.0224145,0.0258878,0.0226434,0.0443057,0.0402239,0.0159043,0.0321019,0,0.0188071,0.0302925,0.0459889,0,0,0.028495,0,0,0.030504,0.0516332,0.0580619,0.014273,0.0374641,0.0435521,0.0466753,0.0361805,0.0635285,0.0227003,0.0560948,0.0399755,0.0410385,0.0710522,0.0693243,0.0333531,0.0179444,0.045438,0.0650491,0,0,0,0,0.0300546,0.0564385,0,0,0
452,0.0456604,0,0,0,0,0.0435463,0,0,0,0,0,0,0.0296754,0,0.0297818,0.0278018,0,0,0.0150205,0,0,0.0538187,0.0372607,0.0241164,0.0255387,0.0181803,0.0498367,0.028505,0.0341974,0.0377494,0.0349343,0.0316752,0.0348454,0.0400058,0.0225261,0.0260554,0.0219487,0.0442547,0.0401337,0.0159121,0.0323285,0,0.018645,0.0297475,0.0459286,0,0,0.0287153,0,0,0.0304129,0.0515008,0.0590721,0.0142913,0.0375492,0.0437646,0.0467192,0.0364585,0.0638395,0.0228723,0.0560426,0.039766,0.0409375,0.071086,0.0704825,0.0333117,0.017967,0.045381,0.0650615,0,0,0,0,0.029891,0.0562443,0,0,0
453,0.0454227,0,0,0,0,0.0435733,0,0,0,0,0,0,0.0293615,0,0.0297945,0.0283261,0,0,0.0156822,0,0,0.0537127,0.0358918,0.0239787,0.0244215,0.0178665,0.0489951,0.0279651,0.0335027,0.0373718,0.0346737,0.0313348,0.0352057,0.0402891,0.0229911,0.0261918,0.0221318,0.0437671,0.0396717,0.0163635,0.0263585,0,0.0238163,0.0285351,0.0465686,0,0,0.0279972,0,0,0.0311732,0.0521862,0.0621056,0.0157483,0.0383612,0.0445405,0.0474855,0.0364384,0.0656542,0.0224863,0.0560716,0.035553,0.0405495,0.0732595,0.0605117,0.0334616,0.0190306,0.0453819,0.0650279,0,0,0,0,0.0288879,0.0577156,0,0,0
454,0.045378,0,0,0,0,0.0435077,0,0,0,0,0,0,0.0296991,0,0.0298504,0.0285832,0,0,0.015773,0,0,0.0536373,0.035591,0.0239609,0.0243445,0.017929,0.0491133,0.0280152,0.0332454,0.0370213,0.0347766,0.0312575,0.0353923,0.0402414,0.0231724,0.0262829,0.0216976,0.0434287,0.0395713,0.0163571,0.0263475,0,0.0241437,0.0285262,0.0465448,0,0,0.0281004,0,0,0.0310791,0.0521186,0.0628142,0.0159927,0.0383695,0.0448777,0.0476393,0.0367711,0.0660349,0.0226659,0.0562497,0.0353857,0.0406012,0.0735316,0.0613266,0.0333432,0.0189933,0.0453014,0.0649249,0,0,0,0,0.0286977,0.057719,0,0,0
455,0.0453797,0,0,0,0,0.0433929,0,0,0,0,0,0,0.0301244,0,0.0298326,0.028791,0,0,0.0159111,0,0,0.0535814,0.0353724,0.0239609,0.0242854,0.0185406,0.0489734,0.0282904,0.032915,0.0365975,0.0349762,0.0311415,0.0354801,0.0401189,0.0232328,0.0263273,0.0211311,0.0431544,0.0394536,0.0163516,0.0264657,0,0.0242931,0.0284153,0.0464822,0,0,0.0280831,0,0,0.0309323,0.0520381,0.0635103,0.0164022,0.0379868,0.0452523,0.0477943,0.0371793,0.0662867,0.0228345,0.0566565,0.0354377,0.0409233,0.0740809,0.0620147,0.0332889,0.018975,0.0451743,0.0647629,0,0,0,0,0.0285428,0.0578234,0,0,0
456,0.045466,0,0,0,0,0.0432308,0,0,0,0,0,0,0.0304578,0,0.0298528,0.0291215,0,0,0.0160434,0,0,0.0536034,0.0351581,0.0239682,0.0241601,0.0190266,0.0489805,0.0285065,0.0324767,0.0361639,0.035185,0.0310341,0.0355,0.0400706,0.0232735,0.0263215,0.0206732,0.0428874,0.0394384,0.0164171,0.0267353,0,0.0243767,0.0283067,0.0462979,0,0,0.027987,0,0,0.0308382,0.0519937,0.0642069,0.0168318,0.0374785,0.0457634,0.0479021,0.0377113,0.066608,0.023035,0.0572451,0.0357043,0.0414372,0.0747563,0.0630143,0.033199,0.0188873,0.0450569,0.0645954,0,0,0,0,0.0283551,0.0579194,0,0,0
457,0.0455996,0,0,0,0,0.0430775,0,0,0,0,0,0,0.0306383,0,0.0299453,0.0294427,0,0,0.0162093,0,0,0.0536892,0.034992,0.024232,0.0239704,0.0190414,0.0487722,0.0286324,0.0320736,0.0356824,0.0353537,0.0309417,0.0355216,0.0401323,0.0233392,0.0263293,0.0203978,0.0427551,0.0393962,0.0164544,0.027145,0,0.0245091,0.0282479,0.045922,0,0,0.0278323,0,0,0.0306695,0.0519131,0.0648499,0.0172157,0.0368962,0.0462948,0.0479141,0.0383284,0.067151,0.0232148,0.0579559,0.036033,0.0420395,0.0755231,0.0640302,0.0331182,0.0188243,0.0448974,0.064414,0,0,0,0,0.0281458,0.0578884,0,0,0
458,0.045731,0,0,0,0,0.0429541,0,0,0,0,0,0,0.0310056,0,0.0297552,0.029689,0,0,0.0163312,0,0,0.0537582,0.0349922,0.0246544,0.0237233,0.018923,0.0482914,0.02886,0.0317106,0.0352281,0.0355848,0.0310374,0.035679,0.0401834,0.0235039,0.0266372,0.0199771,0.0426634,0.0392544,0.0164972,0.027469,0,0.0247627,0.0283515,0.0456447,0,0,0.0276522,0,0,0.0305182,0.0516565,0.0655001,0.017496,0.0363123,0.0467913,0.0478883,0.0389486,0.0677456,0.0232759,0.0585677,0.0364034,0.0425355,0.0761917,0.0647724,0.0329714,0.0186946,0.0447134,0.0644629,0,0,0,0,0.0280553,0.0573772,0,0,0
459,0.0457746,0,0,0,0,0.04298,0,0,0,0,0,0,0.0310054,0,0.0302474,0.0303704,0,0,0.0165306,0,0,0.0537524,0.0346933,0.0251663,0.0234962,0.0194623,0.0477687,0.0289512,0.0311986,0.0347897,0.0357363,0.0308008,0.0357841,0.0400162,0.0234982,0.0265539,0.0201458,0.0424081,0.0392698,0.0165066,0.0277331,0,0.0247609,0.0283453,0.0456419,0,0,0.0274288,0,0,0.0304493,0.0517255,0.0659613,0.0180226,0.0353371,0.0473101,0.0480774,0.0395534,0.0681363,0.0236849,0.0590911,0.0369204,0.0430382,0.0766067,0.0651734,0.0329532,0.0186583,0.0446299,0.0642124,0,0,0,0,0.027735,0.056952,0,0,0
460,0.0459277,0,0,0,0,0.0429814,0,0,0,0,0,0,0.0312339,0,0.0305116,0.0309377,0,0,0.0166878,0,0,0.0537517,0.0345841,0.0256221,0.0232338,0.0198982,0.0475472,0.0289644,0.0305842,0.0343743,0.0359248,0.03078,0.0359019,0.0398789,0.0235671,0.0265093,0.0200354,0.0422842,0.0392705,0.01655,0.0278845,0,0.0247266,0.0282633,0.0456541,0,0,0.0273229,0,0,0.0303537,0.0516882,0.06634,0.018469,0.0342297,0.0478,0.0481278,0.0400691,0.068567,0.024118,0.0596532,0.0375056,0.0436796,0.0769898,0.06538,0.0329196,0.0185183,0.0444743,0.0638877,0,0,0,0,0.0275215,0.0570886,0,0,0
461,0.0459788,0,0,0,0,0.0430529,0,0,0,0,0,0,0.0315117,0,0.0308078,0.0314808,0,0,0.0167923,0,0,0.0537363,0.0345921,0.0271088,0.0229296,0.0204628,0.0473047,0.0289906,0.0303602,0.0339573,0.0360078,0.0307706,0.0360338,0.039815,0.0237483,0.0266775,0.0199079,0.0422038,0.0392344,0.0165749,0.0279991,0,0.0246134,0.0282485,0.0455946,0,0,0.0271536,0,0,0.0302142,0.0515464,0.0665172,0.0188761,0.0332682,0.0481473,0.0482018,0.0407499,0.0691508,0.0246206,0.0602413,0.0380487,0.0442074,0.0773368,0.0654947,0.0329175,0.0183574,0.0444838,0.0639512,0,0,0,0,0.0273021,0.057126,0,0,0
462,0.0460124,0,0,0,0,0.0430912,0,0,0,0,0,0,0.0317456,0,0.0310458,0.0321032,0,0,0.0168841,0,0,0.05379,0.0345963,0.0276909,0.0226891,0.0209317,0.0469253,0.0290257,0.030367,0.033568,0.0361044,0.0308085,0.0361354,0.0394604,0.0238332,0.0267436,0.0198185,0.0421792,0.0391623,0.01651,0.0280914,0,0.024754,0.0283565,0.0455305,0,0,0.0269916,0,0,0.0300768,0.0514317,0.066349,0.0192084,0.0322231,0.0485316,0.048268,0.041433,0.0697391,0.0251792,0.0607864,0.0385989,0.044618,0.0776129,0.0654451,0.0328649,0.0181785,0.0444668,0.0641179,0,0,0,0,0.0270496,0.056926,0,0,0
463,0.0460369,0,0,0,0,0.0430624,0,0,0,0,0,0,0.0319294,0,0.0311921,0.0326073,0,0,0.0169358,0,0,0.0538641,0.0345821,0.0275887,0.0225221,0.0213238,0.0465508,0.0289977,0.0301976,0.0331822,0.0362714,0.030841,0.0361573,0.0388812,0.023784,0.0266845,0.0197868,0.0421313,0.0391462,0.0165241,0.0283335,0,0.0247745,0.0283686,0.0455078,0,0,0.026944,0,0,0.0301022,0.0514129,0.0664228,0.0195939,0.0311016,0.0488417,0.0483099,0.0421685,0.0705476,0.0258053,0.0614238,0.0392385,0.0452123,0.077874,0.0653541,0.0328282,0.0180581,0.0444431,0.0640928,0,0,0,0,0.0268887,0.0569928,0,0,0
464,0.0460146,0,0,0,0,0.0430138,0,0,0,0,0,0,0.0319613,0,0.0313348,0.0330437,0,0,0.0168745,0,0,0.05392,0.0345782,0.0276147,0.0223833,0.0216814,0.0462423,0.0288792,0.0299251,0.0327863,0.0364321,0.0307614,0.0360753,0.0385904,0.023695,0.0266421,0.0196403,0.0420825,0.0391825,0.0166409,0.0285461,0,0.0245327,0.0284677,0.0454979,0,0,0.0269145,0,0,0.0301394,0.051332,0.0666202,0.0199449,0.0298834,0.0490769,0.0484038,0.0429564,0.0716813,0.0264193,0.0621093,0.039897,0.0457515,0.0781893,0.0651936,0.0327822,0.0179639,0.0444357,0.0639054,0,0,0,0,0.0267463,0.0569391,0,0,0
465,0.046507,0,0,0,0,0.0429701,0,0,0,0,0,0,0.0316452,0,0.0315428,0.0331484,0,0,0.0165953,0,0,0.0536501,0.0353561,0.0276801,0.0219354,0.0219723,0.0450063,0.0272064,0.0302237,0.0328443,0.0368127,0.0303603,0.0356806,0.0380969,0.0233934,0.026476,0.020156,0.0429471,0.039099,0.0170623,0.0276128,0,0.0244474,0.0304861,0.0456548,0,0,0.0268711,0,0,0.0299032,0.0496118,0.066029,0.0230109,0.0283581,0.0494551,0.0482682,0.0461379,0.0777706,0.0287598,0.061421,0.0379832,0.0448776,0.0778835,0.0627119,0.0329328,0.0177976,0.0448958,0.0622263,0,0,0,0,0.0268083,0,0,0,0
466,0.046055,0,0,0,0,0.0429645,0,0,0,0,0,0,0.0319006,0,0.0318182,0.0339274,0,0,0.0169946,0,0,0.0539268,0.0347066,0.0274611,0.0221775,0.0224058,0.0457159,0.0284597,0.0292773,0.0317131,0.0368097,0.0303493,0.0358648,0.0382889,0.0234508,0.0263683,0.0198342,0.0420951,0.0390177,0.0165895,0.0285693,0,0.0240576,0.0286556,0.045612,0,0,0.0269002,0,0,0.0299573,0.0513016,0.0656104,0.0205487,0.0275522,0.049573,0.0484092,0.0443971,0.0736456,0.0276789,0.0635055,0.0413131,0.0468147,0.0786289,0.064774,0.0326681,0.0179404,0.0445056,0.063612,0,0,0,0,0.0266457,0.0574523,0,0,0
467,0.0460627,0,0,0,0,0.0429664,0,0,0,0,0,0,0.0320289,0,0.0319935,0.0343992,0,0,0.016925,0,0,0.0538628,0.0348015,0.0272341,0.0221007,0.0227395,0.045385,0.0281677,0.0290376,0.0312842,0.036952,0.0303848,0.0358335,0.0380803,0.023251,0.0262143,0.0198666,0.0420816,0.0389517,0.0165384,0.028361,0,0.0237052,0.0288199,0.045662,0,0,0.0269898,0,0,0.0298115,0.0512144,0.0647612,0.0208702,0.0263456,0.0497171,0.0484499,0.0452354,0.0746501,0.0283905,0.064108,0.0418986,0.0473736,0.0786909,0.0643461,0.0326975,0.0179452,0.0446298,0.0636395,0,0,0,0,0.026579,0.0577899,0,0,0
468,0.0461555,0,0,0,0,0.042901,0,0,0,0,0,0,0.0319437,0,0.032224,0.0346163,0,0,0.0168826,0,0,0.0538327,0.0349637,0.0272002,0.0219547,0.023042,0.0451733,0.0278569,0.028745,0.0309186,0.0371073,0.0305747,0.0357645,0.0378096,0.0231088,0.0261005,0.019907,0.0420506,0.0389689,0.016603,0.0278933,0,0.02329,0.028958,0.0457441,0,0,0.0270472,0,0,0.0297728,0.0510239,0.0640278,0.0212535,0.0251754,0.0497663,0.0484533,0.046032,0.0755663,0.029093,0.064596,0.0424482,0.0477239,0.0787514,0.0632225,0.0326223,0.0178563,0.0445138,0.0639461,0,0,0,0,0.0264973,0.0579133,0,0,0
