Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,STRN,T10,x71,x72,x73,x74,RWRA,RTHII,,x76,x79
17,0.0470322,0,0,0,0,0.0468525,0,0,0,0,0,0,0.0422472,0,0.0266362,0.0253734,0,0,0.0198847,0,0,0.0459879,0.0512076,0.0287795,0.0192545,0.0173144,0.035534,0.0358603,0.0379941,0.0370915,0.0363087,0.0353952,0.0367385,0.0407813,0.0250292,0.028103,0.0135725,0.055316,0.0187841,0.0135893,0.0242624,0,0.023395,0.0475816,0.0414206,0,0,0.00820095,0,0,0.0231918,0.0464434,0.0362308,0.0223459,0.0164904,0.0306184,0.0502531,0,0.0701512,0.0359287,0.0610055,0.0411375,0.0468707,0.069427,0.0176738,0.0482064,0.0159377,0.0552598,0.0661198,0,0,0,0,0.0189729,0.0486841,0,0,0
18,0.0472161,0,0,0,0,0.0467048,0,0,0,0,0,0,0.0417737,0,0.0270292,0.0248196,0,0,0.0200292,0,0,0.0458174,0.0514857,0.0281953,0.0197262,0.0172961,0.034778,0.0353794,0.038324,0.0368404,0.036444,0.0356215,0.036746,0.0410136,0.0248088,0.0278694,0.0137001,0.0555694,0.018785,0.0140355,0.026731,0,0.0236797,0.049114,0.0414719,0,0,0.00837906,0,0,0.0232632,0.045172,0.036862,0.0243574,0.0152736,0.0299818,0.0500468,0,0.0538463,0.0360761,0.0602563,0.0399265,0.0460049,0.0683349,0.0157238,0.048235,0.0162623,0.0552312,0.0656501,0,0,0,0,0.0188948,0.050073,0,0,0
19,0.04752,0,0,0,0,0.0465159,0,0,0,0,0,0,0.041612,0,0.027421,0.0236764,0,0,0.0203791,0,0,0.0452885,0.0527797,0.0278799,0.0203778,0.0171173,0.0331177,0.0344282,0.0388587,0.0368052,0.036644,0.0358811,0.0367562,0.0412164,0.0247246,0.0278093,0.0137628,0.0562363,0.0187626,0.0148249,0.0346764,0,0.0249784,0.0523192,0.0415313,0,0,0.00865653,0,0,0.0233198,0.0429435,0.0387592,0.0286958,0.0126754,0.0287885,0.0498494,0,0.0308512,0.0366034,0.0584085,0.0368465,0.0436793,0.0658741,0.0150557,0.0483481,0.0163502,0.0553939,0.0644817,0,0,0,0,0.0190367,0.0531633,0,0,0
20,0.0477373,0,0,0,0,0.0463841,0,0,0,0,0,0,0.0409871,0,0.0277713,0.0234385,0,0,0.0203586,0,0,0.0451022,0.0530378,0.0276442,0.0207502,0.0174826,0.0323115,0.0341474,0.0387065,0.0363881,0.0367949,0.0357253,0.0369597,0.0413298,0.0248606,0.0277663,0.0144714,0.0565137,0.018612,0.0153203,0.0378679,0,0.0255756,0.0538227,0.0415585,0,0,0.00878905,0,0,0.0233003,0.0424487,0.0397139,0.0303941,0.0118697,0.0282889,0.0497203,0,0.0372447,0.0368814,0.0575304,0.0355524,0.0427341,0.0649502,0.0169715,0.0484841,0.0161891,0.0554863,0.0640068,0,0,0,0,0.0191652,0.0544452,0,0,0
21,0.0478917,0,0,0,0,0.0462908,0,0,0,0,0,0,0.0406574,0,0.0279447,0.023551,0,0,0.020168,0,0,0.0451196,0.0525381,0.027377,0.0209527,0.0178374,0.0322751,0.0341698,0.0382704,0.035966,0.0369175,0.0357599,0.0372602,0.041425,0.0249663,0.0278726,0.0149144,0.056405,0.0182949,0.0158086,0.0374187,0,0.0255058,0.0540386,0.0415825,0,0,0.00885552,0,0,0.0232548,0.0424481,0.0393747,0.0301227,0.0120775,0.0282053,0.0495337,0,0.0366824,0.03675,0.0573916,0.0355872,0.0428604,0.064979,0.0165739,0.0486411,0.016572,0.055343,0.0640427,0,0,0,0,0.0190063,0.0543988,0,0,0
22,0.0478871,0,0,0,0,0.0462547,0,0,0,0,0,0,0.040745,0,0.0282246,0.0231681,0,0,0.0194214,0,0,0.0453732,0.0517116,0.0267456,0.0211759,0.0182333,0.0335239,0.0349538,0.0379522,0.0353529,0.0368055,0.036216,0.0376997,0.0418971,0.0252643,0.0281192,0.0147819,0.0556545,0.0174896,0.0160412,0.0376719,0,0.0252192,0.0522745,0.0413292,0,0,0.00907705,0,0,0.0233972,0.0426578,0.0360357,0.0275099,0.0118912,0.0282822,0.0491451,0,0,0.0374016,0.0581305,0.0364886,0.0440948,0.0663749,0.0165455,0.0486104,0.0167226,0.0549223,0.0649161,0,0,0,0,0.0188385,0.0532514,0,0,0
23,0.0479198,0,0,0,0,0.0461642,0,0,0,0,0,0,0.0405757,0,0.0285072,0.023373,0,0,0.0191855,0,0,0.0452926,0.0512668,0.0265724,0.0211885,0.0185666,0.0336311,0.0350433,0.0378146,0.0351555,0.0367937,0.0364647,0.0376798,0.0419296,0.0253326,0.0282392,0.0150198,0.0555327,0.0166923,0.0164598,0.0378026,0,0.0252328,0.052158,0.0412972,0,0,0.00914823,0,0,0.0234796,0.0428757,0.0362792,0.0272307,0.0121667,0.0284102,0.0490303,0,0,0.0374023,0.0580663,0.0364507,0.0440662,0.0663733,0.0166986,0.048698,0.0168316,0.0548372,0.0650083,0,0,0,0,0.0186336,0.0531632,0,0,0
24,0.0479558,0,0,0,0,0.0460677,0,0,0,0,0,0,0.0405949,0,0.028825,0.0235524,0,0,0.0189893,0,0,0.0452188,0.0511514,0.026522,0.021036,0.0190802,0.0336006,0.0351571,0.0377755,0.0350163,0.036742,0.0366756,0.0375701,0.0418253,0.0254878,0.0283058,0.0151426,0.0555075,0.0162316,0.0169071,0.0378953,0,0.025296,0.0520589,0.0413376,0,0,0.00917857,0,0,0.0234653,0.0431665,0.036237,0.0271513,0.0123634,0.0284262,0.0488894,0,0,0.0374887,0.0580327,0.0364144,0.0440818,0.0664466,0.0167661,0.0486569,0.0169892,0.0547975,0.0650451,0,0,0,0,0.0184604,0.0531399,0,0,0
25,0.0479737,0,0,0,0,0.0459821,0,0,0,0,0,0,0.0406821,0,0.0291938,0.0237578,0,0,0.0188181,0,0,0.0451486,0.0511191,0.0265655,0.0209265,0.0194749,0.0335467,0.0351775,0.0376978,0.034852,0.0367805,0.0369324,0.0376542,0.041837,0.0255704,0.028397,0.0152202,0.05548,0.0158084,0.0174562,0.0380063,0,0.0253841,0.052007,0.0414539,0,0,0.00924305,0,0,0.0234132,0.0434535,0.035732,0.0270705,0.0124899,0.0284865,0.0487891,0,0,0.0376109,0.0579906,0.0363599,0.0440848,0.0666318,0.0166695,0.0484556,0.017133,0.0547481,0.0650043,0,0,0,0,0.0183075,0.0531553,0,0,0
26,0.0479821,0,0,0,0,0.0458845,0,0,0,0,0,0,0.0407078,0,0.0295521,0.0240976,0,0,0.0186681,0,0,0.0450574,0.0510867,0.026596,0.0209146,0.0197027,0.0334502,0.0352822,0.0376111,0.034641,0.0368607,0.0372527,0.0378602,0.0418812,0.0256203,0.0285101,0.0153168,0.0554934,0.01562,0.0178257,0.0381026,0,0.0254222,0.0519338,0.0414966,0,0,0.0093401,0,0,0.0233999,0.0437024,0.0354188,0.027031,0.0125559,0.0285689,0.0488154,0,0,0.0377216,0.0579757,0.0363454,0.0440901,0.0667532,0.0166447,0.0485104,0.0172532,0.0547606,0.0649136,0,0,0,0,0.0182111,0.0531424,0,0,0
