Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,LWRA,IMUL_M,x78,x81,x80
All Timesteps RMSE,0,0.0469902,0,0,0,0,0.0441833,0,0,0,0,0,0.0406898,0,0.0325046,0.0313666,0,0,0.0168576,0,0,0.0472544,0.107969,0.0412209,0.041187,0.0165755,0.0424409,0.0315427,0.0850439,0.044109,0.047049,0.0379078,0.0321666,0.0349429,0.0421799,0.0280535,0.0271794,0.0498875,0.0256052,0.0375377,0,0.0226162,0.0519372,0.0436578,0,0,0.0203514,0,0,0.0249989,0.0442804,0.0463449,0.0257477,0.017517,0.0352556,0.0420488,0.0426474,0.0684205,0.0530001,0.0322874,0.0601414,0.0411783,0.0462036,0.0696146,0.0301545,0.0440758,0.0235472,0.0154234,0.0503284,0.0617014,0,0,0,0,0.032549,0,0,0,0
0,0,0.0510873,0,0,0,0,0.0430865,0,0,0,0,0,0.028809,0,0.0305032,0.0292288,0,0,0.00179578,0,0,0.0406379,0.0446583,0.025604,0.0225046,0.0170314,0.0457026,0.0288604,0.035406,0.0367633,0.0372242,0.0350605,0.0349594,0.0409472,0.0209675,0.025517,0.0258582,0.046193,0.0198758,0.0186113,0,0.0200715,0.0393365,0.0496449,0,0,0.022645,0,0,0.0209181,0.0480191,0.0451437,0.0163396,0.0158903,0.0423096,0.0553376,0.0422023,0.0693575,0.0524289,0.0318282,0.0604438,0.0399873,0.0457441,0.0683971,0.0278734,0.0361891,0.0153548,0.00941156,0.0421827,0.0659927,0,0,0,0,0,0,0,0,0
1,0,0.0511918,0,0,0,0,0.042931,0,0,0,0,0,0.0287455,0,0.0306599,0.029362,0,0,0.00192685,0,0,0.0407161,0.0443938,0.025703,0.0224647,0.0173997,0.0456795,0.0288191,0.0356067,0.0370644,0.0371134,0.0347637,0.035118,0.0412582,0.021054,0.0256085,0.0264614,0.0462998,0.0199179,0.0174237,0,0.0190293,0.0394368,0.0495916,0,0,0.0225858,0,0,0.0208916,0.0482269,0.0456641,0.0165658,0.0152214,0.0422481,0.055063,0.0412232,0.068398,0.052297,0.0319265,0.0601992,0.0395098,0.0453889,0.0684176,0.0297817,0.0363439,0.0154837,0.00941243,0.0424369,0.0660435,0,0,0,0,0,0,0,0,0
2,0,0.0511464,0,0,0,0,0.0428537,0,0,0,0,0,0.0285439,0,0.0307481,0.0291187,0,0,0.00207156,0,0,0.0406517,0.0438793,0.025831,0.022204,0.0177011,0.0456218,0.0286389,0.0353559,0.0367375,0.0370602,0.034581,0.0353314,0.0413038,0.0212289,0.0257752,0.0269321,0.0464763,0.0198331,0.0179005,0,0.0183347,0.03952,0.0495865,0,0,0.0223809,0,0,0.0209385,0.0484225,0.0463529,0.016667,0.013534,0.0423455,0.0548996,0.0410152,0.0686384,0.0526019,0.0320953,0.0610154,0.0401961,0.0465194,0.0697229,0.0312557,0.0362959,0.0156025,0.00935497,0.0423142,0.0661331,0,0,0,0,0,0,0,0,0
3,0,0.0510816,0,0,0,0,0.0427681,0,0,0,0,0,0.0281305,0,0.0307213,0.0299979,0,0,0.00209192,0,0,0.0405791,0.0433148,0.0260045,0.0222827,0.0176898,0.0453787,0.0285472,0.0353106,0.0366872,0.0368262,0.0343031,0.0355544,0.0413194,0.0214874,0.0259409,0.0276143,0.0467012,0.0196471,0.0186606,0,0.0182157,0.0394025,0.0495902,0,0,0.0221736,0,0,0.0209359,0.0484621,0.0470293,0.0165696,0.0119072,0.0422668,0.0549319,0.041657,0.0696747,0.0533293,0.0322761,0.0624307,0.0418418,0.0483267,0.0713923,0.0323142,0.0361691,0.0156701,0.00929444,0.0425023,0.0661284,0,0,0,0,0,0,0,0,0
4,0,0.0510419,0,0,0,0,0.0426539,0,0,0,0,0,0.0277401,0,0.0307734,0.0309255,0,0,0.00215183,0,0,0.0406415,0.0426566,0.0262929,0.0223523,0.0177216,0.0452179,0.0283968,0.034963,0.0366077,0.0367178,0.0339522,0.035717,0.0412877,0.0217495,0.0260071,0.0283725,0.0468785,0.0197229,0.018942,0,0.0185049,0.0392512,0.0496265,0,0,0.0220264,0,0,0.0209252,0.0481495,0.0470669,0.0164096,0.0114626,0.0422613,0.0550042,0.0427647,0.07059,0.0540504,0.0324474,0.0635316,0.0434332,0.0493481,0.0721852,0.0329902,0.0360171,0.0157395,0.00928233,0.0426948,0.0661493,0,0,0,0,0,0,0,0,0
5,0,0.0510277,0,0,0,0,0.0425597,0,0,0,0,0,0.0274102,0,0.0308394,0.0313104,0,0,0.00221135,0,0,0.0406936,0.0421768,0.0265591,0.0223466,0.0179239,0.0452162,0.0281506,0.0344176,0.0367004,0.0367885,0.0337359,0.0357189,0.0412898,0.0219191,0.0260858,0.0290159,0.0468036,0.0198072,0.0187978,0,0.0187988,0.0391016,0.049608,0,0,0.0220566,0,0,0.0208953,0.0474275,0.0465958,0.0162664,0.0122723,0.042352,0.0550521,0.0436762,0.0711319,0.0543158,0.0322449,0.0636944,0.0440561,0.0491568,0.0718725,0.0328293,0.0361094,0.0158032,0.00939095,0.0428666,0.0661599,0,0,0,0,0,0,0,0,0
6,0,0.0509842,0,0,0,0,0.042563,0,0,0,0,0,0.0271212,0,0.0309446,0.0312437,0,0,0.00216449,0,0,0.040768,0.0419947,0.0268045,0.0222877,0.0182004,0.0453185,0.0277885,0.034185,0.0369707,0.0368483,0.0337785,0.0357864,0.0413177,0.0220697,0.026144,0.0295481,0.0467838,0.019812,0.0188892,0,0.0189452,0.0390995,0.0495724,0,0,0.0220765,0,0,0.0209116,0.0465124,0.0461733,0.0161763,0.0134578,0.0424253,0.0551239,0.0438526,0.0710389,0.0539784,0.0316621,0.0632421,0.0438102,0.0486533,0.0713164,0.0316763,0.0361008,0.0158871,0.00942407,0.0430671,0.0661323,0,0,0,0,0,0,0,0,0
7,0,0.0509446,0,0,0,0,0.0426006,0,0,0,0,0,0.0270251,0,0.0310671,0.0310474,0,0,0.00210073,0,0,0.0408681,0.0421129,0.0269699,0.0223052,0.0184565,0.0454613,0.0273542,0.0340802,0.0367838,0.0367643,0.0339241,0.0358967,0.041324,0.0222404,0.0262101,0.0298097,0.0468548,0.0198433,0.0193688,0,0.0191706,0.039264,0.0495645,0,0,0.0220275,0,0,0.0209686,0.0457112,0.0459953,0.0162108,0.0143728,0.0423649,0.0550918,0.0433488,0.0703989,0.0533055,0.030938,0.0627954,0.0432838,0.0483856,0.0710179,0.0298581,0.0361999,0.015929,0.00940888,0.0431103,0.0659361,0,0,0,0,0,0,0,0,0
8,0,0.0509213,0,0,0,0,0.0426523,0,0,0,0,0,0.0271828,0,0.0311497,0.0308079,0,0,0.00212065,0,0,0.0408975,0.0424293,0.0270487,0.0223308,0.0186452,0.0456111,0.0268701,0.034022,0.0362258,0.0367399,0.0339335,0.0360385,0.0414074,0.0224064,0.0262929,0.0296977,0.0469085,0.0199181,0.0201654,0,0.0194882,0.0395807,0.0495615,0,0,0.0219679,0,0,0.0209823,0.0453573,0.045973,0.0162971,0.0148857,0.0421059,0.0549428,0.0426813,0.0695132,0.0527088,0.0303939,0.0626252,0.0428781,0.0483385,0.0709355,0.0279667,0.0363498,0.0158918,0.00937299,0.0431859,0.065736,0,0,0,0,0,0,0,0,0
9,0,0.0509564,0,0,0,0,0.0426487,0,0,0,0,0,0.0274742,0,0.0312579,0.0305329,0,0,0.0021743,0,0,0.0408363,0.0428295,0.0271015,0.0223931,0.0188789,0.0457183,0.0264461,0.0342539,0.0357928,0.0367907,0.0340216,0.0362467,0.041482,0.022527,0.0263586,0.029433,0.0470048,0.019946,0.0206939,0,0.0197916,0.0399272,0.0495435,0,0,0.0219243,0,0,0.0210142,0.0456079,0.0460502,0.0163616,0.015066,0.0415928,0.0547708,0.042243,0.0686921,0.0523226,0.0302437,0.0626395,0.0427177,0.0482996,0.0708279,0.0264675,0.0365711,0.0158994,0.00945596,0.043401,0.0655971,0,0,0,0,0,0,0,0,0
10,0,0.0509486,0,0,0,0,0.042647,0,0,0,0,0,0.0277123,0,0.0314147,0.0303545,0,0,0.00228399,0,0,0.0407001,0.0431823,0.0271701,0.0224395,0.0192194,0.0457693,0.0260585,0.0344873,0.0355735,0.0368361,0.0341339,0.0363539,0.0415212,0.0225678,0.0264519,0.0291371,0.0470047,0.0199627,0.0214512,0,0.0200673,0.0402212,0.0495141,0,0,0.0217809,0,0,0.0210097,0.0461428,0.0461068,0.0163935,0.0150759,0.0409571,0.0547147,0.0422097,0.0681051,0.0521823,0.0304985,0.062639,0.0427654,0.0482467,0.0707657,0.0251841,0.0365986,0.0159971,0.00955362,0.0434652,0.0654387,0,0,0,0,0,0,0,0,0
11,0,0.0509184,0,0,0,0,0.0426234,0,0,0,0,0,0.0279497,0,0.0315644,0.0302351,0,0,0.00243063,0,0,0.0405815,0.0434413,0.0272023,0.0225312,0.0195421,0.0456631,0.0256715,0.0345662,0.0355701,0.0368236,0.0343155,0.0364263,0.0416706,0.0227685,0.0265865,0.0288986,0.0470534,0.0200026,0.0222228,0,0.0202814,0.0405334,0.0494795,0,0,0.0216069,0,0,0.0210479,0.0465537,0.0460738,0.016389,0.0149767,0.0403465,0.0546028,0.0424204,0.0678278,0.0520868,0.0309493,0.0627266,0.0429615,0.0483232,0.0707792,0.0241232,0.0368016,0.0161231,0.00967185,0.0434374,0.0652794,0,0,0,0,0,0,0,0,0
12,0,0.0508742,0,0,0,0,0.042619,0,0,0,0,0,0.028224,0,0.0317255,0.0301108,0,0,0.00252967,0,0,0.0404743,0.0436524,0.0272284,0.0226982,0.0198587,0.0454278,0.0253246,0.0346112,0.0356544,0.0368652,0.0345233,0.0365954,0.0417559,0.0229976,0.0267265,0.0287053,0.0471758,0.020037,0.0227901,0,0.020473,0.0409006,0.0494549,0,0,0.0214704,0,0,0.0211272,0.0466676,0.0457502,0.0164319,0.0148584,0.0399342,0.0544255,0.042651,0.0676001,0.0520216,0.0313704,0.0629531,0.0431642,0.0484944,0.0708359,0.0232922,0.036855,0.016212,0.00977249,0.0436443,0.0650924,0,0,0,0,0,0,0,0,0
13,0,0.0507533,0,0,0,0,0.0426735,0,0,0,0,0,0.0284909,0,0.0319231,0.0300274,0,0,0.00267983,0,0,0.040355,0.0437973,0.0273143,0.0228277,0.0201574,0.0451474,0.0250163,0.0348232,0.0353827,0.0368793,0.0345818,0.036827,0.0416869,0.0231423,0.0268802,0.0285727,0.047378,0.0200643,0.0230972,0,0.0206676,0.0413733,0.0494564,0,0,0.0213465,0,0,0.0212108,0.0465355,0.0448328,0.0165391,0.0147753,0.0397607,0.0542133,0.0426599,0.0672764,0.0521216,0.0316297,0.0631078,0.0432382,0.0486567,0.0709734,0.0226762,0.0369716,0.0162746,0.00991277,0.0437304,0.064922,0,0,0,0,0,0,0,0,0
14,0,0.0505663,0,0,0,0,0.0427704,0,0,0,0,0,0.0285506,0,0.0321037,0.0301805,0,0,0.00291845,0,0,0.0402822,0.0438574,0.0275083,0.022749,0.0202878,0.0448743,0.0247447,0.0350606,0.0352826,0.0368361,0.0346166,0.0370014,0.0417092,0.0233446,0.0269936,0.0286816,0.0475849,0.0201062,0.0232212,0,0.0207564,0.0417648,0.0494688,0,0,0.0213115,0,0,0.0213397,0.0463689,0.0441541,0.0166387,0.014713,0.0396989,0.0539615,0.0425911,0.0670012,0.0522884,0.0317483,0.0631091,0.0432799,0.0487605,0.0711276,0.0222953,0.0371962,0.0163637,0.0100971,0.0436977,0.0647269,0,0,0,0,0,0,0,0,0
15,0,0.0503829,0,0,0,0,0.042887,0,0,0,0,0,0.0285139,0,0.0322593,0.0303827,0,0,0.00311006,0,0,0.0402805,0.0438764,0.0277865,0.0226465,0.0205285,0.0446806,0.0244825,0.0352057,0.0349928,0.0368268,0.0346472,0.0370593,0.0416695,0.0235178,0.0270716,0.0287941,0.0477153,0.0201694,0.0233464,0,0.0208375,0.0420942,0.0494848,0,0,0.0213411,0,0,0.02146,0.0462758,0.0437426,0.0167378,0.0146437,0.0397103,0.0537014,0.04253,0.0668306,0.0520224,0.0317309,0.0630373,0.0432989,0.0488342,0.0713152,0.022008,0.0374345,0.016524,0.0103361,0.0440291,0.0645084,0,0,0,0,0,0,0,0,0
16,0,0.0502094,0,0,0,0,0.0430301,0,0,0,0,0,0.0284238,0,0.0324141,0.0305137,0,0,0.00312481,0,0,0.0403289,0.0438632,0.0280756,0.0226272,0.0208674,0.0445199,0.024185,0.0352007,0.0348658,0.0368397,0.0346315,0.0371249,0.0417053,0.0236093,0.0271108,0.0289682,0.0478476,0.0202159,0.0234777,0,0.0208808,0.0424206,0.0494947,0,0,0.0214133,0,0,0.021667,0.0463626,0.0434563,0.0168679,0.0145161,0.0397427,0.0534163,0.0424426,0.0667907,0.0518084,0.0315754,0.0630651,0.0433366,0.0489187,0.071342,0.0217697,0.0377031,0.0167279,0.0106105,0.0444177,0.0642492,0,0,0,0,0,0,0,0,0
17,0,0.0500424,0,0,0,0,0.0432009,0,0,0,0,0,0.0284079,0,0.0325745,0.0306957,0,0,0.00305273,0,0,0.0403937,0.0438603,0.0282955,0.0226463,0.0212193,0.044314,0.0237798,0.0351083,0.0349161,0.0368562,0.0345464,0.037182,0.0417743,0.0236644,0.0271199,0.0291667,0.0480259,0.0202072,0.0234509,0,0.0209966,0.0427147,0.0495277,0,0,0.021502,0,0,0.0220087,0.0464546,0.0432572,0.0170263,0.0143684,0.039725,0.0531227,0.0423629,0.0668344,0.0517081,0.0314141,0.0631972,0.0433938,0.0489725,0.0712386,0.0216735,0.0378742,0.0169669,0.0109226,0.0447359,0.0639386,0,0,0,0,0,0,0,0,0
18,0,0.0498325,0,0,0,0,0.0434129,0,0,0,0,0,0.0283009,0,0.0326913,0.0309278,0,0,0.00308045,0,0,0.040358,0.0438952,0.0284055,0.0227003,0.0215342,0.0442508,0.0234893,0.0351576,0.0348656,0.0369162,0.0344652,0.0372424,0.0417833,0.0238245,0.0271632,0.0295061,0.0482466,0.0201521,0.0234275,0,0.0211302,0.0431074,0.0495554,0,0,0.0215656,0,0,0.0223173,0.0464837,0.0430634,0.0171147,0.0142567,0.0396217,0.0527426,0.0423565,0.066923,0.0515623,0.0313774,0.063279,0.0434412,0.049018,0.0711317,0.0216273,0.0379096,0.017214,0.011149,0.0448482,0.0637015,0,0,0,0,0,0,0,0,0
19,0,0.0496431,0,0,0,0,0.0436311,0,0,0,0,0,0.0280979,0,0.0327169,0.03081,0,0,0.00321121,0,0,0.04026,0.0439091,0.028497,0.0226796,0.0217733,0.0442084,0.0233225,0.0352771,0.034741,0.0368941,0.0344267,0.0373916,0.0418499,0.0239739,0.0272176,0.0299251,0.0484725,0.0200515,0.0235765,0,0.0212971,0.0434466,0.0495345,0,0,0.0215896,0,0,0.0225684,0.0464663,0.0428846,0.0172208,0.0142833,0.0393969,0.0523456,0.0423957,0.0668464,0.0514366,0.031547,0.0632421,0.0434635,0.0490291,0.0711223,0.021379,0.0378605,0.0174861,0.0113319,0.0449027,0.0635046,0,0,0,0,0,0,0,0,0
20,0,0.0495382,0,0,0,0,0.0437807,0,0,0,0,0,0.0279464,0,0.032843,0.030731,0,0,0.00335239,0,0,0.0402738,0.0439543,0.0286301,0.0225787,0.0220472,0.0440958,0.0230912,0.035327,0.0346243,0.03681,0.0343474,0.0377515,0.04187,0.0240474,0.0272102,0.0302232,0.0486727,0.0200841,0.0238354,0,0.0214866,0.0436262,0.049473,0,0,0.0216079,0,0,0.0228032,0.0463536,0.0429535,0.0173477,0.0144331,0.0390569,0.0518967,0.0424735,0.0667644,0.051431,0.0317458,0.0631898,0.0434622,0.0489795,0.0711163,0.0210478,0.0379752,0.0178217,0.0115408,0.0449358,0.0633456,0,0,0,0,0,0,0,0,0
21,0,0.0495041,0,0,0,0,0.0438321,0,0,0,0,0,0.0278712,0,0.0329826,0.0307919,0,0,0.00348109,0,0,0.040249,0.0440444,0.0287168,0.0224778,0.0224438,0.0439371,0.0228449,0.0353071,0.0344569,0.0367489,0.0342532,0.0379423,0.0418554,0.0241511,0.0272198,0.0304461,0.048838,0.0200843,0.0241578,0,0.0217034,0.0438059,0.049405,0,0,0.0215801,0,0,0.0230316,0.0462364,0.043234,0.0173882,0.0146616,0.0387024,0.0514151,0.0426113,0.0666973,0.051474,0.0320473,0.0632546,0.0434824,0.0489443,0.0711587,0.0207823,0.0382385,0.0181768,0.0117299,0.0452714,0.0632685,0,0,0,0,0,0,0,0,0
22,0,0.0494726,0,0,0,0,0.0438539,0,0,0,0,0,0.0278496,0,0.0330997,0.0308641,0,0,0.00362431,0,0,0.0402182,0.0441571,0.0287478,0.0225071,0.0229242,0.0437519,0.0226291,0.0352999,0.0342597,0.0367665,0.0341463,0.0379816,0.0417705,0.0242441,0.0272425,0.030541,0.0490266,0.0200559,0.0244634,0,0.0219807,0.0440616,0.049338,0,0,0.0214748,0,0,0.0231916,0.0461901,0.0432929,0.0174221,0.014899,0.0383164,0.0509121,0.0428182,0.0666886,0.0511485,0.0324663,0.0632868,0.0434765,0.0489205,0.0711159,0.0206054,0.0385474,0.0185378,0.0118921,0.0455144,0.063267,0,0,0,0,0,0,0,0,0
23,0,0.0494449,0,0,0,0,0.0438407,0,0,0,0,0,0.0279338,0,0.0332456,0.030865,0,0,0.00371661,0,0,0.0402539,0.0442361,0.0287917,0.0225017,0.0233931,0.0434863,0.0224411,0.0353403,0.0340468,0.0367805,0.03406,0.0381166,0.0417051,0.0243394,0.0272865,0.0305134,0.0492378,0.0200284,0.024649,0,0.0222474,0.0443521,0.0492139,0,0,0.0217339,0,0,0.0231911,0.0463213,0.0430124,0.0175094,0.0151457,0.0379938,0.0505338,0.0431032,0.0666606,0.0509064,0.0329262,0.0632924,0.0435202,0.0489534,0.0710228,0.0201764,0.0389126,0.0185764,0.0121429,0.0456308,0.0632606,0,0,0,0,0,0,0,0,0
24,0,0.0493107,0,0,0,0,0.0440727,0,0,0,0,0,0.0283894,0,0.03261,0.0307398,0,0,0.0036604,0,0,0.0402922,0.0445068,0.0293714,0.0227071,0.0233614,0.0438337,0.022262,0.0354154,0.0339933,0.0369807,0.0341477,0.0380036,0.0419194,0.0242457,0.0269952,0.0301758,0.0492159,0.020031,0.0247833,0,0.0224286,0.0445693,0.0495317,0,0,0.0174224,0,0,0.015184,0.0464264,0.0426121,0.0173825,0.0152786,0.0381561,0.0492417,0.043411,0.0667134,0.0508239,0.0332917,0.0633079,0.0436028,0.0490022,0.0709955,0.0197519,0.0396911,0,0.00862917,0.045717,0.0630164,0,0,0,0,0,0,0,0,0
25,0,0.0493665,0,0,0,0,0.0438223,0,0,0,0,0,0.0293856,0,0.0318123,0.0307031,0,0,0.00385956,0,0,0.040338,0.0445407,0.0301438,0.0225818,0.0236604,0.0430918,0.0221236,0.0355349,0.0337813,0.0368688,0.0342671,0.0381806,0.0425017,0.024218,0.0264774,0.0297117,0.0495012,0.0200318,0.0250509,0,0.0226877,0.0450679,0.0490001,0,0,0.0215329,0,0,0.0234348,0.046884,0.0425409,0.0175757,0.0155407,0.037674,0.0496024,0.0435817,0.0664877,0.05069,0.033696,0.0632989,0.0436941,0.0490099,0.070966,0.019396,0.0395991,0.0193045,0.0125423,0.0457024,0.0629976,0,0,0,0,0,0,0,0,0
26,0,0.0492747,0,0,0,0,0.0439711,0,0,0,0,0,0.0300602,0,0.0314392,0.0305644,0,0,0.00390256,0,0,0.0403131,0.044822,0.0308945,0.0228053,0.0236598,0.0434354,0.0219228,0.0356978,0.0337588,0.0370517,0.0344059,0.0381873,0.0426801,0.02417,0.0262145,0.029735,0.0493303,0.0200727,0.0252972,0,0.0227879,0.045108,0.0492692,0,0,0.0173365,0,0,0.0150317,0.0470299,0.042265,0.0174484,0.0155847,0.0379723,0.0484073,0.0438064,0.066411,0.0506042,0.033941,0.0632105,0.0437109,0.0490328,0.0709976,0.0190542,0.0403997,0,0.00878611,0.0458321,0.0628258,0,0,0,0,0,0,0,0,0
27,0,0.0492905,0,0,0,0,0.0437756,0,0,0,0,0,0.0314432,0,0.0311413,0.0305325,0,0,0.00404946,0,0,0.0402286,0.0448982,0.0319188,0.0226501,0.0238891,0.0427392,0.0218217,0.0358449,0.0335897,0.0369466,0.034561,0.0384388,0.0431572,0.0242143,0.0258663,0.0296627,0.0495067,0.0200958,0.025438,0,0.0229963,0.0453903,0.0487768,0,0,0.0210895,0,0,0.0237903,0.0473321,0.0421202,0.0176762,0.0158479,0.0376191,0.0487753,0.0438792,0.0660685,0.0505085,0.0342513,0.0631156,0.0436602,0.0489838,0.0709024,0.018896,0.0403105,0.0202613,0.0129143,0.0459272,0.0628774,0,0,0,0,0,0,0,0,0
28,0,0.049182,0,0,0,0,0.0440046,0,0,0,0,0,0.0301634,0,0.0332251,0.0306073,0,0,0.00437815,0,0,0.0402856,0.0450658,0.0294962,0.0234614,0.0215406,0.0424417,0.0219222,0.0348651,0.0334441,0.0379271,0.0352097,0.0383695,0.042516,0.0251795,0.0280485,0.0276195,0.0498009,0.0198388,0.0252593,0,0.0230672,0.0458319,0.0484466,0,0,0.0207446,0,0,0.0244498,0.0473706,0.0420652,0.0177004,0.016068,0.0371395,0.0483505,0.0438295,0.0659154,0.050433,0.0342718,0.0631443,0.0436632,0.0489987,0.0707819,0.0191582,0.0406063,0.0200397,0.0135761,0.0462674,0.0625806,0,0,0,0,0,0,0,0,0
29,0,0.0492025,0,0,0,0,0.0440925,0,0,0,0,0,0.0303837,0,0.0331981,0.0306761,0,0,0.00452013,0,0,0.040183,0.0452593,0.0297202,0.0238675,0.0214293,0.0424223,0.0218843,0.0347509,0.0333968,0.0381529,0.0355653,0.0384229,0.0427059,0.0253143,0.0282935,0.027386,0.049916,0.0197344,0.0252803,0,0.0232158,0.0461528,0.0483512,0,0,0.0200614,0,0,0.0249579,0.0474334,0.0419471,0.0176555,0.0161534,0.0370798,0.0477428,0.0436814,0.0658049,0.0503217,0.0342207,0.0632166,0.0436463,0.0490335,0.0708598,0.0191849,0.0408272,0.021077,0.013509,0.0463454,0.0625215,0,0,0,0,0,0,0,0,0
30,0,0.0489797,0,0,0,0,0.0442843,0,0,0,0,0,0.0305841,0,0.0331622,0.0307697,0,0,0.00465,0,0,0.0401784,0.0454399,0.029919,0.0240566,0.0213591,0.0426031,0.0215358,0.0346638,0.0334081,0.0383999,0.0356205,0.0384226,0.0426873,0.0253947,0.0285173,0.0272472,0.0499164,0.0196538,0.0253315,0,0.0233893,0.0464316,0.0485088,0,0,0.018072,0,0,0.018767,0.0473607,0.0419055,0.0176574,0.0162745,0.0371048,0.0472844,0.0436091,0.0656428,0.0502399,0.0341064,0.0632107,0.0435681,0.0489886,0.0709382,0.0193606,0.0413756,0,0.00933937,0.0463699,0.0623444,0,0,0,0,0,0,0,0,0
31,0,0.0488895,0,0,0,0,0.0443496,0,0,0,0,0,0.0307798,0,0.0331982,0.0309525,0,0,0.00501889,0,0,0.0400584,0.0454195,0.0300884,0.0239774,0.0212754,0.0420738,0.0214593,0.0344058,0.0332576,0.0385479,0.0356825,0.0385301,0.0427354,0.0255529,0.0286791,0.0271828,0.0501892,0.0197246,0.0254583,0,0.023482,0.0468149,0.0482612,0,0,0.0205314,0,0,0.0248833,0.0473457,0.0417463,0.0178459,0.016434,0.036655,0.0474662,0.043612,0.0654141,0.0501173,0.0340962,0.0632408,0.0436137,0.0490184,0.0710091,0.019151,0.0414735,0.0204692,0.014043,0.0463931,0.0623758,0,0,0,0,0,0,0,0,0
32,0,0.0489367,0,0,0,0,0.0443927,0,0,0,0,0,0.0308785,0,0.0331873,0.0309973,0,0,0.00527701,0,0,0.0400289,0.0454873,0.0302732,0.0240985,0.0211006,0.0419822,0.0212149,0.0342714,0.0332684,0.0387423,0.0358209,0.0385927,0.0427724,0.0256588,0.0288715,0.0272083,0.0504295,0.0197851,0.0254459,0,0.0234752,0.0469836,0.0482866,0,0,0.0196361,0,0,0.0252066,0.0472123,0.0416344,0.0178088,0.0165104,0.0365049,0.0469193,0.0435826,0.0652902,0.0500541,0.0340038,0.0632626,0.0437123,0.049129,0.0710368,0.0190216,0.0415148,0.021493,0.013883,0.046546,0.0623047,0,0,0,0,0,0,0,0,0
33,0,0.048741,0,0,0,0,0.0445135,0,0,0,0,0,0.0310086,0,0.0330289,0.0309572,0,0,0.00548982,0,0,0.040102,0.0456434,0.0304444,0.0243412,0.02094,0.0420112,0.0207196,0.0342862,0.0334166,0.0389216,0.0359813,0.0387772,0.0428112,0.0257056,0.0290363,0.0272093,0.0506802,0.0198028,0.0254338,0,0.0236002,0.0471566,0.0484718,0,0,0.0178345,0,0,0.0188077,0.0470468,0.0416775,0.0177545,0.0164605,0.0363761,0.0466764,0.0436001,0.0653878,0.0500868,0.0338299,0.0632278,0.0436982,0.0491369,0.0710019,0.0190484,0.0419355,0,0.00930186,0.0466825,0.0620929,0,0,0,0,0,0,0,0,0
34,0,0.0486819,0,0,0,0,0.0445391,0,0,0,0,0,0.0311342,0,0.0331407,0.0310733,0,0,0.00578519,0,0,0.0400263,0.0454561,0.030665,0.0241819,0.0206646,0.0415065,0.0205514,0.0339027,0.0332476,0.0390628,0.036113,0.0392115,0.0430027,0.0258287,0.0291621,0.0271761,0.0509792,0.0198322,0.0254648,0,0.0236325,0.0473483,0.0483992,0,0,0.0202592,0,0,0.0250259,0.0472059,0.0415842,0.01779,0.0166453,0.0359673,0.046948,0.043547,0.0652371,0.0499837,0.0338596,0.0633159,0.0438082,0.0492218,0.0710337,0.0190901,0.0419678,0.0205476,0.014509,0.0467726,0.0621818,0,0,0,0,0,0,0,0,0
35,0,0.0486242,0,0,0,0,0.0446088,0,0,0,0,0,0.0312324,0,0.0331356,0.0310633,0,0,0.00607317,0,0,0.0399904,0.0455101,0.0307866,0.0243647,0.020634,0.0414194,0.020207,0.0337823,0.0332166,0.0391882,0.0361743,0.0393171,0.0430961,0.025889,0.0292803,0.0271827,0.0512105,0.0198837,0.0255389,0,0.0237559,0.0474849,0.0484794,0,0,0.020132,0,0,0.0251367,0.0471716,0.0415458,0.0177423,0.0166621,0.0356995,0.0467517,0.0435666,0.0652616,0.0499179,0.0338117,0.063382,0.0438128,0.0492543,0.0710743,0.0192177,0.0422417,0.0206869,0.0146129,0.0468702,0.0621615,0,0,0,0,0,0,0,0,0
36,0,0.0485515,0,0,0,0,0.0446843,0,0,0,0,0,0.0313739,0,0.0330667,0.0311169,0,0,0.00629495,0,0,0.0399859,0.0456153,0.0308669,0.0245158,0.0205618,0.0413429,0.0198906,0.0336731,0.0331832,0.0392854,0.0361739,0.0392451,0.043172,0.0259529,0.0293809,0.0271139,0.0514055,0.0199038,0.0256361,0,0.0238101,0.0476192,0.0485376,0,0,0.0199818,0,0,0.025232,0.0471734,0.0414732,0.0176998,0.0167131,0.035451,0.0465849,0.0436141,0.0652895,0.049895,0.0338424,0.0634361,0.0438634,0.0493005,0.0710852,0.0191884,0.0425362,0.020965,0.0147001,0.0469794,0.0621363,0,0,0,0,0,0,0,0,0
