Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,LWRA,IMUL_M,x78,x81,x80
120,0,0.0364094,0,0,0,0,0.0526512,0,0,0,0,0,0.0346174,0,0.0337764,0.0338763,0,0,0.0176962,0,0,0.0479761,0.0454562,0.0342353,0.026926,0.0201081,0.0364686,0.0297386,0.0315405,0.0317109,0.0418792,0.0394208,0.041688,0.0461838,0.0287496,0.0330386,0.0264728,0.0528415,0.0157378,0.0263214,0,0.0246191,0.0510034,0.0410076,0,0,0.0163961,0,0,0.0225583,0.0492432,0.0403492,0.0167968,0.0176301,0.0302845,0.0362938,0.0427266,0.0632334,0.050237,0.0338386,0.0642343,0.044707,0.0502844,0.0722549,0.0178374,0.0488446,0.0128711,0.00630848,0.0582584,0.0591244,0,0,0,0,0.0305809,0,0,0,0
121,0,0.0360778,0,0,0,0,0.0528279,0,0,0,0,0,0.034669,0,0.0338326,0.0337872,0,0,0.0179257,0,0,0.0480407,0.0454747,0.0343271,0.0265663,0.0201064,0.0364437,0.0298855,0.0314937,0.0316691,0.0419663,0.039503,0.0416614,0.0461594,0.0287923,0.0330418,0.0264459,0.0529802,0.0153573,0.0263188,0,0.0245915,0.0509756,0.0409546,0,0,0.0156308,0,0,0.0228292,0.0492865,0.0402919,0.0167779,0.0176105,0.0303179,0.0364404,0.0426658,0.063185,0.0501929,0.0337978,0.0642716,0.0447305,0.0503154,0.0723062,0.0178309,0.0489554,0.0125705,0.00636702,0.0584543,0.0591763,0,0,0,0,0.0300874,0,0,0,0
122,0,0.0357548,0,0,0,0,0.053004,0,0,0,0,0,0.0348184,0,0.0338519,0.0334996,0,0,0.0180924,0,0,0.047995,0.0454738,0.0344589,0.0260407,0.0200622,0.036458,0.0299884,0.0313367,0.0315745,0.0421778,0.0396857,0.0416197,0.0461573,0.0287694,0.0330535,0.0263351,0.0532317,0.0149073,0.0264364,0,0.0245731,0.0510316,0.0409166,0,0,0.0148027,0,0,0.0230073,0.049349,0.0402375,0.0167253,0.0175617,0.030452,0.0366639,0.0426164,0.0631608,0.0497254,0.0337739,0.0643065,0.0447638,0.0503066,0.0723696,0.0178404,0.0490766,0.0121823,0.00634599,0.0586773,0.059317,0,0,0,0,0.0293057,0,0,0,0
123,0,0.0355234,0,0,0,0,0.053093,0,0,0,0,0,0.034907,0,0.0338355,0.0335618,0,0,0.0183359,0,0,0.0481259,0.0453733,0.034496,0.0257982,0.0201351,0.0363957,0.0302059,0.0313321,0.031489,0.0422053,0.0397992,0.041636,0.0461774,0.0287527,0.0330516,0.0262943,0.0533837,0.0143482,0.0264549,0,0.0245539,0.0511168,0.0408489,0,0,0.0139568,0,0,0.0230183,0.0494077,0.0401818,0.0166798,0.0175268,0.030429,0.0369797,0.0425904,0.0630622,0.0494518,0.0337726,0.0643419,0.0448038,0.0502998,0.0724626,0.0176871,0.0491063,0.0113764,0.00655533,0.0588917,0.0594605,0,0,0,0,0.0283839,0,0,0,0
124,0,0.035373,0,0,0,0,0.0531064,0,0,0,0,0,0.0349907,0,0.0337807,0.0339609,0,0,0.0185817,0,0,0.0480769,0.0449797,0.0344892,0.0256166,0.0202476,0.036299,0.0304931,0.0314155,0.0313836,0.0421642,0.0399071,0.0417966,0.0462453,0.0287875,0.0330506,0.0262317,0.0534808,0.0136191,0.0264515,0,0.0245365,0.0511845,0.0407926,0,0,0.0131169,0,0,0.0230911,0.0494088,0.0401176,0.0166745,0.0175248,0.0303045,0.0372957,0.0425336,0.0630163,0.0493707,0.0337878,0.0644133,0.0448643,0.050369,0.072488,0.0176044,0.0490794,0.0103373,0.00731588,0.0590842,0.0595974,0,0,0,0,0.0273473,0,0,0,0
125,0,0.0351837,0,0,0,0,0.0532158,0,0,0,0,0,0.0350454,0,0.0338341,0.0340932,0,0,0.0189029,0,0,0.0479021,0.0447148,0.03445,0.025565,0.0203682,0.0360943,0.0306576,0.0314075,0.0313146,0.0421666,0.0399796,0.0419995,0.0463515,0.0288227,0.0330564,0.026141,0.053648,0.0127773,0.0261014,0,0.0244756,0.051274,0.040717,0,0,0.0122104,0,0,0.0233474,0.0494487,0.0401809,0.0166781,0.0175086,0.0301187,0.0375201,0.0425498,0.0630315,0.0494283,0.0338778,0.064368,0.0447858,0.0503628,0.0725005,0.017791,0.0490897,0.00984158,0.00786843,0.059262,0.0596269,0,0,0,0,0.0260901,0,0,0,0
126,0,0.0351717,0,0,0,0,0.0531393,0,0,0,0,0,0.0365261,0,0.0340351,0.0321855,0,0,0.0188674,0,0,0.0481716,0,0.0333711,0.0261243,0.0220457,0.0371739,0.0317524,0.0336915,0.0309675,0.042476,0.0419576,0.0423498,0.0465856,0.0291727,0.0337333,0.023941,0.0534465,0.0119361,0.0247355,0,0.0238186,0.0539265,0.0402671,0,0,0.0111231,0,0,0.0236256,0.0465079,0.04075,0.0172639,0.0160911,0.0289906,0.0368954,0.0425002,0.0645403,0.0502396,0.0322135,0.063659,0.0440813,0.0498723,0.0721937,0.0192282,0.0493511,0.0101129,0.00842187,0.0593094,0.0597044,0,0,0,0,0.0251005,0,0,0,0
127,0,0.0351281,0,0,0,0,0.0531023,0,0,0,0,0,0.0378345,0,0.0344787,0.0326179,0,0,0.0186347,0,0,0.0486742,0,0.0346353,0.0263489,0.0228035,0.0358596,0.0322846,0.035358,0.0317562,0.0448868,0.0440611,0.0413777,0.0452899,0.0282721,0.0339022,0.0227355,0.0527926,0.0112323,0.0238125,0,0.0234804,0,0.0409689,0,0,0.0112417,0,0,0.0201952,0.0426027,0.0437744,0.0231212,0.015099,0.0259774,0.0374672,0.0428774,0.0677199,0.0533854,0.0313507,0.0612879,0.042036,0.0477948,0.0698888,0.0213033,0.0493492,0.0155362,0,0.0601446,0.0588478,0,0,0,0,0.0242376,0,0,0,0
128,0,0.0351362,0,0,0,0,0.0530432,0,0,0,0,0,0.0380964,0,0.034404,0.0328517,0,0,0.0187225,0,0,0.0487445,0,0.0346142,0.0263169,0.0228379,0.035694,0.0325919,0.0355886,0.0316282,0.0450447,0.044114,0.0413995,0.0452705,0.0282555,0.0339545,0.0224777,0.052761,0.0108938,0.0235556,0,0.0234852,0,0.0410469,0,0,0.0103894,0,0,0.0202208,0.0427067,0.043817,0.0232518,0.0151225,0.0258327,0.0379382,0.0428049,0.067611,0.0535063,0.031425,0.0610594,0.041873,0.0476898,0.0697869,0.0214577,0.0494269,0.0157753,0,0.0601651,0.0591022,0,0,0,0,0.0231469,0,0,0,0
129,0,0.0351978,0,0,0,0,0.0529842,0,0,0,0,0,0.038122,0,0.0345284,0.0330872,0,0,0.0188315,0,0,0.0486874,0,0.0345677,0.0261853,0.0228959,0.0355204,0.0328958,0.035633,0.0314589,0.0450659,0.0442052,0.0415166,0.0454402,0.0283287,0.0340071,0.0224878,0.0526521,0.0109913,0.0235843,0,0.0235216,0,0.0411421,0,0,0.00961931,0,0,0.0202163,0.0428814,0.0437763,0.0231801,0.0151176,0.0256369,0.0381872,0.0427024,0.0675688,0.0535158,0.0314658,0.061016,0.0418184,0.0476743,0.069811,0.0214682,0.0495089,0.0158633,0,0.060173,0.0592941,0,0,0,0,0.0220193,0,0,0,0
