Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,LTIBI,,RTHI,RTHII,x74,x80,x78,x82
269,0.0489803,0,0,0,0,0.042438,0,0,0,0,0,0,0.0752769,0.0667774,0.101167,0,0,0.0180681,0,0,0.0407721,0.536102,0.106987,0.0739302,0.0540458,0.0850031,0.0251408,0.0816028,0.0910763,0.112567,0.0842551,0.0330383,0.0296337,0.0565181,0.0601147,0.037304,0,0.0221795,0.00639482,0,0.0160017,0.0785524,0.0460687,0,0,0.0330409,0,0,0.0163859,0.0506531,0.0385513,0.0122535,0.0126595,0.0686222,0.0432637,0.0708188,0.0346089,0.054886,0.0325078,0.0414811,0.069499,0.0341108,0.0317079,0,0.0109347,0.0425154,0.0663632,0,0,0,0.0442963,0,0.0362339,0.0597981,0,0,0,0
270,0.0473124,0,0,0,0,0.0440052,0,0,0,0,0,0,0.0685152,0.0624881,0.103818,0,0,0.0184954,0,0,0.0402882,0.531111,0.100121,0.0777802,0.0511345,0.0889348,0.0242175,0.0835942,0.0890801,0.111492,0.0841858,0.0300315,0.0278081,0.0506961,0.0627004,0.038005,0,0.0222998,0.00875964,0,0.0157846,0.0791765,0.0459321,0,0,0.0316641,0,0,0.0157294,0.0529238,0.0421857,0.0130224,0.0108829,0.071789,0.04246,0.0690829,0.0335058,0.0534924,0.0317102,0.0397827,0.0667991,0.0331328,0.0335636,0,0.00974963,0.0431894,0.0667203,0,0,0,0.0396529,0,0.0319951,0.0586413,0,0,0,0
271,0.0469666,0,0,0,0,0.0442612,0,0,0,0,0,0,0.0643066,0.0608446,0.106488,0,0,0.0188597,0,0,0.0404819,0.52646,0.0978365,0.0802697,0.05067,0.0899996,0.0249277,0.084467,0.0892797,0.111848,0.0846999,0.0296564,0.0280164,0.0479839,0.0684965,0.0378342,0,0.0222371,0.00955854,0,0.016057,0.079624,0.0456603,0,0,0.0316674,0,0,0.0157515,0.0542624,0.0432502,0.0115761,0.0115761,0.072486,0.0427732,0.0685963,0.0341811,0.0521391,0.0307842,0.0387104,0.0652894,0.0319901,0.0336496,0,0.0096832,0.0433531,0.0669969,0,0,0,0.0378825,0,0.0308711,0.0585842,0,0,0,0
272,0.0472297,0,0,0,0,0.0439418,0,0,0,0,0,0,0.0599731,0.0604333,0.109176,0,0,0.0191652,0,0,0.0408123,0.521987,0.098469,0.0822809,0.0508005,0.0901354,0.0263402,0.0852651,0.0901933,0.112645,0.0855227,0.0300051,0.0287211,0.0462996,0.0753603,0.0372204,0,0.0223295,0.00979936,0,0.0165128,0.0800508,0.0453544,0,0,0.0322149,0,0,0.0158017,0.055354,0.0436322,0.00933713,0.0127628,0.0725037,0.0434812,0.0682833,0.0352357,0.0510773,0.029852,0.0379131,0.0644644,0.0309415,0.0329767,0,0.0100908,0.0432492,0.0674794,0,0,0,0.0370034,0,0.0306647,0.0587181,0,0,0,0
273,0.0470536,0,0,0,0,0.0440554,0,0,0,0,0,0,0.0556121,0.0600595,0.111875,0,0,0.0195518,0,0,0.0409873,0.517431,0.0986024,0.0849333,0.0502365,0.091087,0.0271984,0.086328,0.0902544,0.112904,0.0861397,0.0295653,0.0287012,0.0434374,0.0808452,0.0369268,0,0.0221627,0.0107937,0,0.016933,0.0804772,0.0451232,0,0,0.0322089,0,0,0.0157059,0.0566363,0.0448657,0.00774023,0.0136609,0.0733235,0.0437634,0.067906,0.0361298,0.0500496,0.0290637,0.0369784,0.0633375,0.0298596,0.0329558,0,0.00999405,0.0433737,0.0678839,0,0,0,0.0350059,0,0.0298815,0.0592079,0,0,0,0
274,0.0468815,0,0,0,0,0.0441102,0,0,0,0,0,0,0.0524236,0.059794,0.114624,0,0,0.0199516,0,0,0.0411803,0.512697,0.098394,0.087758,0.0498242,0.0920621,0.0279934,0.0874875,0.0902817,0.113276,0.086893,0.0290468,0.0283336,0.0405236,0.0847617,0.0367357,0,0.022005,0.0117248,0,0.0174379,0.0809688,0.0448686,0,0,0.0321864,0,0,0.0156519,0.0580073,0.0461258,0.00599802,0.0147519,0.0741582,0.0440702,0.0674238,0.0370959,0.0489956,0.0284319,0.0361377,0.0618876,0.0287811,0.0329696,0,0.00998167,0.0434505,0.0682664,0,0,0,0.0329102,0,0.0291186,0.0597399,0,0,0,0
275,0.0472894,0,0,0,0,0.0434952,0,0,0,0,0,0,0.0512293,0.0601008,0.117337,0,0,0.0187947,0,0,0.0420758,0.507649,0.099202,0.090436,0.0502005,0.0922872,0.0290298,0.0888641,0.0909685,0.114382,0.0882096,0.0286124,0.0280761,0.0387159,0.0878869,0.0365089,0,0.0216412,0.0123865,0,0.01794,0.0814222,0.0446471,0,0,0.032652,0,0,0.0159827,0.0591417,0.0467269,0.00358368,0.0163339,0.0744859,0.0448941,0.06691,0.0383996,0.0478824,0.0276925,0.0354109,0.0606937,0.02764,0.0321409,0,0.0105144,0.0431752,0.0687552,0,0,0,0.0318305,0,0.0290839,0.0604222,0,0,0,0
276,0.0466254,0,0,0,0,0.0448675,0,0,0,0,0,0,0.0503497,0.0591448,0.119306,0,0,0.0104415,0,0,0.043813,0.503911,0.0975292,0.0929131,0.0499023,0.0925262,0.0279669,0.0900274,0.0911011,0.11452,0.088565,0.0278869,0.0276521,0.0355613,0.0875784,0.0418527,0,0.0213971,0.021557,0,0.0187288,0.084392,0.0427329,0,0,0.0326912,0,0,0.0160035,0.0543924,0.0520781,0.00505515,0.0180649,0.0735545,0.0449251,0,0.0404478,0.0442392,0.0234239,0.0318268,0.0558801,0.0196976,0.0317263,0,0.0103606,0.044659,0.0677007,0,0,0,0.0296,0,0.0325401,0.0645525,0,0,0,0
277,0.0462647,0,0,0,0,0.0449555,0,0,0,0,0,0,0.049676,0.0585644,0.121898,0,0,0.0106667,0,0,0.04384,0.499309,0.0961092,0.095635,0.0494847,0.0934379,0.0284694,0.0915504,0.0908885,0.1147,0.0891293,0.0268771,0.0269724,0.0328348,0.0884007,0.0417575,0,0.0211973,0.0227733,0,0.019535,0.0849091,0.0426498,0,0,0.0324859,0,0,0.0160742,0.0559091,0.0532696,0.00427132,0.0190036,0.0745147,0.0451557,0,0.0414822,0.0430763,0.0227092,0.030819,0.0546073,0.0192051,0.0318509,0,0.0102354,0.0446839,0.067935,0,0,0,0.0274086,0,0.0317164,0.0649814,0,0,0,0
278,0.0466461,0,0,0,0,0.0443275,0,0,0,0,0,0,0.0489217,0.0589972,0.124765,0,0,0.0111036,0,0,0.0444987,0.492979,0.096852,0.0993562,0.0495051,0.0949237,0.0285035,0.0935095,0.0908405,0.11543,0.0904974,0.0258461,0.0260798,0.0311432,0.0917049,0.0416929,0,0.0196234,0.0165629,0,0.0202697,0.082557,0.042477,0,0,0.0329064,0,0,0.0173557,0.0630489,0.0510119,0.00557255,0.0202519,0.0773521,0.0463868,0.0645581,0.0425287,0.043651,0.0248968,0.0317118,0.0558979,0.0244727,0.030994,0,0.00965477,0.0440359,0.0689044,0,0,0,0.0259314,0,0.028244,0.0627039,0,0,0,0
