Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,RTHIA,RTHII
9,0.0468121,0,0,0,0,0.0508212,0,0,0,0,0,0,0.0355468,0,0.0320758,0.0385284,0,0,0.015282,0,0,0.0485774,0.0407709,0.0357175,0.024077,0.0160771,0.0349994,0.0404165,0.028952,0.0342281,0.0425376,0.0359182,0.0361955,0.0407238,0.0239723,0.0298543,0.025927,0.0593572,0.0160507,0.0163965,0.0296565,0,0.0275773,0.0465496,0.0383986,0,0,0.00787764,0,0,0.0230513,0.0553515,0.0406297,0.0199674,0.02274,0.0367049,0.0519593,0.0453949,0.0387511,0.0558089,0.0371116,0.0435316,0.0669881,0.0131775,0.0471723,0.0219719,0.0204528,0.0600258,0.0660904,0,0,0,0.057804,0
10,0.0470194,0,0,0,0,0.0507009,0,0,0,0,0,0,0.0354496,0,0.0321465,0.0382208,0,0,0.01519,0,0,0.0485062,0.040585,0.0355,0.0239558,0.01639,0.0353033,0.0405774,0.0294388,0.0344953,0.0424492,0.0360329,0.0359991,0.0406385,0.0239628,0.0297334,0.0258743,0.0592892,0.015506,0.0166777,0.0295513,0,0.0276627,0.0466405,0.0385274,0,0,0.00785862,0,0,0.0229665,0.0554874,0.0407301,0.019939,0.0228109,0.036802,0.0521003,0.0455292,0.038697,0.0559247,0.0370711,0.0435741,0.066914,0.0133028,0.0470347,0.0219095,0.0202753,0.0598654,0.0661249,0,0,0,0.0582709,0
11,0.0472552,0,0,0,0,0.0505338,0,0,0,0,0,0,0.0354231,0,0.0321151,0.0380081,0,0,0.0151415,0,0,0.0483597,0.0407247,0.0354023,0.0237047,0.0164848,0.0357054,0.0406257,0.0291745,0.0345135,0.0422535,0.0360711,0.0358187,0.04051,0.0238755,0.0295445,0.0258269,0.0590457,0.0149899,0.0170922,0.0295639,0,0.0277766,0.0467218,0.0386236,0,0,0.00785062,0,0,0.0229111,0.055573,0.0409079,0.0197553,0.022944,0.0369526,0.0521906,0.0455132,0.0385849,0.0560004,0.037115,0.0436112,0.0668911,0.0134009,0.0468995,0.0218997,0.0200929,0.0595478,0.0662149,0,0,0,0.0590535,0
12,0.046969,0,0,0,0,0.0508974,0,0,0,0,0,0,0.0345332,0,0.0318054,0.0385256,0,0,0.0154257,0,0,0.0480016,0.0396445,0.0357615,0.023887,0.0162633,0.0344767,0.0394789,0.0289961,0.0351325,0.0413655,0.0345294,0.0355471,0.0403357,0.0235287,0.0287537,0.0272316,0.0594413,0.0150132,0.0176148,0.0302851,0,0.0275562,0.0456869,0.0389118,0,0,0.00747661,0,0,0.02307,0.0554028,0.040001,0.021474,0.024913,0.0364989,0.0526412,0,0.0409561,0.0552278,0.0363648,0.0430922,0.0665015,0.0115598,0.0469675,0.0218626,0.0198663,0.0598652,0.0654119,0,0,0,0.0615279,0
13,0.0474086,0,0,0,0,0.0507846,0,0,0,0,0,0,0.0341563,0,0.0324725,0.0360342,0,0,0.0163079,0,0,0.0472204,0.0422754,0.0353019,0.0230638,0.01772,0.033506,0.0381513,0.031121,0.0350328,0.0408484,0.0351037,0.0359009,0.0404106,0.0237375,0.0287488,0.0274633,0.0603495,0.0156847,0.0186962,0.0358783,0,0.0278438,0.0490737,0.0387437,0,0,0.00781291,0,0,0.0226363,0.0504542,0.0398068,0.0255453,0.0255238,0.0348758,0.0523887,0,0.0432816,0.053163,0.0337197,0.0412715,0.0642756,0.0107911,0.0472901,0.0222658,0.0204925,0.0599867,0.0639859,0,0,0,0,0
14,0.0480594,0,0,0,0,0.0502588,0,0,0,0,0,0,0.0345399,0,0.0325362,0.0357648,0,0,0.0163161,0,0,0.0471525,0.0428707,0.034326,0.0242023,0.018,0.0332215,0.0381593,0.0321295,0.0354022,0.0402015,0.0346688,0.03613,0.040284,0.0237368,0.0287653,0.0264809,0.0601986,0.0152289,0.0191012,0.0353639,0,0.0281754,0.0493562,0.0389476,0,0,0.00781905,0,0,0.0230413,0.0500965,0.0404286,0.0258556,0.025275,0.034207,0.0525713,0,0.0428869,0.0532477,0.0339919,0.0413349,0.064287,0.00984712,0.0475244,0.0222214,0.0203002,0.059587,0.0638064,0,0,0,0,0
15,0.0479482,0,0,0,0,0.050388,0,0,0,0,0,0,0.0356486,0,0.0324746,0.0356639,0,0,0.0154827,0,0,0.0476436,0.0438279,0.0345583,0.0243256,0.0186058,0.0349311,0.0389445,0.0320108,0.0349237,0.0408564,0.035639,0.0360389,0.0399763,0.0233667,0.0287145,0.0253809,0.0596599,0.0144367,0.0190735,0.0351291,0,0.0294195,0.0499393,0.0386149,0,0,0.00749881,0,0,0.0232422,0.0505516,0.041716,0.023301,0.023499,0.034854,0.0522004,0.0496733,0.0402003,0.0535286,0.03439,0.0412636,0.0644719,0.010919,0.0472896,0.0224293,0.0202782,0.0594785,0.0645902,0,0,0,0,0
16,0.0484033,0,0,0,0,0.050422,0,0,0,0,0,0,0.0369604,0,0.0332867,0.0356276,0,0,0.0154093,0,0,0.0474275,0.0467888,0.0355717,0.0231928,0.0192542,0.0327523,0.0391121,0.0327249,0.0351009,0.0429543,0.0378666,0.0348461,0.0386751,0.0225369,0.028948,0.0237746,0.0587245,0.0138782,0.0196273,0.0348709,0,0.0297245,0,0.039148,0,0,0.00679277,0,0,0.022537,0.0475813,0.0459703,0.02852,0.0238455,0.0324446,0.0539391,0.0493768,0.0403274,0.0506617,0.0322917,0.0387044,0.0612403,0.0119189,0.046603,0.021364,0.0193112,0.06069,0.0639365,0,0,0,0,0
17,0.0486825,0,0,0,0,0.0503132,0,0,0,0,0,0,0.0361165,0,0.0333187,0.0353598,0,0,0.016194,0,0,0.0468348,0.0465341,0.0352227,0.0227004,0.0191469,0.0303504,0.03804,0.0334592,0.0356097,0.0421635,0.0368664,0.0345968,0.0385352,0.0225607,0.0285886,0.0246682,0.0590758,0.0139481,0.020264,0.0357035,0,0.0294316,0,0.0396287,0,0,0.00669179,0,0,0.0224289,0.0462767,0.0461366,0.0324752,0.0250595,0.0313273,0.0546974,0,0.0425822,0.0501511,0.0316262,0.0383216,0.0605475,0.00981746,0.0466123,0.0210435,0.0188577,0.0612861,0.0627373,0,0,0,0,0
18,0.0485657,0,0,0,0,0.0502533,0,0,0,0,0,0,0.0369574,0,0.0332229,0.0353825,0,0,0.0154469,0,0,0.0472315,0.04684,0.0351973,0.0220158,0.01897,0.0327538,0.0389358,0.0333169,0.0349931,0.0427874,0.0379553,0.0346318,0.0384057,0.0223952,0.0287517,0.0236793,0.0586656,0.0131584,0.0204029,0.0347887,0,0.0302366,0,0.0393544,0,0,0.00665955,0,0,0.0224464,0.0474863,0.0466959,0.0287228,0.0236717,0.0322444,0.0542439,0.0490929,0.0400085,0.0510233,0.0321841,0.0388182,0.0613025,0.0111669,0.0463558,0.0211626,0.0189494,0.0606744,0.0638048,0,0,0,0,0
