Timestep,C7,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,CBL,IMUL_M,R5HD
35,0.0575275,0,0,0,0.0377586,0,0,0,0,0,0.0268419,0,0.0271429,0.0317432,0,0,0.0224662,0,0,0.0537155,0.0408577,0.0307083,0.0259202,0.0123458,0.0459249,0.036429,0,0.0411877,0.0400765,0.0280473,0.0304342,0.0371214,0.0159063,0.0206751,0.0273642,0.0383249,0.0262242,0.0108807,0.0214059,0.0240546,0.040695,0.0450445,0,0,0.0502409,0,0,0.0255834,0.0489204,0.0483313,0.0198971,0.0161151,0.0432221,0.0537726,0.0419401,0.0690623,0.0583781,0.0358462,0.0569456,0.037873,0.0432441,0.066941,0.0279789,0.031905,0.0352695,0.0203746,0.0457832,0.064361,0,0,0,0,0,0,0
36,0.0574021,0,0,0,0.0379202,0,0,0,0,0,0.0266727,0,0.0271487,0.0320545,0,0,0.022348,0,0,0.05369,0.0406796,0.0308698,0.0263886,0.0125361,0.0458566,0.0363007,0,0.0410597,0.0399427,0.0279883,0.0306186,0.0372861,0.015927,0.020785,0.0277517,0.0383536,0.026311,0.010881,0.0196955,0.0235349,0.0407661,0.045051,0,0,0.050145,0,0,0.0254508,0.0488082,0.0478638,0.0199657,0.0160785,0.0430883,0.0538024,0.0415279,0.0691298,0.0583361,0.0356913,0.0564582,0.0370614,0.0426812,0.0663353,0.0296011,0.0317452,0.0351629,0.0203865,0.0456522,0.0644646,0,0,0,0,0,0,0
37,0.0572555,0,0,0,0.0380478,0,0,0,0,0,0.0266443,0,0.0271549,0.0324022,0,0,0.0222503,0,0,0.0537257,0.0403572,0.0310819,0.0266854,0.0126604,0.0458626,0.0361923,0,0.041041,0.0398273,0.0278592,0.0308291,0.037338,0.0162802,0.0207832,0.027983,0.0383939,0.0263342,0.010799,0.0194086,0.0225548,0.0407966,0.045028,0,0,0.0500264,0,0,0.0253791,0.0488605,0.0488067,0.0199353,0.0153941,0.0431405,0.0538458,0.0415008,0.0694474,0.0585863,0.0357546,0.0568747,0.0370794,0.0429264,0.0669568,0.0307646,0.0318902,0.0350963,0.0204086,0.0454249,0.0646692,0,0,0,0,0,0,0
38,0.0570809,0,0,0,0.0381077,0,0,0,0,0,0.026904,0,0.0271397,0.0327998,0,0,0.0221215,0,0,0.0538599,0.0400669,0.0313838,0.0268157,0.0127128,0.0457903,0.0359831,0,0.0410829,0.0397973,0.0276764,0.0310006,0.0372523,0.0167403,0.0207486,0.0278655,0.0383945,0.0263128,0.0105789,0.0201722,0.0219541,0.0410841,0.0450321,0,0,0.0499507,0,0,0.025423,0.0489364,0.0493066,0.020054,0.0144843,0.0433176,0.0538494,0.0421164,0.0702037,0.0591075,0.0360305,0.058065,0.0381262,0.0442692,0.0683367,0.0319692,0.0321145,0.0349395,0.0205207,0.0453905,0.0647889,0,0,0,0,0,0,0
39,0.0567537,0,0,0,0.0381909,0,0,0,0,0,0.0273808,0,0.0270702,0.0331569,0,0,0.0220316,0,0,0.0539839,0.03988,0.0317762,0.0268903,0.0127672,0.045728,0.0356732,0,0.0409847,0.0397635,0.0275449,0.0307201,0.0371229,0.016675,0.0208076,0.0274324,0.0383963,0.026353,0.0105089,0.0203585,0.0221885,0.0414124,0.0450726,0,0,0.0499116,0,0,0.0254788,0.0488871,0.0491355,0.0202105,0.0139407,0.0435408,0.0538487,0.0431362,0.071082,0.0595829,0.0362043,0.0590795,0.0395803,0.0453232,0.0690765,0.0328876,0.0320761,0.0347258,0.0207059,0.0456191,0.0648453,0,0,0,0,0,0,0
40,0.0563791,0,0,0,0.0382981,0,0,0,0,0,0.0277919,0,0.0269587,0.0333521,0,0,0.0219671,0,0,0.0540675,0.039823,0.0320665,0.0269543,0.012777,0.0457162,0.0351959,0,0.0408384,0.0398593,0.027484,0.0305374,0.0370286,0.016413,0.0209307,0.0268504,0.0383782,0.0264391,0.0104161,0.0201373,0.0227251,0.0416647,0.0451099,0,0,0.0499655,0,0,0.025571,0.0486116,0.0488035,0.0202844,0.0138592,0.0437045,0.0538025,0.0441773,0.0713979,0.0595948,0.0361089,0.0593257,0.040312,0.0453391,0.0688948,0.0331715,0.0318711,0.0346108,0.0209022,0.0458005,0.064846,0,0,0,0,0,0,0
41,0.0560335,0,0,0,0.0383946,0,0,0,0,0,0.0275169,0,0.0269644,0,0,0,0.0219735,0,0,0.0541249,0.0379773,0.0342568,0.0285096,0.0121183,0.045043,0.0347304,0,0.0418776,0.0415593,0.0260704,0.0291265,0.0352787,0.0153756,0.0205718,0.0273627,0.0384001,0.0264673,0.0102144,0.0205975,0.0234633,0.0422303,0.0451704,0,0,0.0500524,0,0,0.0258275,0.0504145,0.048627,0.0196634,0.0148112,0.0433287,0.054184,0.0444251,0.0707714,0.0589446,0.0370045,0.0584373,0.0395852,0.0444644,0.0677653,0.03063,0.0317707,0.0345649,0.0211048,0.0461585,0.0646713,0,0,0,0,0,0,0
42,0.0557619,0,0,0,0.0384964,0,0,0,0,0,0.0282255,0,0.0269932,0.033366,0,0,0.0219538,0,0,0.0541426,0.039994,0.0321758,0.0271552,0.0127302,0.0455086,0.0341186,0,0.0406337,0.040097,0.027553,0.0305796,0.0368603,0.0170068,0.0211296,0.0259821,0.0385263,0.02642,0.00989227,0.0197241,0.0228597,0.0419698,0.0451819,0,0,0.0502829,0,0,0.0260431,0.0476919,0.0484194,0.0201995,0.0146408,0.0433643,0.0536611,0.0444614,0.0712289,0.0580987,0.0350008,0.0585584,0.0395908,0.0447046,0.0680453,0.0321389,0.032069,0.034501,0.0213203,0.0461543,0.0646353,0,0,0,0,0,0,0
43,0.0553331,0,0,0,0.0386839,0,0,0,0,0,0.0276792,0,0.0275064,0,0,0,0.0217605,0,0,0.0542075,0.0372183,0.035101,0.0277753,0.0105838,0.0447329,0.0334412,0.0288533,0.0408012,0.0428027,0.0268647,0.0285575,0.0346944,0.0150948,0.0204463,0.0287327,0.0384041,0.026545,0.00965847,0.0212992,0.0237936,0.0424681,0.0453824,0,0,0.050494,0,0,0.0264373,0.0503326,0.0481414,0.0194528,0.0158292,0.0431382,0.0544859,0.0433558,0.069751,0.0576596,0.0360525,0.0577323,0.0383916,0.0440416,0.0670501,0.0279173,0.0319582,0.0344363,0.0215417,0.0462892,0.0647302,0,0,0,0,0,0,0
44,0.0552224,0,0,0,0.0389052,0,0,0,0,0,0.029541,0,0.0267944,0.0327432,0,0,0.0215841,0,0,0.0541607,0.0403492,0.0319572,0.0274521,0.0128194,0.0455049,0.0330438,0,0.0405571,0.040048,0.0275304,0.0308736,0.0370175,0.0166923,0.0214776,0.0256396,0.0384996,0.0268282,0.00983673,0.0199845,0.023143,0.0421511,0.0451699,0,0,0.0506637,0,0,0.0265725,0.0471974,0.048177,0.019977,0.0152836,0.0425062,0.0534813,0.0433361,0.0700758,0.0574199,0.0340446,0.058051,0.0385048,0.0443348,0.0674566,0.0301955,0.0325283,0.0344469,0.0217529,0.0462899,0.0643103,0,0,0,0,0,0,0
45,0.0547862,0,0,0,0.0391775,0,0,0,0,0,0.0292008,0,0.0273582,0,0,0,0.0215523,0,0,0.05413,0.0375934,0.0349632,0.0280976,0.0107556,0.0446626,0.0325808,0.0286955,0.0407027,0.0426634,0.0267559,0.028838,0.0349128,0.0147733,0.0208159,0.0277724,0.0385397,0.0273133,0.0106344,0.0216643,0.0241793,0.0426961,0.0451823,0,0,0.0507578,0,0,0.0270863,0.0503246,0.0480489,0.0191032,0.0162523,0.0420373,0.0542112,0.0428551,0.068644,0.0572837,0.0358434,0.0574605,0.0378289,0.0435559,0.0663423,0.0261674,0.0325125,0.0344008,0.022074,0.0466458,0.0644897,0,0,0,0,0,0,0
46,0.0545053,0,0,0,0.0394787,0,0,0,0,0,0.0304878,0,0.0273735,0.0336746,0,0,0.0214116,0,0,0.0541858,0.0394155,0.0329056,0.0267484,0.0117019,0.0451594,0.0323598,0.0298038,0.039334,0.0411557,0.0281158,0.0304233,0.0366514,0.0163618,0.021527,0.0258535,0.0387119,0.0275381,0.010885,0.0210664,0.0238039,0.042597,0.0449365,0,0,0.0509185,0,0,0.0271261,0.0484053,0.0479053,0.0195988,0.0157631,0.0418392,0.05346,0.0433368,0.0689526,0.0570262,0.0348782,0.0579748,0.0383794,0.0439136,0.0668073,0.0271826,0.0330865,0.0342786,0.0223139,0.0466729,0.0644806,0,0,0,0,0,0,0
47,0.0542109,0,0,0,0.039699,0,0,0,0,0,0.0305246,0,0.0273577,0,0,0,0.021217,0,0,0.0543069,0.0379509,0.0349205,0.0283572,0.0112072,0.0444627,0.0324137,0.0286304,0.0403714,0.0426073,0.0268824,0.0290626,0.0349818,0.0155409,0.0213293,0.0259928,0.0387191,0.0278236,0.0111107,0.0228349,0.0247009,0.0430987,0.0447655,0,0,0.050989,0,0,0.027044,0.0505911,0.0479068,0.01885,0.0165747,0.0411825,0.0534906,0.0435986,0.0681404,0.0571272,0.0366295,0.0575631,0.0379813,0.0434677,0.0661913,0.0243097,0.0333715,0.0341704,0.0224424,0.0470213,0.06427,0,0,0,0,0,0,0
48,0.0538937,0,0,0,0.0399904,0,0,0,0,0,0.0315747,0,0.0274802,0.0337093,0,0,0.0211751,0,0,0.0543109,0.0398002,0.0329142,0.0269204,0.0121797,0.044873,0.0322931,0.0298333,0.0392182,0.0411864,0.0281805,0.0307899,0.0366677,0.0176822,0.0220467,0.0236927,0.0389114,0.0281772,0.0116201,0.0221755,0.0244128,0.0430208,0.0445108,0,0,0.0511558,0,0,0.0270238,0.0484679,0.0477163,0.019495,0.0161338,0.0412487,0.0526191,0.0440703,0.0686357,0.0567919,0.0357452,0.0580429,0.0385882,0.0440134,0.0668234,0.0254425,0.0340735,0.0339793,0.0226289,0.0470392,0.0641519,0,0,0,0,0,0,0
49,0.053595,0,0,0,0.040287,0,0,0,0,0,0.0315999,0,0.0275483,0,0,0,0.0210156,0,0,0.0543624,0.0383763,0.0350185,0.0284264,0.0117153,0.0440948,0.0325043,0.0287643,0.0407859,0.0426391,0.0269672,0.02947,0.034992,0.0168495,0.0218245,0.023939,0.0389071,0.0284739,0.0119072,0.023811,0.0253545,0.0435911,0.0443938,0,0,0.0511085,0,0,0.0271887,0.0504602,0.0477138,0.0188471,0.0171388,0.0406952,0.0526137,0.0442661,0.0679522,0.0568164,0.0374627,0.0576195,0.0381554,0.0436273,0.0662926,0.0229225,0.034273,0.0338213,0.0227928,0.0473442,0.0639656,0,0,0,0,0,0,0
50,0.0532277,0,0,0,0.0406172,0,0,0,0,0,0.0328583,0,0.0276625,0.033591,0,0,0.0208508,0,0,0.0542868,0.0402706,0.0330045,0.0268891,0.012631,0.0445707,0.0325076,0.0300693,0.0395897,0.0412283,0.028426,0.0311705,0.0367794,0.018382,0.0225211,0.02222,0.0390275,0.0285374,0.0118051,0.0231444,0.0250579,0.0436246,0.0442839,0,0,0.0511045,0,0,0.027308,0.0481866,0.0475043,0.0196236,0.0167248,0.040875,0.0517466,0.0445677,0.0683645,0.056438,0.0364041,0.0581435,0.0389404,0.0441182,0.0668642,0.024062,0.0347405,0.0335876,0.0230141,0.0473192,0.0638642,0,0,0,0,0,0,0
51,0.0528125,0,0,0,0.0408732,0,0,0,0,0,0.0334488,0,0.0277161,0.0335361,0,0,0.0206894,0,0,0.0542597,0.0405115,0.0330531,0.0268706,0.0126464,0.0445736,0.0325702,0.0302741,0.039264,0.0412368,0.0286033,0.031315,0.0368863,0.0185992,0.0227693,0.0215428,0.0389948,0.0286289,0.0115641,0.023573,0.0253151,0.0437795,0.0443,0,0,0.0511566,0,0,0.0274829,0.0480738,0.0474053,0.0198046,0.0170293,0.040795,0.0512591,0.0446921,0.068228,0.056235,0.0366253,0.0582307,0.0391618,0.0441432,0.0669158,0.0235209,0.0349376,0.0334841,0.0232421,0.0472818,0.063619,0,0,0,0,0,0,0
52,0.0523609,0,0,0,0.0411864,0,0,0,0,0,0.0338791,0,0.0277155,0.0336425,0,0,0.0206008,0,0,0.0542914,0.0406916,0.033065,0.0269236,0.0126915,0.0445671,0.032709,0.0304519,0.0391201,0.0413134,0.0287578,0.0314371,0.0369314,0.0188043,0.0229457,0.0210562,0.039001,0.0285642,0.0111343,0.0239895,0.025596,0.0439031,0.0443564,0,0,0.0511717,0,0,0.0277608,0.0480992,0.0473035,0.0199878,0.0173331,0.0406999,0.050901,0.0448184,0.0680517,0.0560385,0.036673,0.0582874,0.0392784,0.0441963,0.066978,0.0229358,0.0351206,0.0333684,0.0235619,0.0472078,0.0632844,0,0,0,0,0,0,0
53,0.0519741,0,0,0,0.0415079,0,0,0,0,0,0.0343971,0,0.027747,0.0337407,0,0,0.0205865,0,0,0.0543098,0.0409265,0.0330307,0.0269719,0.0128992,0.0446101,0.0328434,0.0305685,0.0392754,0.041413,0.0290102,0.0315421,0.0370037,0.0189738,0.0230971,0.0206542,0.0390114,0.0286255,0.0110001,0.0243972,0.0258697,0.0441048,0.0443731,0,0,0.0512824,0,0,0.0280307,0.0480874,0.047207,0.020098,0.0176089,0.0405535,0.0505398,0.0450501,0.0678753,0.0559248,0.0365264,0.0583405,0.0393853,0.0443004,0.0670328,0.02233,0.0352547,0.0332464,0.0238253,0.0474177,0.0629006,0,0,0,0,0,0,0
54,0.0515392,0,0,0,0.0418793,0,0,0,0,0,0.0340053,0,0.0278578,0,0,0,0.0206113,0,0,0.0543782,0.0395064,0.0351701,0.0285844,0.0124471,0.043965,0.0332305,0.0296092,0.0408095,0.0428722,0.0277162,0.0300408,0.0353239,0.0177723,0.022814,0.0216821,0.0388642,0.0287374,0.0109626,0.0259935,0.0268808,0.0446837,0.0443827,0,0,0.051495,0,0,0.0283499,0.0501386,0.0472543,0.0195008,0.018703,0.0399222,0.0506884,0.0451957,0.0670571,0.0561323,0.0377434,0.0579283,0.0389735,0.0438763,0.0664182,0.0202749,0.035194,0.0331684,0.0240418,0.0480607,0.0624057,0,0,0,0,0,0,0
55,0.0511622,0,0,0,0.0422669,0,0,0,0,0,0.0348792,0,0.0280135,0.0339313,0,0,0.0205534,0,0,0.0543895,0.0413001,0.0329642,0.0270865,0.0131489,0.0447398,0.0331638,0.0307355,0.0395305,0.0415044,0.0289946,0.0317566,0.0372003,0.0193037,0.0235703,0.0202149,0.0389512,0.0287843,0.010827,0.0250277,0.0266122,0.0445255,0.0443176,0,0,0.0515649,0,0,0.0284856,0.0479443,0.0469725,0.020333,0.0181842,0.0402844,0.0498679,0.045319,0.0675904,0.0557721,0.0364422,0.0585269,0.0395461,0.0444028,0.067004,0.0215131,0.0355138,0.0331374,0.0242084,0.0482125,0.0621372,0,0,0,0,0,0,0
56,0.0508064,0,0,0,0.0426111,0,0,0,0,0,0.0352892,0,0.0279761,0.0340186,0,0,0.0204545,0,0,0.0543541,0.0414144,0.0328876,0.0271689,0.0131118,0.0447982,0.0332031,0.0307697,0.039282,0.0416357,0.0290528,0.0318737,0.037267,0.0195246,0.0237731,0.0198639,0.0389637,0.0289152,0.0108487,0.0254483,0.0269996,0.0446149,0.0441904,0,0,0.0514987,0,0,0.0285927,0.0478347,0.046834,0.0204406,0.018482,0.0401469,0.0495078,0.0452998,0.0675816,0.0555679,0.0366446,0.0586849,0.0396776,0.0444551,0.0670416,0.0211825,0.0356201,0.0330716,0.0243267,0.0485291,0.0618602,0,0,0,0,0,0,0
57,0.0505168,0,0,0,0.0428905,0,0,0,0,0,0.0357042,0,0.0279494,0.0341337,0,0,0.0204144,0,0,0.054266,0.0415922,0.0328299,0.0272985,0.0133122,0.0448064,0.0331988,0.0308203,0.0391332,0.0417768,0.0292344,0.0320351,0.0373175,0.0197769,0.0239538,0.0193418,0.0389448,0.0294193,0.0113392,0.0258455,0.0272913,0.0447893,0.0440495,0,0,0.0514649,0,0,0.0287691,0.0476978,0.0467649,0.0205635,0.0187888,0.0399593,0.0491347,0.0454203,0.0675538,0.0554855,0.0368145,0.0588134,0.0398004,0.0445311,0.0670479,0.0208631,0.0357264,0.0329542,0.0242947,0.0488597,0.0615973,0,0,0,0,0,0,0
58,0.0502619,0,0,0,0.0431313,0,0,0,0,0,0.0362179,0,0.0279222,0.0342181,0,0,0.0202665,0,0,0.0542957,0.0418122,0.0327159,0.0274944,0.0135035,0.0448423,0.0332007,0.030706,0.039047,0.0418632,0.0295008,0.032157,0.0374603,0.0199639,0.024121,0.0187512,0.0389144,0.0299402,0.0116503,0.0260998,0.0275423,0.0450607,0.0439941,0,0,0.0514822,0,0,0.0287557,0.0476538,0.0466666,0.0206346,0.019121,0.0398265,0.0487022,0.0455614,0.0674996,0.0556288,0.0371079,0.0589399,0.0399488,0.0446567,0.0670426,0.0204798,0.0359408,0.0328649,0.0242529,0.0491632,0.0613779,0,0,0,0,0,0,0
59,0.0500222,0,0,0,0.0433478,0,0,0,0,0,0.0367134,0,0.0279529,0.0342507,0,0,0.0202205,0,0,0.0545012,0.0420548,0.0325316,0.0276442,0.0135717,0.0447638,0.0330924,0.0307308,0.0389446,0.0419544,0.0295971,0.032216,0.0375549,0.0201227,0.024331,0.0181348,0.0390144,0.0300573,0.0114213,0.0263616,0.027801,0.045356,0.0440356,0,0,0.0513908,0,0,0.0288316,0.0476654,0.0465267,0.0206385,0.0194558,0.0396943,0.0482382,0.0456573,0.0673271,0.0558692,0.0374444,0.0591318,0.0401219,0.0448204,0.0671132,0.0200249,0.0361999,0.032753,0.0243013,0.0494475,0.0611726,0,0,0,0,0,0,0
60,0.0499805,0,0,0,0.0435694,0,0,0,0,0,0.0381402,0,0.0274311,0.0331748,0,0,0.0202766,0,0,0.054682,0.0435909,0.0314572,0.0286835,0.0155005,0.0450002,0.0330413,0,0.0395611,0.0409776,0.029328,0.0328725,0.0379222,0.0206526,0.0249447,0.015884,0.0392816,0.0302022,0.0112303,0.0259055,0.0277694,0.0457046,0.0440264,0,0,0.051237,0,0,0.0288472,0.0467078,0.0465675,0.0207648,0.0194075,0.0391722,0.0472993,0.0457436,0.0676257,0.0558004,0.037218,0.0592905,0.0403296,0.0449805,0.0672642,0.0205836,0.0367553,0.0326232,0.024388,0.0497924,0.0606173,0,0,0,0,0,0,0
61,0.0495522,0,0,0,0.0438781,0,0,0,0,0,0.0373157,0,0.0280723,0,0,0,0.0204403,0,0,0.0548204,0.0407575,0.0347742,0.0294954,0.0132118,0.0437738,0.0328819,0.0302651,0.0401712,0.0437541,0.0282397,0.0306049,0.0357446,0.0188888,0.0240197,0.0179586,0.0394003,0.0306367,0.0113109,0.0280007,0.029059,0.0461611,0.0443267,0,0,0.0512979,0,0,0.0292842,0.0500099,0.0466387,0.0197153,0.0210072,0.038643,0.0481038,0.0456004,0.0663538,0.0557436,0.0393201,0.0589018,0.0400084,0.0445265,0.0667214,0.0183355,0.0366176,0.0325331,0.0246522,0.0501692,0.0605969,0,0,0,0,0,0,0
62,0.0492641,0,0,0,0.0442408,0,0,0,0,0,0.0384062,0,0.0282486,0.0344601,0,0,0.0203717,0,0,0.0546892,0.0424889,0.0324164,0.0278836,0.0140636,0.0445376,0.03235,0.0320828,0.0387387,0.0424169,0.0297379,0.0325351,0.0377452,0.0204472,0.0246664,0.0162105,0.0398035,0.0310875,0.0114696,0.0270654,0.0286482,0.0460523,0.0444401,0,0,0.0512417,0,0,0.0294657,0.0480037,0.0463151,0.0205881,0.0202758,0.0391069,0.0474019,0.045966,0.0669146,0.0553626,0.0380193,0.0593982,0.0405748,0.045074,0.0674351,0.0194652,0.0372855,0.0325855,0.0248989,0.0501738,0.0605948,0,0,0,0,0,0,0
63,0.0489571,0,0,0,0.044604,0,0,0,0,0,0.0389766,0,0.0282588,0.0345063,0,0,0.0201898,0,0,0.0544885,0.0426339,0.0323215,0.0280724,0.0141821,0.0444819,0.032044,0.0324093,0.0386993,0.0424809,0.0299667,0.0328516,0.0378043,0.0205326,0.0247413,0.0155831,0.0399918,0.0315014,0.0116262,0.0271963,0.028884,0.0462623,0.0446083,0,0,0.0512926,0,0,0.0297677,0.0481404,0.0462377,0.020621,0.0204987,0.0389895,0.0471243,0.0460553,0.0667169,0.0552829,0.0380126,0.0594573,0.040665,0.045203,0.0674826,0.0193641,0.0376918,0.0326511,0.0251432,0.0504237,0.0604445,0,0,0,0,0,0,0
64,0.0485892,0,0,0,0.0449862,0,0,0,0,0,0.0393771,0,0.0284303,0.0345174,0,0,0.0200428,0,0,0.0542689,0.042783,0.0322169,0.0282633,0.0143855,0.0444933,0.0317361,0.0325517,0.0386487,0.0425488,0.0302229,0.0330331,0.0378118,0.0206113,0.024861,0.0151985,0.0401423,0.0317898,0.0117362,0.0271829,0.0290978,0.0464136,0.0447975,0,0,0.0514659,0,0,0.03013,0.0482574,0.0462156,0.0206663,0.020785,0.0389272,0.0467973,0.0458944,0.0664756,0.0551588,0.0379781,0.0594591,0.0407237,0.0453313,0.0675267,0.0193264,0.0379317,0.03262,0.0252538,0.0506505,0.0602516,0,0,0,0,0,0,0
65,0.0482379,0,0,0,0.0453602,0,0,0,0,0,0.039726,0,0.0285137,0.0344969,0,0,0.0198858,0,0,0.0541786,0.0429552,0.0321659,0.0284126,0.0145625,0.044511,0.0314578,0.032522,0.038618,0.0426758,0.0303188,0.0329997,0.0378422,0.02069,0.0249837,0.01504,0.040226,0.0320596,0.0118467,0.0270794,0.0293204,0.0465518,0.0449195,0,0,0.0515507,0,0,0.0302415,0.0483014,0.0462198,0.0206717,0.0210666,0.0388736,0.0464667,0.0456345,0.0662892,0.0549975,0.0379975,0.0595232,0.0408247,0.0453678,0.0676443,0.0194009,0.0380655,0.0324869,0.0252957,0.050831,0.0600035,0,0,0,0,0,0,0
66,0.0479294,0,0,0,0.0456156,0,0,0,0,0,0.0400002,0,0.0285169,0.0342938,0,0,0.0191291,0,0,0.0547552,0.0430929,0.0321671,0.0284697,0.0146979,0.0445429,0.0315213,0.0324805,0.0385943,0.0427798,0.0302658,0.0330234,0.0378916,0.0207561,0.0250751,0.014856,0.0401671,0.0291059,0,0.0270862,0.0295721,0.0467598,0.0452504,0,0,0.0514278,0,0,0.0300944,0.0483292,0.0462435,0.0206656,0.02135,0.0388138,0.0460806,0.0455407,0.0660901,0.0548436,0.0380427,0.059637,0.0409406,0.0454094,0.067635,0.01947,0.0383144,0.0323384,0.0253047,0.0510775,0.0597992,0,0,0,0,0,0,0
67,0.0475991,0,0,0,0.0458764,0,0,0,0,0,0.040221,0,0.0285315,0.0338317,0,0,0.0190918,0,0,0.0549234,0.0432463,0.0321744,0.0285231,0.0147651,0.0445567,0.0313108,0.032483,0.0385885,0.0428287,0.0302157,0.0330951,0.0379012,0.0207983,0.025147,0.014521,0.0402593,0.0292695,0,0.0272074,0.029839,0.0469481,0.0452537,0,0,0.0513465,0,0,0.0300606,0.048382,0.0462824,0.0206313,0.0216458,0.0387933,0.0458447,0.0455361,0.0658561,0.0547323,0.0380752,0.0596606,0.0410474,0.0454836,0.0676644,0.0193779,0.0385267,0.0323707,0.0253756,0.0515499,0.0595889,0,0,0,0,0,0,0
68,0.0472648,0,0,0,0.0461873,0,0,0,0,0,0.040327,0,0.0285514,0.0337409,0,0,0.0197074,0,0,0.0544415,0.0434387,0.0321826,0.0285315,0.0148454,0.0445896,0.0307921,0.0325004,0.0385432,0.0428508,0.030234,0.0331315,0.0379345,0.0208422,0.025202,0.0141262,0.0404738,0.0330231,0.0121099,0.0272066,0.0300073,0.0471196,0.0450281,0,0,0.0513815,0,0,0.0300757,0.0483526,0.0463286,0.0205754,0.0218971,0.0387941,0.0457038,0.0454973,0.0656059,0.0546465,0.0380624,0.059691,0.0411137,0.0455832,0.0677519,0.0193425,0.038652,0.0324594,0.0254761,0.0519539,0.0593678,0,0,0,0,0,0,0
69,0.0469459,0,0,0,0.0464376,0,0,0,0,0,0.0403933,0,0.0285498,0.0338224,0,0,0.0195213,0,0,0.0545872,0.043622,0.0321664,0.0285673,0.0148241,0.0446025,0.0305796,0.0325213,0.0385222,0.0428769,0.0302818,0.0331535,0.0379404,0.0209031,0.0251953,0.0139068,0.0406477,0.0333367,0.0120856,0.0270392,0.030126,0.0473047,0.0450782,0,0,0.051348,0,0,0.0300895,0.0482806,0.0464308,0.0205383,0.0220814,0.038726,0.0455257,0.0455182,0.0654409,0.0545487,0.0380591,0.0597641,0.0411778,0.0456513,0.0678393,0.0194322,0.0388971,0.0325595,0.0255971,0.0521664,0.0592026,0,0,0,0,0,0,0
70,0.0465977,0,0,0,0.0466467,0,0,0,0,0,0.0403955,0,0.0285656,0.0339327,0,0,0.0187374,0,0,0.0553294,0.0437792,0.0320965,0.0286603,0.0147983,0.0446294,0.030729,0.0325571,0.0386582,0.0429482,0.0303519,0.0331486,0.0378633,0.021112,0.0251967,0.0138753,0.0407932,0.0299325,0,0.0268147,0.0301983,0.0475241,0.0454038,0,0,0.051208,0,0,0.0302471,0.0482248,0.0465149,0.0205291,0.0222327,0.0386221,0.0453059,0.0455363,0.0653308,0.0544739,0.0380837,0.0598444,0.0412368,0.045675,0.0678293,0.0196115,0.039197,0.0327543,0.0256294,0.0522989,0.0591108,0,0,0,0,0,0,0
71,0.0461904,0,0,0,0.0470179,0,0,0,0,0,0.0403628,0,0.0285669,0.0340103,0,0,0.0194936,0,0,0.0545583,0.0439123,0.0321271,0.0288205,0.0148561,0.0447639,0.0303455,0.0326413,0.0390835,0.042999,0.0303749,0.0331429,0.0378013,0.0215265,0.0252044,0.0139526,0.0410766,0.0338438,0.0122449,0.0268647,0.0302941,0.0477078,0.0452508,0,0,0.0511003,0,0,0.0304326,0.0481882,0.0465785,0.0204375,0.0223743,0.0385043,0.0452331,0.0454545,0.0652771,0.0544139,0.0380896,0.0599447,0.0412975,0.0456814,0.067854,0.0196142,0.0391706,0.0327478,0.0257263,0.0526575,0.0589746,0,0,0,0,0,0,0
72,0.0458181,0,0,0,0.0472699,0,0,0,0,0,0.0403549,0,0.0286093,0.0338345,0,0,0.0192572,0,0,0.0544671,0.0439115,0.0321778,0.0288768,0.0150479,0.0448932,0.0302001,0.0326819,0.0393261,0.0429793,0.0303346,0.0331833,0.0377786,0.0216345,0.0252674,0.0140385,0.0412826,0.0343304,0.0122156,0.0266934,0.0303765,0.0478572,0.0453404,0,0,0.050951,0,0,0.0304848,0.0482261,0.0467049,0.0204374,0.0225369,0.0384512,0.0450801,0.0454353,0.0652105,0.0543776,0.0381709,0.0599311,0.0412907,0.0456458,0.0679085,0.0197232,0.039257,0.0328785,0.0257248,0.0529721,0.0588867,0,0,0,0,0,0,0
73,0.0454361,0,0,0,0.047563,0,0,0,0,0,0.0406121,0,0.0286433,0.0337992,0,0,0.0191884,0,0,0.0542826,0.0438981,0.0321752,0.0290063,0.0151368,0.0450091,0.0300426,0.0325786,0.0391441,0.0429722,0.0302533,0.0331951,0.0377477,0.0213859,0.0253512,0.0139526,0.0414648,0.0345285,0.0122095,0.0267409,0.0304488,0.0479032,0.0453541,0,0,0.0508675,0,0,0.0306387,0.0482098,0.0467324,0.0204704,0.0226215,0.0383785,0.0449048,0.0455218,0.065261,0.0542862,0.0381992,0.0599254,0.0413455,0.0457381,0.0680187,0.0197634,0.0394821,0.0329996,0.0257938,0.0533471,0.0587914,0,0,0,0,0,0,0
