Timestep,C7,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,CBL,IMUL_M,R5HD
15,0.0539067,0,0,0,0.0409167,0,0,0,0,0,0.0231503,0,0.029053,0.0369534,0,0,0.0232861,0,0,0.0528124,0.033863,0.031877,0.0255658,0.0100447,0.0476243,0.033495,0.0292802,0.0411684,0.0419563,0.0263394,0.0290982,0.0360977,0.0148424,0.018531,0.0306733,0.0382057,0.0257321,0.00957078,0.0323772,0.0249328,0.0370199,0.0465576,0,0,0.0505767,0,0,0.0258311,0.0547673,0.0695953,0.0181676,0.0238859,0.0468329,0.0588189,0.0413828,0.0744728,0.0643056,0.028708,0.0608448,0.038606,0.0454478,0.07954,0.0789002,0.0366812,0.0345651,0.0215791,0.0488321,0.0636261,0,0,0,0,0,0,0
16,0.0544501,0,0,0,0.0404813,0,0,0,0,0,0.0232008,0,0.0289355,0.0371165,0,0,0.023487,0,0,0.0529957,0.0337979,0.0316691,0.0253518,0.0100689,0.0475639,0.033205,0.0289593,0.0409759,0.0421256,0.0262971,0.0291871,0.0360697,0.0148376,0.0184955,0.0305007,0.0381721,0.0258395,0.0101191,0.0324959,0.0248178,0.0372156,0.0466101,0,0,0.0505961,0,0,0.0256428,0.0545958,0.0694681,0.0188395,0.0234225,0.0472824,0.058374,0.0418518,0.0749826,0.0645214,0.0286799,0.0611605,0.0388588,0.0457682,0.0798003,0.0784704,0.036432,0.0348446,0.0211938,0.0483727,0.0636748,0,0,0,0,0,0,0
17,0.0547677,0,0,0,0.0403171,0,0,0,0,0,0.0233815,0,0.0287949,0.0367203,0,0,0.0233686,0,0,0.0529587,0.0339308,0.0316219,0.0253333,0.0101912,0.0472457,0.033674,0.0287256,0.0411828,0.0423053,0.02626,0.0292744,0.0360413,0.0148058,0.0184722,0.0302116,0.0384426,0.0258169,0.0101422,0.0321977,0.0246568,0.0375241,0.0459541,0,0,0.0506559,0,0,0.025575,0.0543102,0.0690425,0.0190513,0.0227866,0.0473112,0.0583137,0.0421966,0.0751587,0.0644792,0.0286361,0.0613976,0.0392237,0.0459963,0.0797801,0.0775341,0.0360039,0.0350976,0.0210305,0.0482732,0.063806,0,0,0,0,0,0,0
18,0.055093,0,0,0,0.0399958,0,0,0,0,0,0.0235234,0,0.028607,0.0366043,0,0,0.0234372,0,0,0.0529854,0.034056,0.0316012,0.0252227,0.0101741,0.0470985,0.0339926,0.0286197,0.0412057,0.0424547,0.0262638,0.0294144,0.036,0.0147617,0.0184877,0.0299647,0.0383912,0.0256444,0.0101578,0.03143,0.0244429,0.0379318,0.0458068,0,0,0.0506671,0,0,0.0254116,0.0541062,0.0685795,0.0194086,0.0219384,0.0475265,0.0579797,0.0426463,0.0755682,0.064561,0.0289256,0.0615238,0.0394934,0.04619,0.0794151,0.0760277,0.0358077,0.0354835,0.0208577,0.0480295,0.0639394,0,0,0,0,0,0,0
19,0.0564738,0,0,0,0.038562,0,0,0,0,0,0.0235836,0,0.0284188,0.0366151,0,0,0.0237653,0,0,0.0536718,0.0342131,0.0317444,0.0248001,0.00993133,0.0474555,0.0330807,0.0286929,0.0409798,0.0424799,0.0263145,0.029368,0.0359354,0.0146954,0.0184675,0.0299661,0.0374453,0.0254866,0.0106535,0.0301476,0.0243567,0.0382852,0.0456121,0,0,0.0507228,0,0,0.0251001,0.0538488,0.0681336,0.0201658,0.0209993,0.0483191,0.0580494,0.0433518,0.0761881,0.0648504,0.0295693,0.0612998,0.0394939,0.0460055,0.0787404,0.0738166,0.0355308,0.0358474,0.0206637,0.0467272,0.0641039,0,0,0,0,0,0,0
20,0.0567624,0,0,0,0.0382535,0,0,0,0,0,0.023889,0,0.0285929,0.0367647,0,0,0.0237637,0,0,0.0537432,0.0344113,0.0317975,0.0245443,0.00983633,0.0473154,0.033309,0.0287515,0.041022,0.0424998,0.0267651,0.0294227,0.0358846,0.0146107,0.0184001,0.0296471,0.0372265,0.0254505,0.010189,0.0287001,0.023871,0.0386165,0.0456052,0,0,0.0507209,0,0,0.0249083,0.0536395,0.0671973,0.0203813,0.0199912,0.0484439,0.0578596,0.0437827,0.0762045,0.0646524,0.0300391,0.0610638,0.0396886,0.045809,0.0779112,0.0711152,0.035291,0.0358931,0.0206406,0.0462404,0.0642103,0,0,0,0,0,0,0
21,0.0570101,0,0,0,0.0380933,0,0,0,0,0,0.0240895,0,0.0286161,0.0367207,0,0,0.0237155,0,0,0.0538053,0.0348185,0.0316797,0.0243874,0.00998901,0.0472676,0.0335509,0.0288602,0.0413559,0.0424325,0.0268845,0.0295964,0.0358515,0.0146022,0.0184471,0.0294702,0.0368348,0.0251824,0.00996242,0.0271372,0.0235302,0.0388868,0.045469,0,0,0.0507008,0,0,0.0248104,0.0533222,0.0660198,0.020255,0.0189802,0.0484257,0.0577296,0.0442049,0.0761142,0.0644121,0.0305518,0.0607816,0.0398209,0.0453178,0.0771349,0.0675839,0.0347439,0.0360921,0.0205882,0.0460519,0.0642533,0,0,0,0,0,0,0
22,0.0574296,0,0,0,0.0379297,0,0,0,0,0,0.0242704,0,0.0277627,0.0354197,0,0,0.0237863,0,0,0.0537782,0.0368587,0.0305406,0.0246963,0.0113481,0.0472765,0.0338841,0,0.0421706,0.0410283,0.0259176,0.0302635,0.0364318,0.0153779,0.0190538,0.0283718,0.036763,0.0250903,0.0102836,0.0257952,0.0233789,0.0390508,0.0452277,0,0,0.0506502,0,0,0.0246037,0.0519852,0.064919,0.0199958,0.0179989,0.0478252,0.057238,0.0448208,0.0764031,0.0641729,0.0307462,0.06057,0.0398378,0.0449644,0.0764946,0.0644868,0.0341779,0.0362429,0.0204201,0.0462988,0.0640257,0,0,0,0,0,0,0
23,0.0575378,0,0,0,0.0381179,0,0,0,0,0,0.0243521,0,0.0268942,0.0347554,0,0,0.0231163,0,0,0.0537342,0.038618,0.0307041,0.0257887,0.0116296,0.0475199,0.0350916,0,0.0422501,0.0409501,0.02601,0.0300543,0.0362178,0.0155353,0.0197014,0.028446,0.0376155,0.0253714,0.0103127,0.0312219,0.0183396,0.039256,0.0444253,0,0,0.0510398,0,0,0.0246616,0.0512425,0.0627868,0.0186502,0.0162859,0.0467502,0.0568917,0.0441726,0.0735969,0.0614348,0.0310275,0.0602807,0.043345,0.0453369,0.0738097,0.0713078,0.0336497,0.0362552,0.0202387,0.0466568,0.0641035,0,0,0,0,0,0,0
24,0.0582374,0,0,0,0.0380299,0,0,0,0,0,0.0251826,0,0.0270581,0.0351692,0,0,0.0230792,0,0,0.053453,0.0396519,0.0313111,0.0251118,0.0113917,0.0464262,0.0333507,0,0.0426257,0.0414833,0.0262763,0.0296167,0.035664,0.0152717,0.0197329,0.0276804,0.0383096,0.0256776,0.0105061,0.0257145,0.0194127,0.0431688,0.0447506,0,0,0.0508647,0,0,0.0245424,0.0504008,0.061379,0.0225676,0.0154159,0.0468182,0.056694,0.0472126,0.0787636,0,0.0342393,0.0574132,0.039232,0.0434911,0.0714798,0.0610362,0.0333563,0.0363343,0.019999,0.0468142,0.0629923,0,0,0,0,0,0,0
