Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,LASI,,RASI
582,0.0408394,0,0,0,0,0.0501359,0,0,0,0,0,0,0.028548,0,0.032497,0,0,0.0138063,0,0,0.00774001,0.0440425,0.0339079,0,0.0180779,0.0366992,0.0267822,0.0429135,0.0406736,0.0353146,0.0269644,0.0365678,0.0408631,0.0249836,0.0269201,0.0349382,0.0457823,0,0.0292947,0,0.032097,0.0437226,0,0,0.0141891,0,0,0.0286908,0.0590282,0.0462793,0.0146977,0.028125,0.027217,0.032954,0.0437896,0.056274,0.049723,0.0439703,0.0608054,0.0420815,0.0460398,0.068299,0.0171986,0.0507509,0.028824,0.0118171,0.0581263,0.0591526,0,0,0,0,0.0616912,0,0.0464551
583,0.040564,0,0,0,0,0.0504065,0,0,0,0,0,0,0.0283672,0,0.0324973,0,0,0.0136712,0,0,0.00777944,0.0439965,0.0338784,0,0.0180555,0.0367252,0.0271967,0.0421351,0.0407662,0.0353025,0.0269932,0.0366359,0.0408973,0.0249133,0.0269624,0.0350233,0.0456055,0,0.0293339,0,0.0320206,0.04351,0,0,0.0140648,0,0,0.0285727,0.0590759,0.0460636,0.0147713,0.0280535,0.0273342,0.0330065,0.0439336,0.0563255,0.0497941,0.0440754,0.0606366,0.0419785,0.0459194,0.068209,0.0171017,0.0508144,0.0287878,0.0117508,0.058502,0.059048,0,0,0,0,0.0616834,0,0.0464096
584,0.0402923,0,0,0,0,0.050647,0,0,0,0,0,0,0.0283159,0,0.0324802,0,0,0.0135144,0,0,0.00776358,0.043891,0.0341624,0,0.0180347,0.0367777,0.027527,0.0411002,0.0408934,0.0353075,0.0270804,0.0366807,0.0409037,0.0252926,0.0270485,0.0350486,0.0454289,0,0.0293202,0,0.0319889,0.0433195,0,0,0.0139761,0,0,0.0284998,0.0591259,0.0459046,0.0148149,0.0279686,0.0274602,0.0331049,0.0440832,0.0564269,0.0498304,0.044184,0.0604392,0.0419117,0.045808,0.068118,0.0171642,0.0508253,0.0286937,0.0116036,0.0589023,0.0588532,0,0,0,0,0.061535,0,0.0464425
585,0.0400491,0,0,0,0,0.0508967,0,0,0,0,0,0,0.0282076,0,0.0325389,0,0,0.0133338,0,0,0.00781028,0.0438933,0.0343115,0,0.017895,0.0367521,0.0278475,0.0419696,0.0409073,0.0354354,0.0272982,0.036603,0.040908,0.0254725,0.0270709,0.0352597,0.0452683,0,0.0292191,0,0.0319452,0.0431434,0,0,0.0139604,0,0,0.0284294,0.0591857,0.0458321,0.0148522,0.0278884,0.0276278,0.0332467,0.0441684,0.0565118,0.0498768,0.044249,0.060211,0.0415794,0.045666,0.068009,0.0172997,0.0508684,0.0286521,0.0114365,0.0592389,0.0587242,0,0,0,0,0.0616341,0,0.0462395
586,0.0397073,0,0,0,0,0.051273,0,0,0,0,0,0,0.0281145,0,0.0325979,0,0,0.0132341,0,0,0.00785137,0.0438931,0.0341352,0,0.0177331,0.0367283,0.0283054,0.0426183,0.0409229,0.0355548,0.0273008,0.0365358,0.0408984,0.0254714,0.0270945,0.0354806,0.0452314,0,0.0291123,0,0.0318383,0.0429156,0,0,0.0139307,0,0,0.0284131,0.0592247,0.045714,0.0148781,0.0278036,0.0277762,0.0334737,0.0442518,0.0565534,0.0498658,0.0442876,0.0600363,0.0413079,0.0455649,0.0678959,0.0172904,0.0509818,0.0285975,0.0111867,0.059667,0.0585832,0,0,0,0,0.0617119,0,0.0460408
587,0.0393537,0,0,0,0,0.0516452,0,0,0,0,0,0,0.0280642,0,0.0326064,0,0,0.0131262,0,0,0.00784921,0.0439337,0.0342475,0,0.0176188,0.0367368,0.0286729,0.0427493,0.0409581,0.0355838,0.027161,0.0365763,0.0407423,0.0254911,0.0271653,0.0356118,0.0452512,0,0.0289275,0,0.0316599,0.0427071,0,0,0.0138295,0,0,0.0284069,0.0592412,0.0455654,0.0149064,0.0277247,0.0279221,0.0337822,0.0443047,0.0565527,0.0498693,0.0442663,0.0598583,0.0411805,0.0454984,0.0678288,0.0170777,0.0509805,0.0284462,0.0108712,0.0600323,0.0584865,0,0,0,0,0.0618029,0,0.0458944
588,0.0390897,0,0,0,0,0.0518903,0,0,0,0,0,0,0.0280326,0,0.0326552,0,0,0.0129684,0,0,0.00786999,0.0439543,0.0343068,0,0.0175666,0.0367798,0.0288988,0.0427684,0.0410202,0.035576,0.0271834,0.036669,0.0403739,0.025463,0.0271818,0.0357318,0.0451657,0,0.0287689,0,0.0314916,0.0425228,0,0,0.0135895,0,0,0.0281851,0.0592501,0.0453823,0.0149735,0.0276376,0.0281013,0.0340678,0.0443435,0.0565821,0.0499479,0.0442724,0.0596287,0.0410585,0.0454162,0.0678125,0.0169298,0.0509115,0.0282269,0.0106126,0.060306,0.0584399,0,0,0,0,0.0619365,0,0.0457567
589,0.0387515,0,0,0,0,0.0521947,0,0,0,0,0,0,0.0279953,0,0.0327432,0,0,0.0128624,0,0,0.00797743,0.0439559,0.0346715,0,0.0175033,0.036807,0.0293373,0.0427433,0.0410855,0.0355521,0.0271408,0.0367231,0.0403324,0.0253279,0.0272335,0.035798,0.0450497,0,0.0286625,0,0.0313883,0.0423546,0,0,0.0132708,0,0,0.0277692,0.0592401,0.0452414,0.0150358,0.027535,0.0282905,0.0344682,0.0443844,0.0566409,0.0500334,0.0442978,0.0594562,0.0408863,0.0452928,0.0677503,0.0170945,0.0509693,0.0278443,0.0102842,0.0606012,0.0583363,0,0,0,0,0.0619355,0,0.0456275
590,0.0384519,0,0,0,0,0.0527081,0,0,0,0,0,0,0.0282257,0,0.0326058,0,0,0.0129057,0,0,0.0078359,0.044186,0.0351031,0,0.0172238,0.0358469,0.0287568,0.0429672,0.0416793,0.035877,0.0269713,0.0361829,0.040138,0.0244926,0.0269832,0.0357926,0.0456097,0,0.029705,0,0.0323917,0.04237,0,0,0.0129806,0,0,0.0275869,0.0590412,0.0481065,0.0176289,0.0279074,0.0278237,0.0350005,0.0448627,0.0586124,0,0.0454019,0.0568809,0.0387133,0.0428243,0.0650265,0.0165693,0.0509467,0.0271358,0.0100755,0.0614566,0.057162,0,0,0,0,0.0605583,0,0.0490806
591,0.0380293,0,0,0,0,0.0529001,0,0,0,0,0,0,0.0279345,0,0.0328247,0,0,0.0129574,0,0,0.00803336,0.0438787,0.0347952,0,0.0172721,0.0367224,0.0300588,0.042907,0.0413114,0.0355462,0.0271617,0.0365504,0.0407104,0.0246234,0.0270379,0.0359288,0.0448266,0,0.0286512,0,0.031275,0.0419459,0,0,0.0127727,0,0,0.0273593,0.059267,0.0449519,0.0151585,0.0273833,0.0284722,0.0351889,0.0446942,0.0568768,0.0502733,0.044509,0.0590397,0.0404512,0.0449771,0.0673996,0.0174561,0.0508627,0.026663,0.00925075,0.0612522,0.0581534,0,0,0,0,0.0617787,0,0.0454233
