Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,LASI,,RASI
All Timesteps RMSE,0.0444629,0,0,0,0,0.0480993,0,0,0,0,0,0,0.0378351,0,0.0289554,0,0,0.0156914,0,0,0.0298846,0.0453478,0.0354137,0.0237012,0.0167598,0.0423735,0.0342772,0.0379961,0.0429318,0.0382866,0.0282793,0.0347972,0.0387278,0.0235686,0.0260443,0.0359451,0.0439226,0.0185616,0.0318844,0,0.0300041,0.0427459,0,0,0.018789,0,0,0.0317189,0.0553654,0.0473504,0.0194086,0.02514,0.0395554,0.0487915,0.0441418,0.0637779,0.0561465,0.0413568,0.0611322,0.0420894,0.045319,0.0687211,0.021855,0.0444782,0.033597,0.0246468,0.0542523,0.0657317,0,0,0,0,0.0538472,0,0.0425739
0,0.0408088,0,0,0,0,0.0561971,0,0,0,0,0,0,0.0554357,0,0.0240734,0,0,0.0099507,0,0,0.0312362,0.0399196,0.0372762,0.0248644,0.0215902,0.0626431,0.0361049,0.0310809,0.0378937,0.0459669,0.031975,0.033962,0.0351637,0.0240656,0.0312522,0.014738,0.0426401,0.0162497,0.0263304,0,0.0242471,0.0349706,0,0,0.0107842,0,0,0.0461768,0.0508071,0.0411243,0.0259727,0.0243802,0.0655975,0.0682891,0.0350821,0.0606203,0.048183,0.0283056,0.0646955,0.0422812,0.0457854,0.0711465,0.0218088,0.041734,0.0499274,0.0330814,0.062098,0.0638589,0,0,0,0,0,0,0
1,0.0402234,0,0,0,0,0.0566195,0,0,0,0,0,0,0.0553561,0,0.024069,0,0,0.0100112,0,0,0.0311348,0.0401168,0.0373872,0.0248245,0.0216539,0.0627467,0.0361081,0.0309164,0.0377899,0.0461824,0.0321341,0.0339206,0.0350685,0.0241037,0.0313457,0.0148917,0.0420882,0.0161562,0.0262661,0,0.0241974,0.0350367,0,0,0.0117625,0,0,0.0481049,0.0508541,0.0410449,0.0262344,0.0245871,0.0656393,0.0684769,0.0348581,0.0604334,0.0480989,0.028334,0.0648404,0.0423778,0.0459036,0.07132,0.0216463,0.0419721,0.0519664,0.0389244,0.0622491,0.0636263,0,0,0,0,0,0,0
2,0.0399242,0,0,0,0,0.0568091,0,0,0,0,0,0,0.0553589,0,0.0240708,0,0,0.0100032,0,0,0.031025,0.0401479,0.0374166,0.0248081,0.0216029,0.0626817,0.0360283,0.0307337,0.0376714,0.0462846,0.0321473,0.0338715,0.0350541,0.0241511,0.0313794,0.0148661,0.0420563,0.0161275,0.0262392,0,0.0242094,0.0352111,0,0,0.0122446,0,0,0.048872,0.050912,0.0410704,0.0264918,0.0245767,0.0655882,0.0685613,0.03485,0.0603679,0.0481884,0.0285072,0.0648105,0.0423476,0.0458813,0.0711922,0.0215191,0.042009,0.0526002,0.0412504,0.0623066,0.0636916,0,0,0,0,0,0,0
3,0.0411918,0,0,0,0,0.055321,0,0,0,0,0,0,0.0555283,0,0.0238518,0,0,0.0103169,0,0,0.0308066,0.0411275,0.0348015,0.0228489,0.0215252,0.0619153,0.0369011,0.0329506,0.0370498,0.0441541,0.0323351,0.0356949,0.0373891,0.0254034,0.0314557,0.0140164,0.0425563,0.0163758,0.0250477,0,0.0243904,0.0343116,0,0,0.0102406,0,0,0.0446579,0.0483409,0.0418775,0.0246363,0.0238724,0.0645026,0.0683231,0.0370822,0.0622826,0.0493353,0.027721,0.0643405,0.0420243,0.0454966,0.0709434,0.024502,0.0407261,0.0415204,0.0303116,0.0611727,0.0646964,0,0,0,0,0.0330044,0,0
4,0.0414428,0,0,0,0,0.0549691,0,0,0,0,0,0,0.0555656,0,0.023888,0,0,0.0104007,0,0,0.0307352,0.0409706,0.0348154,0.0226303,0.0215102,0.0615658,0.0370254,0.0329523,0.0370531,0.0440875,0.032133,0.0356673,0.0373708,0.0253264,0.0313099,0.0139264,0.0428529,0.0164099,0.0253009,0,0.0245387,0.0340712,0,0,0.00973271,0,0,0.0437915,0.0484394,0.0419095,0.0245652,0.0236647,0.064189,0.0684846,0.0374628,0.0624114,0.0495184,0.0280322,0.0641274,0.0418441,0.0453245,0.0707325,0.0243151,0.0405545,0.0389639,0.0276087,0.0608875,0.0649981,0,0,0,0,0.0331006,0,0
5,0.0416803,0,0,0,0,0.0546619,0,0,0,0,0,0,0.0556702,0,0.0239447,0,0,0.0104004,0,0,0.03057,0.0409221,0.0347868,0.0219105,0.021521,0.0612844,0.0370484,0.0329469,0.0371512,0.0440981,0.0320076,0.0356234,0.0373157,0.0252864,0.031183,0.0137955,0.0430251,0.0164119,0.0254268,0,0.0245651,0.033853,0,0,0.00941396,0,0,0.0429874,0.0484476,0.0419635,0.0243626,0.0234745,0.0639157,0.0685491,0.0378541,0.0627029,0.0497108,0.0283229,0.0639651,0.0417161,0.0451875,0.0706818,0.0243254,0.0403245,0.0367856,0.0253402,0.0606515,0.0652481,0,0,0,0,0.0333125,0,0
6,0.0419264,0,0,0,0,0.0543044,0,0,0,0,0,0,0.055789,0,0.023997,0,0,0.0103378,0,0,0.030432,0.0408975,0.0346892,0.0213087,0.0215148,0.0610014,0.0370518,0.0329331,0.0373435,0.0440559,0.0319195,0.0356259,0.0373098,0.0252435,0.0310756,0.0136427,0.0431177,0.0164378,0.0255419,0,0.0246561,0.0336797,0,0,0.00907217,0,0,0.0421213,0.0484453,0.0419884,0.0239765,0.0232119,0.0636477,0.0686025,0.0382886,0.0629307,0.0498961,0.0286385,0.063765,0.041619,0.0450416,0.07049,0.0242384,0.0400341,0.034475,0.0228469,0.060393,0.0655157,0,0,0,0,0.0335026,0,0
7,0.0421481,0,0,0,0,0.0539059,0,0,0,0,0,0,0.0559043,0,0.0240213,0,0,0.0103372,0,0,0.0303516,0.0408885,0.0345279,0.021182,0.0215484,0.060748,0.0370869,0.0328874,0.0373592,0.0440055,0.0318948,0.035689,0.0373645,0.0252334,0.0309966,0.0134601,0.0433615,0.0164838,0.0256369,0,0.0247244,0.033603,0,0,0.00883594,0,0,0.041406,0.048424,0.0419029,0.0237585,0.0230361,0.0633561,0.0686667,0.0386606,0.0630233,0.0500389,0.0288422,0.0636502,0.0415542,0.04496,0.0701888,0.0242402,0.0398136,0.0325008,0.0207083,0.0601326,0.0657759,0,0,0,0,0.0336257,0,0
8,0.0423208,0,0,0,0,0.0535348,0,0,0,0,0,0,0.0560616,0,0.024042,0,0,0.0103295,0,0,0.0302275,0.0409511,0.034295,0.0214018,0.0216322,0.0605547,0.0370562,0.0328319,0.037104,0.0439969,0.0319536,0.0357845,0.0374055,0.0252057,0.0309467,0.013245,0.043705,0.0165176,0.0256615,0,0.0247759,0.0333946,0,0,0.0088377,0,0,0.0407594,0.0483229,0.0419197,0.0235573,0.0228627,0.0630526,0.0687029,0.0389303,0.0630992,0.0501922,0.0289664,0.0636063,0.0415248,0.044901,0.0701398,0.0242693,0.0397248,0.0307765,0.0187363,0.0598445,0.0660281,0,0,0,0,0.0336695,0,0
9,0.0425454,0,0,0,0,0.053219,0,0,0,0,0,0,0.0562035,0,0.0240488,0,0,0.0102123,0,0,0.0300418,0.0409802,0.0340904,0.0215867,0.0216641,0.0603436,0.0369609,0.0328111,0.0368312,0.043995,0.0319345,0.0357579,0.0374449,0.0251339,0.0308588,0.0130815,0.0438232,0.016505,0.025697,0,0.024801,0.033322,0,0,0.00878279,0,0,0.0399451,0.0482572,0.041976,0.0233752,0.0226792,0.0627767,0.0687565,0.0391869,0.0631774,0.0503672,0.0291837,0.0634968,0.041461,0.0448404,0.0702305,0.0242388,0.0395858,0.0288689,0.0164193,0.0595194,0.066234,0,0,0,0,0.0336532,0,0
10,0.0425047,0,0,0,0,0.0530307,0,0,0,0,0,0,0.0562118,0,0.0240544,0,0,0.010113,0,0,0.0299125,0.0410605,0.0339441,0.0214023,0.0216249,0.0601625,0.0368318,0.0327904,0.0368282,0.043994,0.0319122,0.0357034,0.0374456,0.0251246,0.0307753,0.0129989,0.0439076,0.0164687,0.0258104,0,0.0248277,0.0334718,0,0,0.00889933,0,0,0.039161,0.0482325,0.041981,0.0232871,0.0224901,0.0625072,0.0688224,0.0393754,0.0631379,0.050444,0.0294589,0.0633905,0.0414377,0.0447596,0.0700912,0.0241037,0.0395193,0.0276949,0.0147563,0.0593773,0.0663223,0,0,0,0,0.0336425,0,0
11,0.042676,0,0,0,0,0.0527626,0,0,0,0,0,0,0.0561535,0,0.0241041,0,0,0.0101369,0,0,0.0298932,0.0411685,0.0338258,0.0210919,0.0215677,0.0599177,0.0368074,0.032757,0.0370712,0.0439533,0.0317798,0.0356952,0.0373981,0.0250871,0.0306746,0.0129547,0.0440736,0.0165262,0.0259732,0,0.0249064,0.0332213,0,0,0.00881265,0,0,0.03857,0.0482659,0.0419796,0.0232677,0.0223701,0.0622453,0.0689189,0.0395594,0.0632553,0.0505882,0.0298053,0.0632597,0.0413304,0.044649,0.0697859,0.023902,0.0393105,0.0267419,0.0134994,0.0591613,0.0664771,0,0,0,0,0.0336681,0,0
12,0.0423961,0,0,0,0,0.0530876,0,0,0,0,0,0,0.0559948,0,0.0242495,0,0,0.00990247,0,0,0.0299342,0.0397887,0.0361421,0.022572,0.0214365,0.0598512,0.0360724,0.0304294,0.0376335,0.0456468,0.0309743,0.0340317,0.0352839,0.0237159,0.0301979,0.0134491,0.0441871,0.0165176,0.0276244,0,0.025053,0.0334106,0,0,0.00869551,0,0,0.0396179,0.0509296,0.0414234,0.0245891,0.0225321,0.0626527,0.0692633,0.0384131,0.061876,0.0501612,0.0314502,0.0631553,0.041144,0.0445367,0.0694004,0.020982,0.0397504,0.0290405,0.0153188,0.0593708,0.0663403,0,0,0,0,0,0,0
13,0.0405713,0,0,0,0,0,0,0,0,0,0,0,0.060509,0,0.0282529,0,0,0.0106134,0,0,0.0292901,0.040362,0.034594,0.0208629,0.021,0.0589969,0.0340956,0.0327825,0.0378131,0.0430238,0.0294065,0.0345053,0.0369306,0.0225255,0.0272098,0.0106086,0.0444012,0.0158473,0.026098,0,0.024435,0.0298642,0,0,0.00871663,0,0,0.0288954,0.048813,0.0418975,0.0228466,0.0209797,0.0615811,0.0693084,0.0415052,0.0640689,0.0516449,0.0316338,0.0623814,0.0410193,0.0441377,0.0690437,0.0251716,0.0393267,0.0179659,0.00768,0.0625809,0.0663964,0,0,0,0,0.0334343,0,0
14,0.0405556,0,0,0,0,0,0,0,0,0,0,0,0.0606956,0,0.0280971,0,0,0.0105387,0,0,0.0293278,0.0405025,0.0344451,0.0210551,0.020974,0.0590218,0.0339,0.0327578,0.0377004,0.0430784,0.0294558,0.03452,0.0369972,0.0224845,0.0271527,0.0106074,0.0443357,0.0158639,0.0260822,0,0.0244854,0.0300874,0,0,0.00838239,0,0,0.0290167,0.0487138,0.0420147,0.0227535,0.0210779,0.0615065,0.0690536,0.0415276,0.064137,0.0516384,0.0317463,0.0622784,0.0409879,0.0439742,0.0689965,0.0250365,0.0393437,0.0178559,0.00895822,0.06248,0.0664075,0,0,0,0,0.0331745,0,0
15,0.0405694,0,0,0,0,0,0,0,0,0,0,0,0.060708,0,0.0276779,0,0,0.0104849,0,0,0.0292851,0.0404878,0.0343578,0.0207738,0.0209558,0.0589024,0.0337722,0.0326393,0.0377244,0.0431062,0.0293547,0.0344775,0.0370342,0.0224061,0.0269816,0.0105829,0.044365,0.0158115,0.0260457,0,0.0246922,0.0303187,0,0,0.00840709,0,0,0.0290551,0.048786,0.0421788,0.0228772,0.0210712,0.0614177,0.0690096,0.041507,0.0642454,0.0515137,0.031892,0.0619601,0.0409733,0.0436386,0.0688593,0.0245776,0.0393208,0.0178432,0.00943503,0.0624012,0.0664513,0,0,0,0,0.0330771,0,0
16,0.0406068,0,0,0,0,0,0,0,0,0,0,0,0.0606782,0,0.0274607,0,0,0.0104081,0,0,0.0290415,0.0404818,0.0342334,0.0207133,0.0210015,0.0587795,0.033647,0.032312,0.0377089,0.0431503,0.0293302,0.034536,0.0370542,0.0223443,0.0268962,0.0105856,0.0444574,0.0156005,0.0259909,0,0.0249373,0.0302555,0,0,0.0084832,0,0,0.0290084,0.0488171,0.0423788,0.022989,0.021039,0.0613217,0.0690025,0.0415289,0.0643801,0.0516238,0.0320516,0.061858,0.0409514,0.0436489,0.068666,0.0241979,0.039319,0.0178706,0.00958773,0.0622815,0.0665228,0,0,0,0,0.0330546,0,0
17,0.0406305,0,0,0,0,0,0,0,0,0,0,0,0.0607803,0,0.0275699,0,0,0.0103605,0,0,0.028753,0.0405384,0.0340019,0.0208489,0.0210646,0.0587764,0.0335095,0.0324721,0.0376268,0.0431763,0.0293976,0.0346108,0.0370939,0.0223828,0.0269054,0.0106052,0.0445578,0.0154123,0.0261791,0,0.0249785,0.0302876,0,0,0.00857824,0,0,0.0288635,0.0487741,0.0422331,0.0228197,0.021013,0.0612403,0.0689042,0.0414641,0.0643606,0.0529914,0.0321612,0.061947,0.041136,0.04379,0.0687014,0.0242247,0.0393866,0.0179766,0.00964637,0.0621159,0.0665896,0,0,0,0,0.0330187,0,0
18,0.0462429,0,0,0,0,0.0489187,0,0,0,0,0,0,0.0610177,0,0.0277759,0,0,0.00963058,0,0,0.0285936,0.0407034,0.0335885,0.0208992,0.0211982,0.0581992,0.0367992,0.0324732,0.0372803,0.0430561,0.0296584,0.0348448,0.0373786,0.0226439,0.0270433,0.0106482,0.0458932,0.0159006,0.0263014,0,0.024945,0.0313416,0,0,0.00742196,0,0,0.033619,0.0486004,0.0419937,0.0217263,0.0211034,0.0603891,0.0695415,0.0408419,0.0643062,0.054433,0.032026,0.0623243,0.0412854,0.0440169,0.0689731,0.0242455,0.0373625,0.0182332,0.00276505,0.0563852,0.0684595,0,0,0,0,0.0327607,0,0
19,0.0463321,0,0,0,0,0.0490483,0,0,0,0,0,0,0.0611097,0,0.0276728,0,0,0.00931662,0,0,0.0284199,0.0407822,0.0335472,0.0206042,0.0211821,0.0578941,0.0366502,0.0324192,0.037307,0.0431489,0.0295871,0.0348152,0.0373235,0.0226079,0.0269859,0.0106365,0.0462133,0.0162659,0.0265349,0,0.0252496,0.0315564,0,0,0.00741365,0,0,0.0338005,0.0485196,0.0423864,0.0222279,0.0211608,0.0603385,0.0697006,0.0395222,0.0646891,0.0474573,0.0321644,0.0620542,0.0406707,0.043845,0.0686772,0.0240244,0.037309,0.0186971,0.00216932,0.0561633,0.068403,0,0,0,0,0.0327028,0,0
20,0.0464929,0,0,0,0,0.0495263,0,0,0,0,0,0,0.0597584,0,0.0276553,0,0,0.00912445,0,0,0.0281632,0.0402517,0.0340072,0.0204893,0.020687,0.0570978,0.0353845,0.0331416,0.0384964,0.0428541,0.0281641,0.034473,0.0370272,0.0223913,0.0266349,0.0106201,0.0467896,0.0164527,0.0267239,0,0.0250949,0.0320297,0,0,0.00518648,0,0,0.0393309,0.0480022,0.0422705,0.0219079,0.0158923,0.0596016,0.0707532,0,0.0721944,0,0.035525,0.0586102,0.0369254,0.0414949,0.0666559,0.0212062,0.0381424,0.024183,0.00720583,0.0565184,0.0675745,0,0,0,0,0.031177,0,0
21,0.0464882,0,0,0,0,0.0495252,0,0,0,0,0,0,0.0604564,0,0.0274746,0,0,0.0090221,0,0,0.0282046,0.0404309,0.0336828,0.020454,0.0202977,0.0572802,0.0350109,0.0330259,0.0383693,0.0428734,0.0284944,0.0345558,0.0372123,0.0224218,0.0267726,0.0104481,0.0469326,0.0165331,0.0265851,0,0.025286,0.0320755,0,0,0.00583079,0,0,0.0384545,0.0477403,0.0423282,0.021734,0.0159235,0.0596221,0.070555,0,0.0724361,0,0.0354406,0.0585651,0.0368741,0.0414455,0.066366,0.0212461,0.0378007,0.0235131,0.00647271,0.0562904,0.0675607,0,0,0,0,0.0309484,0,0
22,0.0462676,0,0,0,0,0.0493431,0,0,0,0,0,0,0.0604253,0,0.0268751,0,0,0.00901119,0,0,0.0281708,0.0395056,0.0334762,0.0206231,0.0197399,0.0575235,0.0343598,0.0321465,0.038054,0.0429777,0.0285929,0.0346592,0.0373355,0.0227617,0.0272431,0.0105367,0.0471044,0.0165485,0.0368448,0,0.0330697,0.0321873,0,0,0.00645905,0,0,0.0376232,0.0482331,0.0509135,0.0214117,0.024656,0.0599809,0.0704058,0,0.0736397,0.06783,0.0324562,0.056767,0.033079,0.0368172,0.0625042,0.0207398,0.0376503,0.0223625,0.00625971,0.0561165,0.067734,0,0,0,0,0.0319403,0,0
23,0.0433459,0,0,0,0,0.0522601,0,0,0,0,0,0,0.0564058,0,0.0232654,0,0,0.00920742,0,0,0.0284843,0.0418755,0.0344427,0.0204528,0.0201411,0.0578289,0.0323678,0.0326627,0.0383085,0.0451763,0.0310781,0.034881,0.0366567,0.0245867,0.0305185,0.0122136,0.0461822,0.0161404,0.0280307,0,0.0290462,0.0345738,0,0,0.00949585,0,0,0.0366342,0.0461031,0.0483875,0.0257655,0.021798,0.0610578,0.0695675,0,0.0716726,0.0752404,0.033306,0.0573906,0.0349671,0.0391534,0.0647396,0.0219815,0.0395882,0.0265586,0.00851785,0.0583722,0.0652418,0,0,0,0,0.0320869,0,0
24,0.0430077,0,0,0,0,0.0529354,0,0,0,0,0,0,0.0564649,0,0.0233554,0,0,0.00910506,0,0,0.028472,0.0421229,0.034613,0.020535,0.02014,0.0575563,0.0321271,0.0325347,0.0384403,0.0455515,0.0311938,0.0346521,0.0363537,0.0244298,0.0305827,0.0122533,0.0460016,0.0159465,0.0277489,0,0.0289223,0.0349912,0,0,0.00985122,0,0,0.038055,0.0458645,0.0480428,0.0264584,0.0213966,0.0609068,0.0695849,0,0.0715559,0.0735995,0.0336132,0.057259,0.0349978,0.0392514,0.0649939,0.0220594,0.039913,0.0292092,0.0120543,0.058511,0.065,0,0,0,0,0.0323578,0,0
25,0.0427068,0,0,0,0,0.0534148,0,0,0,0,0,0,0.0563547,0,0.023326,0,0,0.00893851,0,0,0.0284982,0.0422715,0.034834,0.0207809,0.0200962,0.0574763,0.0319737,0.0323064,0.038591,0.0459058,0.0312242,0.0344389,0.0360912,0.0243016,0.030468,0.0123663,0.045653,0.0158611,0.0278146,0,0.0288508,0.0353279,0,0,0.0102589,0,0,0.0388841,0.0461103,0.0478169,0.0265665,0.0213259,0.0606964,0.0695242,0,0.0715985,0.0723377,0.0338156,0.0572762,0.0350599,0.039318,0.0649964,0.022028,0.0400064,0.0306516,0.0150445,0.0585568,0.0648385,0,0,0,0,0.0326522,0,0
26,0.0422479,0,0,0,0,0.0538041,0,0,0,0,0,0,0.0563373,0,0.0232943,0,0,0.00885043,0,0,0.0286481,0.0424933,0.035101,0.0210227,0.0200598,0.0574977,0.0318533,0.0318771,0.0386808,0.0463415,0.0313847,0.0342368,0.0358232,0.0242085,0.0304459,0.0124492,0.045356,0.0158704,0.0276902,0,0.0288045,0.0355281,0,0,0.010705,0,0,0.0398388,0.0461729,0.0479306,0.0266815,0.0213711,0.0605017,0.0694416,0,0.0715074,0.0723537,0.0339351,0.0572533,0.0350394,0.0392943,0.0648405,0.0215703,0.0401517,0.0323463,0.0184763,0.0587083,0.0646454,0,0,0,0,0.0329448,0,0
27,0.041704,0,0,0,0,0.054111,0,0,0,0,0,0,0.0564314,0,0.0233056,0,0,0.00883587,0,0,0.0287789,0.0427974,0.0353092,0.0212488,0.0200555,0.0575306,0.0317588,0.0315232,0.038739,0.0467944,0.031657,0.0340668,0.0355414,0.0241685,0.0305122,0.0125075,0.0451501,0.0158642,0.0274101,0,0.0287972,0.0356288,0,0,0.0111259,0,0,0.0410574,0.0460701,0.0482775,0.0268049,0.0214482,0.060307,0.0693432,0,0.0714246,0.0725598,0.0340294,0.0572587,0.0349746,0.0392159,0.064618,0.0207984,0.0403757,0.0345419,0.0218459,0.058942,0.0644235,0,0,0,0,0.0333698,0,0
28,0.0411048,0,0,0,0,0.0543011,0,0,0,0,0,0,0.0566127,0,0.0233396,0,0,0.00880843,0,0,0.0288362,0.0432494,0.0355524,0.0214068,0.0201103,0.0575694,0.0315889,0.0312669,0.0387332,0.0473595,0.032085,0.0338853,0.0352135,0.0240769,0.0306512,0.0125267,0.0450669,0.0158457,0.0273573,0,0.0286414,0.0357676,0,0,0.0114483,0,0,0.0426013,0.0458904,0.0483329,0.0270754,0.0215248,0.0601374,0.0692538,0,0.0711442,0.0724221,0.0339323,0.0573067,0.0349772,0.0392502,0.0644759,0.0205762,0.04064,0.0373596,0.0252214,0.0592342,0.0641472,0,0,0,0,0.0340316,0,0
29,0.0403937,0,0,0,0,0.0545345,0,0,0,0,0,0,0.0566415,0,0.0232748,0,0,0.00880619,0,0,0.0288848,0.0436142,0.0356536,0.0215562,0.0200307,0.0576461,0.0312858,0.031305,0.0387712,0.047732,0.0324128,0.0338163,0.0350557,0.0240377,0.0307991,0.0125573,0.0450405,0.0158286,0.0272927,0,0.0285111,0.0360892,0,0,0.0118098,0,0,0.0443823,0.0457545,0.0482755,0.0272747,0.0216954,0.0600638,0.0692174,0,0.07095,0.0721802,0.0338652,0.057393,0.0350737,0.0393406,0.0644413,0.0207842,0.0410183,0.0407938,0.0291718,0.0595786,0.0638152,0,0,0,0,0.0339846,0,0
30,0.0408679,0,0,0,0,0.053776,0,0,0,0,0,0,0.054126,0,0.0225813,0,0,0.00886475,0,0,0.0286759,0.0397613,0.034659,0.023642,0.0185232,0.0588996,0.0315992,0.0311846,0.0390068,0.0452745,0.029085,0.0344398,0.0362517,0.0245766,0.0299261,0.0137158,0.0451538,0.0158255,0.0280982,0,0.0290091,0.0355964,0,0,0.011902,0,0,0.0421049,0.0489636,0.0484291,0.019743,0.0233794,0.0595326,0.0687816,0,0.0718771,0.0737214,0.0347178,0.0585347,0.0362833,0.0399065,0.0649331,0.0213632,0.0401715,0.0364726,0.0246377,0.0585666,0.0647216,0,0,0,0,0.0322467,0,0.03667
31,0.0364005,0,0,0,0,0,0,0,0,0,0,0,0.0562859,0,0.0232731,0,0,0.0103613,0,0,0.028367,0.0426812,0.0350253,0.0218424,0.0195314,0.0572688,0.029253,0.0317607,0.039176,0.0468386,0.0310321,0.0339199,0.0354888,0.0239839,0.0301459,0.0123889,0.0441399,0.0150634,0.0273467,0,0.0287005,0.0345901,0,0,0.0126956,0,0,0.0384708,0.046239,0.0483369,0.026316,0.021164,0.0596555,0.069585,0,0.0723081,0.0723673,0.0351074,0.0566329,0.0351869,0.0387413,0.0638286,0.0217877,0.0421836,0.030721,0.0173137,0.0641297,0.0628374,0,0,0,0,0.0329606,0,0
32,0.0358385,0,0,0,0,0,0,0,0,0,0,0,0.0562015,0,0.0232343,0,0,0.0103912,0,0,0.028457,0.0428295,0.0350892,0.0220682,0.019334,0.0575147,0.0292425,0.0318481,0.0392879,0.0470608,0.0311185,0.0338082,0.03544,0.0240119,0.0302082,0.0124464,0.043911,0.0150499,0.0273506,0,0.0286973,0.0349409,0,0,0.0129794,0,0,0.0396868,0.0460923,0.0484638,0.0261028,0.0212764,0.0596393,0.0695128,0,0.0724167,0.0722774,0.0351044,0.056783,0.0351132,0.0392462,0.0637832,0.0217135,0.0424912,0.0333242,0.020119,0.0644401,0.0625521,0,0,0,0,0.0331074,0,0
33,0.0395589,0,0,0,0,0.0556168,0,0,0,0,0,0,0.0541387,0,0.0224793,0,0,0.00897964,0,0,0.0288714,0.0404238,0.0347841,0.0240211,0.0179934,0.0595254,0.0309414,0.0312306,0.0393424,0.0461056,0.0295185,0.0341101,0.0360515,0.0246074,0.0302035,0.0138308,0.0443755,0.0157861,0.0279513,0,0.0288899,0.0368032,0,0,0.0122862,0,0,0.0463014,0.0483594,0.0485054,0.0200718,0.0237884,0.0597246,0.0684836,0,0.0720215,0.0732502,0.0346737,0.058874,0.036554,0.0405504,0.0646816,0.0212933,0.0410935,0.0454468,0.0342163,0.0593124,0.0637556,0,0,0,0,0.0327232,0,0.0371495
34,0.0383418,0,0,0,0,0.0573148,0,0,0,0,0,0,0.0561665,0,0.0228201,0,0,0.00907212,0,0,0.0291025,0.0439028,0.0356621,0.022978,0.0186565,0.0589882,0.0303412,0.0317722,0.0396564,0.0484617,0.0323589,0.033495,0.0350296,0.0242244,0.0311616,0.0129657,0.0439127,0.0158296,0.0267756,0,0.0285078,0.0379781,0,0,0.0128189,0,0,0.0505363,0.045179,0.0488119,0.0252762,0.0231921,0.0598784,0.06851,0,0.071853,0.0717063,0.0338516,0.0580804,0.0358962,0.0400155,0.06398,0.0221201,0.0421866,0.0550717,0.0431578,0.0605771,0.0622612,0,0,0,0,0.0331939,0,0
35,0.0383881,0,0,0,0,0.0577523,0,0,0,0,0,0,0.0543236,0,0.0222199,0,0,0.0090648,0,0,0.0289359,0.0410299,0.0350973,0.0242673,0.0176803,0.0600827,0.0302897,0.0309274,0.0395434,0.0469439,0.0300655,0.0339015,0.0356599,0.0244607,0.030488,0.0139193,0.0440462,0.0157042,0.0278614,0,0.0286166,0.0379426,0,0,0.012914,0,0,0.0500509,0.0477538,0.0483695,0.0206345,0.0243119,0.0600518,0.0681988,0,0.0718647,0.0729658,0.0344945,0.0592455,0.0369716,0.0407496,0.0647016,0.0215716,0.041706,0.0534163,0.0427105,0.0600028,0.0628916,0,0,0,0,0.0325443,0,0.0368156
36,0.037621,0,0,0,0,0.0585934,0,0,0,0,0,0,0.0544064,0,0.0217629,0,0,0.00907003,0,0,0.0291112,0.0413137,0.0352575,0.0246122,0.0174552,0.0603625,0.0299322,0.0305353,0.039677,0.0473887,0.0302949,0.0337264,0.0354103,0.0243364,0.0306155,0.0140144,0.0437154,0.0157404,0.0281622,0,0.028662,0.0385041,0,0,0.0133434,0,0,0.0523023,0.0474194,0.0485386,0.0208818,0.0245556,0.0602374,0.068125,0,0.0718805,0.0727654,0.0344805,0.0592778,0.0370687,0.040757,0.0663246,0.0214881,0.0421323,0.0583401,0.0476779,0.060537,0.0625051,0,0,0,0,0.0326366,0,0.0377498
37,0.0366642,0,0,0,0,0.0592381,0,0,0,0,0,0,0.0545156,0,0.021472,0,0,0.00900599,0,0,0.0292864,0.0416281,0.0354638,0.0250906,0.0172729,0.0607086,0.0295781,0.0302589,0.0398096,0.047887,0.0306082,0.0335274,0.035189,0.024222,0.0307429,0.0141027,0.0433445,0.0157359,0.0283928,0,0.0287207,0.0390546,0,0,0.0138356,0,0,0.0547431,0.0471375,0.0486853,0.0211988,0.0247012,0.060477,0.0680738,0,0.0719178,0.0725947,0.0344492,0.0592706,0.037104,0.04073,0.0688423,0.0214895,0.042664,0.0637734,0.0530846,0.0611299,0.0620834,0,0,0,0,0.0330655,0,0.0384296
38,0.035823,0,0,0,0,0.0598229,0,0,0,0,0,0,0.0545954,0,0.0214578,0,0,0.00900325,0,0,0.0293926,0.0419161,0.035673,0.0254132,0.0171917,0.0610544,0.0293522,0.0301491,0.0399513,0.0482943,0.0309053,0.0333921,0.0350438,0.0242926,0.0309,0.0141569,0.0429338,0.0156873,0.0281039,0,0.0286584,0.039412,0,0,0.0143193,0,0,0.0569925,0.0468968,0.0487172,0.0211619,0.0250736,0.0606436,0.068029,0,0.0718545,0.0724554,0.0341996,0.0595867,0.0374297,0.0410356,0.0667782,0.0216913,0.0432141,0.0689144,0.0581427,0.0616058,0.061734,0,0,0,0,0.033538,0,0.0390831
