Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,RTHIA,RTHI,RTHII,x74,,x77
525,0.0465173,0,0,0,0,0.0410236,0,0,0,0,0,0,0.0346931,0,0.0322027,0.0327099,0,0,0.0146791,0,0,0.036395,0.0448812,0.0277356,0.0254903,0.0212195,0.0342022,0.0193698,0.0318726,0.0293289,0.0397597,0.0381482,0.0391899,0.0426019,0.0271716,0.0302073,0.0185753,0.0554781,0,0.0194366,0.0290672,0,0.0244868,0.051681,0.0461302,0,0,0.0137271,0,0,0.0320375,0.048904,0.0365889,0.020006,0.0183775,0.0305343,0.0318265,0.0316675,0.063746,0.0437309,0.0490523,0.0726062,0.0139285,0.049873,0.0337109,0.0204544,0.0468482,0.061817,0,0,0,0.0585435,0.0417306,0.0478377,0,0,0
526,0.0457709,0,0,0,0,0.0410688,0,0,0,0,0,0,0.0347432,0,0.0321822,0.032644,0,0,0.01466,0,0,0.0363037,0.044871,0.0277749,0.0255075,0.0212473,0.0342946,0.0195326,0.0317032,0.0293302,0.0397661,0.0381456,0.0391243,0.0425463,0.0271816,0.0302448,0.0185471,0.0553759,0,0.0194676,0.0292141,0,0.0244308,0.0516825,0.0462117,0,0,0.0137339,0,0,0.0320932,0.0488083,0.0366711,0.0199816,0.0183327,0.0305508,0.0318304,0.0317132,0.0637534,0.0438249,0.0490828,0.0725387,0.013829,0.0498921,0.0336464,0.020108,0.0469474,0.0617801,0,0,0,0.0585698,0.0416615,0.0477707,0,0,0
527,0.0458114,0,0,0,0,0.0411929,0,0,0,0,0,0,0.0347428,0,0.0321746,0.0324948,0,0,0.0148187,0,0,0.0361529,0.0448084,0.027578,0.0255683,0.0213518,0.0341969,0.0194566,0.0316703,0.0293873,0.0395461,0.0380136,0.0391285,0.0425564,0.0272498,0.0302773,0.0184946,0.0555044,0,0.0195313,0.0304056,0,0.0245153,0.0513664,0.0461925,0,0,0.013625,0,0,0.0320879,0.0483837,0.036556,0.020068,0.0184024,0.0305969,0.0316649,0.0316534,0.0642177,0.0442475,0.0493755,0.072549,0.0134065,0.0500467,0.033713,0.0197193,0.0470677,0.0616036,0,0,0,0.0586912,0.041362,0.0473512,0,0,0
528,0.0448705,0,0,0,0,0.0412832,0,0,0,0,0,0,0.0354183,0,0.031931,0.0317968,0,0,0.0149476,0,0,0.0360794,0.0446913,0.0261461,0.0254215,0.0218318,0.0342135,0.0192141,0.0322489,0.0294618,0.0387285,0.0378229,0.0395061,0.0429,0.0276827,0.0305745,0.0173135,0.0558699,0,0.0193075,0.032601,0,0.0247259,0.050325,0.0462732,0,0,0.0135189,0,0,0.0319026,0.0477117,0.0362708,0.0205065,0.0189026,0.0307579,0.03123,0.0314179,0.0653461,0.0451572,0.0500206,0.0727845,0.0130423,0.0504189,0.0335987,0.0194966,0.0470725,0.061263,0,0,0,0.0589795,0.0410484,0.04663,0,0,0
529,0.0442627,0,0,0,0,0.0414428,0,0,0,0,0,0,0.0350621,0,0.0321136,0.0329588,0,0,0.0153091,0,0,0.035927,0.0456072,0.0278318,0.0257046,0.0215796,0.0334477,0.0190877,0.0321895,0.0297474,0.0398248,0.0382685,0.038815,0.042221,0.0270596,0.0301924,0.018109,0.0559893,0,0.0195157,0.0307233,0,0.0250455,0.0537619,0.0463808,0,0,0.0134744,0,0,0.0320652,0.0478696,0.0387997,0.0223675,0.0176902,0.0303253,0.0316137,0.0325516,0.0612798,0.0413402,0.0468848,0.0702434,0.0134827,0.0503288,0.0335601,0.0193058,0.0475768,0.060624,0,0,0,0.0612333,0.0423944,0,0,0,0
530,0.0436083,0,0,0,0,0.0416525,0,0,0,0,0,0,0.0348807,0,0.0320388,0.0326904,0,0,0.0149258,0,0,0.0361378,0.04522,0.0278558,0.0259543,0.0215643,0.0342881,0.0200882,0.0319743,0.0295742,0.0396767,0.0381299,0.0389114,0.0424057,0.0271571,0.030106,0.0184352,0.0553595,0,0.0195478,0.0290513,0,0.0243755,0.0512343,0.046096,0,0,0.0126046,0,0,0.0386422,0.0490038,0.0368512,0.0200132,0.0175571,0.0304737,0.0317659,0.0314562,0.0635779,0.0435425,0.0489467,0.0724869,0.0140227,0.0503269,0.0203907,0,0.0475111,0.0613228,0,0,0,0.0590434,0.0415846,0.0478588,0,0,0
531,0.0431926,0,0,0,0,0.0419167,0,0,0,0,0,0,0.0348166,0,0.0322047,0.0325747,0,0,0.0148775,0,0,0.0359573,0.0450539,0.0279144,0.0255408,0.021445,0.0342135,0.0202091,0.03173,0.0293914,0.0397713,0.0382019,0.0389192,0.0424485,0.0271535,0.0300748,0.0183624,0.0551978,0,0.0197678,0.0290644,0,0.0242256,0.0511329,0.0462593,0,0,0.0134928,0,0,0.0320505,0.0492132,0.0367844,0.0199958,0.0178169,0.0307334,0.0318787,0.0315865,0.0636548,0.0437389,0.0490257,0.0727026,0.0140152,0.0502459,0.0333791,0.0190489,0.0476961,0.0613758,0,0,0,0.0588121,0.0414108,0.047667,0,0,0
532,0.0440457,0,0,0,0,0.0415304,0,0,0,0,0,0,0.0362166,0,0.0327062,0.032916,0,0,0.0144738,0,0,0.0359846,0.0481271,0.0291254,0.0251627,0.0217468,0.0320728,0.0210585,0.0326476,0.0299603,0.041879,0.0400342,0.0379269,0.041261,0.0262233,0.0302104,0.0169681,0.054715,0,0.0196689,0.0276389,0,0.0239193,0,0.0459177,0,0,0.0152471,0,0,0.0203708,0.0457011,0.0402751,0.026093,0.016944,0.0277583,0.0328455,0.0308748,0.0610903,0.0415247,0.0467206,0.0703601,0.016217,0.0488924,0,0.00692995,0.0484354,0.0606783,0,0,0,0.0619475,0.0415286,0.0506938,0,0,0
533,0.0426047,0,0,0,0,0.042426,0,0,0,0,0,0,0.0348468,0,0.0322761,0.0324437,0,0,0.0148721,0,0,0.0354396,0.0451577,0.0279333,0.0255702,0.0215434,0.0343258,0.0204583,0.0316943,0.0293745,0.0397328,0.0381536,0.0388388,0.0424349,0.0270853,0.0300885,0.0183684,0.0549003,0,0.0199418,0.0291034,0,0.0241783,0.051156,0.0461142,0,0,0.0132202,0,0,0.0319616,0.0491744,0.0367414,0.0200593,0.017721,0.0307891,0.0319129,0.031633,0.0636163,0.0436432,0.048867,0.0725428,0.014021,0.0502732,0.033749,0.0183678,0.0481924,0.0611652,0,0,0,0.0588352,0.0411403,0.0474083,0,0,0
534,0.0420536,0,0,0,0,0.0427947,0,0,0,0,0,0,0.0348432,0,0.0322533,0.0324263,0,0,0.0148565,0,0,0.0351559,0.0451923,0.0279341,0.0255816,0.0215557,0.0344103,0.0206524,0.0317124,0.0294294,0.0397293,0.0380949,0.038823,0.042439,0.0270625,0.0301259,0.0184045,0.054794,0,0.0197712,0.0289454,0,0.0240991,0.0511716,0.045929,0,0,0.0129913,0,0,0.032038,0.0491902,0.0367351,0.0200492,0.0177221,0.0307626,0.031999,0.0316865,0.063578,0.0435644,0.0487947,0.0723941,0.0140656,0.0503004,0.0338369,0.0182328,0.0485864,0.0609558,0,0,0,0.0588439,0.0408886,0.0474131,0,0,0
535,0.0424684,0,0,0,0,0.0426211,0,0,0,0,0,0,0.0348545,0,0.03215,0.0323261,0,0,0.0150697,0,0,0.0347581,0.0453914,0.0278396,0.0259041,0.0217171,0.0346436,0.0210461,0.0320052,0.0295745,0.0396254,0.0380681,0.0388447,0.0424389,0.0270538,0.0301235,0.0184778,0.0552159,0,0.0197,0.029129,0,0.0242928,0.0512607,0.0451911,0,0,0.0146694,0,0,0.019638,0.0489482,0.0367626,0.0199196,0.0177228,0.0306356,0.0313827,0.0316762,0.06347,0.0434205,0.0487104,0.0722807,0.0139588,0.0497718,0,0.0070569,0.048602,0.0607912,0,0,0,0.0589512,0.0410177,0.0475204,0,0,0
536,0.0421541,0,0,0,0,0.0429726,0,0,0,0,0,0,0.0348294,0,0.0321514,0.0323747,0,0,0.0151529,0,0,0.0345993,0.045382,0.0278028,0.025942,0.0217526,0.0346398,0.0210773,0.0320301,0.0295986,0.0396035,0.0380936,0.0388536,0.0424284,0.0270044,0.0301517,0.0185466,0.0550654,0,0.0196496,0.0291728,0,0.0243007,0.0515441,0.0449346,0,0,0.0146676,0,0,0.0186901,0.0489592,0.0367514,0.0198351,0.0178561,0.0306641,0.0314529,0.0318403,0.0633927,0.0433581,0.0486955,0.072221,0.0139015,0.0496846,0,0.0075045,0.0490064,0.0606152,0,0,0,0.058915,0.0411116,0.0477621,0,0,0
537,0.0422416,0,0,0,0,0.0430447,0,0,0,0,0,0,0.03501,0,0.03243,0.0327794,0,0,0.0155363,0,0,0.0344078,0.0457881,0.0279665,0.0255234,0.0216924,0.0338037,0.0206837,0.0320138,0.0297172,0.0400657,0.0384243,0.0386503,0.0421591,0.0268166,0.0302902,0.018255,0.0555094,0,0.019533,0.0293123,0,0.024517,0.0542196,0.0447535,0,0,0.0150507,0,0,0,0.0484324,0.038744,0.0218933,0.0179798,0.0307286,0.0319676,0.0331809,0.0607024,0.040871,0.0464872,0.0700282,0.0138376,0.0496396,0,0.00243298,0.0494163,0.0599427,0,0,0,0.0609016,0.0420198,0,0,0,0
538,0.0411225,0,0,0,0,0.0437939,0,0,0,0,0,0,0.0348908,0,0.0321402,0.0323816,0,0,0.0151314,0,0,0.0346173,0.0454577,0.0278916,0.0259068,0.0218515,0.0346947,0.0213919,0.0320637,0.029692,0.0397147,0.0382085,0.0388027,0.042368,0.0269178,0.0301711,0.0185905,0.0546649,0,0.0199045,0.028735,0,0.0242922,0.051696,0.044365,0,0,0.0150169,0,0,0.0188126,0.0489888,0.0368782,0.0197901,0.0179355,0.0307737,0.0318072,0.0320643,0.0632046,0.0430195,0.0485431,0.0720986,0.0140653,0.049275,0,0.00762531,0.0498799,0.0602701,0,0,0,0.0588787,0.0411199,0.0476018,0,0,0
539,0.0413915,0,0,0,0,0.0438605,0,0,0,0,0,0,0.0363027,0,0.0327968,0.0326946,0,0,0.0147172,0,0,0.0350534,0.0483492,0.0290795,0.025056,0.0219477,0.032399,0.0222681,0.0327098,0.0301504,0.0419435,0.0401189,0.0378567,0.0412142,0.0261034,0.0303598,0.0171935,0.0537156,0,0.0198798,0.0272898,0,0.0237021,0,0.0441709,0,0,0.0161338,0,0,0,0.0456186,0.040128,0.0259333,0.0173431,0.0279157,0.0336752,0.0314205,0.0608602,0.0412378,0.046528,0.0698868,0.0162545,0.0482654,0,0.00240872,0.0509795,0.0595955,0,0,0,0.0617571,0.0411684,0.0504309,0,0,0
540,0.0407369,0,0,0,0,0.0444791,0,0,0,0,0,0,0.0364493,0,0.0327005,0.032655,0,0,0.01465,0,0,0.0351761,0.0484655,0.0292326,0.0251379,0.0220056,0.0325375,0.0224307,0.0327838,0.0302813,0.0420451,0.0400999,0.0377676,0.0411212,0.0260511,0.0303147,0.0171477,0.0532704,0,0.020103,0.0271517,0,0.0236375,0,0.0441811,0,0,0.0160047,0,0,0.0189771,0.0455634,0.0402937,0.0259986,0.0172866,0.0278992,0.0337538,0.0314023,0.0604982,0.0409653,0.046284,0.0697312,0.0163583,0.0478353,0,0.00771209,0.0515111,0.0592347,0,0,0,0.0618474,0.0412821,0.0505908,0,0,0
541,0.0399506,0,0,0,0,0.0451631,0,0,0,0,0,0,0.0351371,0,0.0321174,0.032195,0,0,0.0150821,0,0,0.0349006,0.0456148,0.0281728,0.0258573,0.0218572,0.0349323,0.0221716,0.0320481,0.0298792,0.0399576,0.0382246,0.0386803,0.0422588,0.0269369,0.0301607,0.0185589,0.0537364,0,0.0202941,0.0287516,0,0.0239163,0.0512784,0.043659,0,0,0.0154825,0,0,0.0183552,0.0487832,0.0369605,0.0200475,0.0180047,0.0308109,0.0324968,0.031987,0.0628793,0.0428733,0.0482974,0.0718228,0.0141503,0.0484932,0,0.00779869,0.05117,0.059536,0,0,0,0.0589156,0.0412411,0.0475709,0,0,0
542,0.0398185,0,0,0,0,0.0454667,0,0,0,0,0,0,0.036427,0,0.032686,0.0325744,0,0,0.0147596,0,0,0.0351265,0.0484403,0.0294976,0.0252293,0.0219957,0.0327733,0.0228727,0.0326974,0.0303679,0.0421248,0.0401078,0.0378992,0.0411913,0.0261674,0.0304258,0.0173603,0.0527283,0,0.020227,0.0273305,0,0.0235845,0,0.0437268,0,0,0.0160612,0,0,0.0182122,0.0454378,0.040142,0.0260079,0.0173827,0.0280355,0.0340916,0.0313759,0.0607255,0.0410354,0.0462767,0.0696091,0.0162483,0.0475268,0,0.00755357,0.0523148,0.0585992,0,0,0,0.061838,0.0413591,0.0505587,0,0,0
543,0.0389936,0,0,0,0,0.0460753,0,0,0,0,0,0,0.0352434,0,0.03202,0.0323008,0,0,0.0151309,0,0,0.0347563,0.0456478,0.0285042,0.0259607,0.0218258,0.0351941,0.0228112,0.0319214,0.0299794,0.0400774,0.0382945,0.0388177,0.0422725,0.0270175,0.0303346,0.0186357,0.0530512,0,0.0203828,0.0285795,0,0.0242705,0.0510788,0.0432272,0,0,0.0155622,0,0,0.0173667,0.0487066,0.0368706,0.0200626,0.0181307,0.0309162,0.0331884,0.0320904,0.062988,0.0428257,0.0481892,0.0718245,0.0142189,0.0480323,0,0.00748703,0.0519784,0.0589974,0,0,0,0.0589094,0.041382,0.0477145,0,0,0
544,0.0374268,0,0,0,0,0.0476996,0,0,0,0,0,0,0.0353961,0,0.0322824,0.0324215,0,0,0.0173061,0,0,0.0452441,0.0460716,0.0290475,0.0256291,0.0217616,0.0349139,0.0245711,0.0320247,0.0302522,0.0404779,0.0384569,0.0386234,0.0420588,0.0268742,0.0303372,0.0185781,0.0530482,0.0242306,0.0145391,0.0290153,0,0.0246739,0.0532135,0.0435997,0,0,0.0141057,0,0,0.0300538,0.0479361,0.038826,0.0222463,0.0181985,0.0312699,0.0340402,0.0333022,0.0603212,0.0403634,0.0459842,0.0696492,0.0141022,0.0485561,0.030145,0.0132947,0.0534681,0.0576979,0,0,0,0.0610842,0.0424905,0,0,0,0
545,0.0367281,0,0,0,0,0.0480746,0,0,0,0,0,0,0.0351792,0,0.0321627,0.0319792,0,0,0.0160497,0,0,0.0377123,0.0454678,0.0289297,0.0257365,0.0216551,0.03577,0.024063,0.0317337,0.0300685,0.0402166,0.0382367,0.0389,0.0424586,0.027161,0.0303616,0.018917,0.0517084,0,0.0222108,0.0281784,0,0.0241605,0.0504379,0.0436766,0,0,0.0140935,0,0,0.0299362,0.0487532,0.0366884,0.0201131,0.0183449,0.0314594,0.0344195,0.032262,0.0628754,0.042911,0.0482732,0.0718698,0.0144026,0.0485728,0.0297039,0.0129021,0.0536506,0.0583272,0,0,0,0.0588036,0.0414662,0.0476445,0,0,0
546,0.0365225,0,0,0,0,0.0487631,0,0,0,0,0,0,0.0353897,0,0.0321778,0.0323475,0,0,0.0173934,0,0,0.045178,0.0462094,0.0291753,0.0261177,0.0214332,0.0355068,0.0252328,0.0322698,0.0306018,0.0405778,0.0383533,0.0386523,0.0421202,0.026927,0.0304169,0.0188269,0.05264,0.0235863,0.0141613,0.0289046,0,0.024844,0.0529807,0.0430806,0,0,0.0138831,0,0,0.0343622,0.0476472,0.0388435,0.0228834,0.0182415,0.0311903,0.034794,0.0332532,0.0600175,0.0401909,0.0458416,0.0695625,0.0141392,0.0483265,0.0213656,0,0.0546304,0.0569457,0,0,0,0.0612482,0.042441,0,0,0,0
547,0.0356266,0,0,0,0,0.0493304,0,0,0,0,0,0,0.0351426,0,0.0321796,0.0320743,0,0,0.0171249,0,0,0.0451933,0.0455578,0.0290841,0.0259871,0.0205741,0.0364205,0.0263236,0.0316952,0.0302764,0.0404707,0.0382391,0.0389406,0.042494,0.0271619,0.0304987,0.0192155,0.0515674,0.0235664,0.0140651,0.0281055,0,0.0241662,0.0502032,0.0427103,0,0,0.0146604,0,0,0.0294852,0.0486812,0.0367339,0.0211754,0.0186267,0.0316731,0.0350264,0.032028,0.0627392,0.0428072,0.0481814,0.0717354,0.0143787,0.0479412,0.0292221,0.0123785,0.0549814,0.057531,0,0,0,0.058769,0.0409943,0.0476188,0,0,0
548,0.0350737,0,0,0,0,0.0496532,0,0,0,0,0,0,0.0351592,0,0.0320998,0.0319379,0,0,0.0157138,0,0,0.0363469,0.0455603,0.0290885,0.0259905,0.0203341,0.0365401,0.0251075,0.0317429,0.0303777,0.0404447,0.0382445,0.0390131,0.0425853,0.0272213,0.0305541,0.019296,0.0508772,0,0.0220549,0.0285823,0,0.0243342,0.0499943,0.0429449,0,0,0.0145649,0,0,0.0293493,0.0483957,0.0367019,0.0207445,0.0187236,0.031654,0.03546,0.031745,0.0629598,0.0430048,0.0482252,0.0716558,0.0142043,0.0481815,0.028575,0.011675,0.0554221,0.0571404,0,0,0,0.0588502,0.0411399,0.0474036,0,0,0
549,0.0348772,0,0,0,0,0.0500148,0,0,0,0,0,0,0.0352043,0,0.0319171,0.0319561,0,0,0.0158239,0,0,0.0366927,0.0457311,0.0290592,0.0263787,0.0204039,0.0364711,0.0257474,0.0319807,0.0306346,0.0404299,0.0382252,0.0389936,0.042565,0.0272014,0.0305791,0.0193859,0.0506782,0,0.0222698,0.0286744,0,0.0246152,0.0501044,0.0424278,0,0,0.0142106,0,0,0.0334411,0.0480974,0.0368688,0.0207442,0.0185168,0.0313743,0.0361154,0.031823,0.062845,0.0427911,0.0479806,0.0715695,0.0142336,0.04795,0.0212608,0,0.0559439,0.0567015,0,0,0,0.059114,0.0415251,0.0475484,0,0,0
550,0.034349,0,0,0,0,0.0505106,0,0,0,0,0,0,0.0351729,0,0.0320955,0.0318928,0,0,0.0140253,0,0,0.0368922,0.0456367,0.029224,0.0260683,0.0201754,0.0367099,0.0257968,0.0316612,0.0305897,0.0406717,0.0383305,0.0389497,0.042577,0.0271935,0.0306117,0.0194754,0.0503009,0,0.0219922,0.0284266,0,0.0244181,0.0499036,0.0425776,0,0,0.0147384,0,0,0.0288121,0.0482774,0.0367877,0.0205961,0.0187426,0.031803,0.0364121,0.0320351,0.0629459,0.0428994,0.0480565,0.0715937,0.0143424,0.0478819,0.0269514,0.00996735,0.0563654,0.0567011,0,0,0,0.058915,0.0414859,0.0475287,0,0,0
551,0.0338763,0,0,0,0,0.0511642,0,0,0,0,0,0,0.0351281,0,0.032157,0.0316536,0,0,0.018333,0,0,0.0445798,0.0456539,0.0293704,0.0260789,0.0200371,0.0370411,0.0280598,0.031645,0.0306773,0.0407933,0.0382892,0.0389018,0.0425222,0.027171,0.0306301,0.0195758,0.0503326,0.0224203,0.0137995,0.0282732,0,0.024415,0.0497657,0.0419097,0,0,0.0148709,0,0,0.0283534,0.0481813,0.0368422,0.0204893,0.0187978,0.0320847,0.0367202,0.0320543,0.0629542,0.0429639,0.0481165,0.0715867,0.0144384,0.0475213,0.0259179,0.00907662,0.0569084,0.0565322,0,0,0,0.0589845,0.041502,0.047496,0,0,0
552,0.0339624,0,0,0,0,0.0510863,0,0,0,0,0,0,0.0350746,0,0.032048,0.0314723,0,0,0.00927877,0,0,0.0398143,0.045624,0.0291678,0.0261632,0.0200206,0.036993,0.0258834,0.031788,0.0307367,0.0407151,0.0381439,0.0389619,0.0426113,0.0272433,0.0307369,0.0196622,0.0511801,0,0.0221324,0.0282625,0,0.0246156,0.0497269,0.0416152,0,0,0.0141047,0,0,0.0311896,0.0480306,0.0369497,0.020623,0.0187827,0.032088,0.037401,0.0321421,0.062961,0.0429778,0.0481272,0.071518,0.0144838,0.0472768,0.0201117,0,0.0569573,0.0562531,0,0,0,0.0591813,0.0416977,0.047555,0,0,0
553,0.0332621,0,0,0,0,0.0517021,0,0,0,0,0,0,0.0351073,0,0.0321409,0.0314602,0,0,0.00873374,0,0,0.0400462,0.0456188,0.0294448,0.0259542,0.0197929,0.0372147,0.0260201,0.0316556,0.0308246,0.0409065,0.0380641,0.0388139,0.0425389,0.0271046,0.0306923,0.0198023,0.0505103,0,0.0224233,0.0282365,0,0.0246874,0.0496853,0.041565,0,0,0.0144338,0,0,0.0270906,0.0480223,0.0370242,0.0204092,0.0188712,0.0323797,0.0376084,0.0322754,0.062837,0.0429782,0.0481265,0.07137,0.0145423,0.0473441,0.0234786,0.00708337,0.057473,0.0558851,0,0,0,0.0591864,0.0417233,0.0476065,0,0,0
554,0.0328002,0,0,0,0,0.0523897,0,0,0,0,0,0,0.0351334,0,0.0321583,0.0313656,0,0,0.0196855,0,0,0.0444599,0.0457228,0.0295869,0.0259161,0.019737,0.0373063,0.029094,0.0316501,0.030863,0.0410044,0.0381537,0.0388198,0.0425429,0.0271341,0.030786,0.0198436,0.0495614,0.0219483,0.0135519,0.0280413,0,0.0246511,0.0496155,0.0408961,0,0,0.0141162,0,0,0.0264033,0.0479677,0.0369541,0.0203436,0.0188825,0.032498,0.0380175,0.0323299,0.0628006,0.0429435,0.0481924,0.0714665,0.0146398,0.0471853,0.0222674,0.00620074,0.0581283,0.0558031,0,0,0,0.0591387,0.0417256,0.0475511,0,0,0
555,0.032529,0,0,0,0,0.0527027,0,0,0,0,0,0,0.0351516,0,0.0321261,0.0313841,0,0,0.0200648,0,0,0.0442212,0.0457499,0.0297113,0.0259423,0.0196663,0.0371555,0.0296013,0.0316237,0.0309499,0.0410594,0.0382105,0.0388337,0.0425502,0.0271566,0.0308356,0.0199054,0.0495057,0.0215591,0.013447,0.028077,0,0.0246873,0.0496869,0.0406057,0,0,0.0137189,0,0,0.0258585,0.0479339,0.0370334,0.0204903,0.0189649,0.0324633,0.038352,0.0324086,0.0627579,0.0428123,0.048103,0.0714596,0.0146578,0.047088,0.0207603,0.00490537,0.0585151,0.0557801,0,0,0,0.0591366,0.041772,0.0475834,0,0,0
556,0.0322563,0,0,0,0,0.0530242,0,0,0,0,0,0,0.0351811,0,0.0321265,0.0313589,0,0,0.0204361,0,0,0.0439696,0.0458153,0.0297048,0.0259174,0.0196634,0.037192,0.0300468,0.0316114,0.0309956,0.041098,0.0382581,0.0389019,0.0425714,0.0272386,0.0308657,0.019923,0.049487,0.0211253,0.0132356,0.0280193,0,0.0247156,0.0497282,0.0401551,0,0,0.01322,0,0,0.0254481,0.0478767,0.0370843,0.0205447,0.0190569,0.0324139,0.038599,0.0324337,0.0627719,0.0428318,0.0480461,0.0714887,0.0147159,0.0470802,0.0190315,0.00348917,0.058853,0.0556753,0,0,0,0.0591576,0.0418598,0.0476165,0,0,0
557,0.0319944,0,0,0,0,0.053253,0,0,0,0,0,0,0.0352265,0,0.0320875,0.0313678,0,0,0.0207604,0,0,0.0437569,0.0458976,0.0296799,0.0258564,0.0196683,0.0372813,0.030435,0.0315634,0.0310002,0.0411617,0.0383135,0.0389483,0.0425957,0.0272779,0.0308739,0.0199155,0.0494934,0.0207622,0.0130193,0.0279698,0,0.0247334,0.0498375,0.0396867,0,0,0.0126988,0,0,0.0251454,0.0477969,0.0371525,0.0204039,0.0191086,0.0323236,0.0388658,0.0324421,0.0628162,0.0428687,0.0480091,0.0714311,0.0147994,0.0470586,0.0171596,0.00195379,0.0591408,0.0556496,0,0,0,0.0592116,0.041898,0.0476934,0,0,0
558,0.0321048,0,0,0,0,0.0533269,0,0,0,0,0,0,0.0367735,0,0.0324754,0.0319476,0,0,0.020989,0,0,0.0438622,0.0488189,0.030935,0.025399,0.0199989,0.0346084,0.0311491,0.0323869,0.0315335,0.0432829,0.0402139,0.0381099,0.0415235,0.0263927,0.0309579,0.0185088,0.0488254,0.0204087,0.0128466,0.0268048,0,0.0245531,0,0.0396895,0,0,0.0128597,0,0,0.0252436,0.0444872,0.0405376,0.0260735,0.0182956,0.0290896,0.0403035,0.0317431,0.0603481,0.0407774,0.0457714,0.0690564,0.0168074,0.0461571,0.0151646,0.00118583,0.0602103,0.055033,0,0,0,0.0622706,0.0421175,0.0507998,0,0,0
559,0.0319078,0,0,0,0,0.0534804,0,0,0,0,0,0,0.036928,0,0.0322476,0.0320597,0,0,0.0211556,0,0,0.0439336,0.0490029,0.030829,0.0258416,0.0201084,0.0342815,0.0314743,0.0326978,0.0317047,0.043253,0.0401461,0.0380887,0.0414866,0.0263937,0.0309546,0.0184155,0.0487084,0.019879,0.0128978,0.026589,0,0.0248212,0,0.039553,0,0,0.0123202,0,0,0.0230768,0.0443273,0.0407677,0.0263711,0.0180626,0.0289406,0.0405333,0.0317921,0.0599956,0.0403506,0.04546,0.0688827,0.0169894,0.0460919,0.0166886,0,0.0605347,0.0550067,0,0,0,0.0625643,0.0424326,0.0510887,0,0,0
560,0.0319881,0,0,0,0,0.0534787,0,0,0,0,0,0,0.0371408,0,0.0325005,0.0324027,0,0,0.021606,0,0,0.0437307,0.0496621,0.0308802,0.025409,0.0199725,0.0333159,0.0309322,0.0328174,0.031931,0.0439431,0.0406187,0.0378402,0.0411746,0.0262364,0.0311028,0.0180212,0.0494613,0.0193011,0.0127926,0.0266247,0,0.0255278,0,0.0396888,0,0,0.0114835,0,0,0.0219985,0.0438166,0.0433768,0.0289532,0.0188723,0.0291513,0.0410341,0.0335968,0.0568403,0.0376081,0.0428975,0.0663228,0.0169737,0.0465327,0.016092,0,0.0608889,0.0542584,0,0,0,0.0649115,0.0436316,0,0,0,0
561,0.0318508,0,0,0,0,0.0536218,0,0,0,0,0,0,0.0370427,0,0.032339,0.0321742,0,0,0.0214852,0,0,0.0438484,0.0489525,0.0307261,0.0253132,0.0197675,0.0338685,0.0320984,0.0322048,0.0314261,0.0436589,0.0404506,0.0381458,0.0416152,0.0263992,0.0309924,0.0183761,0.0490878,0.0184972,0.0130041,0.0258616,0,0.0246082,0,0.0390825,0,0,0.0109573,0,0,0.0244894,0.044822,0.0408248,0.0263252,0.0182985,0.0286727,0.0414223,0.032175,0.0598167,0.040364,0.0454943,0.0688737,0.017341,0.0460446,0.0105679,0.00577797,0.0607835,0.0554804,0,0,0,0.0622128,0.0421965,0.0511892,0,0,0
562,0.0323222,0,0,0,0,0.0536791,0,0,0,0,0,0,0.036289,0,0.0317448,0,0,0,0.0214819,0,0,0.0438282,0.047138,0.0322494,0.0278668,0.0181166,0.0313436,0.0320865,0.0313035,0.03369,0.0442234,0.0382951,0.0364097,0.0396426,0.0250834,0.0305396,0.0191543,0.0492793,0.0175366,0.0130498,0.0270517,0,0.0243499,0,0.0388689,0,0,0.0104678,0,0,0.0241121,0.0454047,0.0399414,0.0281345,0.0196753,0.0262232,0.0418758,0.0352889,0.0586075,0.0393563,0.044833,0.068007,0.0154839,0.0457956,0.00918626,0.00758241,0.0616415,0.0545037,0,0,0,0.0639455,0,0.0524273,0,0,0
563,0.0317993,0,0,0,0,0.0538824,0,0,0,0,0,0,0.0370967,0,0.0322937,0.0324128,0,0,0.0215082,0,0,0.0436901,0.048888,0.0306887,0.0251131,0.0196942,0.0332811,0.0326159,0.0320239,0.0312996,0.0436936,0.0405329,0.0382587,0.0416986,0.0264658,0.0310834,0.0184518,0.0492038,0.0168722,0.0131302,0.025904,0,0.0246364,0,0.0385984,0,0,0.00945104,0,0,0.0238088,0.0450331,0.0408292,0.0265671,0.0182678,0.0280091,0.0415104,0.0323618,0.0596611,0.0403668,0.0454549,0.0688362,0.0173365,0.0459875,0.00833427,0.00913525,0.0610992,0.0563358,0,0,0,0.0621535,0.0417964,0.0511538,0,0,0
