Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,RTHIA,RTHI,RTHII,x74,,x77
15,0.0393174,0,0,0,0,0.0494975,0,0,0,0,0,0,0.0383301,0,0.0336051,0.0335695,0,0,0.0206707,0,0,0.0442731,0.0478709,0.0354141,0.0239477,0.0214414,0.0279982,0.0287175,0.0339567,0.0322088,0.0445313,0.042505,0.0403889,0.0437896,0.0274082,0.033601,0.0235858,0.0585493,0.0161153,0.0114197,0.0279128,0,0.0284628,0,0.04012,0,0,0.00823715,0,0,0.0225508,0.0463568,0.046878,0.0317999,0.0213106,0.0248537,0.044428,0.0373944,0.0584581,0.0386347,0.0440326,0.0657651,0.0154914,0.045998,0.0151289,0.0121468,0.0622637,0.0592461,0,0,0,0.0684573,0,0,0,0,0
16,0.038961,0,0,0,0,0.0496493,0,0,0,0,0,0,0.0383693,0,0.0334947,0.0333448,0,0,0.0209848,0,0,0.0441209,0.0488422,0.0351534,0.0238423,0.021402,0.02815,0.0284995,0.0340829,0.0322715,0.0443364,0.0423855,0.0403901,0.0438638,0.0274649,0.0336374,0.0233732,0.0584541,0.016343,0.0112725,0.0278572,0,0.0284405,0,0.0401708,0,0,0.00835011,0,0,0.0225442,0.0462808,0.0468663,0.0315171,0.0213074,0.024926,0.0439606,0.0374082,0.0584678,0.0386561,0.0440421,0.0658216,0.0155563,0.0461481,0.0144489,0.0115445,0.062429,0.0589768,0,0,0,0.0685176,0,0,0,0,0
17,0.0387075,0,0,0,0,0.0498542,0,0,0,0,0,0,0.0396341,0,0.0341186,0.0305683,0,0,0.020652,0,0,0.0443444,0,0.0348326,0.024103,0.0232014,0.0298663,0.0290683,0.0369437,0.032375,0.0449895,0.0447695,0.0407056,0.0438857,0.0275441,0.034009,0.0217849,0.0578652,0.0165465,0.0107774,0.0272191,0,0.0279144,0,0.039751,0,0,0.00878469,0,0,0.0229992,0.0421799,0.0475648,0.0323439,0.0198759,0.0232155,0.0425328,0.0358174,0.0577502,0.0379332,0.0434967,0.0653248,0.0167001,0.0466624,0.0138899,0.0107331,0.0626204,0.0584893,0,0,0,0.0709131,0,0,0,0,0
18,0.0384108,0,0,0,0,0.0499512,0,0,0,0,0,0,0.0380994,0,0.0335203,0.0326566,0,0,0.021137,0,0,0.0442392,0.0494309,0.0350184,0.023455,0.0214387,0.0285539,0.0278308,0.0343388,0.032474,0.0439681,0.0422589,0.0403162,0.043642,0.0274527,0.0335145,0.0235014,0.0584497,0.0168763,0.0103664,0.0277743,0,0.0282747,0,0.0401526,0,0,0.00887885,0,0,0.022829,0.0459805,0.0464974,0.0299911,0.0212477,0.0252633,0.0427974,0.0376048,0.0585143,0.038693,0.0441492,0.0658649,0.0156496,0.0466186,0.013076,0.0101264,0.0624632,0.0582459,0,0,0,0.068912,0,0,0,0,0
19,0.0379861,0,0,0,0,0.049863,0,0,0,0,0,0,0.0377818,0,0.0333599,0.0293032,0,0,0.021208,0,0,0.0442069,0,0.0328002,0.0241457,0.0226386,0.0328697,0.0284516,0.0354385,0.0312642,0.0420139,0.0424306,0.0418649,0.0452981,0.0288352,0.0340565,0.0232017,0.058608,0.0171378,0.00994436,0.0279946,0,0.0277331,0.0581192,0.0394623,0,0,0.00981368,0,0,0.0227864,0.0464248,0.0433353,0.0238488,0.0202202,0.0274356,0.0398011,0.0360429,0.0610873,0.0407276,0.0464626,0.0684393,0.0147536,0.0481183,0.0135269,0.0102312,0.0609698,0.058979,0,0,0,0.0666337,0,0,0,0,0
20,0.0377478,0,0,0,0,0.049987,0,0,0,0,0,0,0.037635,0,0.0333232,0.0292353,0,0,0.0214706,0,0,0.0440613,0,0.0329073,0.024248,0.0225724,0.0332669,0.0284598,0.035486,0.0314306,0.0420177,0.0422401,0.0417327,0.0451088,0.0287882,0.0340066,0.0233202,0.0583134,0.0173342,0.00949411,0.0280038,0,0.0277004,0.0577835,0.0394731,0,0,0.00988516,0,0,0.0227246,0.0464706,0.0432727,0.0245558,0.020243,0.0277677,0.0393359,0.0360809,0.0610858,0.0407152,0.0464538,0.0684778,0.014735,0.0482812,0.0132934,0.00990288,0.0609177,0.0587459,0,0,0,0.066698,0,0,0,0,0
21,0.0372243,0,0,0,0,0.0504537,0,0,0,0,0,0,0.0367057,0,0.0327002,0.031907,0,0,0.0223359,0,0,0.043695,0.0475474,0.0339481,0.0241962,0.0207804,0.0321296,0.0275412,0.0334083,0.0321827,0.0414798,0.0396951,0.0408283,0.0446217,0.0280469,0.0330613,0.0249439,0.0584123,0.0176345,0.00940329,0.0290162,0,0.0287116,0.0550305,0.0398613,0,0,0.00988398,0,0,0.0227055,0.0494221,0.0431226,0.0244008,0.0216048,0.0289412,0.0397314,0.0379633,0.0612762,0.0409447,0.0464882,0.0687116,0.0138822,0.0479866,0.0132188,0.00986824,0.0612145,0.0583616,0,0,0,0.0653193,0,0,0,0,0
22,0.0370687,0,0,0,0,0.0505405,0,0,0,0,0,0,0.036723,0,0.032703,0.031604,0,0,0.0232142,0,0,0.0436094,0.0468657,0.0339537,0.0240158,0.0207798,0.0325762,0.0276964,0.0335495,0.0322876,0.0414992,0.0396837,0.040698,0.044453,0.0280007,0.0329944,0.0248921,0.0579239,0.0177242,0.0093473,0.0288802,0,0.0286802,0.0548921,0.0399995,0,0,0.010239,0,0,0.0228828,0.049087,0.0432075,0.0244495,0.0215672,0.0292287,0.0393327,0.0379249,0.0612496,0.0409366,0.0464625,0.0686897,0.0139369,0.0481285,0.0130536,0.00967085,0.0611278,0.0581419,0,0,0,0.0654482,0,0,0,0,0
23,0.0370758,0,0,0,0,0.0502978,0,0,0,0,0,0,0.0375885,0,0.0332607,0.0285864,0,0,0.0246439,0,0,0.0434082,0,0.0328295,0.0242016,0.0224801,0.034384,0.0290664,0.0358958,0.031869,0.0419471,0.0419824,0.0413814,0.044533,0.0285042,0.0338054,0.0231591,0.0566153,0.017719,0.00903375,0.0278005,0,0.0276635,0.0571812,0.0400288,0,0,0.0106524,0,0,0.0231012,0.0457041,0.0434004,0.0248389,0.020196,0.0284867,0.0382098,0.0360711,0.0610683,0.0407365,0.0464195,0.0685588,0.0149,0.0488764,0.0126764,0.00944582,0.060762,0.058135,0,0,0,0.0669416,0,0,0,0,0
24,0.0365661,0,0,0,0,0.0505077,0,0,0,0,0,0,0.0375289,0,0.0333184,0.0285517,0,0,0.026386,0,0,0.0433087,0,0.0328387,0.0245567,0.0225175,0.0346198,0.0295533,0.0360484,0.0319231,0.0419991,0.0420124,0.0412762,0.0443602,0.0284537,0.0337066,0.0231849,0.0551204,0.0177332,0.00876149,0.0278679,0,0.0276507,0.0570956,0.0406824,0,0,0.0109734,0,0,0.0232126,0.0456273,0.0432892,0.0243972,0.0201051,0.0283118,0.0380919,0.0359092,0.0612136,0.040817,0.0465003,0.0686235,0.0148737,0.049329,0.0125776,0.00944857,0.0608478,0.0581529,0,0,0,0.0668581,0,0,0,0,0
