Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,RTHII,RTHI,x74,
9,0.0473343,0,0,0,0,0.0462358,0,0,0,0,0,0,0.0380338,0,0.0333526,0.0421267,0,0,0.01302,0,0,0.0505897,0.0383459,0.0340244,0.0294553,0.015583,0.0250706,0.0348888,0.0266203,0.0347153,0.0422731,0.0341734,0.0371736,0.0419144,0.0251992,0.029412,0.0208033,0.0580235,0.0125298,0.0165487,0.028647,0,0.0285931,0.0569958,0.0406918,0,0,0.00893072,0,0,0.019717,0.0562826,0.0446962,0.0269628,0.0241446,0.0299376,0.0483204,0.0640754,0.0425882,0.0538064,0.0357731,0.0418001,0.0643273,0.0138393,0.0467301,0,0.0217057,0.0589962,0.0633535,0,0,0,0,0,0,0
10,0.0473564,0,0,0,0,0.0457056,0,0,0,0,0,0,0.0374935,0,0.0331447,0.0420676,0,0,0.0139539,0,0,0.0501262,0.0375911,0.0339458,0.029065,0.015435,0.0259071,0.0341539,0.0264595,0.0349426,0.04201,0.0335939,0.0371404,0.041865,0.025226,0.0293371,0.021327,0.0590396,0.013001,0.0168543,0.0303852,0,0.0315303,0.053949,0.0404177,0,0,0.0103094,0,0,0.01917,0.0567852,0.0450023,0.0259212,0.0224678,0.0308865,0.0466216,0.0635659,0.0414423,0.0543475,0.0348924,0.0419683,0.0659863,0.0120641,0.0477267,0,0.0222484,0.0579548,0.0630108,0,0,0,0,0,0,0
11,0.0471683,0,0,0,0,0.0461256,0,0,0,0,0,0,0.0375738,0,0.0331626,0.0423795,0,0,0.0130073,0,0,0.0505538,0.0376269,0.0336042,0.0287352,0.0156725,0.025438,0.0349133,0.0264429,0.0344976,0.0420065,0.0340491,0.0374439,0.0422669,0.0255497,0.0295608,0.0211029,0.0579205,0.0123445,0.0163445,0.0300037,0,0.03072,0.0542337,0.0406174,0,0,0.00959476,0,0,0.0184807,0.0569253,0.0443445,0.0257397,0.0227823,0.0306366,0.0477165,0.0630181,0.0414791,0.0547606,0.0355461,0.0423053,0.0660512,0.0126647,0.0467529,0,0.0210811,0.0584187,0.0637826,0,0,0,0,0,0,0
12,0.0478036,0,0,0,0,0.0462022,0,0,0,0,0,0,0.0376538,0,0.0331006,0.0423399,0,0,0.0131413,0,0,0.0504701,0.0380541,0.0335141,0.0286859,0.0159254,0.024835,0.0354218,0.0272935,0.0342542,0.0420628,0.0344359,0.0376147,0.0423835,0.0255818,0.0296811,0.0211224,0.0583366,0.0122728,0.016384,0.0278563,0,0.0274682,0.0556182,0.039755,0,0,0.0103051,0,0,0.0212046,0.0565214,0.0430703,0.0265388,0.0242794,0.030194,0.0498551,0.0632268,0.0424738,0.055133,0.0370146,0.042999,0.0654053,0.0141767,0.046052,0.0239103,0.0157221,0.0586047,0.064171,0,0,0,0,0,0,0
13,0.047666,0,0,0,0,0.0462072,0,0,0,0,0,0,0.0375327,0,0.03288,0.0423757,0,0,0.0132471,0,0,0.0503893,0.0378946,0.0333629,0.02876,0.0160254,0.0246743,0.0356156,0.0281348,0.0341672,0.0420212,0.0344399,0.0376775,0.0424461,0.0256458,0.0297959,0.0212687,0.0581991,0.0123094,0.0162981,0.0278585,0,0.0274506,0.0555386,0.0398846,0,0,0.0112163,0,0,0.0205201,0.0566577,0.0429716,0.0265724,0.0243457,0.0302398,0.0499928,0.0631425,0.042496,0.0551715,0.0371304,0.043077,0.0654569,0.0142566,0.0458413,0.0228397,0.0160389,0.0586107,0.0642621,0,0,0,0,0,0,0
14,0.0475977,0,0,0,0,0.046204,0,0,0,0,0,0,0.0374092,0,0.0326469,0.0424312,0,0,0.0134065,0,0,0.050282,0.0376493,0.033282,0.0284566,0.0163122,0.0246273,0.0355561,0.0282314,0.0339879,0.0419858,0.0344423,0.0377151,0.0425812,0.0257811,0.0298654,0.0214609,0.058056,0.0124015,0.0161063,0.0278073,0,0.0273731,0.0553992,0.0399234,0,0,0.0113097,0,0,0.0203775,0.0566596,0.0427762,0.0265471,0.0243417,0.0302403,0.0499291,0.0631081,0.0424309,0.0552997,0.0372565,0.0431696,0.065545,0.014438,0.0457634,0.0224927,0.0161823,0.0585345,0.0643503,0,0,0,0,0,0,0
15,0.047723,0,0,0,0,0.0460767,0,0,0,0,0,0,0.0379415,0,0.0330603,0.0393476,0,0,0.0133127,0,0,0.0501803,0,0.0318668,0.027584,0.0183061,0.0258838,0.0361595,0.0298055,0.0325748,0.0414819,0.036528,0.0388938,0.0435732,0.0268682,0.0307198,0.0205045,0.0576182,0.0123419,0.015865,0.026996,0,0.0266135,0.0568341,0.0396466,0,0,0.0115865,0,0,0.0205015,0.0537498,0.0427755,0.0265397,0.0231449,0.0289681,0.0492267,0.0643393,0.0407993,0.0552287,0.0371035,0.0432194,0.065607,0.0154335,0.0459019,0.0224455,0.016568,0.05837,0.0646386,0,0,0,0,0,0,0
16,0.0475024,0,0,0,0,0.0462088,0,0,0,0,0,0,0.037222,0,0.0327119,0.0420612,0,0,0.0138314,0,0,0.0498779,0.0390846,0.0327077,0.0284583,0.0167529,0.0244972,0.0353492,0.0280083,0.0336716,0.0415773,0.0353036,0.0381873,0.0429257,0.0262095,0.0300826,0.0214993,0.057875,0.0125652,0.0155575,0.0277625,0,0.0271613,0.054951,0.0398649,0,0,0.0113276,0,0,0.0204035,0.0566232,0.0422356,0.0264479,0.0243377,0.0300748,0.0495659,0.0632238,0.0423794,0.0555722,0.037556,0.0435142,0.0659455,0.0145844,0.0456262,0.0220556,0.0163362,0.0583934,0.064519,0,0,0,0,0,0,0
17,0.04954,0,0,0,0,0.0452565,0,0,0,0,0,0,0.0385332,0,0.0324646,0.0409774,0,0,0.0252663,0,0,0.0558259,0.0418318,0.030967,0.0264841,0.0164205,0.024829,0.0266075,0.0288529,0.0347689,0.040881,0.0353391,0.038127,0.0427321,0.0262748,0.0304598,0.0186513,0.0689311,0.0200327,0.012871,0.0278201,0,0.0277996,0.0541503,0.0358883,0,0,0.0114912,0,0,0.019863,0.0568738,0.0432434,0.029284,0.0250279,0.0324234,0.0479186,0.0649606,0.0437849,0.0543314,0.0365,0.0424671,0.0650828,0.0148618,0.0437613,0.0214702,0.0163029,0.0564179,0.0626698,0,0,0,0,0,0,0
18,0.0477755,0,0,0,0,0.0455411,0,0,0,0,0,0,0.0397795,0,0.0328698,0.0393947,0,0,0.0140698,0,0,0.050054,0,0.0300695,0.0269664,0.0182476,0.0256437,0.0342798,0.0310112,0.0333264,0.0413468,0.0371582,0.0388403,0.0432126,0.0269535,0.0313754,0.01711,0.0586864,0.0158326,0.0146868,0.0275685,0,0.0268684,0.0572732,0.0396615,0,0,0.0119651,0,0,0.0203656,0.0536026,0.0428107,0.0271692,0.0232026,0.0288369,0.0480809,0.0649368,0.0411504,0.0547684,0.036694,0.0428549,0.0654009,0.014861,0.0460157,0.0219278,0.0170414,0.0576854,0.0642936,0,0,0,0,0,0,0
