Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,RTHII,RTHI,x74,
397,0.0512195,0,0,0,0,0.0421569,0,0,0,0,0,0,0.05017,0,0.0329783,0.0306796,0,0,0.016686,0,0,0.0417482,0.048416,0.0395261,0.0230074,0.0186846,0.0488874,0.02178,0.0405301,0.0474181,0.0445831,0.034662,0.037574,0.0403201,0.0267811,0.0297907,0.0179888,0.0387659,0,0.0200642,0.0342349,0,0.0264735,0.0485579,0.0523387,0,0,0.0275642,0,0,0.0311178,0.0569894,0.0512306,0.01767,0.0226324,0.0377812,0.0489848,0.0558368,0.0356217,0.0586405,0.0418274,0.0451543,0.0656584,0.0158536,0.0314994,0.0290861,0.0165901,0.047426,0.0612174,0,0,0,0.0476327,0.0397082,0,0
398,0.0511442,0,0,0,0,0.0422459,0,0,0,0,0,0,0.0496542,0,0.0326977,0.0308085,0,0,0.0164952,0,0,0.0417663,0.0485418,0.0395565,0.0228053,0.0182129,0.0488529,0.0216384,0.0408419,0.0476955,0.0443313,0.0345504,0.0374249,0.0402523,0.02665,0.0298859,0.0183883,0.0387924,0,0.0200736,0.0347848,0,0.0262684,0.0486869,0.0523945,0,0,0.0275918,0,0,0.0310872,0.0570151,0.0514021,0.017437,0.0221063,0.0376012,0.0488778,0.0558799,0.0354599,0.0584558,0.0416133,0.0449827,0.0654992,0.0161438,0.0313923,0.0290952,0.0165787,0.0474802,0.061172,0,0,0,0.0475579,0.0395588,0,0
399,0.0510881,0,0,0,0,0.0423076,0,0,0,0,0,0,0.0490925,0,0.0323814,0.0309053,0,0,0.0163099,0,0,0.041784,0.0485795,0.0395167,0.0225489,0.0176159,0.0486921,0.021587,0.0411497,0.0479002,0.0440363,0.0344032,0.0371045,0.0400774,0.0264781,0.0299392,0.0183726,0.038839,0,0.0200749,0.0351612,0,0.0261494,0.0487975,0.0524363,0,0,0.0276458,0,0,0.0311543,0.0570669,0.0514554,0.017223,0.0214903,0.0375446,0.04879,0.0559692,0.0351603,0.0582983,0.0414225,0.0448593,0.0653606,0.016469,0.0313836,0.0290934,0.0165224,0.0474889,0.0611879,0,0,0,0.0475273,0.0393548,0,0
400,0.0510508,0,0,0,0,0.0423729,0,0,0,0,0,0,0.0484688,0,0.031801,0.0309128,0,0,0.016121,0,0,0.0418401,0.0483671,0.0391501,0.0222915,0.0169141,0.0484794,0.0215376,0.0414374,0.0480943,0.0437859,0.0342101,0.0366237,0.0396788,0.0261986,0.0298947,0.01826,0.03891,0,0.0201012,0.0354288,0,0.0259896,0.0488428,0.0524318,0,0,0.0276903,0,0,0.0312721,0.0571739,0.0515041,0.0169884,0.0207948,0.0375384,0.0486977,0.056059,0.0346805,0.0581271,0.0411911,0.0447598,0.0652106,0.0167948,0.0313742,0.0290796,0.0164568,0.0474684,0.0612706,0,0,0,0.0474856,0.0390029,0,0
401,0.0510193,0,0,0,0,0.0424389,0,0,0,0,0,0,0.0477561,0,0.0312276,0.030854,0,0,0.0159218,0,0,0.0419186,0.0482642,0.0380869,0.0221656,0.0161324,0.0482528,0.0215307,0.0416134,0.0483448,0.0436737,0.0339601,0.0360072,0.0390688,0.0258377,0.0298583,0.0182775,0.0389487,0,0.0201307,0.0356323,0,0.0258007,0.0487998,0.0524304,0,0,0.0277302,0,0,0.0313769,0.0572826,0.0515118,0.0167478,0.0201092,0.0375056,0.0485759,0.0561909,0.0342361,0.0579212,0.0409006,0.0446321,0.0650873,0.0170326,0.0313907,0.0291007,0.0164526,0.0474526,0.0613621,0,0,0,0.0474701,0.0385564,0,0
402,0.0509766,0,0,0,0,0.0424818,0,0,0,0,0,0,0.0469289,0,0.0308038,0.0307584,0,0,0.0156612,0,0,0.0419426,0.0481897,0.0365152,0.0222436,0.01538,0.0479985,0.0215504,0.041757,0.0486429,0.0435239,0.0336602,0.0354124,0.0383608,0.0255027,0.0300437,0.0183911,0.0390169,0,0.0201275,0.0359079,0,0.0255563,0.0487286,0.0524258,0,0,0.0277206,0,0,0.031365,0.0573987,0.0516167,0.0165275,0.0193987,0.0374182,0.0484131,0.056338,0.0338773,0.0576666,0.0405388,0.044447,0.0649869,0.0171999,0.0313163,0.0290843,0.0164561,0.0474751,0.0615101,0,0,0,0.0474826,0.0380958,0,0
403,0.050944,0,0,0,0,0.0425316,0,0,0,0,0,0,0.0454141,0,0.0302941,0.0307582,0,0,0.0154658,0,0,0.0418751,0.0479334,0.0343134,0.0226435,0.0146085,0.0477991,0.0215776,0.0418249,0.0489674,0.0433862,0.0332408,0.0349181,0.0379523,0.0251208,0.0301953,0.0186237,0.0391406,0,0.0200751,0.0361485,0,0.0254864,0.0485872,0.0524202,0,0,0.0276635,0,0,0.0312714,0.0574749,0.0517921,0.0162828,0.018701,0.0372082,0.0481457,0.0564673,0.0334544,0.0574434,0.0402497,0.0441601,0.0648235,0.0173372,0.0310751,0.0290827,0.0164483,0.0475372,0.0616641,0,0,0,0.047585,0.0379385,0,0
404,0.050944,0,0,0,0,0.04259,0,0,0,0,0,0,0.0426856,0,0.0297405,0.0309191,0,0,0.0152779,0,0,0.0417948,0.0474205,0.0318101,0.0232525,0.0139063,0.0476941,0.0215967,0.0418509,0.0491757,0.0431933,0.032728,0.034715,0.0380188,0.0245618,0.0299009,0.0189604,0.0392422,0,0.0200134,0.0362033,0,0.0253321,0.0483148,0.0523824,0,0,0.027625,0,0,0.0311528,0.0575398,0.051993,0.0159838,0.0179867,0.0368681,0.0478079,0.0565414,0.0329979,0.0571854,0.0399319,0.0438722,0.0646985,0.0174448,0.0310349,0.0290579,0.0164112,0.0476541,0.0612562,0,0,0,0.0477568,0.0376611,0,0
405,0.0509238,0,0,0,0,0.0426298,0,0,0,0,0,0,0.0391972,0,0.0295432,0.0311501,0,0,0.0151023,0,0,0.0416753,0.046848,0.0295971,0.0239723,0.0134111,0.0476715,0.0215988,0.0416994,0.0492217,0.0430655,0.0322655,0.0346986,0.038414,0.0238302,0.02922,0.0195876,0.0394645,0,0.0199194,0.0360787,0,0.0251306,0.0479857,0.0523211,0,0,0.0275023,0,0,0.0310589,0.0576219,0.0521745,0.0158315,0.0172807,0.0364415,0.0473801,0.0567988,0.0326665,0.0570246,0.0395713,0.043664,0.0645399,0.0173761,0.0311369,0.0290214,0.0163555,0.047772,0.0611238,0,0,0,0.0479536,0.0372579,0,0
406,0.0508693,0,0,0,0,0.0426139,0,0,0,0,0,0,0.0364344,0,0.0294635,0.0314327,0,0,0.0148843,0,0,0.0416012,0.0464063,0.0280454,0.0246624,0.0130871,0.0476423,0.0215952,0.0412118,0.0490593,0.0429508,0.0321527,0.0346375,0.0387981,0.0229608,0.0283707,0.0210261,0.0397766,0,0.0198647,0.0358401,0,0.025119,0.0476825,0.0521942,0,0,0.0273613,0,0,0.0309755,0.0577725,0.0524477,0.0158535,0.0165377,0.0359711,0.046877,0.0571417,0.0322623,0.0568417,0.0393056,0.0434956,0.0646573,0.0172044,0.0312895,0.0290294,0.0163402,0.0478611,0.0612477,0,0,0,0.0481873,0.0371206,0,0
407,0.0507672,0,0,0,0,0.0425972,0,0,0,0,0,0,0.0346833,0,0.0292759,0.0318325,0,0,0.0146637,0,0,0.0415532,0.0460943,0.0268902,0.0253195,0.0129297,0.0474986,0.0216014,0.0404196,0.048797,0.0429859,0.032553,0.0344595,0.0389657,0.0225363,0.0276618,0.0222616,0.0400937,0,0.0198245,0.0356086,0,0.0251689,0.0471325,0.0520298,0,0,0.0272356,0,0,0.030903,0.0580118,0.0528419,0.0158635,0.0157996,0.0355498,0.0463877,0.0575045,0.0317657,0.056712,0.0391317,0.0434094,0.0647725,0.0168214,0.0314607,0.0290908,0.0163358,0.0479579,0.0613649,0,0,0,0.0484399,0.0368807,0,0
408,0.0506854,0,0,0,0,0.0426004,0,0,0,0,0,0,0.0337703,0,0.0290767,0.0323413,0,0,0.0144326,0,0,0.0414634,0.0457564,0.0261334,0.0258231,0.012864,0.0472658,0.0216295,0.0397308,0.048482,0.0429617,0.0332251,0.0343905,0.0391544,0.022334,0.0273152,0.0228126,0.040263,0,0.0197838,0.0350999,0,0.025249,0.0464176,0.0518728,0,0,0.027165,0,0,0.0308082,0.0584227,0.0532155,0.0158468,0.0151193,0.0351581,0.0459531,0.0579939,0.0312692,0.0566172,0.0390569,0.0432949,0.0648345,0.0163595,0.0316647,0.0291497,0.0162744,0.0480413,0.0612978,0,0,0,0.0487326,0.0364655,0,0
409,0.0506783,0,0,0,0,0.0425195,0,0,0,0,0,0,0.0331583,0,0.0290593,0.0329297,0,0,0.0141988,0,0,0.0413564,0.0452672,0.0259422,0.0260865,0.0125814,0.0469599,0.0216568,0.0394555,0.0480629,0.0424283,0.033529,0.0343614,0.0394041,0.0221103,0.0272929,0.0227547,0.040601,0,0.0197536,0.0343463,0,0.0253617,0.0465484,0.0517108,0,0,0.0269445,0,0,0.0307095,0.0590802,0.0535629,0.0158506,0.0145568,0.0348708,0.0455372,0.0584887,0.0307867,0.056535,0.0390038,0.0430888,0.0649538,0.0159599,0.0319697,0.0291697,0.0161458,0.0480536,0.0616069,0,0,0,0.049105,0.0362579,0,0
410,0.0506409,0,0,0,0,0.0423182,0,0,0,0,0,0,0.0326208,0,0.029156,0.0333458,0,0,0.0139912,0,0,0.0412512,0.0447811,0.0264007,0.026058,0.0120389,0.0465814,0.0217482,0.0395101,0.0476412,0.0413609,0.0333311,0.0341663,0.0394954,0.0217391,0.0275524,0.0228929,0.0409989,0,0.0197423,0.0336251,0,0.0254923,0.0464886,0.0515426,0,0,0.0267323,0,0,0.0304867,0.0596877,0.0540015,0.0159429,0.0141148,0.0346723,0.0451233,0.0589477,0.0302342,0.0564982,0.0388688,0.0428782,0.0649606,0.0156979,0.0322803,0.0291771,0.0160804,0.0479766,0.0621532,0,0,0,0.049562,0.0361924,0,0
411,0.0505211,0,0,0,0,0.0420489,0,0,0,0,0,0,0.0317309,0,0.0293176,0.0333321,0,0,0.0138386,0,0,0.0411601,0.0442756,0.0272323,0.025823,0.0116373,0.0461646,0.0218371,0.039703,0.0473395,0.0401596,0.0328682,0.0336165,0.0393085,0.0212613,0.0278157,0.0238759,0.0413634,0,0.0197563,0.032824,0,0.0256755,0.0461272,0.0514177,0,0,0.0265192,0,0,0.0302057,0.0600195,0.0545686,0.0160999,0.0138989,0.0344806,0.0447295,0.059362,0.0296369,0.0565383,0.0386823,0.0425798,0.0649167,0.0158426,0.0323083,0.0292761,0.0161329,0.0478539,0.0626279,0,0,0,0.0500142,0.0359261,0,0
412,0.0504273,0,0,0,0,0.0417591,0,0,0,0,0,0,0.0303404,0,0.0294014,0.0328783,0,0,0.01372,0,0,0.0410559,0.0436952,0.028041,0.0255349,0.0115263,0.0456158,0.02199,0.0397349,0.0470287,0.0393522,0.0324936,0.0327505,0.0390095,0.0206596,0.027768,0.0255829,0.041669,0,0.0197895,0.0318667,0,0.0258966,0.0456378,0.0514269,0,0,0.0263811,0,0,0.0299334,0.0600137,0.0550198,0.016254,0.0138416,0.0344129,0.0445179,0.0596824,0.0290273,0.0564555,0.0385715,0.0422397,0.064932,0.0164408,0.0324071,0.02944,0.0162541,0.0477028,0.0630515,0,0,0,0.0504111,0.0354344,0,0
413,0.0503989,0,0,0,0,0.0415024,0,0,0,0,0,0,0.0284936,0,0.0294812,0.0321469,0,0,0.0136585,0,0,0.0408574,0.0432559,0.0285373,0.0253445,0.0115288,0.0449874,0.0220894,0.0394705,0.04669,0.0390681,0.0322741,0.0321219,0.0386522,0.0199802,0.0273427,0.0274405,0.0419724,0,0.0197819,0.0311603,0,0.0262378,0.0450392,0.0515008,0,0,0.0263972,0,0,0.0297835,0.0600448,0.0553215,0.0163479,0.0140015,0.034431,0.0444831,0.0598968,0.0283845,0.0562713,0.0384744,0.041931,0.0650061,0.0175578,0.0326508,0.0295056,0.016275,0.0475076,0.0633846,0,0,0,0.0507846,0.0349192,0,0
414,0.0503411,0,0,0,0,0.041341,0,0,0,0,0,0,0.0269552,0,0.029324,0.031247,0,0,0.0136511,0,0,0.0406018,0.0429868,0.0287875,0.0252658,0.0114769,0.0444558,0.0221459,0.0390962,0.0464255,0.039122,0.0319943,0.0318976,0.0382677,0.0194509,0.0267794,0.0287826,0.0421771,0,0.0197436,0.0312034,0,0.0266418,0.0443234,0.0516117,0,0,0.026536,0,0,0.0297769,0.06008,0.0555813,0.0163899,0.014398,0.0345083,0.0446128,0.0600845,0.0278796,0.0559461,0.0383711,0.0415103,0.0651806,0.0191183,0.0326723,0.0295153,0.0162115,0.0472868,0.0637953,0,0,0,0.0511148,0.0346258,0,0
415,0.0502766,0,0,0,0,0.0413001,0,0,0,0,0,0,0.0259525,0,0.0291617,0.030367,0,0,0.0136935,0,0,0.0404363,0.0427705,0.0286489,0.0252906,0.0113531,0.0441797,0.0221348,0.0387951,0.0462929,0.0393134,0.0313945,0.0316407,0.0380287,0.0191377,0.0262271,0.029602,0.0423005,0,0.0197326,0.0315967,0,0.0270217,0.0435363,0.0518342,0,0,0.0268386,0,0,0.0297954,0.0600262,0.0556974,0.0163927,0.0150564,0.0347053,0.0448566,0.0602433,0.0273422,0.0557296,0.0383058,0.0411007,0.0653306,0.0209556,0.0324988,0.0295176,0.016181,0.0470832,0.0641093,0,0,0,0.0514164,0.0343362,0,0
416,0.0501798,0,0,0,0,0.0413424,0,0,0,0,0,0,0.0245859,0,0.0291157,0.0297605,0,0,0.0137344,0,0,0.0403387,0.0424466,0.0281994,0.0255901,0.0112129,0.0441846,0.0221262,0.0385664,0.0462157,0.0394067,0.030551,0.031457,0.037798,0.0189918,0.025539,0.0302653,0.0424041,0,0.0197161,0.0319133,0,0.0275603,0.042743,0.0520778,0,0,0.0273254,0,0,0.0298793,0.0600569,0.0555453,0.0162865,0.0158262,0.0351161,0.045183,0.060204,0.0267263,0.0556991,0.0381078,0.0408122,0.0656419,0.0225194,0.0324115,0.0294917,0.0161483,0.0469358,0.0642421,0,0,0,0.0516464,0.0339645,0,0
417,0.0500847,0,0,0,0,0.0414554,0,0,0,0,0,0,0.0230712,0,0.029011,0.029506,0,0,0.0137974,0,0,0.0402626,0.0420655,0.0275465,0.02615,0.011146,0.0443929,0.0221506,0.0382845,0.0461197,0.0393881,0.029713,0.0314365,0.0375375,0.0189334,0.0248235,0.0305447,0.0425053,0,0.0196749,0.0317138,0,0.0278279,0.0420645,0.0523884,0,0,0.0276582,0,0,0.0300256,0.0600645,0.0552366,0.0160153,0.0167193,0.035525,0.0454151,0.0602305,0.0262551,0.0555585,0.0380446,0.0407833,0.065972,0.0241556,0.0320233,0.0294168,0.0161057,0.0468738,0.0642425,0,0,0,0.0519637,0.0336435,0,0
418,0.0499974,0,0,0,0,0.0416204,0,0,0,0,0,0,0.0222877,0,0.0288143,0.0296049,0,0,0.0138496,0,0,0.0402495,0.0416835,0.0268734,0.0268265,0.0112688,0.0448626,0.0222456,0.037936,0.0460151,0.039291,0.0288973,0.0315429,0.037377,0.0190306,0.0242071,0.0303573,0.0424062,0,0.0196552,0.0309607,0,0.027489,0.0412586,0.0526555,0,0,0.0280007,0,0,0.0301835,0.0598925,0.0548002,0.0157776,0.0177724,0.0358285,0.0454776,0.060366,0.0258082,0.0554687,0.038081,0.0405228,0.0661868,0.0260471,0.0316188,0.0293241,0.0160315,0.0469609,0.0644015,0,0,0,0.0523601,0.033418,0,0
419,0.0499668,0,0,0,0,0.0417985,0,0,0,0,0,0,0.022279,0,0.0285966,0.0299598,0,0,0.0139125,0,0,0.0402814,0.0412727,0.0263224,0.0274376,0.0115612,0.045462,0.0224372,0.0375154,0.0458448,0.0391524,0.0283257,0.0316749,0.0372962,0.0192483,0.0238482,0.0300758,0.0422771,0,0.0196714,0.0300515,0,0.0269407,0.0404064,0.0527312,0,0,0.0282985,0,0,0.0303097,0.0597316,0.0541086,0.0156612,0.0188363,0.0361296,0.0456265,0.0605052,0.025434,0.0555006,0.0380281,0.04017,0.0665931,0.0279927,0.0312547,0.0292366,0.0159763,0.0471012,0.0642749,0,0,0,0.0527759,0.0331699,0,0
420,0.0499677,0,0,0,0,0.0419315,0,0,0,0,0,0,0.0223013,0,0.0285743,0.0304665,0,0,0.0139338,0,0,0.0403722,0.0407178,0.0259547,0.0279948,0.0119242,0.0460807,0.0226978,0.03702,0.045515,0.039016,0.0279998,0.0317898,0.0372188,0.0194657,0.0236986,0.029788,0.0421542,0,0.0196991,0.0283157,0,0.025492,0.0396562,0.0527416,0,0,0.0284982,0,0,0.0302843,0.0592376,0.0533156,0.0156811,0.0204127,0.0364957,0.0458524,0.0612311,0.0252234,0.0553226,0.0383455,0.0401539,0.0662621,0.0315772,0.0309148,0.02913,0.0159733,0.04718,0.064239,0,0,0,0.0533814,0.0328853,0,0
421,0.0501709,0,0,0,0,0.042055,0,0,0,0,0,0,0.0248879,0,0.0291476,0.0311427,0,0,0.0139888,0,0,0.0404375,0.0421426,0.0257768,0.0273996,0.0120119,0.0438604,0.0231084,0.0366862,0.0446237,0.0398136,0.0298209,0.0314162,0.0368216,0.0190399,0.0241233,0.0258303,0.0419563,0,0.0196889,0.0263554,0,0.0243006,0,0.0528459,0,0,0.0286777,0,0,0.0303375,0.0566721,0.0533727,0.0188122,0.0209451,0.0346926,0.0468664,0.0633765,0.0256971,0.0537534,0.0376601,0.0392401,0.0658742,0.0387883,0.0304656,0.028875,0.0158229,0.0481119,0.0632369,0,0,0,0.0566722,0.0328515,0,0
422,0.0500715,0,0,0,0,0.0421123,0,0,0,0,0,0,0.0252417,0,0.0295058,0.0318256,0,0,0.0139531,0,0,0.040507,0.0415039,0.025889,0.0276037,0.0123687,0.0437409,0.0236553,0.0365213,0.0442772,0.0398322,0.0298601,0.0313893,0.0368786,0.0190153,0.0243332,0.0252832,0.0417351,0,0.0196355,0.0251794,0,0.0227956,0,0.0527267,0,0,0.028756,0,0,0.0302677,0.056542,0.052354,0.0189312,0.0223393,0.0351316,0.0471676,0.0635529,0.0254931,0.0537264,0.037677,0.0390771,0.0659888,0.0422477,0.0301924,0.0286537,0.0157213,0.0482212,0.0632389,0,0,0,0.0571841,0.0327092,0,0
423,0.0500433,0,0,0,0,0.0420716,0,0,0,0,0,0,0.0254686,0,0.0298795,0.0321834,0,0,0.0139503,0,0,0.0405595,0.0409246,0.0261518,0.0277839,0.0122973,0.0436081,0.0240996,0.0366604,0.0440451,0.0397855,0.0298462,0.0313955,0.0369729,0.0190268,0.0246801,0.0250349,0.0415989,0,0.0195849,0.0245547,0,0.0211732,0,0.0525469,0,0,0.0287811,0,0,0.0302225,0.0563697,0.051812,0.0189292,0.0237457,0.0358367,0.0472334,0.0637726,0.0253156,0.0537017,0.0376816,0.038879,0.0661385,0.0461994,0.0300695,0.0285652,0.0156872,0.0481545,0.0633161,0,0,0,0.0572011,0.0327724,0,0
424,0.0497352,0,0,0,0,0.0419746,0,0,0,0,0,0,0.0227869,0,0.0298418,0.0320201,0,0,0.0139533,0,0,0.040614,0.0384143,0.0265363,0.0290448,0.0125264,0.0462005,0.0245023,0.0361358,0.0444457,0.0386273,0.0277958,0.031923,0.037215,0.0195972,0.0246839,0.02902,0.0414617,0,0.0194945,0.024369,0,0.0200093,0.0374132,0.0521345,0,0,0.028619,0,0,0.0301289,0.0583386,0.0514405,0.0160738,0.0258548,0.0390794,0.046246,0.0623161,0.0240058,0.0553441,0.0381929,0.0397523,0.0671586,0.0472142,0.0302551,0.0286403,0.0157485,0.0471409,0.0645223,0,0,0,0.0539444,0.0328498,0,0
425,0.0500692,0,0,0,0,0.0419771,0,0,0,0,0,0,0.0257198,0,0.0304458,0.0324108,0,0,0.0139952,0,0,0.0406523,0.039884,0.0266252,0.0281376,0.0124137,0.0432521,0.025117,0.0356495,0.0436199,0.0392657,0.0298421,0.0315882,0.0367781,0.0191928,0.0254911,0.0249096,0.0412037,0,0.0195162,0.0269455,0,0.018311,0,0.0518965,0,0,0.028624,0,0,0.0300673,0.0561734,0.053524,0.0185307,0.025537,0.037613,0.0468153,0.0646994,0.0251905,0.0545329,0.0380857,0.039765,0.0674223,0.057374,0.0301551,0.0285031,0.015662,0.0478375,0.0635683,0,0,0,0.0568241,0.033374,0,0
426,0.0498337,0,0,0,0,0.0419044,0,0,0,0,0,0,0.0233036,0,0.0303539,0.0325286,0,0,0.0140114,0,0,0.040725,0.0373617,0.0268559,0.0293306,0.0126827,0.0452834,0.0257502,0.0354145,0.0439295,0.0383631,0.0279613,0.0319527,0.0370481,0.0197856,0.0253588,0.0283857,0.0410117,0,0.0194085,0.0275698,0,0.0176063,0.0349055,0.0515585,0,0,0.0284547,0,0,0.0299011,0.0583446,0.0543989,0.0161352,0.0269542,0.0399381,0.0459681,0.063641,0.024404,0.0562277,0.0390088,0.0413053,0.0686389,0.0601158,0.0303395,0.0284808,0.0156899,0.0469359,0.06473,0,0,0,0.0550651,0.033814,0,0
427,0.0498711,0,0,0,0,0.0418635,0,0,0,0,0,0,0.0234271,0,0.0305518,0.0328454,0,0,0.0140388,0,0,0.0407862,0.036868,0.0268967,0.0294451,0.0126194,0.0448812,0.0263404,0.0353067,0.0437295,0.038318,0.0280245,0.0319774,0.0371015,0.0198702,0.0255044,0.0282135,0.0409095,0,0.0193945,0.029089,0,0.0174976,0.0339142,0.0513088,0,0,0.0283574,0,0,0.0297761,0.0583889,0.0562906,0.0163157,0.0277284,0.0401733,0.0457688,0.0641484,0.0247379,0.0564412,0.0394354,0.0415099,0.069331,0.0656704,0.0304214,0.0283817,0.0156438,0.0467986,0.0650346,0,0,0,0.056166,0.0342979,0,0
428,0.0501827,0,0,0,0,0.041861,0,0,0,0,0,0,0.0259611,0,0.0310559,0.0333392,0,0,0.0140033,0,0,0.0408764,0.0382183,0.0266711,0.0284261,0.0126855,0.0423244,0.0268347,0.0350827,0.0438363,0.0390072,0.029896,0.0317257,0.0369308,0.0195149,0.0259363,0.0246445,0.0408449,0,0.0194609,0.0330505,0,0.0174543,0,0.0511706,0,0,0.0282926,0,0,0.02976,0.0564825,0.0589124,0.0181236,0.0278299,0.0386692,0.0462206,0.0661091,0.0261229,0.0555587,0.03932,0.0408123,0.0695826,0.0737107,0.0304064,0.0282337,0.0154795,0.0473298,0.0644978,0,0,0,0.0591475,0.0345405,0,0
429,0.0500004,0,0,0,0,0.0417266,0,0,0,0,0,0,0.0233477,0,0.0309078,0.0334457,0,0,0.0139569,0,0,0.0410474,0.0358808,0.0265413,0.0295403,0.0131877,0.044213,0.0272457,0.0349337,0.0453629,0.0380164,0.0281038,0.0322383,0.0373045,0.0200565,0.0254391,0.0280871,0.040824,0,0.0194579,0.03421,0,0.0174184,0.0327472,0.0510194,0,0,0.0279922,0,0,0.0295603,0.0583682,0.0599929,0.0166612,0.0293344,0.0406857,0.0456413,0.064963,0.0253719,0.0568386,0.039858,0.0414747,0.0704341,0.074694,0.0305635,0.0281504,0.015475,0.0464774,0.0657719,0,0,0,0.0570496,0.034755,0,0
430,0.0501585,0,0,0,0,0.0415266,0,0,0,0,0,0,0.0233821,0,0.030966,0.033996,0,0,0.0138532,0,0,0.0411674,0.0354839,0.026322,0.0297651,0.0132899,0.0440501,0.0274659,0.0347014,0.0440808,0.0380549,0.0279286,0.0322986,0.0372212,0.0200849,0.0253076,0.0276784,0.0409695,0,0.0195129,0.0365207,0,0.0171928,0.0323519,0.0508997,0,0,0.0278039,0,0,0.0293595,0.0583456,0.0616395,0.0167739,0.0298612,0.0408452,0.045667,0.06527,0.0255212,0.0571448,0.0402998,0.0418457,0.0711387,0.0789592,0.030589,0.0280335,0.0153885,0.0463401,0.0658031,0,0,0,0.0572088,0.0350541,0,0
431,0.0502949,0,0,0,0,0.0413098,0,0,0,0,0,0,0.0238134,0,0.0315598,0.0350278,0,0,0.0141653,0,0,0.0409195,0.0340906,0.0258757,0.029081,0.0134687,0.0433241,0.026986,0.0340708,0.0432553,0.0377983,0.0273335,0.0324699,0.0375925,0.0201579,0.0248044,0.0263768,0.0407846,0,0.0199806,0.0278827,0,0.0239546,0.0314526,0.0513874,0,0,0.0269959,0,0,0.0299376,0.0590237,0.0658188,0.0180875,0.0315111,0.0417797,0.0462339,0.0679004,0.0250022,0.0574923,0.0360049,0.0416914,0.0746152,0.0688986,0.030744,0.0271737,0.0161209,0.0461109,0.0661135,0,0,0,0.059647,0.035295,0,0
432,0.0506005,0,0,0,0,0.0411671,0,0,0,0,0,0,0.0255859,0,0.0314956,0.0357178,0,0,0.0141364,0,0,0.0408853,0.0352876,0.0256193,0.0278942,0.0134266,0.0411269,0.0269237,0.0334589,0.0422581,0.0387334,0.0289062,0.0322795,0.0372541,0.0199993,0.0253654,0.0238212,0.0408831,0,0.020071,0.0299755,0,0.0244243,0,0.0514773,0,0,0.0269142,0,0,0.0299053,0.0574011,0.0678483,0.0194862,0.0312815,0.0405388,0.0468049,0.0697226,0.026616,0.0572574,0.0358197,0.0417542,0.0757413,0.0737373,0.0306832,0.0269616,0.015941,0.0465599,0.0655682,0,0,0,0.0623309,0.0357035,0,0
433,0.0505256,0,0,0,0,0.0409326,0,0,0,0,0,0,0.0237921,0,0.0317093,0.035791,0,0,0.0140044,0,0,0.0409326,0.033321,0.025613,0.0292359,0.0136307,0.0429253,0.0269865,0.0334982,0.0428457,0.0380145,0.0269804,0.0326502,0.0376483,0.0202757,0.0248217,0.0260499,0.0410109,0,0.0200319,0.0299614,0,0.0244642,0.0310086,0.0513881,0,0,0.0268591,0,0,0.0295472,0.0589852,0.0682246,0.0185085,0.0323903,0.0420412,0.0462388,0.0685373,0.0254575,0.0589174,0.0371245,0.0429131,0.0768531,0.0735967,0.0306461,0.0267033,0.0158851,0.0457974,0.0667356,0,0,0,0.0605099,0.0359802,0,0
434,0.0507314,0,0,0,0,0.0407609,0,0,0,0,0,0,0.0239518,0,0.03185,0.036166,0,0,0.0139263,0,0,0.0408952,0.032939,0.0254735,0.029314,0.0136201,0.0427685,0.0270787,0.0330463,0.0426366,0.038144,0.0267515,0.0327492,0.0376967,0.0202849,0.0248619,0.0258344,0.0409944,0,0.0200342,0.030705,0,0.024766,0.0307557,0.0513886,0,0,0.0268003,0,0,0.0293392,0.0587309,0.0691244,0.0186683,0.0326482,0.0421697,0.046224,0.0688888,0.0255546,0.0595211,0.0376393,0.0435836,0.0777634,0.075145,0.0305615,0.0265742,0.0157909,0.0456915,0.0666207,0,0,0,0.0608206,0.0362698,0,0
435,0.0510404,0,0,0,0,0.0406782,0,0,0,0,0,0,0.0258172,0,0.0319194,0.0368221,0,0,0.0139564,0,0,0.0408373,0.0341403,0.0254528,0.0280729,0.013579,0.0405726,0.0271533,0.0322733,0.041609,0.0391016,0.0282844,0.0325023,0.0373293,0.0201015,0.0254586,0.0233921,0.0409174,0,0.020045,0.0321518,0,0.0252057,0,0.0515045,0,0,0.0267263,0,0,0.0293669,0.0570404,0.0704475,0.0199946,0.0321432,0.0411432,0.0467391,0.0705679,0.0269819,0.0590357,0.0373124,0.0434951,0.0782804,0.0781807,0.0304912,0.026362,0.0156618,0.046189,0.0656479,0,0,0,0.0631936,0.0363215,0,0
