Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,STRN,T10,x71,x72,x73,,LTHI,RWRA,RASI,IMUR_B,RTHI,RTHII,x74
9,0.0466079,0,0,0,0,0.0459428,0,0,0,0,0,0.0372191,0,0.0319907,0,0,0,0.0168746,0,0,0.0504118,0.0469126,0.0372238,0.0328113,0.0151204,0.0222706,0.0347469,0.043612,0.0425196,0.0365394,0.0366332,0.0395728,0.0253192,0.0327645,0.0297151,0.0574875,0.0112586,0.0220937,0.0313683,0,0.0326895,0.0448167,0,0,0.0236947,0,0,0.0208235,0.0545003,0.0509007,0.0306631,0.0283721,0.0237724,0.0420153,0.0676513,0.0439165,0.0576891,0.0408385,0.0424951,0.0626099,0.0136483,0.0546139,0.0169794,0.0589982,0.0628015,0,0,0,0,0,0,0,0,0,0,0
10,0.0450394,0,0,0,0,0.0469027,0,0,0,0,0,0.0371646,0,0.0333754,0.0400808,0,0,0.0082304,0,0,0.0529619,0.0481722,0.0373446,0.0268423,0.0170557,0.0251072,0.0357073,0.0396455,0.0422707,0.0400061,0.0386719,0.0417951,0.0265103,0.0331601,0.0302166,0.05581,0.0121453,0.0202523,0.031067,0,0.0325212,0.0450948,0,0,0.0226915,0,0,0.0220011,0.0523708,0.0511981,0.0294693,0.0270808,0.0255953,0.0417401,0.0667862,0.0413759,0.0582085,0.0412428,0.042981,0.0633664,0.0144595,0.0552023,0.0170869,0.0586418,0.0643978,0,0,0,0,0,0,0,0,0,0,0
11,0.0437844,0,0,0,0,0.0479857,0,0,0,0,0,0.0372636,0,0.0332586,0.0401612,0,0,0.00846927,0,0,0.0528501,0.04848,0.0374853,0.0267208,0.017264,0.0253357,0.035836,0.0397025,0.0423013,0.0401117,0.0385667,0.0417038,0.0262083,0.0330001,0.0303494,0.0556923,0.0124924,0.0194674,0.0312296,0,0.0327645,0.0448196,0,0,0.0126437,0,0,0.0251154,0.0521027,0.0514433,0.0292022,0.0268698,0.0253179,0.0419239,0.0668781,0.0409417,0.0577095,0.0411004,0.0428686,0.0633869,0.0143973,0.054558,0.0158724,0.0594352,0.0641497,0,0,0,0,0,0,0,0,0,0,0
12,0.0450929,0,0,0,0,0.0471097,0,0,0,0,0,0.0367991,0,0.0323285,0,0,0,0.0163584,0,0,0.0510979,0.0459728,0.0390477,0.0304364,0.0149438,0.0235371,0.0347022,0.0427798,0.043417,0.0370224,0.0363738,0.0394307,0.0246103,0.032505,0.0312396,0.0572328,0.01117,0.0200681,0.0317772,0,0.033506,0.0444756,0,0,0.0222933,0,0,0.0212746,0.0553483,0.0524505,0.0287725,0.0287674,0.0253132,0.0419615,0.0664185,0.0433764,0.0570153,0.040854,0.0422167,0.0624564,0.0138949,0.0547277,0.0168944,0.0594186,0.063347,0,0,0,0,0,0,0,0,0,0,0
13,0.0457404,0,0,0,0,0.046609,0,0,0,0,0,0.0367587,0,0.0323845,0,0,0,0.0166706,0,0,0.0514023,0.0459512,0.0388895,0.0309864,0.0148223,0.0231205,0.0342475,0.0429682,0.0433526,0.036842,0.0363398,0.0394022,0.024673,0.0325868,0.0311183,0.0572869,0.0117629,0.020244,0.0317639,0,0.0331711,0.0445921,0,0,0.02175,0,0,0.0218734,0.0553019,0.0520934,0.0293095,0.0288734,0.0251037,0.0422156,0.0666366,0.043631,0.0572104,0.0409361,0.0423199,0.0624447,0.0138497,0.0547871,0.0166878,0.05917,0.063279,0,0,0,0,0,0,0,0,0,0,0
14,0.0462297,0,0,0,0,0.0463058,0,0,0,0,0,0.0369425,0,0.0320636,0,0,0,0.016592,0,0,0.0517006,0.0464692,0.0386116,0.0316578,0.0151096,0.0228275,0.0339501,0.0432502,0.0431364,0.0368104,0.036249,0.0392596,0.0245602,0.0324742,0.0310354,0.0576017,0.011639,0.0204092,0.0317716,0,0.033296,0.0443687,0,0,0.0206299,0,0,0.0222231,0.0548627,0.0519373,0.0298704,0.0285768,0.0245046,0.0422565,0.0671447,0.0435432,0.0569542,0.040605,0.0421867,0.062415,0.0134922,0.054633,0.0166597,0.0590727,0.0630943,0,0,0,0,0,0,0,0,0,0,0
15,0.0450332,0,0,0,0,0.0469638,0,0,0,0,0,0.0375693,0,0.0329046,0.0407505,0,0,0.00908254,0,0,0.052445,0.0493617,0.0360237,0.0280238,0.0176417,0.0241013,0.0357969,0.040377,0.0417551,0.0400091,0.0386232,0.0416017,0.0264198,0.0332889,0.0291579,0.0558131,0.0125608,0.0200903,0.0308037,0,0.031639,0.0448124,0,0,0.0125026,0,0,0.0250214,0.0510802,0.0496115,0.0311852,0.0265948,0.0240153,0.0420832,0.0681038,0.041354,0.0580613,0.0411192,0.0432891,0.0636305,0.013723,0.0545731,0.0159963,0.0590191,0.0636332,0,0,0,0,0,0,0,0,0,0,0
16,0.0436786,0,0,0,0,0.0479914,0,0,0,0,0,0.037436,0,0.0331001,0.0407751,0,0,0.00876951,0,0,0.0529041,0.0489607,0.0370765,0.0267985,0.0176091,0.0251046,0.0359476,0.0398538,0.0422753,0.0404012,0.0384761,0.0415684,0.0262943,0.0330825,0.0299523,0.0556608,0.0123794,0.0188021,0.0310515,0,0.0324455,0.0446669,0,0,0.0115454,0,0,0.0249597,0.0516221,0.0509459,0.0298303,0.0265969,0.0250311,0.0424547,0.0671725,0.0409797,0.0581451,0.0409656,0.0429491,0.0635361,0.0139605,0.0538439,0.0150165,0.0594287,0.0640155,0,0,0,0,0,0,0,0,0,0,0
17,0.0436989,0,0,0,0,0.0477766,0,0,0,0,0,0.037412,0,0.0334557,0.0420328,0,0,0.00935885,0,0,0.0525287,0.0486357,0.0370019,0.0262928,0.0174449,0.0250039,0.0363353,0.0396786,0.0423291,0.0404492,0.0385637,0.0417122,0.0263707,0.0332384,0.0296484,0.0552684,0.0126148,0.018537,0.0306939,0,0.0319324,0.045121,0,0,0.0110262,0,0,0.0246464,0.0517584,0.0506315,0.0300286,0.0267783,0.0253358,0.0430089,0.0670602,0.0411611,0.0582893,0.0412903,0.0431838,0.0635698,0.014238,0.0533239,0.014203,0.0592411,0.0641156,0,0,0,0,0,0,0,0,0,0,0
18,0.0446122,0,0,0,0,0.0469881,0,0,0,0,0,0.0374048,0,0.0334362,0.0421233,0,0,0.00953514,0,0,0.0525868,0.0483134,0.0371255,0.0258407,0.0176378,0.0253829,0.0368408,0.0394097,0.0425242,0.0408463,0.0386178,0.0417062,0.0263821,0.0333019,0.0299244,0.0553123,0.0128526,0.0178531,0.030714,0,0.0319288,0.0450165,0,0,0.0229835,0,0,0.0210028,0.0515986,0.0506105,0.0297924,0.0265838,0.0255128,0.0418083,0.0669873,0.0409615,0.0582921,0.0412749,0.0432327,0.0636302,0.0140112,0.0549321,0.0164448,0.0585695,0.0643776,0,0,0,0,0,0,0,0,0,0,0
