Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,RTHIA,x76,x80,,x75
9,0.0462171,0,0,0,0,0.0484519,0,0,0,0,0,0,0.0376675,0,0.0326178,0.0316128,0,0,0.0145544,0,0,0.048583,0.0446496,0.0289238,0.023345,0.0205542,0.032334,0.0392734,0.0312876,0.0300032,0.0392831,0.0382515,0.0412877,0.045311,0.0291531,0.0325241,0.0205375,0.057529,0.0172117,0.0187522,0.0354578,0,0.0219917,0.0495364,0.041964,0,0,0.0122352,0,0,0.0246291,0.0457766,0.0380079,0.0203486,0.0142525,0.0305236,0.0481651,0.0426484,0.0517554,0.0346946,0.0596037,0.0390752,0.0457934,0.0675664,0.0117896,0.0508148,0.02277,0.0176336,0.058874,0.064384,0,0,0,0,0,0,0,0,0
10,0.0462644,0,0,0,0,0.0484109,0,0,0,0,0,0,0.037659,0,0.0326511,0.0316503,0,0,0.0144894,0,0,0.048644,0.0445683,0.0289318,0.0233062,0.0205254,0.032433,0.0393031,0.0311846,0.0300109,0.03929,0.0382894,0.0413275,0.0453117,0.0291752,0.0325842,0.0205699,0.0576154,0.0172435,0.0187733,0.035506,0,0.0219804,0.0494122,0.0419403,0,0,0.0123075,0,0,0.0246674,0.0458481,0.0379576,0.0209629,0.0142592,0.0306722,0.0479729,0.0425144,0.0516368,0.0346622,0.0596609,0.0391135,0.0456932,0.0676313,0.0117914,0.050942,0.0228202,0.0176386,0.0588155,0.0644389,0,0,0,0,0,0,0,0,0
11,0.0463072,0,0,0,0,0.048444,0,0,0,0,0,0,0.0376928,0,0.0325999,0.0317726,0,0,0.0143648,0,0,0.0486675,0.0445422,0.0289998,0.0233097,0.0204961,0.0322794,0.039414,0.0312031,0.0300765,0.0392876,0.0382532,0.0412973,0.0452894,0.0290076,0.0326049,0.0205774,0.0576598,0.0172622,0.0187233,0.0354706,0,0.0219958,0.0495547,0.0419401,0,0,0.012281,0,0,0.0246552,0.0458611,0.0380212,0.0209584,0.0142382,0.0305625,0.0479133,0.0426108,0.0517372,0.0346096,0.0596778,0.0391072,0.0458336,0.0676186,0.0118041,0.0507046,0.0227627,0.0175855,0.0589185,0.0643824,0,0,0,0,0,0,0,0,0
12,0.0463438,0,0,0,0,0.0484624,0,0,0,0,0,0,0.0376782,0,0.0326307,0.0317557,0,0,0.014289,0,0,0.0487268,0.044503,0.0290886,0.0234145,0.0205057,0.0321741,0.0393956,0.0315728,0.0301286,0.0393031,0.0382179,0.0412827,0.0452452,0.0289368,0.0326049,0.0206199,0.0576356,0.0173008,0.0187345,0.0354304,0,0.0220186,0.0496466,0.0419629,0,0,0.0122334,0,0,0.0246424,0.045869,0.0380888,0.0208494,0.0142337,0.0304782,0.0479455,0.0426263,0.051985,0.0345744,0.0597257,0.0390963,0.0459564,0.067676,0.0117973,0.0505472,0.0227157,0.0175412,0.0589796,0.0643614,0,0,0,0,0,0,0,0,0
13,0.0463244,0,0,0,0,0.0485065,0,0,0,0,0,0,0.0376031,0,0.0327368,0.0318661,0,0,0.0142248,0,0,0.0488331,0.0444319,0.0291646,0.0235405,0.0205496,0.0321125,0.0394171,0.0324137,0.0301167,0.0392836,0.0381937,0.0412409,0.0452205,0.0290744,0.03261,0.020672,0.0575913,0.0172973,0.0187543,0.0354225,0,0.0220177,0.0496371,0.0420018,0,0,0.0122077,0,0,0.0246025,0.0458995,0.0380981,0.0209529,0.0142619,0.0304427,0.0480687,0.0425461,0.0522671,0.0346064,0.0597636,0.0390823,0.046015,0.0676979,0.0117583,0.0505931,0.0227063,0.0175261,0.0588667,0.0644455,0,0,0,0,0,0,0,0,0
14,0.0462569,0,0,0,0,0.0485756,0,0,0,0,0,0,0.0375847,0,0.0327614,0.0320866,0,0,0.0142261,0,0,0.0489198,0.0443784,0.0292063,0.0235631,0.0204764,0.03205,0.039445,0.0326724,0.0300752,0.0392486,0.0381833,0.0412374,0.0451898,0.0290752,0.0326387,0.0206485,0.0575792,0.0172038,0.0187447,0.0354223,0,0.0220209,0.0495657,0.0420242,0,0,0.012234,0,0,0.0245872,0.0459261,0.0380641,0.0212323,0.0142497,0.0304699,0.0481705,0.0426406,0.0521063,0.0346717,0.0597236,0.0390933,0.0460395,0.0676811,0.0117244,0.0507189,0.0227353,0.0175332,0.0585077,0.0644949,0,0,0,0,0,0,0,0,0
15,0.0462242,0,0,0,0,0.0486224,0,0,0,0,0,0,0.0377015,0,0.032717,0.0321651,0,0,0.0142315,0,0,0.0489731,0.0443926,0.0292658,0.0234982,0.0204428,0.0319879,0.0395173,0.0323319,0.0300993,0.0392705,0.0381858,0.0413285,0.0449302,0.0289904,0.0325835,0.0205844,0.0575874,0.0170144,0.0186738,0.0352776,0,0.0220153,0.0495486,0.0420284,0,0,0.0122361,0,0,0.0245485,0.0459355,0.0380854,0.0213522,0.0141641,0.0304737,0.0482892,0.0426918,0.0519945,0.0347065,0.0596468,0.0391113,0.0459792,0.0676862,0.0116842,0.0506388,0.0227024,0.0175527,0.0583949,0.0645212,0,0,0,0,0,0,0,0,0
16,0.0462665,0,0,0,0,0.0486696,0,0,0,0,0,0,0.0378826,0,0.0326767,0.0322119,0,0,0.0141674,0,0,0.0489827,0.0446029,0.0293454,0.0232707,0.0204998,0.031829,0.0396405,0.0315865,0.0303142,0.0393614,0.0383242,0.0414294,0.0445224,0.0290136,0.0325413,0.0204197,0.0575181,0.0170954,0.0185771,0.0346272,0,0.0219333,0.0500776,0.0420995,0,0,0.01217,0,0,0.024483,0.0458342,0.0380884,0.0209077,0.0138684,0.0303374,0.0485662,0.0427503,0.0522238,0.0348058,0.0593758,0.0389585,0.0458426,0.067646,0.0114528,0.0504222,0.0225395,0.0174604,0.0585843,0.064543,0,0,0,0,0,0,0,0,0
17,0.0464181,0,0,0,0,0.049287,0,0,0,0,0,0,0.0392389,0,0.0331562,0.0323473,0,0,0.0138203,0,0,0.0492513,0.0480592,0.0308397,0.022954,0.0209955,0.0295269,0.0398419,0.0328503,0.031678,0.0412625,0.0400136,0.0402601,0.0431397,0.0278674,0.0323453,0.0192777,0.0569064,0.0168943,0.0182419,0.0325087,0,0.0221336,0,0.0422439,0,0,0.0113853,0,0,0.024243,0.0420456,0.0417439,0.0257182,0.0126331,0.0271677,0.0499231,0.0444151,0.0562676,0.0345137,0.056278,0.0361447,0.0433312,0.0651759,0.0125364,0.0497246,0.0216593,0.0167419,0.0604589,0.0634084,0,0,0,0,0,0,0,0,0
18,0.0464528,0,0,0,0,0.0493074,0,0,0,0,0,0,0.039012,0,0.033239,0.0320659,0,0,0.0138488,0,0,0.0492279,0.0479988,0.0309269,0.0225384,0.0209934,0.0294675,0.0398607,0.0329677,0.0323486,0.0410696,0.0399289,0.0402219,0.043474,0.0278649,0.032261,0.0195488,0.0569295,0.0168831,0.0182034,0.0329048,0,0.0222031,0,0.0422629,0,0,0.0114608,0,0,0.024312,0.0420161,0.0417958,0.0249515,0.0127233,0.0271151,0.0498528,0.0444056,0.0562051,0.0343703,0.056455,0.0362494,0.0433955,0.0651899,0.0125796,0.0497496,0.0217195,0.0167481,0.0605665,0.0633415,0,0,0,0,0,0,0,0,0
