Timestep,C7,CBL,CBR,CFR,CLAV,IMUL_B,L5FT,L5HD,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHIA,LTHIP,LTIB,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,REAR,RELB,RFIN,RFRM,RGTR,RILC,RPSI,RSHO,RTHIP,RTIB,RTIBP,RUPA,STRN,T10,x71,x72,x73,LTIBA,RKNE,RTHI,RBHD,RHEE,RTHII,,RFHD,IMUL_M,RTHIA,IMUR_B,IMUL_T,IMUR_M,CFL,LTHI,RWRB,RTOE,RTIBA,x74,RTIBI,LASI,RWRA,LANK,LHEE,LWRA
All Timesteps RMSE,0.0459406,0,0,0,0.0471336,0,0.034278,0,0,0,0.0143541,0,0,0.0404631,0.0623361,0.0303268,0.0194525,0.0408223,0.028991,0.0425563,0.0342117,0.0304224,0.0224899,0.0274113,0.0337952,0.0479911,0.0183979,0.0479302,0,0.0344845,0.0500331,0.0450722,0,0.0199708,0,0.0207541,0.0516772,0.0186942,0.0343423,0.0481677,0.0402741,0.0584927,0.0676593,0.0429835,0.0523644,0.0609511,0,0,0,0.0348628,0.0255708,0.0438369,0,0.0696121,0.0547134,0,0,0,0.0634214,0,0,0,0,0.0326103,0.0132945,0.0267826,0.0387973,0,0.0440271,0.0404294,0.0202554,0.0321496,0.0392701,0.0184306
0,0.0312162,0,0,0,0.0611678,0,0.0333274,0,0,0,0.0115282,0,0,0.0324828,0.0545944,0.0288957,0.0126283,0.0482411,0.022306,0.0525116,0.0308681,0.02617,0.020527,0.0194137,0.0362477,0.046577,0.0186393,0.0759808,0,0.0836107,0.0654604,0.0398756,0,0.0232723,0,0.00317465,0.0634899,0.0224744,0.0317254,0.0429335,0.0311681,0.0395768,0.0474819,0.0478894,0.0683783,0.0511356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0326773,0,0,0,0.0611725,0,0.0337983,0,0,0,0.011448,0,0,0.0318951,0.0565401,0.035,0.011665,0.0494808,0.0218391,0,0.0293442,0.0217079,0.0174897,0.0198992,0.0328658,0.0473807,0.0190833,0.0851709,0,0.0778724,0.065742,0.0393197,0,0.0218229,0,0.00299218,0.0603878,0.0221168,0.030234,0.0408992,0.0317309,0.0393771,0.0480977,0.0488613,0.068876,0.048887,0,0,0,0.0281174,0.0371749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0323685,0,0,0,0.0606643,0,0.0377557,0,0,0,0.0112658,0,0,0.0319915,0.0578457,0.031681,0.0124623,0.0498167,0.0233079,0,0,0.0249032,0,0.0197594,0.0288637,0.0469131,0.0192877,0.0806568,0,0.0881463,0.0653619,0.0397294,0,0.0220106,0,0.00309507,0.0455875,0.0228276,0.0307346,0.0413111,0.0346299,0.055021,0.0391165,0.0486983,0.0680882,0.0500574,0,0,0,0,0,0.0284969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0329087,0,0,0,0.0600622,0,0.0308386,0,0,0,0.0111881,0,0,0.0323389,0.0562979,0.0281126,0.00595026,0.0506365,0.02301,0,0.0916788,0.026705,0.0232323,0.0279574,0.0424808,0.0457164,0.0194099,0.0870545,0,0.0792862,0.0693586,0.0383161,0,0.0263591,0,0,0.0538035,0.023014,0.032853,0.0379545,0.0312475,0.0431614,0.0437679,0.0486444,0.0672451,0.0525704,0,0,0,0.0309956,0.0359141,0.0338888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0301553,0,0,0,0.0602902,0,0.0315495,0,0,0,0.010967,0,0,0.0335674,0.0532316,0.0288552,0.00807253,0.0520173,0.0264413,0,0.100661,0.0308867,0.0261692,0.0305126,0.0432406,0.0443041,0.0189314,0.206047,0,0.0244405,0.0603135,0.0395957,0,0.0240987,0,0.00431492,0.0470474,0.020517,0.0328625,0.0437836,0.0407874,0,0,0.0468362,0.0662467,0.0557897,0,0,0,0,0.0488277,0,0,0.268272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0321604,0,0,0,0.0595361,0,0.0328725,0,0,0,0.0110458,0,0,0.0319901,0.05443,0.0318746,0.0134706,0.0487645,0.0252942,0,0,0.0272864,0,0.0199374,0.0334165,0.0470275,0.0193722,0.0856357,0,0.0679099,0.0527955,0.038161,0,0.0250284,0,0.00357251,0.0453045,0.0208714,0.0288068,0.0442228,0.0398905,0,0,0.0453638,0.0669058,0.0529675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0328371,0,0,0,0.0585375,0,0.0336426,0,0,0,0.0102952,0,0,0.0328278,0.057029,0.025756,0.00957416,0.0489794,0.0262596,0.0467892,0,0.0305164,0,0.0236564,0.0370376,0.0461734,0.0189557,0.204736,0,0.0161807,0.06442,0.0375857,0,0.0279348,0,0,0.0452428,0.0237832,0.0303759,0.0427179,0.0444505,0.0817955,0,0.0446273,0.0657177,0.0552432,0,0,0,0,0.0349652,0,0,0.275674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.032617,0,0,0,0.0592326,0,0.0272565,0,0,0,0.0108643,0,0,0.0322386,0.0533955,0.0332307,0.00205602,0.0503839,0.0264689,0.0518805,0,0.0287547,0.0739929,0.0314637,0.0477256,0.0463034,0.019517,0.0625812,0,0,0.0554842,0.0363236,0,0.0254681,0,0.00601001,0.044073,0.0199714,0.0283548,0.043714,0.031173,0.0344817,0.0190372,0.0449398,0.0663592,0.0541091,0,0,0,0,0.035488,0,0,0,0.0425335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0322993,0,0,0,0.0592075,0,0.0354834,0,0,0,0.0110492,0,0,0.0341615,0.0614588,0.0334655,0.0100005,0.0508859,0.0277759,0,0,0.0235091,0,0.0199024,0.0299645,0.0424204,0.0192019,0.201854,0,0,0,0.0402293,0,0.0207642,0,0,0.0422582,0.0260457,0.0282557,0.0383177,0.0417521,0,0.0880046,0,0.0669956,0.0526743,0,0,0,0,0.0400623,0.04188,0,0.274641,0.0510384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0329287,0,0,0,0.058193,0,0.0316827,0,0,0,0.0104204,0,0,0.0332181,0.0619911,0.0322308,0.00816344,0.0495148,0.0285127,0.0507734,0,0.0236376,0.0169008,0.0216096,0.0344658,0.0448775,0.019545,0.195237,0,0.0173792,0,0.0375959,0,0.0277059,0,0,0.0415534,0.0269978,0.0276906,0.0426282,0.0442115,0.0744821,0.0777359,0.0447121,0.0662489,0.0542199,0,0,0,0.0290179,0.034035,0.0459022,0,0.283719,0.0546514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0323587,0,0,0,0.0597229,0,0.0293951,0,0,0,0.0111439,0,0,0.0315048,0.0598151,0.028136,0.00924982,0.0444322,0.0239875,0.0530013,0,0.0219393,0,0.0215117,0.0382039,0.0482406,0.0190071,0.0869228,0,0.0754455,0,0.0389706,0,0.0260576,0,0.00414731,0.0529219,0.0343651,0.0273846,0.0463351,0.0355432,0.0391542,0.0379397,0.044874,0.0687044,0.0502804,0,0,0,0.027001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.0326643,0,0,0,0.0584384,0,0.0321677,0,0,0,0.00977142,0,0,0.0331234,0.0614921,0.0278,0.00919726,0.0479967,0.0269837,0.0477508,0,0.0268255,0,0.0214307,0.0349628,0.0455518,0.0189698,0.199192,0,0.0182103,0,0.0375808,0,0.028841,0,0,0.0422603,0.0299609,0.0280886,0.0444839,0.0483308,0.071994,0.0769589,0.0437424,0.0665586,0.054748,0,0,0,0,0,0,0,0.280579,0.0567536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0321733,0,0,0,0.0589308,0,0.0310746,0,0,0,0.0104889,0,0,0.0332871,0.0591765,0.0351736,0.00763892,0.0483413,0.0279353,0,0,0.0212843,0,0.0222937,0.0321027,0.0448392,0.0190237,0.193476,0,0.0217098,0,0.0373632,0,0.0259813,0,0.00889603,0.044008,0.0242043,0.0264449,0.0448357,0.0401123,0,0.0903465,0.0448968,0.0673746,0.0535796,0,0,0,0.0273243,0,0.0355374,0,0.278496,0.0510952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.0324216,0,0,0,0.0579972,0,0.0321515,0,0,0,0.00934419,0,0,0.00821455,0.0646299,0.0353401,0.00842645,0.0478899,0.0281217,0,0,0.0205688,0,0.0229095,0.0313103,0.0449281,0,0.197081,0,0.0168122,0,0.0391205,0,0.025678,0,0.00395713,0.0418427,0.0314921,0.02334,0.0449433,0.0459512,0.0713998,0.0760168,0.0448069,0.0671457,0.0524073,0,0,0,0.0265039,0.0316231,0,0,0.282441,0.0563466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.0323092,0,0,0,0.0592348,0,0.0294708,0,0,0,0.0109708,0,0,0.0315155,0.0611776,0.029154,0.01001,0.0452799,0.0250558,0.0535392,0,0.0216702,0.0140522,0.0204763,0.0370832,0.0480994,0.0191142,0.0835709,0,0.0772045,0,0.038914,0,0.0259503,0,0.00397927,0.0512103,0.034312,0.0266915,0.0459613,0.0330381,0.03614,0.0401067,0.0448991,0.0682311,0.0505751,0,0,0,0.0270184,0.0373368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.031719,0,0,0,0.0586614,0,0.0330373,0,0,0,0.0105277,0,0,0.032919,0.0605979,0.0333746,0.00965119,0.047072,0.0281422,0,0,0.0224083,0.0130655,0.0196446,0.0293429,0.0461395,0.0187175,0.204095,0,0.0267086,0,0.0384831,0,0.0265938,0,0.00428763,0.0443148,0.0305354,0.0250005,0.0458108,0.0386996,0,0,0.0443371,0.0670554,0.0530655,0,0,0,0,0.0469781,0,0,0.268665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.0319602,0,0,0,0.0591039,0,0.0271456,0,0,0,0.0108937,0,0,0.0316745,0.0558105,0.0334129,0.0115642,0.0489773,0.025214,0,0,0.0239859,0.0158782,0.0194795,0.0354929,0.0476024,0.0191849,0.086161,0,0.0678977,0.0529104,0.0377854,0,0.0260962,0,0,0.0460528,0.0210357,0.0284588,0.0435286,0.0406391,0,0,0.0453812,0.0666911,0.0526518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.03173,0,0,0,0.0592019,0,0.0290504,0,0,0,0.0110718,0,0,0.0314468,0.0542323,0.0326425,0.0123424,0.0481685,0.0248424,0,0.0273228,0.024931,0,0.0190223,0.0363051,0.0482149,0.0189745,0.0753583,0,0.082708,0.0542063,0.038372,0,0.0249416,0,0.00342203,0.0468559,0.0197492,0.0292411,0.0444301,0.0372937,0,0.0540228,0.0457582,0.0668381,0.0521811,0,0,0,0,0,0.0190238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.0302921,0,0,0,0.059803,0,0.0244741,0,0,0,0.0115706,0,0,0.0323406,0.0513461,0.0343907,0.0061006,0.0483386,0.0264737,0.056986,0.026715,0.0267316,0.0800631,0.0294626,0.0481449,0.0455224,0.0194092,0,0,0,0.0504631,0.0384723,0,0.0257936,0,0.00318867,0.0467338,0.0192947,0.0276,0.0451231,0.0517663,0,0,0.0450949,0.0671401,0.0540176,0,0,0,0,0,0,0,0.0433437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.0302326,0,0,0,0.059767,0,0.0247359,0,0,0,0.0125087,0,0,0.0325655,0.0520568,0.0321165,0.00543116,0.0456034,0.0266621,0.0557096,0.0289019,0.0269818,0.0708964,0.0284086,0.0474101,0.0454755,0.0187579,0,0,0,0.0546489,0.0390946,0,0.0273723,0,0.00490489,0.0451984,0.0214063,0.0264234,0.0468363,0.0425572,0,0,0.0444015,0.0675508,0.0540206,0,0,0,0,0.0987977,0.00889585,0,0.0810087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.032278,0,0,0,0.0602198,0,0.0321497,0,0,0,0.0114934,0,0,0.0310065,0.0569767,0.0329144,0.0127902,0.0476852,0.022003,0,0.0332995,0.0211823,0.0222224,0.0200984,0.0333696,0.0490168,0.0185318,0.217797,0,0,0.0702614,0.0374419,0,0.024515,0,0.00305884,0.0471916,0.0239351,0.0301956,0.0435839,0.0409729,0,0.107688,0.0459929,0.0682121,0.0497919,0,0,0,0,0.0370839,0.0350714,0,0.217434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.0324791,0,0,0,0.0601076,0,0.0340127,0,0,0,0.0117644,0,0,0.0307926,0.0561961,0.0306918,0.0178845,0.0464245,0.0213517,0,0.0326444,0.021989,0.0150236,0.01677,0.0307841,0.0497012,0.018268,0.215357,0,0,0.073916,0.0379656,0,0.0258115,0,0,0.0478667,0.0265902,0.0311724,0.0441065,0.0411648,0,0.107202,0.0454338,0.0681647,0.0496972,0,0,0,0,0.0375118,0.0320407,0,0.21641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.031903,0,0,0,0.0594027,0,0.0285744,0,0,0,0.0115823,0,0,0.0310823,0.0505408,0.0291258,0.0164501,0.0460858,0.0229735,0.0602289,0.0316436,0.0241493,0.015741,0.0158335,0.039892,0.0494473,0.0181413,0.196237,0,0,0.0671472,0.0393066,0,0.026835,0,0,0.0492928,0.0231279,0.0323304,0.0449876,0.0399399,0,0.106071,0.0450814,0.0668966,0.0518813,0,0,0,0,0,0.0242873,0,0.235178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.0335726,0,0,0,0.0593709,0,0.0346136,0,0,0,0.0110175,0,0,0.0313617,0.0568952,0.0515202,0.0673599,0.0503544,0.0242818,0,0,0.0157201,0.00772714,0.016007,0.027859,0.0482486,0.0187021,0.0434714,0,0,0.0616558,0.0373217,0,0.0233384,0,0.00319467,0.051321,0.0201137,0.0262871,0.0410048,0.0334193,0,0.0509821,0.0468217,0.0677794,0.0484024,0,0,0,0,0.0474354,0.0237768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.0321162,0,0,0,0.0590037,0,0.0290512,0,0,0,0.0108494,0,0,0.0315577,0.0489735,0.0403155,0.145183,0.0504642,0.0248805,0.143706,0,0.0349667,0.0147736,0.00671359,0.0422341,0.0473614,0.0189922,0.0365081,0,0,0.0549443,0.0378567,0,0.025984,0,0,0.0501645,0.0203803,0.0309466,0.0431815,0.0369693,0,0.026268,0.045447,0.065866,0.0532739,0,0,0,0,0,0.0139825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.0349251,0,0,0,0.059114,0,0.0378222,0,0,0,0.0108966,0,0,0.0315032,0.0603828,0.0714736,0.139823,0.0537299,0.0252732,0,0,0.0250659,0.0175044,0.0182764,0.0310096,0.0477897,0.0189532,0.0455786,0,0,0.0612957,0.0368449,0,0.0222786,0,0.00198129,0.0576604,0.025439,0.0239181,0.0385047,0.040415,0,0.0217706,0.0474729,0.0683884,0.0460553,0,0,0,0,0.0374413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.0336966,0,0,0,0.0589041,0,0.0313682,0,0,0,0.010845,0,0,0.0316654,0.0581528,0.045356,0,0.0472321,0.0244774,0,0,0.0185117,0.00497753,0.0148948,0.0323401,0.0472057,0.0190088,0.0237791,0,0,0,0.0377758,0,0.0263098,0,0,0.0460175,0.0280335,0.0246438,0.0425673,0.0345892,0,0.00850701,0.0452019,0.067727,0.0496173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.0322798,0,0,0,0.0582724,0,0.0256126,0,0,0,0.0109003,0,0,0.03263,0.0522822,0.0443641,0,0.0541363,0.0286378,0,0,0.0245512,0.0104524,0.012753,0.0368206,0.0447041,0.019957,0,0,0,0.0421354,0.0372811,0,0.0255158,0,0.00286932,0.0555736,0.0261686,0.0284452,0.043118,0.0340752,0,0.0188982,0.0448897,0.0642351,0.0561059,0,0,0,0,0,0.0935565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.0314884,0,0,0,0.059682,0,0.0291047,0,0,0,0.0126903,0,0,0.0319734,0.0547122,0.0408604,0,0.0449629,0.0246424,0,0,0.0208099,0.00556734,0.0140681,0.0328599,0.0471317,0.018205,0,0,0,0.0684223,0.0393606,0,0.0273954,0,0,0.0521586,0.021994,0.0274309,0.0449262,0.0420355,0,0.162689,0.0448426,0.0677636,0.050808,0,0,0,0,0,0,0,0.136655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0.0538439,0,0.0271573,0,0,0,0.0113146,0,0,0.0310701,0.0534014,0.0457931,0,0.0516048,0.0278093,0,0,0.0211435,0,0.0122599,0.0369037,0.0500928,0.0186803,0,0,0.0163252,0.0535884,0.036802,0,0.0266603,0,0,0.0530855,0.0211393,0.028208,0.0419578,0.0375891,0,0,0.0451215,0.0619704,0.05223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0.052897,0,0.0378708,0,0,0,0.0139266,0,0,0.0306908,0.066985,0.0657118,0.133284,0.0456747,0.0298121,0,0,0.0237616,0.0191959,0.021569,0.0324096,0.0496206,0.0190673,0,0,0.085531,0,0.038394,0,0.0287556,0,0,0.054396,0.0357828,0.0206741,0.043796,0.0495647,0.0963441,0.108295,0.0445882,0.0657808,0.0457762,0,0,0,0,0,0.0476345,0,0.211603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.0343571,0,0,0,0.0576716,0,0.0382762,0,0,0,0.0135599,0,0,0.0312905,0.0629664,0.0542947,0.140829,0.046161,0.0266355,0.070401,0,0.0222541,0,0.0135801,0.0354992,0.0469909,0.0195275,0,0,0.0845147,0,0.0393431,0,0.0271999,0,0.00328879,0.0514153,0.0338032,0.0255394,0.0446213,0.048281,0.0965428,0.108592,0.0455178,0.0677297,0.0484702,0,0,0,0,0,0.0434347,0,0.21156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.0330888,0,0,0,0.0572954,0,0.0311957,0,0,0,0.0135394,0,0,0.0315791,0.0590051,0.0385158,0,0.0454283,0.0279983,0,0,0.021666,0,0.0120752,0.0341595,0.046048,0.0198743,0,0,0.0827592,0,0.0397303,0,0.0280297,0,0.00378007,0.0471745,0.029851,0.0250388,0.0461073,0.0424846,0.0996298,0.112468,0.0444528,0.0659231,0.0521701,0,0,0,0,0,0.0416373,0,0.21056,0.0569609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.0329922,0,0,0,0.0577789,0,0.0236345,0,0,0,0.0108237,0,0,0.0318408,0.0550072,0.0322143,0,0.0476627,0.025206,0.0536233,0.0332939,0.0222982,0.013909,0.0172028,0.046085,0.0470841,0.0190267,0,0,0.0382563,0,0.0387647,0,0.0273945,0,0,0.0480146,0.023469,0.0289706,0.0438115,0.0344667,0.0521739,0.0554394,0.0445844,0.0650342,0.05303,0,0,0,0.0286738,0,0.0381002,0,0,0.0540072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.033251,0,0,0,0.0573773,0,0.0241675,0,0,0,0.0107702,0,0,0.0323183,0.0566228,0.0388049,0,0.0496907,0.0269439,0,0,0.0211541,0.0110907,0.0180705,0.0389693,0.045769,0.0194519,0,0,0,0,0.0381773,0,0.0271622,0,0,0.0527273,0.0267952,0.0254769,0.0427207,0.0228942,0,0,0.0445859,0.0644952,0.0535703,0,0,0,0.0286081,0,0.0222446,0,0,0.0425575,0,0,0,0.0416313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.0335571,0,0,0,0.0577101,0,0.0254425,0,0,0,0.0108074,0,0,0.031873,0.0546274,0.0364011,0,0.0469449,0.0249268,0,0.0277113,0.0200922,0,0.0185308,0.0397153,0.0470039,0.0189372,0,0,0,0,0.0388916,0,0.0272412,0,0,0.0457406,0.0220625,0.0271927,0.0433425,0.0271844,0.0178461,0.0189485,0.044656,0.0651987,0.0520765,0,0,0,0.02753,0,0.0290156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.0335012,0,0,0,0.0578786,0,0.0270355,0,0,0,0.0108198,0,0,0.0318552,0.0578648,0.0357897,0,0.0472309,0.0250247,0,0.0314395,0.0192018,0.0106566,0.0178325,0.0370995,0.0471352,0.0188944,0,0,0.0384789,0,0.0389098,0,0.0261711,0,0.00212987,0.0480807,0.023784,0.0267753,0.0435881,0.0345694,0.0527575,0.0559365,0.0448141,0.0653907,0.0512667,0,0,0,0.0263559,0,0.0387868,0,0,0.0539639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.0337289,0,0,0,0.0580405,0,0.0272804,0,0,0,0.0110241,0,0,0.0316091,0.0576602,0.0345169,0,0.0460653,0.0238443,0,0.0318583,0.0183274,0,0.0184438,0.0376378,0.048014,0.0186449,0,0,0.0515143,0,0.0393159,0,0.026156,0,0.00198691,0.0482565,0.0256053,0.0273238,0.0438356,0.0387887,0.0431854,0.0470169,0.0448537,0.0657479,0.0503022,0,0,0,0.0253669,0,0.0423084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.0337897,0,0,0,0.0577893,0,0.0242348,0,0,0,0.011038,0,0,0.0316252,0.0546074,0.0355862,0,0.0490711,0.0239481,0,0.0274321,0.0197159,0.0111738,0.0172917,0.0397419,0.0481668,0.018648,0,0,0.0485665,0.0603455,0.0389426,0,0.0257005,0,0,0.0525557,0.0162232,0.0307449,0.0416971,0.0386212,0.0483341,0.0531686,0.0456137,0.0643044,0.0516904,0,0,0,0.0268444,0,0.0424699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.0333153,0,0,0,0.0576494,0,0.0259741,0,0,0,0.0109622,0,0,0.0318467,0.0562663,0.0331742,0,0.0496313,0.0246223,0,0,0.0240588,0.0118329,0.0144042,0.0357375,0.0476063,0.0187788,0,0,0.0330634,0.0566195,0.0391186,0,0.0255871,0,0.00180615,0.0488741,0.0171836,0.0303945,0.0424998,0.035163,0,0.0664112,0.0453205,0.0636601,0.0529475,0,0,0,0,0,0.0329237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.0332274,0,0,0,0.0577685,0,0.0279901,0,0,0,0.0111278,0,0,0.0316838,0.0542143,0.0310662,0,0.0485593,0.0237024,0,0.0286661,0,0.013393,0.0112713,0.0353849,0.0481115,0.0185234,0,0,0.0447299,0.0591749,0.0395606,0,0.0259363,0,0.00179078,0.0521413,0.0164698,0.0320921,0.0430928,0.0382615,0.0498667,0.0540339,0.045082,0.0635986,0.0529545,0,0,0,0,0,0.0422909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.0332087,0,0,0,0.0572169,0,0.0210746,0,0,0,0.0109119,0,0,0.0322554,0.0530584,0.0376482,0,0.0510183,0.0256671,0,0.0231046,0.0220547,0.0130745,0.0183835,0.0444165,0.0464988,0.0190355,0,0,0,0.0450898,0.0391249,0,0.0261663,0,0.00165112,0.0514793,0.0182527,0.0294021,0.0425616,0.0297947,0,0.0178938,0.0447803,0.0626283,0.0542983,0,0,0,0.0310431,0,0.0255814,0,0,0.045199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.0335433,0,0,0,0.0574245,0,0.0234377,0,0,0,0.0110154,0,0,0.0319491,0.053927,0.0345566,0,0.0495704,0.0242612,0,0.0250683,0.0245786,0,0.0143999,0.0421766,0.0474746,0.0187052,0,0,0.0363178,0.0510049,0.0395274,0,0.0260504,0,0.00156323,0.0496789,0.01814,0.0295927,0.0425113,0.0330937,0,0.0785199,0.0449711,0.0629502,0.0530876,0,0,0,0.0205679,0,0.0255213,0,0,0.0466007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.0329899,0,0,0,0.0573354,0,0.0264393,0,0,0,0.0110191,0,0,0.032116,0.0576506,0.027997,0,0.0488725,0.0242308,0,0,0,0,0.0205173,0.0336421,0.0472657,0.0187667,0,0,0.036725,0.0509334,0.0401086,0,0.026966,0,0.00161353,0.0476697,0.0182514,0.0313111,0.0437969,0.0316283,0,0.0845827,0.0442478,0.062124,0.0548472,0,0,0,0.0275662,0,0.0227259,0,0,0.047623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.0337627,0,0,0,0.0572919,0,0.0213527,0,0,0,0.011082,0,0,0.0321173,0.0562997,0.0345358,0,0.0497902,0.0240397,0,0,0,0.0935615,0.0133313,0.0417893,0.0475872,0.018687,0,0,0.0369658,0.052903,0.0395771,0,0.0260672,0,0.00142016,0.0483754,0.0188358,0.0294064,0.0420629,0.0319658,0,0.0838168,0.0447769,0.0622605,0.0529543,0,0,0,0.0674667,0,0.0227791,0,0,0.0484899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.0341634,0,0,0,0.0571613,0,0.0214232,0,0,0,0.0111428,0,0,0.0320696,0.0548578,0.0369851,0,0.0497735,0.0237016,0,0.0245473,0.0215439,0.0954873,0.0164653,0.0435707,0.0476969,0.0185847,0,0,0.0376266,0.051891,0.0396388,0,0.026219,0,0,0.0497963,0.0188718,0.0289951,0.0415263,0.0327996,0,0.0827371,0.0449356,0.0624812,0.0523728,0,0,0,0.0761419,0,0.0230603,0,0,0.0488033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.0338192,0,0,0,0.056886,0,0.0196107,0,0,0,0.0110673,0,0,0.0323435,0.0532241,0.0389847,0,0.0506648,0.0246301,0,0.0217938,0.0217774,0.0936286,0.0175257,0.0458763,0.0469165,0.0188121,0,0,0,0.0442601,0.0397485,0,0.0265373,0,0.00131799,0.0520303,0.0206212,0.0290269,0.0422629,0.0311379,0,0.0412382,0.0444528,0.0618598,0.053872,0,0,0,0.0684701,0,0.0193129,0,0,0.0531625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.0356141,0,0,0,0.0569514,0,0.0193257,0,0,0,0.0112458,0,0,0.0321515,0.0559231,0,0,0.0511298,0.023877,0,0.0231327,0.0138401,0.0581536,0.0273319,0.0516141,0.0477973,0.0186018,0,0,0.0415356,0.0537708,0.0393224,0,0.0251234,0,0,0.0523686,0.0181572,0.0257338,0.0393765,0.0339024,0,0.0753087,0.0457435,0.0632004,0.0494741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
