Timestep,C7,CBL,CBR,CFR,CLAV,IMUL_B,L5FT,L5HD,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHIA,LTHIP,LTIB,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,REAR,RELB,RFIN,RFRM,RGTR,RILC,RPSI,RSHO,RTHIP,RTIB,RTIBP,RUPA,STRN,T10,x71,x72,x73,LTIBA,RKNE,RTHI,RBHD,RHEE,RTHII,,RFHD,IMUL_M,RTHIA,IMUR_B,IMUL_T,IMUR_M,CFL,LTHI,RWRB,RTOE,RTIBA,x74,RTIBI,LASI,RWRA,LANK,LHEE,LWRA
370,0.0497505,0,0,0,0.0440896,0,0.0350011,0,0,0,0.0096452,0,0,0.0385134,0.0440751,0.0294299,0.0169512,0.0376449,0.0211398,0.0366744,0.0355164,0.0365266,0.025056,0.031782,0.0227789,0.0487223,0.0199798,0.0347237,0,0.0285586,0.052049,0.0494172,0,0.0186064,0,0.0264109,0.0511814,0.0170196,0.0310166,0.0444694,0.0389287,0.0600028,0.0682463,0.0438752,0.0480257,0.0616425,0,0,0,0.0405241,0.019636,0.0454828,0,0.0422317,0.0526466,0,0,0,0,0,0,0,0,0.0306672,0.0135835,0.0125693,0.0403913,0,0.0464008,0.0393523,0.023295,0.031804,0.0326291,0
371,0.0497402,0,0,0,0.0441132,0,0.0350585,0,0,0,0.00969581,0,0,0.0385653,0.0440874,0.0293953,0.0168693,0.0375973,0.0211874,0.036648,0.0355513,0.0365954,0.0251564,0.0318239,0.0227393,0.0486735,0.0199697,0.0346956,0,0.0285813,0.0520753,0.0493133,0,0.0185608,0,0.02638,0.0512269,0.0169897,0.030949,0.0442651,0.0389393,0.0601503,0.0682132,0.0439123,0.0482161,0.061592,0,0,0,0.040577,0.019689,0.0455416,0,0.0423361,0.0526431,0,0,0,0,0,0,0,0,0.0305888,0.0135224,0.012593,0.0404079,0,0.0463664,0.039476,0.0232751,0.0317205,0.0326721,0
372,0.0496824,0,0,0,0.0441575,0,0.0350723,0,0,0,0.00981587,0,0,0.0385696,0.0440746,0.0294059,0.01686,0.037523,0.0212315,0.0366119,0.0355675,0.0366399,0.0252375,0.031918,0.0227374,0.0486616,0.0199815,0.0345971,0,0.0286343,0.0521046,0.0492639,0,0.0184938,0,0.0263142,0.0512637,0.0170004,0.0309293,0.0440855,0.0389598,0.0602522,0.0681581,0.043929,0.0482765,0.0615334,0,0,0,0.0406579,0.0197113,0.0455873,0,0.0423949,0.0526521,0,0,0,0,0,0,0,0,0.0305375,0.0134534,0.0126963,0.040384,0,0.0463307,0.0395754,0.0232065,0.0317707,0.0327036,0
373,0.0496388,0,0,0,0.044179,0,0.0351038,0,0,0,0.0100052,0,0,0.0385606,0.0440647,0.0294245,0.0167866,0.0374301,0.0212524,0.0365165,0.0356034,0.0366601,0.0253083,0.0319582,0.022684,0.0486413,0.0199339,0.0345757,0,0.0286866,0.0521502,0.0492407,0,0.0185138,0,0.026304,0.0512823,0.0170248,0.0309345,0.0439067,0.0389513,0.0602564,0.0681767,0.0439927,0.0482972,0.0614623,0,0,0,0.0406875,0.019744,0.0455664,0,0.0423975,0.0526121,0,0,0,0,0,0,0,0,0.0304775,0.0134122,0.0126922,0.0403714,0,0.0463202,0.0395062,0.0230467,0.0316902,0.0327724,0
374,0.0496085,0,0,0,0.044184,0,0.035138,0,0,0,0.0100985,0,0,0.0385414,0.0440673,0.029429,0.0167372,0.0373732,0.0212686,0.0364725,0.0356332,0.0367229,0.0253676,0.0319784,0.0226469,0.0486221,0.019846,0.0345372,0,0.0286797,0.052207,0.0491906,0,0.0186011,0,0.0262587,0.051277,0.0170689,0.0309034,0.043715,0.0389172,0.0602317,0.0681229,0.044047,0.0483517,0.0613469,0,0,0,0.0407281,0.0198089,0.0454869,0,0.0423803,0.052573,0,0,0,0,0,0,0,0,0.0304296,0.0133684,0.0126112,0.0404053,0,0.046333,0.0394933,0.0227734,0.0316654,0.0328023,0
375,0.0495769,0,0,0,0.0441995,0,0.0351472,0,0,0,0.0100801,0,0,0.0385818,0.0440777,0.0294814,0.016758,0.0373751,0.0212354,0.0364933,0.0357106,0.0368072,0.0254431,0.0320257,0.0226572,0.0486272,0.0198006,0.0345023,0,0.0286357,0.0522485,0.0491196,0,0.0186153,0,0.0261328,0.0512707,0.0171454,0.0308377,0.0435624,0.0388559,0.0601784,0.0681624,0.0440635,0.0484238,0.0612737,0,0,0,0.0407785,0.0198587,0.0454419,0,0.0424102,0.0525758,0,0,0,0,0,0,0,0,0.030396,0.0132966,0.0125704,0.0404244,0,0.0463424,0.0396052,0.0227092,0.0317557,0.0328018,0
376,0.0495274,0,0,0,0.0442466,0,0.0352052,0,0,0,0.0100288,0,0,0.038607,0.0440995,0.0295467,0.0167691,0.0373785,0.0211905,0.0365486,0.0357939,0.0368808,0.0255032,0.0320414,0.0226225,0.0486576,0.0197721,0.0345213,0,0.0286187,0.0523097,0.0490674,0,0.0185449,0,0.0260256,0.0512707,0.0172362,0.0307591,0.0434482,0.0388333,0.0601914,0.0682537,0.0440443,0.0484727,0.0612376,0,0,0,0.0408392,0.0198753,0.0454265,0,0.0423871,0.0525842,0,0,0,0,0,0,0,0,0.0303763,0.0132038,0.0126097,0.0404316,0,0.0463727,0.0396667,0.022665,0.0316917,0.032871,0
377,0.0495164,0,0,0,0.0442536,0,0.0353114,0,0,0,0.0100312,0,0,0.0386189,0.0440925,0.029535,0.0168149,0.0373236,0.0211463,0.0365772,0.0358403,0.0369489,0.0255572,0.0320825,0.0226571,0.0487337,0.0197123,0.0344513,0,0.028658,0.0523318,0.0490181,0,0.018488,0,0.0259446,0.051333,0.0173558,0.0306784,0.0433276,0.0388417,0.0602606,0.0682836,0.0440368,0.0484885,0.0612312,0,0,0,0.0408137,0.0199253,0.0454193,0,0.0423586,0.0526186,0,0,0,0,0,0,0,0,0.0303619,0.013046,0.0126895,0.0404453,0,0.04641,0.039682,0.0225389,0.0316795,0.0328524,0
378,0.0494957,0,0,0,0.0442779,0,0.0355248,0,0,0,0.0100808,0,0,0.0386355,0.0441031,0.0295148,0.0166943,0.0373106,0.0211007,0.0365386,0.0358942,0.0369777,0.0256448,0.032157,0.0226883,0.0488543,0.0196843,0.03449,0,0.028745,0.0523354,0.0489582,0,0.0184645,0,0.0258358,0.0513792,0.0173917,0.0306334,0.0431797,0.038835,0.0602878,0.0682367,0.0440207,0.0485317,0.0612728,0,0,0,0.0408495,0.019942,0.0453978,0,0.0423506,0.0526117,0,0,0,0,0,0,0,0,0.0303344,0.0128186,0.0126355,0.0404325,0,0.0463989,0.0396669,0.0223325,0.0316477,0.0328334,0
379,0.0494693,0,0,0,0.0442825,0,0.0356441,0,0,0,0.0101455,0,0,0.0386482,0.0441463,0.0294835,0.0164672,0.0372697,0.0210326,0.0364894,0.0359613,0.0369811,0.0257257,0.0322515,0.022693,0.048828,0.0196512,0.0346014,0,0.0287991,0.052351,0.0488603,0,0.0183822,0,0.0257107,0.0513873,0.0173956,0.0305892,0.0430458,0.0388351,0.0603285,0.0682294,0.0440121,0.0485836,0.0612243,0,0,0,0.0409802,0.0199104,0.0453456,0,0.0423979,0.0525676,0,0,0,0,0,0,0,0,0.0303289,0.0125568,0.0126186,0.0403959,0,0.046382,0.0397297,0.0221097,0.0316227,0.0328857,0
380,0.0494735,0,0,0,0.0442598,0,0.035723,0,0,0,0.0101861,0,0,0.0386325,0.0441847,0.0294562,0.0164621,0.0372307,0.0209705,0.0364367,0.0359882,0.0370359,0.0257636,0.0323264,0.0226497,0.0488065,0.0195787,0.0346018,0,0.028811,0.0523842,0.0487544,0,0.0182152,0,0.0255828,0.0514079,0.0174452,0.0305579,0.0429384,0.0388175,0.0603497,0.0682598,0.0439743,0.0485992,0.0611469,0,0,0,0.0410561,0.0198942,0.0453251,0,0.0423902,0.0525505,0,0,0,0,0,0,0,0,0.030331,0.0122602,0.0125397,0.0404144,0,0.0464034,0.0398647,0.0220195,0.0316076,0.0329635,0
381,0.0494669,0,0,0,0.0442275,0,0.0356942,0,0,0,0.0102547,0,0,0.0386165,0.0441769,0.0294167,0.0165344,0.0371542,0.0209337,0.0364401,0.0360012,0.0370376,0.0258,0.0323791,0.0226303,0.0489178,0.0195506,0.0345471,0,0.028818,0.0524085,0.0486379,0,0.0178622,0,0.0254855,0.0514396,0.0174759,0.0305225,0.0428517,0.0388392,0.0603647,0.0682418,0.0439379,0.0486553,0.0611236,0,0,0,0.0410922,0.0199193,0.0453301,0,0.0423877,0.0525861,0,0,0,0,0,0,0,0,0.0302813,0.011954,0.0125323,0.0404228,0,0.0463752,0.0399018,0.0225837,0.031671,0.0329781,0
382,0.0494734,0,0,0,0.0441752,0,0.0355743,0,0,0,0.0103574,0,0,0.0385934,0.0441495,0.0293889,0.0164715,0.0370373,0.0208957,0.0364414,0.0360044,0.0370837,0.0258078,0.0324099,0.022673,0.0490924,0.0194633,0.0345355,0,0.0287947,0.052416,0.0485356,0,0.017428,0,0.025369,0.0514713,0.0174671,0.0304962,0.0427806,0.0388385,0.060293,0.0682214,0.0440113,0.048664,0.0611081,0,0,0,0.0411217,0.0199146,0.0452913,0,0.0424176,0.0525825,0,0,0,0,0,0,0,0,0.0302225,0.011739,0.0125374,0.0404531,0,0.0463278,0.0398339,0.0236317,0.0317705,0.0329537,0
383,0.0493867,0,0,0,0.0441919,0,0.0355613,0,0,0,0.0104614,0,0,0.0384999,0.0440956,0.0293429,0.0164864,0.0369382,0.0208161,0.0364297,0.0359885,0.0370793,0.0257826,0.0324115,0.0226454,0.0491455,0.0193074,0.0345657,0,0.0287738,0.0523943,0.0484771,0,0.0174803,0,0.0253533,0.0514849,0.0174529,0.0304594,0.0426806,0.0387886,0.0600912,0.0681827,0.0440422,0.0485974,0.0610326,0,0,0,0.0410983,0.0198874,0.0452903,0,0.0424472,0.0525682,0,0,0,0,0,0,0,0,0.0302226,0.011203,0.0125488,0.0404677,0,0.0463276,0.0398171,0.0220868,0.0316819,0.0329301,0
384,0.0493175,0,0,0,0.0441957,0,0.0356069,0,0,0,0.0104998,0,0,0.0383816,0.0440733,0.0293832,0.016486,0.0368824,0.0207713,0.036416,0.0360141,0.0370136,0.025795,0.032436,0.0225958,0.0490696,0.0193084,0.0346236,0,0.0287516,0.0523981,0.0484236,0,0.0174982,0,0.0252422,0.0514634,0.0174678,0.0304006,0.0425707,0.038717,0.0601545,0.0681547,0.043935,0.0484094,0.06097,0,0,0,0.041075,0.0198232,0.0452771,0,0.0424549,0.0525783,0,0,0,0,0,0,0,0,0.0302016,0.010723,0.0125313,0.0404663,0,0.0463395,0.0398017,0.0207695,0.031514,0.0329237,0
