Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x74,x73
197,0,0,0,0,0,0,0.0131001,0.00736382,0,0,0,0.0152645,0.0200811,0.011929,0,0,0.0440677,0,0.0183898,0.0249309,0.00668151,0.016102,0.0199332,0.0110092,0.00812851,0.0138387,0.00790033,0.00584774,0.00827104,0.0514016,0.00958235,0.00957808,0.00845054,0.0334835,0.012064,0.0346599,0.00882954,0.00873617,0.0148561,0.01559,0.0312187,0.0112659,0,0,0.00704367,0,0.0127086,0.00379429,0.0812326,0.0531965,0.035055,0.0105324,0.0190917,0.00605248,0.0240387,0.0131971,0.0368062,0.0311558,0.0264137,0.0520368,0.02482,0.0324381,0.0109825,0.00494742,0.0055622,0.00371078,0.00750656,0.0127938,0,0,0,0,0
198,0,0,0,0,0,0,0.0140357,0.00783119,0,0,0,0.0199872,0.026674,0.00958599,0,0,0.106325,0,0.0213366,0.0662822,0.00747078,0.0116659,0.0205618,0.0122007,0.00949303,0.0443759,0.00747341,0.00922752,0.00759162,0.0512969,0.0121592,0.0141694,0.0090791,0.0323258,0.0163568,0.0832476,0.00898024,0.0217136,0.0145973,0.0157663,0.0285312,0.0118951,0,0,0.00741998,0,0.0128852,0.00382215,0.0811671,0.0491647,0.0355209,0.0102114,0.0201833,0.00657762,0.0240997,0.0120756,0.0358898,0.0317712,0.0249095,0.0511333,0.0235653,0.0297157,0.0110047,0.00508565,0.00545937,0.00390618,0.00775313,0.0135607,0,0,0,0,0
199,0,0,0,0,0,0,0.0131149,0.00731184,0,0,0,0.0238719,0.0194695,0.00618021,0,0,0.0424332,0,0.0186298,0.0239695,0.00842232,0.00958798,0.021483,0.015064,0.00961598,0.0118794,0.0072203,0.0136483,0.00729209,0.0507412,0.0155477,0.0191625,0.00938463,0.0309133,0.0217102,0.0327531,0.00917694,0.00794081,0.0130672,0.015738,0.0256256,0.0108709,0,0,0.00759749,0,0.0128205,0.00398067,0.0813449,0.045226,0.0366767,0.00814949,0.019349,0.00646061,0.0235362,0.0111306,0.0350382,0.0316872,0.0232086,0.0508805,0.0223173,0.0265246,0.0111019,0.00551685,0.0058039,0.00397876,0.00760637,0.0127316,0,0,0,0,0
200,0,0,0,0,0,0,0.0131006,0.00729916,0,0,0,0.0266901,0.0194173,0.00237705,0,0,0.0437532,0,0.0187198,0.0248008,0.00937442,0.0143232,0.0222887,0.019707,0.0102648,0.0118988,0.00768174,0.0191357,0.00847308,0.0495145,0.019641,0.0244487,0.00938479,0.0291569,0.0270394,0.0336068,0.00924316,0.00819802,0.0107903,0.015508,0.0225008,0.0104176,0,0,0.00756089,0,0.0125924,0.00395663,0.0819269,0.0412781,0.037817,0.00603071,0.019414,0.0066322,0.0225451,0.0107619,0.0346737,0.0312539,0.0208623,0.0501908,0.0204363,0.0228923,0.0108783,0.00584114,0.00628001,0.00399986,0.00760329,0.0125128,0,0,0,0,0
201,0,0,0,0,0,0,0.0128433,0.00701924,0,0,0,0.0271189,0.0193587,0.0044006,0,0,0.0443685,0,0.0187782,0.0251737,0.0101554,0.022143,0.0229517,0.0246747,0.0100724,0.0119536,0.00897162,0.0243768,0.0114369,0.0476008,0.0232053,0.0286629,0.00868672,0.0275156,0.0300486,0.0340944,0.00925872,0.00837506,0.0105397,0.0154338,0.0206367,0.00976658,0,0,0.00703572,0,0.0125236,0.0037395,0.082549,0.0381868,0.0385261,0.00570827,0.018685,0.00632681,0.0216651,0.0112098,0.0347109,0.0305965,0.0189137,0.0492746,0.0187799,0.020153,0.0100874,0.00572309,0.00615876,0.00395076,0.00737243,0.0120641,0,0,0,0,0
202,0,0,0,0,0,0,0.0098466,0.00562879,0,0,0,0.0320949,0.0196366,0.0120453,0,0,0.0426535,0,0.0184248,0.0243478,0.0249748,0.035922,0.0211742,0.0436594,0.00902994,0.0134968,0.0300926,0.0521747,0.0356344,0.0512562,0.0350341,0.0412274,0.0167663,0.0169287,0.0629082,0.0334412,0.00901617,0.00835258,0.0100274,0.0155931,0.0190813,0.00678388,0,0,0.00273297,0,0.0126502,0.00190573,0.0802868,0.0346695,0.0374233,0.00499164,0.0177666,0.00320697,0.0218232,0.012329,0.0334698,0.0306623,0.0183398,0.0496773,0.0183026,0.0185066,0.00759322,0.00347867,0.0050875,0.00334624,0.00522286,0.00729645,0,0,0,0,0
203,0,0,0,0,0,0,0.00938159,0.00568089,0,0,0,0.0229336,0.019741,0.0121359,0,0,0.0419329,0,0.0182417,0.0239658,0.0250036,0.0324971,0.0213371,0.0421246,0.00882935,0.0142981,0.0303259,0.0513003,0.0354266,0.0504043,0.0333568,0.0372567,0.0163947,0.015995,0.0517816,0.0333843,0.00891631,0.00823936,0.0100049,0.0156277,0.0102741,0.00691719,0,0,0.00222401,0,0.0126817,0.0018246,0.0820486,0.0194499,0.0396362,0.0110917,0.0164916,0.00344707,0.0208177,0.0139479,0.0311869,0.0332509,0.0132917,0.0468109,0.0120605,0.010581,0.0101037,0.00347737,0.00486,0.00317688,0.00505838,0.00636384,0,0,0,0,0
204,0,0,0,0,0,0,0.0104729,0.00601666,0,0,0,0.0252012,0.0194699,0.0188547,0,0,0.0419001,0,0.0185226,0.0237749,0.0110109,0.0456845,0.0237562,0.0372062,0.00747155,0.0135562,0.01466,0.0351608,0.0232449,0.0405963,0.0297218,0.036749,0.00541167,0.023023,0.0320707,0.0332193,0.00916201,0.00814734,0.0150209,0.0155452,0.00927938,0.00746734,0,0,0.00476241,0,0.0126246,0.00269186,0.0882512,0.00982773,0.0450495,0.0193727,0.014908,0.00484405,0.0191015,0.0154831,0.0302079,0.0357099,0.0130791,0.0422828,0.00554508,0.0115544,0.0161367,0.00447221,0.00548613,0.00357465,0.00600501,0.00868468,0,0,0,0,0
205,0,0,0,0,0,0,0.0102709,0.00641422,0,0,0,0.00658108,0.0207243,0.0124813,0,0,0.0461708,0,0.0178447,0.0270184,0.0255453,0.0272555,0.0218045,0.0399541,0.00873561,0.0186493,0.0306276,0.0500728,0.0337914,0.0479892,0.031004,0.0309537,0.0162032,0.014644,0.0283362,0.0372085,0.00852077,0.0100772,0.0174452,0.0156479,0.0142863,0.00899909,0,0,0.00190404,0,0.0127145,0.00212344,0.0855618,0.0166958,0.0435436,0.0225253,0.0145985,0.0048287,0.0205645,0.0211039,0.0311712,0.037689,0.0141821,0.0422461,0.00476999,0.0139968,0.018456,0.00426346,0.00420077,0.00299558,0.00524642,0.00662748,0,0,0,0,0
206,0,0,0,0,0,0,0.00940699,0.00628479,0,0,0,0.00345509,0.0199296,0.0109896,0,0,0.0383588,0,0.0180054,0.0221385,0.0260449,0.0242716,0.0221639,0.0391437,0.00911607,0.0158824,0.0309098,0.0494036,0.032686,0.0468042,0.0303405,0.0295178,0.0164961,0.014461,0.0166782,0.0311172,0.00888619,0.00803205,0.0179198,0.0157109,0.015208,0.00861307,0,0,0.00257065,0,0.0127555,0.00224418,0.0856314,0.0187492,0.0439311,0.0223195,0.0143403,0.00525771,0.0207693,0.0218898,0.0316538,0.0378169,0.0141692,0.0418681,0.0046655,0.0144279,0.018162,0.00465552,0.00433435,0.00299304,0.00527581,0.00599855,0,0,0,0,0
