Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x74,x73
223,0,0,0,0,0,0,0.0098548,0.0054637,0,0,0,0.0222269,0.0205728,0.0315239,0,0,0.0390591,0,0.0178995,0.0220542,0.0130457,0.0647525,0.0207783,0.0485768,0.00997924,0.0161683,0.0237981,0.0423517,0.031413,0.0293148,0.0317197,0.0338664,0.00681046,0.0170093,0.0503626,0.0316592,0.00850228,0.00846156,0.0293975,0.0158438,0.0218053,0.00800856,0,0,0.00189561,0,0.0128888,0.00175349,0.0880219,0.0320655,0.0494524,0.0246707,0.0093184,0.00415651,0.022073,0.0209237,0.02912,0.0393907,0.0170145,0.0383753,0.00746046,0.0239407,0.0319625,0.00338689,0.00411406,0.00313492,0.00582077,0.00794876,0,0,0,0,0
224,0,0,0,0,0,0,0.0095037,0.00532835,0,0,0,0.0234794,0.0199962,0.0301579,0,0,0.034608,0,0.0180604,0.019322,0.0135198,0.0632125,0.020585,0.0464225,0.0102046,0.0146953,0.0233323,0.0399834,0.0303213,0.0290401,0.0309216,0.0329256,0.00724101,0.0165387,0.0516855,0.0281821,0.00866094,0.00756039,0.0292339,0.0158512,0.0213879,0.0075204,0,0,0.00187661,0,0.0129004,0.00173547,0.0877332,0.0318716,0.0494972,0.0243672,0.00901779,0.00415613,0.0221158,0.0208725,0.0291923,0.0395026,0.0168615,0.0385744,0.00741918,0.0238536,0.0321704,0.00339949,0.00403619,0.00314594,0.00597619,0.00783916,0,0,0,0,0
225,0,0,0,0,0,0,0.00935977,0.00521548,0,0,0,0.0250668,0.0200018,0.0288278,0,0,0.03406,0,0.0179583,0.0190263,0.0141111,0.062137,0.0204252,0.0443592,0.0106841,0.0146467,0.0231824,0.0377811,0.0295462,0.0285987,0.0300805,0.0320734,0.00773911,0.0159059,0.0530963,0.027717,0.00863586,0.00737579,0.0291473,0.0158491,0.0212572,0.00753986,0,0,0.00184685,0,0.0129031,0.00172803,0.0874835,0.0323127,0.0496117,0.0242313,0.00902097,0.00423746,0.0222994,0.0210054,0.0291586,0.0397218,0.0168921,0.0387468,0.00751439,0.0239413,0.0322055,0.00348611,0.00408258,0.00314769,0.00585585,0.00799518,0,0,0,0,0
226,0,0,0,0,0,0,0.0106121,0.00538831,0,0,0,0.0266345,0.021163,0.0276837,0,0,0.0430323,0,0.0175766,0.0247321,0.0145757,0.061234,0.0202717,0.042379,0.0112013,0.0184762,0.0230558,0.0357913,0.0287115,0.0281286,0.0292094,0.031305,0.00839916,0.015196,0.0542833,0.0345357,0.00804226,0.00990149,0.0289078,0.0158387,0.0209248,0.00895056,0,0,0.0016827,0,0.0129093,0.00170577,0.0871388,0.0324185,0.0495189,0.0240063,0.00917414,0.0044071,0.0225169,0.0209997,0.0291032,0.0398104,0.0168772,0.038885,0.00763079,0.0239218,0.032263,0.00355281,0.0039819,0.00316106,0.005615,0.00916694,0,0,0,0,0
227,0,0,0,0,0,0,0.0103878,0.00527436,0,0,0,0.0282166,0.0212157,0.026566,0,0,0.0422047,0,0.017524,0.0241792,0.0148347,0.0602182,0.0201006,0.0402896,0.0110191,0.0182083,0.0227129,0.0339724,0.0276032,0.0276762,0.0283187,0.0305637,0.00902117,0.0146337,0.0558837,0.0338082,0.0081778,0.00936997,0.0286019,0.0157654,0.0199969,0.00877044,0,0,0.00166558,0,0.0128719,0.00177471,0.0866457,0.0316314,0.049283,0.0235571,0.00885102,0.00449712,0.0227253,0.0207741,0.0289873,0.03983,0.0167029,0.0391236,0.00762776,0.0236779,0.0323773,0.00361287,0.0037383,0.00320701,0.00538338,0.00889175,0,0,0,0,0
228,0,0,0,0,0,0,0.00971642,0.00583771,0,0,0,0.0117709,0.0202164,0.0134256,0,0,0.0313758,0,0.0177308,0.017699,0.0294243,0.0269586,0.0177976,0.0346357,0.012399,0.0157298,0.0327246,0.0482986,0.0287634,0.0364983,0.0292904,0.0266385,0.0197958,0.00879347,0.0107721,0.0259844,0.00859188,0.00728183,0.0273584,0.0158262,0.0183137,0.00894879,0,0,0.00287452,0,0.0129324,0.00209833,0.0813924,0.0314039,0.0461906,0.0208858,0.0116697,0.00567751,0.0238142,0.0221395,0.0301234,0.0397589,0.0161267,0.0394068,0.00844385,0.023847,0.0324115,0.00469042,0.00321808,0.00302409,0.0058779,0.00805305,0,0,0,0,0
229,0,0,0,0,0,0,0.0116054,0.00543121,0,0,0,0.0336339,0.0231836,0.0240898,0,0,0.0573829,0,0.0171993,0.0339116,0.0153172,0.0581136,0.0198324,0.0369141,0.0115262,0.0252022,0.0220616,0.0310108,0.0252393,0.027224,0.027597,0.0303442,0.00994485,0.0138814,0.0612806,0.0455739,0.00743652,0.0130951,0.0290146,0.0158765,0.0193719,0.00992933,0,0,0.00200242,0,0.0129978,0.00191745,0.0860529,0.0311233,0.0490383,0.0233978,0.00901249,0.00459249,0.0230905,0.0206298,0.0286927,0.0397265,0.0168288,0.039352,0.00795501,0.0237898,0.033147,0.00354333,0.00341059,0.00330393,0.00480542,0.00989579,0,0,0,0,0
230,0,0,0,0,0,0,0.00961078,0.00485956,0,0,0,0.0369217,0.0199822,0.022207,0,0,0.0324622,0,0.0178352,0.0182149,0.0156808,0.0567095,0.0196257,0.0354396,0.0108792,0.0145836,0.0212462,0.0294968,0.0237653,0.0276494,0.027516,0.0308023,0.0100354,0.0140918,0.0645755,0.0265007,0.00861134,0.00732418,0.0293949,0.0159307,0.0191463,0.00826571,0,0,0.00184947,0,0.0130312,0.00193742,0.085828,0.0311925,0.0491849,0.0234155,0.00835972,0.00423081,0.0232941,0.020697,0.0283373,0.0398693,0.0169482,0.0396092,0.00810522,0.0239422,0.0337496,0.00341932,0.00341132,0.00333919,0.00451895,0.00824686,0,0,0,0,0
231,0,0,0,0,0,0,0.00989633,0.0055384,0,0,0,0.0120308,0.0202258,0.0152202,0,0,0.0309643,0,0.0175883,0.017566,0.0326149,0.0278145,0.0180222,0.0351372,0.0132319,0.0157445,0.0343207,0.0520954,0.0281994,0.0352622,0.0313962,0.030782,0.0207495,0.00768499,0.0124927,0.026063,0.00848159,0.00726623,0.0284223,0.0161471,0.0175637,0.0092528,0,0,0.00300834,0,0.0132074,0.0021165,0.0811491,0.0311922,0.0466175,0.0213241,0.0117285,0.00539943,0.0242047,0.0216524,0.0294113,0.0400081,0.0169381,0.0395252,0.0090406,0.0246022,0.034422,0.00435385,0.00295233,0.00307326,0.00497284,0.00830164,0,0,0,0,0
232,0,0,0,0,0,0,0.00996644,0.0054506,0,0,0,0.0181948,0.0202321,0.014982,0,0,0.0309469,0,0.0176115,0.0174847,0.034377,0.0273273,0.0181784,0.0360351,0.013544,0.0157939,0.0354266,0.054894,0.0291897,0.0358675,0.0327539,0.0334249,0.0206671,0.0086928,0.0208574,0.0261221,0.00848014,0.00721167,0.0283728,0.0161655,0.016642,0.00895351,0,0,0.00275506,0,0.0132203,0.00212742,0.0810387,0.0302851,0.0466559,0.0211707,0.011734,0.00517609,0.0241935,0.0209863,0.0292565,0.0396378,0.01717,0.0397222,0.00922746,0.0245429,0.0345899,0.00417254,0.00310027,0.00313921,0.00485139,0.00833145,0,0,0,0,0
233,0,0,0,0,0,0,0.0100156,0.00483874,0,0,0,0.0447895,0.019924,0.0145895,0,0,0.0320817,0,0.0179162,0.017936,0.0164069,0.0477986,0.0197689,0.0310795,0.0105065,0.0146774,0.0166792,0.0250811,0.0174826,0.0321232,0.0262314,0.0326471,0.00894747,0.0174554,0.0704199,0.0264891,0.00857565,0.00726516,0.0289673,0.0160156,0.0169102,0.00810699,0,0,0.00154886,0,0.0130985,0.00213709,0.0846612,0.0288076,0.0484265,0.0225827,0.00793748,0.00380067,0.0234551,0.0198992,0.0278266,0.0392182,0.0168924,0.0405402,0.00847407,0.0231367,0.0338454,0.00315944,0.00392217,0.00358129,0.00434557,0.00865839,0,0,0,0,0
234,0,0,0,0,0,0,0.0100944,0.00496588,0,0,0,0.0452245,0.0198918,0.0131546,0,0,0.0321311,0,0.0178953,0.0179429,0.016577,0.0424204,0.0199003,0.02869,0.0101806,0.0147235,0.0145456,0.0227951,0.0147337,0.0345805,0.024366,0.0315221,0.00850358,0.0195075,0.0684143,0.0265023,0.0085664,0.00721355,0.0289471,0.0160243,0.0166311,0.00846046,0,0,0.00173817,0,0.0131288,0.00235458,0.0842308,0.0283493,0.0481661,0.0223544,0.00793045,0.00386743,0.023429,0.0200806,0.0277848,0.0390368,0.0168384,0.04087,0.00879102,0.0228382,0.0339277,0.00341624,0.00412811,0.00372424,0.00447385,0.00865407,0,0,0,0,0
235,0,0,0,0,0,0,0.0101778,0.00505774,0,0,0,0.0431549,0.0198584,0.0120234,0,0,0.0324035,0,0.0178659,0.0180908,0.0167507,0.0354936,0.0200445,0.0249399,0.00977613,0.0147553,0.0122597,0.0195402,0.0117488,0.0371721,0.0211816,0.0285086,0.00800542,0.0222003,0.0626487,0.0267018,0.00853498,0.00721501,0.0288102,0.0160863,0.0160205,0.0086074,0,0,0.00205252,0,0.0131832,0.00257952,0.0836576,0.0275938,0.0477085,0.0220274,0.00764867,0.00389444,0.0234684,0.020229,0.0278822,0.0384538,0.0166697,0.0411503,0.00896937,0.0223869,0.0339381,0.00365802,0.00432101,0.00380443,0.00454279,0.00884314,0,0,0,0,0
236,0,0,0,0,0,0,0.0116898,0.00558862,0,0,0,0.0390609,0.0217828,0.0112214,0,0,0.0477299,0,0.0171322,0.0276596,0.0170897,0.028006,0.0201862,0.0202359,0.00989519,0.0208413,0.0104949,0.0161046,0.00985359,0.0395847,0.0173042,0.0242922,0.00755671,0.0252689,0.0540246,0.0384316,0.00772275,0.0107664,0.0286491,0.0161003,0.0154931,0.00991457,0,0,0.002127,0,0.0131975,0.00255858,0.0831577,0.02687,0.0470622,0.0218626,0.00791803,0.00402541,0.0234867,0.020372,0.0280529,0.0384135,0.0167058,0.0412634,0.00918444,0.0220021,0.0338145,0.00378005,0.0044414,0.00382314,0.00458587,0.0103559,0,0,0,0,0
237,0,0,0,0,0,0,0.0101467,0.00515777,0,0,0,0.0318161,0.0198543,0.0102499,0,0,0.033046,0,0.0177452,0.0184061,0.0175503,0.0196501,0.0200554,0.0145052,0.00865845,0.0149854,0.00971869,0.0128498,0.00901675,0.0414116,0.0131128,0.0188161,0.00770437,0.0290789,0.0414378,0.0271684,0.0085393,0.0072539,0.0285649,0.0161598,0.0151429,0.00890947,0,0,0.00272922,0,0.0132215,0.00267415,0.0826955,0.0265207,0.046779,0.0216307,0.00669702,0.00365477,0.0236526,0.0204782,0.0280213,0.0384162,0.016848,0.0412528,0.00956091,0.0219604,0.0340008,0.00385369,0.00484107,0.00392884,0.00454233,0.0091097,0,0,0,0,0
238,0,0,0,0,0,0,0.0100946,0.00526506,0,0,0,0.0247317,0.0200066,0.010276,0,0,0.0345934,0,0.0176123,0.0192516,0.0182113,0.0126293,0.0199799,0.00982346,0.0083857,0.0156176,0.00995002,0.0114332,0.00938569,0.0429556,0.0106688,0.0143412,0.00882106,0.0327132,0.0293543,0.028375,0.00846333,0.00752241,0.028147,0.0161172,0.015391,0.00905888,0,0,0.00279804,0,0.0131905,0.00265106,0.0824567,0.0267791,0.0465335,0.0214458,0.00643859,0.00378752,0.0238149,0.0203849,0.0278174,0.0382836,0.0169252,0.0409484,0.00975211,0.0221394,0.0339924,0.00403232,0.00486442,0.00396716,0.00460253,0.00918959,0,0,0,0,0
239,0,0,0,0,0,0,0.0101079,0.00520981,0,0,0,0.0157805,0.0197766,0.00945921,0,0,0.0335667,0,0.0176924,0.018521,0.0189442,0.00492276,0.0197506,0.00765214,0.00811587,0.0153395,0.010851,0.0113669,0.0102824,0.0442065,0.0105941,0.0109548,0.0103776,0.0364211,0.0162519,0.0274872,0.00855636,0.00725708,0.0275444,0.0161553,0.0157385,0.00885743,0,0,0.00304639,0,0.0132275,0.0027056,0.0823144,0.0273721,0.0465106,0.0211664,0.00612168,0.00385943,0.0239789,0.0201639,0.0276728,0.0382889,0.0169152,0.0405833,0.00973858,0.0225009,0.0337312,0.00408654,0.00491081,0.00405416,0.00462933,0.00906013,0,0,0,0,0
240,0,0,0,0,0,0,0.010314,0.00518967,0,0,0,0.00821979,0.0197395,0.00767075,0,0,0.0337255,0,0.0177308,0.0186181,0.0197093,0,0.0195607,0.00812107,0.00819633,0.0153723,0.0115567,0.0114608,0.0114028,0.0454426,0.0122448,0.00997574,0.0116706,0.0395838,0.00615214,0.0275571,0.00857903,0.0073675,0.0266744,0.0162158,0.0163972,0.0088003,0,0,0.00322166,0,0.0132832,0.00276109,0.0823202,0.028275,0.0467164,0.0209771,0.00614984,0.00390551,0.0240805,0.020003,0.0276166,0.0382636,0.0168141,0.0400764,0.00971839,0.0229033,0.0328884,0.00406501,0.00497732,0.00413363,0.00458391,0.00913513,0,0,0,0,0
241,0,0,0,0,0,0,0.0108313,0.005382,0,0,0,0.00628313,0.0202134,0.00622833,0,0,0.0377876,0,0.0175115,0.0212074,0.0203744,0,0.0194982,0.00965288,0.00849504,0.0168626,0.0115377,0.0108377,0.0118963,0.0461118,0.0137042,0.00995108,0.0115815,0.0415685,0.00850478,0.0306896,0.008325,0.008474,0.0256371,0.0162966,0.0173579,0.00912295,0,0,0.00330794,0,0.0133409,0.00280515,0.0824987,0.0296214,0.0470861,0.0207322,0.00624677,0.00410122,0.0241086,0.0199807,0.0277066,0.0380949,0.0168701,0.0392197,0.00970824,0.0233203,0.0314748,0.00401162,0.00505547,0.00418383,0.00461241,0.0100363,0,0,0,0,0
242,0,0,0,0,0,0,0.0103384,0.00532196,0,0,0,0.00686074,0.0198209,0.00606647,0,0,0.0346617,0,0.0176428,0.0192949,0.020487,0.00975568,0.0197673,0.00976329,0.00878382,0.0156212,0.010819,0.0101025,0.0119617,0.0468632,0.0139363,0.0101672,0.0112185,0.0415267,0.00974539,0.0283557,0.00853124,0.00763578,0.0240565,0.0162423,0.0180869,0.00890786,0,0,0.00339324,0,0.0133009,0.00302617,0.0827533,0.0306129,0.0473653,0.020175,0.00636768,0.0041843,0.0240965,0.0198721,0.0279551,0.0377263,0.0166617,0.0383981,0.00966956,0.0233379,0.0293506,0.00416371,0.00518765,0.0041891,0.00455339,0.00986887,0,0,0,0,0
243,0,0,0,0,0,0,0.0103395,0.00546814,0,0,0,0.00429049,0.0198337,0.00560326,0,0,0.0348572,0,0.0176257,0.0194783,0.0200476,0.00815034,0.0200185,0.00962171,0.00899958,0.0157352,0.0102549,0.00928156,0.01116,0.0464308,0.0131354,0.00884731,0.0105321,0.0408071,0.00750518,0.028528,0.00850763,0.00780673,0.0221217,0.0162675,0.0191252,0.00903001,0,0,0.00341473,0,0.0133262,0.00317323,0.0829371,0.0318385,0.0476413,0.0194976,0.00615727,0.00417734,0.0240174,0.019761,0.0284356,0.0372428,0.0162737,0.0372698,0.00963952,0.0233573,0.0270644,0.00417074,0.00530674,0.00419136,0.00460328,0.00983007,0,0,0,0,0
244,0,0,0,0,0,0,0.01089,0.00576779,0,0,0,0.00495726,0.0202903,0.00474417,0,0,0.0384315,0,0.0173407,0.0217098,0.019165,0.00478376,0.0202718,0.00857572,0.00940293,0.0171314,0.0101913,0.00885715,0.0103081,0.0455699,0.0113827,0.00740803,0.0100968,0.0393345,0.00518193,0.0312162,0.00828563,0.00869701,0.0197179,0.016415,0.020247,0.00958034,0,0,0.00353127,0,0.0134678,0.00325222,0.0830572,0.0330778,0.0479052,0.0187497,0.00605151,0.00416807,0.0238674,0.0196239,0.0289593,0.0366913,0.015939,0.035962,0.00966332,0.0233206,0.0244419,0.00405125,0.00517542,0.00420057,0.00484306,0.0102175,0,0,0,0,0
245,0,0,0,0,0,0,0.0105707,0.00578184,0,0,0,0.013819,0.0199313,0.00746761,0,0,0.0353796,0,0.0174752,0.0197486,0.0185308,0.00662897,0.0203377,0.00703488,0.0100539,0.0161016,0.0101502,0.0092892,0.00943932,0.0448158,0.009745,0.00849693,0.0100667,0.0373384,0.0129143,0.0288092,0.00847047,0.00792667,0.017068,0.0165037,0.021364,0.00953753,0,0,0.00389894,0,0.0135571,0.00328406,0.0831729,0.034229,0.0483109,0.0178195,0.00597355,0.00406765,0.0236538,0.0195305,0.0295806,0.0360912,0.0156863,0.0346457,0.00996125,0.0232354,0.0215972,0.00391467,0.00526634,0.00421636,0.0050688,0.00983195,0,0,0,0,0
246,0,0,0,0,0,0,0.0104898,0.00583996,0,0,0,0.0189144,0.0199,0.0105567,0,0,0.0354328,0,0.0174437,0.0198064,0.0187605,0.0121781,0.0200048,0.00685097,0.0106323,0.0164156,0.00980383,0.0104026,0.00842148,0.0438144,0.0094301,0.0105838,0.0100665,0.035796,0.0192879,0.0289387,0.00839123,0.00788168,0.014555,0.0165128,0.0222671,0.00938935,0,0,0.00401257,0,0.0135692,0.00327301,0.083108,0.0349209,0.0486597,0.0168038,0.00575272,0.00403339,0.0235086,0.0191474,0.0304819,0.035434,0.0154487,0.0331942,0.0105091,0.022966,0.0182779,0.00373723,0.00521847,0.00419788,0.00528511,0.0100445,0,0,0,0,0
247,0,0,0,0,0,0,0.0105106,0.00586929,0,0,0,0.0205534,0.0199103,0.0129622,0,0,0.0352253,0,0.0173856,0.0196597,0.0194362,0.01559,0.0195781,0.00770915,0.0112773,0.0165895,0.00879728,0.0111152,0.00784499,0.0435717,0.0100342,0.0123269,0.010087,0.0348049,0.0220266,0.0289163,0.0083947,0.00774085,0.0132709,0.0163452,0.0229897,0.00954201,0,0,0.00402174,0,0.013433,0.00336075,0.0828829,0.0349556,0.0488895,0.0157028,0.00594177,0.00413827,0.0234803,0.0186497,0.0315254,0.0346768,0.0150058,0.031678,0.0108725,0.0222236,0.0143864,0.00368572,0.00518257,0.00421393,0.0054571,0.0101098,0,0,0,0,0
248,0,0,0,0,0,0,0.0105314,0.00596853,0,0,0,0.0202103,0.0199752,0.0139915,0,0,0.0353361,0,0.0173173,0.0197322,0.0199397,0.0176957,0.0193271,0.008638,0.0120613,0.0167342,0.00760817,0.0109565,0.00785009,0.0444778,0.0104135,0.0127643,0.0103875,0.0348444,0.0222061,0.0289376,0.00839305,0.0077751,0.0123302,0.016287,0.0234787,0.00976419,0,0,0.00427373,0,0.0133878,0.00348485,0.0825234,0.0345223,0.0489809,0.0144083,0.00655751,0.00436273,0.0234255,0.0182888,0.0327285,0.0338194,0.0143439,0.0300798,0.0112315,0.0211214,0.0107469,0.00365429,0.00533925,0.0043121,0.00562298,0.0101016,0,0,0,0,0
249,0,0,0,0,0,0,0.0110886,0.00626332,0,0,0,0.0198131,0.0204981,0.0139053,0,0,0.0395321,0,0.0170383,0.0223878,0.0201307,0.0194941,0.0191286,0.00830341,0.0129301,0.018281,0.0065677,0.0101293,0.00870029,0.0460344,0.0105669,0.0122755,0.011021,0.035719,0.0221899,0.0320408,0.00815053,0.00885144,0.0128525,0.0165431,0.0234818,0.0102311,0,0,0.00463055,0,0.0136022,0.00336147,0.0821091,0.0330387,0.0489155,0.0128908,0.00748149,0.0045889,0.0232872,0.0179621,0.0340545,0.0328339,0.0136005,0.0284108,0.0115612,0.0196339,0.00844509,0.00357232,0.00501119,0.00441674,0.00579355,0.0107322,0,0,0,0,0
250,0,0,0,0,0,0,0.0109287,0.00631566,0,0,0,0.0204847,0.0201359,0.0142651,0,0,0.0368233,0,0.0171817,0.020668,0.0201193,0.0213702,0.0189237,0.00791504,0.0137875,0.017143,0.00611327,0.0092354,0.00979196,0.047618,0.0108034,0.0116901,0.011498,0.0368527,0.0228716,0.0298867,0.00832514,0.00798679,0.0114979,0.0168969,0.023349,0.00985446,0,0,0.00546752,0,0.0139174,0.00363126,0.0819191,0.03156,0.0490791,0.0112976,0.00859903,0.004534,0.023019,0.0178217,0.0354103,0.0317086,0.0130783,0.0266114,0.0120228,0.0181772,0.0100094,0.00357506,0.00452503,0.00460823,0.0059317,0.0102257,0,0,0,0,0
251,0,0,0,0,0,0,0.0111181,0.00638594,0,0,0,0.0216771,0.0201538,0.0151358,0,0,0.037436,0,0.0171558,0.0210952,0.0197475,0.0229623,0.0188563,0.00709855,0.0142965,0.0174137,0.00626585,0.0087149,0.0106791,0.0489168,0.010994,0.0114205,0.011866,0.0376724,0.0243943,0.0304731,0.00830113,0.00815048,0.0143003,0.0166146,0.0228212,0.00990688,0,0,0.00535138,0,0.0136651,0.0036565,0.0818849,0.0287922,0.0492956,0.00965436,0.0095978,0.00447941,0.0224955,0.0176686,0.0371841,0.0303644,0.0127779,0.0246704,0.0125976,0.0166937,0.0115997,0.00348324,0.00492326,0.00466961,0.0059662,0.00988321,0,0,0,0,0
252,0,0,0,0,0,0,0.0113835,0.00643018,0,0,0,0.0233649,0.0204587,0.0155622,0,0,0.0397065,0,0.0170381,0.022644,0.0191041,0.0236061,0.0187617,0.00567007,0.0148466,0.0184145,0.0065921,0.0086798,0.0112705,0.0498208,0.0109927,0.0114622,0.0120045,0.0380196,0.0265934,0.0324155,0.00819104,0.00878295,0.0174644,0.0165406,0.0220421,0.0101967,0,0,0.00524796,0,0.0135798,0.00338421,0.0820035,0.0259077,0.0494969,0.00800583,0.0104095,0.00427088,0.0217223,0.0175626,0.0393222,0.028942,0.0128268,0.0227089,0.0134119,0.015517,0.0138626,0.00307129,0.00507722,0.00472389,0.00596194,0.0101062,0,0,0,0,0
253,0,0,0,0,0,0,0.00850044,0.00553712,0,0,0,0.0259779,0,0.0159657,0,0,0.0405463,0,0.0122609,0.021526,0.0183726,0.0230832,0.0184838,0.00524438,0.0142554,0.0164451,0.00655234,0.00881268,0.0115392,0.0506414,0.0111125,0.0122849,0.0121425,0.0377227,0.0306422,0.0315176,0.00941421,0.0122885,0.0181791,0.0160886,0.021266,0.00774477,0,0,0.00396875,0,0.0132086,0,0.0823397,0.0243523,0.0501558,0.00589417,0.00993488,0.00411492,0.0204354,0.0178301,0.0414819,0.0275,0.0131215,0.0209177,0.014259,0.0148059,0.0165639,0.00431929,0.0046191,0.00392345,0.00575172,0.00790952,0,0,0,0,0
254,0,0,0,0,0,0,0.0110997,0.00652891,0,0,0,0.0284471,0.0202435,0.015936,0,0,0.0379608,0,0.0171237,0.0214473,0.0178627,0.0216425,0.0181692,0.00663659,0.015224,0.0180089,0.00634768,0.00943552,0.0113237,0.0510688,0.0109535,0.0129283,0.0117661,0.036621,0.0351429,0.0310382,0.00828094,0.00818467,0.0193326,0.016371,0.0202875,0.0103237,0,0,0.00578728,0,0.0134005,0.00356445,0.0823724,0.0232463,0.0497715,0.00389696,0.0116248,0.00422598,0.0186047,0.0180144,0.043886,0.0263861,0.0140012,0.0188954,0.0153392,0.0148869,0.0198903,0.00292419,0.00609175,0.00487099,0.00617041,0.0102371,0,0,0,0,0
255,0,0,0,0,0,0,0.0109939,0.00666106,0,0,0,0.0295095,0.0202846,0.0153051,0,0,0.0378396,0,0.0171994,0.0212882,0.0175296,0.0202935,0.0177241,0.00800853,0.0149971,0.0181904,0.00578149,0.0100264,0.0110332,0.0510308,0.0106984,0.013086,0.011314,0.0354304,0.0374725,0.0310027,0.00824645,0.00807588,0.0215566,0.016329,0.0199353,0.0103258,0,0,0.00564741,0,0.0133781,0.00372631,0.0823659,0.0232434,0.0499411,0.00203391,0.0118934,0.00433111,0.0171043,0.0185879,0.0460395,0.0255075,0.0150902,0.017095,0.0165621,0.0157221,0.0241276,0.00297231,0.00609286,0.00485098,0.00631811,0.0104174,0,0,0,0,0
256,0,0,0,0,0,0,0.0111286,0.00693479,0,0,0,0.0298695,0.0204181,0.0143569,0,0,0.0376346,0,0.0173115,0.0210669,0.0175736,0.0190892,0.0172186,0.00887795,0.0143726,0.018494,0.00532387,0.0103096,0.0109149,0.0507542,0.0104034,0.0129328,0.0108399,0.0344931,0.0380294,0.0309904,0.00819836,0.00794038,0.0263447,0.0162577,0.0204419,0.0106123,0,0,0.00371029,0,0.0133162,0,0.0822357,0.0224777,0.0501328,0.0022094,0.0115789,0.00468141,0.0156052,0.0194278,0.0482553,0.0249416,0.0161267,0.0153447,0.0178666,0.0166904,0.0295322,0.00362759,0.00517869,0.00397071,0.006612,0.0107398,0,0,0,0,0
257,0,0,0,0,0,0,0.0110638,0.00688225,0,0,0,0.0304298,0.0204612,0.0142438,0,0,0.0368915,0,0.0171226,0.0207624,0.0178855,0.018076,0.0167121,0.00976392,0.0139548,0.0188654,0.00528798,0.0107316,0.0109795,0.0506037,0.0105185,0.0134036,0.0105021,0.0337726,0.0391475,0.0306831,0.00809975,0.00801197,0.029375,0.0165672,0.0219185,0.0107293,0,0,0.00666188,0,0.0135422,0.00382844,0.0820875,0.0251429,0.0504506,0.00465973,0.0115566,0.00419667,0.0138222,0.020909,0.0507131,0.0247912,0.017432,0.013723,0.0193352,0.017938,0.0338303,0.0024711,0.00585508,0.00487372,0.00669258,0.0110635,0,0,0,0,0
258,0,0,0,0,0,0,0.0113817,0.00696941,0,0,0,0.0304853,0.0205326,0.0145824,0,0,0.0360979,0,0.0169116,0.0204521,0.0183123,0.017452,0.0159983,0.0101989,0.0135373,0.0194222,0.00542087,0.010639,0.0107437,0.0503339,0.0108536,0.0139814,0.0102337,0.0334058,0.0391543,0.0304551,0.00801295,0.0080827,0.0332902,0.0165938,0.0239779,0.0111371,0,0,0.00676867,0,0.0135733,0.00388274,0.0819586,0.0278949,0.0512518,0.00859847,0.011495,0.00401328,0.0121306,0.0232802,0.053865,0.0252017,0.019448,0.0124369,0.0213249,0.0195911,0.0374657,0.00193383,0.00545994,0.00483877,0.00687779,0.0113984,0,0,0,0,0
259,0,0,0,0,0,0,0.0119838,0.00711509,0,0,0,0.0298277,0.0207462,0.0149349,0,0,0.0352775,0,0.0167769,0.0200973,0.0185638,0.0168874,0.0153073,0.0101901,0.0130366,0.0201024,0.00544162,0.00994028,0.010336,0.0500093,0.0110939,0.0143016,0.00990163,0.033325,0.0379951,0.0302108,0.00792851,0.00801248,0.0367325,0.0165856,0.0259515,0.0116506,0,0,0.00663396,0,0.0135712,0.0038523,0.0818918,0.0308745,0.0523081,0.0146335,0.0114726,0.00383678,0.0113748,0.0276981,0.0586312,0.0264192,0.0215621,0.0132881,0.0228158,0.0206122,0.0415107,0.0012801,0.00536066,0.00480354,0.00704701,0.01163,0,0,0,0,0
260,0,0,0,0,0,0,0.0121303,0.00718624,0,0,0,0.0287478,0.020944,0.0148628,0,0,0.034999,0,0.0166927,0.0200027,0.018524,0.0162003,0.0150589,0.00995587,0.0126611,0.0203487,0.0052192,0.00941896,0.0100322,0.0496745,0.0110275,0.0142719,0.00969897,0.0331986,0.0363605,0.0301287,0.00785791,0.00794025,0.0415285,0.0166335,0.0265342,0.0118676,0,0,0.00671835,0,0.0135987,0.00381526,0.081878,0.029465,0.0519688,0.0170052,0.0116226,0.0038432,0.0121414,0.0285232,0.0602479,0.027373,0.021911,0.0135439,0.0230065,0.0201072,0.0485009,0.00097685,0.00544117,0.00474367,0.0070522,0.0117209,0,0,0,0,0
