Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
68,0,0,0,0,0,0,0.0243068,0.00695341,0,0,0,0.0578139,0.0168083,0.0312897,0.0336164,0,0,0.00280439,0,0.0199164,0.00345075,0.036764,0.0241768,0.0188387,0.0200537,0.019229,0.0100129,0.0241991,0.0187117,0.0220773,0.0493152,0.0149212,0.0211813,0.0154973,0.0211777,0.0689775,0.00390518,0.0109291,0.00254442,0.0332951,0.0147161,0.0257159,0.046151,0.0284848,0,0,0.033928,0,0.0115482,0.0216569,0.044022,0.046356,0.00166727,0.0173429,0.020171,0.0178611,0.0301373,0.0211401,0.0589414,0.0432964,0.0249309,0.00740875,0.0234238,0.0322506,0.0494746,0.0241268,0.00770303,0.00780322,0.0112906,0.0234797,0,0,0,0
69,0,0,0,0,0,0,0.0245008,0.00710768,0,0,0,0.0579674,0.0167994,0.031405,0.0336046,0,0,0.00283816,0,0.0199106,0.00342995,0.0364937,0.0246347,0.0190454,0.0203714,0.0193291,0.00997856,0.0240241,0.0186402,0.0222609,0.0493398,0.0148872,0.0209776,0.015549,0.0209836,0.0692813,0.00393187,0.0109374,0.00249408,0.0342951,0.0146747,0.0257599,0.0458673,0.0287153,0,0,0.0338423,0,0.0115114,0.0215962,0.0443265,0.0468142,0.00176363,0.0178463,0.0201987,0.0178365,0.0308194,0.0211369,0.0584877,0.0438805,0.0254239,0.00864346,0.0229742,0.0330974,0.0519664,0.0240447,0.00770051,0.0077494,0.0112354,0.0236751,0,0,0,0
70,0,0,0,0,0,0,0.0247841,0.00726037,0,0,0,0.0582336,0.0167769,0.0317625,0.0335723,0,0,0.00296559,0,0.0199445,0.00346642,0.0361769,0.0251659,0.0192157,0.0207335,0.0194007,0.0100248,0.0238384,0.0185356,0.0221345,0.0493718,0.015094,0.0210728,0.0159461,0.0209462,0.0696136,0.00399201,0.0109641,0.00245535,0.0351159,0.0146284,0.025754,0.0454408,0.0290362,0,0,0.0337757,0,0.0114792,0.0215527,0.0446052,0.0471388,0.00187285,0.0185798,0.0203456,0.0178658,0.0316983,0.0212232,0.0578621,0.0446532,0.025527,0.00982736,0.0222548,0.0332008,0.0540354,0.0239024,0.00772932,0.00776193,0.0113666,0.0239591,0,0,0,0
71,0,0,0,0,0,0,0.0251084,0.00742142,0,0,0,0.058315,0.0167009,0.0321074,0.0335741,0,0,0.00320645,0,0.0199822,0.00359872,0.0358233,0.0255195,0.0193546,0.0210765,0.019436,0.0101599,0.0237789,0.0183323,0.0220445,0.049404,0.0153302,0.0214266,0.0160923,0.0210597,0.0698286,0.00418276,0.0109864,0.00241906,0.0358021,0.0145939,0.0251492,0.0450556,0.0293324,0,0,0.0337071,0,0.0114597,0.0215256,0.0448604,0.0467696,0.00198985,0.0196717,0.0205873,0.0179134,0.0327399,0.0214023,0.0571983,0.0455978,0.0252465,0.0110648,0.0213573,0.0328615,0.0553453,0.0239539,0.00778051,0.00780059,0.0115278,0.0242935,0,0,0,0
72,0,0,0,0,0,0,0.0254151,0.00762083,0,0,0,0.0582858,0.0166112,0.0323366,0.0335733,0,0,0.00343729,0,0.0199669,0.00369,0.0354337,0.025733,0.0194325,0.0211465,0.0192711,0.0103691,0.0236734,0.0181182,0.0220427,0.0494158,0.0154619,0.0217104,0.0160135,0.0210603,0.0697962,0.00426393,0.0110084,0.00235879,0.0365637,0.0145798,0.0242773,0.0447037,0.0295069,0,0,0.0335807,0,0.0114544,0.0214762,0.0451529,0.0457969,0.00192572,0.0209003,0.0207939,0.0179043,0.0338187,0.021685,0.0566759,0.0466276,0.0244711,0.0126736,0.0201087,0.0319167,0.0562148,0.0239235,0.00784617,0.007847,0.0116173,0.0246053,0,0,0,0
73,0,0,0,0,0,0,0.0257508,0.00788175,0,0,0,0.058384,0.016553,0.0324268,0.0336448,0,0,0.00358143,0,0.0199924,0.00373229,0.0350653,0.0260553,0.019489,0.0208351,0.0190203,0.0105514,0.0235043,0.0180962,0.0220308,0.0494077,0.0155242,0.0218967,0.0163192,0.021019,0.0698362,0.0042582,0.0110591,0.00232701,0.0369205,0.0145589,0.0235526,0.0444583,0.0296534,0,0,0.0334832,0,0.0114456,0.0214392,0.0453487,0.044562,0.00192816,0.0221006,0.0209698,0.0179182,0.0349988,0.0221681,0.0562289,0.0477894,0.023209,0.0147427,0.0182439,0.0305271,0.0564861,0.023851,0.00793195,0.0078745,0.0116652,0.0249281,0,0,0,0
74,0,0,0,0,0,0,0.0261475,0.00819563,0,0,0,0.0583934,0.0164733,0.032433,0.0336808,0,0,0.00374331,0,0.0200716,0.0037343,0.0347792,0.0264418,0.0195246,0.0208198,0.0186879,0.0106484,0.0233187,0.0180042,0.0219423,0.0494285,0.0156355,0.0220277,0.0167376,0.0210101,0.0699882,0.00424896,0.0111106,0.00232354,0.0364122,0.0145378,0.0231769,0.0443157,0.0298523,0,0,0.033413,0,0.0114368,0.0214267,0.0453748,0.0429363,0.00210795,0.0232116,0.0212396,0.0180056,0.0363708,0.0228525,0.0557349,0.049195,0.0215987,0.0171593,0.0158947,0.0289425,0.0554719,0.0238477,0.00794736,0.00790451,0.011723,0.0253013,0,0,0,0
75,0,0,0,0,0,0,0.0265685,0.00859584,0,0,0,0.0582747,0.0163862,0.0324017,0.033661,0,0,0.00400995,0,0.0201297,0.00375475,0.03454,0.0268869,0.0195413,0.0209135,0.0183688,0.0107309,0.023141,0.0178424,0.0217964,0.0494732,0.0158454,0.0219963,0.0164018,0.0210125,0.0701669,0.00411274,0.0111542,0.00235722,0.0350391,0.0145235,0.0226871,0.0442327,0.0300952,0,0,0.0333185,0,0.0114324,0.0213928,0.0452607,0.0409349,0.00253987,0.0240517,0.0216393,0.0181322,0.0377462,0.0235985,0.0553552,0.0506476,0.0196109,0.0197869,0.013254,0.0271038,0.0530945,0.0239552,0.00798065,0.00796188,0.0118801,0.0256945,0,0,0,0
76,0,0,0,0,0,0,0.0269811,0.00901232,0,0,0,0.0581265,0.0162808,0.032455,0.0336184,0,0,0.00434599,0,0.0201899,0.00388367,0.0343297,0.0274053,0.0195298,0.0210376,0.0180474,0.0109734,0.02294,0.017708,0.0215307,0.0495307,0.0159297,0.0217708,0.0162187,0.021013,0.069998,0.00407759,0.0112148,0.00238041,0.0331281,0.0144852,0.022055,0.0441358,0.0303872,0,0,0.0332795,0,0.0114085,0.0214137,0.0450869,0.0387826,0.00304439,0.0245678,0.0220657,0.0183045,0.0389759,0.0243579,0.0548996,0.0519885,0.0175062,0.0225618,0.0103953,0.0249528,0.0496653,0.0240785,0.00802685,0.00800364,0.0120662,0.0261341,0,0,0,0
77,0,0,0,0,0,0,0.0275029,0.00952394,0,0,0,0.0580104,0.0161425,0.0328387,0.0335976,0,0,0.00468213,0,0.0202404,0.00404007,0.0342054,0.0286889,0.0194043,0.0209316,0.0177041,0.0114051,0.0229343,0.017474,0.0212869,0.0497518,0.0152446,0.0218045,0.0159275,0.0206186,0.0700929,0.00410271,0.0112474,0.00240736,0.0311414,0.0144595,0.0212723,0.0440133,0.0308004,0,0,0.033216,0,0.0113954,0.0214256,0.0449457,0.0367788,0.00353272,0.0248589,0.0226112,0.0186376,0.0399263,0.0249567,0.054413,0.0531069,0.0152419,0.0254212,0.00736312,0.0225891,0.0458375,0.0242817,0.00808982,0.00802407,0.0123193,0.0266567,0,0,0,0
