Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,x73,STRN
59,0,0,0,0,0,0,0.0230597,0.0149938,0,0,0,0.0434991,0.0221431,0.0222636,0.0241301,0,0,0.0103793,0,0.018257,0.00541298,0.0356053,0.0230772,0.0204409,0.0252302,0.00984511,0.013582,0.103574,0.0968097,0.0643208,0.0847739,0.0146307,0.0184439,0.00935077,0.0191386,0.0484582,0.0113708,0.0090125,0.00509417,0.036404,0.01302,0.0254274,0.0351786,0.0210702,0,0,0.0484393,0,0.0106488,0.0317198,0.0461686,0.0453924,0.00709089,0.0393946,0.0267638,0.0174411,0.0828856,0.0798579,0.0300061,0.0531543,0.0268167,0.0340521,0.0127533,0.0380114,0.0476286,0.0279157,0.0116579,0.0117423,0.0200922,0,0,0,0,0.0138668
60,0,0,0,0,0,0,0.0234906,0.0152735,0,0,0,0.0436485,0.0221324,0.0223162,0.0243625,0,0,0.0102117,0,0.0182509,0.00526109,0.0356289,0.0239345,0.0204137,0.0253383,0.00971973,0.0139728,0.103617,0.0968232,0.0644892,0.0847407,0.0146768,0.0181312,0.00950886,0.0191088,0.0486665,0.0113297,0.00903591,0.00510207,0.0372098,0.0130244,0.0282133,0.035337,0.0215198,0,0,0.0484427,0,0.0106648,0.0317981,0.045799,0.0458371,0.00742144,0.0437613,0.027435,0.0177913,0.0825064,0.0797497,0.0294166,0.0524445,0.030472,0.0349081,0.014602,0.0405815,0.0441428,0.0281875,0.0116597,0.0117444,0.0204404,0,0,0,0,0.0142974
61,0,0,0,0,0,0,0.0238598,0.0155609,0,0,0,0.0440614,0.0220728,0.0224504,0.0246708,0,0,0.00997449,0,0.0182555,0.00509806,0.0358166,0.0246024,0.0203428,0.0253981,0.00971326,0.0142931,0.103553,0.0968405,0.064629,0.0845933,0.0147067,0.0181187,0.00974242,0.0191112,0.0491485,0.0112821,0.00905238,0.00503023,0.0396948,0.0130193,0.0312179,0.0353818,0.0219218,0,0,0.0484782,0,0.0106723,0.0318904,0.0455874,0.0469796,0.00760279,0.0487033,0.0281901,0.0181765,0.0818659,0.0793694,0.0286381,0.0518518,0.0343636,0.0350159,0.0159362,0.0433718,0.042597,0.0285193,0.011685,0.0117257,0.0208109,0,0,0,0,0.0147208
62,0,0,0,0,0,0,0.024126,0.015835,0,0,0,0.0446584,0.0220114,0.0226109,0.0249668,0,0,0.00978227,0,0.0182573,0.00495678,0.0361321,0.0252133,0.0202467,0.025488,0.00985227,0.0144488,0.103424,0.0969264,0.0647385,0.0843866,0.0147951,0.0184215,0.00988272,0.0191063,0.0497962,0.0112373,0.00904766,0.00494936,0.0410831,0.0130035,0.0326489,0.0352857,0.0222231,0,0,0.0485419,0,0.0106732,0.0319865,0.0456263,0.0473342,0.00759035,0.0530121,0.0289098,0.0185176,0.0810268,0.0790587,0.0281723,0.0511954,0.037746,0.0348869,0.0168557,0.0456302,0.0420385,0.0288005,0.0117173,0.011716,0.0210311,0,0,0,0,0.0149886
63,0,0,0,0,0,0,0.0244224,0.0161343,0,0,0,0.0450058,0.0219593,0.0225256,0.0251992,0,0,0.00968333,0,0.0182678,0.0048455,0.0362379,0.0256229,0.0201044,0.0254985,0.00991288,0.0145716,0.103344,0.0970327,0.064848,0.0842032,0.0148596,0.0187198,0.0100042,0.0190822,0.0501751,0.0112198,0.00906631,0.00493514,0.0297178,0.0129923,0.0244292,0.0352695,0.0225536,0,0,0.0486678,0,0.0106692,0.0320996,0.0457361,0.0422995,0.00764725,0.0527087,0.0295679,0.0188583,0.0803281,0.0799074,0.0299288,0.0502406,0.0389293,0.0375026,0.0202757,0.0449685,0.0414321,0.0290587,0.0117403,0.0117383,0.0213191,0,0,0,0,0.0151315
64,0,0,0,0,0,0,0.0246653,0.0164274,0,0,0,0.0451619,0.0219418,0.0223006,0.0253458,0,0,0.00957341,0,0.0182601,0.00475918,0.0362764,0.0259123,0.0200575,0.0255532,0.0100945,0.0147137,0.103314,0.0971625,0.0649443,0.0840649,0.0148833,0.0189538,0.0101548,0.0190404,0.0503894,0.0111271,0.00909069,0.00491161,0.0261268,0.0129911,0.0231987,0.0353338,0.0228967,0,0,0.0487677,0,0.0106772,0.0321976,0.0458923,0.0437742,0.00785203,0.0524281,0.0302604,0.0192784,0.0796831,0.0804552,0.0310392,0.0495168,0.039904,0.0399316,0.0240509,0.0450854,0.0456868,0.0293793,0.0117268,0.0117779,0.0217315,0,0,0,0,0.0154569
65,0,0,0,0,0,0,0.0247888,0.0165921,0,0,0,0.045126,0.0219046,0.0220649,0.0254415,0,0,0.00949266,0,0.0182514,0.00468044,0.036234,0.0263238,0.0200732,0.0255214,0.0102386,0.0148041,0.103316,0.0972484,0.0650194,0.0839777,0.0149017,0.0190447,0.0102514,0.0190062,0.0504171,0.0110692,0.0090812,0.00489074,0.026294,0.0129764,0.0252273,0.0354812,0.0231394,0,0,0.0488798,0,0.010677,0.0323249,0.0459305,0.047767,0.00807109,0.0523513,0.030735,0.0196844,0.0792503,0.0806134,0.0314351,0.0491312,0.0405423,0.0414592,0.0265614,0.045862,0.0504187,0.029721,0.0117498,0.0117935,0.022253,0,0,0,0,0.0156954
66,0,0,0,0,0,0,0.0248603,0.0167079,0,0,0,0.0448399,0.0218722,0.0217401,0.0254881,0,0,0.00941321,0,0.0182173,0.00463397,0.0361327,0.0266827,0.0200884,0.025405,0.0102494,0.0147601,0.103331,0.097272,0.0651016,0.0839389,0.0149001,0.0189754,0.0102368,0.0189278,0.0502517,0.0110292,0.00909363,0.00497438,0.0265254,0.0129634,0.0268615,0.0356441,0.0233351,0,0,0.0490294,0,0.0106756,0.0324429,0.0458353,0.0514345,0.00826329,0.0525447,0.0309636,0.0199828,0.0792111,0.0803482,0.0310546,0.0492768,0.0408663,0.041786,0.0271531,0.0471408,0.0532597,0.0299401,0.0118699,0.0117886,0.0223139,0,0,0,0,0.0158645
67,0,0,0,0,0,0,0.0248815,0.016782,0,0,0,0.0444343,0.021853,0.0212767,0.0254924,0,0,0.00926836,0,0.0182143,0.00452752,0.0361705,0.0269862,0.0200909,0.0254514,0.0101727,0.0147082,0.103295,0.0971918,0.0651758,0.0840398,0.0149914,0.0188114,0.0101747,0.0188193,0.0499367,0.0110163,0.00910452,0.00495373,0.0262797,0.0129409,0.0272023,0.0357096,0.0234441,0,0,0.0491965,0,0.0106702,0.0325471,0.0457163,0.0534227,0.00841538,0.0528221,0.0310964,0.0201384,0.0795916,0.0797211,0.0300322,0.0499733,0.0409114,0.0409543,0.0259733,0.0486829,0.0533694,0.0300095,0.0119774,0.0117854,0.0224924,0,0,0,0,0.0160062
68,0,0,0,0,0,0,0.0249223,0.016856,0,0,0,0.0439465,0.0218319,0.0209153,0.0253425,0,0,0.00905441,0,0.0182532,0.00440537,0.0363169,0.0273817,0.0202593,0.025477,0.010185,0.0147037,0.103259,0.0969528,0.0653342,0.084163,0.0151171,0.0187093,0.0102798,0.0185811,0.0494956,0.0108942,0.00913557,0.00490865,0.0275617,0.0129355,0.0266996,0.0356185,0.0234927,0,0,0.0492704,0,0.0106755,0.0325583,0.0457708,0.0533405,0.00864024,0.0530241,0.0311497,0.0201985,0.0801684,0.0787691,0.0285809,0.0510902,0.0406438,0.0391728,0.0235628,0.0498356,0.0519701,0.029913,0.0119771,0.0117944,0.0226377,0,0,0,0,0.016072
