Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,x73,STRN
79,0,0,0,0,0,0,0.024294,0.0176898,0,0,0,0.0262014,0.0213986,0.0209744,0.0239459,0,0,0.00813947,0,0.0183756,0.00384768,0.0373257,0.0297012,0.0238739,0.0225115,0.00930187,0.0152482,0.0989647,0.095376,0.0716877,0.0849272,0.0146554,0.0105295,0.0143542,0.0133483,0.0312231,0.0110106,0.00927399,0.00458085,0.0476699,0.013204,0.0371716,0.034723,0.0227079,0,0,0.0477981,0,0.0107307,0.0318723,0.0463435,0.0563832,0.0113405,0.0515849,0.030977,0.021245,0.0776087,0.0742507,0.0275866,0.0547248,0.0361504,0.0351813,0.0168429,0.0433626,0.0505148,0.0299649,0.0116154,0.0116558,0.0242091,0,0,0,0,0.0167427
80,0,0,0,0,0,0,0.0239721,0.0174701,0,0,0,0.0254026,0.0213697,0.0224092,0.023274,0,0,0.0079312,0,0.0183693,0.0037537,0.0377399,0.0299299,0.0242653,0.0230257,0.00879506,0.0151379,0.0979236,0.0952271,0.0737087,0.0852388,0.0155285,0.00972065,0.0153462,0.0124799,0.0285584,0.0109782,0.00924977,0.00463369,0.0461258,0.0132352,0.0362896,0.034547,0.0223201,0,0,0.0475923,0,0.0107377,0.031662,0.0468221,0.056242,0.0117086,0.0490922,0.0302414,0.0209211,0.0779186,0.0735321,0.0272972,0.0558463,0.0341085,0.0351586,0.0163151,0.0414506,0.0492749,0.0296302,0.0116126,0.011571,0.0240474,0,0,0,0,0.0164856
81,0,0,0,0,0,0,0.0236324,0.0171831,0,0,0,0.0249744,0.0213775,0.0240052,0.0223924,0,0,0.00781121,0,0.0183284,0.00373269,0.0382932,0.0304733,0.0244702,0.0235653,0.00816393,0.0149746,0.0968376,0.094997,0.0758822,0.0856551,0.0166804,0.00988378,0.0162786,0.0116286,0.0259871,0.0109065,0.00924327,0.00471925,0.0448124,0.0132398,0.0360123,0.0341145,0.0219199,0,0,0.0473911,0,0.0107131,0.0315322,0.0474075,0.0560241,0.0119554,0.0475465,0.0292779,0.0204292,0.0780402,0.0728594,0.0274996,0.0570545,0.0326524,0.0347789,0.0157357,0.0401035,0.0473133,0.0291595,0.0115699,0.0115562,0.0237425,0,0,0,0,0.0161258
82,0,0,0,0,0,0,0.0233165,0.0168164,0,0,0,0.0244045,0.0213825,0.0254647,0.0213246,0,0,0.00779173,0,0.0183095,0.00378712,0.0389313,0.0312193,0.0245101,0.0241075,0.00747148,0.0147792,0.0957874,0.0942576,0.0780414,0.0862463,0.017854,0.010807,0.0171173,0.0107618,0.0235771,0.0107492,0.00926236,0.00481684,0.0441808,0.0132992,0.0359206,0.0335451,0.0214939,0,0,0.0471483,0,0.0107295,0.0313557,0.0480719,0.0554387,0.0120801,0.0469881,0.0279862,0.0197658,0.0777384,0.0724068,0.0281575,0.0578622,0.032042,0.034482,0.015437,0.0393932,0.0457913,0.028512,0.01151,0.0114907,0.0234298,0,0,0,0,0.0156779
83,0,0,0,0,0,0,0.0229994,0.0164508,0,0,0,0.023529,0.0214221,0.0265283,0.020177,0,0,0.00786187,0,0.0183212,0.00385614,0.039593,0.0319071,0.024412,0.0247245,0.00678969,0.0146139,0.0949316,0.0933744,0.080014,0.0870431,0.0188514,0.0119855,0.0178026,0.00986977,0.0212022,0.010619,0.00926923,0.00484439,0.0442951,0.013335,0.0362463,0.0330948,0.0210232,0,0,0.0469579,0,0.010718,0.0311867,0.04896,0.0548672,0.0121002,0.0471539,0.0265311,0.0189922,0.077133,0.0722856,0.0289096,0.0580929,0.0321792,0.0344496,0.0154051,0.0394244,0.0447831,0.0277437,0.0114763,0.0114931,0.0231357,0,0,0,0,0.0152252
84,0,0,0,0,0,0,0.0225827,0.0160844,0,0,0,0.0224723,0.0214376,0.0269081,0.0191463,0,0,0.0079865,0,0.0183127,0.00391451,0.0402932,0.0320202,0.0241873,0.0253503,0.00626106,0.0144904,0.0942714,0.0924706,0.0816586,0.0880044,0.0196613,0.0130069,0.0183003,0.0089842,0.0189392,0.0106113,0.00925816,0.00487404,0.0447655,0.0133997,0.0365443,0.0329023,0.0204389,0,0,0.0466923,0,0.0107353,0.0309218,0.049932,0.0543049,0.012012,0.0474971,0.0249249,0.0181184,0.0765689,0.0723742,0.0294591,0.0578495,0.0326251,0.0345912,0.0155321,0.0397095,0.0442421,0.0269921,0.0114148,0.0114027,0.0227406,0,0,0,0,0.0147753
85,0,0,0,0,0,0,0.0220696,0.0158133,0,0,0,0.0210564,0.0214603,0.0267205,0.0183939,0,0,0.00818499,0,0.0183087,0.00404915,0.0409134,0.0319208,0.0238502,0.025768,0.00566721,0.0143506,0.0937737,0.0916469,0.0828964,0.0890191,0.0203042,0.0135575,0.0186547,0.00828305,0.0168605,0.0107019,0.00925314,0.00489354,0.0453463,0.0134603,0.0367857,0.0329462,0.0198293,0,0,0.0465319,0,0.0107465,0.0307265,0.0506654,0.0537653,0.011921,0.0477688,0.0233796,0.017307,0.0762984,0.0724804,0.0295556,0.0574894,0.0330349,0.0347722,0.0156783,0.0398641,0.0439626,0.0261849,0.0114023,0.0114261,0.0222269,0,0,0,0,0.0144617
86,0,0,0,0,0,0,0.0215319,0.0156658,0,0,0,0.0198399,0.0215123,0.0262619,0.0179914,0,0,0.00846697,0,0.0182833,0.00422561,0.0414085,0.0323664,0.0233625,0.0259554,0.00493099,0.0141862,0.0936532,0.0909368,0.08377,0.0900473,0.0206698,0.0136227,0.0188993,0.00790951,0.0156743,0.01083,0.00924761,0.0049996,0.045732,0.0134826,0.0369659,0.0332275,0.0193043,0,0,0.0464056,0,0.010711,0.0306252,0.0509455,0.0532088,0.0121463,0.0479385,0.0220759,0.0167321,0.0761388,0.0724323,0.029412,0.0573412,0.0331939,0.0349779,0.0157988,0.0396571,0.0436581,0.0254475,0.0114002,0.0114321,0.0217114,0,0,0,0,0.0143103
87,0,0,0,0,0,0,0.0210024,0.0155896,0,0,0,0.0184924,0.0216095,0.0260411,0.0178172,0,0,0.00889045,0,0.0182657,0.00446698,0.0416696,0.0336647,0.0228121,0.0260471,0.00418807,0.0140085,0.0935295,0.0904105,0.0843273,0.0908785,0.0207413,0.0133396,0.0190291,0.00787157,0.0165765,0.0110897,0.00924998,0.00516335,0.0455341,0.0134518,0.0367218,0.0337297,0.0188517,0,0,0.0464054,0,0.0106334,0.0306015,0.0508235,0.0523389,0.0124569,0.0479066,0.0209232,0.016304,0.0761809,0.0722419,0.0293887,0.0575325,0.0330354,0.0350931,0.0157876,0.0388612,0.0430331,0.024783,0.011424,0.0115045,0.0212831,0,0,0,0,0.0142223
88,0,0,0,0,0,0,0.0205511,0.0155486,0,0,0,0.0169282,0.0217012,0.0262581,0.0179091,0,0,0.00925763,0,0.0182721,0.0046521,0.0417685,0.0358034,0.0222031,0.0262601,0.00353754,0.0137672,0.09323,0.0900514,0.0847344,0.0912983,0.0205437,0.0129295,0.0190196,0.00799822,0.01787,0.0113081,0.00925167,0.00527832,0.0450273,0.0134606,0.0362534,0.0343681,0.0184727,0,0,0.0463295,0,0.0106176,0.0304723,0.0505938,0.0514209,0.0127041,0.0477851,0.0199477,0.0159636,0.0763097,0.0720724,0.0295413,0.0579266,0.0326718,0.0350678,0.0156186,0.0376822,0.0422522,0.0241865,0.0114132,0.0114362,0.0208944,0,0,0,0,0.0141243
89,0,0,0,0,0,0,0.0201472,0.0154027,0,0,0,0.0147624,0.0217235,0.026392,0.0181701,0,0,0.00937282,0,0.0182936,0.00470677,0.0417461,0.0375843,0.0216038,0.0264317,0.00308204,0.0134495,0.0926876,0.0898581,0.0851315,0.091293,0.0202602,0.0125672,0.0188764,0.00816346,0.0178935,0.0113821,0.0092476,0.00532065,0.0447102,0.0135105,0.0358648,0.0350332,0.0180927,0,0,0.0461075,0,0.0106667,0.030188,0.0503792,0.0505401,0.0127525,0.0479721,0.0189655,0.0156224,0.0764364,0.0719435,0.0296971,0.0582181,0.0323162,0.0348233,0.0153328,0.0365046,0.0416592,0.0237391,0.0113098,0.0113511,0.0205804,0,0,0,0,0.0138769
90,0,0,0,0,0,0,0.0198241,0.0151537,0,0,0,0.0129902,0.021716,0.0263394,0.018666,0,0,0.00930609,0,0.0182905,0.00471229,0.0415422,0.0383304,0.0210206,0.0264607,0.00291748,0.0131143,0.0918501,0.0896617,0.0856487,0.0909555,0.0200541,0.012365,0.0186098,0.00836384,0.0174711,0.0113319,0.00923191,0.00527877,0.0445306,0.0135702,0.0355119,0.0356053,0.0176975,0,0,0.0458731,0,0.010737,0.0298973,0.0500737,0.0498923,0.0125486,0.0483832,0.0178437,0.0153534,0.0765314,0.0718519,0.0297878,0.0582879,0.0320219,0.0343446,0.0149685,0.0355934,0.0414896,0.0234729,0.0112191,0.0111581,0.020373,0,0,0,0,0.0135125
91,0,0,0,0,0,0,0.0196833,0.0149454,0,0,0,0.0123897,0.0217126,0.0262195,0.0191539,0,0,0.0091449,0,0.0182873,0.00468951,0.0411067,0.0382126,0.0204026,0.0265426,0.0030821,0.0127928,0.0910199,0.0897402,0.0862435,0.090556,0.0200887,0.0124499,0.01837,0.00859605,0.0176565,0.0112436,0.00921915,0.00524345,0.0446504,0.0135654,0.0353773,0.0360113,0.0173705,0,0,0.045651,0,0.0107337,0.029838,0.0496943,0.0498199,0.0122412,0.0490082,0.0165674,0.0152414,0.0766472,0.071854,0.0296191,0.0581033,0.0317978,0.033721,0.0144483,0.0351824,0.0414537,0.0233934,0.0111926,0.0111915,0.0202446,0,0,0,0,0.0131675
92,0,0,0,0,0,0,0.019617,0.0147395,0,0,0,0.0125797,0.0217153,0.025799,0.0195737,0,0,0.00901228,0,0.0182853,0.00460909,0.0405077,0.0374533,0.0198387,0.0268071,0.00354193,0.0124813,0.0903087,0.0898766,0.0867763,0.0902635,0.0203772,0.0129167,0.0182824,0.00875708,0.0181934,0.0111489,0.00923791,0.00520137,0.0448617,0.013604,0.0351792,0.0363243,0.0171412,0,0,0.0453669,0,0.0107716,0.0297228,0.0493616,0.049562,0.0119436,0.0497746,0.0152726,0.0151713,0.0767648,0.0719017,0.0292032,0.0577324,0.0316825,0.0329936,0.0139153,0.0351595,0.0415134,0.0234557,0.0110963,0.0113058,0.0199696,0,0,0,0,0.0128565
93,0,0,0,0,0,0,0.0195622,0.0144863,0,0,0,0.0130562,0.0217072,0.0252108,0.0199214,0,0,0.00894443,0,0.0182753,0.00453966,0.0398549,0.0363586,0.0193867,0.0271812,0.00420247,0.01219,0.0897286,0.0900051,0.0871169,0.0899886,0.0208038,0.0134714,0.0183266,0.00881313,0.018905,0.0110484,0.00926277,0.00513268,0.0449014,0.0136913,0.0351002,0.0366016,0.0169741,0,0,0.0451085,0,0.010862,0.0295329,0.0491347,0.0491741,0.0115713,0.0506085,0.0140937,0.0151304,0.0769357,0.0720648,0.0286989,0.0572806,0.0316447,0.0322881,0.0133874,0.0352629,0.0414413,0.0234486,0.0109711,0.0112508,0.0194858,0,0,0,0,0.0125573
94,0,0,0,0,0,0,0.0195461,0.0142932,0,0,0,0.0135948,0.021723,0.0246873,0.0201883,0,0,0.00893502,0,0.0183176,0.00454438,0.0392468,0.0351036,0.0190367,0.0275677,0.00498902,0.0120197,0.0892671,0.0902059,0.0873115,0.0896832,0.02112,0.01385,0.0183287,0.00878678,0.0193833,0.0109669,0.00926792,0.0051135,0.044827,0.0137283,0.0350278,0.0370093,0.0168552,0,0,0.0451715,0,0.0108915,0.029516,0.04903,0.0484316,0.0110349,0.0513791,0.0131241,0.0151986,0.0771099,0.072338,0.0282138,0.0568646,0.0317269,0.0316577,0.0129131,0.0352718,0.0412249,0.0234725,0.0109265,0.0112017,0.0196055,0,0,0,0,0.0123544
95,0,0,0,0,0,0,0.0196054,0.0142618,0,0,0,0.0138833,0.021745,0.0243276,0.0204169,0,0,0.0089691,0,0.0183652,0.00456757,0.0388479,0.0341049,0.0187277,0.0278429,0.0056881,0.011945,0.0889776,0.0902392,0.0873246,0.0893496,0.0212314,0.0140907,0.0183022,0.00869737,0.0193657,0.0108647,0.00927593,0.00514353,0.0449472,0.0137275,0.0350262,0.0373871,0.0168174,0,0,0.0453706,0,0.0108755,0.0296026,0.0489534,0.0475356,0.0106493,0.0521176,0.0123274,0.0153418,0.0772572,0.0726533,0.0278641,0.0565572,0.0319203,0.031146,0.0125344,0.035019,0.0407522,0.0237232,0.0109087,0.0112049,0.0197395,0,0,0,0,0.0122853
96,0,0,0,0,0,0,0.0196084,0.0141797,0,0,0,0.0138324,0.0217608,0.024112,0.0207119,0,0,0.00911773,0,0.0183297,0.0046714,0.0387203,0.0334577,0.0184707,0.0276071,0.00614344,0.0118092,0.0887443,0.0902177,0.0871775,0.0890317,0.0211046,0.0139905,0.0183444,0.00855775,0.01901,0.0107311,0.00926007,0.00510619,0.0451039,0.0137882,0.0349665,0.0376962,0.016773,0,0,0.0451583,0,0.0109271,0.0295102,0.0488524,0.0465295,0.0105372,0.0529647,0.0116556,0.0153916,0.0774093,0.0729354,0.0276804,0.0563099,0.0322043,0.0306868,0.0123062,0.0346112,0.0401039,0.0238507,0.0108154,0.0111338,0.0196692,0,0,0,0,0.0122048
97,0,0,0,0,0,0,0.019643,0.0141491,0,0,0,0.0134465,0.0217607,0.0240488,0.0210173,0,0,0.00925789,0,0.0183026,0.00476765,0.0386715,0.0332392,0.0183446,0.0268911,0.00648688,0.0117775,0.0885022,0.0901412,0.0869012,0.0886836,0.0207167,0.0135378,0.0185182,0.00840509,0.0185565,0.0105884,0.00928506,0.00509578,0.0449757,0.0138057,0.0348543,0.0381451,0.0168187,0,0,0.0450482,0,0.0109329,0.0295074,0.0487718,0.0455267,0.0103831,0.0538564,0.0111112,0.0154041,0.0774894,0.073159,0.0276235,0.0560791,0.0325356,0.0302589,0.0121832,0.0341622,0.0393204,0.0238817,0.0107701,0.0110472,0.0196081,0,0,0,0,0.0121808
98,0,0,0,0,0,0,0.0197558,0.0142227,0,0,0,0.0128393,0.0217873,0.0239971,0.0213366,0,0,0.0094476,0,0.0183139,0.00491442,0.0386023,0.0332799,0.018276,0.026167,0.0066754,0.0118661,0.0882119,0.0899688,0.0865916,0.0883491,0.0205004,0.0131127,0.0190074,0.0082468,0.0182125,0.0105368,0.00929603,0.00514068,0.0445626,0.0137434,0.0346081,0.0385938,0.0169511,0,0,0.0451656,0,0.0108536,0.0296152,0.0486989,0.0445166,0.0101816,0.0546559,0.0106625,0.0154719,0.0774885,0.0733271,0.0276834,0.0558465,0.0328513,0.0298155,0.0121199,0.0338267,0.0384524,0.0239562,0.010824,0.0110387,0.0197084,0,0,0,0,0.012214
99,0,0,0,0,0,0,0.0198506,0.0142659,0,0,0,0.0121852,0.0218103,0.0239544,0.0216738,0,0,0.00967777,0,0.0183141,0.00505392,0.0384912,0.0334326,0.0182095,0.0254906,0.00676039,0.0119301,0.0878837,0.089678,0.0863527,0.0880097,0.0203124,0.0128536,0.0194638,0.00808445,0.0180515,0.0105785,0.00926859,0.00514848,0.0440643,0.0137014,0.0344784,0.0390447,0.0170494,0,0,0.045119,0,0.0108002,0.0295333,0.048586,0.0437191,0.010013,0.0552196,0.0102167,0.015446,0.0774904,0.0734783,0.0277089,0.0555576,0.0329887,0.0294203,0.0120174,0.0336134,0.0374947,0.02391,0.0108177,0.0111405,0.0198883,0,0,0,0,0.0122626
100,0,0,0,0,0,0,0.0199168,0.0142859,0,0,0,0.0117749,0.0218609,0.0239036,0.0220219,0,0,0.00986928,0,0.0183445,0.00515849,0.0383432,0.0336252,0.0181904,0.0248803,0.00681731,0.0119707,0.0875462,0.089325,0.0861995,0.0876837,0.0201096,0.0127715,0.0199286,0.00788263,0.0180081,0.0106556,0.00926062,0.00514755,0.0436807,0.0137035,0.0345189,0.0395025,0.0170994,0,0,0.0449577,0,0.0107883,0.0293975,0.0484839,0.0432063,0.00988997,0.0556233,0.00977155,0.015362,0.0775568,0.0736796,0.0276257,0.0552647,0.0330166,0.0290514,0.0118164,0.0334719,0.0365575,0.0237709,0.0107913,0.0111033,0.0200839,0,0,0,0,0.0123562
101,0,0,0,0,0,0,0.0199212,0.014257,0,0,0,0.0116196,0.0219116,0.0237334,0.0223645,0,0,0.00995006,0,0.0183669,0.00531108,0.0382395,0.0337293,0.0181848,0.0243404,0.00683388,0.0119948,0.0872439,0.088996,0.0860279,0.0873674,0.0201395,0.0128557,0.0205169,0.00757818,0.0180902,0.0107248,0.00926219,0.0051534,0.0432999,0.0137539,0.0344521,0.0400827,0.0170204,0,0,0.0447606,0,0.0108213,0.029255,0.0484043,0.0426338,0.00985291,0.0558906,0.00932212,0.0151993,0.0775771,0.0738604,0.027471,0.0550031,0.0330165,0.0286684,0.0114111,0.0333318,0.0356777,0.0234603,0.0107563,0.010964,0.0201118,0,0,0,0,0.0124402
102,0,0,0,0,0,0,0.0198528,0.0141796,0,0,0,0.0117616,0.0219119,0.0235953,0.0227244,0,0,0.0099425,0,0.0183426,0.00539407,0.038168,0.0339357,0.0181886,0.023755,0.00678372,0.0119733,0.0869205,0.0885639,0.0856813,0.0871087,0.0203351,0.0131125,0.0209215,0.00725801,0.018388,0.0107941,0.00925116,0.00517671,0.0428119,0.0138357,0.0342534,0.0406051,0.0168718,0,0,0.0444932,0,0.0109008,0.0290689,0.0483023,0.0421045,0.00989534,0.0561498,0.00896903,0.0149009,0.0776816,0.0740307,0.0273665,0.0548075,0.0330184,0.0283436,0.0111097,0.0331127,0.0348312,0.0230737,0.0107137,0.0109468,0.0201023,0,0,0,0,0.0124733
103,0,0,0,0,0,0,0.0197974,0.0141796,0,0,0,0.0119765,0.0219391,0.023404,0.0232025,0,0,0.00997389,0,0.0183304,0.00517915,0.038035,0.0337874,0.0182204,0.0231196,0.00684566,0.0120086,0.0865334,0.0876793,0.0851705,0.0868577,0.0206332,0.0134309,0.0215449,0.00687003,0.0185726,0.0109535,0.00924294,0.00518096,0.0424008,0.0138194,0.0341411,0.0410302,0.0167453,0,0,0.044546,0,0.0108844,0.0290536,0.0481533,0.0414136,0.0100568,0.0566002,0.00873431,0.0146772,0.0779025,0.0741719,0.0272569,0.0546851,0.0332019,0.0279728,0.011075,0.0328927,0.0342186,0.0228353,0.0107413,0.0109425,0.0200956,0,0,0,0,0.0125513
104,0,0,0,0,0,0,0.0197664,0.0142818,0,0,0,0.0122549,0.0219848,0.0230588,0.0238014,0,0,0.0100317,0,0.0183359,0.00499928,0.0377436,0.0331075,0.0184198,0.0223646,0.00740166,0.0120515,0.0860483,0.0861498,0.0842334,0.0867583,0.0211438,0.0141021,0.0224965,0.00653411,0.0186048,0.0111496,0.00924,0.00520632,0.0422477,0.0137285,0.0341002,0.041536,0.0165826,0,0,0.0446574,0,0.0107845,0.0292337,0.0479792,0.0405024,0.0103114,0.0571142,0.00847098,0.0145511,0.0781527,0.0743128,0.0272335,0.0545125,0.033399,0.027598,0.0111949,0.032684,0.0338259,0.022615,0.0108527,0.0108868,0.0200859,0,0,0,0,0.0126274
105,0,0,0,0,0,0,0.0196552,0.014345,0,0,0,0.0127106,0.0220204,0.0227645,0.0243261,0,0,0.0101642,0,0.0183271,0.00520726,0.0373942,0.0325394,0.0187555,0.0220389,0.00792588,0.0120166,0.0854371,0.084222,0.0831738,0.0868504,0.0220878,0.0151894,0.0236252,0.00643653,0.0182538,0.0112271,0.00922554,0.00525252,0.042139,0.0136861,0.0339952,0.0421504,0.016337,0,0,0.0446239,0,0.0107402,0.0292658,0.0477218,0.0398213,0.0105679,0.0577087,0.00808172,0.0143917,0.0782982,0.0744844,0.0271885,0.0542926,0.0336727,0.0272136,0.0112247,0.0325032,0.0335838,0.0224082,0.0108759,0.0109179,0.0199795,0,0,0,0,0.0126121
106,0,0,0,0,0,0,0.0194987,0.0143858,0,0,0,0.0127882,0.0220176,0.0229325,0.0248273,0,0,0.0102693,0,0.0183223,0.00536866,0.0370952,0.0327332,0.0190284,0.0222512,0.00812161,0.011951,0.0848155,0.0827877,0.0825923,0.0868068,0.0233399,0.0166163,0.0246656,0.00651436,0.0176617,0.0112771,0.00919397,0.0052254,0.0420667,0.0136715,0.033953,0.0427427,0.0160917,0,0,0.0445639,0,0.0107342,0.0292387,0.0474281,0.0394669,0.0107682,0.0583045,0.00770196,0.014262,0.0783088,0.0746306,0.0271515,0.0540031,0.0338318,0.0268308,0.0110461,0.0322685,0.0334616,0.0221886,0.0108564,0.0110239,0.0197991,0,0,0,0,0.0125237
107,0,0,0,0,0,0,0.0193454,0.0144199,0,0,0,0.0129198,0.0220438,0.023284,0.0253031,0,0,0.0104053,0,0.0183456,0.00550008,0.0367073,0.0331638,0.0192781,0.0223883,0.00844644,0.0118527,0.0841628,0.0818537,0.0823807,0.0865714,0.024482,0.0174352,0.0254089,0.00678964,0.0172846,0.0113701,0.00919735,0.00528251,0.0415123,0.0136783,0.0332931,0.0431871,0.0158395,0,0,0.0445711,0,0.0107532,0.0291832,0.0471457,0.0384213,0.0109196,0.0586145,0.00775354,0.014182,0.0783178,0.0747222,0.0271255,0.0537096,0.0338286,0.0265012,0.0109865,0.031956,0.0330614,0.0219234,0.0108455,0.0109917,0.019638,0,0,0,0,0.0124204
108,0,0,0,0,0,0,0.0192042,0.0144525,0,0,0,0.0131345,0.0220644,0.0237166,0.0256502,0,0,0.0105589,0,0.0183563,0.0055555,0.0364568,0.0333253,0.0195446,0.0226442,0.00879391,0.0117595,0.0836179,0.0812186,0.0821235,0.0862119,0.0254622,0.0185142,0.0259971,0.0069779,0.0170651,0.0114379,0.00925125,0.00530222,0.0397994,0.0136948,0.0316249,0.0434693,0.0155852,0,0,0.04462,0,0.0107929,0.0290755,0.0468866,0.0361197,0.01113,0.0585003,0.00789633,0.0141381,0.0784108,0.0748257,0.0272753,0.0534284,0.0337905,0.0264379,0.0113495,0.0315807,0.0318231,0.0216955,0.010861,0.0110358,0.019474,0,0,0,0,0.0123832
109,0,0,0,0,0,0,0.0191771,0.0145713,0,0,0,0.0136207,0.0220048,0.0242716,0.0258559,0,0,0.0106219,0,0.0183412,0.00560018,0.0364083,0.0334227,0.0197682,0.0231574,0.00910274,0.0118158,0.083301,0.08087,0.0816174,0.0858419,0.0260349,0.0194425,0.02645,0.00712126,0.0171122,0.011435,0.00925919,0.00530208,0.038141,0.0136692,0.0301379,0.0436619,0.0154532,0,0,0.0449096,0,0.0107859,0.0292116,0.0466856,0.0339534,0.0113318,0.0584412,0.00800213,0.0142381,0.0785367,0.0749238,0.0273698,0.0532889,0.0337507,0.0264239,0.0117192,0.0312535,0.0306187,0.0218477,0.0109493,0.0110875,0.019399,0,0,0,0,0.0125108
110,0,0,0,0,0,0,0.0191402,0.0146488,0,0,0,0.014553,0.0219235,0.0247644,0.0260131,0,0,0.0106201,0,0.018325,0.00559696,0.0365161,0.0332679,0.0199065,0.0237873,0.00937241,0.0118598,0.0832581,0.0807222,0.080884,0.0854382,0.0260655,0.0199816,0.0266197,0.00724632,0.0174664,0.0113949,0.00923298,0.00527201,0.0367702,0.0136697,0.0287385,0.0437915,0.0153479,0,0,0.0449764,0,0.0108067,0.0293107,0.0465152,0.0325222,0.0115285,0.0584118,0.00810552,0.0142983,0.0786539,0.0749995,0.027374,0.0532396,0.0336683,0.0265337,0.0119053,0.030915,0.0295757,0.0219916,0.0109933,0.0111414,0.0192949,0,0,0,0,0.012654
111,0,0,0,0,0,0,0.019194,0.0148003,0,0,0,0.0162953,0.0218718,0.0251192,0.0261482,0,0,0.0105735,0,0.0183386,0.0055864,0.0367327,0.0328679,0.0199467,0.0244957,0.00950325,0.0119492,0.0835115,0.0807987,0.0799274,0.0849626,0.0261912,0.0200843,0.0266101,0.00737705,0.0184369,0.0113665,0.00925825,0.00525719,0.0355751,0.0136289,0.0273171,0.0438557,0.0153355,0,0,0.0454198,0,0.0107737,0.0295821,0.0464265,0.0314758,0.011678,0.0583563,0.00839741,0.0144605,0.0787824,0.0750939,0.0273261,0.0532818,0.0337059,0.0266091,0.0123662,0.0307104,0.0286254,0.022208,0.0110938,0.0111511,0.0192888,0,0,0,0,0.0128273
112,0,0,0,0,0,0,0.0192938,0.0149088,0,0,0,0.0185807,0.0218115,0.0252274,0.0262091,0,0,0.0104779,0,0.0183159,0.00555882,0.037063,0.0324581,0.0199177,0.0252431,0.0093915,0.0120096,0.08408,0.0810539,0.0787074,0.0844877,0.0261488,0.019799,0.0261074,0.00748211,0.0201523,0.011344,0.00927275,0.00521723,0.0343703,0.0135633,0.0261413,0.0438666,0.0153508,0,0,0.0459427,0,0.0107333,0.0298011,0.0463817,0.0302868,0.0117999,0.0581844,0.0086226,0.0146092,0.0788187,0.0751676,0.0273651,0.0533388,0.0336813,0.0267847,0.0127572,0.0306048,0.0276499,0.0223588,0.0111469,0.0112226,0.0193512,0,0,0,0,0.0129243
113,0,0,0,0,0,0,0.0194026,0.0149547,0,0,0,0.0210861,0.0217802,0.0253633,0.0260169,0,0,0.0103588,0,0.0183258,0.00553163,0.0374719,0.0325758,0.0198256,0.0260579,0.00912299,0.0120474,0.0849944,0.0815567,0.0772399,0.08406,0.0257899,0.0191087,0.0247658,0.007641,0.0227089,0.0111594,0.00930117,0.00521231,0.0332527,0.013534,0.0253906,0.0438296,0.0154016,0,0,0.0462104,0,0.0107299,0.0299577,0.0463179,0.0291103,0.0118335,0.0579662,0.00896697,0.0147079,0.0787125,0.0750037,0.0274532,0.0534069,0.0334821,0.0268556,0.0129123,0.030354,0.0267865,0.0226059,0.0111744,0.0113479,0.0194176,0,0,0,0,0.0129497
114,0,0,0,0,0,0,0.0194832,0.0149541,0,0,0,0.0245407,0.0217307,0.0259984,0.025742,0,0,0.0101833,0,0.0183407,0.00545906,0.0379297,0.0335322,0.0195918,0.0269818,0.00880529,0.0120711,0.0863207,0.0824065,0.0755773,0.0837323,0.0250627,0.0180496,0.0230796,0.00800469,0.02607,0.0110006,0.00930065,0.00519879,0.0321912,0.0135227,0.0247985,0.0437024,0.0155159,0,0,0.0463785,0,0.0107345,0.0302052,0.0462737,0.0280882,0.0118539,0.057815,0.00918984,0.0148452,0.0786347,0.0747568,0.0274621,0.0535442,0.0332239,0.0269179,0.0129036,0.0301873,0.0261976,0.0229563,0.0112102,0.0113189,0.0194273,0,0,0,0,0.0129672
115,0,0,0,0,0,0,0.0199071,0.0150016,0,0,0,0.0244929,0.0216212,0.0268328,0.0249489,0,0,0.00967846,0,0.0183638,0.00519287,0.0382966,0.037874,0.0179739,0.0247612,0.00678213,0.0121944,0.0882101,0.0859811,0.0763185,0.0832835,0.020684,0.0113989,0.0183461,0.00932101,0.0276434,0.0107363,0.00935183,0.00507562,0.0315083,0.0135081,0.0245058,0.0433685,0.016202,0,0,0.0466286,0,0.0107556,0.0305542,0.0464733,0.0279784,0.0116611,0.0575699,0.0101994,0.0152881,0.0785676,0.0745996,0.0273028,0.0537396,0.0329011,0.026913,0.0126013,0.0302042,0.0261365,0.0237929,0.011207,0.0113477,0.0198065,0,0,0,0,0.0130944
