Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
49,0,0,0,0,0,0,0.0294504,0.0192827,0,0,0,0.0726954,0.0189318,0.0448712,0.0335051,0,0,0.0126811,0,0.0189075,0.00344801,0.0367732,0.0482386,0.0150808,0.0163447,0.0102803,0.0199535,0.0197379,0.00752749,0.0155254,0.0474691,0.0198153,0.0343733,0.0208522,0.0202553,0.0934214,0.0113854,0.009757,0.00271089,0.0245662,0.015358,0.0134313,0.0515375,0.0331355,0,0,0.0341996,0,0.0118648,0.0212526,0.0405584,0.0310187,0.0183191,0.0377454,0.0295942,0.0201502,0.0332018,0.0147677,0.053675,0.0452097,0.0138435,0.024565,0.00420003,0.0250104,0.0390571,0.0227266,0.0093952,0.00899171,0.0182301,0.0290949,0,0,0
50,0,0,0,0,0,0,0.0295007,0.0194338,0,0,0,0.0726771,0.0189305,0.0454309,0.0335117,0,0,0.0128684,0,0.018908,0.00352923,0.0368586,0.0498482,0.0151995,0.0169099,0.0102447,0.0200621,0.0196953,0.00761402,0.015454,0.0477051,0.0204103,0.0350867,0.0215412,0.0205748,0.094407,0.0114627,0.00976295,0.00267834,0.0266863,0.0153882,0.0120375,0.0515771,0.0331981,0,0,0.0342474,0,0.0118836,0.021311,0.040544,0.0287263,0.0187647,0.037475,0.0299527,0.020071,0.0332369,0.0145453,0.0539293,0.0451278,0.0142846,0.0238638,0.00457798,0.0249357,0.0417033,0.0226257,0.00948396,0.00907701,0.0184212,0.0290977,0,0,0
51,0,0,0,0,0,0,0.0295383,0.0196051,0,0,0,0.0721714,0.0190055,0.0454406,0.0336096,0,0,0.0128297,0,0.0189382,0.0033929,0.036964,0.0509419,0.0153319,0.0174841,0.0102079,0.0202457,0.0195525,0.00758931,0.0152222,0.0478002,0.0207127,0.0356298,0.0219605,0.0208969,0.0945771,0.0116277,0.00978453,0.00270771,0.0275355,0.0153954,0.0109968,0.0516981,0.0332191,0,0,0.0342788,0,0.0118819,0.0213429,0.0403501,0.027871,0.0192357,0.0374847,0.0301268,0.0200456,0.0335284,0.0145487,0.0542747,0.0453569,0.0150042,0.0239331,0.00445007,0.025194,0.0429778,0.0225809,0.00948648,0.00915408,0.018546,0.029141,0,0,0
52,0,0,0,0,0,0,0.0294813,0.0197542,0,0,0,0.0710285,0.0189704,0.0449852,0.0337723,0,0,0.012779,0,0.0189755,0.00322715,0.0371689,0.0513667,0.0154966,0.0179231,0.0101719,0.0203233,0.0193631,0.00742827,0.0147957,0.0478276,0.0209739,0.0357723,0.021897,0.0211128,0.094217,0.0117731,0.00980596,0.0027888,0.0267888,0.0154114,0.0106163,0.0520583,0.0331608,0,0,0.0343876,0,0.011875,0.0214592,0.0399987,0.0287315,0.0197721,0.0372922,0.0301246,0.0200705,0.0341916,0.0145022,0.0542125,0.0459214,0.0153647,0.0246958,0.00382838,0.0251581,0.042377,0.0225712,0.00947078,0.00923303,0.0185972,0.029123,0,0,0
53,0,0,0,0,0,0,0.0292895,0.0196882,0,0,0,0.0694021,0.0188615,0.0437996,0.0339645,0,0,0.0127513,0,0.0190027,0.00313204,0.0374913,0.0510192,0.0157219,0.0181768,0.0101667,0.0202189,0.0190922,0.00733532,0.0141938,0.0477641,0.0210606,0.0354052,0.0214196,0.0211335,0.093232,0.011797,0.00982893,0.00296028,0.0257728,0.015422,0.0104642,0.0525765,0.0330668,0,0,0.0345296,0,0.0118667,0.0215644,0.0394318,0.0298617,0.020312,0.0368189,0.0300583,0.0201675,0.0349844,0.013945,0.0533035,0.0464622,0.0143396,0.0253685,0.00332291,0.0236867,0.0407584,0.022559,0.00955105,0.00928333,0.0185399,0.0290882,0,0,0
54,0,0,0,0,0,0,0.0290369,0.0195848,0,0,0,0.0674416,0.018682,0.0420964,0.0340863,0,0,0.0127604,0,0.0190319,0.00319338,0.0378784,0.0496624,0.0160583,0.0182972,0.0102266,0.020012,0.0186143,0.00700577,0.0133545,0.0475051,0.0208722,0.0344376,0.0205636,0.0209376,0.0914371,0.0116692,0.00986918,0.00280083,0.0255439,0.0154494,0.0105353,0.0529549,0.0329409,0,0,0.0346613,0,0.0118831,0.0216146,0.0385934,0.0302715,0.0207801,0.0363762,0.0299093,0.0202857,0.0354886,0.0129309,0.0519085,0.0465248,0.0124185,0.0253354,0.00343407,0.0211778,0.0395573,0.0225507,0.00962372,0.00932964,0.0184202,0.0289004,0,0,0
55,0,0,0,0,0,0,0.0288136,0.0193948,0,0,0,0.065025,0.0185161,0.0393501,0.0340281,0,0,0.0127393,0,0.0190833,0.00333952,0.0382736,0.0470584,0.0165217,0.0183151,0.010399,0.0197484,0.0179943,0.00634783,0.0121687,0.0470004,0.0204249,0.032792,0.019377,0.0205823,0.0888847,0.0114587,0.0099063,0.00243765,0.0261301,0.0154878,0.0107357,0.0529683,0.0328486,0,0,0.0347039,0,0.0119143,0.0216326,0.037661,0.0301002,0.0210578,0.0359294,0.0295787,0.0203688,0.0354461,0.0119713,0.0507073,0.0460362,0.0110756,0.0246289,0.00395105,0.0190677,0.0395629,0.022647,0.00965087,0.00935338,0.0182629,0.0286872,0,0,0
56,0,0,0,0,0,0,0.0286769,0.0192775,0,0,0,0.0616319,0.0184488,0.0352524,0.0337059,0,0,0.0125838,0,0.0191849,0.00334265,0.0385889,0.0428545,0.0171285,0.0183854,0.0106696,0.0194473,0.0171863,0.00536712,0.0106997,0.0461446,0.0197798,0.0306543,0.0179173,0.0202111,0.0854282,0.0112697,0.00996862,0.00245193,0.0272415,0.0154957,0.0105818,0.0529594,0.0327618,0,0,0.0346411,0,0.0119224,0.0216131,0.0370861,0.0297842,0.0211236,0.0356085,0.0290009,0.0204031,0.0348909,0.0115629,0.0503053,0.0451919,0.0106529,0.0236931,0.00459437,0.0180717,0.0411203,0.0227403,0.00961246,0.00931017,0.0181048,0.0285137,0,0,0
57,0,0,0,0,0,0,0.0285927,0.0191666,0,0,0,0.0574458,0.0183195,0.0299225,0.0332524,0,0,0.0124558,0,0.0192316,0.00345161,0.0388151,0.0366736,0.0178055,0.0187331,0.0110541,0.0191491,0.0162992,0.00450582,0.0090929,0.0449735,0.0188644,0.0280502,0.0160789,0.0203604,0.0808739,0.0110281,0.00999427,0.00224559,0.028982,0.0155004,0.0103577,0.0530134,0.032591,0,0,0.0345575,0,0.0119303,0.0215989,0.0371487,0.0299848,0.0210492,0.035681,0.0282327,0.0203494,0.0341882,0.0118102,0.0507947,0.0443663,0.0109093,0.0229732,0.00525642,0.0181851,0.0439609,0.0227593,0.0095313,0.00927218,0.0178715,0.0283475,0,0,0
58,0,0,0,0,0,0,0.0284119,0.0188571,0,0,0,0.0521524,0.0181621,0.0237076,0.0326625,0,0,0.0123249,0,0.0192475,0.00360501,0.0389327,0.028424,0.0184926,0.0195082,0.0115638,0.0188659,0.0155114,0.00515368,0.00841748,0.0434925,0.0181784,0.0247879,0.0147053,0.0218257,0.0753092,0.0108018,0.00999242,0.00217993,0.0303367,0.0154969,0.0103682,0.0530007,0.0321976,0,0,0.0344359,0,0.0119413,0.0215588,0.0376714,0.0308908,0.0209625,0.0360218,0.0272556,0.0201238,0.0336565,0.0124426,0.0517454,0.0438404,0.011541,0.0224968,0.0058526,0.0191972,0.0461718,0.0225985,0.00951352,0.00929886,0.0174696,0.0280399,0,0,0
59,0,0,0,0,0,0,0.0282222,0.0185117,0,0,0,0.049302,0.0181204,0.021765,0.0317972,0,0,0.0120636,0,0.0192842,0.00360969,0.0389834,0.0246956,0.0189235,0.0195666,0.0118174,0.0188594,0.0151597,0.00610255,0.00873896,0.0428377,0.0172884,0.022233,0.0144256,0.0220013,0.0720536,0.0108473,0.0100482,0.00218654,0.0302609,0.0154663,0.0107792,0.0526203,0.0317302,0,0,0.0342861,0,0.0119231,0.0214718,0.0381281,0.0319256,0.020841,0.0363866,0.0263207,0.0198661,0.0334555,0.0129391,0.0524795,0.0437012,0.0121186,0.0221931,0.00621381,0.0206376,0.0463001,0.0224193,0.00948907,0.00927738,0.0170462,0.0277212,0,0,0
60,0,0,0,0,0,0,0.0278496,0.0179672,0,0,0,0.0467365,0.0180328,0.0207091,0.0307191,0,0,0.0115803,0,0.019347,0.00348821,0.0390965,0.0221876,0.0191312,0.0193325,0.0120361,0.0188153,0.0151839,0.0068805,0.00925341,0.0423733,0.0160764,0.0200097,0.0140772,0.0214316,0.0686803,0.0106098,0.0100378,0.00214699,0.028774,0.0154356,0.0112954,0.0521201,0.031156,0,0,0.0340227,0,0.0119009,0.0213069,0.0382693,0.0319781,0.0206635,0.0366206,0.0252392,0.0194753,0.033648,0.0128465,0.052512,0.0439327,0.0124641,0.0221541,0.006264,0.0217618,0.0444677,0.0221086,0.00951601,0.00925078,0.016454,0.027243,0,0,0
61,0,0,0,0,0,0,0.027214,0.0170889,0,0,0,0.0426606,0.0180877,0.0195174,0.0296631,0,0,0.0108892,0,0.0193916,0.0032582,0.0393676,0.0193478,0.0192456,0.0191799,0.0124342,0.0186042,0.0155281,0.00782872,0.0100357,0.0418865,0.014856,0.0179956,0.0135854,0.0207603,0.064284,0.0101081,0.0100236,0.00226353,0.0270183,0.0153752,0.0113474,0.0518198,0.0304005,0,0,0.0335992,0,0.0118468,0.0209923,0.0383464,0.0308237,0.0204862,0.0367498,0.02389,0.0187227,0.0341444,0.0121593,0.0518665,0.0443757,0.0127193,0.0223481,0.00622485,0.0220989,0.0415216,0.0214647,0.00959208,0.00927575,0.0155317,0.026694,0,0,0
62,0,0,0,0,0,0,0.0263741,0.0159348,0,0,0,0.0372259,0.018067,0.0182415,0.02883,0,0,0.0102192,0,0.0193043,0.00304032,0.0398862,0.0163768,0.0193741,0.0190052,0.0130801,0.0181369,0.0161067,0.00894074,0.0110333,0.0414678,0.0137641,0.0162245,0.0130087,0.0199588,0.0587557,0.0093135,0.0099626,0.00238015,0.0254875,0.0153096,0.0109434,0.0518835,0.0295173,0,0,0.0331171,0,0.0117908,0.0206623,0.0385833,0.0287614,0.0204058,0.0367243,0.0224341,0.0176578,0.0348143,0.0112522,0.0509187,0.0448862,0.012894,0.0227404,0.00609751,0.0214942,0.0383638,0.0205547,0.00976345,0.00933847,0.0143796,0.025906,0,0,0
63,0,0,0,0,0,0,0.0254255,0.0147681,0,0,0,0.0314257,0.0181995,0.0168442,0.0279984,0,0,0.00963778,0,0.0192434,0.00285661,0.0406104,0.0136234,0.0195163,0.0181321,0.0135658,0.0176898,0.0166252,0.00983074,0.0119874,0.0411541,0.0128707,0.0148379,0.0126771,0.0190552,0.0520989,0.00873106,0.00992716,0.00252716,0.0239965,0.015244,0.0104955,0.0520554,0.0285333,0,0,0.0326293,0,0.0117397,0.0203316,0.039011,0.0263647,0.0205284,0.0364354,0.0211108,0.0163633,0.0352953,0.0104463,0.050084,0.0451635,0.0127119,0.0231067,0.00593855,0.0200997,0.0353529,0.0194696,0.00994545,0.00941881,0.0132743,0.0250074,0,0,0
64,0,0,0,0,0,0,0.0243857,0.013748,0,0,0,0.0266103,0.0183165,0.0155039,0.0272694,0,0,0.00920032,0,0.0192207,0.00289002,0.0413588,0.0121215,0.0196941,0.0170342,0.0137105,0.0172979,0.0170296,0.0103865,0.0128111,0.0409928,0.0122336,0.0140228,0.012792,0.0181241,0.0443622,0.00828896,0.00989059,0.00263928,0.0229004,0.0151775,0.0102594,0.0522539,0.0274477,0,0,0.0322483,0,0.0116909,0.0200614,0.0392569,0.0242863,0.0207843,0.0359694,0.0200629,0.0149515,0.0353673,0.0100137,0.0496318,0.04502,0.0120434,0.023227,0.00593752,0.0183217,0.0333364,0.0183388,0.0101651,0.00955554,0.0123083,0.024235,0,0,0
65,0,0,0,0,0,0,0.0232274,0.0129541,0,0,0,0.0223532,0.0183309,0.0143545,0.0265322,0,0,0.00883604,0,0.0191774,0.00298552,0.0418036,0.0122051,0.0199248,0.0166112,0.0134506,0.0168658,0.0172009,0.0108304,0.0134194,0.0411012,0.011998,0.0138274,0.0130807,0.0173192,0.0356465,0.00801239,0.00984123,0.00270359,0.0221993,0.0150743,0.0100549,0.0522545,0.0262231,0,0,0.0319989,0,0.0116145,0.0198878,0.039389,0.0232156,0.021018,0.0354605,0.0192054,0.0135551,0.0349731,0.0100913,0.0494231,0.0444249,0.0110829,0.0230674,0.00621108,0.0163157,0.0322587,0.0171933,0.0103905,0.00974175,0.0116726,0.0233583,0,0,0
66,0,0,0,0,0,0,0.0220275,0.0123128,0,0,0,0.0185449,0.0182892,0.0136013,0.025952,0,0,0.00844452,0,0.0190625,0.00307131,0.0420066,0.0131077,0.0201685,0.0167132,0.0129708,0.0163297,0.0173228,0.0111074,0.0137019,0.041303,0.012162,0.0138527,0.0133214,0.01669,0.0267463,0.0079308,0.00975866,0.00270153,0.0215667,0.0149998,0.0101258,0.0521299,0.0249169,0,0,0.031968,0,0.0115637,0.0198406,0.0394377,0.0228518,0.0211346,0.0351326,0.0183979,0.0123219,0.0344402,0.0105234,0.0493046,0.0436999,0.0104147,0.0226848,0.00662686,0.0147399,0.031588,0.0161317,0.0105555,0.00980868,0.0112463,0.0223284,0,0,0
67,0,0,0,0,0,0,0.0208819,0.0117737,0,0,0,0.0145942,0.0183787,0.0132803,0.0254639,0,0,0.00797665,0,0.0189657,0.00306069,0.0419853,0.0136421,0.020327,0.0162362,0.0124782,0.0157488,0.0174575,0.0112087,0.0134655,0.0413169,0.0128389,0.0145395,0.013523,0.0164778,0.0196562,0.00803774,0.00970537,0.00279977,0.0208488,0.0149655,0.0104412,0.052094,0.0236685,0,0,0.0320995,0,0.011538,0.0199046,0.039441,0.0227486,0.0211001,0.0350801,0.0175092,0.011367,0.0339773,0.0109652,0.0491934,0.0430716,0.0101153,0.0222133,0.00709497,0.0138187,0.0309526,0.0152371,0.0106667,0.00981854,0.0109189,0.0212564,0,0,0
