Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
All Timesteps RMSE,0,0,0,0,0,0,0.0227928,0.010914,0,0,0,0.0439391,0.0160725,0.0274239,0.0316103,0,0,0.00695554,0,0.0195298,0.003719,0.0398876,0.027633,0.013875,0.0182259,0.015211,0.011143,0.0223346,0.0171059,0.0163117,0.0424705,0.0169937,0.0226028,0.0162704,0.0207926,0.0533064,0.00668047,0.0103956,0.0030287,0.0224132,0.0130165,0.0213385,0.0521087,0.0261297,0,0,0.0287423,0,0.010224,0.0213433,0.041135,0.0337534,0.00885795,0.0346274,0.0194927,0.0188391,0.0342483,0.0176396,0.0554723,0.0454141,0.0179654,0.0161284,0.0173598,0.021334,0.0322107,0.020543,0.00892691,0.00759133,0.0122214,0.0219642,0,0,0,0
0,0,0,0,0,0,0,0.0188756,0.0034411,0,0,0,0.0297342,0.0162703,0.0243195,0.0337215,0,0,0.00359575,0,0.0192512,0.00444763,0.0416849,0.0239094,0.00818359,0.0228483,0.015037,0.00881451,0.0223768,0.0237649,0.0128786,0.0316521,0.0222378,0.0267149,0.0221861,0.00871093,0.0368218,0.00357916,0.00988857,0.00361591,0.0133722,0.0134119,0.0146618,0.0600035,0.0217741,0,0,0.0296577,0,0.010782,0.0208604,0.0382755,0.0186108,0.00871123,0.0451744,0.0140395,0.0129581,0.0398605,0.0190628,0.0552686,0.0503522,0.015715,0.0127096,0.0168132,0.0108826,0.0166726,0.016991,0.00888659,0.00760392,0.00817229,0.0179536,0,0,0,0
1,0,0,0,0,0,0,0.019233,0.00395391,0,0,0,0.0338295,0.0164822,0.0254977,0.0331095,0,0,0.00398168,0,0.019348,0.00436417,0.0423836,0.0259326,0.00824601,0.021016,0.0145827,0.00885924,0.0222069,0.0224021,0.0123328,0.0320051,0.0212945,0.0251703,0.0219205,0.00897534,0.04059,0.00389873,0.0100115,0.00339428,0.0134687,0.0131502,0.014513,0.0597708,0.0222671,0,0,0.0293581,0,0.0106167,0.0206194,0.0384375,0.0185335,0.00898017,0.0454574,0.0139845,0.0133421,0.039396,0.0183075,0.0555135,0.049806,0.0156604,0.0127385,0.0170321,0.0106943,0.0170829,0.0172915,0.00869247,0.00761263,0.00847918,0.0182953,0,0,0,0
2,0,0,0,0,0,0,0.0195453,0.00444512,0,0,0,0.0388353,0.0164182,0.0272708,0.0325433,0,0,0.00408553,0,0.0193545,0.0043582,0.042973,0.0267389,0.00829071,0.0195398,0.0142467,0.00888356,0.0217862,0.0204564,0.0116281,0.0328215,0.0201707,0.02431,0.0217515,0.00963503,0.0458645,0.00386766,0.0100562,0.00341912,0.0132676,0.0131313,0.014455,0.0594486,0.0226903,0,0,0.0291096,0,0.0106249,0.0204529,0.0386203,0.018505,0.0092915,0.0455756,0.013913,0.0137978,0.039271,0.0179555,0.0555663,0.0495684,0.0154607,0.012826,0.0167359,0.0105326,0.0167165,0.0171558,0.00855166,0.0074726,0.00875924,0.0185607,0,0,0,0
3,0,0,0,0,0,0,0.0198544,0.0050112,0,0,0,0.0426632,0.0166303,0.0291571,0.0317724,0,0,0.00437051,0,0.019387,0.00430543,0.0433845,0.0287254,0.00851515,0.0177351,0.0138846,0.00889115,0.0216492,0.0179824,0.011487,0.0341477,0.0181487,0.02281,0.0209519,0.0109345,0.050254,0.00415316,0.0101884,0.00346119,0.0130496,0.0131736,0.0144019,0.0590001,0.0231071,0,0,0.0290511,0,0.010667,0.0204044,0.0388738,0.0187633,0.00963036,0.0455468,0.0140273,0.0142411,0.0390542,0.0176328,0.0552001,0.0492759,0.015239,0.012941,0.0164214,0.0103553,0.0162188,0.0170537,0.00844838,0.00737747,0.00915752,0.018825,0,0,0,0
4,0,0,0,0,0,0,0.0206576,0.00572219,0,0,0,0.0439971,0.0166212,0.0306918,0.0312296,0,0,0.00445646,0,0.0194322,0.00404244,0.0436021,0.0316086,0.00894587,0.0162921,0.0133241,0.00924194,0.0225652,0.0156215,0.012751,0.0357015,0.0145312,0.0196533,0.0190438,0.0133942,0.051202,0.00430114,0.0101549,0.00351231,0.0133045,0.0131899,0.0143917,0.0587051,0.0239779,0,0,0.0288895,0,0.0106687,0.0203943,0.0389819,0.0187918,0.00960753,0.0454276,0.0144395,0.0149093,0.038897,0.017324,0.0549256,0.0490222,0.0150132,0.013031,0.0161813,0.0102529,0.0165617,0.017985,0.00833479,0.00729,0.00950041,0.0195166,0,0,0,0
5,0,0,0,0,0,0,0.0220183,0.00712418,0,0,0,0.0409778,0.0163228,0.0314198,0.0303689,0,0,0.00511628,0,0.0195469,0.00389475,0.0432199,0.034949,0.00883354,0.017476,0.0117664,0.0100944,0.0246572,0.0157894,0.0155395,0.0367878,0.0101458,0.0148635,0.0161571,0.0179174,0.0465727,0.00477292,0.0101067,0.00352025,0.0136052,0.0131886,0.0145348,0.058122,0.0252362,0,0,0.0287711,0,0.0106653,0.0203996,0.0393469,0.0188257,0.0100641,0.0450544,0.0146824,0.0159938,0.0387565,0.0170046,0.0547018,0.0488695,0.0147302,0.0131209,0.0159167,0.0103973,0.0171982,0.0190941,0.00822972,0.00719736,0.00994654,0.0209497,0,0,0,0
6,0,0,0,0,0,0,0.022441,0.0076111,0,0,0,0.042489,0.016277,0.0316792,0.0298106,0,0,0.00534829,0,0.0195279,0.00386798,0.043395,0.035519,0.0094398,0.0181681,0.0116883,0.010264,0.0258542,0.0165183,0.0161931,0.0384991,0.0104474,0.0148818,0.0154163,0.0201464,0.048217,0.00483514,0.0101077,0.00343056,0.0138354,0.0131985,0.0146401,0.0576556,0.0257042,0,0,0.0286856,0,0.0106705,0.0203491,0.0395343,0.0190733,0.0103831,0.0446765,0.0154125,0.0165651,0.0386679,0.0167307,0.0544346,0.0486279,0.014443,0.0133178,0.0156832,0.0104265,0.0174057,0.0194132,0.00816984,0.00712721,0.0102643,0.0213814,0,0,0,0
7,0,0,0,0,0,0,0.0228692,0.00812909,0,0,0,0.0444655,0.0161364,0.0310306,0.0294709,0,0,0.00561435,0,0.0195077,0.00381972,0.0434347,0.0354633,0.0100159,0.0178327,0.0117194,0.01043,0.0271682,0.017358,0.0164446,0.0402507,0.0111661,0.0155241,0.0146958,0.0220971,0.0507723,0.00492262,0.0100835,0.00313934,0.0138647,0.01319,0.0148961,0.0572112,0.0262005,0,0,0.028616,0,0.0106607,0.0203798,0.039797,0.0194182,0.0106623,0.0443877,0.016162,0.0171152,0.0385281,0.0165694,0.0540411,0.0483256,0.0143105,0.0134082,0.0156047,0.0105755,0.0174158,0.0195654,0.00811588,0.00712889,0.0105592,0.0218032,0,0,0,0
8,0,0,0,0,0,0,0.023426,0.00875803,0,0,0,0.0462433,0.0160425,0.0305299,0.0295009,0,0,0.00611114,0,0.0194894,0.0040054,0.0435801,0.0346913,0.0105456,0.0171099,0.0118315,0.0106272,0.0287209,0.0184258,0.0168143,0.0419581,0.011969,0.0163236,0.0141784,0.0239547,0.053685,0.00523343,0.0101639,0.00302479,0.0138028,0.0131804,0.015272,0.0572382,0.0268503,0,0,0.0286295,0,0.0106486,0.0204567,0.0399133,0.0197635,0.0107147,0.044255,0.0170559,0.0176168,0.0382565,0.0163458,0.0537298,0.048057,0.0144038,0.013293,0.0156966,0.0108255,0.0175196,0.0198455,0.00810069,0.00717694,0.0110142,0.0223821,0,0,0,0
