Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LASI
190,0,0,0,0,0,0,0.0166413,0.00629798,0,0,0,0.00234105,0.0185325,0.0123722,0,0,0.00748105,0,0.0191205,0.00474948,0.0370077,0.0189641,0.0147587,0.00582434,0.0184857,0.00959813,0.0216739,0.0221631,0.0185051,0.0368786,0.00351836,0.00439473,0.00543238,0.0236677,0.0108569,0.0076716,0.00961334,0.00268882,0.0244469,0.0134261,0.0096658,0,0.0205983,0,0,0.0271411,0,0.0109467,0.020073,0.0419656,0.0165168,0.01262,0.0384614,0.0113591,0.0126267,0.0342426,0.0118942,0.0506509,0.0440539,0.0117177,0.0205781,0.00890885,0.0118336,0.0339295,0.016541,0.00766926,0.00666833,0.00472898,0.0153989,0,0,0,0,0
191,0,0,0,0,0,0,0.0167891,0.00632503,0,0,0,0.00325353,0.0185315,0.0116639,0,0,0.00767619,0,0.0191496,0.00484949,0.0368892,0.0190137,0.0143442,0.00576607,0.0188823,0.00966491,0.0215038,0.021956,0.0181544,0.0363757,0.00315591,0.00448294,0.00538973,0.0235105,0.0122502,0.00757215,0.00960943,0.00262083,0.0237905,0.0134124,0.00983547,0,0.0208128,0,0,0.0271527,0,0.0109472,0.0202566,0.0419445,0.0153361,0.0121624,0.039222,0.0116489,0.0128854,0.034471,0.0119865,0.0509229,0.0445181,0.011876,0.0201774,0.00926455,0.0111381,0.0324518,0.0165882,0.00769748,0.00679318,0.00483632,0.0155565,0,0,0,0,0
192,0,0,0,0,0,0,0.0169829,0.00637973,0,0,0,0.00400576,0.0185993,0.0109053,0,0,0.00784904,0,0.0192284,0.00490125,0.0367435,0.018283,0.0139052,0.00537274,0.019048,0.00981803,0.0212803,0.0214984,0.0177419,0.0358197,0.00275777,0.00440621,0.0054339,0.0232928,0.0131835,0.00757948,0.00958238,0.00260352,0.0232385,0.0134442,0.0100428,0,0.0209705,0,0,0.0271415,0,0.0109891,0.0202585,0.0419686,0.0144817,0.0117343,0.0399823,0.0119153,0.013083,0.0346373,0.0120789,0.0511295,0.0448615,0.0119907,0.0198404,0.00963209,0.0104354,0.0311388,0.0165708,0.00778862,0.00685538,0.00488983,0.0157823,0,0,0,0,0
193,0,0,0,0,0,0,0.017125,0.00640011,0,0,0,0.00444458,0.0187221,0.010159,0,0,0.00803406,0,0.0193341,0.00494337,0.0365467,0.017082,0.013476,0.00476097,0.0190302,0.00995753,0.0210539,0.0208328,0.0173496,0.0352691,0.00256824,0.00420031,0.00555882,0.023027,0.0135088,0.00767682,0.00954882,0.00250115,0.0229233,0.0135187,0.0102687,0,0.0210488,0,0,0.0271274,0,0.0110679,0.0202469,0.0420309,0.0136713,0.0113533,0.0407275,0.0121303,0.0130914,0.0347968,0.0122035,0.0513165,0.0448108,0.0122922,0.0195271,0.0100107,0.00990155,0.0301294,0.0165979,0.00792879,0.00687587,0.00493449,0.0160145,0,0,0,0,0
194,0,0,0,0,0,0,0.0172003,0.0063526,0,0,0,0.00472292,0.0187019,0.00967828,0,0,0.00821472,0,0.0193038,0.00506502,0.0363237,0.016139,0.013057,0.0041333,0.0188667,0.0100181,0.0208905,0.0200586,0.0169968,0.0347645,0.00241865,0.00393752,0.0057531,0.0226449,0.0133326,0.0078243,0.00956536,0.00235581,0.0226008,0.0134592,0.0105478,0,0.0210651,0,0,0.027105,0,0.0110151,0.020264,0.0421072,0.0129135,0.0110579,0.0414094,0.0122936,0.0130899,0.03498,0.0123858,0.0515702,0.0450797,0.0126615,0.0192858,0.0103524,0.00949122,0.0291723,0.0165718,0.00792731,0.00684749,0.00495058,0.0161762,0,0,0,0,0
195,0,0,0,0,0,0,0.0171801,0.00623734,0,0,0,0.00505762,0.0187033,0.00919601,0,0,0.00830185,0,0.0192457,0.00525888,0.0360772,0.0152308,0.0125616,0.00349537,0.0185604,0.0100087,0.0207833,0.0191981,0.0166904,0.0342592,0.00232819,0.0033743,0.00594069,0.0222393,0.0128081,0.00795814,0.00955106,0.00233603,0.02234,0.0133938,0.0108043,0,0.020959,0,0,0.026976,0,0.0109538,0.0202289,0.0422103,0.0122571,0.0108384,0.0420629,0.0124006,0.0130159,0.0350966,0.0126585,0.0518926,0.0453616,0.0129861,0.0190986,0.0106375,0.00922974,0.0281877,0.0164416,0.00777151,0.00685892,0.00490501,0.0162339,0,0,0,0,0
196,0,0,0,0,0,0,0.0170764,0.00605927,0,0,0,0.00533786,0.0187581,0.00897917,0,0,0.00838362,0,0.019215,0.00559177,0.0358743,0.0148936,0.0119612,0.00310498,0.0181738,0.00997045,0.020794,0.0183696,0.0164649,0.0336753,0.00225755,0.00252329,0.00643384,0.0217421,0.0122216,0.00809427,0.00950609,0.00238566,0.0220785,0.0133646,0.0110094,0,0.0207594,0,0,0.0267909,0,0.0109233,0.0199775,0.0423427,0.011766,0.0107078,0.0426888,0.0124949,0.0128011,0.0350708,0.0129737,0.0522371,0.0453656,0.0132468,0.018866,0.010908,0.00911055,0.0272835,0.0162175,0.00758766,0.00685702,0.00477187,0.0162086,0,0,0,0,0
197,0,0,0,0,0,0,0.0169086,0.00585581,0,0,0,0.00582341,0.0188284,0.0090984,0,0,0.0084792,0,0.0192035,0.00578864,0.0357283,0.0150837,0.0113337,0.00313777,0.0178439,0.0099022,0.0209194,0.0177922,0.0163902,0.0330448,0.00240717,0.00154807,0.00713788,0.021118,0.0116526,0.00827515,0.00945467,0.0024966,0.0218737,0.0133325,0.0111837,0,0.0204522,0,0,0.0266267,0,0.0108993,0.0195159,0.0424672,0.0115126,0.0106012,0.0433159,0.0126434,0.0124567,0.0349189,0.013285,0.05261,0.0453864,0.0135415,0.0185404,0.0112121,0.00904077,0.0266323,0.015872,0.00779916,0.00687576,0.0045801,0.0161139,0,0,0,0,0
198,0,0,0,0,0,0,0.0166562,0.00566189,0,0,0,0.00606911,0.0189008,0.0097768,0,0,0.00851494,0,0.0191774,0.00584587,0.0355481,0.0158785,0.0107361,0.00358199,0.0177235,0.00977493,0.0211251,0.0174871,0.0164627,0.0323161,0.00307839,0.00144107,0.00803168,0.0203684,0.0106513,0.00852324,0.00941766,0.00274305,0.0216395,0.0133175,0.0114532,0,0.0199994,0,0,0.0265159,0,0.0108928,0.0192957,0.0425966,0.011497,0.0105312,0.0440192,0.012918,0.0119949,0.0350072,0.0135634,0.053,0.0455009,0.0139008,0.0181777,0.0115835,0.00909865,0.0258835,0.0155184,0.00797658,0.00692532,0.0043475,0.0159226,0,0,0,0,0
199,0,0,0,0,0,0,0.0164637,0.00556779,0,0,0,0.00638658,0.0189268,0.0112574,0,0,0.00846923,0,0.0191675,0.00581969,0.0353449,0.0172481,0.0101908,0.0042117,0.0176513,0.00966696,0.0214089,0.0174914,0.0166706,0.0315164,0.0040154,0.00266712,0.00915295,0.0195271,0.00997168,0.00882717,0.00939433,0.00283212,0.0214153,0.0133044,0.011822,0,0.0195479,0,0,0.0264347,0,0.0108913,0.0192048,0.0427046,0.0116549,0.0104635,0.044704,0.0131967,0.011601,0.0352003,0.013799,0.0533425,0.0456608,0.0143647,0.0178025,0.0119793,0.00930709,0.0250427,0.015152,0.00805703,0.00694891,0.00421205,0.0157431,0,0,0,0,0
