Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LASI
All Timesteps RMSE,0,0,0,0,0,0,0.0208323,0.010659,0,0,0,0.0453875,0.0189415,0.0254784,0,0,0.0109597,0,0.0190532,0.00572289,0.0368254,0.0272041,0.01374,0.0132777,0.0147968,0.0128391,0.0192865,0.0122795,0.0140843,0.0407912,0.0129041,0.0196335,0.0135934,0.0236148,0.0564928,0.0110947,0.00935948,0.00271485,0.0280402,0.0131757,0.0186608,0.0509995,0.0244552,0,0,0.0265445,0,0.0108338,0.0196362,0.0431282,0.0330386,0.011571,0.0348604,0.0178968,0.0171112,0.0325192,0.0148915,0.0540772,0.0431877,0.0167326,0.0195041,0.0140286,0.0219309,0.0403524,0.0194616,0.00805198,0.00724636,0.00961398,0.0205542,0,0,0,0,0.028164
0,0,0,0,0,0,0,0.0185853,0.0119062,0,0,0,0.0389336,0.0196928,0.018875,0,0,0.0119089,0,0.01843,0.00624385,0.0382504,0.0242218,0.00760212,0.00728476,0.00863897,0.0113782,0.0166011,0.00637236,0.00972846,0.0418849,0.0128391,0.0200644,0.0116097,0.0286099,0.0471322,0.0123176,0.00891863,0.00307124,0.0332549,0.0126591,0.0202732,0.0498695,0.0235214,0,0,0.025386,0,0.010535,0.0187452,0.0422753,0.0278147,0.00936914,0.0357967,0.0163077,0.0195054,0.0335972,0.0149259,0.0584264,0.0430815,0.0209944,0.00447435,0.0220993,0.0218307,0.0425506,0.0208051,0.00858082,0.00765759,0.0117541,0.0183088,0,0,0,0,0
1,0,0,0,0,0,0,0.0179243,0.0112999,0,0,0,0.0392339,0.0197041,0.0188527,0,0,0.0114402,0,0.0184432,0.00599303,0.0378799,0.0240443,0.00761214,0.00785565,0.00916229,0.0106778,0.0169752,0.00633563,0.00922776,0.0416642,0.0130549,0.0202574,0.011779,0.0284782,0.0474798,0.0116404,0.00890754,0.00302984,0.0333883,0.0126051,0.0206345,0.0497086,0.0228925,0,0,0.0251048,0,0.0105634,0.018584,0.0419112,0.0309966,0.00880148,0.0343583,0.0156853,0.019096,0.0328438,0.015985,0.059866,0.0430145,0.0218697,0.00407501,0.022423,0.0241655,0.0441563,0.0203452,0.00858475,0.00759101,0.0114669,0.0176426,0,0,0,0,0
2,0,0,0,0,0,0,0.017236,0.0107761,0,0,0,0.0400152,0.0198172,0.0191197,0,0,0.0111696,0,0.0184297,0.00601119,0.0377617,0.0235009,0.00772853,0.00862419,0.00989639,0.0101117,0.0169988,0.00601806,0.00898802,0.041696,0.0135889,0.0210271,0.0121861,0.0282272,0.0487503,0.0111913,0.00889627,0.00320981,0.0334735,0.0126455,0.0210595,0.0497373,0.0221925,0,0,0.0248362,0,0.0106091,0.0183984,0.0416495,0.0342763,0.00821942,0.0333783,0.015098,0.0186195,0.0320777,0.01715,0.0612946,0.0429798,0.022201,0.00402018,0.022082,0.0258687,0.0451834,0.0198576,0.00853103,0.00755174,0.0111662,0.0169547,0,0,0,0,0
3,0,0,0,0,0,0,0.0166094,0.0102589,0,0,0,0.0403979,0.0199256,0.0194957,0,0,0.0109685,0,0.0183974,0.00606962,0.0377164,0.0228065,0.00799243,0.00942526,0.0107845,0.00974427,0.0168078,0.00560934,0.00881182,0.0418035,0.0142105,0.0218485,0.0125752,0.0280354,0.0497398,0.0108338,0.00888151,0.00347142,0.034175,0.0127141,0.0214867,0.0498119,0.0215332,0,0,0.0246355,0,0.0106486,0.0182821,0.0415313,0.0367842,0.00769091,0.0322349,0.0147069,0.018116,0.0313875,0.018272,0.0624917,0.0430329,0.0223945,0.00424268,0.0216617,0.02721,0.045966,0.0194924,0.00840572,0.00756768,0.0108982,0.0163149,0,0,0,0,0
4,0,0,0,0,0,0,0.0161052,0.00983819,0,0,0,0.0409212,0.0200126,0.0196598,0,0,0.0108749,0,0.0183557,0.00612777,0.0376772,0.0222353,0.00834804,0.0102151,0.0116802,0.00942743,0.0165155,0.00515359,0.00881261,0.0419826,0.0148342,0.0227288,0.0128975,0.0279222,0.0507047,0.010586,0.00885567,0.00349418,0.0349493,0.0127617,0.02203,0.049936,0.0209404,0,0,0.0244604,0,0.0106688,0.0181847,0.041429,0.0387222,0.00722571,0.0308189,0.0144436,0.0176279,0.0307625,0.0192321,0.0634623,0.0430614,0.0225065,0.00461674,0.0212153,0.028198,0.0471306,0.0192268,0.00828038,0.00756408,0.0106703,0.0157645,0,0,0,0,0
5,0,0,0,0,0,0,0.0156977,0.00976411,0,0,0,0.0414057,0.0200846,0.0196688,0,0,0.0108413,0,0.0183198,0.00620827,0.0375736,0.0221451,0.00875456,0.0106653,0.0125425,0.00912383,0.0162064,0.00482477,0.00883339,0.0421724,0.0153056,0.0234667,0.0131896,0.0278457,0.0517425,0.0103809,0.0087907,0.0034231,0.0362454,0.0128312,0.0228658,0.0501853,0.0204749,0,0,0.0243925,0,0.0106902,0.018089,0.0413743,0.0404212,0.00689638,0.0294018,0.0143976,0.0172377,0.0302125,0.0200348,0.0640979,0.0429521,0.0224512,0.00509662,0.0206918,0.0287874,0.04957,0.0189157,0.0081623,0.0074867,0.0103963,0.0153403,0,0,0,0,0
6,0,0,0,0,0,0,0.0154739,0.00969778,0,0,0,0.0419564,0.0201472,0.0197151,0,0,0.0109057,0,0.0183241,0.0063527,0.037417,0.0221488,0.00911865,0.0110024,0.0132862,0.00898648,0.0159837,0.00451335,0.00885178,0.0423111,0.0155573,0.0238492,0.0134119,0.0276416,0.0525453,0.0102604,0.00874555,0.00349483,0.0382066,0.0128951,0.023701,0.0503813,0.0201739,0,0,0.024385,0,0.0107087,0.0180024,0.0414449,0.0419486,0.0067223,0.0281774,0.0145767,0.0169153,0.0296396,0.0206084,0.0643417,0.0426882,0.0222512,0.00568623,0.020144,0.028873,0.0530517,0.0187065,0.0080762,0.00739934,0.0100312,0.0150972,0,0,0,0,0
7,0,0,0,0,0,0,0.0154553,0.00953122,0,0,0,0.0425903,0.0202135,0.0199642,0,0,0.0110405,0,0.0183815,0.00652589,0.0373104,0.0220115,0.00944526,0.0113343,0.0138769,0.00905619,0.0158339,0.00416058,0.00882269,0.0423819,0.0156298,0.0239055,0.0136241,0.02723,0.0533511,0.0102135,0.00874737,0.003513,0.0403953,0.0129454,0.0239568,0.0504726,0.0200624,0,0,0.024422,0,0.0107141,0.0180036,0.0416537,0.042892,0.00673574,0.0271985,0.0149692,0.0166773,0.0292187,0.0209128,0.0642244,0.0423602,0.0221933,0.00634696,0.0197062,0.0286595,0.0562676,0.0186172,0.0080314,0.00738962,0.00960297,0.0150682,0,0,0,0,0
8,0,0,0,0,0,0,0.0155561,0.0093331,0,0,0,0.0431697,0.020202,0.0205967,0,0,0.0111222,0,0.0183938,0.00662146,0.0371853,0.0218479,0.0097634,0.0116096,0.0143204,0.00915086,0.0157678,0.00394591,0.00878114,0.0424389,0.015647,0.0239425,0.0139736,0.0266645,0.0544813,0.0101541,0.00874441,0.0034188,0.0423796,0.0129938,0.0242455,0.0504268,0.0200845,0,0,0.0244137,0,0.0107329,0.0180335,0.0419894,0.043047,0.00687436,0.0264097,0.0154774,0.0164701,0.0290591,0.0210431,0.0639691,0.0421367,0.0222481,0.00696079,0.0192662,0.0283918,0.058329,0.0184736,0.008022,0.00740029,0.00925734,0.015206,0,0,0,0,0
9,0,0,0,0,0,0,0.0157562,0.0091623,0,0,0,0.0440934,0.020161,0.021336,0,0,0.0112176,0,0.0183833,0.00669629,0.0369898,0.0217275,0.0100762,0.0119531,0.0146693,0.00920995,0.0159843,0.00386318,0.00877814,0.0424577,0.0155552,0.023874,0.0142922,0.0259628,0.0557921,0.010173,0.00874532,0.00350844,0.0434748,0.0130289,0.0241427,0.0502283,0.0201878,0,0,0.0244682,0,0.0107532,0.0181067,0.0424141,0.0422402,0.00707447,0.0257009,0.0159257,0.0163257,0.0290704,0.0210422,0.0638031,0.0420495,0.0223396,0.00748447,0.0188697,0.0281998,0.0591986,0.0184042,0.00801348,0.00737976,0.00900548,0.0154459,0,0,0,0,0
10,0,0,0,0,0,0,0.0160024,0.00901941,0,0,0,0.0458759,0.0201515,0.0220768,0,0,0.011357,0,0.0183667,0.00674111,0.0368274,0.0216967,0.0104008,0.0121601,0.0149893,0.00947024,0.0162916,0.00397199,0.00897928,0.0424652,0.0154532,0.0237266,0.0146073,0.0252339,0.0571058,0.0103231,0.00875076,0.00378722,0.0432494,0.013059,0.0234242,0.04997,0.0203465,0,0,0.0246018,0,0.0107696,0.0181693,0.0427475,0.0407747,0.00731543,0.0250149,0.0162546,0.0162436,0.0291513,0.0209065,0.0636556,0.0420693,0.0223635,0.00782177,0.0185075,0.0282426,0.0585349,0.018366,0.00798995,0.00732929,0.00865511,0.0157685,0,0,0,0,0
11,0,0,0,0,0,0,0.0162593,0.00884466,0,0,0,0.0478061,0.0201596,0.0230734,0,0,0.011528,0,0.0184171,0.00675427,0.0368588,0.0219887,0.0107718,0.0122153,0.0153948,0.00978127,0.0166829,0.00423581,0.0093647,0.042549,0.0154458,0.0238539,0.0149628,0.0245425,0.0586129,0.0106173,0.00875898,0.00383977,0.0417587,0.0130933,0.0225489,0.0496334,0.0205434,0,0,0.0246256,0,0.0107903,0.0181432,0.0428048,0.0392072,0.00758468,0.0243745,0.0164193,0.0162337,0.0292459,0.0207859,0.0634266,0.0421075,0.0223723,0.0079851,0.0182075,0.0285859,0.0570158,0.0183228,0.00794527,0.00727193,0.00808106,0.0161351,0,0,0,0,0
12,0,0,0,0,0,0,0.0167077,0.00835106,0,0,0,0.0490401,0.0201459,0.0240899,0,0,0.0116938,0,0.0185109,0.0067607,0.0370372,0.0223704,0.0111872,0.0124463,0.0157881,0.0100531,0.0169794,0.00463071,0.00984784,0.04273,0.0154889,0.0241171,0.0151777,0.0238503,0.0598679,0.0110098,0.00874058,0.00358002,0.0402372,0.0131266,0.0219096,0.0490832,0.0208691,0,0,0.0245946,0,0.0108053,0.0181028,0.0428233,0.0378006,0.00787608,0.0237333,0.0165253,0.0162669,0.0292629,0.0206867,0.0631146,0.04205,0.0224784,0.00806663,0.0180352,0.0290372,0.0549838,0.0183377,0.00791663,0.00728678,0.00801529,0.0166299,0,0,0,0,0
13,0,0,0,0,0,0,0.0170134,0.00813786,0,0,0,0.0495124,0.0201935,0.0249066,0,0,0.0118368,0,0.0185836,0.00679996,0.0370686,0.0226716,0.0115615,0.0127704,0.0161516,0.0103279,0.0171101,0.0049562,0.0103067,0.0429846,0.0156488,0.0241398,0.0153502,0.0232744,0.0609904,0.0113831,0.00876588,0.00342406,0.0390468,0.0131352,0.0216042,0.0485304,0.0210531,0,0,0.0245369,0,0.0108036,0.0180716,0.0429741,0.0365071,0.00806751,0.0231577,0.0163946,0.0162482,0.0291036,0.0205431,0.0627784,0.0418242,0.0225755,0.00812805,0.0180745,0.0291661,0.0530358,0.0182713,0.00789116,0.00731111,0.00789387,0.0169832,0,0,0,0,0
14,0,0,0,0,0,0,0.0172697,0.00811491,0,0,0,0.0498982,0.0202187,0.0255673,0,0,0.0118806,0,0.0185895,0.00680485,0.0371451,0.0229729,0.0118875,0.013038,0.0165253,0.0105888,0.0173133,0.00526441,0.0107332,0.0432419,0.0158024,0.0242362,0.0154994,0.0227671,0.0621384,0.0116091,0.00877936,0.0033947,0.038057,0.0131538,0.0216184,0.0482764,0.0212081,0,0,0.0245767,0,0.0108125,0.0181003,0.0430477,0.0356599,0.00820362,0.0227157,0.0162667,0.0162459,0.0287404,0.020438,0.0623742,0.0414103,0.0225483,0.00808725,0.0182167,0.028884,0.0509307,0.0183272,0.00788386,0.00730444,0.00802239,0.0172831,0,0,0,0,0
15,0,0,0,0,0,0,0.0174863,0.0083051,0,0,0,0.0507466,0.0202409,0.0262175,0,0,0.0119053,0,0.0185696,0.00681156,0.0372929,0.0235475,0.0122606,0.0133071,0.0169989,0.0107298,0.0175075,0.00568659,0.0111042,0.043526,0.0159205,0.0244829,0.0157224,0.0224145,0.0634199,0.0117013,0.00876617,0.00330733,0.0371216,0.013156,0.0217855,0.0483973,0.0214067,0,0,0.0246845,0,0.0108113,0.0181966,0.0430403,0.0352151,0.0083213,0.0223676,0.016251,0.0163076,0.0282015,0.0204415,0.0619697,0.0408251,0.0224305,0.00792847,0.0184693,0.0283052,0.0488294,0.0183894,0.00791724,0.00732989,0.00796156,0.017569,0,0,0,0,0
16,0,0,0,0,0,0,0.0177753,0.00867378,0,0,0,0.0520077,0.02026,0.0266091,0,0,0.0120123,0,0.0185646,0.00686118,0.0374978,0.0237643,0.0126269,0.0135754,0.0173646,0.0108928,0.0176238,0.00611434,0.0115166,0.0437471,0.0160093,0.0247703,0.0158987,0.022144,0.0649402,0.0118082,0.00874574,0.00322396,0.0364655,0.0131408,0.0219486,0.0486875,0.0216974,0,0,0.0248699,0,0.0108039,0.0183397,0.0430577,0.0350397,0.00846183,0.0219583,0.0163365,0.0164311,0.0275692,0.0204134,0.0615174,0.0400606,0.0222005,0.00774251,0.0189355,0.0275601,0.0473511,0.0185368,0.00796292,0.00728618,0.00816317,0.0178932,0,0,0,0,0
17,0,0,0,0,0,0,0.0181195,0.00920545,0,0,0,0.0535051,0.0202749,0.0268001,0,0,0.0120735,0,0.0185737,0.00689767,0.0376142,0.0238343,0.0129253,0.0136852,0.0175311,0.0111142,0.017872,0.00643294,0.0118514,0.0438928,0.0160567,0.0247836,0.0160233,0.0219203,0.0666806,0.0118677,0.00872998,0.0032119,0.0359742,0.0131492,0.022075,0.0490459,0.0220545,0,0,0.025133,0,0.0108136,0.0185346,0.0431378,0.0351007,0.00859613,0.0215406,0.0164784,0.0165752,0.0268636,0.0203606,0.060981,0.0391733,0.0219161,0.00757801,0.0195395,0.0268651,0.0466263,0.0187279,0.0079858,0.00722656,0.00866373,0.0182191,0,0,0,0,0
18,0,0,0,0,0,0,0.0185018,0.00911855,0,0,0,0.054818,0.020241,0.0267235,0,0,0.0120523,0,0.0185702,0.00685806,0.0376105,0.0238893,0.0132199,0.0136455,0.0175452,0.0113483,0.017971,0.00669278,0.0121588,0.0440096,0.0160564,0.0247616,0.0160615,0.0217153,0.0682915,0.0118285,0.00872751,0.0032346,0.0355611,0.0131782,0.0222501,0.0494169,0.0224205,0,0,0.0254339,0,0.0108227,0.0187607,0.0432688,0.0354552,0.00873299,0.0211753,0.0167037,0.0167033,0.0261096,0.0202803,0.0604593,0.0382219,0.0218031,0.00744205,0.0201221,0.0263105,0.0464843,0.0189964,0.00796854,0.00726698,0.00906161,0.0185388,0,0,0,0,0
19,0,0,0,0,0,0,0.0188057,0.00913502,0,0,0,0.0560304,0.0201344,0.0267282,0,0,0.011955,0,0.0185532,0.00674212,0.0375862,0.0241929,0.0135223,0.0136492,0.0175025,0.0115132,0.0179935,0.00697077,0.012453,0.0441731,0.0160572,0.0247944,0.0160569,0.0215649,0.0696988,0.0116663,0.00872059,0.00318681,0.0353414,0.0131946,0.0225813,0.0497642,0.0227517,0,0,0.0256489,0,0.0108279,0.0188957,0.0433596,0.036242,0.00889804,0.0208173,0.0169981,0.0168564,0.0253618,0.0201013,0.0599165,0.0373355,0.021809,0.00729794,0.0205593,0.0260283,0.0463596,0.0191918,0.00793125,0.0072636,0.0092276,0.01881,0,0,0,0,0
20,0,0,0,0,0,0,0.0190977,0.00941658,0,0,0,0.0572042,0.0200791,0.0271534,0,0,0.0120743,0,0.018586,0.00677266,0.0373927,0.0242438,0.0137998,0.0135505,0.0170429,0.0117777,0.0179927,0.00707787,0.0125323,0.044309,0.0159533,0.024697,0.0160784,0.0216069,0.0706296,0.0117067,0.00874107,0.00336715,0.035205,0.0132017,0.0228447,0.0497127,0.0230251,0,0,0.0257657,0,0.0108395,0.018974,0.0435942,0.0373219,0.00910198,0.0203886,0.017216,0.017052,0.0246257,0.0199381,0.0593473,0.0364995,0.0219424,0.00718227,0.0209988,0.0261501,0.0460929,0.0193458,0.0079273,0.0072202,0.00938887,0.0191092,0,0,0,0,0.0308837
21,0,0,0,0,0,0,0.0190998,0.00921148,0,0,0,0.0588285,0.0201545,0.029077,0,0,0.0121344,0,0.0186137,0.00687372,0.0376654,0.0244522,0.0142102,0.0138196,0.0175157,0.0116689,0.0185598,0.00763865,0.0131699,0.0447332,0.01613,0.0250072,0.0165886,0.0213707,0.0722935,0.0115752,0.00877336,0.00346696,0.0353279,0.0131957,0.0232164,0,0.023152,0,0,0.0257286,0,0.0108289,0.018965,0.0433008,0.0387587,0.00949626,0.0203999,0.017389,0.0170162,0.0243171,0.0197339,0.0588947,0.0361474,0.0221445,0.00696798,0.0213982,0.0267009,0.0464928,0.0191992,0.00789493,0.00719719,0.00919737,0.0191559,0,0,0,0,0.0312402
22,0,0,0,0,0,0,0.0192212,0.00937571,0,0,0,0.0595712,0.0201094,0.0298802,0,0,0.0122637,0,0.0186344,0.00694815,0.0373384,0.0240997,0.0143287,0.0135942,0.0168927,0.0117399,0.0183893,0.00755369,0.0132781,0.044735,0.0160849,0.0252092,0.0165812,0.0214557,0.0735308,0.0116293,0.0087897,0.00322463,0.0346727,0.0131699,0.0236638,0.05016,0.0232988,0,0,0.0257727,0,0.0108078,0.0190225,0.0438143,0.0403926,0.00935661,0.0195881,0.0176285,0.0171194,0.0234859,0.0195623,0.058,0.0352346,0.0223972,0.00696526,0.0218946,0.0275807,0.0467465,0.0192945,0.00791595,0.00731285,0.00904357,0.0192536,0,0,0,0,0.0308513
23,0,0,0,0,0,0,0.0194273,0.00948452,0,0,0,0.0606566,0.020029,0.0303395,0,0,0.0122361,0,0.0186431,0.00686179,0.0373091,0.0240805,0.0144891,0.0135342,0.0166492,0.0116523,0.0185216,0.00775698,0.013625,0.0449068,0.0161009,0.0254811,0.0164917,0.021415,0.0747078,0.0116214,0.00879331,0.00310476,0.0341704,0.0131424,0.0242972,0.0502702,0.0235614,0,0,0.0257454,0,0.0108023,0.0189933,0.0440215,0.0422905,0.00949849,0.0192713,0.0178929,0.0172293,0.0229414,0.0193639,0.0573338,0.0346476,0.02258,0.00685079,0.0222184,0.0284548,0.0475717,0.0194104,0.00794898,0.00727688,0.00947158,0.0194578,0,0,0,0,0.0309753
24,0,0,0,0,0,0,0.0196217,0.00960637,0,0,0,0.0616863,0.0200031,0.0307133,0,0,0.0122305,0,0.0186667,0.00676371,0.0372322,0.0240751,0.0146943,0.0135145,0.0165817,0.011651,0.0186334,0.00795222,0.0138488,0.0450824,0.0160155,0.0254551,0.0164104,0.0213518,0.0757862,0.011659,0.00880943,0.00319302,0.0339321,0.013095,0.0250648,0.0504196,0.0238033,0,0,0.0256117,0,0.0107824,0.018896,0.0442988,0.0443864,0.00968511,0.0191675,0.0181728,0.0173452,0.0224919,0.0191425,0.0567139,0.0341623,0.0227526,0.00675351,0.0223503,0.029366,0.048643,0.0194848,0.00794776,0.00717345,0.00943299,0.0196606,0,0,0,0,0.0311581
25,0,0,0,0,0,0,0.019866,0.00980044,0,0,0,0.062553,0.019904,0.0312883,0,0,0.0120589,0,0.0186796,0.00660917,0.0371513,0.0241591,0.0149202,0.0136146,0.0165474,0.0117013,0.018676,0.00820501,0.0139644,0.0452334,0.0159695,0.0253537,0.0164859,0.0211983,0.0767889,0.0115731,0.00881377,0.00309107,0.0340789,0.0130412,0.0258271,0.0505535,0.0240866,0,0,0.0254905,0,0.0107561,0.0188168,0.0445794,0.0466148,0.00991266,0.0192963,0.0185221,0.0174926,0.0222271,0.0188662,0.056131,0.0338515,0.022941,0.00676925,0.0222657,0.0303469,0.0501592,0.0194293,0.00794058,0.00713413,0.0091825,0.0199185,0,0,0,0,0.0313666
26,0,0,0,0,0,0,0.0202532,0.0100667,0,0,0,0.0631809,0.0198105,0.0318251,0,0,0.011959,0,0.0186532,0.00649165,0.0370377,0.0243707,0.0150768,0.0137515,0.0163758,0.0119465,0.0186707,0.0083959,0.0142093,0.0453711,0.0159217,0.0252986,0.0167184,0.0210441,0.0773516,0.0116093,0.00885071,0.00309872,0.0345701,0.0130115,0.0264115,0.050635,0.0244454,0,0,0.0254437,0,0.0107514,0.0188084,0.044791,0.0486414,0.0102254,0.0196759,0.0189199,0.0176358,0.0222236,0.01851,0.0554947,0.0337906,0.0230359,0.00711293,0.0219311,0.031303,0.0520963,0.0194558,0.00793777,0.00714869,0.00959885,0.0203376,0,0,0,0,0.0315053
27,0,0,0,0,0,0,0.0206445,0.0103803,0,0,0,0.0636373,0.0197802,0.032239,0,0,0.012047,0,0.0185907,0.00639803,0.0369846,0.0246355,0.0152681,0.0137649,0.0161308,0.0122136,0.0188306,0.00855338,0.014546,0.0454796,0.0158915,0.0253145,0.0170795,0.0209354,0.0777837,0.0117859,0.00893116,0.00302474,0.0351752,0.0130065,0.0266984,0.0507071,0.024818,0,0,0.0254477,0,0.0107624,0.0188738,0.0449584,0.0502701,0.010617,0.0203736,0.0194179,0.0178183,0.0224943,0.0180338,0.0547523,0.0339794,0.0229186,0.00790051,0.0213014,0.0320373,0.0541775,0.0195757,0.00798583,0.00716206,0.00971262,0.0208114,0,0,0,0,0.0316308
28,0,0,0,0,0,0,0.0212333,0.0107617,0,0,0,0.0640374,0.0197099,0.0325397,0,0,0.0121832,0,0.0186065,0.00636649,0.0368734,0.0249452,0.0154349,0.0137038,0.0157681,0.0126459,0.0188914,0.0086172,0.0149124,0.0455011,0.0158255,0.0252607,0.0172008,0.0207991,0.0784407,0.0119829,0.00897113,0.00284116,0.0355422,0.0129852,0.0266387,0.050694,0.0253368,0,0,0.0255875,0,0.0107609,0.0190434,0.0450393,0.0509494,0.0110142,0.0212986,0.0199467,0.0181316,0.0230029,0.0174343,0.0542313,0.0343802,0.022577,0.00906042,0.0203132,0.032527,0.0559558,0.0198529,0.00805063,0.00718144,0.0100155,0.0214792,0,0,0,0,0.0316851
29,0,0,0,0,0,0,0.0218111,0.0112196,0,0,0,0.064233,0.0197084,0.032802,0,0,0.0124578,0,0.0186599,0.00645562,0.0367542,0.025309,0.0155481,0.0137014,0.015287,0.0131175,0.0187177,0.00854164,0.0149888,0.0454175,0.0157689,0.02521,0.0171268,0.0206252,0.0789928,0.0122487,0.00901615,0.00279612,0.0357613,0.0129614,0.0261834,0.0505431,0.0258294,0,0,0.0258099,0,0.0107482,0.0192209,0.0450744,0.0506932,0.0113762,0.0223074,0.0204771,0.018478,0.0237631,0.0167782,0.0537392,0.0349885,0.0220387,0.0104876,0.0190994,0.0326787,0.0573132,0.0201652,0.00812707,0.00726877,0.010483,0.0220891,0,0,0,0,0.0316825
30,0,0,0,0,0,0,0.0223244,0.0117273,0,0,0,0.0641819,0.0196572,0.0330005,0,0,0.0126639,0,0.018726,0.00649756,0.0365246,0.0256432,0.015593,0.0136973,0.0147324,0.0135651,0.0184016,0.00838692,0.0148961,0.045255,0.0157407,0.0252429,0.0169582,0.0204542,0.0792013,0.0123977,0.00903613,0.00262055,0.0359066,0.0129159,0.025315,0.0502663,0.0262823,0,0,0.0259376,0,0.0107348,0.0193184,0.0450709,0.0500894,0.0116555,0.0232173,0.0210314,0.018821,0.0247159,0.0160877,0.05321,0.0358251,0.0212933,0.0121064,0.0176692,0.0324133,0.0581659,0.0203485,0.00817147,0.00727097,0.0108857,0.0226679,0,0,0,0,0.0316894
31,0,0,0,0,0,0,0.0227673,0.0122022,0,0,0,0.0640319,0.0195509,0.0330598,0,0,0.0127779,0,0.0187499,0.00647652,0.0361987,0.0258524,0.0155716,0.013552,0.0141807,0.0139343,0.0180503,0.00827228,0.0148927,0.0450599,0.0156079,0.0250841,0.0168668,0.0203907,0.0789344,0.0125387,0.00904799,0.00265387,0.0360242,0.0128713,0.0239974,0.0498951,0.0266486,0,0,0.0259278,0,0.010721,0.0193648,0.0450255,0.0487407,0.0118835,0.024107,0.021562,0.0191219,0.0258836,0.0153372,0.0525865,0.0369282,0.0203809,0.0139016,0.0160576,0.0317771,0.0583805,0.020559,0.00816597,0.00724717,0.0111764,0.0231384,0,0,0,0,0.0316221
32,0,0,0,0,0,0,0.0231399,0.0126671,0,0,0,0.0639176,0.0195431,0.0331411,0,0,0.012971,0,0.0187847,0.00651425,0.0359437,0.0261262,0.0155283,0.0134958,0.0135967,0.0142801,0.0176397,0.00805978,0.0147634,0.044857,0.0155592,0.0248949,0.0168057,0.0203779,0.0787114,0.0128071,0.00909522,0.00291326,0.0358028,0.0128673,0.0221851,0.0494037,0.0269512,0,0,0.025848,0,0.0107243,0.019382,0.0449834,0.0462324,0.0120954,0.0250715,0.0221031,0.0194191,0.0272873,0.0145579,0.0518757,0.0382909,0.0193107,0.0158734,0.0142552,0.0308213,0.0579578,0.0208413,0.00816404,0.0072563,0.0115916,0.0235025,0,0,0,0,0.0314004
33,0,0,0,0,0,0,0.0235387,0.0132258,0,0,0,0.0636759,0.0194907,0.0330603,0,0,0.0130319,0,0.0188,0.00643474,0.0357401,0.0262734,0.0154541,0.0134299,0.0129431,0.0146145,0.0173075,0.007799,0.0145619,0.0446708,0.0154669,0.0246024,0.0169264,0.0204194,0.0783719,0.0129545,0.0091145,0.00274037,0.0349511,0.0128464,0.0200546,0.0488434,0.0272633,0,0,0.0257399,0,0.0107099,0.0193469,0.0448956,0.0431898,0.0122787,0.0262182,0.0227209,0.0197597,0.0288538,0.0138463,0.0512634,0.039898,0.0180186,0.0179761,0.0122615,0.0295723,0.0567486,0.0210563,0.00819221,0.00726264,0.0120374,0.0238694,0,0,0,0,0.0311038
34,0,0,0,0,0,0,0.0239744,0.0137671,0,0,0,0.0634259,0.0193562,0.032954,0,0,0.0129845,0,0.0187616,0.00627689,0.0356282,0.0263817,0.0153515,0.0132713,0.0123221,0.0148575,0.0170275,0.00754002,0.0142313,0.0444795,0.0153705,0.0246439,0.0168541,0.0205448,0.078077,0.0129609,0.00912182,0.00258304,0.0337447,0.012825,0.0182019,0.0482665,0.027604,0,0,0.0257052,0,0.0106935,0.0193298,0.0448801,0.0399129,0.012398,0.027318,0.0234215,0.0201013,0.0305084,0.013287,0.0507115,0.0416527,0.0166952,0.0200834,0.0102302,0.0280501,0.0547939,0.0212162,0.00824705,0.00735206,0.0125454,0.024278,0,0,0,0,0.0307903
35,0,0,0,0,0,0,0.0243665,0.0143111,0,0,0,0.0629706,0.0192761,0.0326357,0,0,0.0130066,0,0.0187788,0.00615804,0.0354386,0.0264202,0.0152215,0.0130822,0.0118213,0.015105,0.0167255,0.00732843,0.0139422,0.0442627,0.0151733,0.0246703,0.0166739,0.0207214,0.0775997,0.0130184,0.00913615,0.00257642,0.0321242,0.012813,0.0162642,0.04776,0.0279695,0,0,0.0257633,0,0.0106884,0.0193757,0.0449231,0.036495,0.0125461,0.0282749,0.0241625,0.0204639,0.0320815,0.0129559,0.0502635,0.0433739,0.0154028,0.0222305,0.00812439,0.0263578,0.0521191,0.0213567,0.0082926,0.00749454,0.0129899,0.0246597,0,0,0,0,0.03055
