Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x71,x72,RWRB,x73
29,0,0,0,0,0,0,0.00139051,0.00388086,0,0,0,0.0106719,0.0143197,0.00705961,0.00134737,0,0,0.0326621,0,0.0228619,0.0195654,0.0163664,0.022302,0.0196948,0.0168907,0.00593124,0.0157463,0.00994897,0.0134882,0.00807422,0.0353857,0.0127974,0.0102652,0.0057382,0.0362508,0.00854219,0.0273957,0.0116038,0.00709221,0.0265219,0.0182071,0.0167392,0.00424494,0.00281116,0,0,0.0108737,0,0.0148127,0.00576499,0.0818834,0.0245783,0.0512085,0.0177677,0.00520282,0.00408605,0.0252883,0.0222514,0.0322338,0.0312264,0.0120958,0.0288915,0.00921305,0.0171044,0.0300647,0.00811598,0.00820408,0.00510929,0.000593319,0,0,0,0.00595088,0
30,0,0,0,0,0,0,0.00140724,0.00395107,0,0,0,0.0158587,0.0143039,0.0110199,0.0018558,0,0,0.0327351,0,0.022903,0.0195206,0.0164491,0.0268544,0.019704,0.0201611,0.00696259,0.0159044,0.00862631,0.0118172,0.00655477,0.0373142,0.0149072,0.0103519,0.00578222,0.0378027,0.0123351,0.0274556,0.0115988,0.00731305,0.0247843,0.0182297,0.0162143,0.00363995,0.00283109,0,0,0.0100976,0,0.0148693,0.00533747,0.0819427,0.0236802,0.0511271,0.0170581,0.00470863,0.00442486,0.0255312,0.0220612,0.0332474,0.0306958,0.0117728,0.0282953,0.00982775,0.015685,0.0290481,0.00808258,0.00789925,0.0053667,0.000448253,0,0,0,0.00591503,0
31,0,0,0,0,0,0,0.00140556,0.00401721,0,0,0,0.0194878,0.0143106,0.0134238,0.00250443,0,0,0.0322762,0,0.0228645,0.0192574,0.0164768,0.0303617,0.0195363,0.0230354,0.00782845,0.0160914,0.00786702,0.010467,0.00562053,0.0390269,0.0166631,0.0112006,0.00618321,0.0390588,0.0156766,0.0271773,0.0115791,0.00728406,0.0258967,0.018247,0.0152725,0.00365339,0.00284538,0,0,0.00958978,0,0.0148938,0.00508947,0.0816136,0.0200816,0.051519,0.0163926,0.00386274,0.00472622,0.0260425,0.0216275,0.0344504,0.0301137,0.011323,0.0279863,0.0108073,0.013584,0.029049,0.00812009,0.00771981,0.00557398,0.000433987,0,0,0,0.00584977,0
32,0,0,0,0,0,0,0.00154422,0.00432066,0,0,0,0.022398,0.0142953,0.014645,0.0033306,0,0,0.0319,0,0.0228971,0.0190638,0.016326,0.0326203,0.0194313,0.0240196,0.00882524,0.0164059,0.00730324,0.00975174,0.00564479,0.0402853,0.0172199,0.011631,0.00662789,0.0398134,0.0181484,0.0269671,0.0116206,0.00723067,0.0304718,0.0181471,0.0180455,0.00398441,0.00285131,0,0,0.00974577,0,0.0147794,0.00512803,0.0811061,0.0190611,0.0515351,0.0167064,0.00293756,0.00497892,0.0279257,0.020814,0.0360948,0.0301537,0.0121559,0.0303661,0.0145027,0.0125078,0.0340781,0.00837619,0.00780208,0.00585462,0.000549107,0,0,0,0.00575357,0
33,0,0,0,0,0,0,0.00141699,0.00454036,0,0,0,0.0244015,0.014294,0.0149932,0.00408251,0,0,0.0313077,0,0.0228762,0.0187616,0.0158724,0.0332698,0.0192542,0.0234822,0.00949928,0.0164519,0.00673974,0.00985947,0.00628949,0.0409983,0.0167618,0.0114112,0.00695728,0.040092,0.0201102,0.0266134,0.0116082,0.00714082,0.0337162,0.0180857,0.0231282,0.00426075,0.00271782,0,0,0.00959343,0,0.0147305,0.00502583,0.0808634,0.0256749,0.0514304,0.0171033,0.00268966,0.00508308,0.028802,0.0205278,0.0375531,0.0298945,0.0149946,0.0312365,0.0179705,0.0162703,0.0363241,0.00829707,0.00773388,0.0059712,0.000667725,0,0,0,0.00569455,0
34,0,0,0,0,0,0,0.00162577,0.00438917,0,0,0,0.0256566,0.0140596,0.0145729,0.00471196,0,0,0.0321095,0,0.0230729,0.0192222,0.0153586,0.0325882,0.0189987,0.0223624,0.00971264,0.0167396,0.00639834,0.0104094,0.00691121,0.041343,0.0158027,0.011001,0.00696967,0.0398198,0.0221462,0.0271936,0.0116648,0.00753939,0.0346977,0.0180425,0.026743,0.00467751,0.00267393,0,0,0.00920375,0,0.0146934,0.00478683,0.0807934,0.0315349,0.0513887,0.0170813,0.00288434,0.00503763,0.0290915,0.0205669,0.0389654,0.0293125,0.0177877,0.0312348,0.0204213,0.0202184,0.03602,0.00808441,0.00755293,0.00570983,0.000409051,0,0,0,0.00558366,0
35,0,0,0,0,0,0,0.00127546,0.00453498,0,0,0,0.0272387,0.0141961,0.0142519,0.00539169,0,0,0.031047,0,0.0229014,0.0187992,0.0150657,0.0315095,0.0187167,0.0212235,0.0100916,0.0165704,0.00651848,0.011233,0.00733416,0.0413957,0.015027,0.0109264,0.00671631,0.0391178,0.0246926,0.0264232,0.0116087,0.00733592,0.0345845,0.0180213,0.0297468,0.00494757,0.0025035,0,0,0.00911077,0,0.0146775,0.00478541,0.0807203,0.0363805,0.051261,0.0167563,0.0030335,0.00516223,0.0288851,0.0205076,0.0406691,0.0285088,0.0204015,0.0308234,0.0225828,0.0239002,0.0347183,0.00839779,0.00748349,0.00552441,0.000579381,0,0,0,0.00553355,0
36,0,0,0,0,0,0,0.0012438,0.00446609,0,0,0,0.0290099,0.0142773,0.0142937,0.00604771,0,0,0.0306704,0,0.0228593,0.0185718,0.0148577,0.0304956,0.0184162,0.0206065,0.0101976,0.0164753,0.00703043,0.012268,0.00770798,0.0411855,0.0147283,0.0114087,0.00646596,0.0383827,0.0275385,0.0260847,0.0115955,0.00727474,0.0335065,0.0179901,0.0323649,0.00532788,0.00248044,0,0,0.0090264,0,0.0146511,0.00474666,0.0805655,0.0405491,0.0513346,0.0163199,0.00321166,0.00526846,0.0283587,0.0203263,0.042531,0.0281435,0.0228139,0.0302068,0.0247646,0.0272381,0.0325493,0.00858924,0.00737909,0.00519809,0.000812571,0,0,0,0.00547213,0
37,0,0,0,0,0,0,0.00124623,0.00420043,0,0,0,0.030432,0.0142349,0.01457,0.00666683,0,0,0.0308387,0,0.0229363,0.0185724,0.014643,0.0294659,0.0181557,0.0204632,0.0100813,0.016437,0.00763341,0.0135003,0.00816208,0.0407889,0.0147179,0.0121633,0.0062938,0.0377709,0.0301005,0.0261385,0.0116182,0.00733495,0.0310427,0.0179581,0.0345064,0.00578745,0.00247238,0,0,0.0089176,0,0.0146362,0.00463706,0.0803499,0.0442416,0.0514448,0.0158377,0.00330414,0.00527284,0.0276508,0.0201616,0.0440233,0.0277365,0.0248199,0.0298183,0.0266515,0.0299264,0.0299539,0.00900183,0.00722135,0.00482595,0.000764336,0,0,0,0.00539598,0
38,0,0,0,0,0,0,0.0011812,0.00391422,0,0,0,0.0314508,0.0142492,0.0148724,0.00727056,0,0,0.0306693,0,0.0229363,0.018497,0.0143672,0.0285896,0.0178638,0.0207916,0.00983244,0.0163362,0.00812771,0.0149005,0.00878785,0.0402811,0.0149495,0.013051,0.00623156,0.0373478,0.0317483,0.0260382,0.0115932,0.00735506,0.0274345,0.0179346,0.035929,0.00622791,0.00239274,0,0,0.0090063,0,0.0146248,0.00460896,0.0801556,0.0471013,0.0514104,0.0151902,0.0033456,0.00521592,0.0268184,0.0201105,0.045242,0.0274177,0.026175,0.0296041,0.0280887,0.0317703,0.0268137,0.00916512,0.00712061,0.00449371,0.000811388,0,0,0,0.00534418,0
39,0,0,0,0,0,0,0.000976443,0.00361658,0,0,0,0.0321074,0.0143542,0.015334,0.00773953,0,0,0.030213,0,0.0228688,0.0186821,0.0141229,0.0282109,0.0175433,0.0217067,0.00944406,0.0160233,0.0085606,0.0161347,0.00952053,0.0397256,0.0153206,0.0137228,0.00618866,0.0372359,0.0320751,0.0257071,0.0115415,0.00728647,0.0257769,0.0179373,0.0364669,0.00664325,0.00224804,0,0,0.00913161,0,0.0146208,0.00466165,0.0801021,0.047889,0.0512282,0.0145356,0.0033137,0.00508503,0.0260246,0.020137,0.0464435,0.0272423,0.0269538,0.029186,0.028912,0.0327984,0.0229595,0.009104,0.00709784,0.00413911,0.000948467,0,0,0,0.0053593,0
40,0,0,0,0,0,0,0.000658979,0.00262158,0,0,0,0.0314342,0.0144137,0.0162113,0.00716998,0,0,0.0307137,0,0.0228619,0.01914,0.0130598,0.0287842,0.0174533,0.0232169,0.00758576,0.0153857,0.0084061,0.0164061,0.0102089,0.0395568,0.016038,0.0139167,0.00629109,0.0377709,0.0305596,0.0256277,0.0115248,0.00746878,0.0246206,0.0179339,0.0264316,0.00598068,0.00197458,0,0,0.00963303,0,0.0146192,0.00490365,0.0804121,0.0336413,0.0523355,0.0100812,0.00264495,0.00498078,0.0174021,0.0217324,0.0499384,0.0238355,0.018752,0.0169247,0.0224331,0.0181276,0.032103,0.00932136,0.00721123,0.00304826,0.00175553,0,0,0,0.00547699,0
41,0,0,0,0,0,0,0.00105188,0.00250528,0,0,0,0.0315242,0.0144755,0.0171575,0.0069883,0,0,0.0306001,0,0.0227699,0.0190933,0.012828,0.0291214,0.0174487,0.024374,0.00722056,0.0150198,0.0080847,0.0164969,0.0105802,0.0396734,0.0166592,0.0142857,0.0063056,0.0381228,0.0302477,0.025392,0.0114645,0.007438,0.0305025,0.0179943,0.028209,0.0061279,0.0021638,0,0,0.00958414,0,0.0146786,0.00508361,0.0804906,0.0336793,0.0519301,0.0102378,0.00240669,0.00492838,0.016756,0.02202,0.0511568,0.023861,0.019186,0.0167157,0.0232728,0.018496,0.0342182,0.00951868,0.00714884,0.00272395,0.00213021,0,0,0,0.00555247,0
42,0,0,0,0,0,0,0.00153097,0.00235216,0,0,0,0.0322976,0.0144478,0.0190241,0.00633059,0,0,0.0310516,0,0.0227843,0.0193365,0.0125749,0.0307009,0.0174875,0.0263566,0.00677011,0.0147887,0.00761093,0.0163663,0.0111964,0.0398978,0.0176058,0.0144237,0.00623023,0.0387439,0.0294387,0.0255305,0.0114625,0.0074947,0.035028,0.017929,0.0299638,0.00612454,0.00237578,0,0,0.010587,0,0.0145581,0.00586091,0.0804418,0.03362,0.0514621,0.0109635,0.00229317,0.0049016,0.0161831,0.022324,0.0519313,0.0238663,0.0195334,0.0170378,0.0239415,0.0189021,0.0372425,0.00982896,0.00755429,0.00232382,0.00242353,0,0,0,0.00558875,0
43,0,0,0,0,0,0,0.00185655,0.00222556,0,0,0,0.0331369,0.0144795,0.0208068,0.00562468,0,0,0.0311677,0,0.0227427,0.0194097,0.0121598,0.0323907,0.0175326,0.0282435,0.00655854,0.0145559,0.00722285,0.0164194,0.0118686,0.0402179,0.0186731,0.0146899,0.00621887,0.0393282,0.0290742,0.0254732,0.0114315,0.00759698,0.0396169,0.0179419,0.0312295,0.00615015,0.002623,0,0,0.0109724,0,0.0145869,0.00582535,0.0803038,0.0321663,0.0510573,0.0121969,0.00232041,0.00490338,0.0156229,0.0226572,0.0525634,0.02371,0.019986,0.0171439,0.0245089,0.0194955,0.0423592,0.00974956,0.00768662,0.00203544,0.00266239,0,0,0,0.00564078,0
44,0,0,0,0,0,0,0.0020098,0.0021922,0,0,0,0.033836,0.0145549,0.0224457,0.00505681,0,0,0.0309244,0,0.0226705,0.0192404,0.0116325,0.0340064,0.0175337,0.0302336,0.00644155,0.0143661,0.00705009,0.0167992,0.012742,0.0404048,0.0199785,0.0148987,0.00615078,0.0397925,0.0288929,0.0252282,0.0113915,0.00752377,0.0437539,0.017954,0.0319034,0.00613993,0.00271973,0,0,0.0113759,0,0.0146066,0.00591618,0.0800652,0.0318554,0.0506932,0.0138268,0.00245345,0.00495297,0.0150641,0.0229643,0.0531177,0.023446,0.0205573,0.0170144,0.0248472,0.0200102,0.0478477,0.00972569,0.00783668,0.0019083,0.00291136,0,0,0,0.00571955,0
45,0,0,0,0,0,0,0.00206507,0.00207309,0,0,0,0.0341907,0.0144917,0.023849,0.00484262,0,0,0.0313578,0,0.0227651,0.0194053,0.0109904,0.0355165,0.0175165,0.0324014,0.00614156,0.014417,0.00705271,0.0174192,0.0138816,0.0402735,0.0212875,0.0154388,0.00607043,0.0400355,0.0286751,0.0255151,0.0113988,0.00761436,0.0469472,0.0179724,0.0324723,0.00613864,0.00266626,0,0,0.0116195,0,0.0146163,0.0060598,0.0797412,0.0322371,0.0504743,0.0155283,0.00244559,0.00488435,0.0145779,0.02334,0.0534946,0.0231638,0.0211768,0.0168448,0.0248933,0.0203896,0.0516918,0.00971918,0.00791688,0.00181421,0.00280918,0,0,0,0.00578644,0
46,0,0,0,0,0,0,0.00207221,0.00201232,0,0,0,0.0343633,0.0144781,0.0251441,0.00428924,0,0,0.0316483,0,0.0228805,0.019517,0.0103084,0.036986,0.0175547,0.034661,0.00564162,0.0145432,0.00725563,0.0182806,0.0153811,0.0398182,0.0226339,0.016476,0.00591627,0.0400905,0.0285601,0.0257168,0.0114124,0.00768971,0.0484434,0.0180128,0.0326224,0.00608669,0.00264622,0,0,0.0118303,0,0.0146513,0.00617057,0.0794427,0.0327101,0.0504115,0.017008,0.00225786,0.00483859,0.0142098,0.0237706,0.0538684,0.0229612,0.021752,0.0167909,0.024918,0.020677,0.0532562,0.00964893,0.00797762,0.00191293,0.00259766,0,0,0,0.00580936,0
47,0,0,0,0,0,0,0.00178473,0.00215774,0,0,0,0.0344797,0.0146266,0.0263863,0.00372444,0,0,0.0307079,0,0.0227536,0.0190305,0.00970999,0.0384605,0.0176596,0.0369567,0.005098,0.0142573,0.00765032,0.0193658,0.0172141,0.0391215,0.0241368,0.0177791,0.00579979,0.0400274,0.0286551,0.0250303,0.01135,0.0073878,0.0481831,0.0180409,0.0323798,0.00598696,0.00254532,0,0,0.0122352,0,0.0146703,0.00635093,0.0793761,0.0329118,0.0502681,0.0181704,0.00193675,0.00490425,0.0139738,0.0240991,0.0541083,0.0229303,0.0224222,0.0167346,0.0251582,0.0213712,0.0527567,0.00964831,0.00810865,0.00218687,0.00236784,0,0,0,0.00586651,0
48,0,0,0,0,0,0,0.00162142,0.00228869,0,0,0,0.0346239,0.0143315,0.0267651,0.0043624,0,0,0.0314492,0,0.0229997,0.0193724,0.0102059,0.0385413,0.0174836,0.0379457,0.00463005,0.0149517,0.0082623,0.0205362,0.0184482,0.0385866,0.0248888,0.0185144,0.00567833,0.0397622,0.0285323,0.0259719,0.0114153,0.00761819,0.0156562,0.0180438,0.0367696,0.00683569,0.00224617,0,0,0.011964,0,0.0146568,0.00606849,0.0792526,0.0476742,0.0486717,0.0208737,0.00268778,0.00450092,0.0212297,0.0225338,0.0512613,0.0260202,0.0322579,0.0285538,0.0318411,0.0376725,0.0122495,0.00929142,0.00806009,0.0027035,0.00121748,0,0,0,0.00573116,0
49,0,0,0,0,0,0,0.00162128,0.00227504,0,0,0,0.0338673,0.0145557,0.0272474,0.00257581,0,0,0.0305405,0,0.0227336,0.0189325,0.0090772,0.0393358,0.0179766,0.0393281,0.00385369,0.0143478,0.00797734,0.0207958,0.0194105,0.0391672,0.0260178,0.0195068,0.00577713,0.039512,0.0286924,0.0251946,0.0113225,0.00738139,0.0429645,0.0180748,0.0309546,0.00597406,0.00241676,0,0,0.0127292,0,0.0146949,0.00651308,0.0791749,0.0334417,0.0499792,0.0201555,0.00184156,0.00498885,0.0136812,0.024615,0.0543473,0.022916,0.024208,0.0172045,0.0256835,0.0237946,0.0468456,0.00971728,0.0082753,0.00256837,0.00198199,0,0,0,0.00582299,0
50,0,0,0,0,0,0,0.00357727,0.00288709,0,0,0,0.0640533,0.0145935,0.0125485,0.00495776,0,0,0.0308311,0,0.0227178,0.0191228,0.0301696,0.025124,0.0149027,0.0424734,0.0058094,0.0138827,0.0192846,0.0458697,0.0282848,0.0482385,0.0396996,0.0523655,0.0208451,0.0164458,0.0802627,0.0252704,0.0112963,0.00739904,0.039037,0.0180871,0.0296703,0.00660616,0.00474881,0,0,0.0140722,0,0.0147462,0.0072373,0.0785689,0.0330155,0.0492605,0.0218112,0.00283033,0.00673542,0.0139054,0.0252581,0.0539443,0.0222002,0.025423,0.0179651,0.0257373,0.025353,0.0428401,0.0104545,0.00849982,0.00392102,0.00425743,0,0,0,0.0060631,0
51,0,0,0,0,0,0,0.00183672,0.00260075,0,0,0,0.0359038,0.0144476,0.029442,0.00353884,0,0,0.0310469,0,0.0229212,0.0192655,0.0102237,0.040828,0.0176463,0.0420146,0.00233351,0.0150773,0.00879436,0.0227183,0.0213167,0.0390989,0.0278991,0.0209981,0.0057368,0.0391591,0.0301434,0.0260297,0.011365,0.00747826,0.0123249,0.0181968,0.0368581,0.00694655,0.00231644,0,0,0.0117524,0,0.0148419,0.00592811,0.0790123,0.0456364,0.0484783,0.0228752,0.00232162,0.00492528,0.0203056,0.0233421,0.0515345,0.0253649,0.0344852,0.0290908,0.0327421,0.0399117,0.00693479,0.00922611,0.00781509,0.00383024,0.00122241,0,0,0,0.00568415,0
52,0,0,0,0,0,0,0.00251868,0.00291097,0,0,0,0.0631492,0.0146477,0.0133881,0.00519614,0,0,0.0308421,0,0.0228081,0.019237,0.0299386,0.0238202,0.0149132,0.0403191,0.00506516,0.0142932,0.0177406,0.0423057,0.0276537,0.0487155,0.0374261,0.0498045,0.0199011,0.016152,0.0786594,0.0256093,0.0113028,0.00730452,0.012015,0.0181095,0.0360347,0.00779294,0.00364643,0,0,0.0137111,0,0.0147541,0.00693593,0.0785536,0.04389,0.0482764,0.0255349,0.00288467,0.0061616,0.0187921,0.024342,0.0521024,0.0243094,0.0359112,0.0307176,0.0338014,0.0403325,0.00774003,0.0101717,0.00843256,0.00480062,0.00311075,0,0,0,0.00591729,0
53,0,0,0,0,0,0,0.00240825,0.00291138,0,0,0,0.0632517,0.014742,0.0135114,0.00476894,0,0,0.03068,0,0.0227379,0.0191444,0.0294047,0.0240855,0.0152036,0.0394802,0.00546661,0.0141403,0.0174783,0.041298,0.0273996,0.0490538,0.036507,0.0487765,0.0192535,0.0162217,0.0787229,0.0254649,0.0112553,0.00721473,0.0117583,0.0181466,0.0354289,0.00808633,0.00365218,0,0,0.0137563,0,0.0147996,0.00696379,0.0785424,0.0425578,0.0488422,0.0276385,0.00300626,0.00618846,0.0164124,0.0255552,0.0539932,0.0235793,0.036696,0.0326054,0.0348341,0.0399473,0.00780398,0.0101813,0.00848128,0.0045703,0.00301672,0,0,0,0.00592046,0
54,0,0,0,0,0,0,0.00185986,0.00252228,0,0,0,0.0374385,0.0145158,0.0321344,0.00389005,0,0,0.0313466,0,0.0228547,0.0193731,0.00942778,0.0432196,0.0178804,0.0458251,0.0033561,0.014965,0.00905117,0.0242157,0.0236134,0.039684,0.030976,0.0238852,0.00663076,0.0386047,0.0331759,0.0261196,0.0112627,0.00739265,0.0121143,0.018195,0.0347552,0.00741444,0.00238923,0,0,0.0125623,0,0.0148216,0.00623547,0.0790534,0.0411116,0.0500625,0.0285739,0.00291389,0.00489316,0.0138391,0.0266005,0.0563187,0.0232619,0.0365278,0.034248,0.0353988,0.0385985,0.00874903,0.00942521,0.00818415,0.00344179,0.00128032,0,0,0,0.00566274,0
55,0,0,0,0,0,0,0.00210285,0.00270283,0,0,0,0.0638542,0.0145454,0.0138735,0.0037701,0,0,0.0312688,0,0.0227446,0.0193003,0.0279054,0.0244652,0.0158475,0.0385053,0.00578668,0.0145045,0.0172668,0.0392755,0.0266815,0.0495193,0.0346709,0.0467114,0.0180372,0.0166376,0.0790049,0.025785,0.0111939,0.00718967,0.0111756,0.0182234,0.0342068,0.00807573,0.00328364,0,0,0.0135828,0,0.0148689,0.00680205,0.0789424,0.0408082,0.0492283,0.0279238,0.00311049,0.00585202,0.0131796,0.0276782,0.0556619,0.021205,0.0361144,0.0343457,0.0354885,0.0380909,0.00947086,0.00987977,0.00842897,0.00391931,0.00254869,0,0,0,0.00584462,0
56,0,0,0,0,0,0,0.00169268,0.00269031,0,0,0,0.0645473,0.0146418,0.0140809,0.00343873,0,0,0.0307834,0,0.022653,0.0190783,0.0272783,0.0247617,0.0161577,0.0380064,0.00575842,0.0143653,0.0172272,0.0385795,0.0265528,0.0497471,0.034159,0.0460915,0.0175742,0.0169571,0.0797697,0.0253663,0.0111464,0.00691255,0.0103592,0.0182101,0.0338571,0.00789794,0.00305737,0,0,0.0137645,0,0.0148555,0.00689232,0.0792739,0.0410282,0.0491212,0.0265362,0.00305843,0.00590504,0.0123251,0.0280528,0.0551753,0.0196692,0.0355264,0.0339484,0.0353561,0.0372419,0.00911018,0.0101914,0.00847758,0.00359447,0.00218747,0,0,0,0.00583612,0
57,0,0,0,0,0,0,0.00190385,0.00260433,0,0,0,0.0649628,0.0145263,0.0140286,0.00315621,0,0,0.0316046,0,0.0227886,0.019489,0.0265679,0.0249515,0.0163674,0.0372441,0.00584891,0.0144976,0.0170516,0.0377621,0.0264639,0.0500844,0.0336532,0.0454096,0.016997,0.0173767,0.0801552,0.0258619,0.0111823,0.00715918,0.00948519,0.0181665,0.0333415,0.00765488,0.00307842,0,0,0.0136502,0,0.0148222,0.00670935,0.0796675,0.0412398,0.0491206,0.0251769,0.00296043,0.00586583,0.0115362,0.0284391,0.0545035,0.0182794,0.0350443,0.0331669,0.0350952,0.036582,0.00908479,0.00981804,0.00831014,0.00333661,0.00207187,0,0,0,0.00576346,0
58,0,0,0,0,0,0,0.00161916,0.0026035,0,0,0,0.0648721,0.0146288,0.0139614,0.00300705,0,0,0.0312493,0,0.0227222,0.0193037,0.0258278,0.0249664,0.0166091,0.0364803,0.0058157,0.0143169,0.0167825,0.0368205,0.0262074,0.0503811,0.0329554,0.0446847,0.0164163,0.0178214,0.0801757,0.0255043,0.0111316,0.00683101,0.00939883,0.0181548,0.0325419,0.00755234,0.00295268,0,0,0.0137446,0,0.0147997,0.00676257,0.0801506,0.0410421,0.04905,0.0234566,0.00282047,0.0058872,0.0107105,0.0288606,0.0538963,0.0171306,0.0344712,0.031981,0.0345173,0.0359653,0.0102549,0.00968224,0.00823009,0.00307286,0.00190491,0,0,0,0.00575096,0
59,0,0,0,0,0,0,0.00144596,0.00268715,0,0,0,0.0647991,0.0147232,0.0138903,0.00295904,0,0,0.0310841,0,0.0227025,0.019237,0.0251389,0.0250231,0.0168415,0.0359691,0.00582475,0.0141524,0.0165407,0.0360597,0.0258706,0.0506474,0.0322478,0.0440473,0.015887,0.0182293,0.080288,0.0252538,0.0111255,0.00668763,0.00964573,0.018166,0.0312406,0.00745528,0.00291104,0,0,0.0137149,0,0.0148254,0.00676444,0.080762,0.0404625,0.0490276,0.0217079,0.00273763,0.00590933,0.01001,0.0293555,0.0534154,0.0160505,0.0337035,0.0303144,0.0334682,0.0351345,0.0121782,0.00998493,0.00825323,0.00290176,0.00182403,0,0,0,0.00574787,0
60,0,0,0,0,0,0,0.00192591,0.00262267,0,0,0,0.0647483,0.0145359,0.0139176,0.00307501,0,0,0.032226,0,0.022938,0.0198282,0.0243926,0.0249472,0.0171154,0.035184,0.00604956,0.014304,0.0163673,0.0353186,0.0255906,0.0509182,0.0315082,0.0433067,0.0154204,0.018604,0.0803416,0.0260009,0.0111906,0.00701109,0.0121896,0.0182274,0.0290878,0.00738484,0.00308527,0,0,0.0131292,0,0.014911,0.00645231,0.0815877,0.0381253,0.0491649,0.0199684,0.00249387,0.00589135,0.00912501,0.0300276,0.0530618,0.0147325,0.0324552,0.0276727,0.0317565,0.0335406,0.0158198,0.00972088,0.00811496,0.00272899,0.00188001,0,0,0,0.00570405,0
61,0,0,0,0,0,0,0.00153984,0.00266001,0,0,0,0.0649991,0.0146434,0.0139792,0.00328622,0,0,0.0315374,0,0.0228124,0.0195096,0.0236995,0.0251179,0.0174261,0.0344369,0.00628233,0.0140413,0.0162947,0.0345669,0.0254558,0.0511095,0.0308809,0.0426647,0.015061,0.018925,0.0806768,0.0255241,0.0111259,0.00665937,0.0161807,0.0181969,0.0270389,0.00727273,0.00294412,0,0,0.0134622,0,0.0148735,0.00665887,0.0825178,0.0360297,0.0492007,0.0181164,0.00234021,0.00603984,0.00788273,0.0309418,0.0528024,0.01341,0.0307785,0.0241481,0.0299946,0.0312987,0.0200925,0.00991825,0.00827523,0.00259536,0.00177896,0,0,0,0.0057122,0
62,0,0,0,0,0,0,0.00142529,0.00266809,0,0,0,0.0650318,0.0146919,0.0139247,0.00353295,0,0,0.0314257,0,0.0227667,0.0194273,0.0230618,0.0250393,0.0176252,0.0336,0.00642749,0.0141818,0.0162135,0.0338519,0.0250334,0.0512027,0.0301616,0.0418374,0.0146392,0.0191955,0.080851,0.0255318,0.0111123,0.00658112,0.0193623,0.0181449,0.0268362,0.00696049,0.00283214,0,0,0.013523,0,0.0148247,0.00670412,0.0832955,0.0358061,0.0491491,0.0169658,0.00226507,0.00618954,0.00761314,0.0312468,0.0519939,0.0128357,0.0302733,0.0221376,0.0292484,0.0308737,0.023095,0.00997429,0.0082797,0.0025065,0.00164465,0,0,0,0.00569278,0
63,0,0,0,0,0,0,0.00137695,0.00265439,0,0,0,0.0649422,0.0147009,0.0139549,0.00373476,0,0,0.0316089,0,0.0227465,0.0195188,0.0224506,0.0249552,0.0177583,0.0327916,0.00642102,0.0143893,0.0161307,0.0332025,0.0245471,0.0512974,0.0293419,0.0408895,0.0141841,0.019465,0.0809506,0.0257274,0.0111073,0.00662204,0.021343,0.0180839,0.0267023,0.00701483,0.0027204,0,0,0.0134303,0,0.0147659,0.00665669,0.0839996,0.0356806,0.0491058,0.016371,0.00221473,0.0062408,0.00773058,0.0310473,0.0507754,0.012817,0.0300545,0.0210155,0.0286477,0.0309293,0.0251008,0.0100165,0.00819619,0.002418,0.0014349,0,0,0,0.00568429,0
64,0,0,0,0,0,0,0.00133569,0.00264425,0,0,0,0.0649198,0.0146824,0.0142089,0.00392333,0,0,0.0317656,0,0.022749,0.019596,0.0218895,0.0250327,0.0178802,0.0321518,0.00630936,0.0145538,0.01607,0.0325546,0.0241977,0.0513556,0.0285467,0.0399635,0.0138314,0.0197565,0.0810625,0.0258107,0.0111008,0.00662961,0.0228149,0.0180484,0.0265991,0.00706385,0.00262871,0,0,0.0132618,0,0.0147318,0.00653259,0.0846238,0.0358703,0.0490775,0.0162491,0.00218602,0.00619402,0.00796937,0.0305188,0.0492324,0.0132886,0.0299176,0.0205325,0.0280427,0.030874,0.0266351,0.00997866,0.00815539,0.00234675,0.00119347,0,0,0,0.00568184,0
65,0,0,0,0,0,0,0.00124582,0.00267274,0,0,0,0.0645729,0.014698,0.014417,0.00409864,0,0,0.0316854,0,0.022767,0.0195685,0.0212727,0.0249795,0.0179827,0.0314098,0.00605618,0.0147113,0.0160219,0.0318246,0.0237864,0.0513116,0.0276643,0.0390615,0.013538,0.0200399,0.0807287,0.0257907,0.0111256,0.00647279,0.0239006,0.0180409,0.0264623,0.00692328,0.0025185,0,0,0.0130268,0,0.0147233,0.00639046,0.0851594,0.0357606,0.0489441,0.0164674,0.00226576,0.00600321,0.00829762,0.029711,0.0474606,0.0142229,0.0296511,0.0207462,0.0272537,0.0306967,0.0277668,0.00991023,0.00820401,0.00239034,0.000983305,0,0,0,0.00567739,0
