Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x71,x72,RWRB,x73
9,0,0,0,0,0,0,0.00913627,0.00604371,0,0,0,0.0210164,0.0133024,0.0188679,0.0095863,0,0,0.0402081,0,0.0241211,0.0228309,0.0335694,0.0281733,0.0139585,0.0465459,0.00838502,0.0171156,0.0309828,0.0543141,0.0287962,0.0319424,0.0375582,0.0396551,0.0232676,0.00677008,0.0314305,0.0324416,0.0117401,0.00893987,0.0293985,0.0176985,0.0117278,0.00743658,0.00840541,0,0,0.0123412,0,0.0141892,0.00618537,0.079468,0.0225386,0.047613,0.0194473,0.014558,0.00634826,0.0263976,0.0208884,0.0251963,0.0360849,0.0139071,0.0372106,0.00670842,0.021295,0.0366009,0.00700971,0.00860911,0.00565697,0.00886041,0,0,0,0.00658527,0
10,0,0,0,0,0,0,0.00889332,0.00590456,0,0,0,0.0277566,0.0133366,0.0184617,0.00943703,0,0,0.040286,0,0.024086,0.0229822,0.0348882,0.0279381,0.0140943,0.0475205,0.00863252,0.0169601,0.0314685,0.0563273,0.0294005,0.0322308,0.0386965,0.0417928,0.0233461,0.00733776,0.0391875,0.0324248,0.011713,0.00894706,0.0301276,0.0177131,0.0114865,0.00766131,0.00819156,0,0,0.0122547,0,0.0142163,0.0061689,0.0795302,0.0221231,0.0478665,0.0200384,0.014686,0.0062629,0.0264879,0.0208376,0.0247251,0.0362981,0.0142334,0.0370415,0.00671833,0.0215367,0.0376589,0.0070268,0.00858562,0.00555912,0.0085376,0,0,0,0.00652918,0
11,0,0,0,0,0,0,0.00851644,0.00570563,0,0,0,0.0354955,0.0134363,0.0179624,0.00905954,0,0,0.0401898,0,0.0240288,0.0229793,0.0359579,0.0267974,0.01439,0.0475592,0.00863688,0.0168102,0.0310158,0.0574993,0.0296227,0.0326793,0.0393561,0.0436073,0.0233035,0.00845366,0.0485798,0.0322859,0.0117712,0.00900484,0.0306966,0.0176809,0.0114013,0.0078075,0.00783472,0,0,0.0121604,0,0.014192,0.00614644,0.0796571,0.0218083,0.0481968,0.020577,0.014613,0.00610429,0.0266262,0.0207643,0.0244206,0.0361473,0.0144904,0.0369002,0.00669983,0.0217167,0.0383771,0.0071254,0.00858634,0.00533532,0.00808027,0,0,0,0.00649529,0
12,0,0,0,0,0,0,0.0087682,0.00428899,0,0,0,0.0351248,0.0131993,0.0076547,0.00590542,0,0,0.0390219,0,0.0240742,0.0223653,0.0141274,0.0364783,0.0213798,0.0259479,0.00340207,0.0179092,0.0186724,0.0307503,0.0202536,0.0298703,0.0233508,0.0336653,0.00586859,0.0250797,0.0546074,0.0321048,0.0118487,0.00879939,0.0321378,0.017852,0.013983,0.00673349,0.00802515,0,0,0.00912109,0,0.0143484,0.00470376,0.0836137,0.0218787,0.0498711,0.0215943,0.00701156,0.00346057,0.0263756,0.0205928,0.0230327,0.0363633,0.0141303,0.0373367,0.00584098,0.0210449,0.0382906,0.00557197,0.00768483,0.00378044,0.00721995,0,0,0,0.00606003,0
13,0,0,0,0,0,0,0.00768947,0.00503419,0,0,0,0.0512965,0.0132342,0.0182086,0.00855125,0,0,0.0391117,0,0.023965,0.0223849,0.0362647,0.0209797,0.0154491,0.0437162,0.0077236,0.0163797,0.0272433,0.0539549,0.0272452,0.0341417,0.0386208,0.04532,0.0229571,0.0123021,0.0664876,0.0315939,0.0118016,0.00859228,0.0320819,0.0178035,0.0118506,0.00802518,0.00701911,0,0,0.0116997,0,0.014317,0.00605368,0.0803359,0.0219604,0.0488004,0.0213029,0.0138985,0.00567421,0.0264951,0.0209403,0.0245589,0.0360483,0.0149475,0.0366088,0.00672403,0.022208,0.0398393,0.00705213,0.008437,0.00489005,0.00695013,0,0,0,0.0064896,0
14,0,0,0,0,0,0,0.00788387,0.00391382,0,0,0,0.0301333,0.0130864,0.00155666,0.0045302,0,0,0.0380082,0,0.0239669,0.0218218,0.0148916,0.0200835,0.0213646,0.0200244,0.00290246,0.0173196,0.0137734,0.0225822,0.0136041,0.0332354,0.0165377,0.0253949,0.00560528,0.0294644,0.0417461,0.031428,0.0118081,0.00820627,0.0321789,0.0178857,0.0130932,0.00709654,0.00729316,0,0,0.00990297,0,0.0143619,0.00512934,0.0826523,0.021358,0.0491569,0.021719,0.00750859,0.00325327,0.0265517,0.0210639,0.0238209,0.0360711,0.0141921,0.0371533,0.00575777,0.0209131,0.038471,0.00588137,0.00799516,0.00357949,0.00611331,0,0,0,0.00613079,0
15,0,0,0,0,0,0,0.00726675,0.00384763,0,0,0,0.0251887,0.0131597,0.00391038,0.00411562,0,0,0.0374633,0,0.0238664,0.0216189,0.0153773,0.0126565,0.0213164,0.0184335,0.00268741,0.0169818,0.011481,0.018183,0.0104245,0.0349135,0.0134727,0.0200894,0.00524445,0.0313949,0.0319636,0.0309952,0.0117872,0.00785412,0.0326286,0.0178766,0.0132845,0.00725708,0.0067804,0,0,0.00972522,0,0.0143657,0.00501652,0.0822995,0.0216234,0.0490429,0.0219945,0.00740617,0.00316422,0.0265064,0.0215194,0.0240831,0.0361315,0.014378,0.037047,0.0057917,0.0210775,0.0386557,0.00593981,0.00793674,0.00355687,0.00556586,0,0,0,0.0061057,0
16,0,0,0,0,0,0,0.00644364,0.00379464,0,0,0,0.0180172,0.0133211,0.00634229,0.0035761,0,0,0.0369012,0,0.0237402,0.0214498,0.0158107,0.00813098,0.0214603,0.0182996,0.00233391,0.0164366,0.00940531,0.0140599,0.00766982,0.0362897,0.0115871,0.0144975,0.00505309,0.0336907,0.0200682,0.0304327,0.0117877,0.00782174,0.033116,0.0178907,0.0129876,0.00760712,0.0061102,0,0,0.00972511,0,0.0143868,0.00504575,0.0818981,0.0215411,0.0487669,0.0219802,0.00747597,0.00318363,0.02618,0.0219629,0.0245643,0.0358324,0.0144751,0.0368962,0.00581264,0.0211863,0.0392162,0.006111,0.00799699,0.00354907,0.00481878,0,0,0,0.00612108,0
17,0,0,0,0,0,0,0.00550027,0.00371197,0,0,0,0.0106101,0.0134829,0.0081811,0.00305272,0,0,0.0362845,0,0.0236146,0.0212255,0.0162602,0.0103696,0.0216872,0.0194946,0.00197708,0.0159352,0.00772328,0.0106834,0.0056635,0.0373695,0.0120353,0.0103378,0.00546008,0.0364074,0.00927405,0.0297292,0.0117855,0.00767781,0.033451,0.0178775,0.0123071,0.00803179,0.00543144,0,0,0.0100459,0,0.0143735,0.00525616,0.0815196,0.0209916,0.0484669,0.0218078,0.00760659,0.00316954,0.0259953,0.0222693,0.0249497,0.0353665,0.0144735,0.0367113,0.00581347,0.0211011,0.0399145,0.00633792,0.00820462,0.0035999,0.00394186,0,0,0,0.00614849,0
18,0,0,0,0,0,0,0.00373064,0.0037909,0,0,0,0.0634961,0.013736,0.0242032,0.00375908,0,0,0.0351837,0,0.0233294,0.0207829,0.026993,0.0112719,0.0205126,0.0267862,0.00166199,0.0148273,0.01033,0.0289299,0.0175082,0.0417717,0.0302933,0.0395976,0.0223999,0.0282127,0.0771161,0.0285874,0.0116973,0.00735413,0.0350689,0.0179287,0.012695,0.00831806,0.00392085,0,0,0.0110406,0,0.014437,0.00587992,0.0821507,0.0219572,0.0493856,0.0220936,0.00868886,0.00388307,0.0258562,0.0224061,0.0249637,0.0353039,0.0151875,0.0363599,0.00627483,0.0221755,0.0419671,0.00715413,0.00847295,0.00398091,0.00297551,0,0,0,0.00629845,0
