Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,RASI
9,0,0,0,0,0,0,0.0193138,0.00620796,0,0,0,0.0386516,0.0145176,0.0228823,0,0,0.0109899,0,0.0212822,0.0066593,0.0364001,0.0263042,0,0.00483977,0.0098419,0.0124888,0.023007,0.0164895,0.010837,0.026089,0.00892974,0.0128563,0.0138171,0.0193122,0.0415028,0.00960582,0.0116318,0.00236919,0.0183593,0.0142148,0.0132708,0.0204512,0,0,0.0296927,0,0.0111748,0.0187803,0.0419325,0.0142244,0.00774192,0.0482049,0.00623241,0.0128839,0.0427325,0.0216612,0.0634577,0.0548837,0.0151565,0.0174605,0.0104967,0.0099295,0.0192912,0.0182812,0.00797228,0.0079197,0.00622387,0.0192827,0,0,0,0,0
10,0,0,0,0,0,0,0.0207819,0.0064297,0,0,0,0.0389783,0.0143552,0.0246877,0,0,0.0110115,0,0.0214963,0.00652179,0.035912,0.0288377,0.00687984,0.00347035,0.00761967,0.0125207,0.0234336,0.0167822,0.0122237,0.0290377,0.00705879,0.0114687,0.0137033,0.0194284,0.0417748,0.00932324,0.0117789,0.00231623,0.0178831,0.0141176,0.0133777,0.0222355,0,0,0.0302062,0,0.0111602,0.0193566,0.0431643,0.0144073,0.00743972,0.0482076,0.00744709,0.0146891,0.0424477,0.0213303,0.0632461,0.0546715,0.0151449,0.017632,0.0103191,0.0099491,0.0185444,0.0198974,0.0081304,0.0080254,0.006966,0.0205388,0,0,0,0,0
11,0,0,0,0,0,0,0.0218197,0.0068042,0,0,0,0.0402145,0.0141915,0.0273188,0,0,0.011046,0,0.0216108,0.00656159,0.0382378,0.0330951,0.00824379,0.00566478,0.0065388,0.0129183,0.0248347,0.0171644,0.0125008,0.0291269,0.00610853,0.0104594,0.0141113,0.0192717,0.0423113,0.00905133,0.0118709,0.00245545,0.0185126,0.0141238,0.0126842,0.0231542,0,0,0.0301932,0,0.011184,0.0195495,0.0434574,0.0140701,0.00730352,0.0463928,0.00968558,0.0155724,0.0416365,0.0202684,0.0621093,0.0535545,0.0141558,0.019233,0.00883239,0.0104778,0.0201583,0.0206562,0.00808034,0.00806165,0.00732143,0.021261,0,0,0,0,0
12,0,0,0,0,0,0,0.0221364,0.00718994,0,0,0,0.0415838,0.0140531,0.0280494,0,0,0.0113847,0,0.021563,0.00680803,0.0391635,0.0340925,0.00851341,0.00663731,0.00622457,0.0129304,0.0249552,0.0168376,0.0122759,0.0302232,0.00566848,0.0103942,0.0137677,0.0198017,0.043512,0.00908845,0.011856,0.00247193,0.0189374,0.0141031,0.0123545,0.0234217,0,0,0.0298089,0,0.0111805,0.019528,0.0437031,0.0137951,0.00756523,0.0460672,0.0105835,0.0160457,0.0413907,0.0200298,0.0617981,0.0532488,0.0140317,0.0197102,0.008571,0.0105825,0.0208841,0.0211688,0.00797836,0.00798563,0.00765377,0.0215175,0,0,0,0,0
13,0,0,0,0,0,0,0.0220527,0.00737504,0,0,0,0.0426426,0.0139346,0.0275175,0,0,0.0118571,0,0.0214474,0.00715958,0.0388263,0.0330523,0.00722787,0.00699688,0.00571773,0.0129051,0.0243244,0.0158646,0.0118546,0.0318856,0.00539316,0.0106247,0.0129492,0.0207985,0.044908,0.00922965,0.0118308,0,0.0188323,0.0141198,0.0122712,0.0233438,0,0,0.0294219,0,0.0112152,0.0195764,0.0442538,0.0136186,0.00763141,0.0465155,0.00982116,0.0163271,0.041279,0.0200874,0.0618846,0.0532117,0.0144582,0.0196456,0.00891244,0.0102872,0.0204017,0.0217227,0.00788349,0.00790588,0.00783843,0.0211738,0,0,0,0,0.0502144
14,0,0,0,0,0,0,0.0220106,0.00748396,0,0,0,0.0416214,0.0139438,0.0272437,0,0,0.0117607,0,0.0215098,0.00703339,0.0398132,0.033055,0.0075048,0.0082126,0.00556102,0.0129047,0.0246172,0.0157733,0.0118535,0.0326915,0.00488543,0.00972358,0.0124317,0.0212872,0.0439895,0.0089236,0.011833,0.00233525,0.0195495,0.0141253,0.0122749,0.0232428,0,0,0.0294632,0,0.0112286,0.0195808,0.0443526,0.0136596,0.0079424,0.0461999,0.0105309,0.0162849,0.040974,0.0199586,0.0618131,0.0528785,0.0142612,0.0198099,0.00861975,0.0103283,0.0214719,0.0213664,0.00786522,0.00783191,0.00794761,0.0212837,0,0,0,0,0.0498301
15,0,0,0,0,0,0,0.0220306,0.00762459,0,0,0,0.0399655,0.0140054,0.0266264,0,0,0.0117003,0,0.0215782,0.00689703,0.0406135,0.032772,0.00770525,0.00931429,0.00545506,0.0129243,0.0248637,0.0157764,0.0118921,0.0332735,0.0044728,0.00886907,0.0120285,0.0218005,0.0418868,0.00884991,0.0118394,0.00296486,0.020125,0.014139,0.0122889,0.0232418,0,0,0.0295356,0,0.0112243,0.0195642,0.0443329,0.0136968,0.00822134,0.0458683,0.0111533,0.0163488,0.0407106,0.0198967,0.0617813,0.0526049,0.0140055,0.0198366,0.00853064,0.0103661,0.02247,0.0211432,0.00785128,0.00782964,0.00819757,0.0214034,0,0,0,0,0.0495078
16,0,0,0,0,0,0,0.0220311,0.00765596,0,0,0,0.0380468,0.0140645,0.0258574,0,0,0.011613,0,0.0216136,0.00696581,0.0411985,0.0323391,0.00772751,0.0100638,0.00541378,0.0129603,0.0249392,0.0157658,0.0117785,0.0336531,0.00437454,0.00825903,0.0114621,0.0224245,0.0397099,0.00889797,0.0118144,0.00328511,0.0205971,0.0141916,0.0122999,0.0232235,0,0,0.0295553,0,0.0112562,0.0195465,0.0442084,0.0137755,0.00825189,0.0456043,0.0116187,0.0163301,0.0404825,0.0198738,0.0617249,0.0523419,0.0137798,0.0198056,0.00850638,0.0104309,0.0233415,0.021014,0.00785855,0.00786796,0.00837471,0.0213686,0,0,0,0,0.0493145
17,0,0,0,0,0,0,0.0219574,0.00788439,0,0,0,0.0361407,0.0140399,0.0251464,0,0,0.0116759,0,0.0215527,0.00705122,0.0415756,0.031895,0.00777115,0.0101177,0.00548087,0.0128007,0.0249272,0.0158203,0.011632,0.03404,0.00451924,0.0082725,0.0114525,0.0231423,0.0376854,0.00880348,0.0118158,0.00309554,0.0209864,0.0142569,0.0123302,0.023136,0,0,0.0295823,0,0.0112952,0.0195336,0.0440465,0.0138222,0.00826148,0.0453986,0.0120817,0.0163203,0.0403298,0.0198323,0.0617682,0.0521152,0.0136412,0.0197444,0.00850444,0.0105703,0.0240603,0.0209786,0.00787155,0.00793109,0.00856832,0.0212458,0,0,0,0,0.0491306
18,0,0,0,0,0,0,0.0218728,0.00808095,0,0,0,0.0341202,0.0140567,0.0244903,0,0,0.0117325,0,0.0215106,0.00710607,0.0419352,0.0313654,0.00791613,0.00929235,0.00568396,0.0127126,0.0247991,0.0158185,0.0114942,0.0346422,0.00487509,0.00864291,0.0114475,0.0239669,0.0356472,0.00884301,0.0118519,0.00290844,0.0214399,0.0142041,0.012384,0.0230267,0,0,0.029486,0,0.0112496,0.0194497,0.0438396,0.0138062,0.00834291,0.0452297,0.0126244,0.0163635,0.0402802,0.019747,0.0617818,0.0519753,0.0135628,0.0196289,0.0085405,0.0107347,0.0246842,0.0209604,0.00786373,0.00794438,0.0087391,0.0210445,0,0,0,0,0.0489145
