Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
All Timesteps RMSE,0,0,0,0,0,0,0.0195984,0.00725753,0,0,0,0.0419452,0.0185459,0.0254953,0.0296424,0,0,0.00622582,0,0.0186695,0.00390686,0.0384785,0.0265596,0.0134698,0.016914,0.0145125,0.00749145,0.0245925,0.020604,0.0200701,0.0456014,0.0153679,0.0206631,0.0146696,0.0220946,0.051068,0.00588649,0.0096241,0.00298655,0.024807,0.0134595,0.0189921,0.0507198,0.0204319,0,0,0.0287585,0,0.0110623,0.0207507,0.0425819,0.0317809,0.00719606,0.0329687,0.0188756,0.0133699,0.0372878,0.0203565,0.0583399,0.0493431,0.0160463,0.0176578,0.0148576,0.0199504,0.035409,0.0186712,0.0079627,0.00696091,0.0104605,0.0207024,0,0,0,0
0,0,0,0,0,0,0,0.0163792,0.00423403,0,0,0,0.0348717,0.0175682,0.0233688,0.0304552,0,0,0.0035139,0,0.0190054,0.00393163,0.040541,0.0223651,0.00783964,0.022819,0.0143185,0.00588663,0.0234094,0.0297192,0.0162615,0.0360422,0.0243671,0.0289927,0.0226389,0.00897482,0.0416193,0.0038699,0.0100607,0.00248588,0.0159205,0.012955,0.0127858,0.0555077,0.0174961,0,0,0.0264837,0,0.0107021,0.0187766,0.0410499,0.0149684,0.00626638,0.0429147,0.0126484,0.0077284,0.041858,0.0219401,0.057882,0.0531065,0.0149555,0.0140252,0.0157825,0.00980066,0.0185265,0.0139522,0.00874129,0.00804621,0.00961903,0.0163177,0,0,0,0
1,0,0,0,0,0,0,0.0178437,0.00355491,0,0,0,0.0335771,0.0175247,0.0243555,0.0297011,0,0,0.00368982,0,0.0190177,0.00393682,0.040209,0.0244628,0.00779187,0.0158327,0.0131745,0.00642002,0.0236446,0.0229936,0.0161114,0.0366163,0.0163563,0.0201557,0.0188108,0.0127629,0.0387116,0.00409321,0.010014,0.00244741,0.0156752,0.0129029,0.012491,0.0553444,0.0191854,0,0,0.0264585,0,0.0107366,0.0189052,0.04122,0.0146607,0.00638561,0.0430034,0.0127921,0.00870386,0.0413684,0.0211573,0.0579276,0.0526773,0.0145643,0.0142017,0.015277,0.00923014,0.0191342,0.0145274,0.00878237,0.00812213,0.00966769,0.0177608,0,0,0,0
2,0,0,0,0,0,0,0.0185109,0.00344584,0,0,0,0.0371429,0.0175667,0.026049,0.0292232,0,0,0.00361678,0,0.0191063,0.00377452,0.0406453,0.0279754,0.00803105,0.0146329,0.0127009,0.00662872,0.0237563,0.0209425,0.0163914,0.037782,0.0139385,0.0181377,0.0176031,0.0146448,0.0419907,0.00407236,0.0100368,0.00248022,0.0160173,0.0129158,0.0122976,0.0552349,0.0199705,0,0,0.0260623,0,0.0107555,0.0187427,0.0412331,0.0144464,0.00635775,0.0430456,0.0129206,0.00936387,0.0411306,0.020869,0.0578435,0.0523958,0.014213,0.0143789,0.0149408,0.00890377,0.0195845,0.0148106,0.00872416,0.00806637,0.00973897,0.0184271,0,0,0,0
3,0,0,0,0,0,0,0.0196023,0.00347149,0,0,0,0.0328141,0.0175047,0.0266911,0.0289186,0,0,0.00382917,0,0.0190166,0.00352853,0.0407246,0.0331528,0.0085919,0.0160746,0.0121694,0.00703866,0.0255895,0.0199552,0.0191617,0.0390901,0.00853357,0.0117818,0.0141906,0.0193349,0.0361569,0.00422242,0.0100591,0.00232979,0.0164121,0.0129093,0.0121662,0.0551144,0.0212123,0,0,0.0257706,0,0.0107623,0.018654,0.0412799,0.0144605,0.00638111,0.04283,0.013473,0.0103002,0.0410067,0.0206315,0.0577951,0.0521796,0.0136081,0.0145954,0.0145073,0.00860412,0.0203594,0.0154115,0.00870318,0.00799853,0.0097725,0.0195061,0,0,0,0
4,0,0,0,0,0,0,0.0199005,0.00364382,0,0,0,0.0357192,0.0175084,0.0273977,0.0282518,0,0,0.00382873,0,0.0189072,0.00338687,0.0412448,0.0330384,0.00914667,0.0167933,0.0120756,0.00717739,0.0258134,0.019535,0.0190295,0.0408793,0.00923364,0.0129809,0.0137841,0.0209984,0.0405589,0.00419275,0.0100378,0.00222014,0.0162205,0.0129107,0.0120066,0.0550623,0.0215677,0,0,0.0254691,0,0.0107528,0.0184376,0.0412886,0.0144097,0.00635009,0.0426746,0.0137652,0.0104933,0.0408819,0.0203326,0.0576031,0.0519052,0.0130847,0.0148417,0.0140967,0.00839058,0.0205816,0.0156523,0.00860335,0.0079248,0.00961776,0.0197198,0,0,0,0
5,0,0,0,0,0,0,0.020391,0.00387358,0,0,0,0.0394272,0.0175306,0.0273366,0.0276737,0,0,0.0038857,0,0.0189562,0.00334657,0.0416659,0.0311483,0.00965538,0.0166588,0.011743,0.00742338,0.0263271,0.0196944,0.0190437,0.0428674,0.0105983,0.0149736,0.0135368,0.022921,0.0460036,0.00413008,0.0100673,0.00222156,0.0162279,0.0128796,0.0119478,0.0548185,0.0220652,0,0,0.0252984,0,0.0107229,0.0183228,0.0413586,0.0144999,0.00665998,0.0424438,0.0141797,0.0108569,0.0407895,0.0201112,0.0574145,0.0516563,0.0125757,0.0151425,0.0137114,0.00835219,0.0207242,0.015939,0.00854665,0.00785481,0.00943377,0.0201107,0,0,0,0
6,0,0,0,0,0,0,0.0210187,0.00418378,0,0,0,0.0436238,0.0175928,0.027198,0.0274689,0,0,0.00424384,0,0.0191401,0.00331827,0.0420167,0.0301882,0.0102249,0.0160482,0.0115157,0.0077753,0.0272994,0.0202771,0.0195192,0.0450366,0.0122211,0.017197,0.0132343,0.0252517,0.0514567,0.00408892,0.010095,0.00224798,0.0162195,0.0128898,0.0120678,0.0544676,0.022724,0,0,0.025303,0,0.0107304,0.0183639,0.0413905,0.0146414,0.00701522,0.0422139,0.0148485,0.0114201,0.040829,0.0200457,0.0572422,0.0516007,0.0121226,0.0154221,0.0134238,0.00851258,0.0207328,0.0162477,0.00853653,0.00779476,0.00937792,0.0206671,0,0,0,0
7,0,0,0,0,0,0,0.0217417,0.00458489,0,0,0,0.0480099,0.0176054,0.0284071,0.0275094,0,0,0.00466438,0,0.0191947,0.0032595,0.0422646,0.0308695,0.0108644,0.0154216,0.011507,0.00818655,0.0285307,0.0210836,0.0205161,0.0472054,0.0139259,0.0192945,0.0133779,0.0275171,0.0564461,0.00417254,0.010082,0.002169,0.0162331,0.0129067,0.0122663,0.054105,0.0234669,0,0,0.0254241,0,0.0107348,0.0185146,0.0413653,0.0147383,0.00743441,0.0419677,0.0156337,0.0121279,0.0407027,0.0197464,0.0571167,0.0514412,0.0118524,0.0156202,0.0129255,0.00875825,0.0208586,0.0166275,0.00852897,0.00779964,0.00949335,0.0212632,0,0,0,0
8,0,0,0,0,0,0,0.0222831,0.00497703,0,0,0,0.0511932,0.0175867,0.0313027,0.0274131,0,0,0.00482113,0,0.019142,0.00323154,0.042294,0.0338225,0.0113899,0.0158412,0.0116561,0.00847985,0.029493,0.0216725,0.0213653,0.0490033,0.015219,0.0208162,0.0141267,0.0289033,0.060062,0.00424871,0.0100857,0.00207956,0.0164517,0.0129422,0.0124476,0.0537099,0.0240198,0,0,0.0256205,0,0.0107453,0.0186424,0.0414445,0.0149123,0.00780546,0.0417185,0.0164228,0.0126154,0.0404385,0.0192725,0.0569524,0.0511374,0.0117819,0.0157067,0.0126565,0.0089142,0.021371,0.0170825,0.00849202,0.0079389,0.00962613,0.0217692,0,0,0,0
