Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
All Timesteps RMSE,0,0,0,0,0,0,0.00838619,0.00603422,0,0,0,0.0251822,0.0182849,0.0133538,0,0,0.0344432,0,0.0251502,0.0201021,0.0174395,0.0259679,0.0160215,0.0236668,0.0102233,0.0167012,0.0147853,0.0358681,0.0346526,0.0474494,0.0195945,0.02216,0.0106091,0.0310088,0.0352802,0.0265206,0.0147817,0.00754338,0.0341043,0.0176737,0.0416698,0.00757189,0,0,0.00906119,0,0.0146671,0.00812075,0.087376,0.0577976,0.0520672,0.0380669,0.00925419,0.00508494,0.0768364,0.0577683,0.042414,0.0790074,0.040474,0.0502368,0.0303893,0.0440791,0.0321678,0.00515458,0.00955266,0.00250949,0.00598445,0.0079286,0,0,0,0
0,0,0,0,0,0,0,0.00711992,0.00746756,0,0,0,0.02506,0.0138977,0.0152316,0,0,0.0298199,0,0.0242327,0.0174678,0.0185556,0.0147573,0.00984377,0.0126591,0.0146845,0.0131852,0.00625878,0.00862207,0.0158635,0.0505138,0.0110079,0.0110726,0.0073932,0.0319843,0.031362,0.0193167,0.0121636,0.00783262,0.0411206,0.0169517,0.0246201,0.00558438,0,0,0.00268414,0,0.0134455,0.00115556,0.0863038,0.0268439,0.0611761,0.0264599,0.0124967,0.00638352,0.0879263,0.0656175,0.0307277,0.0742072,0.00556743,0.0261357,0.00605178,0.00162709,0.0441309,0.00272145,0.00142228,0.00154173,0.00942929,0.00813634,0,0,0,0
1,0,0,0,0,0,0,0.0117516,0.00616909,0,0,0,0.0250797,0.0187929,0.0146393,0,0,0.00506563,0,0.0199334,0.00816722,0.0183708,0.0140951,0.0108089,0.011433,0.0154174,0.0124094,0.00597587,0.00829481,0.0149761,0.0503698,0.0105454,0.0108525,0.00740722,0.0318824,0.0313646,0,0.010022,0.00211991,0.0446028,0.0171734,0.0245657,0.0122024,0,0,0.00529527,0,0.0136268,0.00317737,0.0861301,0.0245642,0.0595402,0.0285251,0.0136556,0.0107811,0.0885685,0.0661215,0.0295013,0.0737323,0.00687658,0.0260123,0.00577452,0.00293082,0.0486436,0.00615851,0.000803538,0.00143884,0.00579115,0.0118545,0,0,0,0
2,0,0,0,0,0,0,0.0121114,0.00590784,0,0,0,0.0236152,0.0188417,0.013937,0,0,0.00600926,0,0.0198878,0.00776873,0.0177624,0.0134466,0.0113261,0.0102264,0.0150531,0.0129507,0.00603715,0.00786708,0.0142791,0.0503277,0.0100914,0.0104461,0.00747221,0.0322462,0.0291931,0,0.009933,0.00215203,0.0467891,0.0171988,0.0242948,0.0123917,0,0,0.00532617,0,0.0136668,0.0032495,0.0861276,0.0230075,0.0592245,0.0307397,0.0138938,0.0108195,0.0886111,0.0660071,0.028585,0.073444,0.00805143,0.0261494,0.00555787,0.00426999,0.0516563,0.00616863,0.000805186,0.00139367,0.00508038,0.0121024,0,0,0,0
3,0,0,0,0,0,0,0.00760131,0.00655677,0,0,0,0.0210399,0.0133775,0.0133422,0,0,0.0337176,0,0.0248265,0.020318,0.0170102,0.0130073,0.0117669,0.00944791,0.013243,0.0130391,0.00634096,0.00732766,0.0137558,0.0502779,0.00973438,0.00998991,0.00769148,0.0330351,0.0251132,0,0.0123678,0.00878908,0.0472312,0.0170766,0.0232442,0.00534926,0,0,0.00225788,0,0.0135953,0.000746953,0.0864518,0.0221056,0.060443,0.0332235,0.0125062,0.00531697,0.0882752,0.0651229,0.0281488,0.0736436,0.00945062,0.0265049,0.00544037,0.00613005,0.0528681,0.00193367,0.00114396,0.00130505,0.00740191,0.00748049,0,0,0,0
4,0,0,0,0,0,0,0.0117505,0.00559943,0,0,0,0.0191555,0.0191436,0.012601,0,0,0.00781301,0,0.0197554,0.00532139,0.0161976,0.0123668,0.012304,0.00823483,0.0137215,0.0129229,0.00638252,0.00693705,0.0131166,0.0503918,0.00875228,0.00895424,0.00739096,0.0332715,0.0223928,0,0.0098126,0.00232924,0.0471162,0.0172305,0.0217704,0.0120216,0,0,0.00524043,0,0.0137122,0.00332872,0.0858133,0.0204546,0.0587087,0.0343867,0.0135779,0.0110809,0.0886638,0.0657111,0.0268914,0.0727892,0.0110859,0.0263328,0.00545531,0.00883251,0.0531103,0.00618777,0.000876532,0.00131578,0.00425316,0.0116088,0,0,0,0
5,0,0,0,0,0,0,0.00697358,0.00659917,0,0,0,0.0168029,0.0139371,0.0122479,0,0,0.0288765,0,0.0240737,0.0171059,0.0154294,0.0125544,0.0127999,0.00732988,0.0121575,0.0113453,0.00669092,0.00676365,0.0129086,0.0505308,0.00827509,0.00856529,0.00741752,0.0340605,0.0185303,0.0192623,0.0120124,0.00783399,0.0457047,0.0170726,0.0203102,0.00483821,0,0,0.00198103,0,0.0136073,0.000503696,0.0859137,0.0199962,0.0600543,0.0363006,0.0121655,0.00555809,0.0884833,0.0647888,0.0269619,0.0733588,0.0132709,0.0267066,0.00551163,0.0116336,0.0519621,0.00195255,0.00107033,0.0011008,0.00674875,0.00663542,0,0,0,0
6,0,0,0,0,0,0,0.0113176,0.00542488,0,0,0,0.0154684,0.0191902,0.0116973,0,0,0.00862507,0,0.0196149,0.00581842,0.0148084,0.0125079,0.013291,0.0060537,0.0123623,0.0127973,0.00671088,0.00668953,0.0125781,0.0507604,0.00742861,0.0077142,0.00689818,0.0342126,0.0165594,0,0.00984184,0.0026336,0.0444272,0.0172161,0.0190069,0.0115648,0,0,0.00505697,0,0.013707,0.00329399,0.0852584,0.0189576,0.0582828,0.0369251,0.0128398,0.0113637,0.0890036,0.0653231,0.0263451,0.0730071,0.0149834,0.0265138,0.00561758,0.0141665,0.0502068,0.00629148,0.000778928,0.00104735,0.00360749,0.0109989,0,0,0,0
7,0,0,0,0,0,0,0.00626109,0.00630667,0,0,0,0.0135102,0.0137757,0.0115258,0,0,0.0289632,0,0.0241656,0.0171827,0.0141692,0.0128707,0.0138383,0.00589243,0.0117994,0.0113858,0.00710256,0.00687752,0.0126028,0.0509657,0.00737094,0.00767394,0.00686749,0.0346661,0.0146797,0.0196741,0.0121618,0.00757297,0.0423157,0.0171458,0.0181911,0.00431292,0,0,0.0017736,0,0.013656,0.000521969,0.0855204,0.0193347,0.0595791,0.0385246,0.0122433,0.00597913,0.0889885,0.064263,0.0268754,0.0741223,0.0163857,0.0267718,0.00581189,0.0158861,0.0475097,0.00182985,0.00142307,0.000717502,0.00630049,0.00590426,0,0,0,0
8,0,0,0,0,0,0,0.00617689,0.00629831,0,0,0,0.0116909,0.0132853,0.0110076,0,0,0.0305554,0,0.0245232,0.0179623,0.0136008,0.0133307,0.0142813,0.00534665,0.011767,0.0117968,0.00712459,0.0067178,0.012289,0.0508959,0.00707857,0.00740858,0.00677625,0.0350723,0.0110856,0.0207204,0.0123478,0.0075428,0.0403141,0.0170864,0.0176898,0.00400982,0,0,0.00199741,0,0.0136263,0.000466778,0.0853895,0.0198592,0.059542,0.039065,0.0122018,0.00573687,0.0892763,0.0638978,0.0270603,0.0747288,0.0168751,0.0268045,0.00598773,0.0166062,0.0446543,0.00184098,0.00129976,0.00098536,0.00629997,0.00562485,0,0,0,0
