Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LILC,x76
9,0,0,0,0,0,0,0.00406394,0.00230246,0,0,0,0.0200938,0.0173911,0.0287204,0,0,0.0599669,0,0.0210046,0.035148,0.0208958,0.0590859,0.0355163,0.00883658,0.0267205,0.0269776,0.0365725,0.0277477,0.0254977,0.0289114,0.0287782,0.0117302,0.0152006,0.0322833,0.0457844,0.0104197,0.0116267,0.0153626,0.0158599,0.0127381,0.0028905,0,0,0.00285948,0,0.0128092,0.00209791,0.0845805,0.0259303,0.0464658,0.0254781,0.0109418,0.00578203,0.0284231,0.0101842,0.0624734,0.0697247,0.0213307,0.0385143,0.0128865,0.021788,0.0199886,0.00443908,0.00216579,0.00138606,0.00483791,0.00227119,0,0,0,0,0,0
10,0,0,0,0,0,0,0.00409094,0.0025119,0,0,0,0.0214224,0.0174744,0.0263971,0,0,0.0601559,0,0.0208715,0.0352047,0.0209102,0.0573351,0.0349237,0.00908935,0.0267795,0.0269274,0.0373006,0.0267511,0.0263496,0.0290716,0.0302575,0.0110996,0.0159421,0.0356135,0.045845,0.0103408,0.0116455,0.0149223,0.0158189,0.0131369,0.00290057,0,0,0.00279591,0,0.0127795,0.00212429,0.0846531,0.0257722,0.0464973,0.02546,0.0107491,0.00559751,0.0286085,0.0102663,0.062768,0.0695827,0.0215167,0.0384824,0.0131073,0.0220355,0.0192988,0.00437586,0.00207326,0.00139955,0.00462481,0.00236095,0,0,0,0,0,0
11,0,0,0,0,0,0,0.00413276,0.002682,0,0,0,0.022894,0.0175291,0.0236934,0,0,0.0601942,0,0.020757,0.0350421,0.0209631,0.0547013,0.0339043,0.00937681,0.0268721,0.0265909,0.0378123,0.0254274,0.0272697,0.0289523,0.0319916,0.0103683,0.0169195,0.0392968,0.0459191,0.0102792,0.0112945,0.0139643,0.0157902,0.0131224,0.00293454,0,0,0.00274248,0,0.0127528,0.00210469,0.084729,0.0256924,0.0466213,0.0252336,0.0106675,0.00551534,0.0288226,0.0101028,0.06278,0.0692073,0.021576,0.038386,0.01324,0.0222161,0.0183743,0.00436277,0.00199628,0.00141565,0.00441897,0.00245164,0,0,0,0,0,0
12,0,0,0,0,0,0,0.00517359,0.00225528,0,0,0,0.0515622,0.0175303,0.0199184,0,0,0.0601236,0,0.0208256,0.034916,0.0389451,0.0260649,0.038628,0.0104654,0.0272068,0.0281353,0.0467885,0.0246095,0.0311019,0.033215,0.0381877,0.0225353,0.0117705,0.0634433,0.0457456,0.0103144,0.0111924,0.040833,0.015796,0.0354374,0.00433348,0,0,0.00208977,0,0.0127522,0.00177764,0.0814888,0.0310572,0.0489299,0.0171028,0.014663,0.00483277,0.0352641,0.00810706,0.0652082,0.0660812,0.0107324,0.0397012,0.0198207,0.0152384,0.0427256,0.00389883,0.00212121,0.00144179,0.00392248,0.00299952,0,0,0,0,0,0
13,0,0,0,0,0,0,0.00425939,0.00302763,0,0,0,0.0264182,0.0177273,0.0167956,0,0,0.0596256,0,0.0206828,0.0349622,0.021412,0.0454451,0.0297392,0.00988066,0.027038,0.0247156,0.0356586,0.0206588,0.029745,0.0268465,0.0332528,0.00905792,0.0191832,0.0448778,0.0454254,0.0102143,0.0114375,0.0118549,0.015831,0.0127461,0.00312586,0,0,0.0028031,0,0.0127769,0.0020972,0.0845135,0.0253405,0.0468047,0.0245284,0.0104426,0.00549175,0.0286417,0.00968199,0.0634321,0.0681324,0.0214859,0.0382679,0.0133689,0.0225122,0.0165909,0.00444242,0.00195683,0.00135553,0.00374452,0.00267559,0,0,0,0,0,0
14,0,0,0,0,0,0,0.00504338,0.0028247,0,0,0,0.0549826,0.0178471,0.0205694,0,0,0.0597289,0,0.0206811,0.0349657,0.0362132,0.0188039,0.0308884,0.0075637,0.0274783,0.0231903,0.0386427,0.0202784,0.0315722,0.0282424,0.0337892,0.0213075,0.0176339,0.0655364,0.0457076,0.0102126,0.0115991,0.0121979,0.0158411,0.0141545,0.00423526,0,0,0.00259667,0,0.0127858,0.00198737,0.0817758,0.0275916,0.046885,0.0263358,0.0139484,0.0051978,0.0286219,0.00962827,0.0629439,0.0690783,0.0230434,0.0376644,0.014019,0.0242951,0.0173719,0.00431862,0.0019722,0.00140075,0.00337694,0.0030949,0,0,0,0,0,0
15,0,0,0,0,0,0,0.00450631,0.00288571,0,0,0,0.0310365,0.0178916,0.010557,0,0,0.0594946,0,0.0205198,0.034753,0.0220807,0.0341317,0.022402,0.0100451,0.0273092,0.0203765,0.028913,0.0131027,0.0335955,0.0222814,0.0302674,0.00795391,0.0218955,0.0475765,0.0455929,0.0100772,0.0116987,0.0105369,0.015854,0.0126027,0.00349474,0,0,0.00277353,0,0.0127986,0.00211325,0.0836951,0.025167,0.04665,0.0239856,0.00990746,0.00533136,0.0284622,0.00979671,0.0639554,0.0676362,0.0212838,0.0383178,0.0135412,0.0225005,0.0156495,0.004423,0.00184629,0.00145316,0.00393054,0.00296196,0,0,0,0,0,0
16,0,0,0,0,0,0,0.0046383,0.00126146,0,0,0,0.0324366,0.0179524,0.00909674,0,0,0.0595106,0,0.0203903,0.0348559,0.0224905,0.0283374,0.0181433,0.0103846,0.0275935,0.0179006,0.0246312,0.00917886,0.0357753,0.0196991,0.0281134,0.00758966,0.0235254,0.0477712,0.0457252,0.0100015,0.0116016,0.0108929,0.0158818,0.0131241,0.00365576,0,0,0.00268359,0,0.0128241,0.0021275,0.0831495,0.025472,0.0464741,0.0241165,0.00997181,0.00526927,0.0283627,0.0103205,0.0633046,0.067895,0.0214574,0.038308,0.0137652,0.0225188,0.0160245,0.00438298,0.00182633,0.00142737,0.00533749,0.00312621,0,0,0,0,0,0
17,0,0,0,0,0,0,0.00472568,0.000939054,0,0,0,0.0330667,0.0179942,0.00908662,0,0,0.0594505,0,0.0203544,0.0351338,0.0229092,0.0229228,0.0139502,0.0108527,0.0278308,0.0153669,0.0203826,0.00613875,0.0379389,0.0171287,0.0252224,0.00747488,0.0254236,0.0466961,0.0458019,0.00996695,0.0115469,0.0118442,0.0159111,0.0143231,0.00372533,0,0,0.00252609,0,0.0128486,0.00212596,0.0825405,0.0265995,0.0461276,0.0249103,0.0102069,0.0051008,0.02828,0.0113121,0.0620855,0.0686719,0.0220603,0.0382871,0.0141344,0.0228125,0.0166283,0.00437309,0.00186909,0.00138912,0.00596153,0.00327365,0,0,0,0,0,0
18,0,0,0,0,0,0,0.00486668,0.00106894,0,0,0,0.0336623,0.0180385,0.0101531,0,0,0.0593542,0,0.0203286,0.0351019,0.0233422,0.0192179,0.0101467,0.0113436,0.0280096,0.0129467,0.01675,0.00512315,0.0401097,0.0148767,0.022289,0.00762597,0.0273066,0.0455703,0.0458213,0.00995092,0.0115453,0.0122809,0.0159238,0.015157,0.00381129,0,0,0.00237037,0,0.0128621,0.00213871,0.0821108,0.0276467,0.0457138,0.0253823,0.0102981,0.00482926,0.0282724,0.012102,0.0617055,0.0691814,0.0225483,0.0382253,0.0143974,0.0231151,0.0170135,0.00428915,0.00187414,0.00140011,0.00569748,0.00348051,0,0,0,0,0,0
19,0,0,0,0,0,0,0.00572801,0.00151897,0,0,0,0.0289841,0.0193902,0.00762866,0,0,0.0731758,0,0.0207067,0.0444597,0.0236227,0.0125665,0.00871371,0.0114044,0.0354372,0.0111807,0.0132671,0.00467421,0.0408872,0.0116479,0.0179932,0.0067955,0.0304283,0.0386209,0.0567424,0.00948491,0.0153069,0.0123577,0.0159517,0.0152788,0.00449085,0,0,0.00214396,0,0.0129016,0.00210834,0.0819215,0.0278718,0.0456758,0.0255542,0.0104843,0.0043287,0.0282044,0.0122838,0.0615516,0.0694646,0.0226062,0.0378373,0.0142297,0.0231793,0.0176431,0.00385057,0.00184812,0.00141417,0.0050208,0.00444619,0,0,0,0,0,0
20,0,0,0,0,0,0,0.00557839,0.00165304,0,0,0,0.0310122,0.018641,0.012064,0,0,0.063625,0,0.0202684,0.0380185,0.0241511,0.0126247,0.00417711,0.0107703,0.0307457,0.00854509,0.0106107,0.00764613,0.0434775,0.0112766,0.017005,0.0085811,0.030795,0.0401717,0.0493921,0.0098228,0.0125168,0.00854539,0.0160181,0.0123999,0.0044281,0,0,0.00188637,0,0.0129324,0.00193326,0.082791,0.0261295,0.0475838,0.0212185,0.00945731,0.00423622,0.0279052,0.0100597,0.0658626,0.0651084,0.0186876,0.0362843,0.0117883,0.0219424,0.0154494,0.00378106,0.00210016,0.00149416,0.00409043,0.00427402,0,0,0,0,0,0
21,0,0,0,0,0,0,0.00594676,0.00184344,0,0,0,0.0289145,0.0185298,0.0123254,0,0,0.0609198,0,0.020053,0.0364043,0.0245532,0.0113325,0.00285407,0.00993534,0.0296601,0.00648844,0.00890291,0.00929168,0.0447694,0.0103518,0.015119,0.00902047,0.0324991,0.0371474,0.0474774,0.00978713,0.0118488,0.01669,0.0160045,0.0214764,0.00485355,0,0,0.00163738,0,0.012911,0.00187933,0.0843227,0.0360829,0.0501792,0.0241133,0.00871411,0.00399915,0.0266525,0.0150371,0.0689125,0.0628669,0.0191403,0.0338477,0.0110218,0.0259761,0.0197811,0.00353784,0.00216834,0.00153305,0.00298898,0.00483486,0,0,0,0,0,0
