Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LWRA,
493,0.0164775,0,0,0,0,0.0455728,0,0,0,0,0,0,0.0349504,0,0.018979,0.0658488,0,0,0.0145954,0,0,0.039282,0.0763288,0.0207669,0.0149848,0.012926,0.0330195,0.0352659,0.0831902,0.0486855,0.101369,0.014925,0.0172942,0.0304458,0.0321682,0.0107347,0.013128,0.0128183,0.0478452,0,0.0165664,0.065198,0.0297069,0,0,0.0138274,0,0,0.0480106,0.0552443,0.0235927,0.0216086,0.0143955,0.0456005,0.0423083,0.0423463,0.0720307,0.0654654,0.0217493,0.0655926,0,0.0516331,0.0840305,0.0128876,0.0215451,0.0193337,0.0210661,0.0254487,0.0322917,0.0195665,0
494,0.0165138,0,0,0,0,0.0455692,0,0,0,0,0,0,0.0356085,0,0.0189511,0.0658491,0,0,0.0143544,0,0,0.0388374,0.0765675,0.020763,0.0150281,0.0127974,0.0328345,0.035376,0.083142,0.0484546,0.101344,0.0150536,0.0172391,0.0304746,0.0322502,0.0100335,0.013258,0.013294,0.047933,0,0.0165793,0.0652407,0.0296055,0,0,0.0135016,0,0,0.0477156,0.0553193,0.0235899,0.0216493,0.014612,0.0454619,0.0423066,0.0423801,0.0719727,0.0653907,0.0216923,0.0656881,0,0.0517213,0.0841237,0.0129144,0.021365,0.0180058,0.0214418,0.0255372,0.0322579,0.0174409,0
495,0.0165646,0,0,0,0,0.0455388,0,0,0,0,0,0,0.0362971,0,0.0189013,0.0659675,0,0,0.0142158,0,0,0.0384219,0.0767934,0.0208357,0.0149896,0.0127883,0.032683,0.0354997,0.0830101,0.0483352,0.101197,0.0151856,0.0171927,0.0304287,0.0323188,0.00915235,0.0132528,0.0141,0.0480016,0,0.0166135,0.0652833,0.0294901,0,0,0.0132679,0,0,0.0474501,0.0553706,0.0236573,0.0216943,0.0148439,0.0453685,0.0421344,0.0424598,0.0719321,0.0652897,0.0216365,0.0658349,0,0.0517731,0.0842029,0.0129849,0.0211012,0.0165876,0.0217904,0.0255644,0.0322229,0.0151839,0
496,0.0177067,0,0,0,0,0.045827,0,0,0,0,0,0,0.041478,0,0,0.0685359,0,0,0.0135996,0,0,0.0381517,0.0760071,0.0173723,0.014748,0.0127191,0.0321638,0.034416,0.0809589,0,0.105055,0.0117054,0.0126867,0.0288798,0.0299058,0.00680227,0.0137277,0.0143532,0.048195,0,0.0169399,0.0640307,0.029956,0,0,0.0127693,0,0,0.0470344,0,0.0235007,0.0225619,0,0.0459306,0.0412864,0.0445936,0,0.0639933,0.0205287,0.0655678,0,0.0514841,0.0842863,0.0138106,0.0207931,0.0152381,0.0221423,0.0262498,0.030893,0.0132349,0
497,0.0166206,0,0,0,0,0.0452992,0,0,0,0,0,0,0.0380791,0,0.0188215,0.0659302,0,0,0.0136071,0,0,0.0381663,0.0772229,0.0211851,0.0149933,0.0130189,0.0324247,0.0359452,0.0826028,0.0480423,0.100765,0.0155029,0.0173916,0.0305641,0.0324489,0.00725565,0.0130319,0.0159868,0.0480976,0,0.0167616,0.0653892,0.0293801,0,0,0.0132375,0,0,0.0468907,0.0554377,0.0238929,0.0219147,0.0154237,0.0452797,0.0417268,0.042411,0.0717613,0.0650877,0.0213597,0.0660563,0,0.0519606,0.0844126,0.0131669,0.0202368,0.0140486,0.0227411,0.0255,0.0322371,0.0111806,0
498,0.0167281,0,0,0,0,0.0452977,0,0,0,0,0,0,0.0386496,0,0.0187575,0.0660043,0,0,0.0134159,0,0,0.037997,0.0773955,0.0212016,0.0149669,0.0131941,0.0323432,0.03591,0.0824719,0.0478491,0.100643,0.0156827,0.0176169,0.0306541,0.0325167,0.00656142,0.0130693,0.0172501,0.0488766,0,0.0166221,0.0654463,0.0293605,0,0,0.0130812,0,0,0.0465824,0.0554165,0.0239152,0.0220124,0.0154771,0.0452585,0.0416791,0.0424743,0.0717653,0.0650921,0.0212931,0.0661007,0,0.0520319,0.0844579,0.0134738,0.0198636,0.0128458,0.0229362,0.0255407,0.032187,0.00899079,0
499,0.0167812,0,0,0,0,0.0451908,0,0,0,0,0,0,0.0393149,0,0.0188151,0.0660752,0,0,0.0133934,0,0,0.0378679,0.0775734,0.0212347,0.0149949,0.0132677,0.0322112,0.0360125,0.0823362,0.0476331,0.10046,0.0158094,0.0177988,0.030644,0.0325059,0.00587546,0.013111,0.0179308,0.0491971,0,0.0165659,0.0655142,0.0293757,0,0,0.0130695,0,0,0.0463005,0.0554237,0.0239072,0.0220966,0.0156696,0.0451925,0.0415152,0.0426288,0.0716792,0.0650681,0.0212631,0.0661038,0,0.0520246,0.0845207,0.0135932,0.0195378,0.011674,0.0232438,0.0255702,0.032179,0.00822222,0
500,0.0168572,0,0,0,0,0.0451166,0,0,0,0,0,0,0.0397794,0,0.0188515,0.066116,0,0,0.013658,0,0,0.0375753,0.0777158,0.021083,0.0150205,0.0132769,0.0320852,0.0361332,0.0822301,0.047407,0.100206,0.0158809,0.017993,0.0306569,0.0324918,0.00545186,0.0131149,0.01793,0.0493453,0,0.0165481,0.065575,0.0293804,0,0,0.013125,0,0,0.0460958,0.0554263,0.0239221,0.0221243,0.0157989,0.0451082,0.0412666,0.0426701,0.0715785,0.0650586,0.0212561,0.0662033,0,0.051974,0.0845254,0.0136563,0.0191883,0.0106473,0.0236638,0.0256702,0.0321577,0.00822616,0
501,0.0169673,0,0,0,0,0.0450612,0,0,0,0,0,0,0.0399471,0,0.0188749,0.0661738,0,0,0.0138841,0,0,0.0371823,0.0779047,0.0209688,0.0150469,0.0131819,0.0319763,0.0362446,0.0821345,0.047156,0.0999557,0.0159506,0.017888,0.0306635,0.032432,0.00533458,0.013137,0.0179923,0.0493572,0,0.0165577,0.0656035,0.0294038,0,0,0.0132548,0,0,0.0459597,0.0554291,0.0239519,0.0221616,0.0159146,0.0450223,0.0410955,0.0425831,0.0715492,0.0650343,0.0212122,0.0662811,0,0.0519754,0.0845333,0.0136243,0.0188116,0.00981363,0.024058,0.0257835,0.0321262,0.00822457,0
502,0.0170799,0,0,0,0,0.0450044,0,0,0,0,0,0,0.0398963,0,0.0189854,0.0662636,0,0,0.0142555,0,0,0.0367018,0.0780356,0.0210308,0.0150732,0.0129719,0.0318775,0.0363683,0.0820679,0.0468629,0.099664,0.0159247,0.0176344,0.0306329,0.0323202,0.00534268,0.0130034,0.0179833,0.0492445,0,0.0165737,0.0656337,0.0294515,0,0,0.0133701,0,0,0.0458584,0.0554527,0.0239989,0.0222501,0.0160687,0.0449665,0.0408416,0.0424964,0.0716052,0.0649939,0.0211723,0.0662755,0,0.0520475,0.084555,0.0135067,0.0185765,0.00891318,0.024459,0.0258678,0.0320993,0.00835301,0
