Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTIBI,RTHI,
9,0.0259595,0,0,0,0,0.0488062,0,0,0,0,0,0,0.0215375,0,0.0238257,0.068328,0,0,0.0161535,0,0,0.0346492,0.0774941,0.0207735,0.0120635,0.0132584,0.0280816,0.0357149,0.0472768,0.0485343,0.0257507,0.0121282,0.0140393,0.0275675,0.0274609,0.0268809,0.0118459,0.00787526,0.0161677,0.0392951,0,0.0125905,0.0718589,0.0334632,0,0,0.0215288,0,0,0.0431018,0.0581685,0.0288018,0.0336729,0.00777622,0.048934,0.0401922,0.121472,0.0519939,0.0201322,0.061888,0.0403326,0.0788949,0.0137873,0.0174126,0.00772437,0.0238516,0.029615,0.0231488,0.0471914,0.0416279,0
10,0.0260679,0,0,0,0,0.0487641,0,0,0,0,0,0,0.0214097,0,0.0240984,0.0684232,0,0,0.0161244,0,0,0.0347414,0.0773218,0.0205374,0.0121476,0.0132896,0.0281206,0.0356415,0.0473749,0.0485974,0.0259613,0.0120416,0.0141376,0.0275403,0.0274583,0.0272612,0.0119414,0.00791922,0.0160393,0.0391784,0,0.0125771,0.0718591,0.0335195,0,0,0.0216251,0,0,0.0432024,0.058278,0.0287365,0.0338112,0.00795453,0.0491118,0.040433,0.121539,0.0515807,0.0199993,0.0619608,0.0404571,0.0789637,0.0138415,0.0173726,0.0077238,0.0238055,0.029583,0.0229598,0.0474091,0.0419791,0
11,0.0261565,0,0,0,0,0.048777,0,0,0,0,0,0,0.0213261,0,0.0244069,0.0685081,0,0,0.0160902,0,0,0.0348337,0.0770445,0.0203536,0.0121667,0.0134182,0.0283034,0.0355214,0.0474503,0.0486563,0.026141,0.0119975,0.0140898,0.0275019,0.0273821,0.0276434,0.0120309,0.00799021,0.0158551,0.0389028,0,0.0125848,0.0718899,0.0335862,0,0,0.0217412,0,0,0.0431812,0.0583792,0.0286998,0.0340203,0.00813718,0.049424,0.040449,0.121583,0.0512048,0.0197719,0.0620468,0.0405339,0.0790043,0.013976,0.0173423,0.00776259,0.0237245,0.0296219,0.0227699,0.0474861,0.0419429,0
12,0.026231,0,0,0,0,0.0487502,0,0,0,0,0,0,0.0213707,0,0.0247412,0.0685715,0,0,0.0160443,0,0,0.0348853,0.0767405,0.0202688,0.0122024,0.0136479,0.0284929,0.0354767,0.0474634,0.0487541,0.0262412,0.0120023,0.0140964,0.0275148,0.0273104,0.02783,0.0121306,0.00817539,0.0156079,0.0385463,0,0.0125619,0.0718844,0.0336309,0,0,0.0218592,0,0,0.0430707,0.0585073,0.0287191,0.0342361,0.00834432,0.0497505,0.0403777,0.121642,0.0509549,0.0195826,0.0621566,0.0405897,0.0790334,0.0141837,0.0173626,0.00779828,0.0235503,0.029644,0.0226385,0.0475172,0.041645,0
13,0.026255,0,0,0,0,0.0486839,0,0,0,0,0,0,0.0215308,0,0.0251831,0.0686808,0,0,0.0159347,0,0,0.0349597,0.0764507,0.020311,0.0122596,0.01384,0.0286597,0.0354311,0.0474612,0.0488193,0.026233,0.0120335,0.0141009,0.027564,0.0272659,0.0277699,0.0123057,0.00845925,0.01529,0.0381636,0,0.0125066,0.0718891,0.033659,0,0,0.0219745,0,0,0.0429368,0.0586498,0.0287377,0.0343991,0.00853442,0.0500316,0.0402078,0.12169,0.0507896,0.0195171,0.0622568,0.0406631,0.0790505,0.0144222,0.0173816,0.0077626,0.0233768,0.0296015,0.0225602,0.0475839,0.0413882,0
14,0.0262244,0,0,0,0,0.0485887,0,0,0,0,0,0,0.0216806,0,0.025512,0.0688267,0,0,0.0158223,0,0,0.0349852,0.0762412,0.020344,0.0123235,0.0138686,0.0286932,0.0353645,0.0474195,0.0487306,0.0261003,0.0121332,0.0141286,0.0275764,0.0272241,0.0276806,0.0125182,0.00860072,0.0150535,0.0378431,0,0.0124488,0.0719298,0.0336924,0,0,0.0221141,0,0,0.0427836,0.0587567,0.0287716,0.0344983,0.00868397,0.0502142,0.0399672,0.121707,0.0506467,0.0195052,0.0623233,0.0407879,0.0790451,0.0146368,0.0173441,0.00771742,0.0232443,0.0295089,0.0225217,0.0476586,0.0412508,0
15,0.0261707,0,0,0,0,0.048399,0,0,0,0,0,0,0.0217907,0,0.0256853,0.0690009,0,0,0.01571,0,0,0.0350911,0.0761626,0.0203166,0.012449,0.013709,0.0285233,0.035238,0.0473899,0.0485574,0.0258576,0.0122575,0.0142829,0.0274968,0.0271881,0.0276215,0.0127286,0.0087474,0.014787,0.037581,0,0.0124033,0.0719964,0.0336849,0,0,0.0222392,0,0,0.0426769,0.0588122,0.0288066,0.03458,0.00880486,0.0502613,0.0394752,0.121719,0.0505456,0.0195167,0.0623486,0.0408922,0.0790675,0.0148052,0.0172758,0.00774678,0.023022,0.0293196,0.0225666,0.0477245,0.0411089,0
16,0.0261086,0,0,0,0,0.048154,0,0,0,0,0,0,0.0218198,0,0.0256751,0.0691785,0,0,0.015509,0,0,0.0352226,0.0762302,0.0202594,0.0126583,0.01356,0.0281862,0.0350854,0.0472974,0.0484203,0.025523,0.0123996,0.0144021,0.0273875,0.0271465,0.0276084,0.0128991,0.00897163,0.0144561,0.0372889,0,0.0123944,0.0720449,0.0336312,0,0,0.0223814,0,0,0.0425491,0.0588666,0.028868,0.0346904,0.00890984,0.0502253,0.038733,0.121706,0.0504571,0.0195338,0.0624126,0.0409361,0.0790917,0.0149834,0.0172368,0.00778276,0.0227836,0.0290894,0.022698,0.0477878,0.0409731,0
17,0.0260432,0,0,0,0,0.0479447,0,0,0,0,0,0,0.0217853,0,0.0255378,0.0693411,0,0,0.0153516,0,0,0.0352038,0.0763429,0.0202195,0.0128937,0.0135844,0.0277562,0.0349651,0.0471273,0.0482455,0.0252389,0.0125594,0.0143611,0.0273954,0.0271168,0.0275986,0.013074,0.00896027,0.0144063,0.0369616,0,0.0123889,0.0720576,0.0335899,0,0,0.0225585,0,0,0.0422642,0.0589196,0.028967,0.0347645,0.00899862,0.0501239,0.0381441,0.121657,0.050437,0.019516,0.0624736,0.0409334,0.0791126,0.0152002,0.0171612,0.00788554,0.0225729,0.0289054,0.0228616,0.0478329,0.0408348,0
18,0.0259798,0,0,0,0,0.047835,0,0,0,0,0,0,0.021934,0,0.0254161,0.069472,0,0,0.0153162,0,0,0.0351116,0.076383,0.0202399,0.0131058,0.013609,0.0273163,0.0348295,0.0471122,0.0481451,0.0250817,0.0126967,0.0144307,0.027495,0.0271844,0.0273739,0.0132334,0.00880048,0.0145527,0.036631,0,0.012413,0.0720601,0.0336026,0,0,0.0227756,0,0,0.0422,0.0589182,0.029053,0.0347908,0.0090402,0.0499867,0.0379427,0.121585,0.0505221,0.0196139,0.0625331,0.0409485,0.0791528,0.0154337,0.0170094,0.00798334,0.0225383,0.028782,0.0230113,0.0478466,0.0408108,0
