Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTIBI,RTHI,
629,0.0287934,0,0,0,0,0.0458308,0,0,0,0,0,0,0.0378252,0,0.0169274,0.0613719,0,0,0.0238394,0,0,0.026458,0.0700169,0.0223343,0.00506652,0.0132772,0.0405183,0.0383975,0.0530134,0.0579771,0.0326245,0.0132526,0.016446,0.0294514,0.0309631,0.00681054,0.0135286,0,0.0223072,0.0597103,0,0.00845166,0.0702571,0.0339157,0,0,0.0167528,0,0,0.0492167,0.0560184,0.0301077,0.03409,0.00611005,0.0564982,0.0390054,0.125928,0.0529263,0.0226787,0.0594438,0.035058,0.076697,0.0256719,0.0177431,0.029508,0.0215807,0.0272212,0.024375,0.0448221,0.0463466,0
630,0.0288025,0,0,0,0,0.0458717,0,0,0,0,0,0,0.0365848,0,0.0172599,0.0610817,0,0,0.0238522,0,0,0.0264656,0.0701991,0.0222173,0.00524452,0.0133447,0.0403503,0.0383287,0.0531646,0.0579618,0.0327561,0.0133253,0.0162015,0.0296511,0.0310984,0.00680516,0.0134402,0,0.0222708,0.0603937,0,0.00858291,0.0703356,0.0339455,0,0,0.0168336,0,0,0.0492617,0.0559984,0.0300137,0.0340784,0.00625396,0.0564091,0.0389658,0.125884,0.0530036,0.0227498,0.0594676,0.0350053,0.0768401,0.0262298,0.0178788,0.0296134,0.0215821,0.0272564,0.0242696,0.0449684,0.0465893,0
631,0.029745,0,0,0,0,0.0459912,0,0,0,0,0,0,0.0378232,0,0,0.0630049,0,0,0.0235827,0,0,0.0264205,0.0693041,0.0188624,0.00722516,0.0148502,0.0414583,0.0379106,0,0.0621791,0.0352408,0.0107579,0.0123547,0.0279444,0.0280176,0.00844004,0.0132727,0,0.0221387,0.0606809,0,0.00901846,0.0696599,0.0344372,0,0,0.0163222,0,0,0.0490426,0.0561152,0.0301396,0.0334865,0.00660448,0.056206,0.0381022,0.125773,0.0535142,0.0226132,0.0594197,0.0347478,0.0766524,0.0262488,0.0178454,0.0297121,0.0215133,0.027577,0.023685,0.0450414,0.0474216,0
632,0.0289748,0,0,0,0,0.0458316,0,0,0,0,0,0,0.0334622,0,0.0181309,0.0607177,0,0,0.0239227,0,0,0.0265311,0.0705717,0.0223129,0.00568987,0.0129315,0.0395868,0.0381901,0.0534584,0.0579643,0.0327191,0.0131409,0.0162139,0.0299512,0.0311517,0.0105126,0.0133604,0,0.0222226,0.0612214,0,0.00880908,0.0706544,0.0340615,0,0,0.0167289,0,0,0.049273,0.0558247,0.0299406,0.0342851,0.00683705,0.0562021,0.0388093,0.125897,0.0531584,0.0229164,0.0597618,0.034911,0.0768864,0.0268657,0.0179428,0.0297568,0.0216221,0.0271907,0.0240929,0.0453518,0.046718,0
633,0.0290833,0,0,0,0,0.0458044,0,0,0,0,0,0,0.0316053,0,0.0185954,0.0603173,0,0,0.0239065,0,0,0.0265314,0.070756,0.0225392,0.00580721,0.0126221,0.0392056,0.0381301,0.0536488,0.0579208,0.0325414,0.0130062,0.0164944,0.0300937,0.0311334,0.0130237,0.0133266,0,0.0221943,0.0614211,0,0.00884007,0.0707713,0.0343359,0,0,0.0168235,0,0,0.049203,0.0557666,0.0299459,0.0343359,0.00725837,0.0561908,0.0387003,0.125901,0.0531283,0.0229289,0.0597428,0.0348959,0.0769696,0.0270822,0.0179372,0.0296519,0.0217809,0.0271657,0.0240322,0.0453163,0.0466652,0
634,0.0292204,0,0,0,0,0.045831,0,0,0,0,0,0,0.0296221,0,0.0190935,0.0599342,0,0,0.0239217,0,0,0.0264218,0.070874,0.02274,0.00587996,0.0123442,0.0388917,0.0381226,0.053774,0.0578389,0.0323058,0.0128825,0.016844,0.0302411,0.0310611,0.0155467,0.0132255,0,0.0221471,0.0613382,0,0.00884685,0.0708824,0.034491,0,0,0.0166128,0,0,0.0491869,0.0557112,0.0299025,0.0343979,0.00761142,0.0561337,0.0385382,0.126024,0.0531352,0.0229476,0.0597332,0.0348676,0.0771255,0.0271221,0.0179886,0.0299207,0.0216686,0.0272169,0.0239823,0.0451844,0.0465938,0
635,0.0293046,0,0,0,0,0.0456261,0,0,0,0,0,0,0.0245076,0,0.0198568,0,0,0,0.0233766,0,0,0.0261969,0.0706635,0.0236892,0.0173449,0.0116488,0.036168,0.0366787,0.0562637,0.0583693,0.0302482,0.0132005,0.0182392,0.0311774,0.0318879,0.0231498,0.0123016,0,0.0218907,0.0642167,0,0.00945017,0.0600532,0.0349287,0,0,0.0177961,0,0,0.049785,0.0566992,0.0294096,0.0313123,0.00859006,0.0563333,0.0405584,0.126856,0.052873,0.0253751,0.0594641,0.0346412,0.0771282,0.0306282,0.0184358,0.0299392,0.0218477,0.0272485,0.0226136,0.044798,0.0468319,0
636,0.0297001,0,0,0,0,0.0458509,0,0,0,0,0,0,0.0259697,0,0.0199279,0.0596329,0,0,0.0239138,0,0,0.0264237,0.0711153,0.0228558,0.00605029,0.012146,0.0383847,0.0380467,0.0541024,0.0576544,0.031701,0.0125777,0.0174714,0.0303942,0.0309574,0.0203706,0.0131557,0,0.0221423,0.060569,0,0.00891871,0.0711158,0.0344942,0,0,0.0166194,0,0,0.0492175,0.0555587,0.0297971,0.034605,0.0074241,0.0561008,0.0383413,0.126222,0.0532116,0.0228577,0.0597758,0.0348327,0.0771865,0.0266222,0.0179323,0.0300519,0.0216681,0.027295,0.0238338,0.045189,0.0465004,0
637,0.0298126,0,0,0,0,0.0457831,0,0,0,0,0,0,0.0228002,0,0.0207498,0,0,0,0.0230527,0,0,0.0266857,0.0714508,0.0232858,0.0184423,0.0118317,0.0358497,0.0371609,0.0578693,0.0588283,0.0302702,0.0121118,0.0173337,0.0308585,0.0313379,0.0248427,0.0133253,0,0.0209683,0.0547705,0,0.00474167,0.0599307,0.0344553,0,0,0.0179727,0,0,0.0497062,0.057423,0.0312057,0.0299936,0.0117444,0.0549535,0.040147,0.127387,0.0506795,0.0269867,0.0611287,0.0341103,0.0789849,0.0195281,0.0187379,0.0290631,0.0230493,0.0274777,0.0228948,0.0469591,0.0452676,0
638,0.0299148,0,0,0,0,0.0457592,0,0,0,0,0,0,0.0214621,0,0.0213111,0,0,0,0.0229308,0,0,0.0267235,0.0716604,0.0235862,0.0192779,0.0120062,0.0354313,0.0371056,0.058154,0.0587593,0.030102,0.0117223,0.017029,0.0307778,0.0311463,0.0268164,0.0134108,0,0.0209086,0.0548235,0,0.00455794,0.059324,0.0345754,0,0,0.0180552,0,0,0.0496439,0.0574054,0.0313011,0.0297159,0.0115614,0.0546404,0.0401324,0.127442,0.0505231,0.0271978,0.061116,0.0341575,0.0790322,0.0198047,0.0186377,0.0289707,0.0231513,0.0275539,0.0227504,0.0469261,0.0450803,0
639,0.0299123,0,0,0,0,0.0458091,0,0,0,0,0,0,0.0208328,0,0.0216857,0,0,0,0.0228844,0,0,0.0266511,0.0719256,0.0234458,0.0183131,0.0120809,0.0355428,0.0370608,0.0584294,0.0586221,0.0300059,0.0113529,0.0164825,0.0305798,0.0308195,0.0277912,0.0133181,0,0.0208814,0.0541672,0,0.00479544,0.0600915,0.0345308,0,0,0.0178838,0,0,0.04963,0.0573814,0.0312965,0.030021,0.0114848,0.0549942,0.0399332,0.127429,0.0505768,0.0269826,0.0611135,0.0342131,0.0788935,0.0190596,0.0187503,0.0291088,0.0230851,0.027583,0.0228471,0.0468734,0.0451372,0
640,0.0297488,0,0,0,0,0.0458155,0,0,0,0,0,0,0.0213857,0,0.0212136,0.0650245,0,0,0.0238101,0,0,0.0264183,0.0723473,0.0232483,0.00621314,0.012399,0.0379027,0.0381623,0.0545191,0.0567765,0.0311745,0.0118881,0.0167738,0.0299184,0.0301284,0.02728,0.0132374,0,0.022088,0.0584954,0,0.00889399,0.0722008,0.0344722,0,0,0.0164322,0,0,0.0490959,0.0553919,0.0300467,0.0352383,0.00702125,0.0561962,0.0380168,0.126123,0.0532202,0.0224441,0.0597921,0.0349869,0.0769768,0.0248167,0.0180006,0.0301212,0.0217346,0.0273995,0.0239135,0.0451898,0.0464259,0
641,0.0298665,0,0,0,0,0.0458091,0,0,0,0,0,0,0.0199182,0,0.0220803,0,0,0,0.0227673,0,0,0.0266661,0.0724447,0.0235585,0.0185368,0.0120759,0.035284,0.0369967,0.0585361,0.0580873,0.0296636,0.0108159,0.0154902,0.0301184,0.0301692,0.029111,0.0132897,0,0.0208096,0.0537179,0,0.00488035,0.0599327,0.0344193,0,0,0.0177729,0,0,0.0495907,0.0574159,0.0313827,0.0299909,0.0114601,0.0550557,0.0398325,0.127442,0.0505559,0.0269856,0.0609259,0.0342888,0.0787252,0.0186555,0.0189387,0.0291763,0.0230951,0.0276439,0.0228117,0.0467853,0.0450516,0
642,0.0300154,0,0,0,0,0.0455738,0,0,0,0,0,0,0.0193191,0,0.0224285,0,0,0,0.022483,0,0,0.0267474,0.0726358,0.0236643,0.0197228,0.0120503,0.0346075,0.0369349,0.0582808,0.057631,0.0293358,0.0106853,0.0150126,0.0299496,0.0298823,0.0297834,0.0134221,0,0.0206448,0.0540556,0,0.00469919,0.0590617,0.0338976,0,0,0.0181316,0,0,0.0478,0.0575547,0.0314825,0.0296385,0.011364,0.0546113,0.0402732,0.12745,0.050387,0.0272871,0.0609357,0.0344115,0.0788968,0.0191152,0.0214246,0.0258969,0,0.0274851,0.0229142,0.0468204,0.0448607,0
643,0.0299785,0,0,0,0,0.0458574,0,0,0,0,0,0,0.0190145,0,0.0224949,0,0,0,0.022736,0,0,0.0267772,0.0727684,0.0234233,0.0199403,0.0122206,0.0344881,0.0369212,0.0580487,0.0573508,0.0292821,0.0105029,0.0143888,0.029708,0.0295458,0.0299274,0.0133534,0,0.0207551,0.0540424,0,0.00479456,0.0589128,0.0344241,0,0,0.0180554,0,0,0.0495524,0.0575177,0.0315871,0.0295404,0.0110705,0.0545173,0.0398393,0.127458,0.0505243,0.027336,0.0609317,0.0343948,0.0788704,0.0191347,0.0188819,0.0288801,0.0233483,0.0277166,0.0224544,0.0468071,0.0449028,0
644,0.030066,0,0,0,0,0.0459207,0,0,0,0,0,0,0.0190635,0,0.0225735,0,0,0,0.0227016,0,0,0.026751,0.0730409,0.0232995,0.0201455,0.0122588,0.0342623,0.0368027,0.0576917,0.0569916,0.0291031,0.0103462,0.0143346,0.0294643,0.0292473,0.0296561,0.013274,0,0.0207237,0.0539734,0,0.00488033,0.0588261,0.0344303,0,0,0.0178538,0,0,0.0495901,0.057577,0.0315862,0.0295075,0.0109751,0.0543853,0.0397689,0.127475,0.0505966,0.0273165,0.0610411,0.0344297,0.0788578,0.0191318,0.0190178,0.0291281,0.0232222,0.0277694,0.0223472,0.0469581,0.0449308,0
645,0.0301285,0,0,0,0,0.0460188,0,0,0,0,0,0,0.0193008,0,0.0225016,0,0,0,0.0226734,0,0,0.0267395,0.0733652,0.0232832,0.0203876,0.0122784,0.0339901,0.0366919,0.0572862,0.0566324,0.0288573,0.0102265,0.0143103,0.029248,0.0290071,0.0291615,0.0131595,0,0.0206919,0.0539383,0,0.00490278,0.0587352,0.034435,0,0,0.0177967,0,0,0.0495834,0.0576565,0.0315605,0.0295001,0.0109744,0.0543148,0.039665,0.127463,0.0506255,0.0272572,0.0610679,0.0344529,0.0788778,0.0190626,0.0190455,0.0291806,0.0231905,0.0278276,0.022216,0.0470477,0.0449908,0
646,0.030203,0,0,0,0,0.0461259,0,0,0,0,0,0,0.0195605,0,0.0223169,0,0,0,0.0226473,0,0,0.0267366,0.0736471,0.0232351,0.0206641,0.0123141,0.0336693,0.0365647,0.0568541,0.0562646,0.0285751,0.0101967,0.014229,0.0291351,0.0288648,0.0285928,0.0130529,0,0.0206926,0.0538914,0,0.00494556,0.0586406,0.0344224,0,0,0.0177592,0,0,0.0495359,0.0577478,0.0315379,0.0295283,0.0110096,0.0542132,0.0395591,0.127443,0.0506653,0.0271916,0.0610194,0.0344882,0.0789134,0.0189624,0.0190565,0.0291758,0.0232101,0.0279009,0.0221011,0.0470796,0.0450595,0
647,0.0302852,0,0,0,0,0.0462025,0,0,0,0,0,0,0.0197706,0,0.0221753,0,0,0,0.0226285,0,0,0.0267303,0.0739366,0.0231811,0.0209614,0.0124254,0.0333701,0.0364445,0.0564857,0.0559192,0.0282956,0.0102004,0.0142222,0.0290898,0.0287361,0.0281671,0.0129727,0,0.0206971,0.0537892,0,0.00492683,0.0585687,0.03444,0,0,0.0177323,0,0,0.0495061,0.057801,0.0315298,0.0295479,0.0110257,0.0541521,0.0394555,0.127412,0.0507497,0.0272181,0.0610169,0.034526,0.0789332,0.0188904,0.0190715,0.0291562,0.0232366,0.0279514,0.0219551,0.047009,0.045068,0
648,0.0303965,0,0,0,0,0.0462768,0,0,0,0,0,0,0.0198814,0,0.0221276,0,0,0,0.0226048,0,0,0.0267146,0.0742295,0.0232189,0.0212938,0.012633,0.0330523,0.0363342,0.0562014,0.0556219,0.0280214,0.0101806,0.0142723,0.0290162,0.0285756,0.0279094,0.0128981,0,0.020682,0.0535808,0,0.00495173,0.0585093,0.0344791,0,0,0.0177551,0,0,0.0494949,0.0578059,0.0315191,0.0295664,0.0109479,0.0541718,0.0393429,0.127336,0.0508111,0.0271824,0.0610743,0.0345874,0.0789765,0.0187839,0.0190527,0.0291777,0.0232242,0.0279784,0.0218635,0.0468878,0.0450438,0
649,0.0304854,0,0,0,0,0.0463358,0,0,0,0,0,0,0.0199513,0,0.0220033,0,0,0,0.0225433,0,0,0.0266931,0.0744852,0.0231526,0.0214464,0.0126662,0.0329268,0.0361931,0.0560234,0.0553746,0.027751,0.010166,0.0143781,0.0288726,0.0284947,0.0277167,0.012796,0,0.0206417,0.0532167,0,0.00515316,0.0584771,0.0345134,0,0,0.0176694,0,0,0.0494992,0.0578226,0.0313661,0.0296317,0.0109124,0.0543078,0.039208,0.127147,0.050752,0.0270043,0.0611857,0.0346665,0.079059,0.0184545,0.0189904,0.0292346,0.023169,0.0280085,0.0218627,0.0469193,0.0450964,0
650,0.0304695,0,0,0,0,0.0464058,0,0,0,0,0,0,0.0203679,0,0.0216857,0,0,0,0.022494,0,0,0.0266291,0.0747558,0.0227839,0.0207127,0.0124029,0.0331929,0.0360235,0.0559444,0.0551428,0.0275718,0.0102684,0.01447,0.0286986,0.0284578,0.027017,0.0126342,0,0.0206336,0.0525347,0,0.00555442,0.0591037,0.0344716,0,0,0.0174569,0,0,0.0495016,0.0578068,0.0311582,0.0300207,0.010967,0.0548661,0.0390303,0.12683,0.0506268,0.0265908,0.0613592,0.0347541,0.0790896,0.0176766,0.0190558,0.0293688,0.023076,0.0280052,0.021964,0.0470116,0.0452822,0
651,0.0302591,0,0,0,0,0.0464701,0,0,0,0,0,0,0.0214329,0,0.0211281,0.06691,0,0,0.0233635,0,0,0.0264265,0.0745335,0.0225832,0.00741352,0.0134837,0.036198,0.0370458,0.0517397,0.0536882,0.0295274,0.0113992,0.0154707,0.028144,0.0280552,0.0257046,0.012557,0,0.0217742,0.0563888,0,0.00935383,0.0714762,0.0343699,0,0,0.0161561,0,0,0.0489541,0.0559674,0.0299453,0.0351913,0.00678066,0.0563175,0.0371283,0.125279,0.0531215,0.0219268,0.0603955,0.0356455,0.0775723,0.0226892,0.018299,0.0303519,0.021758,0.0278041,0.023194,0.0456901,0.0465475,0
652,0.0302971,0,0,0,0,0.046493,0,0,0,0,0,0,0.0216492,0,0.0211911,0.0661886,0,0,0.0232544,0,0,0.0264096,0.0744908,0.0223392,0.00748319,0.0135808,0.0361268,0.0369051,0.0516902,0.053648,0.0295725,0.0115142,0.0155648,0.0280025,0.0279776,0.0255297,0.0124973,0,0.0217489,0.0562366,0,0.00940485,0.0713457,0.034378,0,0,0.0162953,0,0,0.0489559,0.0560928,0.0299138,0.0352342,0.00663185,0.0564149,0.0371223,0.125229,0.0531111,0.0218722,0.0604884,0.0357602,0.0776473,0.0225703,0.0183361,0.030358,0.0217891,0.0278248,0.0232131,0.0458323,0.0465069,0
653,0.0303191,0,0,0,0,0.0465255,0,0,0,0,0,0,0.0218196,0,0.0213945,0.0652987,0,0,0.0231415,0,0,0.0264105,0.0743872,0.022131,0.00759457,0.0139323,0.0360258,0.0367615,0.0515868,0.0536076,0.0296701,0.0115872,0.0157342,0.0280288,0.0279094,0.0254389,0.0124331,0,0.0217159,0.0560214,0,0.00949562,0.0710878,0.0344461,0,0,0.0162048,0,0,0.0489301,0.0561814,0.0297905,0.0352536,0.00628114,0.0565107,0.0371282,0.125077,0.0531304,0.0218349,0.0606032,0.0358799,0.0777511,0.0224651,0.0183784,0.0303528,0.021812,0.0278577,0.0231707,0.0460768,0.0463917,0
654,0.0302493,0,0,0,0,0.0465809,0,0,0,0,0,0,0.0221883,0,0.0215128,0.0666023,0,0,0.0230563,0,0,0.0264183,0.0744081,0.0220748,0.00760381,0.0141802,0.0362086,0.0367385,0.0515137,0.0535688,0.0297972,0.0116573,0.0158705,0.028185,0.0280411,0.0250651,0.0124665,0,0.0217164,0.0556785,0,0.0095321,0.0712884,0.0344196,0,0,0.0159786,0,0,0.0489119,0.0562271,0.0297657,0.0355146,0.00616173,0.0566489,0.0369873,0.124864,0.0531919,0.0216844,0.0607329,0.0360138,0.0778625,0.0221782,0.018419,0.0303792,0.021773,0.0278725,0.0232028,0.0461787,0.046254,0
655,0.030172,0,0,0,0,0.0465829,0,0,0,0,0,0,0.0225442,0,0.0214765,0.0667596,0,0,0.0229472,0,0,0.0264115,0.074304,0.0220723,0.00762031,0.0142005,0.0363266,0.0366284,0.051506,0.0536118,0.0298444,0.0117224,0.0159559,0.0284195,0.0283266,0.0247184,0.0124472,0,0.0216906,0.0554852,0,0.009664,0.071304,0.0344037,0,0,0.0159374,0,0,0.0489007,0.056282,0.029742,0.035714,0.00636262,0.0567763,0.0368474,0.124789,0.0531695,0.0216591,0.0608669,0.0361623,0.0779501,0.0220463,0.0184973,0.030379,0.0217592,0.0278524,0.0232137,0.0461889,0.0461187,0
656,0.0301292,0,0,0,0,0.04658,0,0,0,0,0,0,0.0226558,0,0.0214465,0.0657513,0,0,0.0228379,0,0,0.026405,0.0741213,0.0220035,0.0077353,0.0141467,0.0362168,0.0364754,0.0515505,0.0537142,0.029809,0.0118289,0.0160968,0.0285691,0.0285009,0.024692,0.0123829,0,0.0216494,0.055272,0,0.0100125,0.071137,0.0343995,0,0,0.0158331,0,0,0.0488553,0.0563261,0.029701,0.0358057,0.00640686,0.0568432,0.0367158,0.124738,0.0531135,0.0216452,0.0609808,0.0362904,0.0780323,0.0219059,0.0185882,0.0303263,0.0217855,0.0278349,0.0231871,0.046358,0.0460067,0
657,0.0300844,0,0,0,0,0.0466131,0,0,0,0,0,0,0.0226734,0,0.0215637,0.0668162,0,0,0.0227674,0,0,0.0264371,0.0741106,0.0219083,0.00784486,0.0139535,0.0362597,0.0364351,0.0516075,0.0537295,0.0297084,0.0119648,0.0162387,0.0285778,0.0285551,0.0248777,0.0123889,0,0.0216253,0.0547889,0,0.010177,0.0713708,0.0343374,0,0,0.0155991,0,0,0.0487981,0.05632,0.0297664,0.0361015,0.00616959,0.0568778,0.0365486,0.124635,0.0531552,0.0213912,0.0610287,0.0363839,0.0780589,0.0214762,0.0186629,0.0302837,0.0217625,0.0278082,0.0233256,0.0464803,0.0460415,0
658,0.0300232,0,0,0,0,0.0466773,0,0,0,0,0,0,0.0226472,0,0.0216992,0.0676354,0,0,0.0226827,0,0,0.0264689,0.0740915,0.0217661,0.00798545,0.0137906,0.0362253,0.0363977,0.0516438,0.0536677,0.0294857,0.0119682,0.0162414,0.0285295,0.0284998,0.0251487,0.0124163,0,0.0215933,0.0543852,0,0.0101186,0.0715545,0.0342642,0,0,0.0153835,0,0,0.0487535,0.056319,0.0298901,0.0364236,0.00612967,0.056933,0.0364043,0.124639,0.053155,0.0211666,0.0610024,0.0364684,0.0780556,0.0211401,0.0187432,0.0302749,0.0217086,0.0278016,0.0234634,0.0465044,0.0461262,0
659,0.0299466,0,0,0,0,0.0467502,0,0,0,0,0,0,0.0225295,0,0.0219228,0.0676481,0,0,0.0225922,0,0,0.0264942,0.0740302,0.0216639,0.00817549,0.0138106,0.0360958,0.0363624,0.0515407,0.0535693,0.0291721,0.0118868,0.016096,0.0285376,0.028408,0.0254293,0.0124545,0,0.0215635,0.0540432,0,0.0100961,0.0715301,0.0341986,0,0,0.0151891,0,0,0.0487184,0.0563337,0.0299605,0.0366083,0.00613439,0.0570396,0.0361897,0.124619,0.053128,0.0210884,0.0609798,0.0365698,0.0780929,0.0208352,0.0187798,0.0302615,0.0216533,0.027833,0.0235731,0.0464856,0.0460826,0
660,0.0298871,0,0,0,0,0.0468509,0,0,0,0,0,0,0.0223212,0,0.0221268,0.0667471,0,0,0.0224666,0,0,0.0264942,0.0739107,0.0215239,0.00834217,0.0139064,0.0359342,0.0362798,0.0512846,0.0534288,0.0288583,0.0118126,0.0158662,0.0284064,0.0282644,0.0257549,0.0124903,0,0.0215346,0.0536996,0,0.0101689,0.0713176,0.0341347,0,0,0.015041,0,0,0.048685,0.0563618,0.0300252,0.0366779,0.00610578,0.0571212,0.0359258,0.124625,0.0530469,0.0210904,0.0610965,0.0367036,0.0781313,0.0206601,0.0187725,0.0302354,0.0215768,0.0278838,0.0236408,0.0464247,0.045973,0
661,0.0298785,0,0,0,0,0.0469225,0,0,0,0,0,0,0.0220866,0,0.0223433,0.0656413,0,0,0.0223205,0,0,0.026478,0.073761,0.0212955,0.00852479,0.0139363,0.0356596,0.036155,0.051037,0.0532743,0.0286184,0.0117602,0.0156337,0.0281017,0.0280973,0.0261279,0.0124975,0,0.0215027,0.0533205,0,0.0103194,0.0709886,0.0340838,0,0,0.014852,0,0,0.0486071,0.0564639,0.0301002,0.0367563,0.0059976,0.0571935,0.035696,0.12465,0.0529294,0.0211267,0.0613603,0.0368756,0.0781098,0.0204685,0.0187691,0.0301375,0.0215418,0.0279317,0.023688,0.0464845,0.0458761,0
662,0.0298585,0,0,0,0,0.0469019,0,0,0,0,0,0,0.0218169,0,0.0226035,0.0668904,0,0,0.022283,0,0,0.0264749,0.0737783,0.0211164,0.00873121,0.0139306,0.0355108,0.0361858,0.0507969,0.0530856,0.0285225,0.0118029,0.0155094,0.0277007,0.0279644,0.0263884,0.012515,0,0.0215042,0.0525103,0,0.0104671,0.0710427,0.0340273,0,0,0.0146008,0,0,0.0484919,0.0564944,0.0302443,0.0370254,0.00582349,0.0571647,0.0354106,0.124585,0.0529058,0.0209686,0.0615173,0.0370275,0.0780504,0.0198313,0.0187797,0.0300051,0.0215518,0.0279355,0.0237558,0.046505,0.0458286,0
663,0.0298034,0,0,0,0,0.0469149,0,0,0,0,0,0,0.0217795,0,0.0227577,0.0677406,0,0,0.0221563,0,0,0.0265135,0.0738285,0.0209889,0.00887225,0.0138006,0.0354545,0.0361761,0.0506067,0.0528597,0.0284472,0.0118925,0.0154464,0.0274469,0.0279156,0.0263592,0.0125175,0,0.0214399,0.0514752,0,0.0105929,0.0710946,0.0339554,0,0,0.0145776,0,0,0.0483642,0.0564846,0.0304797,0.0373548,0.00557723,0.0573597,0.0350708,0.12446,0.0529588,0.020838,0.0614604,0.0371211,0.0779772,0.0190027,0.0187692,0.0297361,0.0216533,0.0279667,0.0239409,0.046407,0.0458308,0
664,0.0307963,0,0,0,0,0.0461138,0,0,0,0,0,0,0.0213135,0,0.0228541,0.0679172,0,0,0.021217,0,0,0.0262031,0.0738649,0.0211751,0.00952217,0.0136562,0.0358906,0.0345533,0.0509076,0.0528914,0.0283497,0.0119407,0.0156211,0.0275489,0.0280069,0.0271406,0.0118514,0,0.0211123,0.0514813,0,0.0105511,0.0722979,0.0345875,0,0,0.0154293,0,0,0.0463908,0.0552405,0.0313859,0.0410081,0.00571119,0.0599027,0.0348406,0.123697,0.05652,0.0191887,0.0597927,0.0357366,0.077061,0.0201383,0,0.0257469,0,0.0276348,0.0239704,0.0449108,0,0
665,0.0295831,0,0,0,0,0.0469073,0,0,0,0,0,0,0.0219384,0,0.0228156,0.067315,0,0,0.0219092,0,0,0.02654,0.0737389,0.0209152,0.00906712,0.0135902,0.0353131,0.0360042,0.0503411,0.0524968,0.0283868,0.0120092,0.0155804,0.0274998,0.0278708,0.0261003,0.0124524,0,0.0213227,0.0501056,0,0.0105823,0.0705579,0.033907,0,0,0.0140977,0,0,0.0481521,0.0567565,0.0308471,0.0374588,0.0050144,0.057457,0.0344062,0.124363,0.0529267,0.0206411,0.0612971,0.037359,0.0779626,0.0180838,0.0188146,0.0296283,0.0215537,0.0280027,0.024361,0.046274,0.0456471,0
666,0.0295375,0,0,0,0,0.0468614,0,0,0,0,0,0,0.0219386,0,0.0228168,0.0667121,0,0,0.021826,0,0,0.0265146,0.0736514,0.0209008,0.0092299,0.0137412,0.0350141,0.03587,0.050295,0.0524022,0.0284043,0.0120632,0.0157673,0.0275228,0.027868,0.0260439,0.012379,0,0.021309,0.0499684,0,0.0105046,0.0700871,0.0339196,0,0,0.0137297,0,0,0.0481187,0.0569426,0.0310123,0.0372996,0.00491577,0.0573034,0.0341561,0.124266,0.0528502,0.0205717,0.0612679,0.0375194,0.0779726,0.0180913,0.0188401,0.0297797,0.0213841,0.0280006,0.0243841,0.0464382,0.0454961,0
667,0.0295692,0,0,0,0,0.0468872,0,0,0,0,0,0,0.0220392,0,0.0228774,0.0677919,0,0,0.0217476,0,0,0.0265164,0.0737194,0.0209141,0.00939421,0.013938,0.0348728,0.0357262,0.0501402,0.0522894,0.0284434,0.0121795,0.015923,0.0274927,0.0278593,0.0258674,0.0122614,0,0.0212726,0.0495938,0,0.0104658,0.0700578,0.0339618,0,0,0.0135357,0,0,0.0480816,0.0569875,0.0312374,0.0374359,0.00497222,0.0571671,0.0339299,0.12417,0.0529004,0.0204257,0.0614148,0.0376407,0.077936,0.0178485,0.0188591,0.02977,0.021346,0.028062,0.0244192,0.0465325,0.0454418,0
668,0.0296009,0,0,0,0,0.0469764,0,0,0,0,0,0,0.0221419,0,0.0229176,0.0680929,0,0,0.0216298,0,0,0.0265165,0.0737354,0.0208932,0.0095811,0.0141025,0.0347453,0.0354732,0.0498932,0.0521708,0.0283774,0.0122537,0.0159629,0.0274177,0.0278147,0.0256841,0.0120742,0,0.0212263,0.0493404,0,0.0104277,0.0700178,0.0339946,0,0,0.0133561,0,0,0.0480666,0.0570581,0.0314278,0.0374845,0.00499406,0.0571069,0.0337801,0.12406,0.0529086,0.0203028,0.0616055,0.0377566,0.077838,0.0177037,0.0189076,0.0297611,0.0213208,0.0281555,0.0244405,0.0465609,0.0453851,0
