Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,,RTIBA
All Timesteps RMSE,0.0246921,0,0,0,0,0.047196,0,0,0,0,0,0,0.0285951,0,0.0209482,0.0682983,0,0,0.0213961,0,0,0.0359934,0.0755783,0.020482,0.0134943,0.0133384,0.0374655,0.0365382,0.0789604,0.048519,0.100086,0.0142008,0.0155419,0.0279809,0.0288842,0.0221261,0.0125998,0.0259426,0.020333,0.0325911,0,0.0149817,0.0683365,0.0355519,0,0,0.0242085,0,0,0.0487878,0.0572598,0.0385267,0.0328918,0.00968359,0.0562241,0.0474231,0.0470618,0.0779309,0.0703801,0.0198722,0.0581076,0.0434797,0.0745024,0.0315696,0.0193236,0.0225917,0.0228141,0.027699,0.0304004,0,0.0362735
0,0.0187567,0,0,0,0,0.0462786,0,0,0,0,0,0,0.0287705,0,0.0248774,0.0703227,0,0,0.0293595,0,0,0.0273054,0.0804176,0.0196649,0.0188122,0.0106282,0.0261783,0.0481373,0.0762635,0.0440461,0.0947849,0.0157175,0.0167922,0.0279279,0.028192,0.016763,0.0140078,0.0051582,0.0173227,0.0410679,0,0.0175091,0.0693134,0.0283754,0,0,0.0235196,0,0,0.0455459,0.058152,0.0265932,0.033236,0.0151348,0.0519275,0.041762,0.0466808,0.0724907,0.0617974,0.0150835,0.0674615,0.0535858,0.0854225,0.0106218,0.0138295,0.0071204,0.0269307,0.0280438,0.0302457,0,0
1,0.0215078,0,0,0,0,0.0466407,0,0,0,0,0,0,0.030719,0,0,0.0716003,0,0,0.0139932,0,0,0.0351827,0.0807863,0.0162485,0.0204205,0.013215,0.0292212,0.0410325,0.0740498,0,0.0989064,0.0130497,0.0129405,0.0271013,0.0265484,0.0123044,0.0210755,0.0093406,0.02129,0.0560985,0,0.012369,0.07175,0.0294725,0,0,0.0211667,0,0,0.0455262,0.0564949,0.0306632,0.0414775,0.00604022,0.0587948,0.0406798,0,0,0.0663154,0.0153207,0.0604085,0.0461602,0.0781108,0.0217935,0.0144986,0.00783919,0.026647,0.0289043,0.0272775,0,0
2,0.0210539,0,0,0,0,0.0467153,0,0,0,0,0,0,0.0249755,0,0,0.0703777,0,0,0.0139261,0,0,0.0353341,0.0807558,0.0188883,0.0208747,0.0112582,0.0285566,0.0420833,0.0758657,0.0447744,0.0953456,0.0150339,0.0161551,0.0291694,0.0290324,0.0201488,0.0207741,0.00936387,0.02179,0.0554026,0,0.0121961,0.0721416,0.0287443,0,0,0.0213509,0,0,0.0454681,0.0560481,0.0307766,0.0419734,0.00618569,0.0590054,0.0416159,0,0,0.0665595,0.0155767,0.0603989,0.0460865,0.0780724,0.0212785,0.0147843,0.00772563,0.0269927,0.028999,0.0278727,0,0
3,0.0213875,0,0,0,0,0.0468514,0,0,0,0,0,0,0.0247842,0,0,0.0705871,0,0,0.0138359,0,0,0.0354136,0.0806116,0.0187531,0.0208245,0.0112802,0.0287546,0.0425372,0.075983,0.0447389,0.095319,0.0148856,0.0158791,0.0289853,0.0288675,0.0203347,0.0207079,0.00910153,0.0220168,0.0544535,0,0.0120926,0.0719648,0.02851,0,0,0.0212815,0,0,0.0452362,0.0560501,0.0308889,0.0419999,0.00621216,0.0592001,0.041977,0,0,0.0666185,0.0156299,0.0603276,0.0461,0.0780261,0.0204763,0.0152253,0.00761054,0.027026,0.0295023,0.0276831,0,0
4,0.0216435,0,0,0,0,0.0468338,0,0,0,0,0,0,0.0246875,0,0,0.0706869,0,0,0.0136607,0,0,0.0356151,0.0804461,0.0186267,0.0207147,0.0112315,0.02898,0.0428862,0.0761203,0.04474,0.0954337,0.0147382,0.0156709,0.0289554,0.0288128,0.0205411,0.0204622,0.00911703,0.0220564,0.0536382,0,0.0120053,0.0718749,0.0283429,0,0,0.021173,0,0,0.0452432,0.0560154,0.0309515,0.041992,0.00626001,0.0594183,0.0425318,0,0,0.0666919,0.0157169,0.0602714,0.0460959,0.0780221,0.0197799,0.0157494,0.00776564,0.0269523,0.0298054,0.0275328,0,0
5,0.0218306,0,0,0,0,0.046786,0,0,0,0,0,0,0.0245834,0,0,0.0707443,0,0,0.0134917,0,0,0.0357898,0.0802823,0.0185489,0.0206157,0.0111704,0.0291567,0.0431539,0.0762181,0.0448313,0.0955655,0.0146302,0.0155283,0.0290138,0.0288269,0.0208936,0.0201768,0.0092341,0.0220064,0.0530608,0,0.011979,0.0718645,0.0282789,0,0,0.021135,0,0,0.0451561,0.0559647,0.0310493,0.0420055,0.00634625,0.0595863,0.0431249,0,0,0.066771,0.0158127,0.0602934,0.0460879,0.0780222,0.0193064,0.016473,0.00778575,0.0267976,0.0299582,0.027384,0,0
6,0.0218644,0,0,0,0,0.0475019,0,0,0,0,0,0,0.0244571,0,0,0.0708625,0,0,0.0133137,0,0,0.0358472,0.0802138,0.0185577,0.0207008,0.011061,0.0291161,0.0438211,0.0761996,0.0448638,0.0956098,0.0146904,0.0155676,0.0290248,0.0288466,0.0212164,0.0199903,0.00906866,0.0220315,0.0526618,0,0.0119809,0.0718067,0.0288241,0,0,0.0212851,0,0,0.0450233,0.0559411,0.0311615,0.0421799,0.00637447,0.0597198,0.0423936,0,0,0.0668512,0.0158813,0.0603422,0.0460715,0.0780165,0.0189996,0.0159785,0.00761097,0.0268876,0.0307788,0.026931,0,0
7,0.0220197,0,0,0,0,0.0477448,0,0,0,0,0,0,0.0242431,0,0,0.0708186,0,0,0.0131766,0,0,0.0359171,0.0801232,0.0185678,0.0205994,0.010916,0.0291999,0.044141,0.076209,0.0449513,0.0957057,0.0147114,0.0156507,0.0289852,0.0288316,0.021506,0.0199025,0.00884862,0.0220494,0.0521725,0,0.0119469,0.0717901,0.028996,0,0,0.0213889,0,0,0.0448724,0.0559651,0.0312104,0.0421624,0.00626204,0.0597164,0.0425038,0,0,0.0669145,0.0158805,0.0602851,0.0461109,0.0780487,0.0186641,0.0158394,0.00758885,0.0269795,0.0312631,0.0266765,0,0
8,0.0221641,0,0,0,0,0.0479668,0,0,0,0,0,0,0.0239517,0,0,0.0707925,0,0,0.0130616,0,0,0.0360812,0.0800504,0.0186329,0.020488,0.0108107,0.0292733,0.0443399,0.0761922,0.0450571,0.0957689,0.0147201,0.0157156,0.0289301,0.0287795,0.0218664,0.0197687,0.0087113,0.0220134,0.0515563,0,0.0119247,0.0718104,0.0291802,0,0,0.0215119,0,0,0.0448061,0.0559909,0.0312527,0.0420834,0.00616861,0.0596698,0.0425303,0,0,0.0669924,0.015902,0.0601988,0.046128,0.0780701,0.0182849,0.0155032,0.0076297,0.0271634,0.0317005,0.0264137,0,0
9,0.0223651,0,0,0,0,0.0480793,0,0,0,0,0,0,0.0236803,0,0,0.070745,0,0,0.0129446,0,0,0.0363753,0.0799653,0.0186997,0.0203021,0.0109678,0.0293692,0.0444216,0.0762132,0.0452092,0.0957214,0.0146615,0.0158038,0.0289027,0.0287344,0.0222275,0.0195884,0.00858621,0.0218111,0.0508386,0,0.0119742,0.0717986,0.0292416,0,0,0.0216174,0,0,0.0447874,0.0559963,0.0312706,0.0419567,0.00611031,0.0595206,0.0426432,0,0,0.0670522,0.0159198,0.0601691,0.0461747,0.0780945,0.0178185,0.0151971,0.00772642,0.0271577,0.0320367,0.0261726,0,0
10,0.0224959,0,0,0,0,0.0482669,0,0,0,0,0,0,0.0237976,0,0,0.0707095,0,0,0.0128902,0,0,0.0364313,0.0799485,0.0187706,0.0202778,0.0111672,0.0293235,0.0444029,0.0761954,0.0452739,0.0954582,0.0146694,0.0159288,0.0289015,0.0286889,0.0220595,0.0192091,0.0087866,0.0212574,0.0497127,0,0.0122512,0.0717791,0.0296602,0,0,0.0215735,0,0,0.0446806,0.0558684,0.0313118,0.0420552,0.0062995,0.0594711,0.0425867,0,0,0.0670638,0.0160182,0.0601304,0.046187,0.078066,0.0170613,0.0154701,0.00759292,0.0269913,0.0323532,0.0258272,0,0
11,0.0230864,0,0,0,0,0.0486317,0,0,0,0,0,0,0.0241357,0,0,0.0709359,0,0,0.0125145,0,0,0.0363328,0.0800886,0.0188901,0.0211512,0.0114615,0.0291462,0.0432967,0.0763238,0.0453238,0.095341,0.0146981,0.0159364,0.0288878,0.028689,0.02156,0.0190755,0.00855573,0.0203687,0.0452969,0,0.0120469,0.072306,0.0303026,0,0,0.0214894,0,0,0.0445588,0.0541836,0.0330675,0.0442217,0.00717697,0.0606683,0.0426672,0,0,0.0682179,0.0174565,0.0588022,0.0450816,0.0770761,0.0148712,0.0158749,0.00746945,0.0268545,0.0328298,0.0249119,0,0.035414
12,0.0231178,0,0,0,0,0.0487031,0,0,0,0,0,0,0.0243269,0,0,0.070906,0,0,0.0124969,0,0,0.0363236,0.0800904,0.0189593,0.0210513,0.0115509,0.0290084,0.0431403,0.0762404,0.0451434,0.0951504,0.0148144,0.0159176,0.0287861,0.0286377,0.0212396,0.0187726,0.00851001,0.020133,0.0444608,0,0.0121343,0.072251,0.0303975,0,0,0.0214806,0,0,0.0445136,0.0543059,0.0330892,0.0440054,0.00682188,0.0605097,0.0427269,0,0,0.0684172,0.0174997,0.0588107,0.045005,0.076972,0.0147173,0.0160348,0.0074766,0.0269037,0.0328759,0.0247684,0,0.0356772
13,0.023971,0,0,0,0,0.0489434,0,0,0,0,0,0,0.0305072,0,0,0.0724049,0,0,0.0186215,0,0,0.0319883,0.0798287,0.016187,0.0203644,0.0133286,0.0302616,0.0425769,0.0743106,0,0.0983373,0.012862,0.0123189,0.0264324,0.0260922,0.0125733,0.0201075,0.00899361,0.0218918,0.0435858,0,0.0122855,0.0713014,0.0314771,0,0,0.0211621,0,0,0.0441749,0.055189,0.033286,0.0433942,0.00624974,0.0608802,0.0415604,0,0,0.06849,0.0173569,0.0587258,0.0448304,0.076763,0.0145423,0.0161153,0.00755324,0.0265532,0.0331656,0.0236146,0,0.0359657
14,0.023239,0,0,0,0,0.0488532,0,0,0,0,0,0,0.0246737,0,0,0.0709936,0,0,0.0122957,0,0,0.0363506,0.0801501,0.0191491,0.0208874,0.0115138,0.0288152,0.0427351,0.0759457,0.0445137,0.0948053,0.0150495,0.0158702,0.028671,0.0284775,0.0205749,0.0182433,0.00841669,0.0194923,0.0426472,0,0.012236,0.0719899,0.0306599,0,0,0.0214305,0,0,0.044499,0.0546474,0.0331434,0.043506,0.00630611,0.0600915,0.0427939,0,0,0.0687313,0.0175121,0.0588165,0.0448549,0.0768129,0.0145543,0.0161225,0.00750312,0.0269626,0.0329292,0.0244129,0,0.0364453
15,0.0232911,0,0,0,0,0.0489216,0,0,0,0,0,0,0.0249395,0,0,0.0711141,0,0,0.0123434,0,0,0.0363748,0.0802374,0.0193207,0.0208772,0.0116035,0.028739,0.0424369,0.0757152,0.0442879,0.0945835,0.0151611,0.0158397,0.0286898,0.0284584,0.0203344,0.0179422,0.00837294,0.0192262,0.0417571,0,0.0122799,0.0719009,0.0307989,0,0,0.0214394,0,0,0.0444371,0.0548914,0.0331659,0.0431473,0.00616132,0.0598422,0.0427597,0,0,0.0687929,0.0175049,0.0588509,0.0448577,0.0767425,0.0145554,0.0161474,0.0075395,0.026932,0.0328188,0.0242417,0,0.0367676
16,0.0233353,0,0,0,0,0.0489587,0,0,0,0,0,0,0.0254633,0,0,0.0712327,0,0,0.012427,0,0,0.0364279,0.0803195,0.0194555,0.0208634,0.0118088,0.0286165,0.0420955,0.0755304,0.0440481,0.0943715,0.0152566,0.0159729,0.0287547,0.0284815,0.0201742,0.0176164,0.00831004,0.0191143,0.0408634,0,0.0123283,0.0717827,0.0309758,0,0,0.0214771,0,0,0.0444605,0.0551192,0.0331978,0.042868,0.00612967,0.0595612,0.0426854,0,0,0.068852,0.0175254,0.05892,0.0448457,0.0766465,0.0146458,0.0161323,0.00750299,0.0267883,0.0325812,0.0240757,0,0.0370671
17,0.0233744,0,0,0,0,0.0490108,0,0,0,0,0,0,0.0257442,0,0,0.0713068,0,0,0.0126028,0,0,0.036555,0.0804191,0.0196196,0.0208653,0.0119968,0.0284747,0.0416896,0.0753942,0.0439632,0.0941806,0.0153706,0.0162187,0.0288274,0.0284977,0.02002,0.0172756,0.00837979,0.0188654,0.0400616,0,0.012378,0.0716615,0.0311256,0,0,0.0215495,0,0,0.0444963,0.055326,0.0331889,0.0426211,0.00626844,0.059262,0.0425151,0,0,0.0689063,0.0175552,0.0589807,0.0448559,0.0765594,0.0147893,0.01611,0.00748836,0.0267511,0.032277,0.0239499,0,0.0373731
18,0.0232194,0,0,0,0,0.047812,0,0,0,0,0,0,0.0258424,0,0,0.071199,0,0,0.00833532,0,0,0.0297203,0.0805294,0.0197602,0.0207084,0.0121462,0.0283545,0.0382705,0.0753358,0.043968,0.0940989,0.0154931,0.0163717,0.0288046,0.0284645,0.0199125,0.0204683,0,0.0228169,0.0393482,0,0.0123685,0.0717316,0.0316589,0,0,0.0220786,0,0,0.0446881,0.0555361,0.0331074,0.0421377,0.0063856,0.0587365,0.042232,0,0,0.0689221,0.017522,0.0590898,0.044879,0.0765823,0.0149759,0.0154543,0.0073581,0.0270503,0.0308168,0.0237509,0,0.0378096
19,0.0232353,0,0,0,0,0.0479503,0,0,0,0,0,0,0.025833,0,0,0.0712246,0,0,0.00797843,0,0,0.0296744,0.0806725,0.0198914,0.0206593,0.0121826,0.0281813,0.0379756,0.0752417,0.0438557,0.0939356,0.0155641,0.0164178,0.0287252,0.028409,0.0199414,0.0201751,0,0.0225535,0.0387089,0,0.0123854,0.0717091,0.0317982,0,0,0.0221728,0,0,0.0447641,0.055666,0.0331209,0.0418746,0.00653109,0.0584444,0.0421442,0,0,0.0689672,0.0175627,0.0591336,0.0449032,0.0765254,0.0151974,0.0155373,0.00740578,0.0271741,0.030421,0.0236529,0,0.0381301
20,0.0234375,0,0,0,0,0.0493897,0,0,0,0,0,0,0.0257217,0,0,0.0713551,0,0,0.0128881,0,0,0.0367537,0.0808385,0.0200157,0.0207347,0.0120928,0.0279808,0.040433,0.0751322,0.0437388,0.0937091,0.0156767,0.0163655,0.0286802,0.0283722,0.0201106,0.016397,0.00880069,0.0174014,0.0381182,0,0.0124355,0.0715954,0.0315575,0,0,0.0218693,0,0,0.0445716,0.055735,0.0331974,0.0418459,0.00665086,0.0583618,0.04233,0,0,0.0690408,0.0176751,0.0591032,0.0448507,0.0764297,0.0154446,0.01624,0.00764436,0.0269497,0.0312616,0.0236634,0,0.0383745
21,0.0234982,0,0,0,0,0.0495027,0,0,0,0,0,0,0.0256748,0,0,0.0713478,0,0,0.0130424,0,0,0.0365729,0.080924,0.0201217,0.0207082,0.0121113,0.0278461,0.0399817,0.0751027,0.0437361,0.0936193,0.0157767,0.0164221,0.0286748,0.0283613,0.0201353,0.0160786,0.00864289,0.0172993,0.0376906,0,0.0124735,0.0716254,0.0316431,0,0,0.0219903,0,0,0.0445484,0.0558097,0.033189,0.0416808,0.00674648,0.0581016,0.0423946,0,0,0.069075,0.0176954,0.0591463,0.0447875,0.0764072,0.0156454,0.0162913,0.0075975,0.0268992,0.0309501,0.0235459,0,0.0386484
22,0.0235382,0,0,0,0,0.049603,0,0,0,0,0,0,0.0257385,0,0,0.0713135,0,0,0.0132213,0,0,0.0363779,0.0809352,0.020249,0.0207208,0.0121309,0.027659,0.0395074,0.0750391,0.0437595,0.0935629,0.0158424,0.0166548,0.028689,0.0283868,0.0199513,0.0157105,0.00833285,0.0174722,0.0373248,0,0.0124913,0.071632,0.0316892,0,0,0.0221356,0,0,0.044528,0.0558695,0.0331294,0.0415421,0.00684207,0.0578663,0.0425181,0,0,0.0690935,0.0176427,0.0592171,0.044808,0.0764082,0.0158177,0.0162938,0.00756586,0.0269362,0.0306251,0.0234553,0,0.0388403
23,0.0234214,0,0,0,0,0.0484579,0,0,0,0,0,0,0.0258165,0,0,0.0711503,0,0,0.00666425,0,0,0.0299995,0.0808501,0.020342,0.0206153,0.0122923,0.0275684,0.0365904,0.0750067,0.0438564,0.0935913,0.0158433,0.0167277,0.028683,0.0283878,0.0197446,0.0188404,0,0.0217965,0.0369406,0,0.0124694,0.0716365,0.0319713,0,0,0.0227794,0,0,0.0446234,0.0559352,0.0330142,0.0413013,0.00701633,0.0575623,0.0424324,0,0,0.0691122,0.0174908,0.0593618,0.0449693,0.0764737,0.0159827,0.0155382,0.00751572,0.027282,0.0292396,0.0232599,0,0.0390938
24,0.0234552,0,0,0,0,0.0485616,0,0,0,0,0,0,0.0259032,0,0,0.0710464,0,0,0.00642442,0,0,0.0299344,0.0808023,0.0204407,0.0206743,0.0124073,0.0275282,0.0362085,0.074923,0.0439024,0.093568,0.0158878,0.016727,0.0286494,0.0283712,0.0196343,0.018658,0,0.0215884,0.0366542,0,0.0124646,0.071587,0.0319641,0,0,0.0229205,0,0,0.0447035,0.0559482,0.0329378,0.0412573,0.00720089,0.0574802,0.0424591,0,0,0.0691406,0.0174584,0.0594332,0.0450566,0.0765435,0.0161023,0.0155542,0.00740185,0.0272544,0.0291471,0.0232282,0,0.0393274
25,0.0236471,0,0,0,0,0.0499432,0,0,0,0,0,0,0.0260872,0,0,0.0710628,0,0,0.0136206,0,0,0.0361996,0.0807575,0.0205686,0.0209564,0.0124459,0.0274371,0.0381785,0.0747741,0.0438848,0.093476,0.0159803,0.0168153,0.0286362,0.0283627,0.019457,0.0150538,0.00857455,0.0163142,0.0365479,0,0.0124526,0.071553,0.0316882,0,0,0.0226289,0,0,0.0445838,0.0559476,0.0328639,0.0413414,0.00727913,0.0575472,0.0427045,0,0,0.0691534,0.0175171,0.0594732,0.0450451,0.0765735,0.0161467,0.0163361,0.00754876,0.0269417,0.0304096,0.0233332,0,0.0394628
26,0.0235767,0,0,0,0,0.0487707,0,0,0,0,0,0,0.0261892,0,0,0.0708766,0,0,0.00595356,0,0,0.0300665,0.0806487,0.0205946,0.0209337,0.0124774,0.0275631,0.035496,0.0748156,0.0439784,0.0935129,0.0159452,0.0169207,0.0286449,0.0283626,0.019335,0.0183611,0,0.0211753,0.0365241,0,0.0124033,0.071651,0.0319329,0,0,0.023223,0,0,0.0447014,0.0559471,0.0327576,0.0411654,0.00730537,0.0574361,0.0426619,0,0,0.069119,0.0174571,0.0595807,0.0450654,0.0766316,0.0161782,0.0154697,0.00739156,0.0272663,0.0293681,0.0231184,0,0.0395961
27,0.0237525,0,0,0,0,0.0500437,0,0,0,0,0,0,0.0262377,0,0,0.0709768,0,0,0.0138621,0,0,0.0359258,0.0808037,0.0207681,0.0210863,0.0125016,0.0272915,0.0374158,0.0746704,0.0438861,0.0934005,0.0160575,0.0170908,0.0286448,0.0283303,0.0192799,0.0147581,0.0083212,0.0164797,0.0366144,0,0.0123804,0.0715306,0.0317397,0,0,0.0228829,0,0,0.0444995,0.0559489,0.0327099,0.0412588,0.00724586,0.0574311,0.0429788,0,0,0.0690973,0.017449,0.059632,0.0449969,0.0766831,0.0161452,0.0157821,0.00760565,0.0269589,0.0306539,0.0231681,0,0.0396669
28,0.0237897,0,0,0,0,0.0500106,0,0,0,0,0,0,0.0262497,0,0,0.0711325,0,0,0.0139323,0,0,0.0356534,0.0809802,0.0209304,0.0210179,0.0126262,0.0270302,0.0371586,0.0745366,0.0438043,0.0933701,0.016182,0.0171806,0.0286171,0.0283549,0.0192574,0.0147963,0.00835338,0.0162728,0.0366415,0,0.0123459,0.0714314,0.0316007,0,0,0.0231361,0,0,0.0445935,0.0559562,0.0326507,0.0412652,0.00719997,0.0572631,0.0432349,0,0,0.0690666,0.0174357,0.0596833,0.0448855,0.0767968,0.0160943,0.0158078,0.00753308,0.0270538,0.0307483,0.0231388,0,0.0397146
29,0.0238543,0,0,0,0,0.0500755,0,0,0,0,0,0,0.0262786,0,0,0.0711369,0,0,0.0141536,0,0,0.0357122,0.0810331,0.0210078,0.0208778,0.0127241,0.0270494,0.0368223,0.0744887,0.0438127,0.0933941,0.0162273,0.017178,0.028592,0.028367,0.0192665,0.0145668,0.00839976,0.0160663,0.036647,0,0.0123487,0.0713985,0.0317737,0,0,0.0231091,0,0,0.0445403,0.0559613,0.0326195,0.0412256,0.00715335,0.0571855,0.0432516,0,0,0.0690766,0.0173982,0.0597044,0.0449728,0.076853,0.016007,0.0161846,0.00756899,0.0268801,0.0309315,0.0230083,0,0.0397532
30,0.0238718,0,0,0,0,0.0500789,0,0,0,0,0,0,0.0263417,0,0,0.0711154,0,0,0.0143447,0,0,0.035775,0.0811266,0.0211369,0.0209134,0.0128467,0.0269517,0.0365715,0.0744007,0.0438176,0.0933508,0.0162793,0.0172352,0.0286042,0.0283418,0.0192363,0.0144433,0.00846594,0.0158228,0.0368172,0,0.0123494,0.071359,0.0317572,0,0,0.0231962,0,0,0.0445165,0.0560258,0.0325981,0.0412201,0.00709338,0.0571025,0.0434421,0,0,0.069078,0.0173412,0.0597746,0.0451035,0.0768927,0.0158655,0.0163262,0.00764336,0.0268919,0.0309755,0.0229772,0,0.0397935
31,0.0238872,0,0,0,0,0.0500297,0,0,0,0,0,0,0.0263934,0,0,0.0711304,0,0,0.01455,0,0,0.035725,0.081229,0.0212862,0.0209236,0.0129526,0.0268052,0.0363454,0.074276,0.04383,0.0932987,0.0163321,0.0173016,0.028681,0.0283261,0.0191965,0.0142511,0.00845947,0.0156914,0.0370333,0,0.0123137,0.0714173,0.0317309,0,0,0.0232526,0,0,0.0444593,0.0560414,0.0325793,0.0411319,0.0070333,0.0569802,0.0436189,0,0,0.0691071,0.0173401,0.0598074,0.0451972,0.0769202,0.015764,0.0161538,0.00773487,0.0268631,0.0309396,0.0229854,0,0.0397965
32,0.0239181,0,0,0,0,0.0499589,0,0,0,0,0,0,0.0263879,0,0,0.0712324,0,0,0.0147112,0,0,0.0356894,0.0813314,0.0214209,0.0207987,0.0130203,0.0266467,0.0360994,0.0741536,0.0438402,0.0932474,0.0164136,0.0173493,0.0287491,0.0283327,0.0191877,0.0141347,0.00851609,0.0155272,0.037202,0,0.0122516,0.071435,0.0317088,0,0,0.0233212,0,0,0.0445146,0.056034,0.032558,0.0410755,0.00699457,0.0568552,0.0437328,0,0,0.0691445,0.0173994,0.0598313,0.0452513,0.0769163,0.015717,0.0158961,0.00773402,0.026562,0.0308693,0.0229867,0,0.0397987
33,0.0239348,0,0,0,0,0.0498855,0,0,0,0,0,0,0.0263437,0,0,0.0712759,0,0,0.0148239,0,0,0.0356393,0.0814236,0.0215237,0.0207563,0.0130418,0.0265691,0.0358656,0.0740504,0.0438391,0.0931638,0.0164622,0.0174236,0.0287743,0.0283228,0.0192437,0.0140889,0.00859756,0.0153713,0.0372982,0,0.0122095,0.071429,0.0317035,0,0,0.0234502,0,0,0.0445236,0.0559852,0.0325498,0.0411262,0.00701612,0.0568309,0.0437875,0,0,0.0691374,0.0175228,0.0598193,0.0453124,0.0769188,0.015673,0.0161719,0.00790328,0.0263581,0.0307913,0.0229742,0,0.039829
34,0.0239171,0,0,0,0,0.0497782,0,0,0,0,0,0,0.0261684,0,0,0.0712129,0,0,0.014884,0,0,0.0355242,0.081495,0.0216223,0.0207734,0.0130758,0.0265897,0.0356394,0.073938,0.0438349,0.0930978,0.0165314,0.0173909,0.0287652,0.0282906,0.0194645,0.0140447,0.00859234,0.0154129,0.0373554,0,0.0121521,0.0714556,0.0316473,0,0,0.0233121,0,0,0.0446446,0.0558663,0.032572,0.0412619,0.00709563,0.0569144,0.0438948,0,0,0.0691068,0.0175577,0.0597685,0.0452929,0.0769697,0.0156499,0.0164883,0.00775041,0.0263956,0.0307063,0.0229818,0,0.0398515
35,0.0239049,0,0,0,0,0.0496791,0,0,0,0,0,0,0.025992,0,0,0.0711706,0,0,0.0149768,0,0,0.0354716,0.0815299,0.0217099,0.0208344,0.0130987,0.0265641,0.0354835,0.0738555,0.0438448,0.0930593,0.0165929,0.0173773,0.0287516,0.0282699,0.019648,0.0139706,0.00858001,0.0155238,0.0373821,0,0.0121059,0.0714437,0.0316176,0,0,0.0233985,0,0,0.0446985,0.0557883,0.0325879,0.041298,0.00721884,0.0569497,0.0440616,0,0,0.0691077,0.017526,0.0597301,0.0452668,0.0770158,0.0156369,0.0167428,0.00785114,0.0263467,0.0306237,0.0229804,0,0.0398726
36,0.0238895,0,0,0,0,0.0489029,0,0,0,0,0,0,0.0257899,0,0,0.0709556,0,0,0.015531,0,0,0.0354105,0.0813614,0.021596,0.0204433,0.0131516,0.0271549,0.034593,0.0739852,0.0440191,0.0932767,0.0164487,0.017286,0.0287424,0.0282824,0.019877,0.0129072,0.0084139,0.0154528,0.037181,0,0.0121295,0.0714096,0.0316581,0,0,0.0107401,0,0,0.0387808,0.0557615,0.0326539,0.0411265,0.00728262,0.0571168,0.0416298,0,0,0.0691629,0.0174174,0.0596731,0.0452281,0.0769393,0.0157355,0.0212598,0,0.0286503,0.0304242,0.0230271,0,0.0398228
37,0.0239201,0,0,0,0,0.0482794,0,0,0,0,0,0,0.0257634,0,0,0.0711303,0,0,0.00496017,0,0,0.0302009,0.0814491,0.0216522,0.0206322,0.0131529,0.0268556,0.0331008,0.073932,0.0439473,0.0931906,0.0164515,0.0173334,0.0287461,0.0282563,0.0199923,0.0176345,0,0.0200336,0.0371139,0,0.0121513,0.071381,0.031535,0,0,0.0240436,0,0,0.0448765,0.0557834,0.0326631,0.0412561,0.00724075,0.0571337,0.04395,0,0,0.0692282,0.0174189,0.0596571,0.0452083,0.076793,0.0157904,0.0161577,0.00773741,0.0267686,0.0293933,0.0229046,0,0.0397723
38,0.023918,0,0,0,0,0.0487867,0,0,0,0,0,0,0.0257441,0,0,0.0710033,0,0,0.0157359,0,0,0.0359149,0.0814433,0.0216398,0.0204652,0.0131836,0.0270929,0.0344389,0.0740019,0.0439748,0.0932558,0.0163856,0.017346,0.0287424,0.0282461,0.0200551,0.0127098,0.00904329,0.0145215,0.0369815,0,0.0121386,0.0713349,0.0316327,0,0,0.0133125,0,0,0.0386094,0.0558262,0.0326524,0.0410883,0.00724624,0.0571448,0.0419443,0,0,0.0692625,0.0173569,0.0597125,0.0451909,0.0767666,0.0158161,0.0198898,0,0.0282625,0.0303038,0.0230963,0,0.039824
39,0.0239617,0,0,0,0,0.0492612,0,0,0,0,0,0,0.0257502,0,0,0.0711533,0,0,0.0156687,0,0,0.0358127,0.0816164,0.0218082,0.020836,0.0131754,0.0265471,0.0350183,0.0738887,0.0437737,0.0930151,0.0165309,0.0174152,0.0287181,0.0282325,0.0201093,0.0134377,0.00950054,0.013879,0.0370138,0,0.0121169,0.0713513,0.0314273,0,0,0.0235106,0,0,0.044807,0.0558831,0.0326054,0.04123,0.00719949,0.0570231,0.0442417,0,0,0.0692928,0.0173528,0.0597634,0.0451879,0.0767993,0.0157873,0.0170284,0.00768813,0.0267978,0.030347,0.0231122,0,0.0399242
