Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,,RTIBA
870,0.02296,0,0,0,0,0.0535179,0,0,0,0,0,0,0.0299217,0,0.0253536,0.072622,0,0,0.00848848,0,0,0.0366728,0.0786574,0.0194964,0.0185193,0.0128668,0.0267498,0.0302437,0.0753433,0.0446657,0.09467,0.0159242,0.0165076,0.0267725,0.0280212,0.0154845,0.0153849,0.00781542,0.0163413,0.0325153,0,0.0121304,0.0695713,0.0318254,0,0,0.0177204,0,0,0.0314673,0.0550344,0.0330187,0.037097,0.0057425,0.0519128,0.0366663,0.0505739,0,0.0694548,0.018299,0.0618762,0.0466199,0.0770999,0.0187862,0.0192751,0.0187802,0,0.0336885,0.0243828,0,0.0416567
871,0.0224931,0,0,0,0,0.05202,0,0,0,0,0,0,0.0301608,0,0.025838,0.0731761,0,0,0.00840247,0,0,0.0365247,0.0791045,0.0198278,0.0194017,0.0126323,0.0254809,0.0309999,0.0748749,0.0442318,0.0940356,0.0162421,0.0167111,0.0267002,0.0279088,0.0151714,0.0172514,0.00806909,0.0160899,0.0328728,0,0.01211,0.0694754,0.0303077,0,0,0.0254177,0,0,0.0421012,0.0551507,0.0329424,0.0376715,0.00569302,0.0519057,0.0399576,0.0504586,0,0.0694754,0.0184759,0.0618919,0.0466387,0.0771582,0.018435,0.0168166,0.0073945,0.023537,0.0320261,0.0249004,0,0.0417229
872,0.0234646,0,0,0,0,0.0519019,0,0,0,0,0,0,0.0298769,0,0.0258604,0.072724,0,0,0.00833678,0,0,0.0365093,0.0793808,0.0199255,0.019869,0.0128368,0.0260249,0.0304061,0.0748089,0.044645,0.094363,0.0162535,0.0168211,0.0268598,0.0280738,0.0156587,0.0182653,0.00772808,0.0163169,0.0351511,0,0.0118446,0.0715262,0.031442,0,0,0.0248619,0,0,0.042083,0.0538566,0.0336339,0.0418392,0.00839653,0.054672,0.0395573,0,0,0.0689036,0.0171837,0.0599273,0.0449524,0.076003,0.0167486,0.0170158,0.00703402,0.02369,0.0324808,0.0237766,0,0.0405947
873,0.0213593,0,0,0,0,0.0503054,0,0,0,0,0,0,0.0298056,0,0.025559,0.0730129,0,0,0.00749171,0,0,0.0368426,0.0786051,0.0195052,0.0178589,0.0123848,0.0262583,0.033414,0.0749366,0.0444027,0.0941297,0.0159647,0.0165042,0.0266393,0.0278267,0.015739,0.016383,0.00827273,0.0172455,0.0271904,0,0.014844,0.067543,0.0301104,0,0,0.0252793,0,0,0.0422054,0.058143,0.0288241,0.0327917,0.00516045,0.049453,0.0399569,0.0462111,0.0756701,0.0664773,0.0181708,0.0658993,0.0510482,0.0814875,0.0242579,0.0172834,0.00821703,0.0231912,0.0301841,0.026195,0,0.0437339
874,0.0214281,0,0,0,0,0.0498354,0,0,0,0,0,0,0.029688,0,0.0255007,0.0729154,0,0,0.00725829,0,0,0.0370153,0.078541,0.0194839,0.0177214,0.0123647,0.0265547,0.0337399,0.0750113,0.0444508,0.0942232,0.0159244,0.0164767,0.0266604,0.027817,0.0158781,0.0163373,0.00837251,0.0175495,0.0271333,0,0.0148663,0.0674913,0.0304027,0,0,0.0250062,0,0,0.0421428,0.0580901,0.0288189,0.0327277,0.00517769,0.049639,0.0398901,0.046232,0.0757721,0.0666193,0.0181894,0.0658836,0.050986,0.0815226,0.0243352,0.0176267,0.00844782,0.0229068,0.0298717,0.0262142,0,0.0436954
875,0.0217292,0,0,0,0,0.050764,0,0,0,0,0,0,0.0295704,0,0.0254389,0.0728328,0,0,0.00725665,0,0,0.0372736,0.0784656,0.0194629,0.0175882,0.0123356,0.0268169,0.031132,0.0750897,0.0445034,0.0943411,0.0158897,0.0164575,0.026675,0.0278257,0.0159415,0.0153528,0.00775768,0.0182947,0.0270672,0,0.0148716,0.0674852,0.0295855,0,0,0.0241586,0,0,0.0422957,0.0580567,0.028787,0.0326931,0.0052029,0.0500201,0.0402406,0.04623,0.0757831,0.0668139,0.0181642,0.0658735,0.0509454,0.0815369,0.0244075,0.0183795,0.00741611,0.0233781,0.0307603,0.0262597,0,0.0436724
876,0.0218886,0,0,0,0,0.0507282,0,0,0,0,0,0,0.0295067,0,0.0253516,0.0728235,0,0,0.00723446,0,0,0.0374648,0.0783611,0.0194107,0.0173727,0.0123501,0.0270643,0.0306999,0.0751345,0.0446268,0.0944608,0.0158353,0.016429,0.0266619,0.0278576,0.0160158,0.0151155,0.00778996,0.0185124,0.026999,0,0.014837,0.0674885,0.0296171,0,0,0.0238536,0,0,0.0425239,0.0580381,0.0288134,0.0325945,0.00517433,0.0506655,0.0403918,0.0462755,0.0758125,0.066837,0.0181318,0.0658388,0.0509038,0.0814822,0.0244744,0.0188259,0.00757134,0.0235066,0.0308007,0.0262007,0,0.0436379
877,0.0220223,0,0,0,0,0.0506878,0,0,0,0,0,0,0.0294824,0,0.0252736,0.072736,0,0,0.00724322,0,0,0.0376419,0.0782923,0.0193602,0.0171139,0.0123801,0.0274678,0.0303205,0.0751596,0.0447362,0.0945367,0.0157846,0.0164038,0.0266776,0.027873,0.0161226,0.0148692,0.00774099,0.018803,0.0268954,0,0.0148256,0.0676149,0.0296759,0,0,0.0236443,0,0,0.0428226,0.0580379,0.0289051,0.0323296,0.00511115,0.0506328,0.0405713,0.0463563,0.0758857,0.0667104,0.0181195,0.0657943,0.0508553,0.0814295,0.0245905,0.0190937,0.00768776,0.0237652,0.0308214,0.0261393,0,0.0435909
878,0.022125,0,0,0,0,0.0506799,0,0,0,0,0,0,0.0294803,0,0.0252408,0.0725083,0,0,0.00730489,0,0,0.0378419,0.0782352,0.0193186,0.0172839,0.0124,0.0278479,0.0300308,0.0752429,0.0447975,0.094593,0.0157482,0.0163774,0.0267167,0.0278755,0.0161672,0.0146176,0.00767478,0.0190668,0.0267381,0,0.0148719,0.0676958,0.0297081,0,0,0.0234761,0,0,0.0431662,0.0579887,0.028992,0.032239,0.0050443,0.0504537,0.040709,0.0464218,0.0759294,0.0667054,0.0181203,0.0657385,0.0507832,0.0813908,0.0247692,0.0192889,0.00778991,0.0239941,0.0308543,0.0261368,0,0.043519
879,0.0221776,0,0,0,0,0.0507108,0,0,0,0,0,0,0.0295163,0,0.0252125,0.0722943,0,0,0.00755591,0,0,0.0380316,0.0782114,0.0192821,0.0174212,0.0124553,0.0281361,0.0298966,0.0753073,0.0448017,0.0946251,0.0157272,0.0163642,0.0266924,0.0278809,0.0161158,0.0142383,0.00771172,0.0192162,0.0265796,0,0.0148886,0.0676869,0.0297707,0,0,0.0232865,0,0,0.0435734,0.057984,0.0289935,0.0322505,0.0050043,0.0503382,0.0408647,0.0464571,0.0759698,0.0667784,0.0180715,0.0657336,0.0507717,0.0814049,0.024929,0.0196022,0.00789248,0.0240715,0.0309138,0.0261439,0,0.043483
880,0.0222701,0,0,0,0,0.0506914,0,0,0,0,0,0,0.0294482,0,0.0251375,0.0722571,0,0,0.00791277,0,0,0.0381592,0.0781547,0.0192433,0.0172319,0.0124752,0.028188,0.0297633,0.0753189,0.0448576,0.0946845,0.0157007,0.0163464,0.026673,0.0279112,0.0161397,0.0138614,0.00771286,0.0193679,0.0265379,0,0.0148857,0.0675951,0.0298653,0,0,0.0231736,0,0,0.0438552,0.057982,0.0290198,0.0321755,0.00499199,0.0502758,0.0410118,0.0464599,0.0759851,0.0667155,0.0180446,0.0657384,0.0507672,0.0813971,0.0250032,0.0198707,0.00817655,0.0238808,0.0309424,0.0260727,0,0.0434773
881,0.0223757,0,0,0,0,0.0506761,0,0,0,0,0,0,0.0294012,0,0.0250633,0.0721973,0,0,0.00850066,0,0,0.0382463,0.0781007,0.0192039,0.0170961,0.0124572,0.0282321,0.0297521,0.0753321,0.0449347,0.094748,0.0156569,0.0163157,0.0266973,0.0279152,0.0161614,0.01332,0.00800762,0.0193122,0.0265046,0,0.0148911,0.0675554,0.0300134,0,0,0.0231211,0,0,0.0445214,0.0579872,0.0290516,0.0320497,0.00499802,0.0502368,0.0411728,0.0464683,0.0759813,0.0666711,0.0180173,0.0657437,0.0507425,0.0813926,0.0250857,0.019954,0.00849134,0.0244538,0.03095,0.025998,0,0.0434945
882,0.0223548,0,0,0,0,0.0503423,0,0,0,0,0,0,0.0294924,0,0.025211,0.0723848,0,0,0.00908526,0,0,0.0382209,0.0782708,0.0193038,0.01731,0.0123317,0.0278669,0.0298713,0.0752101,0.0447736,0.0945442,0.0157645,0.0163757,0.0266663,0.0278624,0.0160304,0.0130659,0.00888751,0.0188221,0.0265746,0,0.01488,0.0674736,0.0295946,0,0,0.0216568,0,0,0.0364766,0.0580507,0.0290608,0.0321467,0.00499348,0.050268,0.0413672,0.0464307,0.0759266,0.0666645,0.0180524,0.0657645,0.0507518,0.0814078,0.0250075,0.022068,0.0210112,0,0.0305481,0.0262173,0,0.0435425
883,0.0224511,0,0,0,0,0.0503351,0,0,0,0,0,0,0.0295325,0,0.02516,0.0724248,0,0,0.0101896,0,0,0.0382565,0.0782143,0.0192353,0.0172041,0.0123366,0.0280251,0.030074,0.075368,0.0447717,0.0945966,0.0156986,0.0163364,0.0266825,0.0278429,0.0159626,0.0123345,0.00981706,0.0182925,0.0265288,0,0.0148892,0.0675412,0.0296839,0,0,0.0210436,0,0,0.0371518,0.0580065,0.029108,0.0320224,0.00501151,0.0502296,0.0415188,0.0464254,0.0759398,0.0666843,0.0180906,0.0657523,0.050748,0.0814089,0.0250693,0.022381,0.0215233,0,0.0305232,0.0262359,0,0.0435203
