Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,,LWRA
125,0.0293848,0,0,0,0,0.0498538,0,0,0,0,0,0,0.0176564,0,0.0222391,0.0653866,0,0,0.0263065,0,0,0.043406,0.0734143,0.0234431,0.00883418,0.014368,0.0413257,0.0340828,0.0500147,0.052645,0.0346637,0.0108586,0.0122088,0.0275797,0.0272669,0.0370051,0.00858256,0.0254657,0.0416599,0,0.013044,0.0652679,0.0334798,0,0,0.0240297,0,0,0.0503738,0.0525971,0.0320404,0.0171798,0.0108844,0.0492301,0.0447992,0.044375,0.128162,0.056995,0.0275148,0.0596301,0.0362071,0.0458833,0.0786425,0.0147168,0.0139858,0.0252173,0.0220055,0.0275777,0.0235179,0,0.0371998
126,0.0293974,0,0,0,0,0.049806,0,0,0,0,0,0,0.0177293,0,0.0222682,0.0654847,0,0,0.0263833,0,0,0.0433006,0.0734506,0.0234964,0.00876407,0.0144277,0.0412905,0.0341874,0.0499853,0.0525677,0.0345695,0.0109032,0.012395,0.0275135,0.027318,0.0369015,0.00833867,0.0259996,0.0415094,0,0.013095,0.0651189,0.0334006,0,0,0.0240301,0,0,0.0502834,0.0527336,0.0322161,0.0170685,0.0106886,0.0492894,0.0448679,0.0443854,0.128219,0.0569286,0.0275259,0.0595613,0.0361537,0.0458294,0.0784284,0.0147614,0.0139268,0.0249391,0.0220167,0.0275826,0.0236118,0,0.0371927
127,0.0293884,0,0,0,0,0.0497961,0,0,0,0,0,0,0.0177243,0,0.0223096,0.0656663,0,0,0.026516,0,0,0.0432844,0.0734963,0.0235035,0.00859257,0.0145001,0.0412518,0.0343702,0.04997,0.0524578,0.0344648,0.0111298,0.012505,0.0272219,0.0273959,0.0369003,0.00824675,0.0263276,0.0413146,0,0.0131093,0.0649488,0.0333422,0,0,0.0240072,0,0,0.0503453,0.0528008,0.0323294,0.0169452,0.0105164,0.049342,0.0448992,0.0443297,0.12828,0.0568659,0.0274732,0.0595024,0.0360619,0.0457475,0.0782793,0.0147659,0.0138592,0.0248037,0.0219747,0.0276055,0.0237424,0,0.0372351
128,0.0293953,0,0,0,0,0.0498978,0,0,0,0,0,0,0.0177262,0,0.0223622,0.0656564,0,0,0.0266726,0,0,0.0433244,0.0735269,0.0235221,0.00866004,0.0144961,0.041288,0.0345354,0.0498948,0.0523597,0.0343964,0.0111912,0.0124009,0.0270872,0.0274256,0.0368498,0.00828093,0.0263712,0.0411836,0,0.012985,0.0647434,0.0333048,0,0,0.0239351,0,0,0.0502705,0.052913,0.0323584,0.0168222,0.0102568,0.049486,0.0448945,0.0442652,0.128345,0.0567057,0.0274765,0.0593897,0.0359103,0.0456494,0.0780889,0.0147648,0.0139004,0.0247274,0.0219849,0.0276972,0.0239099,0,0.0371747
129,0.0293948,0,0,0,0,0.0500516,0,0,0,0,0,0,0.017717,0,0.022459,0.0657462,0,0,0.0268602,0,0,0.043387,0.0735706,0.0235829,0.00863599,0.0144431,0.0413012,0.034709,0.0497938,0.0522682,0.0343466,0.0111081,0.0121636,0.0270712,0.0274509,0.0367923,0.00836661,0.0261348,0.0410059,0,0.0130183,0.0645104,0.0332912,0,0,0.0238484,0,0,0.0501481,0.0530635,0.0326359,0.0167125,0.0100366,0.0496008,0.044898,0.0442111,0.128374,0.05656,0.0274475,0.0592929,0.0357247,0.0455767,0.0779627,0.0148818,0.0139403,0.0246113,0.0220111,0.0278067,0.0240695,0,0.036971
130,0.0293788,0,0,0,0,0.050094,0,0,0,0,0,0,0.0177193,0,0.0225538,0.0656734,0,0,0.027044,0,0,0.0434088,0.0735831,0.0236409,0.00873597,0.0146217,0.0413506,0.0348877,0.0496527,0.0521367,0.0342663,0.0110852,0.0121554,0.0269282,0.0274225,0.0365823,0.00838988,0.0262676,0.0407561,0,0.0129827,0.0643721,0.0332259,0,0,0.0237778,0,0,0.0500417,0.0532485,0.0329568,0.0166102,0.00994265,0.0497498,0.0449639,0.0441013,0.128423,0.0564192,0.0274397,0.0592098,0.0356084,0.0455251,0.07795,0.0149633,0.0139644,0.0243862,0.0219561,0.027945,0.0242281,0,0.0369473
131,0.0293574,0,0,0,0,0.0500342,0,0,0,0,0,0,0.0176771,0,0.022618,0.065648,0,0,0.0272146,0,0,0.0434215,0.073618,0.0236613,0.00879429,0.0147068,0.0413471,0.0351024,0.049522,0.0520069,0.0341574,0.0112364,0.0118757,0.0266613,0.0273745,0.0364461,0.00841101,0.0264769,0.0404051,0,0.0128584,0.0641806,0.0331186,0,0,0.0237426,0,0,0.0500532,0.0534444,0.0331525,0.0164964,0.00970718,0.0498763,0.045089,0.0439779,0.128529,0.056345,0.0274423,0.0591128,0.035518,0.0454737,0.0777099,0.015033,0.0140365,0.0242392,0.0218539,0.0280637,0.0243744,0,0.0369253
132,0.0293745,0,0,0,0,0.0500029,0,0,0,0,0,0,0.0177022,0,0.0226449,0.0656869,0,0,0.0273495,0,0,0.043443,0.0736586,0.0237058,0.00882089,0.0146992,0.0413281,0.0353039,0.0494861,0.0519554,0.0340763,0.0113425,0.0115732,0.0266629,0.0273868,0.0364093,0.0084383,0.0265959,0.0399891,0,0.012734,0.064021,0.0330246,0,0,0.0236814,0,0,0.0500818,0.0537046,0.0332626,0.0163841,0.00931057,0.0499893,0.0452316,0.0439308,0.128653,0.056301,0.0274719,0.0590211,0.0354686,0.0453986,0.077431,0.0151387,0.0141927,0.024145,0.0217821,0.0281624,0.0244586,0,0.0368507
133,0.0294123,0,0,0,0,0.0500231,0,0,0,0,0,0,0.0177939,0,0.0226954,0.0658124,0,0,0.0274619,0,0,0.0434616,0.0736591,0.0238141,0.00882887,0.0147027,0.0412905,0.0355087,0.049511,0.0519827,0.0340242,0.0113462,0.0116242,0.0267955,0.0273965,0.036291,0.00850167,0.0265843,0.039529,0,0.0126452,0.0637799,0.0329327,0,0,0.0236103,0,0,0.0501104,0.0540024,0.0334578,0.0162421,0.0087966,0.0500444,0.0453519,0.0439476,0.128761,0.0561768,0.0274901,0.0589086,0.0354534,0.0452684,0.0772116,0.0153523,0.0143084,0.0240339,0.02176,0.0282748,0.0245072,0,0.0366853
134,0.0294328,0,0,0,0,0.0500755,0,0,0,0,0,0,0.0178789,0,0.0228054,0.0660609,0,0,0.0275993,0,0,0.0434793,0.0736734,0.0239609,0.0087028,0.0147746,0.0412308,0.0357341,0.0495109,0.0519606,0.0339568,0.0113817,0.0117745,0.0269083,0.0273826,0.0361616,0.00857709,0.0265602,0.0387707,0,0.0126243,0.0635345,0.0328204,0,0,0.0235817,0,0,0.0501364,0.0542481,0.033783,0.0160798,0.00868451,0.0500623,0.0454558,0.0438724,0.128898,0.0560156,0.0275472,0.0587662,0.035275,0.045084,0.0770608,0.0156793,0.0144001,0.0238275,0.021748,0.0283273,0.024568,0,0.0365161
135,0.0294415,0,0,0,0,0.0501216,0,0,0,0,0,0,0.0178558,0,0.0227227,0.0661775,0,0,0.0277125,0,0,0.0435357,0.073682,0.023991,0.00874612,0.0148825,0.0412666,0.0359104,0.0494582,0.0519101,0.0338951,0.0114332,0.0117077,0.0270449,0.0274521,0.0360992,0.00861822,0.0265789,0.0378643,0,0.0126489,0.0633309,0.0327181,0,0,0.0235827,0,0,0.050063,0.0544916,0.0340357,0.0159162,0.00856507,0.0501755,0.045628,0.0437937,0.129083,0.0557994,0.0276247,0.0586257,0.035017,0.0449169,0.0769416,0.0160848,0.0145947,0.0235489,0.0218597,0.0283626,0.0246541,0,0.0364104
136,0.0300082,0,0,0,0,0.0501061,0,0,0,0,0,0,0.021438,0,0,0.0678375,0,0,0.0275807,0,0,0.0434883,0.0732061,0.019655,0.00698134,0.0163378,0.0412172,0.0357365,0,0.0547012,0.0344826,0.00846544,0.00728747,0.0271779,0.0267607,0.0249476,0.00862625,0.0265011,0.0367343,0,0.012776,0.0615616,0.032922,0,0,0.0233705,0,0,0.0499621,0.0547805,0.0343685,0.0155045,0.0078835,0.0500969,0.0453931,0.0440821,0.129023,0.0557095,0.0271699,0.0584914,0.0349252,0.0447503,0.0766256,0.0166602,0.0145345,0.0233186,0.0219034,0.0286662,0.0242137,0,0.0362607
137,0.0294249,0,0,0,0,0.0499095,0,0,0,0,0,0,0.0180871,0,0.0226338,0.0660081,0,0,0.0278503,0,0,0.0435718,0.0736336,0.0239771,0.00923098,0.0154101,0.0414792,0.0362181,0.0493469,0.0518463,0.0337608,0.0116106,0.0120013,0.0271375,0.0275479,0.035642,0.0087664,0.0266102,0.0356235,0,0.0127486,0.0629245,0.0325295,0,0,0.0235494,0,0,0.0500078,0.0552308,0.0345408,0.0156676,0.00836554,0.0505998,0.0460549,0.0435752,0.129548,0.0553773,0.0278603,0.0583622,0.0348937,0.0445997,0.0763831,0.0175361,0.0146321,0.0228916,0.021991,0.0285257,0.0248882,0,0.0360315
