Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LWRA,RTIBA,
All Timesteps RMSE,0.023616,0,0,0,0,0.0481166,0,0,0,0,0,0,0.0292057,0,0.0197311,0.0696625,0,0,0.0228213,0,0,0.0382288,0.0696054,0.0208736,0.00781905,0.0176038,0.0367088,0.0391896,0.046831,0.0576092,0.0371347,0.0110411,0.012991,0.027123,0.0278241,0.0228259,0.0120036,0.0230561,0.0340376,0,0.0151924,0.0628264,0.0338504,0,0,0.0155739,0,0,0.0495738,0.0585367,0.0305738,0.0201434,0.0118653,0.0473892,0.0408936,0.0461851,0.0793988,0.0745702,0.0295604,0.0621841,0.0478669,0.0797664,0.0250795,0.0205355,0.0250159,0.0285761,0.0281622,0.0282373,0.0275269,0.0390016,0
0,0.0225629,0,0,0,0,0.0474717,0,0,0,0,0,0,0.0283763,0,0.0207377,0.0687288,0,0,0.0141458,0,0,0.0299523,0.0730708,0.0195121,0.00800881,0.0180876,0.0322325,0.037749,0.0453753,0.0551239,0.0374894,0.011348,0.0145085,0.0275069,0.0276347,0.0174593,0.0125213,0.0205906,0.0397089,0,0.0212067,0.064552,0.0301458,0,0,0.0216841,0,0,0.0454211,0.0587092,0.0225372,0.0176987,0.0178425,0.0425107,0.0458637,0.0458959,0.0770672,0.0695591,0.0266942,0.0658982,0.0516431,0.0843555,0.01193,0.0187542,0.00758486,0.0294793,0.0278884,0.0265655,0,0,0
1,0.0224843,0,0,0,0,0.047837,0,0,0,0,0,0,0.0280941,0,0.0210296,0.0687502,0,0,0.0182378,0,0,0.034573,0.0726103,0.0192853,0.00802075,0.0182449,0.0331833,0.0394528,0.0455126,0.0554527,0.037832,0.011494,0.0145501,0.0273348,0.0274951,0.0177701,0.0103664,0.018277,0.0395508,0,0.0210856,0.0645302,0.0310148,0,0,0.0118,0,0,0.0482553,0.0587102,0.0226167,0.0178409,0.0175028,0.0428738,0.0441352,0.0457364,0.0770634,0.0695404,0.0265623,0.0659399,0.0516961,0.0843443,0.0120313,0.0217053,0.00852601,0.0296867,0.0285192,0.0264161,0.00695072,0,0
2,0.0220846,0,0,0,0,0.0467894,0,0,0,0,0,0,0.0281483,0,0.0213561,0.0689856,0,0,0.0153645,0,0,0.0296605,0.0724236,0.0190828,0.00799613,0.0182559,0.0328461,0.0384399,0.0453314,0.0553471,0.037817,0.0115824,0.0143712,0.0271616,0.0273643,0.0178557,0.011179,0.0206087,0.0393278,0,0.0210522,0.0645157,0.0314025,0,0,0.01179,0,0,0.0483111,0.0588876,0.0226036,0.0179072,0.017456,0.0429586,0.0435678,0.0457007,0.0769473,0.0694844,0.0265041,0.0660694,0.0517711,0.0844183,0.0121352,0.0212301,0.00830357,0.0296768,0.0275183,0.0265472,0,0,0
3,0.021758,0,0,0,0,0.0471981,0,0,0,0,0,0,0.0281685,0,0.0216777,0.0693822,0,0,0.0187994,0,0,0.0344785,0.0723856,0.0188851,0.00794615,0.0181612,0.0322497,0.0403729,0.0450099,0.0550836,0.0374727,0.0115259,0.0141243,0.0269652,0.0272513,0.0178253,0.00997877,0.0182722,0.0391473,0,0.0210157,0.0644978,0.0314909,0,0,0.0110893,0,0,0.0480453,0.0590744,0.0224727,0.0179446,0.0174514,0.0428776,0.0428516,0.0456489,0.0768546,0.0694251,0.0265073,0.0661426,0.0517878,0.084492,0.0121809,0.0214163,0.00817041,0.029124,0.027858,0.0267615,0.00701145,0,0
4,0.0210513,0,0,0,0,0.0470891,0,0,0,0,0,0,0.0283373,0,0.0219681,0.069588,0,0,0.0295228,0,0,0.0255189,0.0726261,0.0187085,0.00836495,0.017921,0.0316139,0.0412873,0.0444951,0.0546218,0.0370297,0.0114819,0.013842,0.0266538,0.027094,0.0175427,0.00660238,0.0190554,0.0391377,0,0.0211139,0.0647638,0.032021,0,0,0.0104419,0,0,0.0478137,0.059459,0.022213,0.0175733,0.0175452,0.0421365,0.042146,0.0452498,0.0765681,0.0691987,0.02639,0.0664262,0.0521055,0.0847969,0.012181,0.0216163,0.00802234,0.0286957,0.0276386,0.0270731,0,0,0
5,0.0205201,0,0,0,0,0.0459229,0,0,0,0,0,0,0.0279007,0,0.0220068,0.0688112,0,0,0.0168513,0,0,0.0297592,0.0725366,0.0185227,0.00702611,0.0174113,0.0326158,0.04059,0.0445002,0.0542263,0.0360058,0.0113519,0.013681,0.0264703,0.0269806,0.0180809,0.0105661,0.0214881,0.0358523,0,0.0222543,0.0638777,0.0309526,0,0,0.0111267,0,0,0.047809,0.0618217,0.0196939,0.0148221,0.0204468,0.0420327,0.0419518,0.0437006,0.0739088,0.0665102,0.0246739,0.0690231,0,0.0877678,0.0137335,0.020369,0.0079337,0.0288529,0.0261422,0.0282312,0,0,0
6,0.0215292,0,0,0,0,0.0462588,0,0,0,0,0,0,0.0282102,0,0.0218787,0.0698801,0,0,0.0156238,0,0,0.0296807,0.0726739,0.0184734,0.00879853,0.0175626,0.0311764,0.0389558,0.0443706,0.0542884,0.0361544,0.0114264,0.0136159,0.0265342,0.0271203,0.017653,0.0110558,0.0207198,0.0431234,0,0.0203292,0.0650682,0.0317292,0,0,0.0109737,0,0,0.0476647,0.0584488,0.022029,0.0192122,0.027837,0.0431062,0.0413978,0,0.0771563,0.065305,0.0241424,0.0670987,0,0.0860727,0.0111368,0.0201059,0.00786544,0.0285166,0.0267754,0.0269542,0,0.0419131,0
7,0.0210795,0,0,0,0,0.0460115,0,0,0,0,0,0,0.0284306,0,0.0218229,0.0695425,0,0,0.0158836,0,0,0.0297353,0.0729326,0.018404,0.0084352,0.0174066,0.0314218,0.0396506,0.0441125,0.0539938,0.035692,0.0115068,0.013724,0.0265626,0.0271422,0.0173178,0.0111445,0.0213541,0.032698,0,0.0208857,0.0646017,0.0313668,0,0,0.0112371,0,0,0.0477177,0.0604547,0.0205604,0.0175908,0.0210353,0.042542,0.0412259,0.0448999,0.0752435,0.067848,0.0260028,0.0674036,0,0.0865371,0.0164404,0.0196385,0.0078766,0.0282478,0.0263183,0.0276369,0,0.0393408,0
8,0.021227,0,0,0,0,0.0460185,0,0,0,0,0,0,0.0286793,0,0.0216658,0.0695552,0,0,0.0157673,0,0,0.029759,0.0729714,0.0184515,0.00858648,0.0174528,0.0311085,0.0395238,0.0440429,0.0538924,0.0354722,0.0116615,0.0141237,0.0267494,0.0272862,0.0170068,0.0113109,0.0214341,0.0309704,0,0.0209765,0.0647187,0.0315179,0,0,0.0114606,0,0,0.0477356,0.0604026,0.0204473,0.0178776,0.020245,0.042604,0.0411222,0.0446826,0.0753439,0.0683759,0.0264242,0.0672327,0,0.0864719,0.0179625,0.019393,0.00786017,0.0281321,0.0263308,0.0275685,0,0.0444079,0
9,0.0219752,0,0,0,0,0.0469309,0,0,0,0,0,0,0.0292512,0,0.0214804,0.0704975,0,0,0.0183764,0,0,0.0340698,0.0730159,0.0185533,0.00999729,0.0179325,0.0301951,0.0399029,0.0439512,0.0539574,0.0358658,0.0119037,0.0145437,0.0269929,0.0274605,0.0163013,0.010585,0.0185272,0.0336314,0,0.0201853,0.065512,0.0321759,0,0,0.0113838,0,0,0.0475905,0.0581992,0.0236544,0.0209151,0.0188349,0.0432217,0.0410107,0.0464961,0.077951,0.0706308,0.0279808,0.0646455,0.0505527,0.083584,0.0160629,0.0197074,0.00777892,0.0279601,0.0274443,0.0266623,0.00723958,0.0412086,0
10,0.0220438,0,0,0,0,0.046835,0,0,0,0,0,0,0.0294865,0,0.0214303,0.0706558,0,0,0.0181734,0,0,0.0340416,0.0729902,0.0186409,0.0101135,0.0182115,0.0303604,0.0398659,0.043928,0.0539666,0.0358584,0.012047,0.0148264,0.027119,0.0275388,0.0160592,0.0106038,0.0187553,0.0334548,0,0.0203239,0.0654211,0.0324103,0,0,0.0117482,0,0,0.0475556,0.0582276,0.023778,0.0209748,0.0193851,0.0432047,0.041073,0.0465568,0.0778682,0.0704517,0.0278646,0.0646915,0.0505873,0.0836598,0.0161988,0.0194976,0.00762689,0.0279708,0.0273768,0.0266137,0.00713065,0.0402227,0
11,0.0234445,0,0,0,0,0.0472489,0,0,0,0,0,0,0.0298003,0,0.02152,0.0709042,0,0,0.0174192,0,0,0.0341972,0.0732245,0.0189174,0.0118357,0.0189446,0.0291412,0.0381304,0.0440128,0.0543805,0.03668,0.0123492,0.0151139,0.0272832,0.0277684,0.015675,0.0111281,0.0175686,0.0399855,0,0.017724,0.0680367,0.0337086,0,0,0.0117511,0,0,0.0474597,0.0531636,0.0267782,0.0263381,0.0153184,0.0443681,0.0408658,0.0501852,0,0.0740865,0.029835,0.0605593,0.0464045,0.0795324,0.0138998,0.0196496,0.0073549,0.0278045,0.0282528,0.0248208,0.00762831,0.0381881,0
12,0.0222488,0,0,0,0,0.046782,0,0,0,0,0,0,0.0295726,0,0.0214569,0.0708858,0,0,0.0179072,0,0,0.0345715,0.0728459,0.018673,0.0103096,0.018741,0.0303103,0.0397237,0.0437894,0.0541072,0.0361199,0.0122999,0.0150213,0.0271039,0.0276109,0.0159074,0.0106825,0.018665,0.0325451,0,0.0204613,0.0654209,0.0329242,0,0,0.0125073,0,0,0.047605,0.0581116,0.0238094,0.0214413,0.0202373,0.0432853,0.0414031,0.0465655,0.0778281,0.0704295,0.0279319,0.0646685,0.0505385,0.0837147,0.0169423,0.0194079,0.0075724,0.0279627,0.0273019,0.0263402,0.0070832,0.0402361,0
13,0.0236341,0,0,0,0,0.0472409,0,0,0,0,0,0,0.0297287,0,0.0215783,0.0710299,0,0,0.0172315,0,0,0.0349648,0.073084,0.0190058,0.011984,0.0192662,0.0288074,0.037919,0.043974,0.0544721,0.0371509,0.0125832,0.0151778,0.0272095,0.0278072,0.0158008,0.0113383,0.0172514,0.0393026,0,0.017759,0.0682002,0.0341903,0,0,0.0124032,0,0,0.0474833,0.0529855,0.0267579,0.0268851,0.0160783,0.0444766,0.0410272,0.0503125,0,0.0742028,0.0300522,0.0604958,0.04624,0.0795115,0.0140663,0.01979,0.00737212,0.0279713,0.028174,0.024492,0.00789117,0.038101,0
14,0.0235033,0,0,0,0,0.047176,0,0,0,0,0,0,0.0297033,0,0.0215867,0.0708185,0,0,0.0173404,0,0,0.035416,0.0730199,0.0193709,0.0117194,0.0191583,0.0287341,0.0380689,0.0441194,0.054467,0.0371474,0.0126214,0.0151078,0.0270458,0.0277249,0.0160905,0.0113482,0.0168985,0.0450034,0,0.0157327,0.0680321,0.0342022,0,0,0.012676,0,0,0.0474103,0.0525002,0.0274044,0.0263118,0.0108905,0.044323,0.0411806,0.0500957,0,0.0755048,0.0303444,0.0601634,0.0455506,0.0786972,0.0147217,0.0198766,0.00725179,0.0280478,0.0280138,0.0245277,0.00836896,0.0391873,0
15,0.0235344,0,0,0,0,0.0472171,0,0,0,0,0,0,0.0301218,0,0.0212313,0.0708717,0,0,0.0173516,0,0,0.0356419,0.0728248,0.0204962,0.0115859,0.0192026,0.028766,0.0379964,0.0444038,0.0545444,0.0372979,0.0126151,0.0150405,0.0265608,0.027484,0.0164483,0.0114218,0.0166394,0.0463732,0,0.0148427,0.0678581,0.0342968,0,0,0.012798,0,0,0.0472347,0.052543,0.0275482,0.0261046,0.00973418,0.0443261,0.041261,0.0499344,0,0.0757574,0.0303993,0.0601877,0.045495,0.0786779,0.0153884,0.0199795,0.00715428,0.0279765,0.0279724,0.0243812,0.00861557,0.0394186,0
16,0.0222907,0,0,0,0,0.0467754,0,0,0,0,0,0,0.0314107,0,0.0203414,0.0706822,0,0,0.0176253,0,0,0.0359263,0.0723779,0.0226997,0.00981583,0.0189497,0.0300785,0.0396594,0.0445041,0.0543287,0.0370276,0.0124321,0.0148432,0.025286,0.0266538,0.0172076,0.0110711,0.0179899,0.038048,0,0.0181973,0.0655501,0.0334431,0,0,0.0135491,0,0,0.0471784,0.0576179,0.0233947,0.021113,0.0154679,0.0430914,0.041668,0.0459316,0.0786251,0.0718454,0.0285034,0.0644969,0.0501036,0.083236,0.0134911,0.0196436,0.00763252,0.0277197,0.0269814,0.0258155,0.0081193,0.0411231,0
17,0.0223069,0,0,0,0,0.0467869,0,0,0,0,0,0,0.0322714,0,0.0200236,0.0706911,0,0,0.0175017,0,0,0.0360642,0.0722184,0.0241679,0.00960713,0.0190594,0.0301191,0.0396576,0.0446372,0.0543812,0.0373779,0.0124453,0.0149174,0.024689,0.0263319,0.0178107,0.0111858,0.0180687,0.0379746,0,0.0181302,0.0656683,0.0335449,0,0,0.0137484,0,0,0.0471189,0.0577754,0.0232139,0.0210484,0.0155208,0.0429822,0.0417638,0.0457789,0.0784557,0.0719176,0.028613,0.0645224,0.0503716,0.0833017,0.0135294,0.0196629,0.00777323,0.0275198,0.0269631,0.0256238,0.00814483,0.0411126,0
18,0.0235974,0,0,0,0,0.0472007,0,0,0,0,0,0,0.0325688,0,0.0200791,0.0707768,0,0,0.0167781,0,0,0.0361153,0.0723829,0.0247919,0.011012,0.0195868,0.0288739,0.0380285,0.0447164,0.0547147,0.0383881,0.012687,0.0151939,0.0247589,0.026536,0.0178838,0.0117606,0.0169922,0.0445596,0,0.0152431,0.0683156,0.0346167,0,0,0.0134995,0,0,0.0469222,0.0530347,0.0269211,0.0260216,0.0109147,0.0439797,0.0414345,0.0492834,0,0.0756695,0.0305988,0.0604168,0.0463014,0.0791521,0.0147556,0.0200075,0.00763477,0.0274765,0.0279075,0.0238655,0.00844073,0.0391382,0
19,0.0235686,0,0,0,0,0.047167,0,0,0,0,0,0,0.0331354,0,0.0199262,0.0707404,0,0,0.0167179,0,0,0.0361387,0.0723167,0.0257054,0.0109647,0.019642,0.0288047,0.0380529,0.0447231,0.0546351,0.0384853,0.0127632,0.0153118,0.0244425,0.0263778,0.0182493,0.0118913,0.0171077,0.045536,0,0.0145651,0.0683138,0.0346454,0,0,0.013627,0,0,0.0468292,0.0529539,0.0271714,0.0258627,0.0100978,0.0438404,0.0413892,0.0490951,0,0.0759018,0.0307193,0.0603781,0.0462458,0.0790794,0.0151621,0.019995,0.00751061,0.027678,0.0279398,0.0238011,0.00840461,0.0393174,0
20,0.0222656,0,0,0,0,0.046694,0,0,0,0,0,0,0.034386,0,0.0195307,0.0703958,0,0,0.0172353,0,0,0.0363007,0.0719716,0.0273214,0.00916551,0.0194179,0.030074,0.0398589,0.0446079,0.0543485,0.0379979,0.0126618,0.015264,0.0235439,0.0257589,0.0189886,0.0115067,0.0185079,0.0378055,0,0.0178929,0.0659783,0.0337189,0,0,0.014117,0,0,0.0467784,0.0580031,0.0227493,0.0207223,0.0156151,0.0426007,0.0414943,0.0451875,0.0780998,0.0719815,0.0287566,0.0646928,0.0506527,0.0835715,0.013616,0.0196736,0.0074431,0.028016,0.027019,0.0253491,0.00809541,0.0412564,0
21,0.0222389,0,0,0,0,0.0466756,0,0,0,0,0,0,0.0348656,0,0.0194811,0.0702883,0,0,0.0172456,0,0,0.0363257,0.0719728,0.0278429,0.00903814,0.0195369,0.0301061,0.039987,0.0445226,0.0543818,0.0381216,0.0127059,0.015269,0.0233027,0.0255913,0.0192209,0.0114403,0.0186922,0.0377534,0,0.0178553,0.0660498,0.0337756,0,0,0.0142447,0,0,0.0466474,0.0580949,0.0226711,0.0205539,0.0156705,0.0424719,0.0412762,0.0450218,0.0779696,0.071957,0.0287598,0.0647969,0.0507259,0.0836657,0.01366,0.0195961,0.00738448,0.0281929,0.027004,0.0253273,0.00808636,0.0413143,0
22,0.0231689,0,0,0,0,0.0468804,0,0,0,0,0,0,0.0404427,0,0,0.071927,0,0,0.0169279,0,0,0.0363053,0.0707898,0.027642,0.0100639,0.0196929,0.0299174,0.0396268,0,0.0560541,0.0378886,0.0101491,0.0113354,0.0225113,0.0244016,0.0104187,0.0117094,0.0185284,0.0377941,0,0.0178638,0.0650909,0.0342998,0,0,0.01406,0,0,0.0461918,0.0580991,0.0226768,0.0199261,0.0152557,0.0418876,0.0402315,0.0450411,0.0779142,0.0717512,0.0284177,0.065016,0.0509686,0.0837669,0.0135708,0.0194608,0.00725953,0.0277584,0.0274114,0.0244223,0.00809329,0.041551,0
23,0.0237589,0,0,0,0,0.0496115,0,0,0,0,0,0,0.0293848,0,0.0199591,0.0702825,0,0,0.0189182,0,0,0.0355973,0.0709825,0.0238448,0.00874576,0.0193755,0.0333533,0.03603,0.0469251,0.0555505,0.0372342,0.0126288,0.0157639,0.0261334,0.0275498,0.020897,0.00994413,0.0197875,0.0341161,0,0.0188177,0.0637196,0.0337681,0,0,0.0144775,0,0,0.0549315,0.0596227,0.02003,0.0173662,0.0171818,0.0423907,0.0388098,0.0437145,0.0756723,0.0693401,0.0262134,0.0674302,0,0.086516,0.0155904,0.0268155,0.00909442,0.0242636,0.0300643,0.0251404,0.00735888,0.0428606,0
24,0.0239406,0,0,0,0,0.0500323,0,0,0,0,0,0,0.0291627,0,0.0201164,0.0702235,0,0,0.0184397,0,0,0.0354455,0.0709859,0.0235867,0.00874863,0.0194408,0.0331475,0.0364204,0.0469517,0.0556269,0.0372953,0.0126255,0.0157818,0.0262571,0.0276651,0.0208534,0.0109538,0.019582,0.0343319,0,0.0188789,0.0640006,0.0330075,0,0,0.0102669,0,0,0.043337,0.0599862,0.0198076,0.0168526,0.0171468,0.041743,0.0367517,0.0434379,0.0751309,0.0692066,0.0261339,0.0676766,0,0.0867854,0.0153968,0.0265359,0.0115001,0.0311398,0.030103,0.0253549,0.00747372,0.0431781,0
25,0.0232743,0,0,0,0,0.0474329,0,0,0,0,0,0,0.0309823,0,0.0206004,0.0720206,0,0,0.0168714,0,0,0.0357711,0.07224,0.0247034,0.0109541,0.018823,0.0289834,0.0384414,0.0454363,0.0541571,0.0366383,0.0126311,0.0153892,0.0248859,0.0264353,0.0201179,0.0122649,0.0181906,0.0375811,0,0.0176728,0.0650853,0.0332473,0,0,0.0144256,0,0,0.0467032,0.058076,0.0230945,0.0210324,0.0150365,0.0423835,0.0409854,0.0453828,0.077318,0.0719235,0.0283202,0.0647754,0.0508,0.0836244,0.0137505,0.0190049,0.00711845,0.027892,0.0279088,0.0248211,0.00827187,0.0414054,0
26,0.0232938,0,0,0,0,0.0470035,0,0,0,0,0,0,0.0307645,0,0.0207323,0.0719887,0,0,0.016983,0,0,0.0357193,0.0723637,0.0243229,0.0108818,0.0187032,0.0287782,0.0381107,0.0453839,0.0540777,0.0365187,0.0126925,0.0153917,0.0251035,0.0265552,0.0199744,0.0120708,0.0182695,0.0377981,0,0.017598,0.065101,0.0329761,0,0,0.0130234,0,0,0.0393379,0.0583038,0.0230686,0.0213048,0.0150752,0.0425686,0.040116,0.04545,0.0771994,0.0719908,0.0284194,0.0647149,0.0506667,0.0835642,0.013665,0.0193647,0,0.0279998,0.027711,0.025063,0.00835037,0.0413458,0
27,0.0233282,0,0,0,0,0.0469452,0,0,0,0,0,0,0.030831,0,0.020747,0.0718292,0,0,0.016958,0,0,0.0356907,0.0723988,0.0243082,0.0108064,0.0187255,0.0287303,0.0381042,0.0454407,0.0541302,0.0365259,0.0126631,0.0153586,0.025116,0.0265369,0.0198652,0.0118459,0.018327,0.0378879,0,0.017573,0.0650275,0.0330199,0,0,0.0132002,0,0,0.0394395,0.0583564,0.0229178,0.0215202,0.0151409,0.0427511,0.04013,0.045492,0.077259,0.0720435,0.0284854,0.0646906,0.0506339,0.083531,0.0136069,0.0193568,0,0.0278887,0.0277042,0.0250702,0.00827832,0.0412967,0
28,0.0233315,0,0,0,0,0.0469177,0,0,0,0,0,0,0.0308114,0,0.0207845,0.071724,0,0,0.0169654,0,0,0.0356245,0.0723956,0.0242422,0.0107728,0.0187263,0.0288195,0.037989,0.0454268,0.0541332,0.0365725,0.0126507,0.0153591,0.0251971,0.0265978,0.0198061,0.0117744,0.0183105,0.03805,0,0.0175342,0.0651081,0.0330541,0,0,0.0133785,0,0,0.0394722,0.058361,0.0228456,0.0216781,0.0153268,0.0429766,0.0400954,0.0454564,0.0772711,0.0720986,0.0285844,0.0646867,0.0506956,0.083498,0.013534,0.0193352,0,0.0277651,0.0276749,0.025104,0.00829683,0.0412738,0
29,0.0233246,0,0,0,0,0.0469062,0,0,0,0,0,0,0.0307751,0,0.0208087,0.0716352,0,0,0.0169376,0,0,0.03551,0.072372,0.0241684,0.0107499,0.0187136,0.0288641,0.0379117,0.0454064,0.0541081,0.0366241,0.0126805,0.0153089,0.0252689,0.0266673,0.0197992,0.0118049,0.0183687,0.0382048,0,0.0175168,0.0651176,0.0330736,0,0,0.0135008,0,0,0.039485,0.0583593,0.0229034,0.021819,0.0154957,0.0431638,0.0401067,0.0454208,0.0772063,0.072123,0.0286278,0.064697,0.0507376,0.0834697,0.0135012,0.0192272,0,0.0276358,0.0276643,0.0251281,0.00827397,0.0412089,0
30,0.0233214,0,0,0,0,0.0469051,0,0,0,0,0,0,0.0307618,0,0.0208106,0.0715311,0,0,0.0169283,0,0,0.0355387,0.0723739,0.0242162,0.010739,0.018711,0.0288287,0.0378443,0.0453856,0.0540845,0.036648,0.0127093,0.0151642,0.0252308,0.0266344,0.0199185,0.0118636,0.0184683,0.0383133,0,0.0175032,0.0650633,0.0330998,0,0,0.0136254,0,0,0.0395042,0.0583798,0.0229188,0.0219621,0.0156047,0.0433151,0.0400815,0.0453692,0.0771946,0.0721104,0.0286209,0.0646929,0.05071,0.0835017,0.0134553,0.0190942,0,0.0275771,0.0277166,0.0251302,0.00828136,0.0411809,0
31,0.0233255,0,0,0,0,0.0469213,0,0,0,0,0,0,0.0307205,0,0.0208495,0.0714956,0,0,0.0168946,0,0,0.0355285,0.0723832,0.0242011,0.0107456,0.0187373,0.0288491,0.0377976,0.0453673,0.0540902,0.0366724,0.0127081,0.0150911,0.02521,0.0266219,0.0199562,0.0119248,0.0184947,0.0384404,0,0.0175361,0.0650965,0.0331035,0,0,0.0137993,0,0,0.0394874,0.0584428,0.022972,0.0220632,0.0157218,0.0434728,0.0400098,0.0452278,0.0772095,0.0720779,0.0286214,0.0646691,0.0507239,0.0835392,0.0134215,0.0189615,0,0.0274655,0.0277602,0.0251515,0.00828823,0.0411829,0
32,0.0233447,0,0,0,0,0.0469695,0,0,0,0,0,0,0.0306359,0,0.0209183,0.0714452,0,0,0.0168288,0,0,0.035635,0.072394,0.0241563,0.010758,0.0187227,0.0287817,0.0377798,0.0453706,0.0540812,0.0367004,0.0127304,0.0150696,0.0252898,0.0266641,0.0199163,0.0120328,0.0185074,0.0386076,0,0.0175181,0.0650749,0.033103,0,0,0.0139488,0,0,0.0394675,0.0584114,0.0229611,0.0221946,0.0157612,0.0435788,0.0399172,0.0449874,0.0771854,0.0720537,0.0285896,0.0646464,0.050742,0.0835767,0.0134006,0.0188398,0,0.0273094,0.0278167,0.0251438,0.00835893,0.0412219,0
33,0.0233316,0,0,0,0,0.0469777,0,0,0,0,0,0,0.0306483,0,0.0209542,0.0714324,0,0,0.0167362,0,0,0.0356927,0.0724011,0.0243133,0.0108129,0.0187151,0.0287056,0.0376952,0.0453711,0.0540625,0.0367255,0.012733,0.0150468,0.0252731,0.026662,0.019948,0.012135,0.0184849,0.0387158,0,0.017473,0.0650337,0.0330928,0,0,0.0139332,0,0,0.0395907,0.0584227,0.0229533,0.0222662,0.0157812,0.0436529,0.039792,0.0449683,0.0771048,0.0720549,0.0285963,0.0646504,0.0507752,0.0835537,0.013385,0.0187643,0,0.0272512,0.0278576,0.0251445,0.00843316,0.0412599,0
34,0.0233066,0,0,0,0,0.0469751,0,0,0,0,0,0,0.0307649,0,0.0209434,0.0714712,0,0,0.016656,0,0,0.0356894,0.072395,0.0244965,0.0108591,0.0187277,0.0286379,0.0375562,0.0453878,0.0540757,0.0367502,0.0127069,0.0149991,0.0251235,0.0265758,0.0201411,0.0121576,0.0184229,0.0387677,0,0.0174305,0.0649847,0.0331065,0,0,0.0139434,0,0,0.0396526,0.0585073,0.0229394,0.0222924,0.0158086,0.0437051,0.0397229,0.0452051,0.0769953,0.072079,0.0286426,0.0646977,0.0507884,0.0835908,0.0133763,0.0187031,0,0.0271989,0.0278782,0.0251643,0.00847906,0.0412637,0
35,0.0232981,0,0,0,0,0.046992,0,0,0,0,0,0,0.0309506,0,0.0208926,0.0715303,0,0,0.016579,0,0,0.0356865,0.0723973,0.0247919,0.0108795,0.018742,0.0285903,0.0374622,0.0454146,0.0540725,0.036779,0.0126982,0.0149499,0.0249456,0.0264348,0.0203804,0.0121463,0.0183385,0.0387892,0,0.0173962,0.0649501,0.0331158,0,0,0.0140248,0,0,0.0397062,0.0585593,0.0228686,0.022345,0.0158329,0.043739,0.0396998,0.0452659,0.0769294,0.0721099,0.028692,0.0647904,0.050806,0.0835493,0.0133654,0.018671,0,0.0271484,0.0278808,0.0251645,0.00852029,0.0412502,0
36,0.0242438,0,0,0,0,0.0472278,0,0,0,0,0,0,0.0368661,0,0,0.0733105,0,0,0.0161596,0,0,0.0356727,0.0715843,0.0249125,0.0122735,0.0189283,0.0284978,0.0369165,0,0.0557387,0.036533,0.00981258,0.0107551,0.0238285,0.0249295,0.0111866,0.0126287,0.0178881,0.0387132,0,0.0174313,0.063909,0.033598,0,0,0.0136353,0,0,0.0395479,0.0584611,0.022855,0.0220243,0.0153829,0.0432706,0.0387461,0.045422,0.0769826,0.0719741,0.0282936,0.0649528,0.0509249,0.0835088,0.0132637,0.0185878,0,0.026642,0.0282669,0.0243271,0.00860506,0.0414176,0
37,0.0232664,0,0,0,0,0.0470706,0,0,0,0,0,0,0.0313954,0,0.0207097,0.0716518,0,0,0.0163976,0,0,0.0357287,0.072384,0.0254494,0.0109498,0.0187172,0.0285847,0.0372711,0.0454488,0.0540594,0.0367725,0.0127157,0.0150632,0.024637,0.0262209,0.0207014,0.0125058,0.0182602,0.0388021,0,0.0173397,0.0649197,0.0330798,0,0,0.0141629,0,0,0.0398391,0.0585977,0.0227982,0.0224668,0.0158522,0.043823,0.0396067,0.0451299,0.076856,0.0721792,0.0286692,0.0648656,0.0508643,0.0835251,0.0133557,0.0185867,0,0.027073,0.0279063,0.025181,0.00855335,0.0412718,0
38,0.0232377,0,0,0,0,0.0471371,0,0,0,0,0,0,0.0315862,0,0.0206997,0.0716662,0,0,0.016309,0,0,0.0357608,0.0723593,0.0257218,0.0109782,0.0187171,0.028591,0.0372092,0.0454523,0.0540468,0.0367554,0.0127119,0.0151447,0.0245003,0.0261537,0.0208207,0.0126097,0.0182131,0.0387347,0,0.0173124,0.0649097,0.0330947,0,0,0.0142911,0,0,0.0398137,0.0586017,0.0228374,0.0225111,0.0159328,0.0438511,0.0397897,0.0450656,0.0767974,0.0721713,0.028647,0.0648729,0.0508741,0.0835535,0.0134217,0.0184891,0,0.0270028,0.0279592,0.0251839,0.0085716,0.0412366,0
