Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LWRA,RTIBA,
307,0.0261831,0,0,0,0,0.0514611,0,0,0,0,0,0,0.0165494,0,0.021456,0.0646929,0,0,0.0311747,0,0,0.0452188,0.0612808,0.0260674,0.00403849,0.0149878,0.0432997,0.0425367,0.0557759,0.0692229,0.0427925,0.0114678,0.0149018,0.0292593,0.0306341,0.0478188,0.0124216,0.0254335,0.0297782,0,0.0136173,0.0653294,0.0331905,0,0,0.0164593,0,0,0.0516308,0.0590512,0.0279784,0.022195,0.00742243,0.0542127,0.0345034,0.04573,0.0798651,0.0757654,0.0298038,0.0612178,0.047295,0.0787838,0.0208503,0.0203259,0.0319162,0.0192774,0.0299671,0.0263802,0.0365548,0.0383126,0
308,0.0262542,0,0,0,0,0.0513323,0,0,0,0,0,0,0.0173568,0,0.0219069,0.064598,0,0,0.0308682,0,0,0.0451643,0.0612619,0.0265527,0.00433568,0.0143946,0.0437554,0.0423188,0.0552383,0.0691322,0.0428174,0.0125952,0.0156553,0.0299806,0.0314738,0.0483395,0.0122498,0.0253168,0.0305934,0,0.0136336,0.065712,0.0334137,0,0,0.0161244,0,0,0.0514741,0.0589108,0.0279562,0.0221222,0.00765032,0.0538292,0.0342223,0.0457945,0.0798083,0.0757433,0.0299153,0.0611795,0.047272,0.0788623,0.0198918,0.0201792,0.0319018,0.0192897,0.029863,0.0262862,0.0364372,0.0382296,0
309,0.0263411,0,0,0,0,0.0512194,0,0,0,0,0,0,0.0181047,0,0.0222743,0.0645411,0,0,0.0305261,0,0,0.0450345,0.0613506,0.0270227,0.00466107,0.0139295,0.0441658,0.0420794,0.054829,0.0690125,0.0426669,0.013726,0.0167213,0.0306703,0.0323143,0.0486498,0.0120531,0.0252661,0.0314084,0,0.013659,0.0660717,0.0336136,0,0,0.0157693,0,0,0.0513747,0.0587707,0.0277917,0.0220463,0.00795641,0.0534098,0.0339065,0.0459177,0.0798138,0.0757325,0.0300174,0.0611515,0.0472631,0.0789537,0.0189872,0.0200301,0.0319271,0.0192858,0.0297104,0.0262331,0.0363167,0.0381703,0
310,0.0264363,0,0,0,0,0.051138,0,0,0,0,0,0,0.0187435,0,0.0225951,0.0644828,0,0,0.0301767,0,0,0.044918,0.0615683,0.0273554,0.0050465,0.0136263,0.0445228,0.041841,0.0546601,0.0688526,0.0424102,0.0146948,0.0177733,0.0313465,0.0331639,0.049234,0.0118504,0.0252031,0.032275,0,0.013621,0.0664247,0.0337901,0,0,0.0154383,0,0,0.051265,0.0586066,0.0274862,0.0219877,0.00835038,0.0529828,0.0335807,0.046074,0.0798618,0.0757378,0.0300971,0.061185,0.0472881,0.0790387,0.0181074,0.0198906,0.0319662,0.0192827,0.0295243,0.0262408,0.0361949,0.0380689,0
311,0.0265458,0,0,0,0,0.0511087,0,0,0,0,0,0,0.0192372,0,0.0227935,0.0644474,0,0,0.0298466,0,0,0.0448142,0.0618368,0.0276211,0.00541375,0.0134344,0.0448045,0.0416198,0.0543768,0.0684711,0.0421416,0.0154531,0.0185353,0.0318822,0.0338741,0.0497356,0.011648,0.0251778,0.0331937,0,0.013545,0.0666836,0.0339389,0,0,0.0151637,0,0,0.0511653,0.0584106,0.027192,0.0219238,0.00874076,0.0525297,0.0332937,0.0462398,0.0798197,0.075745,0.030176,0.0611862,0.0473243,0.0791173,0.0172262,0.019722,0.0320359,0.0193032,0.0293223,0.0262541,0.0360842,0.0379453,0
312,0.0266882,0,0,0,0,0.0511133,0,0,0,0,0,0,0.0196764,0,0.0230342,0.0645155,0,0,0.0295756,0,0,0.0447239,0.0621885,0.0280968,0.00574487,0.0133005,0.0450536,0.0414219,0.0539706,0.0680718,0.0418728,0.0159765,0.0190084,0.0321619,0.0343459,0.0501433,0.0114828,0.0251457,0.0340595,0,0.0135406,0.0669081,0.0340675,0,0,0.014967,0,0,0.051115,0.0582122,0.0270248,0.0218563,0.00916534,0.05209,0.0330766,0.0463757,0.0798284,0.0757201,0.0302372,0.0611758,0.0473498,0.07923,0.0164591,0.0196243,0.0320964,0.0192978,0.0291184,0.0261872,0.0359479,0.0378361,0
313,0.0268983,0,0,0,0,0.0511496,0,0,0,0,0,0,0.020089,0,0.0232987,0.0646912,0,0,0.0293521,0,0,0.0446407,0.0626157,0.0283799,0.00607962,0.0131348,0.0452966,0.0412935,0.0536266,0.0677912,0.0416537,0.0163401,0.0191885,0.0322446,0.0346742,0.0508325,0.0113955,0.0250732,0.0349369,0,0.0136042,0.0671751,0.0341941,0,0,0.0148315,0,0,0.0511297,0.0579919,0.0269256,0.0217945,0.00958791,0.0516828,0.0329246,0.0464907,0.0798102,0.0756995,0.0303131,0.0611517,0.0473763,0.0793148,0.0157618,0.0195659,0.0321311,0.019272,0.0289326,0.0260658,0.0357593,0.037806,0
314,0.0271199,0,0,0,0,0.0512333,0,0,0,0,0,0,0.0205102,0,0.0235094,0.0644953,0,0,0.0291647,0,0,0.0445524,0.0631305,0.0285707,0.00641463,0.0131027,0.0456065,0.0411696,0.0533151,0.0674886,0.0414478,0.0165345,0.0192085,0.032389,0.0349122,0.0516815,0.0113079,0.0249986,0.0359118,0,0.0136721,0.0674724,0.0343018,0,0,0.0147315,0,0,0.0511008,0.0578074,0.0267893,0.0217189,0.0100293,0.0513664,0.0328365,0.0466101,0.0797,0.0756831,0.0304072,0.0611214,0.0473868,0.0793908,0.0151368,0.0194776,0.0321411,0.0192473,0.0288112,0.0259858,0.0355674,0.0378113,0
315,0.0272931,0,0,0,0,0.0513217,0,0,0,0,0,0,0.0208385,0,0.0236363,0.0641286,0,0,0.0290377,0,0,0.0444934,0.0636219,0.0287274,0.0066507,0.0131404,0.0457603,0.0411183,0.0530862,0.0672015,0.0413151,0.0166422,0.0191266,0.0326931,0.0350571,0.0528924,0.0112284,0.0249806,0.0368041,0,0.0137179,0.0678626,0.0344198,0,0,0.0147095,0,0,0.05108,0.0576248,0.0266488,0.0216724,0.0106157,0.0509613,0.0328554,0.0467624,0.079657,0.0756453,0.030525,0.0610948,0.0473627,0.0794754,0.014667,0.019444,0.0321236,0.0192523,0.0287665,0.0259835,0.0354121,0.0375958,0
316,0.0274646,0,0,0,0,0.051392,0,0,0,0,0,0,0.021249,0,0.0237328,0.0637098,0,0,0.028899,0,0,0.0444206,0.0640836,0.0289645,0.00694498,0.0130689,0.0459595,0.0410788,0.0529557,0.0669594,0.0411886,0.0168087,0.0192031,0.0328543,0.0352078,0.0539868,0.011144,0.0249894,0.0375933,0,0.0137947,0.0682581,0.0345678,0,0,0.0146786,0,0,0.0510381,0.0574569,0.0265385,0.0216259,0.0112089,0.0506025,0.0328746,0.0468648,0.079693,0.0755825,0.0306414,0.0610619,0.0473383,0.0795709,0.0142855,0.0193977,0.0320235,0.0192721,0.0287644,0.0259137,0.035298,0.0373975,0
