Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHI
All Timesteps RMSE,0.0217152,0,0,0,0,0.0490254,0,0,0,0,0,0,0.0262873,0,0.0199111,0.0665583,0,0,0.0221521,0,0,0.0366607,0.0678625,0.0218442,0.00813429,0.0209087,0.0380598,0.0340993,0.048106,0.0599433,0.0419928,0.0122012,0.0126616,0.0277968,0.0289819,0.0226625,0.0133268,0.0321505,0.0229554,0.0389498,0,0.0142683,0.0658327,0.0316186,0,0,0.0208885,0,0,0.0471506,0.0575316,0.030789,0.0245691,0.0138498,0.0514929,0.041424,0.0822557,0.075986,0.0317865,0.0609619,0.0369722,0.0466474,0.0791241,0.0215158,0.0191521,0.0202677,0.0208202,0.0294931,0.0298074,0.0492712
0,0.0226343,0,0,0,0,0.0508795,0,0,0,0,0,0,0.0242594,0,0.0217835,0.0661458,0,0,0.023092,0,0,0.0430351,0.0700911,0.0262085,0.00693295,0.0197327,0.0339066,0.0247302,0.0483211,0.0575701,0.0423322,0.0141723,0.0146121,0.0287551,0.0302308,0.0239654,0.0111909,0.0430115,0.0294519,0.0381339,0,0.013749,0.0674589,0.0340469,0,0,0.0200628,0,0,0.0479314,0.05599,0.028182,0.0266032,0.0191185,0.0534366,0.0417629,0.0842615,0.0762536,0.0325907,0.0615232,0.0366987,0.0479556,0.0800183,0.014424,0.021571,0.0200477,0.0194905,0.0331113,0.0261169,0
1,0.022589,0,0,0,0,0.0509692,0,0,0,0,0,0,0.0241011,0,0.021751,0.0662098,0,0,0.0221975,0,0,0.044008,0.070095,0.0263315,0.00703983,0.0197882,0.0339526,0.0247233,0.0488205,0.0574206,0.0422783,0.0146536,0.0147731,0.0288189,0.0301921,0.0241785,0.0113436,0.043062,0.0285842,0.0373869,0,0.0138359,0.0672954,0.0340204,0,0,0.0202548,0,0,0.0480535,0.0559933,0.0282535,0.0266429,0.0190247,0.0533893,0.0420644,0.0842235,0.076216,0.0324599,0.0613921,0.0367071,0.04786,0.0798611,0.0147468,0.0215759,0.0200125,0.0195695,0.0330654,0.0261801,0
2,0.0225439,0,0,0,0,0.0509985,0,0,0,0,0,0,0.0239788,0,0.0216571,0.0662291,0,0,0.0222651,0,0,0.0439897,0.0701061,0.0263174,0.00702387,0.019871,0.0339401,0.024749,0.048906,0.0573217,0.0422406,0.0146984,0.0149846,0.028869,0.0302038,0.0242196,0.0113798,0.0428224,0.0282634,0.0366955,0,0.0140118,0.0671229,0.0340803,0,0,0.020281,0,0,0.0480429,0.0560195,0.0285255,0.0266059,0.0190096,0.0533247,0.0422975,0.0841675,0.0760736,0.0322964,0.0612392,0.0366918,0.0477313,0.0797131,0.0150491,0.0216171,0.0199769,0.0196369,0.0330834,0.0262568,0
3,0.0222805,0,0,0,0,0.050009,0,0,0,0,0,0,0.0239757,0,0.0216023,0.0663405,0,0,0.0181162,0,0,0.0251406,0.0701408,0.0262172,0.00702344,0.0200934,0.0338719,0.0261511,0.0487258,0.0573099,0.0422484,0.0146501,0.0151951,0.0288975,0.0301872,0.0242288,0.0120105,0,0.0211835,0.0361661,0,0.0142445,0.0670283,0.0351737,0,0,0.0202896,0,0,0.047929,0.0560872,0.0287765,0.0264426,0.0189769,0.0531777,0.0422977,0.0841019,0.07582,0.032074,0.0611983,0.0366909,0.0476138,0.0796591,0.0153015,0.0213115,0.0198722,0.0197016,0.0321716,0.0264262,0
4,0.0222681,0,0,0,0,0.0500253,0,0,0,0,0,0,0.0241371,0,0.0215718,0.0664365,0,0,0.0182101,0,0,0.0251385,0.0701257,0.0260805,0.00702594,0.020337,0.0339116,0.0262552,0.0486754,0.0572972,0.0422791,0.0145887,0.0153244,0.0289113,0.0301376,0.0242309,0.0119206,0,0.0212571,0.0357091,0,0.014469,0.0669776,0.0352311,0,0,0.0203494,0,0,0.0478953,0.0560459,0.0289705,0.0264625,0.0189739,0.0532056,0.0425101,0.0841137,0.0756389,0.0318988,0.0611142,0.0366547,0.0475466,0.0795187,0.0155255,0.021484,0.0197759,0.019699,0.0321993,0.026532,0
5,0.0224674,0,0,0,0,0.0510026,0,0,0,0,0,0,0.0239706,0,0.0215829,0.0665286,0,0,0.0227877,0,0,0.0435946,0.0700864,0.0260503,0.00701574,0.0205858,0.0339987,0.0250449,0.0486284,0.057455,0.0422859,0.0144397,0.0153985,0.0289003,0.030019,0.0245278,0.0108524,0.0415331,0.02757,0.0356196,0,0.0146593,0.0669271,0.0342538,0,0,0.0204439,0,0,0.0478869,0.0558693,0.0291547,0.0266382,0.0189732,0.0533467,0.0430513,0.0842636,0.075651,0.0318342,0.0609449,0.0365854,0.0478969,0.0792122,0.0155846,0.0220877,0.0196409,0.0196845,0.0330895,0.0266066,0
6,0.0242672,0,0,0,0,0.0535097,0,0,0,0,0,0,0.0286562,0,0,0.0673118,0,0,0.0226353,0,0,0.0435591,0.0676528,0.0234239,0.00274922,0.0223175,0.0370097,0.0252914,0,0.0610424,0.0435075,0.0117377,0.0124513,0.0298334,0.0300158,0.0153143,0.0102976,0.041874,0.0279964,0.0363515,0,0.0143615,0.065892,0.0371602,0,0,0.0164014,0,0,0.0506262,0.0552817,0.0299417,0.0256236,0.017389,0.0539622,0.0375445,0.0850991,0.0761003,0.031679,0.0604215,0.0364577,0.0482464,0.0784482,0.0153264,0.0296049,0.0271069,0.0197599,0.035261,0.0245208,0
7,0.0223628,0,0,0,0,0.0509694,0,0,0,0,0,0,0.0239521,0,0.0213788,0.0666547,0,0,0.0226694,0,0,0.0435748,0.0699744,0.025756,0.00686137,0.0209487,0.0343467,0.0254694,0.0485054,0.0575041,0.0422441,0.0144084,0.0156567,0.0288227,0.0298131,0.0244677,0.0108189,0.0418966,0.028021,0.0367786,0,0.0143276,0.0666711,0.0343613,0,0,0.020619,0,0,0.0478085,0.0556597,0.0295091,0.0264891,0.0171883,0.0535093,0.0437038,0.0846734,0.0760164,0.0318015,0.0607554,0.0368615,0.0478811,0.0787989,0.0151884,0.0218069,0.0194587,0.0197475,0.0328713,0.0269474,0
8,0.0223442,0,0,0,0,0.0509285,0,0,0,0,0,0,0.0241293,0,0.0212468,0.0665851,0,0,0.0226517,0,0,0.0435396,0.069899,0.0255967,0.00681189,0.0211271,0.0346507,0.0255809,0.0483782,0.057511,0.0422904,0.0145109,0.0157396,0.0288067,0.0297814,0.0241843,0.0107113,0.0418064,0.0279555,0.0364408,0,0.0144398,0.0666286,0.0344778,0,0,0.0207392,0,0,0.0477346,0.0556234,0.029419,0.0264906,0.0171233,0.0536664,0.0439941,0.084695,0.075996,0.0317482,0.0608432,0.0369134,0.0473678,0.0788437,0.0153148,0.0212817,0.0193928,0.0198023,0.0328015,0.0270982,0
9,0.0223711,0,0,0,0,0.0509082,0,0,0,0,0,0,0.0249484,0,0.0208349,0.0667197,0,0,0.0226829,0,0,0.0436625,0.0697015,0.0253074,0.00662872,0.0206912,0.0346595,0.0256405,0.0484672,0.0575683,0.0422984,0.0145785,0.0153491,0.0290323,0.0302592,0.0230903,0.010624,0.0419838,0.0281012,0.0361286,0,0.0145524,0.0667203,0.0346121,0,0,0.0210248,0,0,0.0476952,0.0554631,0.0295161,0.0266181,0.0171637,0.0536787,0.0443421,0.084823,0.0760389,0.0317889,0.0607963,0.0368977,0.0469847,0.0787828,0.0154573,0.0214892,0.0193482,0.0200319,0.0327745,0.0271025,0
10,0.0221013,0,0,0,0,0.0498771,0,0,0,0,0,0,0.0251553,0,0.0207783,0.0665641,0,0,0.0184755,0,0,0.0252239,0.0697851,0.0251453,0.00671933,0.020674,0.0349079,0.0269819,0.0482606,0.0575031,0.0422422,0.014374,0.0150329,0.0290133,0.0302422,0.0228616,0.0116089,0,0.0214895,0.0359378,0,0.014551,0.0667863,0.0356864,0,0,0.0213121,0,0,0.0476439,0.0555004,0.0293133,0.0264998,0.0170262,0.0537497,0.044464,0.0847131,0.0759613,0.0316997,0.0608402,0.0371126,0.0468258,0.0789264,0.0155392,0.0215276,0.0192555,0.020111,0.0318171,0.0273384,0
11,0.0220693,0,0,0,0,0.0498874,0,0,0,0,0,0,0.0252508,0,0.0206541,0.0664924,0,0,0.0183356,0,0,0.0251985,0.0697623,0.0250242,0.00664217,0.0206767,0.0350589,0.0270004,0.0481752,0.0575596,0.0421962,0.0142608,0.0149436,0.0290441,0.0302642,0.0225562,0.0116267,0,0.0214761,0.0357356,0,0.0146985,0.0669206,0.0357621,0,0,0.0215514,0,0,0.0476278,0.0554253,0.0293872,0.0265246,0.0169285,0.0538203,0.0447658,0.0846897,0.0760065,0.0316924,0.0608093,0.0372026,0.0468508,0.0789511,0.0157157,0.0216062,0.0191845,0.0200761,0.0317456,0.0274068,0
12,0.0211186,0,0,0,0,0.0495979,0,0,0,0,0,0,0.0252713,0,0.0205959,0.0659851,0,0,0.0190941,0,0,0.0252487,0.0696958,0.0247261,0.00606148,0.0204125,0.035938,0.028107,0.0480037,0.0574402,0.0416704,0.0140466,0.0149268,0.0289233,0.0301403,0.0223117,0.0115082,0,0.0216624,0.0331271,0,0.0150931,0.0659082,0.0352308,0,0,0.0218101,0,0,0.0476837,0.0576936,0.0261331,0.0235721,0.0182206,0.0531469,0.0452725,0.0821597,0.0735847,0.029941,0.0633894,0.0388867,0,0.0818401,0.0170666,0.0216398,0.0191908,0.0200941,0.0311,0.0284792,0
13,0.0220401,0,0,0,0,0.0499239,0,0,0,0,0,0,0.0253742,0,0.0205095,0.0663787,0,0,0.0180743,0,0,0.0248448,0.0697067,0.0246984,0.00657174,0.0206672,0.0354501,0.0268764,0.0481052,0.0578162,0.0420542,0.0140512,0.0150932,0.0290372,0.0302914,0.0218891,0.0118236,0,0.0212333,0.0350886,0,0.014967,0.0668789,0.0357974,0,0,0.0215406,0,0,0.0475742,0.0553972,0.0291234,0.0265335,0.016813,0.0539055,0.0451538,0.0848088,0.0760198,0.0317013,0.0608966,0.0373702,0.0465317,0.0791057,0.0161268,0.0214534,0.0191681,0.0200712,0.0316645,0.0274938,0
14,0.021127,0,0,0,0,0.0496638,0,0,0,0,0,0,0.0255219,0,0.0204971,0.0659957,0,0,0.0189343,0,0,0.0250575,0.0696441,0.0243213,0.00615167,0.0204086,0.0362318,0.0279335,0.0479602,0.057564,0.041532,0.0138911,0.0150902,0.0289553,0.0300617,0.0216752,0.0117446,0,0.0213286,0.0325806,0,0.0153598,0.0657923,0.0352055,0,0,0.0217301,0,0,0.0476619,0.0576534,0.0259367,0.0237047,0.0181013,0.0531933,0.04556,0.0822788,0.0736121,0.0299699,0.0634512,0.0390077,0,0.0819464,0.0174768,0.0216835,0.0191983,0.0201025,0.0310884,0.0284879,0
15,0.021299,0,0,0,0,0.0509098,0,0,0,0,0,0,0.0257851,0,0.0204576,0.0660413,0,0,0.0232437,0,0,0.0438139,0.0695821,0.0240936,0.00611687,0.0204039,0.0362832,0.026702,0.0479757,0.0576321,0.0414782,0.0138461,0.0152855,0.0290055,0.029908,0.0214185,0.0103327,0.0417165,0.0273097,0.0323048,0,0.0154187,0.0658179,0.0342332,0,0,0.0218214,0,0,0.0476708,0.0575595,0.0259046,0.0238293,0.0180056,0.0532532,0.0457354,0.0822097,0.0736541,0.0299647,0.0634438,0.0390687,0,0.0819197,0.0177085,0.0219914,0.0192327,0.0200882,0.0320447,0.0283466,0
16,0.0212936,0,0,0,0,0.0509735,0,0,0,0,0,0,0.0260123,0,0.020417,0.0660537,0,0,0.0228756,0,0,0.0438708,0.0695474,0.0238861,0.00609475,0.020365,0.0362685,0.0266444,0.0479375,0.057605,0.0414239,0.0137877,0.015238,0.0290093,0.0298448,0.0211863,0.0106106,0.0420643,0.0273716,0.0320014,0,0.0155511,0.065932,0.0341877,0,0,0.0217762,0,0,0.0476513,0.0575071,0.025887,0.0239009,0.017923,0.0532905,0.0458126,0.0821702,0.0736399,0.0299389,0.0634118,0.0391278,0,0.0819195,0.0178737,0.0223003,0.0193176,0.020081,0.0320719,0.028347,0
17,0.0221768,0,0,0,0,0.0511901,0,0,0,0,0,0,0.0261703,0,0.0203705,0.0665698,0,0,0.0221181,0,0,0.0436944,0.0695354,0.02391,0.00653631,0.0206372,0.0356189,0.0253991,0.047952,0.0578582,0.0418472,0.0138749,0.0151875,0.0290777,0.0300698,0.0209508,0.0113567,0.0426085,0.027776,0.0339809,0,0.0153936,0.0670826,0.0346243,0,0,0.0214521,0,0,0.0475178,0.0551908,0.0289241,0.026875,0.0164717,0.0540447,0.0457482,0.0847309,0.076017,0.0316836,0.060858,0.0375838,0.0464947,0.0791204,0.0167369,0.0224357,0.0193266,0.0200829,0.0326839,0.0274313,0
18,0.0220987,0,0,0,0,0.0512065,0,0,0,0,0,0,0.0262941,0,0.0203634,0.0666995,0,0,0.0221206,0,0,0.0437524,0.0694884,0.0239268,0.0065565,0.0206488,0.0355053,0.0254102,0.0478689,0.0578589,0.0418306,0.0138312,0.0151896,0.0290269,0.0302027,0.0207355,0.0114566,0.042775,0.027875,0.0338157,0,0.0154341,0.0669757,0.0345721,0,0,0.021476,0,0,0.0474725,0.0551474,0.0288435,0.0269271,0.016368,0.0539833,0.0459503,0.0848663,0.0760672,0.031688,0.060784,0.0375491,0.0464505,0.0790382,0.0168885,0.0224605,0.0193487,0.0201116,0.0327237,0.0274816,0
19,0.0217953,0,0,0,0,0.0502105,0,0,0,0,0,0,0.0266635,0,0.0202761,0.0667213,0,0,0.0178787,0,0,0.0247715,0.0695354,0.0242213,0.00666035,0.0207881,0.0354318,0.02661,0.0478929,0.0578514,0.0418942,0.0138779,0.0153635,0.0289431,0.0299809,0.0202029,0.0122547,0,0.0207907,0.0336391,0,0.0154883,0.0668851,0.0355284,0,0,0.0215346,0,0,0.0474218,0.0552453,0.0287201,0.0268199,0.0162154,0.0538681,0.0457741,0.0848396,0.076014,0.0316212,0.0608508,0.0376611,0.046495,0.0790795,0.0170249,0.0222642,0.019539,0.0199688,0.0318637,0.0276502,0
20,0.021723,0,0,0,0,0.0501347,0,0,0,0,0,0,0.0266092,0,0.020267,0.0667721,0,0,0.0178774,0,0,0.0248122,0.0695353,0.0249776,0.00669495,0.0207169,0.0353209,0.0265698,0.0478411,0.0577592,0.0418698,0.0140458,0.0156378,0.0290927,0.0300569,0.0202556,0.0123092,0,0.0206991,0.0334215,0,0.0155629,0.0668465,0.0355275,0,0,0.0215634,0,0,0.0474036,0.0552416,0.0287465,0.0268463,0.0161661,0.0538433,0.0458523,0.0848923,0.0759321,0.0315159,0.0608399,0.0376518,0.0465111,0.0790479,0.0171875,0.0222506,0.0193952,0.020096,0.0319358,0.0277298,0
21,0.0218417,0,0,0,0,0.0510392,0,0,0,0,0,0,0.0267161,0,0.0203154,0.066854,0,0,0.0224988,0,0,0.0436959,0.0694322,0.0243159,0.00664111,0.0207464,0.0353417,0.0252857,0.0478264,0.0577307,0.0418553,0.0139523,0.0155835,0.0290766,0.0300313,0.0203052,0.0113054,0.0422125,0.0271656,0.0333063,0,0.0155834,0.066779,0.0344746,0,0,0.0214883,0,0,0.0473381,0.0552085,0.0287988,0.0269392,0.0160783,0.053916,0.0461862,0.0849595,0.0759144,0.0315123,0.0607988,0.0375549,0.0464546,0.079003,0.0172751,0.0225672,0.0192911,0.0200995,0.0328669,0.0277722,0
22,0.0215942,0,0,0,0,0.0500985,0,0,0,0,0,0,0.026965,0,0.0203216,0.0668399,0,0,0.0178699,0,0,0.0248482,0.0694168,0.0237365,0.00668201,0.0208842,0.0353345,0.0264167,0.0478202,0.0576901,0.0419069,0.0139092,0.0153315,0.0289411,0.029907,0.0200001,0.0123048,0,0.0209137,0.0332276,0,0.0156283,0.066731,0.0354228,0,0,0.0215142,0,0,0.0472868,0.0552932,0.0287492,0.0269014,0.0159356,0.0538766,0.0459256,0.0849189,0.0758457,0.0314662,0.0608708,0.0376272,0.046568,0.0790809,0.0173367,0.0222749,0.0193064,0.0201135,0.0319819,0.027933,0
23,0.0208993,0,0,0,0,0.0508366,0,0,0,0,0,0,0.0266683,0,0.0203781,0.0664412,0,0,0.0229599,0,0,0.0441003,0.0693048,0.0235801,0.0062765,0.0205024,0.0362048,0.0260939,0.0476118,0.0573238,0.0413029,0.0138497,0.0151733,0.0288966,0.0298506,0.0203138,0.010884,0.0420409,0.0268329,0.0309093,0,0.0160748,0.0654674,0.0339086,0,0,0.0216455,0,0,0.0473614,0.0575349,0.0256822,0.0242571,0.0173408,0.0536705,0.0466004,0.0824448,0.073384,0.029692,0.0632969,0.0391698,0,0.0818316,0.0187997,0.0225088,0.0194306,0.0201165,0.0323726,0.02894,0
24,0.0205861,0,0,0,0,0.0499277,0,0,0,0,0,0,0.0268736,0,0.0203742,0.0663888,0,0,0.0187539,0,0,0.0253352,0.0692798,0.0235594,0.00615324,0.020662,0.0360916,0.0273358,0.0475768,0.0574047,0.0414374,0.0138604,0.0150057,0.0288119,0.0298505,0.0201123,0.0120263,0,0.0209546,0.0307817,0,0.0160648,0.0656579,0.0348246,0,0,0.0217612,0,0,0.0474021,0.0576435,0.0255757,0.0240219,0.017207,0.0533192,0.0464862,0.0822926,0.0732934,0.0295718,0.0634237,0.0393422,0,0.0819292,0.0188462,0.0220699,0.019579,0.0201982,0.0314367,0.0290775,0
25,0.0214641,0,0,0,0,0.0502279,0,0,0,0,0,0,0.0267904,0,0.0203899,0.0668713,0,0,0.0178989,0,0,0.024987,0.0692146,0.0238548,0.00652985,0.0209183,0.0352353,0.0262666,0.0476098,0.0577425,0.0419147,0.0140945,0.0150791,0.0290533,0.0302215,0.0202263,0.0123417,0,0.0206779,0.032901,0,0.0156954,0.0668381,0.0353517,0,0,0.0217124,0,0,0.0473743,0.0553225,0.028727,0.026866,0.0158158,0.0537555,0.0464228,0.0848702,0.0757155,0.0312175,0.0609129,0.0378329,0.0466242,0.0790731,0.0175882,0.0218235,0.0196753,0.0201251,0.0319806,0.0281111,0
26,0.0205036,0,0,0,0,0.0499525,0,0,0,0,0,0,0.0266134,0,0.0203877,0.0665781,0,0,0.0187753,0,0,0.024934,0.0691412,0.0237352,0.00585972,0.020714,0.0358072,0.0274162,0.0474329,0.0574634,0.0414752,0.0140295,0.0150104,0.028961,0.0300476,0.020282,0.0121793,0,0.0210209,0.0306706,0,0.0160344,0.0657101,0.0347839,0,0,0.0219781,0,0,0.0475239,0.0576192,0.0255779,0.0239858,0.0171577,0.0529391,0.0468305,0.082335,0.073284,0.0294526,0.063411,0.0393858,0,0.0818591,0.0189404,0.0217816,0.0199876,0.0200853,0.0314262,0.0291385,0
27,0.0224451,0,0,0,0,0.050601,0,0,0,0,0,0,0.0318737,0,0,0.0686429,0,0,0.0175433,0,0,0.0246957,0.0673377,0.0210032,0.00405522,0.0218211,0.035329,0.0258124,0,0.060058,0.0423921,0.0115115,0.0120813,0.0296429,0.0300267,0.0114635,0.0126007,0,0.0207366,0.0325804,0,0.0157809,0.0659364,0.0356263,0,0,0.0213051,0,0,0.0472007,0.0552901,0.0289802,0.0262881,0.0157693,0.0531483,0.0455778,0.0851389,0.0757214,0.0310686,0.0607201,0.0377377,0.0463881,0.0788394,0.0178328,0.0214617,0.0201177,0.0199644,0.0324876,0.0271446,0
28,0.0214202,0,0,0,0,0.0503411,0,0,0,0,0,0,0.0269102,0,0.0204148,0.0671637,0,0,0.0177587,0,0,0.0246695,0.0691784,0.0239269,0.00654205,0.0211709,0.0352048,0.0261722,0.0474597,0.0577328,0.0419571,0.0141322,0.0155889,0.0291069,0.0302307,0.0198369,0.0124231,0,0.0208411,0.0328572,0,0.0156439,0.0665339,0.0352769,0,0,0.0219541,0,0,0.0474261,0.0553383,0.0286943,0.0270189,0.0157943,0.0538244,0.0467258,0.0848673,0.0757791,0.0312076,0.0608588,0.0379868,0.046517,0.0790072,0.0175438,0.0222128,0.020067,0.0200103,0.0322066,0.0281992,0
29,0.0214596,0,0,0,0,0.0503205,0,0,0,0,0,0,0.0270276,0,0.0204161,0.0671971,0,0,0.0177594,0,0,0.0248701,0.0691547,0.0239182,0.00653234,0.0212126,0.0350761,0.0261336,0.0474177,0.0577288,0.0419294,0.0142543,0.0156049,0.0291311,0.0301774,0.0197522,0.0124123,0,0.0206512,0.0328115,0,0.0157335,0.0666077,0.0352528,0,0,0.0220237,0,0,0.0474069,0.0553307,0.0287509,0.0270466,0.0158257,0.0538155,0.046858,0.0848925,0.075776,0.0311774,0.06082,0.0379813,0.0465336,0.0789982,0.017516,0.0222812,0.0200245,0.0199373,0.0323154,0.0281463,0
30,0.0214877,0,0,0,0,0.0503386,0,0,0,0,0,0,0.0270187,0,0.0204147,0.0672036,0,0,0.0177364,0,0,0.0248868,0.0691791,0.0239163,0.00651801,0.0212267,0.0350005,0.026119,0.0473372,0.0576895,0.0419142,0.0143943,0.0154082,0.029163,0.0301475,0.01972,0.012479,0,0.0205475,0.0329358,0,0.0157669,0.0665035,0.0352369,0,0,0.0220093,0,0,0.0474278,0.0553305,0.0287418,0.0270814,0.0158394,0.0538068,0.0469626,0.0848864,0.0757722,0.0311439,0.0608553,0.0379655,0.0464585,0.0789981,0.0174942,0.0223002,0.0199391,0.0199611,0.0324072,0.0280936,0
31,0.0215409,0,0,0,0,0.050395,0,0,0,0,0,0,0.0270356,0,0.0204205,0.0672387,0,0,0.0177976,0,0,0.0249606,0.06919,0.0238931,0.00650046,0.0212557,0.0349473,0.0260997,0.0472959,0.0576828,0.0419078,0.0144101,0.0155067,0.029184,0.0301504,0.0196714,0.012476,0,0.0206237,0.0329698,0,0.0157491,0.0664584,0.0351998,0,0,0.0220561,0,0,0.0474561,0.055337,0.0286965,0.027118,0.0158037,0.053821,0.0470404,0.0849188,0.075773,0.0311109,0.0609004,0.0380152,0.0464142,0.0789891,0.0175333,0.0222476,0.0198779,0.0199837,0.0324737,0.0280432,0
32,0.0217643,0,0,0,0,0.051381,0,0,0,0,0,0,0.0270554,0,0.0204381,0.0672777,0,0,0.0224605,0,0,0.0438737,0.069139,0.0239187,0.00644826,0.0213332,0.0349251,0.0247849,0.0473153,0.0577115,0.0418829,0.014369,0.015731,0.0292185,0.0302143,0.0196619,0.0117388,0.0430729,0.0277702,0.032953,0,0.0157214,0.0665662,0.0341594,0,0,0.0220159,0,0,0.0475052,0.0553229,0.0286662,0.0272286,0.0157758,0.0539368,0.0473475,0.0849818,0.0758041,0.0311347,0.0608722,0.0380335,0.0463919,0.0789429,0.0175537,0.0226031,0.0200493,0.0198804,0.0334493,0.0279119,0
33,0.0216231,0,0,0,0,0.0504402,0,0,0,0,0,0,0.0271965,0,0.020487,0.0672708,0,0,0.0177905,0,0,0.0248003,0.0691882,0.0238394,0.00649495,0.021474,0.0348587,0.0261135,0.0472842,0.0576851,0.041926,0.0143717,0.0155489,0.0291638,0.0302599,0.0194172,0.0125812,0,0.0207695,0.0329571,0,0.0156636,0.0666647,0.0351952,0,0,0.0220156,0,0,0.0474758,0.0554052,0.0284819,0.0271848,0.015674,0.0538916,0.0469941,0.08489,0.0757642,0.0311108,0.0609235,0.038118,0.0465565,0.0790346,0.0175342,0.0224219,0.0201625,0.0199162,0.0326456,0.0279337,0
34,0.0219638,0,0,0,0,0.0514355,0,0,0,0,0,0,0.032178,0,0,0.0682659,0,0,0.0226936,0,0,0.0440397,0.067293,0.0209672,0.00318753,0.0218337,0.0359537,0.0256782,0,0.0596427,0.0417908,0.011691,0.0121509,0.029699,0.0300329,0.0112341,0.0119688,0.0439471,0.0289356,0.0304882,0,0.0162212,0.0648101,0.0338268,0,0,0.0214929,0,0,0.0472645,0.0576895,0.0254521,0.0236136,0.0168203,0.0528545,0.0464596,0.0825587,0.0732317,0.0291209,0.0633155,0.0395165,0,0.0817134,0.019122,0.0223651,0.0202773,0.0198005,0.0335297,0.0279059,0
35,0.0210337,0,0,0,0,0.0511816,0,0,0,0,0,0,0.0269915,0,0.0206306,0.0669293,0,0,0.0226683,0,0,0.0442125,0.0690531,0.0237297,0.00577188,0.0211738,0.0355932,0.026068,0.0470661,0.0574085,0.0414752,0.0143959,0.0153338,0.0291464,0.0301572,0.0198682,0.0118582,0.0442221,0.0289908,0.0306348,0,0.0162315,0.0655429,0.0334998,0,0,0.0220344,0,0,0.0475495,0.0576639,0.0252615,0.0244966,0.0170608,0.0534112,0.0474597,0.0823588,0.0732908,0.0293377,0.0634101,0.0396162,0,0.0818529,0.0189509,0.0228334,0.0202777,0.0198407,0.0332158,0.0288072,0
36,0.0210628,0,0,0,0,0.0512056,0,0,0,0,0,0,0.0269294,0,0.020717,0.0669392,0,0,0.0226599,0,0,0.0443429,0.0690512,0.0237758,0.00579594,0.0211912,0.0356016,0.0261152,0.0470621,0.057384,0.0415446,0.0143919,0.0153791,0.0291529,0.0302112,0.0199174,0.0119813,0.043876,0.0282656,0.0306289,0,0.0162764,0.0655469,0.0334754,0,0,0.0219676,0,0,0.0475291,0.0576699,0.0251962,0.0245532,0.0170885,0.0534583,0.0473891,0.0823745,0.073288,0.0293677,0.0634632,0.0396583,0,0.0818795,0.0189251,0.0228364,0.0202958,0.0197322,0.0332742,0.0288038,0
37,0.0210801,0,0,0,0,0.0512191,0,0,0,0,0,0,0.0269154,0,0.020791,0.066916,0,0,0.022622,0,0,0.0444218,0.0690673,0.0238233,0.00580516,0.0212146,0.0356028,0.0261113,0.0470544,0.0573682,0.041575,0.0144158,0.0154103,0.0291585,0.030273,0.0199925,0.0120788,0.0437683,0.0279376,0.0306505,0,0.016299,0.0655522,0.033451,0,0,0.0218989,0,0,0.0474611,0.0576756,0.025083,0.0246054,0.0171392,0.053516,0.0473381,0.0823844,0.073293,0.0294094,0.0634751,0.0397105,0,0.0819765,0.0189104,0.0228547,0.0203305,0.0196756,0.0333443,0.0288148,0
38,0.0210815,0,0,0,0,0.0512299,0,0,0,0,0,0,0.0269564,0,0.0208294,0.0668983,0,0,0.0225728,0,0,0.0444358,0.0690998,0.0238674,0.00582722,0.021248,0.0355696,0.026095,0.0470516,0.0573415,0.0415719,0.0144678,0.0154435,0.0291861,0.0303089,0.0200935,0.01213,0.0438126,0.0279193,0.0306843,0,0.016283,0.0655537,0.0334189,0,0,0.0218349,0,0,0.0473707,0.0576841,0.0249717,0.0246793,0.0171559,0.0535684,0.0472998,0.082392,0.0733028,0.0294538,0.0634729,0.0397549,0,0.0821253,0.0188888,0.0228163,0.0204004,0.0197523,0.0333766,0.0288221,0
39,0.021093,0,0,0,0,0.0512428,0,0,0,0,0,0,0.026948,0,0.0208545,0.0669071,0,0,0.0225342,0,0,0.0444273,0.069123,0.0239035,0.00582445,0.0212742,0.035494,0.0260943,0.0470589,0.0573276,0.0415732,0.0145308,0.0155662,0.0292089,0.0302853,0.0201582,0.0121759,0.0438573,0.0279382,0.0307321,0,0.0163438,0.0655975,0.0333928,0,0,0.0218195,0,0,0.0473468,0.0576802,0.0248948,0.0247562,0.0171263,0.0535922,0.0472559,0.0823799,0.0733084,0.0294708,0.0634639,0.0397822,0,0.0821854,0.0188553,0.0227758,0.0204555,0.0197926,0.0333276,0.0288114,0
