Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHI
191,0.0223411,0,0,0,0,0.0474177,0,0,0,0,0,0,0.0230468,0,0.0185215,0.064196,0,0,0.0280846,0,0,0.046077,0.0647811,0.0221331,0.0126951,0.0251928,0.0384135,0.0313446,0.0541345,0.0677112,0.046098,0.0100663,0.0131206,0.0307354,0.0305171,0.0245269,0.00464352,0.0419234,0.0258045,0.0548339,0,0.0148592,0.0693132,0.0325423,0,0,0.0249603,0,0,0.0491898,0.0599182,0.0289821,0.029983,0.0171899,0.051665,0.0408326,0.0798761,0.071247,0.0304411,0.0644344,0.0368607,0.0504023,0.0839513,0.0119209,0.0189808,0.0257638,0.0172768,0.0271508,0.0292412,0.0489404
192,0.0224649,0,0,0,0,0.04741,0,0,0,0,0,0,0.0229369,0,0.0186816,0.063806,0,0,0.0279544,0,0,0.0459833,0.0646754,0.0219824,0.0127836,0.02523,0.0386542,0.0314281,0.0540547,0.0682478,0.0464856,0.00965677,0.0129257,0.030617,0.0301692,0.0248739,0.00475467,0.0414759,0.0255271,0.055577,0,0.0150426,0.0696284,0.0326352,0,0,0.024956,0,0,0.0491847,0.0597566,0.0288267,0.0299998,0.0177522,0.0516158,0.0406473,0.0797835,0.0712769,0.0305767,0.0644264,0.0367566,0.0504103,0.0840162,0.0123434,0.0188634,0.0258701,0.0172299,0.027169,0.0292351,0.0488168
193,0.0219895,0,0,0,0,0.046499,0,0,0,0,0,0,0.0227009,0,0.0189096,0.063596,0,0,0.0253849,0,0,0.0279379,0.0646853,0.0219212,0.0130369,0.0250864,0.0386501,0.032685,0.0541377,0.0685851,0.0467328,0.00932745,0.0125785,0.0304497,0.0298236,0.0253422,0.00874664,0,0.022951,0.0560989,0,0.0152433,0.0699555,0.0336741,0,0,0.0247441,0,0,0.0490393,0.0597737,0.0288547,0.0298617,0.0182376,0.0512954,0.0402258,0.079567,0.0712745,0.0307024,0.0645244,0.0367857,0.050544,0.0841406,0.0126143,0.0183379,0.0258793,0.0172241,0.0262215,0.028957,0.0487583
194,0.0221388,0,0,0,0,0.0464974,0,0,0,0,0,0,0.0222079,0,0.0190938,0.0634124,0,0,0.0253471,0,0,0.0279565,0.0645397,0.0220009,0.0130712,0.0250921,0.0388837,0.0326803,0.0546312,0.0689755,0.0469753,0.00905503,0.0123655,0.0303065,0.0299334,0.0262075,0.0089626,0,0.0229688,0.0565316,0,0.0153868,0.0702121,0.0336771,0,0,0.0247427,0,0,0.0490721,0.0597107,0.0286486,0.0298527,0.0185727,0.0512426,0.0399644,0.0795136,0.071338,0.0308535,0.0645181,0.036667,0.0505021,0.084109,0.0127683,0.0182457,0.0259751,0.0172116,0.0262422,0.0289679,0.0488403
195,0.0222479,0,0,0,0,0.0464854,0,0,0,0,0,0,0.02184,0,0.0191987,0.0633094,0,0,0.0253214,0,0,0.0279929,0.0644153,0.0219503,0.0130635,0.0249941,0.0391263,0.0327012,0.0548351,0.0692947,0.0471546,0.00864438,0.0122015,0.0302177,0.0298145,0.0269109,0.00914427,0,0.0229806,0.0568817,0,0.0153751,0.0703728,0.0336527,0,0,0.0247272,0,0,0.0490642,0.0596444,0.0288474,0.0297679,0.0187567,0.0511753,0.0396697,0.0795287,0.071367,0.030984,0.0645081,0.0365489,0.0504861,0.0841342,0.0131157,0.0182516,0.0259784,0.0172005,0.026308,0.0290096,0.0489214
196,0.0223046,0,0,0,0,0.0465093,0,0,0,0,0,0,0.0215743,0,0.0193213,0.0633546,0,0,0.025302,0,0,0.0280129,0.0643346,0.0219822,0.013031,0.0248178,0.0393532,0.0327999,0.0550714,0.0695009,0.0472703,0.00836925,0.0120563,0.0301576,0.0293682,0.0274033,0.00935478,0,0.0229296,0.0571629,0,0.0152576,0.0704381,0.0336002,0,0,0.0246554,0,0,0.048984,0.0595319,0.0291792,0.0296351,0.0188492,0.0510826,0.0394313,0.0795823,0.0713774,0.031056,0.0644785,0.0364711,0.050486,0.0841374,0.0134825,0.0182513,0.0260102,0.0172138,0.0262821,0.0290773,0.0489796
197,0.0223543,0,0,0,0,0.0465235,0,0,0,0,0,0,0.0213718,0,0.0194796,0.0632992,0,0,0.0252764,0,0,0.0280273,0.0642364,0.0223502,0.0129355,0.0246243,0.0395497,0.0328849,0.0552437,0.069617,0.0473078,0.00811711,0.0119743,0.0301489,0.0290542,0.027759,0.00954814,0,0.0229524,0.0573664,0,0.0151255,0.0705094,0.0335204,0,0,0.0245172,0,0,0.0489257,0.0593983,0.0292972,0.029523,0.0189288,0.0510204,0.0392271,0.0796052,0.0714013,0.0311039,0.0644225,0.03638,0.0504342,0.0840931,0.0137429,0.0180475,0.026134,0.0172331,0.0261939,0.0291678,0.049011
198,0.0224288,0,0,0,0,0.046561,0,0,0,0,0,0,0.0214616,0,0.0196581,0.0632518,0,0,0.0252712,0,0,0.0280478,0.0641131,0.0229538,0.0128079,0.0244464,0.0397771,0.0329336,0.0554214,0.0697239,0.0473379,0.00802346,0.01187,0.0301881,0.0292974,0.0279876,0.00970511,0,0.0229793,0.0575077,0,0.0150222,0.0705421,0.0334785,0,0,0.0243968,0,0,0.0489144,0.0592777,0.0292563,0.0293926,0.0190159,0.050973,0.0390259,0.0796143,0.0714526,0.0311225,0.0643354,0.0362446,0.0503684,0.0840239,0.0139366,0.0178292,0.0262349,0.0171868,0.026007,0.0292681,0.0490895
199,0.0225404,0,0,0,0,0.0465913,0,0,0,0,0,0,0.0216119,0,0.0197513,0.0631603,0,0,0.0252681,0,0,0.0280924,0.0640706,0.0225587,0.0127025,0.02426,0.0400313,0.0329584,0.0554495,0.0697717,0.0473533,0.00789339,0.0117266,0.0301246,0.0295216,0.0283517,0.00981499,0,0.0230185,0.0575887,0,0.0149728,0.0704703,0.0334725,0,0,0.0242989,0,0,0.0488831,0.0591361,0.02921,0.0292446,0.0191348,0.0508937,0.0388243,0.0796679,0.0715068,0.0311106,0.0642227,0.0361098,0.0503344,0.0839369,0.0140948,0.0176594,0.0262396,0.0171519,0.0258185,0.0293621,0.0491488
200,0.0226244,0,0,0,0,0.0465715,0,0,0,0,0,0,0.0217479,0,0.0198141,0.063489,0,0,0.0252568,0,0,0.0281393,0.0640227,0.0222241,0.0126945,0.0241088,0.040364,0.032943,0.0552945,0.0697491,0.0473673,0.00782391,0.0116182,0.0300654,0.0294605,0.0286175,0.00994275,0,0.0230172,0.0577084,0,0.0148984,0.0705281,0.0334585,0,0,0.0242425,0,0,0.0488248,0.0589472,0.029152,0.029078,0.0192402,0.0508395,0.0386457,0.0797761,0.0715477,0.0310385,0.0641554,0.0359911,0.0503285,0.0838547,0.0143168,0.0176557,0.0260968,0.01709,0.025946,0.0294801,0.0491581
201,0.022682,0,0,0,0,0.0465653,0,0,0,0,0,0,0.0216727,0,0.0198749,0.0632711,0,0,0.0252031,0,0,0.0281583,0.063934,0.0222423,0.0125634,0.0239536,0.040601,0.0328931,0.055104,0.0697299,0.0473535,0.00791873,0.0114848,0.0300214,0.029406,0.028657,0.0100338,0,0.0230334,0.0579193,0,0.0148196,0.0705768,0.0334576,0,0,0.0241827,0,0,0.048777,0.0587701,0.0290686,0.0289153,0.0194118,0.0507498,0.0385732,0.0799855,0.0716076,0.0310464,0.064093,0.0358708,0.0502651,0.083763,0.0145956,0.0174235,0.0260174,0.0170996,0.0260777,0.0295606,0.0491822
202,0.0227182,0,0,0,0,0.0465938,0,0,0,0,0,0,0.0216435,0,0.0199477,0.0630824,0,0,0.025082,0,0,0.028105,0.0638635,0.0223699,0.0124513,0.0238079,0.0407793,0.0328054,0.0548801,0.0696896,0.0473921,0.00780221,0.0114891,0.030026,0.0293279,0.028534,0.0101194,0,0.0230899,0.0579589,0,0.0147995,0.0706017,0.033481,0,0,0.0241557,0,0,0.0487848,0.0586455,0.0290339,0.0287696,0.0196721,0.0506742,0.0386291,0.0800534,0.0716566,0.0310678,0.0640327,0.0357522,0.0502513,0.0836831,0.0147314,0.0171738,0.0259682,0.0170997,0.0261379,0.0295902,0.04933
203,0.0236881,0,0,0,0,0.046872,0,0,0,0,0,0,0.0215347,0,0.0199337,0.0629409,0,0,0.0235451,0,0,0.0275668,0.0640555,0.0227524,0.0132251,0.0242833,0.0399293,0.0311468,0.0555062,0.0702984,0.0482411,0.00786086,0.0116425,0.0300671,0.0294178,0.0286005,0.00912346,0,0.0228263,0.0651649,0,0.0147305,0.0730305,0.0344931,0,0,0.0241637,0,0,0.0488068,0.053881,0.0307023,0.0336396,0.016255,0.0521592,0.0388853,0,0.0754814,0.0331732,0.0596321,0.0325362,0.0459104,0.0793899,0.023447,0.0172076,0.0259839,0.0171436,0.0266305,0.0280965,0.0533162
204,0.0227884,0,0,0,0,0.0466296,0,0,0,0,0,0,0.0214943,0,0.0201045,0.0625806,0,0,0.0248683,0,0,0.0279707,0.0639721,0.022463,0.0123277,0.0235425,0.0410835,0.0326016,0.0550414,0.0696469,0.0475266,0.0075798,0.0112837,0.0300428,0.029407,0.0290846,0.0103134,0,0.0230601,0.058637,0,0.0146622,0.0706812,0.0336112,0,0,0.0242074,0,0,0.0488364,0.0583525,0.0289167,0.0284939,0.0199388,0.0503824,0.0388346,0.0798665,0.0717696,0.030932,0.0639654,0.0356083,0.050242,0.083615,0.0150496,0.0171917,0.0261154,0.0173511,0.0259932,0.0295874,0.0494403
205,0.0228307,0,0,0,0,0.0466402,0,0,0,0,0,0,0.0212185,0,0.0200431,0.0625159,0,0,0.0246976,0,0,0.0279557,0.0640206,0.0222585,0.0123233,0.0234798,0.0412924,0.0324685,0.0550212,0.0696283,0.0476833,0.00772199,0.0110198,0.030047,0.0294445,0.0293476,0.0103152,0,0.0230434,0.0586817,0,0.0146144,0.0708396,0.0337119,0,0,0.024181,0,0,0.0488992,0.0582268,0.0288542,0.0283529,0.0200217,0.050235,0.0389373,0.0798626,0.0717901,0.0309078,0.0639286,0.0355638,0.0502121,0.0835998,0.0152412,0.0171874,0.0261676,0.0174253,0.0260136,0.0295495,0.0493474
206,0.0228796,0,0,0,0,0.0466817,0,0,0,0,0,0,0.0212125,0,0.0200519,0.0627034,0,0,0.0245201,0,0,0.0279618,0.064092,0.0223208,0.0123647,0.0234689,0.0415496,0.032346,0.0549247,0.0697031,0.0479125,0.0077396,0.0110321,0.0300011,0.0295333,0.0295946,0.010218,0,0.0230376,0.0586112,0,0.0146104,0.0710561,0.0338146,0,0,0.024126,0,0,0.0489108,0.0581009,0.0288176,0.0281954,0.0201569,0.0501428,0.0390597,0.0798852,0.0717914,0.0309478,0.0638841,0.0354958,0.0502129,0.0835953,0.0153744,0.017095,0.0262703,0.0175878,0.0260724,0.0294882,0.0492888
