Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,
17,0.0228091,0,0,0,0,0.0520961,0,0,0,0,0,0,0.0225309,0,0.0254365,0.0695283,0,0,0.0144276,0,0,0.0378033,0.0742119,0.0218162,0.0131546,0.0169398,0.0302645,0.0375952,0.0483419,0.0513126,0.0284477,0.0140378,0.0162458,0.0284109,0.0279878,0.0269361,0.0124152,0.0093232,0.0174788,0.0329079,0,0.0136376,0.0707729,0.0301233,0,0,0.0237815,0,0,0.044619,0.0589365,0.0284177,0.0333779,0.0054378,0.0510098,0.0439203,0,0.0793298,0.0680045,0.0199235,0.0637406,0.0411262,0.0493825,0.0810158,0.0177491,0.0190143,0.00733481,0.0258295,0.0323361,0.0262941,0
18,0.0228819,0,0,0,0,0.0520925,0,0,0,0,0,0,0.0225367,0,0.025379,0.0695082,0,0,0.0143468,0,0,0.0377495,0.0742153,0.0216561,0.013175,0.0168233,0.0302572,0.0373969,0.0483182,0.0512774,0.0283415,0.0140296,0.0161872,0.0282678,0.027989,0.0269064,0.0124347,0.00933772,0.0173166,0.0327425,0,0.0137421,0.0708116,0.0301976,0,0,0.0238007,0,0,0.044699,0.0588638,0.0283169,0.0333754,0.00542296,0.0509692,0.0438098,0,0.0793673,0.0680162,0.0199252,0.0637394,0.0412057,0.0493964,0.0810118,0.0178829,0.0189209,0.00730091,0.0258552,0.0323786,0.0262124,0
19,0.0229611,0,0,0,0,0.0520631,0,0,0,0,0,0,0.0225582,0,0.0253683,0.0694404,0,0,0.0142416,0,0,0.0376269,0.0742381,0.0215213,0.0132264,0.0167194,0.0302746,0.0371702,0.0483053,0.0512179,0.0282681,0.0140026,0.0161331,0.0281345,0.0279937,0.0268916,0.0124409,0.0092961,0.0171468,0.0325453,0,0.0138531,0.0708927,0.0302869,0,0,0.0238388,0,0,0.0446743,0.0588017,0.0282171,0.0333127,0.00536859,0.0509361,0.0437423,0,0.0793651,0.0680254,0.0199662,0.0637195,0.041283,0.0493672,0.0809851,0.0180278,0.0188171,0.00726679,0.0258558,0.0323754,0.026127,0
20,0.02303,0,0,0,0,0.0520517,0,0,0,0,0,0,0.0225274,0,0.0253479,0.0693846,0,0,0.0141627,0,0,0.03763,0.0742895,0.0214383,0.0131922,0.016636,0.0302761,0.0369481,0.0482582,0.051179,0.0282078,0.0139369,0.0160605,0.0281144,0.0279675,0.0269093,0.0124436,0.00927195,0.0170555,0.0323689,0,0.0139543,0.0709926,0.0304155,0,0,0.0239122,0,0,0.0445243,0.0587381,0.0281531,0.0331551,0.00532229,0.0508646,0.0437517,0,0.0793547,0.0680514,0.0200326,0.0637181,0.0413534,0.0493221,0.0809707,0.0181775,0.0186817,0.00723384,0.0257584,0.0323703,0.0260286,0
21,0.0230982,0,0,0,0,0.0520359,0,0,0,0,0,0,0.0224843,0,0.0253473,0.0695378,0,0,0.0141278,0,0,0.0378393,0.0743611,0.0213718,0.0126763,0.0165619,0.0302024,0.0367555,0.0482201,0.0512235,0.0281536,0.0138676,0.0160053,0.0280864,0.0279574,0.0269855,0.0124827,0.00933411,0.0170129,0.0322178,0,0.014035,0.0710184,0.0305519,0,0,0.0240206,0,0,0.0444703,0.058665,0.0280745,0.0329797,0.00532241,0.0506691,0.0437274,0,0.0793611,0.0680668,0.0200994,0.0637164,0.04143,0.0493082,0.080957,0.0183169,0.0186105,0.00724002,0.0257166,0.0323726,0.0259053,0
22,0.0231493,0,0,0,0,0.0520663,0,0,0,0,0,0,0.0224701,0,0.0253487,0.0696035,0,0,0.0140881,0,0,0.0379594,0.0744139,0.0213107,0.012389,0.0164654,0.0301711,0.036596,0.0481903,0.0512227,0.0281359,0.0138021,0.0159466,0.028082,0.0279572,0.0269881,0.0125258,0.00939799,0.0169005,0.0321164,0,0.0141027,0.0710257,0.0306745,0,0,0.024098,0,0,0.0445832,0.0586178,0.0280014,0.0328841,0.00534607,0.050524,0.043823,0,0.0793589,0.0680381,0.0201551,0.0637303,0.0414684,0.0493201,0.0809633,0.0184126,0.0185978,0.00727967,0.025795,0.0324098,0.0257845,0
23,0.0231916,0,0,0,0,0.0520846,0,0,0,0,0,0,0.0224812,0,0.0253348,0.0695969,0,0,0.0140592,0,0,0.0379779,0.0744569,0.0212279,0.0123611,0.0164165,0.0301971,0.0364479,0.0481512,0.0512122,0.0281559,0.0137305,0.0158951,0.0280534,0.0279454,0.0269914,0.0125627,0.00941093,0.0167638,0.0320769,0,0.0141472,0.0710681,0.030756,0,0,0.0241916,0,0,0.0446947,0.0585836,0.0279576,0.0328296,0.00532596,0.0504699,0.0439026,0,0.0793446,0.0680063,0.0201923,0.0637505,0.0415063,0.0493396,0.0809749,0.0184539,0.0186169,0.00732616,0.0258737,0.0324026,0.0256946,0
24,0.0232417,0,0,0,0,0.0520615,0,0,0,0,0,0,0.022462,0,0.0253365,0.0695684,0,0,0.0140663,0,0,0.038017,0.074492,0.0211745,0.012404,0.0164099,0.0302178,0.0363083,0.0481112,0.0512408,0.0281656,0.0136907,0.0158588,0.0280172,0.0279336,0.0269926,0.0125712,0.00941591,0.0166556,0.0320874,0,0.0141756,0.0711121,0.0307998,0,0,0.0243425,0,0,0.0447457,0.058566,0.0279498,0.0327852,0.00531071,0.050472,0.043914,0,0.0793146,0.0679678,0.0201923,0.0637753,0.0415646,0.049365,0.0809982,0.0184388,0.0186357,0.00734873,0.0258674,0.0323848,0.0256434,0
25,0.0232872,0,0,0,0,0.0520409,0,0,0,0,0,0,0.0224964,0,0.0253442,0.0695478,0,0,0.0140885,0,0,0.0380352,0.0744864,0.0211327,0.0124215,0.0164232,0.0302459,0.036237,0.0480427,0.0512519,0.0281624,0.0136886,0.0158601,0.0280064,0.0279426,0.0269268,0.0125771,0.00944035,0.0165236,0.0320834,0,0.0141814,0.0710969,0.0308502,0,0,0.0244856,0,0,0.0447323,0.0585385,0.0279449,0.0327626,0.00530519,0.0504795,0.0440057,0,0.079276,0.0679268,0.0201691,0.0637878,0.0416088,0.0493851,0.0810227,0.0184587,0.0185923,0.00734204,0.0258913,0.0324246,0.0256119,0
26,0.0233265,0,0,0,0,0.0519878,0,0,0,0,0,0,0.0225946,0,0.0253535,0.069575,0,0,0.0141083,0,0,0.038016,0.074392,0.0210955,0.0124056,0.0163775,0.0302632,0.0361759,0.0479976,0.0512329,0.0281527,0.0136609,0.0158422,0.0280213,0.0279366,0.0267601,0.0125955,0.00955384,0.0162777,0.0320755,0,0.0141655,0.0710515,0.0309131,0,0,0.0245947,0,0,0.0447424,0.0585072,0.0279508,0.0327462,0.00530499,0.0504794,0.0440947,0,0.0792741,0.0678995,0.0201455,0.0637938,0.0416023,0.0493957,0.0810436,0.01848,0.0185025,0.00731415,0.0259226,0.0324341,0.0255825,0
