Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,
564,0.0211847,0,0,0,0,0.0480287,0,0,0,0,0,0,0.0166021,0,0,0.0668537,0,0,0.0307259,0,0,0.0286871,0.0711288,0.0188061,0.00489453,0.016182,0.0426424,0.0423875,0.0496952,0.0556045,0.0288907,0.00729238,0.0123317,0.0273849,0.0272926,0.0330267,0.016946,0,0.0259871,0.0275861,0,0.0196926,0.064522,0.0313123,0,0,0.0266047,0,0,0.05066,0.0641656,0.0558259,0.0208475,0.00920657,0.0511327,0.0438639,0.0462987,0.0778078,0.0710286,0.021287,0.0562803,0.0306096,0.0418094,0.071046,0.0752268,0.0195761,0.0229525,0.0205079,0.0261353,0.0313058,0
565,0.0212859,0,0,0,0,0.0480063,0,0,0,0,0,0,0.0164121,0,0,0.0668838,0,0,0.0305735,0,0,0.0286584,0.0711537,0.0188529,0.00492026,0.0161039,0.0426508,0.0423531,0.0496606,0.0555897,0.0290987,0.00722515,0.0122197,0.0273715,0.0272937,0.0332514,0.0169966,0,0.0259877,0.0261375,0,0.0192656,0.0642765,0.0314042,0,0,0.0265419,0,0,0.0505941,0.0638955,0.0546025,0.0207893,0.00901343,0.0512567,0.0438992,0.046474,0.0781601,0.0712283,0.0214715,0.0565807,0.0309589,0.0422395,0.0714338,0.0721667,0.0194521,0.0228983,0.0205313,0.0261812,0.031222,0
566,0.0213729,0,0,0,0,0.0479724,0,0,0,0,0,0,0.0162663,0,0,0.0670094,0,0,0.0304095,0,0,0.0286391,0.0711938,0.0188627,0.00498703,0.0160257,0.042665,0.0422744,0.0496591,0.0555455,0.0292378,0.00718343,0.0121231,0.0274181,0.0272899,0.0335352,0.0170004,0,0.0259886,0.0247973,0,0.0188383,0.0643653,0.03152,0,0,0.0265033,0,0,0.0505086,0.0636253,0.0533881,0.020756,0.00888569,0.0514177,0.0439178,0.0466967,0.0784682,0.0714872,0.0215156,0.0569138,0.0313331,0.0426402,0.0718099,0.0690716,0.0193496,0.0229049,0.0205391,0.0262555,0.0311639,0
567,0.021446,0,0,0,0,0.0479111,0,0,0,0,0,0,0.0161644,0,0,0.0671984,0,0,0.0302425,0,0,0.0286138,0.0712051,0.0189551,0.0050617,0.0159791,0.0426559,0.0421756,0.0496659,0.0554814,0.0292306,0.00712643,0.0120478,0.0274633,0.0273468,0.0338517,0.016998,0,0.0259851,0.023667,0,0.0184129,0.0648331,0.0316544,0,0,0.0264666,0,0,0.0504752,0.0634284,0.0523057,0.020788,0.00876385,0.0515712,0.0439074,0.0469037,0.0787325,0.0717384,0.0215324,0.0572511,0.0317132,0.0430171,0.0721618,0.0661439,0.0192579,0.0229248,0.0205346,0.0263473,0.0311127,0
568,0.021498,0,0,0,0,0.0478482,0,0,0,0,0,0,0.0160989,0,0,0.0674705,0,0,0.0300513,0,0,0.028554,0.0712518,0.0190832,0.00511707,0.0160052,0.0425851,0.0420997,0.0496396,0.0553869,0.0291621,0.00711851,0.0120186,0.0274765,0.0274051,0.0339964,0.0169525,0,0.0259246,0.0227315,0,0.0180292,0.0648956,0.0317967,0,0,0.026312,0,0,0.0504326,0.0631835,0.0511503,0.0208145,0.00862704,0.0517251,0.0438494,0.0471266,0.0790005,0.0719858,0.0216057,0.0576271,0.0321465,0.0433873,0.0725638,0.063671,0.0191343,0.0228434,0.0205267,0.0264459,0.0310242,0
569,0.0215323,0,0,0,0,0.0477888,0,0,0,0,0,0,0.016047,0,0,0.0676186,0,0,0.0298249,0,0,0.0285103,0.0713067,0.0191345,0.0051592,0.0160159,0.042632,0.0420283,0.0496005,0.0552828,0.029076,0.00714277,0.0120147,0.0274545,0.0274267,0.0340315,0.0169202,0,0.0258916,0.0219238,0,0.0175341,0.0648112,0.0318671,0,0,0.0261745,0,0,0.0503635,0.0629432,0.0500713,0.0208379,0.00853019,0.0519553,0.0437476,0.0473048,0.0792779,0.0720853,0.0216934,0.0579819,0.0325747,0.0437054,0.0729187,0.0613932,0.0189946,0.0227622,0.0205249,0.0265062,0.030994,0
570,0.0215967,0,0,0,0,0.0477462,0,0,0,0,0,0,0.0159954,0,0,0.0677374,0,0,0.0295957,0,0,0.0284638,0.0713506,0.0192093,0.00518841,0.0158621,0.0426684,0.0418902,0.0495103,0.055206,0.0290007,0.00713948,0.0120221,0.0274646,0.0273962,0.0340702,0.0168575,0,0.0258527,0.0212777,0,0.0171264,0.064707,0.0319141,0,0,0.0260462,0,0,0.0502627,0.0627214,0.0490762,0.0208551,0.00843599,0.0521278,0.0436658,0.0474945,0.0795341,0.0721883,0.0217029,0.0583314,0.03301,0.0439849,0.0732711,0.0592599,0.0188731,0.0226006,0.0205372,0.0265704,0.0309521,0
571,0.0217073,0,0,0,0,0.0476669,0,0,0,0,0,0,0.0159481,0,0,0.0679232,0,0,0.0294463,0,0,0.0284185,0.071372,0.0192728,0.0052806,0.0158427,0.0423609,0.0418016,0.0494375,0.0551539,0.0289297,0.0071183,0.0120255,0.0274828,0.0273544,0.0340643,0.0168467,0,0.0258134,0.0207727,0,0.0168688,0.0647098,0.0319903,0,0,0.0259517,0,0,0.0501968,0.0625057,0.0482079,0.0210451,0.00838344,0.0520577,0.0436662,0.0477645,0.0797632,0.0723032,0.0216717,0.0586333,0.033414,0.0442241,0.0735916,0.0572912,0.0187918,0.0223098,0.0205369,0.0266518,0.0308435,0
572,0.0217992,0,0,0,0,0.0476221,0,0,0,0,0,0,0.015969,0,0,0.0681432,0,0,0.0293034,0,0,0.0283879,0.0714167,0.0191936,0.00540744,0.0158835,0.0421784,0.0416808,0.0493235,0.0550681,0.0288275,0.007099,0.0119924,0.0274732,0.0272647,0.0339801,0.0168089,0,0.0257711,0.0203095,0,0.0166473,0.0646159,0.0320828,0,0,0.0257687,0,0,0.050137,0.0623144,0.0473727,0.0211966,0.00840809,0.0521881,0.0436486,0.0480773,0.0799565,0.0723533,0.0215733,0.0588904,0.0337893,0.0445109,0.073863,0.0554489,0.0187788,0.0220549,0.0205897,0.0267347,0.0307565,0
573,0.021887,0,0,0,0,0.0476232,0,0,0,0,0,0,0.0160608,0,0,0.0683369,0,0,0.0291958,0,0,0.0283995,0.0714252,0.0191133,0.00549635,0.0159287,0.0421364,0.0416034,0.0492478,0.0549937,0.028773,0.0070576,0.0119054,0.0275153,0.0272763,0.0338397,0.0167965,0,0.0257568,0.0199379,0,0.0162931,0.0644817,0.0321256,0,0,0.0256205,0,0,0.050148,0.0621361,0.0465288,0.0213165,0.00840836,0.0523877,0.0436198,0.0483366,0.0802463,0.0723315,0.0213986,0.0591318,0.0341698,0.0447873,0.0741777,0.0535055,0.0187616,0.0219122,0.0207684,0.0268025,0.0306533,0
574,0.0220053,0,0,0,0,0.0476387,0,0,0,0,0,0,0.0161912,0,0,0.0684205,0,0,0.0291027,0,0,0.0283771,0.0713863,0.0190141,0.00555746,0.0159735,0.042158,0.0415233,0.0491845,0.0549551,0.028776,0.00700381,0.0118137,0.0276313,0.0273051,0.0336533,0.0167607,0,0.0257586,0.0196698,0,0.0159619,0.0643785,0.0321219,0,0,0.0256169,0,0,0.0501332,0.0619783,0.0457327,0.0214323,0.0083405,0.0526041,0.0436069,0.0485805,0.0804177,0.0722624,0.021262,0.0593805,0.0345626,0.0450459,0.0744807,0.0515048,0.0186443,0.0219005,0.020939,0.0268105,0.0305409,0
575,0.022164,0,0,0,0,0.0475981,0,0,0,0,0,0,0.016291,0,0,0.0686269,0,0,0.0290267,0,0,0.0283312,0.0713665,0.01894,0.00563774,0.0160009,0.0421223,0.0414554,0.0491767,0.054968,0.0287918,0.00696659,0.0117193,0.0276861,0.0273672,0.0333817,0.0167253,0,0.0257496,0.0195171,0,0.0156891,0.0643189,0.032215,0,0,0.0257458,0,0,0.0500725,0.0618157,0.0449354,0.0215951,0.0082128,0.0527974,0.0436133,0.0488999,0.0806722,0.0721443,0.0211176,0.0596464,0.0349546,0.0453084,0.0748036,0.0496625,0.0183791,0.0219965,0.0210378,0.0267655,0.0304551,0
576,0.0223154,0,0,0,0,0.0475759,0,0,0,0,0,0,0.0164187,0,0,0.0687247,0,0,0.028944,0,0,0.0282718,0.0713195,0.018861,0.00573908,0.016007,0.0420136,0.0413661,0.0492008,0.0550098,0.0288218,0.00691435,0.0116128,0.0277028,0.0274319,0.0330912,0.0166622,0,0.0257206,0.0195052,0,0.015262,0.0642952,0.0323156,0,0,0.0258601,0,0,0.0500257,0.0616619,0.0440949,0.0218221,0.00798977,0.0530141,0.0435257,0.0491773,0.0810211,0.0720157,0.0209767,0.059934,0.0353382,0.0455691,0.0751332,0.0478265,0.018007,0.0221121,0.0210683,0.0267067,0.0303972,0
577,0.0224541,0,0,0,0,0.0475782,0,0,0,0,0,0,0.0165993,0,0,0.0687349,0,0,0.0288464,0,0,0.0282375,0.0712555,0.0187788,0.00583108,0.016054,0.0419098,0.0412665,0.0492283,0.0550654,0.0288524,0.00686069,0.0115056,0.0277011,0.0274761,0.0328911,0.0166001,0,0.0257068,0.019693,0,0.0148753,0.0642909,0.0323756,0,0,0.0259407,0,0,0.0500093,0.0615119,0.0432953,0.0220764,0.00779275,0.0532286,0.0433644,0.0493739,0.0812107,0.071918,0.0208396,0.0602163,0.035735,0.0458989,0.0754282,0.0458284,0.0177131,0.0221505,0.0209402,0.0266599,0.0303036,0
578,0.0225976,0,0,0,0,0.0475984,0,0,0,0,0,0,0.016749,0,0,0.0687359,0,0,0.0287711,0,0,0.0282033,0.0712315,0.018669,0.0058768,0.0161947,0.0418649,0.0411955,0.049167,0.0551151,0.028846,0.00686028,0.0114276,0.0275718,0.02749,0.0328533,0.0165581,0,0.0257058,0.0201195,0,0.0145469,0.0644005,0.0324473,0,0,0.0259782,0,0,0.0500297,0.0613952,0.0425332,0.0224087,0.00759111,0.0533972,0.043168,0.0495059,0.0812366,0.0718765,0.0207832,0.0604734,0.0361338,0.0461835,0.0757743,0.0436498,0.0175726,0.0222323,0.0207816,0.0266235,0.0301595,0
579,0.0227745,0,0,0,0,0.0476457,0,0,0,0,0,0,0.0167801,0,0,0.0687486,0,0,0.0286725,0,0,0.0281678,0.0712664,0.0186297,0.0059469,0.0163786,0.0417935,0.0410732,0.0490346,0.0551217,0.0288089,0.00688529,0.0114165,0.0275085,0.0274749,0.0328394,0.0165005,0,0.0256775,0.0206363,0,0.0141791,0.0645913,0.0325415,0,0,0.0257187,0,0,0.0499643,0.0612495,0.041755,0.0227844,0.00733313,0.0535093,0.0429336,0.0496307,0.0813492,0.071727,0.0207787,0.0607488,0.0365573,0.0464457,0.0761637,0.0413559,0.0175884,0.0222744,0.0206879,0.0266187,0.0299757,0
580,0.0229609,0,0,0,0,0.0477053,0,0,0,0,0,0,0.0168123,0,0,0.0687695,0,0,0.0285088,0,0,0.028128,0.0712947,0.0186423,0.00603953,0.0164838,0.0416817,0.0408883,0.0489568,0.0551195,0.0287832,0.00690102,0.0114372,0.0275269,0.0274731,0.0327303,0.0163677,0,0.0256144,0.0213737,0,0.0137909,0.0647313,0.0326371,0,0,0.0254589,0,0,0.0498999,0.0611041,0.0409941,0.023132,0.00707998,0.0536695,0.0426507,0.0497185,0.0813774,0.0715611,0.0207578,0.0610257,0.0369568,0.0466784,0.0764928,0.0389626,0.017673,0.0222953,0.0206184,0.0266311,0.0298254,0
581,0.0231386,0,0,0,0,0.0477071,0,0,0,0,0,0,0.0168439,0,0,0.0687351,0,0,0.0283291,0,0,0.0280772,0.0713137,0.0185711,0.00610179,0.0165186,0.0416872,0.0407005,0.0489457,0.0551015,0.0287305,0.00689685,0.0114598,0.0275382,0.0274517,0.0326524,0.0162454,0,0.0255446,0.0223561,0,0.0133806,0.064898,0.0327147,0,0,0.025337,0,0,0.0498505,0.0610205,0.0402956,0.0234963,0.00672899,0.0538048,0.0423408,0.0497855,0.0814141,0.0714412,0.0206828,0.0612379,0.0372622,0.0468683,0.0767442,0.0366509,0.0175818,0.0222907,0.0206021,0.0266181,0.0297694,0
582,0.0233045,0,0,0,0,0.0476976,0,0,0,0,0,0,0.0169446,0,0,0.0686915,0,0,0.028144,0,0,0.0280283,0.0713448,0.0184043,0.00616125,0.0164922,0.0414913,0.040531,0.0489743,0.0550859,0.0287138,0.0068894,0.0114446,0.0275456,0.0274469,0.0325092,0.016144,0,0.0254757,0.023343,0,0.0129301,0.0650553,0.0328128,0,0,0.0252156,0,0,0.0498151,0.0609145,0.0395614,0.0238357,0.00631322,0.0539046,0.0421184,0.0498278,0.0813259,0.0713044,0.0206783,0.0614184,0.0374017,0.047058,0.0770949,0.0343777,0.0174637,0.022343,0.0205718,0.0266267,0.0297465,0
583,0.0234849,0,0,0,0,0.0477015,0,0,0,0,0,0,0.0170975,0,0,0.0686652,0,0,0.0279663,0,0,0.0279911,0.0713743,0.0181694,0.00624694,0.01643,0.0412602,0.0403535,0.0489694,0.0550903,0.0287063,0.00689448,0.0113969,0.0275656,0.0274818,0.0322664,0.0160374,0,0.025414,0.024285,0,0.0125778,0.0652098,0.0329176,0,0,0.0251165,0,0,0.0497792,0.0607416,0.0388049,0.0241812,0.00585237,0.0540021,0.0419702,0.0499029,0.0813556,0.0711657,0.0207239,0.0615883,0.037556,0.0473009,0.0774591,0.0321753,0.017315,0.0224269,0.020566,0.0266471,0.0296267,0
584,0.023604,0,0,0,0,0.0477211,0,0,0,0,0,0,0.0171529,0,0,0.0685693,0,0,0.027832,0,0,0.0279691,0.071391,0.0181884,0.00626945,0.0164318,0.0412187,0.0401897,0.0489777,0.0551113,0.0287185,0.0069436,0.0114109,0.0276053,0.0275529,0.0320694,0.0159196,0,0.0253637,0.0253825,0,0.0122604,0.0654516,0.0330446,0,0,0.0250292,0,0,0.049748,0.0606072,0.0381657,0.0245349,0.0053967,0.0541031,0.0418422,0.0499626,0.0814839,0.0710639,0.0207453,0.0617858,0.037737,0.0474673,0.0777436,0.0301132,0.0172155,0.022473,0.0205527,0.0266625,0.0295919,0
585,0.0239579,0,0,0,0,0.0466046,0,0,0,0,0,0,0.0172467,0,0,0.0687171,0,0,0.0274899,0,0,0.0278527,0.0716285,0.0182802,0.00668101,0.016244,0.0407676,0.0400553,0.048804,0.0548427,0.0284655,0.00705028,0.0114059,0.0275888,0.0275347,0.0319167,0.0158078,0,0.0252734,0.0266286,0,0.0119333,0.0655194,0.0323611,0,0,0.0250801,0,0,0.0502326,0.0605479,0.0375742,0.0250913,0.00495147,0.0542603,0.0425744,0.0499619,0.0813935,0.0710056,0.0208191,0.0619575,0.0379576,0.0476523,0.0779636,0.0280754,0,0.0227728,0.0217574,0.0257895,0.0302447,0
586,0.0238034,0,0,0,0,0.047698,0,0,0,0,0,0,0.0171793,0,0,0.0683986,0,0,0.0275363,0,0,0.0279031,0.0714677,0.0183161,0.00631648,0.0165312,0.0411505,0.0398196,0.049051,0.0551128,0.0287934,0.00700584,0.0114842,0.0276862,0.0276397,0.0318926,0.0157659,0,0.0252427,0.0275494,0,0.0116749,0.0659073,0.0332495,0,0,0.0249387,0,0,0.0496368,0.0602642,0.0371013,0.0252012,0.0045561,0.0543781,0.0416842,0.0499848,0.0813863,0.0711426,0.0208817,0.0621021,0.0381447,0.0478529,0.0782014,0.0264931,0.0170414,0.0223844,0.0205874,0.0266232,0.0293468,0
587,0.0239279,0,0,0,0,0.0476548,0,0,0,0,0,0,0.0171144,0,0,0.0683275,0,0,0.0273835,0,0,0.0278635,0.0715304,0.0183236,0.00633084,0.0166079,0.0411581,0.03964,0.0491345,0.0551121,0.0288294,0.00702323,0.0115348,0.02767,0.0276103,0.0319451,0.0156784,0,0.0251968,0.0284756,0,0.0114169,0.0661478,0.0333232,0,0,0.0248938,0,0,0.0495522,0.0600809,0.0367022,0.0254838,0.00421923,0.0545058,0.0416234,0.0500017,0.0812563,0.0713414,0.0209618,0.062238,0.0383338,0.0479908,0.0784398,0.0249123,0.0164281,0.0222957,0.0206492,0.0265788,0.0292239,0
588,0.0240826,0,0,0,0,0.047581,0,0,0,0,0,0,0.0170889,0,0,0.0682457,0,0,0.0272171,0,0,0.0278246,0.0716071,0.0183261,0.00635587,0.0166273,0.0412221,0.0394608,0.0491782,0.0550976,0.0288741,0.0070252,0.0115217,0.0276815,0.0275961,0.0319273,0.0156015,0,0.0251456,0.0292204,0,0.0111945,0.0663239,0.0333856,0,0,0.0249421,0,0,0.0494902,0.0599169,0.036295,0.0258261,0.0039546,0.0545779,0.0415616,0.0500035,0.0811601,0.0713743,0.0210015,0.0623733,0.0384317,0.0480854,0.0786504,0.0236173,0.0155395,0.0221652,0.0207635,0.0265446,0.029173,0
589,0.0241475,0,0,0,0,0.047684,0,0,0,0,0,0,0.0171081,0,0,0.0681797,0,0,0.0270983,0,0,0.0277931,0.0717052,0.0182792,0.00638234,0.0166081,0.0410532,0.0393097,0.0491825,0.0550676,0.0288728,0.00703506,0.0114789,0.027707,0.0276129,0.0318836,0.0154737,0,0.0250926,0.0300833,0,0.0109678,0.0664919,0.0335073,0,0,0.0246046,0,0,0.0495463,0.0598176,0.0359176,0.0260641,0.0037379,0.0545716,0.0415114,0.0499775,0.0810652,0.0712496,0.0210456,0.062497,0.0384521,0.0481589,0.0788077,0.0225314,0.0164996,0.0222536,0.0205584,0.0266589,0.0290135,0
590,0.0242362,0,0,0,0,0.0476884,0,0,0,0,0,0,0.0171759,0,0,0.0681137,0,0,0.0269327,0,0,0.0277399,0.0717902,0.0182461,0.00637399,0.016585,0.0408914,0.0391375,0.0491846,0.0550391,0.0288634,0.00708531,0.0114656,0.0277569,0.0276576,0.0317522,0.0153156,0,0.0250236,0.0309527,0,0.0107771,0.066631,0.0335777,0,0,0.0244595,0,0,0.0495663,0.059736,0.0356299,0.0261933,0.003571,0.054536,0.0414502,0.0499813,0.0809845,0.0711664,0.0210863,0.0625806,0.0384584,0.0482101,0.0789278,0.0216697,0.0165858,0.0222747,0.0205637,0.0266896,0.0289542,0
591,0.0243527,0,0,0,0,0.0475888,0,0,0,0,0,0,0.0172253,0,0,0.0681039,0,0,0.0267379,0,0,0.0276739,0.0718626,0.0182596,0.00637697,0.0165629,0.0407353,0.038873,0.0491616,0.0550003,0.02882,0.00710836,0.011466,0.0277728,0.0276915,0.0316161,0.0151571,0,0.0249394,0.0314204,0,0.010652,0.0667329,0.0335905,0,0,0.0245244,0,0,0.0495081,0.0596539,0.0354789,0.0263195,0.00343924,0.0545045,0.0414063,0.0499801,0.0809693,0.0711098,0.0211014,0.0626274,0.0385054,0.0482597,0.0790181,0.0210706,0.0157467,0.0222095,0.0207562,0.0266252,0.0289741,0
592,0.0244006,0,0,0,0,0.0476515,0,0,0,0,0,0,0.0172851,0,0,0.0681545,0,0,0.0265673,0,0,0.0276427,0.0719422,0.0182598,0.00643775,0.0165215,0.0405625,0.0385923,0.0491086,0.0549212,0.0287547,0.00714116,0.0115018,0.0277753,0.0277092,0.0314718,0.0149979,0,0.0248649,0.0315976,0,0.0105579,0.0668269,0.0336919,0,0,0.024274,0,0,0.0495309,0.0595946,0.035361,0.0264687,0.00332209,0.0544982,0.0413807,0.049969,0.0810483,0.0710867,0.0210959,0.062659,0.0385851,0.0483115,0.0790666,0.020659,0.0165387,0.0222968,0.020629,0.0266822,0.0288323,0
593,0.0244457,0,0,0,0,0.0476825,0,0,0,0,0,0,0.0173893,0,0,0.068185,0,0,0.0263794,0,0,0.0275951,0.0720191,0.0182361,0.0064981,0.0165205,0.0404548,0.0383103,0.049062,0.0548297,0.0286477,0.00720054,0.0115524,0.0277619,0.0277097,0.0312624,0.0148277,0,0.0247881,0.0317104,0,0.0104039,0.0668965,0.0337785,0,0,0.0240695,0,0,0.0495391,0.0595411,0.0352034,0.0266023,0.0031978,0.0544443,0.0413236,0.0499686,0.0810523,0.0711157,0.0211149,0.0626539,0.0386568,0.0483465,0.0790525,0.0204055,0.0171483,0.0223733,0.0205175,0.0267396,0.0287053,0
594,0.0244829,0,0,0,0,0.0476507,0,0,0,0,0,0,0.0175311,0,0,0.0681596,0,0,0.0261544,0,0,0.0275437,0.0720995,0.0181837,0.00654328,0.0165596,0.0403799,0.0380095,0.048998,0.0547413,0.0285236,0.00728398,0.011591,0.0277505,0.0277017,0.0309949,0.0146557,0,0.0247084,0.0316546,0,0.0102587,0.0669839,0.0338394,0,0,0.0239114,0,0,0.0494894,0.0594954,0.0351341,0.0267127,0.00306394,0.0543873,0.0412497,0.0499359,0.0809656,0.0711877,0.0211149,0.0626921,0.0387327,0.0482966,0.0789932,0.0204473,0.0172029,0.0224179,0.0204648,0.0267392,0.0286446,0
595,0.0245025,0,0,0,0,0.0476132,0,0,0,0,0,0,0.0177973,0,0,0.067965,0,0,0.0258958,0,0,0.0274811,0.0721907,0.0180718,0.00643236,0.0164735,0.0403242,0.0376965,0.0489353,0.0546282,0.0284,0.00737167,0.0115652,0.0277131,0.0276777,0.0305085,0.0144179,0,0.0246152,0.0310549,0,0.0103861,0.0672835,0.0338539,0,0,0.0237533,0,0,0.0494666,0.0594681,0.0352404,0.0269417,0.00288282,0.0544114,0.0411295,0.0499227,0.0809089,0.0711609,0.0210147,0.0627335,0.0388092,0.048245,0.0789079,0.0211519,0.0171556,0.0224782,0.0204264,0.0267005,0.0286482,0
596,0.0251569,0,0,0,0,0.047396,0,0,0,0,0,0,0.0196086,0,0,0.0547658,0,0,0.0271082,0,0,0.0277901,0.0728153,0.0185153,0.00464826,0.0178964,0.0391786,0.0399351,0.0482014,0.0551063,0.0309847,0.00763779,0.0114579,0.0277176,0.0276431,0.0272734,0.0157435,0,0.0250953,0.0258328,0,0.0116422,0,0.0337702,0,0,0.0232658,0,0,0.0492975,0.0591819,0.0375567,0.0406648,0.00227617,0.0525613,0.0401067,0.052606,0.0826209,0.070689,0.0179564,0.0621648,0.0377836,0.0476931,0.0779961,0.0289538,0.0166223,0.0225949,0.0203202,0.0269141,0.0282423,0
597,0.0245974,0,0,0,0,0.0475573,0,0,0,0,0,0,0.0179898,0,0,0.0682152,0,0,0.0253078,0,0,0.0273541,0.0723458,0.0180787,0.00657392,0.0162201,0.0399374,0.0369804,0.0487652,0.0543928,0.02808,0.00748273,0.0115737,0.0277203,0.0276181,0.0302269,0.0138856,0,0.0243598,0.0296951,0,0.0108782,0.0673315,0.0339238,0,0,0.0235624,0,0,0.0495361,0.0592941,0.0351933,0.0270117,0.00301289,0.054274,0.040932,0.0498422,0.0807979,0.0712951,0.0209515,0.0627881,0.0389328,0.0482203,0.0787758,0.0226275,0.0172101,0.0227072,0.0204073,0.0265737,0.0285569,0
598,0.0246146,0,0,0,0,0.0475267,0,0,0,0,0,0,0.0179298,0,0,0.068493,0,0,0.0249913,0,0,0.0272929,0.0724583,0.018181,0.00684011,0.0161357,0.0396962,0.0365492,0.0486396,0.0542433,0.0278777,0.00755248,0.0116313,0.0277086,0.027616,0.0303405,0.0136035,0,0.024203,0.0293913,0,0.0109754,0.0671567,0.0339922,0,0,0.0234032,0,0,0.0495361,0.0591388,0.0350572,0.026853,0.00318912,0.0541093,0.0408334,0.049762,0.0807562,0.0712914,0.0210452,0.0628155,0.0389866,0.048249,0.0787158,0.0228909,0.0171526,0.0227098,0.0203913,0.026522,0.0284163,0
599,0.0246372,0,0,0,0,0.0474961,0,0,0,0,0,0,0.0180101,0,0,0.0684413,0,0,0.0246198,0,0,0.0272172,0.072574,0.0181848,0.00688002,0.0160057,0.0395239,0.0360606,0.048517,0.0541068,0.0276825,0.00763789,0.0116687,0.0276824,0.027647,0.0302317,0.0132887,0,0.0240409,0.0291498,0,0.0110204,0.0670583,0.0340414,0,0,0.0232644,0,0,0.0494772,0.0590107,0.0349114,0.0268113,0.00325966,0.0539719,0.0407116,0.049713,0.0807269,0.0712744,0.0210817,0.0628912,0.0390565,0.0483737,0.0788006,0.0231508,0.0170689,0.0227031,0.0203748,0.0264902,0.0283939,0
600,0.0246529,0,0,0,0,0.0474937,0,0,0,0,0,0,0.0181289,0,0,0.068384,0,0,0.0242324,0,0,0.0271304,0.072719,0.0181711,0.00685849,0.0158653,0.0394374,0.0355182,0.048403,0.0539745,0.0274791,0.00772703,0.0117163,0.027737,0.0276801,0.030105,0.0129957,0,0.0238623,0.0288666,0,0.0111296,0.0667869,0.0340943,0,0,0.0231389,0,0,0.0494,0.0588571,0.0345854,0.0267617,0.00331175,0.0538707,0.0405498,0.0496243,0.0807068,0.0712946,0.0210427,0.0629677,0.0391689,0.048528,0.0788754,0.0234441,0.0169737,0.0227225,0.0203882,0.026465,0.0284532,0
601,0.0246766,0,0,0,0,0.0474991,0,0,0,0,0,0,0.0182296,0,0,0.0683481,0,0,0.0238432,0,0,0.0270373,0.0728551,0.0181388,0.00688588,0.0157139,0.0392535,0.0349093,0.0483026,0.0538222,0.0272136,0.00783459,0.0117386,0.0278037,0.0277132,0.030013,0.0127006,0,0.0236727,0.0286017,0,0.0112973,0.0666597,0.0341913,0,0,0.0228873,0,0,0.04939,0.0586926,0.0341962,0.0268318,0.00334106,0.0537794,0.0404082,0.0495465,0.0806981,0.071373,0.0210836,0.0630375,0.0392902,0.0485527,0.0788814,0.023735,0.0170487,0.0227714,0.0204003,0.0264432,0.0283533,0
602,0.0246842,0,0,0,0,0.0474762,0,0,0,0,0,0,0.0182465,0,0,0.0684509,0,0,0.0233868,0,0,0.0269402,0.0729956,0.0181324,0.00703273,0.0155348,0.0390711,0.0342779,0.0482291,0.0536076,0.0268756,0.00796085,0.0117979,0.0278163,0.0277736,0.030037,0.0123725,0,0.023495,0.028288,0,0.0115179,0.0670581,0.0343194,0,0,0.02276,0,0,0.0494035,0.0585802,0.0337832,0.0269028,0.00337807,0.053682,0.0403285,0.0494503,0.0806566,0.0714543,0.0212593,0.0630434,0.0394245,0.0484979,0.0788597,0.0240106,0.0170863,0.0228389,0.0203696,0.0264169,0.0282153,0
603,0.0246889,0,0,0,0,0.0474476,0,0,0,0,0,0,0.0182541,0,0,0.0685237,0,0,0.0228768,0,0,0.0268342,0.0731527,0.0181201,0.00717687,0.015375,0.0389258,0.0336718,0.0481364,0.0533583,0.0265135,0.00809944,0.0119104,0.0278109,0.0278372,0.0301019,0.0119902,0,0.0233072,0.0279366,0,0.0117965,0.0674224,0.0344701,0,0,0.0226979,0,0,0.0494012,0.0584809,0.0334229,0.0270408,0.00343664,0.0535814,0.0402613,0.0493381,0.0806254,0.0715802,0.0213578,0.0630375,0.0395751,0.0484255,0.0788,0.0243074,0.0170807,0.0229218,0.0203517,0.0264024,0.0281286,0
604,0.0247893,0,0,0,0,0.0472779,0,0,0,0,0,0,0.0182963,0,0,0.0686568,0,0,0.0222182,0,0,0.0266978,0.0734289,0.0181322,0.0074716,0.0151707,0.0384598,0.0330021,0.0478946,0.0529585,0.0260028,0.00829137,0.0120454,0.0278255,0.0278084,0.0301401,0.0118221,0,0.023034,0.0276801,0,0.012027,0.0676149,0.0340783,0,0,0.0223128,0,0,0.0449126,0.0584758,0.0330961,0.0273184,0.0035163,0.0534556,0.0406922,0.0491573,0.0805584,0.0716823,0.0214409,0.0630614,0.0398276,0.0483329,0.0787732,0.0245492,0.0190279,0.0250154,0,0.0261867,0.0282661,0
