Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LWRA
120,0.0227733,0,0,0,0,0.0405814,0,0,0,0,0,0,0.0253693,0,0.0249161,0.0684241,0,0,0.0195097,0,0,0.0406984,0.0698842,0.0252805,0.00647229,0.0197948,0.0327713,0.0150429,0.0478985,0.055018,0.0387636,0.0146259,0.0153765,0.0283907,0.0298479,0.0252974,0.0223453,0.0210804,0.0365375,0,0.00954205,0.0632632,0.0435125,0,0,0.0246365,0,0,0.0461902,0.0636872,0.0318695,0.00949929,0.00503387,0.0401809,0.0491019,0.0405363,0.0745428,0.0695253,0.0252905,0.0656057,0.0406265,0.0515962,0.0832486,0.0149488,0.0163256,0.00832014,0.0247775,0.0243086,0.0324781,0.0334031
121,0.0227631,0,0,0,0,0.0405656,0,0,0,0,0,0,0.0253126,0,0.0249555,0.0684081,0,0,0.0195039,0,0,0.0407199,0.0698931,0.025261,0.00647842,0.0198309,0.0327774,0.0150167,0.0479148,0.0550115,0.0387968,0.0146056,0.0153294,0.0283843,0.0298228,0.0253391,0.0223924,0.0210602,0.0366356,0,0.00948942,0.0632705,0.0434987,0,0,0.0246282,0,0,0.0461935,0.0636755,0.0316777,0.00954989,0.00501906,0.0401622,0.0491091,0.0405235,0.074521,0.0695439,0.0253995,0.0656066,0.0406116,0.0515843,0.0832388,0.0148802,0.0162779,0.00834695,0.0247717,0.0243005,0.0324925,0.0333817
122,0.0227415,0,0,0,0,0.040545,0,0,0,0,0,0,0.0252554,0,0.0249937,0.0683812,0,0,0.0195161,0,0,0.0407217,0.0699224,0.0253427,0.00649028,0.0198942,0.032777,0.0150037,0.0478998,0.0550072,0.0388,0.0146118,0.0152787,0.0283578,0.0298115,0.0253461,0.02241,0.021086,0.0367391,0,0.00943905,0.0633113,0.043492,0,0,0.0246157,0,0,0.0461832,0.063653,0.0315018,0.00956539,0.0050073,0.0401501,0.0491042,0.0405324,0.0744969,0.0695639,0.0254537,0.0655966,0.0406012,0.0515381,0.0832416,0.0147863,0.0162536,0.00834312,0.0247776,0.0242752,0.0325088,0.0333859
123,0.0227181,0,0,0,0,0.0405273,0,0,0,0,0,0,0.0252242,0,0.025049,0.0683497,0,0,0.0195338,0,0,0.0407075,0.0699479,0.0253585,0.00650823,0.0199415,0.0327611,0.0150239,0.0479166,0.0550312,0.038801,0.0146092,0.015269,0.0283439,0.0298035,0.0253824,0.0224231,0.0210974,0.0368212,0,0.00943103,0.0633374,0.0434783,0,0,0.0245859,0,0,0.0461901,0.0636279,0.0315017,0.00957379,0.00501161,0.0401284,0.0490909,0.0405321,0.0744805,0.0695593,0.0255539,0.0656022,0.0406175,0.0515603,0.0832683,0.0147133,0.0161539,0.00832703,0.024762,0.0242669,0.0325217,0.0333898
124,0.0227023,0,0,0,0,0.0405286,0,0,0,0,0,0,0.0252105,0,0.0250973,0.0683334,0,0,0.0195308,0,0,0.0407079,0.0699701,0.0253501,0.00653322,0.0199396,0.0327513,0.0150575,0.04797,0.0550509,0.0388259,0.0146333,0.0152447,0.0283271,0.029795,0.0254196,0.0224501,0.0210729,0.0368533,0,0.00949292,0.0633417,0.0434742,0,0,0.0245417,0,0,0.0462191,0.0636252,0.0317028,0.00960365,0.00504587,0.0401023,0.0490906,0.0405008,0.0744504,0.0695389,0.025635,0.0656208,0.0406557,0.0516083,0.0832926,0.0146869,0.0160223,0.00832222,0.0247212,0.0242702,0.0325237,0.0333966
125,0.0226931,0,0,0,0,0.040512,0,0,0,0,0,0,0.025174,0,0.0251298,0.0683502,0,0,0.0195136,0,0,0.0407114,0.0700013,0.0254232,0.00656178,0.0199172,0.0327368,0.015091,0.0479888,0.0550411,0.0388477,0.0146751,0.0152363,0.0283183,0.0298007,0.0254334,0.022441,0.0210302,0.0368691,0,0.00952126,0.0633314,0.0434672,0,0,0.0245058,0,0,0.0462331,0.0636053,0.0317615,0.0096324,0.00507307,0.0400743,0.0490891,0.0404776,0.0744495,0.069537,0.0257121,0.06563,0.040668,0.0516063,0.0833174,0.0146987,0.015959,0.00834045,0.0247001,0.0242732,0.0325114,0.0333797
126,0.0226961,0,0,0,0,0.0404795,0,0,0,0,0,0,0.0251356,0,0.0251484,0.068393,0,0,0.0194921,0,0,0.0407214,0.0700202,0.0254731,0.00660368,0.0198547,0.0327278,0.0151196,0.0480107,0.0550462,0.0388644,0.0146861,0.0151864,0.0283281,0.029772,0.0254728,0.0223912,0.0209817,0.0368861,0,0.00953082,0.0633243,0.0434554,0,0,0.0244713,0,0,0.0462521,0.0635702,0.0317061,0.00966437,0.00508766,0.0400385,0.0490847,0.0404794,0.074481,0.0695375,0.0257844,0.0656316,0.0406622,0.0515858,0.0833493,0.0147399,0.0158981,0.00835916,0.0246824,0.0242502,0.032489,0.0333518
127,0.0227059,0,0,0,0,0.0404657,0,0,0,0,0,0,0.0251207,0,0.0251129,0.0684203,0,0,0.0194688,0,0,0.0407253,0.0700163,0.0254646,0.00663352,0.0198208,0.032733,0.015136,0.0480282,0.0550639,0.0388671,0.0146844,0.01517,0.0283434,0.0297781,0.0255242,0.0223394,0.020968,0.0368614,0,0.00950787,0.063375,0.0434546,0,0,0.0244452,0,0,0.0462723,0.0635507,0.0316662,0.00966876,0.00510512,0.0400153,0.0490807,0.0404618,0.0744904,0.0695355,0.0258247,0.0656327,0.0406597,0.0515859,0.0833774,0.0147641,0.015794,0.00837479,0.0246705,0.0242268,0.0324936,0.0333285
128,0.0227008,0,0,0,0,0.0404422,0,0,0,0,0,0,0.0250929,0,0.0250858,0.0684301,0,0,0.0194638,0,0,0.0407257,0.070007,0.0253588,0.00663254,0.0198478,0.0327384,0.0151595,0.0480495,0.0550911,0.0388736,0.0146834,0.0151937,0.0283533,0.0297812,0.0255835,0.0223111,0.0209758,0.0367864,0,0.0094791,0.0633764,0.0434387,0,0,0.0244234,0,0,0.0462912,0.0635559,0.0316856,0.00964724,0.00510944,0.0400027,0.0490644,0.040469,0.074468,0.0695149,0.0258348,0.0656395,0.0406618,0.0515724,0.0833844,0.0147859,0.0156768,0.008371,0.0246864,0.024227,0.0325076,0.0333145
129,0.0226877,0,0,0,0,0.0404105,0,0,0,0,0,0,0.0251025,0,0.0251256,0.0684167,0,0,0.019484,0,0,0.0407238,0.0700133,0.025319,0.00663171,0.0198427,0.0327311,0.0151883,0.0480597,0.0550835,0.038896,0.0146582,0.0151848,0.0283342,0.0297864,0.0255905,0.0222937,0.0209858,0.0367461,0,0.00946119,0.0633426,0.0434098,0,0,0.0243989,0,0,0.0463224,0.063557,0.0317218,0.00964176,0.00510452,0.0400052,0.0490381,0.0404814,0.0744605,0.0694961,0.0258543,0.0656386,0.0406817,0.051555,0.0833725,0.0147944,0.0156534,0.0083467,0.0246879,0.0242427,0.0325232,0.0333078
130,0.022668,0,0,0,0,0.0403925,0,0,0,0,0,0,0.0251058,0,0.0251249,0.0683853,0,0,0.0195126,0,0,0.0407111,0.0700338,0.0252769,0.00662278,0.0196054,0.032729,0.0152231,0.0480595,0.0550588,0.0389047,0.0146954,0.0151513,0.0283297,0.0297838,0.0256073,0.0222711,0.0210075,0.0367247,0,0.00940431,0.0633281,0.0433938,0,0,0.0243676,0,0,0.0463652,0.0635724,0.0317252,0.00965938,0.0050896,0.0400096,0.0490183,0.0404946,0.0744744,0.0695075,0.0257854,0.0656365,0.0406953,0.0515702,0.0833779,0.0147833,0.015666,0.0083106,0.0246707,0.0242658,0.032527,0.0333094
131,0.0226356,0,0,0,0,0.0403858,0,0,0,0,0,0,0.0251316,0,0.0251329,0.0683901,0,0,0.0195177,0,0,0.0406945,0.070029,0.025287,0.00661272,0.019522,0.0327151,0.015224,0.0480677,0.0550489,0.038898,0.0147057,0.015117,0.0283069,0.0298155,0.025637,0.0222408,0.0210327,0.0367067,0,0.00933835,0.063303,0.0433823,0,0,0.0243477,0,0,0.0464166,0.0635844,0.0317212,0.00961137,0.0050471,0.0400023,0.0490142,0.0404805,0.07449,0.0695588,0.0252583,0.0656205,0.0406857,0.0515643,0.0833509,0.0148221,0.0156052,0.00828005,0.0246363,0.0242842,0.0325258,0.033296
132,0.0225729,0,0,0,0,0.0403598,0,0,0,0,0,0,0.0250886,0,0.0251012,0.0684619,0,0,0.019511,0,0,0.0406852,0.0700026,0.0252946,0.00660003,0.0195785,0.0326862,0.015266,0.0480502,0.0550324,0.0388476,0.0147245,0.0151427,0.0282775,0.029858,0.0256577,0.0222022,0.0210173,0.0366928,0,0.00938842,0.0631825,0.0433601,0,0,0.0243308,0,0,0.0464323,0.063662,0.0318179,0.0094432,0.0049734,0.0400035,0.0490171,0.0403634,0.0744596,0.0696369,0.024018,0.0655941,0.0406913,0.0515597,0.0832822,0.0148932,0.0155497,0.00825721,0.0246584,0.024285,0.0325398,0.033271
133,0.0225431,0,0,0,0,0.0403598,0,0,0,0,0,0,0.0250571,0,0.0250589,0.0684975,0,0,0.0194928,0,0,0.0406925,0.0700098,0.0252675,0.00660206,0.0195545,0.032647,0.0153178,0.0479993,0.0550197,0.038837,0.0147498,0.0151953,0.0282375,0.029887,0.0257171,0.0221861,0.0209888,0.0366725,0,0.00943229,0.0630603,0.043326,0,0,0.0242678,0,0,0.0464044,0.0636952,0.0318959,0.00935459,0.00496225,0.0399907,0.0490044,0.0402899,0.0744712,0.069649,0.0235473,0.0655698,0.0406875,0.0515515,0.0832441,0.0149248,0.0154934,0.00822889,0.0247288,0.0242732,0.0325475,0.0332585
134,0.0225432,0,0,0,0,0.0403758,0,0,0,0,0,0,0.0251367,0,0.0250507,0.0684974,0,0,0.0194769,0,0,0.0407007,0.0700295,0.0252484,0.00661459,0.0194655,0.0326115,0.015371,0.0479615,0.0550429,0.0388325,0.014745,0.0152198,0.028312,0.0299026,0.0257631,0.0221739,0.0209819,0.0366485,0,0.00939752,0.0630238,0.0432869,0,0,0.0242083,0,0,0.0463912,0.0636468,0.0318905,0.00940358,0.00497673,0.0399712,0.0489614,0.0403188,0.0744885,0.0696188,0.0239388,0.0655775,0.0406595,0.0515933,0.0832177,0.0149516,0.0154559,0.00824644,0.0247577,0.0242734,0.0325428,0.0332658
