Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RANK,,RTIBA
1721,0.0326922,0,0,0,0,0.0644569,0,0,0,0,0,0,0.0281213,0,0.014679,0.0679407,0,0,0.0216031,0,0,0.0396657,0.0657103,0.0198817,0.00568939,0.0233116,0.0482227,0.0388507,0.0476643,0.0598879,0.0411364,0.01444,0.0162214,0.0284529,0.0299556,0.0166015,0.0129829,0.0311169,0.02122,0.0353978,0,0.0612408,0.0439623,0,0,0.0795772,0,0,0.0478171,0.0626194,0.0329381,0.0185581,0.00653285,0.0509058,0.102483,0.037996,0.0725945,0.0726339,0.0298617,0.0601706,0.0462284,0.0778817,0.0165533,0.0516481,0.138652,0.0570605,0.0401212,0.0215437,0.0119539,0,0.0366309
1722,0.0327257,0,0,0,0,0.0644596,0,0,0,0,0,0,0.0285898,0,0.0145556,0.0679501,0,0,0.0216422,0,0,0.039666,0.0657884,0.0199992,0.00560539,0.0232801,0.0481113,0.0393406,0.0472338,0.0598097,0.0412754,0.0144824,0.0162187,0.0285505,0.0299621,0.0160728,0.0132615,0.030868,0.0212081,0.036135,0,0.06138,0.0438016,0,0,0.0795391,0,0,0.0476855,0.0623127,0.0326156,0.0188633,0.00645898,0.0510827,0.102634,0.0382769,0.0726844,0.0726034,0.0296645,0.060345,0.0463763,0.0780688,0.0161513,0.0514951,0.138463,0.0569489,0.0401144,0.0215579,0.0118446,0,0.0367021
1723,0.0327413,0,0,0,0,0.064481,0,0,0,0,0,0,0.0289493,0,0.0144057,0.0679094,0,0,0.0217041,0,0,0.0396846,0.0659075,0.0201428,0.00553515,0.0232423,0.0479814,0.0398694,0.0468016,0.0597395,0.0414088,0.0143723,0.0161088,0.0285752,0.0299113,0.0156436,0.0135223,0.0305829,0.0211906,0.0366772,0,0.0614335,0.0436684,0,0,0.0795246,0,0,0.0475611,0.0620217,0.0321032,0.0192114,0.00646245,0.0513321,0.102789,0.0385091,0.0728013,0.0726371,0.0293196,0.0604982,0.0464945,0.0782249,0.0157885,0.0514021,0.138302,0.0568639,0.040162,0.0216411,0.0117376,0,0.0368597
1724,0.0327465,0,0,0,0,0.0645142,0,0,0,0,0,0,0.0293368,0,0.0143124,0.0672312,0,0,0.0216422,0,0,0.0396371,0.066096,0.0206373,0.00563695,0.0232431,0.0481529,0.0405785,0.0460774,0.0597916,0.0416977,0.0141848,0.0162901,0.0286999,0.0300413,0.0155011,0.0137548,0.0294551,0.0219012,0.03672,0,0.0621635,0.0436737,0,0,0.0797994,0,0,0.047466,0.0615998,0.0317174,0.0195518,0.00661207,0.0514415,0.103612,0.0386529,0.0729004,0.07259,0.0290433,0.060671,0.0466445,0.0784014,0.0154882,0.0515134,0.13603,0.0564891,0.0403637,0.02171,0.0118767,0,0.0371947
1725,0.0327073,0,0,0,0,0.0645213,0,0,0,0,0,0,0.0300179,0,0.0140168,0.067248,0,0,0.0216156,0,0,0.0396047,0.0661396,0.0208665,0.00539936,0.0231533,0.0480402,0.0410505,0.0457545,0.0598769,0.0417287,0.0139884,0.0164793,0.0288688,0.0301143,0.0150794,0.0140363,0.0291841,0.0218896,0.0367237,0,0.0623556,0.0436566,0,0,0.0797566,0,0,0.0473572,0.0612981,0.0313107,0.0199931,0.00686964,0.0516726,0.103807,0.0388287,0.0729914,0.0724946,0.0289292,0.0607849,0.0467096,0.07854,0.0153864,0.051452,0.135957,0.0564484,0.0404361,0.0218221,0.0120526,0,0.0375596
1726,0.0325007,0,0,0,0,0.0643858,0,0,0,0,0,0,0.030339,0,0.0143026,0.0670623,0,0,0.0219177,0,0,0.0395599,0.0661413,0.0213174,0.00547679,0.0228367,0.0481668,0.0415257,0.0451515,0.0599179,0.0419104,0.0138737,0.0164039,0.0292697,0.0304128,0.014626,0.0139501,0.0282066,0.0220619,0.0359461,0,0.062581,0.0438612,0,0,0.0801728,0,0,0.0474493,0.0611367,0.0307815,0.020404,0.00694035,0.0520913,0.104466,0.0388791,0.0730537,0.0725264,0.0289744,0.060868,0.0467777,0.0787341,0.0155924,0.0516717,0.134218,0.0562911,0.0404556,0.0218878,0.0124618,0,0.0377468
1727,0.0323914,0,0,0,0,0.0643431,0,0,0,0,0,0,0.0307786,0,0.0138905,0.0675933,0,0,0.0215865,0,0,0.0394511,0.0660505,0.0214915,0.00505224,0.0228471,0.0478689,0.0416459,0.0451941,0.0600648,0.0421696,0.0140297,0.0165796,0.0291596,0.0303616,0.0141288,0.014347,0.0288493,0.0218198,0.0361692,0,0.0622883,0.0437057,0,0,0.079991,0,0,0.0474017,0.0609571,0.0300676,0.0208505,0.00715931,0.0523118,0.103917,0.0390126,0.0731632,0.0724991,0.0288928,0.0608956,0.0467568,0.0787914,0.0155421,0.0515537,0.136016,0.0566387,0.0403924,0.0221019,0.0124868,0,0.0380304
1728,0.0323241,0,0,0,0,0.0644121,0,0,0,0,0,0,0.0309221,0,0.0139474,0.067393,0,0,0.0214416,0,0,0.0395364,0.0660073,0.0222092,0.00497339,0.022975,0.047821,0.0419498,0.0451789,0.0603281,0.0427153,0.0137962,0.0165969,0.0289222,0.0303219,0.0139966,0.0144508,0.0280132,0.0218535,0.0361081,0,0.0626468,0.0438873,0,0,0.080082,0,0,0.0472041,0.0606546,0.0297619,0.0211976,0.00763062,0.0523227,0.104598,0.0390925,0.073149,0.0722901,0.0285789,0.0610649,0.0468838,0.0790287,0.0152895,0.0515692,0.134778,0.0563334,0.0405777,0.0222737,0.0124774,0,0.0382299
1729,0.0318154,0,0,0,0,0.0637725,0,0,0,0,0,0,0.0304644,0,0.0142985,0.0685215,0,0,0.0215625,0,0,0.0393112,0.0658544,0.0212635,0.00474466,0.0227474,0.0475783,0.0417094,0.045236,0.0603187,0.042747,0.013797,0.0164752,0.0291626,0.0306564,0.0138198,0.0143646,0.029464,0.0210056,0.0358774,0,0.0615279,0.0435872,0,0,0.0800387,0,0,0.0476922,0.0609548,0.0291929,0.0216089,0.00727685,0.0529974,0.103055,0.0389099,0.0731384,0.0726581,0.029324,0.0610186,0.0468323,0.0791505,0.015944,0.0514639,0.138552,0.0573634,0.0398344,0.0225936,0.0131038,0,0.0379857
1730,0.0314443,0,0,0,0,0.0635025,0,0,0,0,0,0,0.0301683,0,0.0156099,0.0681352,0,0,0.0219191,0,0,0.0390695,0.06588,0.0216219,0.00519786,0.0225417,0.0478594,0.0418537,0.0449481,0.0603379,0.0431502,0.0132647,0.0159412,0.0295371,0.0308544,0.0140426,0.0138959,0.0283171,0.0217881,0.0349411,0,0.0617972,0.0440296,0,0,0.0810425,0,0,0.0482091,0.0609119,0.0290784,0.02182,0.00742404,0.053342,0.103807,0.0386908,0.0729916,0.0725175,0.0295669,0.0612134,0.0471143,0.0796101,0.0163341,0.0523169,0.134976,0.0573175,0.0396413,0.0227641,0.0132082,0,0.0376975
