Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHI,RTHIA
All Timesteps RMSE,0,0.0280866,0,0,0,0,0.0456123,0,0,0,0,0,0,0.0323883,0,0.0198546,0.0699981,0,0,0.017432,0,0,0.0341953,0.0704621,0.0211627,0.00989686,0.0183181,0.0334162,0.0334932,0.0301932,0.0427549,0.0537577,0.0342182,0.011548,0.0137866,0.0277636,0.0283315,0.0169523,0.0147353,0.0263336,0.0200668,0.0325966,0,0.0153998,0.0650221,0.031938,0,0,0.0168667,0,0,0.0491017,0.0556926,0.036686,0.0299225,0.0121835,0.0516216,0.0409909,0.0677645,0.0248293,0.0561348,0.0349595,0.0418271,0.0738159,0.0296838,0.0187904,0.0280042,0.0297636,0.0258808,0.0272122,0.0390554,0.0699596
0,0,0.0238698,0,0,0,0,0.0496548,0,0,0,0,0,0,0.0335918,0,0.0223277,0.076508,0,0,0.0125033,0,0,0.0364782,0.0731271,0.0233798,0.0167596,0.0163389,0.0218951,0.0314571,0.029744,0.0383152,0.0480918,0.0315753,0.0150578,0.0162289,0.0291395,0.0307513,0.0139593,0.0191784,0.00850117,0.0132755,0.0414084,0,0.0109861,0.069409,0.0276466,0,0,0.0195789,0,0,0.0452614,0.0524185,0.0368307,0.0340871,0.00948095,0.048255,0.0411959,0.0664589,0.0248396,0.055519,0.0336544,0.042053,0.0750662,0.0155442,0.016422,0.00735918,0.0245623,0.0305453,0.0277495,0,0
1,0,0.0240808,0,0,0,0,0.0498131,0,0,0,0,0,0,0.0332112,0,0.0220256,0.0756695,0,0,0.0132045,0,0,0.0359945,0.0726543,0.0230192,0.0154124,0.01681,0.0235086,0.0299566,0.030118,0.0390443,0.0487289,0.0318848,0.0148964,0.0164051,0.0292232,0.0309152,0.0140249,0.0178336,0.00820922,0.0133037,0.0412195,0,0.0110525,0.068953,0.0295419,0,0,0.00625216,0,0,0.0463138,0.0520781,0.0366604,0.0335429,0.00948283,0.0484717,0.0387966,0.0663148,0.0244412,0.0555511,0.0337192,0.0420853,0.0750744,0.0155121,0.0212962,0.00813777,0.02529,0.0311149,0.0269844,0,0
2,0,0.0241486,0,0,0,0,0.0498846,0,0,0,0,0,0,0.0334316,0,0.0218756,0.0756325,0,0,0.01312,0,0,0.036319,0.0727033,0.0230414,0.0154321,0.0169007,0.0230363,0.0295417,0.0299715,0.0391389,0.0487887,0.0318699,0.0146955,0.0163057,0.0289725,0.0306531,0.0138662,0.0178787,0.00827223,0.0131308,0.0413361,0,0.0109954,0.0692027,0.0297724,0,0,0.00608027,0,0,0.0464932,0.0518393,0.0365932,0.0334772,0.00959893,0.0481542,0.0387774,0.0662713,0.0243311,0.0555334,0.0338268,0.0420052,0.0750301,0.0152191,0.0212406,0.00782989,0.025037,0.0312235,0.0267923,0,0
3,0,0.0241219,0,0,0,0,0.0498247,0,0,0,0,0,0,0.0334465,0,0.0218247,0.0755637,0,0,0.0132136,0,0,0.0364975,0.0727735,0.0229849,0.0153552,0.0169046,0.0229069,0.0290899,0.0299124,0.039035,0.0487772,0.0318753,0.0145631,0.0162071,0.0289409,0.0306016,0.0138255,0.0179222,0.00842076,0.0130025,0.0413423,0,0.0109997,0.0692971,0.0300319,0,0,0.00603529,0,0,0.0466634,0.0516702,0.0363715,0.0333324,0.00962864,0.047923,0.0388912,0.0662559,0.0243621,0.0555813,0.033935,0.0420361,0.0751071,0.0151706,0.0213824,0.00773975,0.0248504,0.031233,0.0266817,0,0
4,0,0.0240928,0,0,0,0,0.049721,0,0,0,0,0,0,0.0333753,0,0.0217698,0.0754854,0,0,0.0133548,0,0,0.036547,0.0728346,0.0228317,0.0153075,0.0169095,0.0230046,0.0286896,0.029748,0.0389599,0.0487506,0.0318975,0.0145008,0.0161674,0.028906,0.0305925,0.0137908,0.0179369,0.00856381,0.0129209,0.0413082,0,0.0110738,0.0693566,0.0302543,0,0,0.00612692,0,0,0.0468144,0.0514438,0.0361085,0.0332194,0.00962409,0.0476839,0.0390162,0.0662584,0.0243882,0.0556284,0.0340691,0.0421168,0.0751847,0.0151489,0.0215107,0.00777635,0.0246448,0.0311508,0.0265207,0,0
5,0,0.024085,0,0,0,0,0.04963,0,0,0,0,0,0,0.0334072,0,0.0217589,0.0755109,0,0,0.0134995,0,0,0.0365692,0.0728524,0.0227096,0.0153075,0.016855,0.0231398,0.0282988,0.0295824,0.0389942,0.048788,0.0319161,0.0144572,0.0160766,0.0288483,0.030525,0.0136426,0.017878,0.00874125,0.0126858,0.0412062,0,0.0111306,0.0694074,0.0304672,0,0,0.00623981,0,0,0.0468173,0.0511575,0.0359256,0.0331437,0.00967186,0.0474582,0.0391365,0.0662463,0.0243854,0.0556713,0.0342015,0.0421796,0.0752504,0.0151313,0.0216479,0.00762938,0.0249245,0.0310681,0.0263119,0,0
6,0,0.0239726,0,0,0,0,0.048485,0,0,0,0,0,0,0.0334292,0,0.0219618,0.0757646,0,0,0.0138199,0,0,0.0363838,0.0730881,0.0224158,0.0156664,0.016502,0.0225872,0.0279788,0.0288098,0.0385762,0.048554,0.031855,0.0145542,0.016041,0.0289832,0.0306344,0.013362,0.0177704,0.00887593,0.0126838,0.0409823,0,0.0113006,0.0694408,0.0299543,0,0,0.00469459,0,0,0.0378492,0.0509718,0.0356962,0.0331432,0.00953829,0.047353,0.0398958,0.0663378,0.024698,0.0557368,0.0342164,0.0423064,0.0754272,0.0154541,0.0235105,0,0.0257818,0.0301554,0.0268242,0,0
7,0,0.0239984,0,0,0,0,0.0493776,0,0,0,0,0,0,0.0332629,0,0.0218689,0.0753936,0,0,0.0139335,0,0,0.0363233,0.0729645,0.0224421,0.0152079,0.0166275,0.0232409,0.0276769,0.0291226,0.0388098,0.0488405,0.032016,0.0143945,0.0158776,0.0290103,0.0306299,0.0135158,0.0176629,0.00895074,0.0124718,0.0408705,0,0.0113069,0.0694203,0.0309386,0,0,0.00702848,0,0,0.0468947,0.0506198,0.0354604,0.0328104,0.00963238,0.0472548,0.0394401,0.0663186,0.0245978,0.0558552,0.0343558,0.0423816,0.0755019,0.0154004,0.0218184,0.00803626,0.0247399,0.0308225,0.0260646,0,0
8,0,0.0240428,0,0,0,0,0.0492365,0,0,0,0,0,0,0.0331446,0,0.0219112,0.0752153,0,0,0.0140292,0,0,0.0361808,0.0730399,0.0225263,0.0152652,0.0166254,0.02336,0.0272898,0.0293125,0.0388296,0.0488663,0.0320063,0.014318,0.0155954,0.0289901,0.0305716,0.0136151,0.0177287,0.00901159,0.0123619,0.0409552,0,0.0113406,0.0696086,0.0311842,0,0,0.00701295,0,0,0.046973,0.0509885,0.0353666,0.0327924,0.00962496,0.0471881,0.0395905,0.0663275,0.024571,0.0559312,0.0344763,0.0423939,0.0755763,0.0154292,0.0217848,0.00775669,0.0250127,0.0307273,0.0258987,0,0
9,0,0.0241203,0,0,0,0,0.0491066,0,0,0,0,0,0,0.0329373,0,0.0220137,0.0749474,0,0,0.0141853,0,0,0.0361723,0.0731148,0.0225088,0.0152224,0.0166071,0.0234577,0.026799,0.0296314,0.0388679,0.0489106,0.0320063,0.0142576,0.0153779,0.0289951,0.0305013,0.0137558,0.0177929,0.0090493,0.0123407,0.0412605,0,0.0112524,0.0698723,0.0314968,0,0,0.00699874,0,0,0.0470029,0.0522979,0.0353608,0.0328832,0.0095529,0.0471564,0.0397008,0.0663168,0.0244332,0.0559572,0.0345971,0.0424546,0.0756326,0.0155384,0.021806,0.00746034,0.025512,0.030631,0.02572,0,0
10,0,0.0242861,0,0,0,0,0.0490351,0,0,0,0,0,0,0.0328751,0,0.0219699,0.0749097,0,0,0.0141862,0,0,0.0364828,0.0731184,0.0225654,0.0150953,0.016651,0.023457,0.0263588,0.0301186,0.0390764,0.0490226,0.0320953,0.0141427,0.0151566,0.0288043,0.0302796,0.0139163,0.0179,0.00906726,0.0122169,0.0414161,0,0.0111918,0.070089,0.0317976,0,0,0.00700986,0,0,0.0470945,0.0524572,0.0353317,0.0329498,0.00968676,0.0468915,0.039643,0.0663089,0.0243002,0.0559639,0.0346839,0.0424131,0.0755841,0.0153024,0.0216698,0.00713424,0.0260622,0.0305716,0.0254589,0,0
11,0,0.0250627,0,0,0,0,0.0490722,0,0,0,0,0,0,0.0352461,0,0,0.0761328,0,0,0.0143357,0,0,0.0366647,0.0719293,0.0230557,0.0153518,0.0154977,0.0232871,0.0259055,0.0308265,0,0.0499605,0.0313301,0.0117399,0.0125257,0.0294793,0.0304464,0.00952431,0.018255,0.00923196,0.0120626,0.0411425,0,0.0113781,0.0696838,0.0324542,0,0,0.00685175,0,0,0.0467124,0.0520203,0.0350611,0.0326484,0.00941131,0.0463446,0.0389644,0.0662575,0.0242305,0.0560732,0.0346768,0.0424621,0.0757041,0.0154524,0.0217199,0.00686788,0.0262783,0.0307828,0.0246633,0,0
12,0,0.0243953,0,0,0,0,0.0486443,0,0,0,0,0,0,0.0325965,0,0.0221266,0.075033,0,0,0.0145897,0,0,0.0361855,0.0730976,0.0220818,0.0146932,0.016544,0.0236209,0.0261226,0.0295853,0.0391735,0.0491059,0.0322729,0.0140114,0.0151258,0.0289563,0.0303276,0.0138629,0.0178697,0.00924091,0.0122424,0.0412643,0,0.0113814,0.0699358,0.0323478,0,0,0.00710304,0,0,0.046631,0.0518094,0.0349044,0.0327919,0.00967288,0.0466843,0.0395644,0.0664188,0.0245559,0.0561053,0.0346572,0.0424576,0.075844,0.0155215,0.0217276,0.00707599,0.0263503,0.0302907,0.0252903,0,0
13,0,0.0244802,0,0,0,0,0.0476475,0,0,0,0,0,0,0.0326768,0,0.0222456,0.075281,0,0,0.0148402,0,0,0.0358389,0.0733271,0.0218916,0.015149,0.0163519,0.0230768,0.0260732,0.0293452,0.039026,0.048898,0.0322202,0.0140091,0.0151289,0.0288751,0.0302283,0.0136329,0.0178925,0.0093943,0.0119222,0.0413297,0,0.0113945,0.0700592,0.0318762,0,0,0.00540745,0,0,0.0382551,0.0517582,0.0347946,0.0329838,0.00962325,0.0466036,0.040087,0.0664531,0.0247166,0.0560955,0.0346015,0.0424532,0.0758798,0.0155563,0.0235176,0,0.0265047,0.0295749,0.0257125,0,0
14,0,0.0245611,0,0,0,0,0.0475337,0,0,0,0,0,0,0.0326005,0,0.0222776,0.0751826,0,0,0.0149399,0,0,0.0358123,0.0734003,0.0217216,0.0151196,0.0163447,0.0231694,0.0259999,0.0298512,0.039033,0.0488943,0.032262,0.014021,0.0150964,0.028813,0.0301709,0.0137137,0.0178615,0.00941706,0.0118446,0.0414239,0,0.0114325,0.0700749,0.0320995,0,0,0.00563079,0,0,0.0379165,0.051758,0.0347034,0.0330028,0.00959856,0.046604,0.0400113,0.066447,0.0247182,0.056084,0.0346037,0.0425036,0.0758808,0.0155444,0.0235555,0,0.0264327,0.0294989,0.0255429,0,0
15,0,0.0246506,0,0,0,0,0.0474453,0,0,0,0,0,0,0.0325264,0,0.0223185,0.0751238,0,0,0.0149259,0,0,0.035911,0.0734181,0.0216795,0.0150919,0.0163896,0.0232503,0.0260117,0.0302285,0.0390295,0.0489238,0.0322799,0.0140685,0.01498,0.0287937,0.0301168,0.013819,0.0178813,0.0093988,0.0119052,0.0414837,0,0.0114896,0.070089,0.0322886,0,0,0.00562943,0,0,0.0380821,0.0517865,0.0346356,0.0330401,0.00959224,0.0466012,0.0399893,0.0664338,0.0247126,0.0560684,0.034625,0.0425294,0.0758841,0.0155161,0.0236527,0,0.0266311,0.0294149,0.0253122,0,0
16,0,0.0246329,0,0,0,0,0.0482754,0,0,0,0,0,0,0.0369773,0,0.0211522,0.0743757,0,0,0.0158381,0,0,0.0353861,0.0733464,0.0282483,0.0142786,0.0174524,0.0241522,0.0263005,0.0311046,0.0397502,0.04942,0.0322811,0.0123569,0.0131695,0.024488,0.0264079,0.0159468,0.0178638,0.00976671,0.0121716,0.0468327,0,0.0131665,0.0701617,0.0335027,0,0,0.00742384,0,0,0.0462709,0.050835,0.0334858,0.0333751,0.0112217,0.0473777,0.0393565,0.0660353,0.0235527,0.0556282,0.0363272,0.0416224,0.0749136,0.0184955,0.0219073,0.00799225,0.0260819,0.0299641,0.0245028,0,0
17,0,0.0248755,0,0,0,0,0.0473515,0,0,0,0,0,0,0.032377,0,0.0224688,0.0750584,0,0,0.0150683,0,0,0.0358156,0.0733305,0.0218811,0.0150224,0.0164805,0.0234204,0.0260609,0.0302477,0.0390424,0.048974,0.0322606,0.0139875,0.0147239,0.0288345,0.0300675,0.0139864,0.0179242,0.00946785,0.0118,0.0416573,0,0.0115366,0.070114,0.0324866,0,0,0.00550481,0,0,0.0382145,0.0517277,0.0345258,0.0331105,0.00952809,0.0466016,0.0399011,0.0664184,0.0247826,0.0560485,0.0346566,0.0426134,0.0759239,0.0155089,0.0236949,0,0.0265617,0.0293239,0.0250543,0,0
18,0,0.0248495,0,0,0,0,0.0481681,0,0,0,0,0,0,0.0368877,0,0.0212217,0.0742903,0,0,0.0158783,0,0,0.0354554,0.0731606,0.0284161,0.014204,0.0174614,0.024218,0.0262532,0.0310645,0.0397512,0.049414,0.0323097,0.0121542,0.0132904,0.0244185,0.0263425,0.0160676,0.0179171,0.00996507,0.0119941,0.0470644,0,0.0132222,0.0702417,0.0336823,0,0,0.00741838,0,0,0.0461781,0.0506964,0.0333529,0.0333844,0.0111793,0.0473789,0.0392238,0.0660299,0.0236006,0.0555417,0.0363643,0.0420617,0.0748532,0.0185027,0.0218918,0.00793599,0.0259257,0.0298603,0.0243174,0,0
19,0,0.0249741,0,0,0,0,0.0480957,0,0,0,0,0,0,0.0367236,0,0.0212602,0.0743012,0,0,0.0159282,0,0,0.0355263,0.0730806,0.028334,0.0141258,0.0174929,0.0241461,0.0262836,0.0310434,0.0397575,0.0494304,0.0323608,0.0121802,0.0133745,0.0244431,0.0263983,0.0159755,0.0178914,0.0100893,0.011896,0.0471622,0,0.0133125,0.0703232,0.0337321,0,0,0.00728924,0,0,0.0461488,0.050578,0.0334259,0.033302,0.0112268,0.0473631,0.039155,0.0660246,0.0235507,0.0554909,0.0364062,0.0426347,0.0747748,0.0185241,0.0219445,0.00772502,0.0260449,0.0297715,0.0243058,0,0
20,0,0.0252508,0,0,0,0,0.0481753,0,0,0,0,0,0,0.0321282,0,0.0223915,0.0747756,0,0,0.0151021,0,0,0.0362086,0.0729518,0.0219594,0.0143493,0.0168491,0.0239121,0.0261531,0.0306336,0.0394123,0.0492408,0.0325332,0.0137616,0.0148899,0.02864,0.029921,0.0142197,0.0179152,0.0097874,0.0114306,0.0416783,0,0.0116323,0.0702087,0.0333391,0,0,0.00757907,0,0,0.0462326,0.0513455,0.0345778,0.0328341,0.00958417,0.0465192,0.0391947,0.0663732,0.0245194,0.0559521,0.0347723,0.0430356,0.0757531,0.0152477,0.0217834,0.00749622,0.0259226,0.029794,0.0243177,0,0
21,0,0.0253498,0,0,0,0,0.0481489,0,0,0,0,0,0,0.0321327,0,0.0223537,0.0747947,0,0,0.015075,0,0,0.0364475,0.0730627,0.0219021,0.0143648,0.0168552,0.0239781,0.0261871,0.0306255,0.0394136,0.04922,0.0325359,0.0136824,0.0148096,0.0285846,0.0298446,0.0142149,0.01793,0.00984974,0.0113211,0.0415682,0,0.0116783,0.0701525,0.0333525,0,0,0.00755291,0,0,0.0462888,0.0513282,0.0345521,0.0329845,0.00961774,0.0465939,0.0390704,0.0663691,0.0244871,0.0559547,0.0347707,0.0425805,0.0757765,0.0152402,0.0217225,0.00746699,0.0260235,0.0297684,0.024271,0,0
22,0,0.0253977,0,0,0,0,0.0481478,0,0,0,0,0,0,0.0321986,0,0.022376,0.0748959,0,0,0.01513,0,0,0.0364865,0.0731786,0.0217766,0.0144676,0.0167261,0.0240208,0.02624,0.030556,0.039431,0.0492464,0.0324581,0.0136457,0.0147092,0.0285041,0.0297971,0.0140647,0.0178351,0.00990523,0.0114309,0.0414596,0,0.0116348,0.0700383,0.0334295,0,0,0.00740128,0,0,0.0462869,0.0513504,0.0345713,0.0331632,0.00964821,0.0467633,0.0389166,0.0663433,0.0245102,0.0559407,0.0347598,0.0425378,0.0758041,0.0152205,0.0217334,0.00734671,0.0258569,0.0297802,0.0242052,0,0
23,0,0.0254548,0,0,0,0,0.0480758,0,0,0,0,0,0,0.0321838,0,0.0223411,0.0748792,0,0,0.0151365,0,0,0.0364507,0.0732546,0.0216211,0.0145303,0.0166151,0.0241128,0.0263063,0.0304699,0.0393728,0.0493091,0.0324641,0.0136878,0.0147375,0.0284752,0.0297786,0.0140595,0.0178097,0.00989722,0.0115511,0.0413556,0,0.0117406,0.0700399,0.0334349,0,0,0.00742441,0,0,0.0462499,0.0513539,0.0345612,0.0332838,0.00966958,0.0468741,0.0387393,0.0663471,0.0245221,0.0558938,0.0347556,0.0425328,0.0757693,0.0152183,0.021611,0.00734886,0.0258066,0.0297528,0.0242111,0,0
24,0,0.0255502,0,0,0,0,0.0479964,0,0,0,0,0,0,0.0321501,0,0.0222711,0.0747976,0,0,0.0150604,0,0,0.0363789,0.0733124,0.0216496,0.0145604,0.0166454,0.0242166,0.0263658,0.0303281,0.039336,0.049304,0.0324684,0.0137318,0.0147596,0.028485,0.0297559,0.0141213,0.0178609,0.00979013,0.0115654,0.0413498,0,0.0118602,0.0700923,0.0333857,0,0,0.00752309,0,0,0.0462559,0.0513277,0.034568,0.0333439,0.00967933,0.0469354,0.0385606,0.0663808,0.0244712,0.0558412,0.0347684,0.0424686,0.0756966,0.0152337,0.0213806,0.00743559,0.0259024,0.029679,0.0242533,0,0
25,0,0.0255878,0,0,0,0,0.0479641,0,0,0,0,0,0,0.0322022,0,0.0223336,0.0748438,0,0,0.0149669,0,0,0.0362493,0.0732976,0.0216718,0.014637,0.0165669,0.0242546,0.0264375,0.0302558,0.0393459,0.0492316,0.0323253,0.0136518,0.0145533,0.0285013,0.0297478,0.0140139,0.0178143,0.00973688,0.0115173,0.0412102,0,0.0118536,0.0700176,0.0334303,0,0,0.00744359,0,0,0.0462501,0.0513591,0.0345883,0.0334523,0.00967701,0.0471132,0.0385094,0.0663788,0.0244455,0.0558015,0.0347321,0.0423977,0.0757021,0.0152323,0.0214779,0.00737054,0.0257864,0.0296129,0.0242439,0,0
26,0,0.0256415,0,0,0,0,0.0479085,0,0,0,0,0,0,0.0321782,0,0.0222966,0.0748499,0,0,0.0148776,0,0,0.036311,0.0733184,0.0215269,0.0146929,0.0165356,0.0243051,0.0265137,0.0302224,0.039328,0.0491995,0.0322475,0.0136035,0.0145297,0.0283805,0.0297182,0.0140116,0.0178262,0.0096679,0.0115328,0.0410787,0,0.0119147,0.0699957,0.0334148,0,0,0.0074445,0,0,0.0462693,0.0513388,0.034582,0.0335614,0.00967008,0.0472678,0.0384258,0.0663997,0.0244184,0.0557708,0.034743,0.0422979,0.0756597,0.0152529,0.0214819,0.00735523,0.025705,0.0295114,0.0242832,0,0
27,0,0.0255271,0,0,0,0,0.047673,0,0,0,0,0,0,0.0362815,0,0.0212427,0.0744517,0,0,0.0156589,0,0,0.0358092,0.0734109,0.0270278,0.0144619,0.0171451,0.0246043,0.0267219,0.0304541,0.0396741,0.0493527,0.0320595,0.0119546,0.0130524,0.0246388,0.0265005,0.0151523,0.0177379,0.00994193,0.012156,0.0459915,0,0.0135754,0.0700405,0.0337766,0,0,0.00710712,0,0,0.0461719,0.0505975,0.0334964,0.0340948,0.011204,0.0482461,0.0381979,0.066118,0.0235015,0.0553309,0.0363031,0.0413681,0.0747164,0.0180384,0.0216125,0.00744024,0.0259447,0.0293105,0.024298,0,0
28,0,0.0255626,0,0,0,0,0.0476245,0,0,0,0,0,0,0.0361608,0,0.0212748,0.0744607,0,0,0.0156506,0,0,0.0358064,0.0733804,0.0268533,0.014508,0.0171278,0.0246383,0.0268325,0.0303867,0.0396955,0.0493475,0.0319972,0.0120181,0.0130268,0.0247548,0.0265748,0.0149322,0.0177058,0.00984486,0.0123236,0.0459729,0,0.0135568,0.0699908,0.0337602,0,0,0.00710332,0,0,0.0461342,0.0506177,0.0335593,0.0341609,0.0111543,0.0483764,0.0380436,0.0661473,0.0234963,0.0553283,0.0363474,0.041346,0.0746574,0.0180689,0.0215333,0.00741875,0.0258872,0.029254,0.02431,0,0
29,0,0.0255888,0,0,0,0,0.0475974,0,0,0,0,0,0,0.0361102,0,0.0213138,0.0744575,0,0,0.0156055,0,0,0.0357729,0.0733773,0.026823,0.0145559,0.0171046,0.0246804,0.0268756,0.0303413,0.0396734,0.049359,0.0319693,0.0120933,0.0129779,0.024812,0.026551,0.0148279,0.0176578,0.00979427,0.0123896,0.0458886,0,0.013577,0.0699375,0.0337548,0,0,0.00708019,0,0,0.0460817,0.0506387,0.0335901,0.0342393,0.0111159,0.0484482,0.0378877,0.0661528,0.0234775,0.0553001,0.0363589,0.0413135,0.0746331,0.0180365,0.0214728,0.0074029,0.0258652,0.0292021,0.0243028,0,0
30,0,0.0256001,0,0,0,0,0.0475606,0,0,0,0,0,0,0.0359872,0,0.0213313,0.0744471,0,0,0.0155575,0,0,0.0357589,0.073412,0.0265926,0.0146085,0.0170963,0.0247137,0.0269072,0.0302879,0.039636,0.0493792,0.031959,0.0121256,0.0129421,0.0248079,0.0265686,0.0147707,0.017625,0.00977035,0.0124464,0.045782,0,0.0135956,0.0698904,0.0337566,0,0,0.00706676,0,0,0.0460839,0.0506585,0.0336032,0.0342991,0.0110733,0.0485063,0.0378751,0.0661531,0.0234531,0.0552643,0.0363667,0.0412376,0.0746164,0.0179952,0.0214117,0.00740563,0.0258568,0.0291545,0.0242852,0,0
31,0,0.0256011,0,0,0,0,0.0475205,0,0,0,0,0,0,0.0357664,0,0.0213858,0.0744495,0,0,0.0155252,0,0,0.0357452,0.0734217,0.0261498,0.0146183,0.0170617,0.0247492,0.0269659,0.0303175,0.0396266,0.0493788,0.0319513,0.0120755,0.0129409,0.0248887,0.0266729,0.0146531,0.0175956,0.00973289,0.0125185,0.0456578,0,0.0136048,0.0698452,0.0337563,0,0,0.00703115,0,0,0.0460453,0.0506752,0.0335971,0.034319,0.0110634,0.048546,0.0378739,0.0661472,0.0234712,0.0552172,0.0363802,0.0411727,0.0745849,0.0179487,0.0213193,0.00741357,0.0258143,0.0291193,0.0243023,0,0
32,0,0.0256091,0,0,0,0,0.0474903,0,0,0,0,0,0,0.0355781,0,0.0214442,0.0744579,0,0,0.015502,0,0,0.0357329,0.0734369,0.0259121,0.0146217,0.0170503,0.0247675,0.0270322,0.0303432,0.0396344,0.0493811,0.0319585,0.0119498,0.012914,0.0250326,0.0267708,0.0144986,0.0175646,0.00969171,0.012595,0.0455539,0,0.0136157,0.0698169,0.0337555,0,0,0.00699977,0,0,0.0460819,0.0507015,0.0335872,0.0343364,0.0110587,0.0485899,0.0377938,0.066156,0.0235035,0.0551677,0.0364266,0.0411325,0.0745409,0.0179087,0.0212603,0.0074201,0.0257892,0.0290506,0.0243209,0,0
33,0,0.0256427,0,0,0,0,0.0474607,0,0,0,0,0,0,0.0354485,0,0.0214596,0.0744621,0,0,0.0154769,0,0,0.0357155,0.0734553,0.0256992,0.014649,0.0169862,0.0247609,0.0271124,0.0303381,0.0395907,0.0493535,0.0319704,0.0119164,0.0129034,0.0251683,0.0268218,0.0144049,0.0175626,0.0096716,0.0126402,0.0454598,0,0.0136164,0.0698113,0.0337534,0,0,0.00699179,0,0,0.0460677,0.0507129,0.0335988,0.0343772,0.0110637,0.0486513,0.0376858,0.0661733,0.0235063,0.0551305,0.0364761,0.0410934,0.074518,0.0178727,0.0212492,0.0074423,0.0257585,0.0289892,0.0243359,0,0
34,0,0.0256755,0,0,0,0,0.0474524,0,0,0,0,0,0,0.0353583,0,0.0214578,0.0744723,0,0,0.0154516,0,0,0.0357067,0.0734684,0.025477,0.0146842,0.0168839,0.0247575,0.0272061,0.0303348,0.0395338,0.0493409,0.0319783,0.0119012,0.0128993,0.0252104,0.0268301,0.0143653,0.0175551,0.00967326,0.0126665,0.0453736,0,0.0136137,0.0698055,0.0337495,0,0,0.00699794,0,0,0.0460617,0.050707,0.0336159,0.0344004,0.0110615,0.0487009,0.0375997,0.0661957,0.0234798,0.0550933,0.0364749,0.041081,0.074511,0.017842,0.0212382,0.00746994,0.025822,0.0289387,0.0243436,0,0
35,0,0.025691,0,0,0,0,0.0474331,0,0,0,0,0,0,0.0353308,0,0.0214716,0.0745,0,0,0.015423,0,0,0.035678,0.0734717,0.0255025,0.0147197,0.0169051,0.0247733,0.0272096,0.0303222,0.0395261,0.0493138,0.0319596,0.0118554,0.0128377,0.0252392,0.0268288,0.0143132,0.0175593,0.00966337,0.0126873,0.0453308,0,0.0136254,0.0697947,0.0337683,0,0,0.00695725,0,0,0.0460812,0.05071,0.0336194,0.034415,0.0110374,0.0487437,0.0375585,0.066201,0.0234636,0.055062,0.0364579,0.0410586,0.0745514,0.0178206,0.0212243,0.00748036,0.0259696,0.0288972,0.0243305,0,0
36,0,0.0257225,0,0,0,0,0.0474038,0,0,0,0,0,0,0.0352748,0,0.0214976,0.0745078,0,0,0.015407,0,0,0.035625,0.073484,0.0254199,0.0147563,0.016932,0.0247662,0.0272263,0.0303035,0.0395269,0.0492738,0.0319374,0.0118262,0.0127058,0.0253049,0.0268186,0.0143066,0.0175542,0.00963229,0.0127407,0.0453049,0,0.0136811,0.0697887,0.0337812,0,0,0.00685392,0,0,0.0460557,0.0507065,0.0336324,0.0344464,0.0110321,0.0487812,0.0375356,0.0662165,0.0234662,0.0550305,0.0364711,0.0410458,0.0746129,0.0178095,0.0212037,0.00743697,0.0258103,0.0288645,0.0243114,0,0
37,0,0.0257517,0,0,0,0,0.0473724,0,0,0,0,0,0,0.0351781,0,0.0215254,0.0745037,0,0,0.0154159,0,0,0.0355998,0.0735142,0.0251684,0.01479,0.016954,0.02476,0.0273204,0.0302677,0.039504,0.0492382,0.0319261,0.0118626,0.0125407,0.0253209,0.0267814,0.0143649,0.017531,0.00962102,0.0127709,0.0452689,0,0.0137046,0.0697814,0.0337768,0,0,0.00673271,0,0,0.0460527,0.0506518,0.0336387,0.034478,0.0110211,0.0488109,0.0373629,0.0662345,0.0234852,0.0550172,0.0364736,0.0410517,0.0745136,0.0178057,0.0211829,0.00741079,0.0256365,0.0288412,0.0243116,0,0
38,0,0.0257833,0,0,0,0,0.0473508,0,0,0,0,0,0,0.0350287,0,0.0215555,0.0744908,0,0,0.0154336,0,0,0.0356197,0.0735373,0.0249202,0.0148113,0.0169657,0.0247653,0.0274092,0.030189,0.0394666,0.0492005,0.0319254,0.011903,0.0124973,0.0253961,0.0268461,0.0142701,0.0175207,0.00963332,0.0127845,0.0452388,0,0.0137061,0.069802,0.0337682,0,0,0.00670638,0,0,0.0460255,0.0505874,0.0336226,0.0344907,0.0109937,0.0488244,0.0372271,0.0662269,0.023507,0.054999,0.0364624,0.0410329,0.0744515,0.0178028,0.0211736,0.00740543,0.02569,0.0288353,0.0243008,0,0
