Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHI,RTHIA
321,0,0.0330769,0,0,0,0,0.0431467,0,0,0,0,0,0,0.0301977,0,0.0192138,0.0697832,0,0,0.0217701,0,0,0.0429074,0.0657174,0.0205577,0.00680775,0.0181343,0.0381698,0.0350802,0.0327621,0.0468159,0.0557792,0.0309514,0.00852491,0.0128756,0.0310518,0.0303884,0.0171056,0.00907976,0.0411079,0.0262162,0.0207228,0,0.0198411,0.0610973,0.034913,0,0,0.0182853,0,0,0.050784,0.0534397,0.0465507,0.0255006,0.0189759,0.0612968,0.0423325,0.0690149,0.0198127,0.0500751,0.0326942,0.0344965,0.0645737,0.0666719,0.0177465,0.0274114,0.0198824,0.0242873,0.0233885,0,0
322,0,0.0328894,0,0,0,0,0.0431235,0,0,0,0,0,0,0.0295858,0,0.0192195,0.0696042,0,0,0.0216655,0,0,0.0428762,0.0650974,0.0209146,0.0068128,0.0182857,0.03823,0.0348699,0.033053,0.0476366,0.0565357,0.0312584,0.0082508,0.012775,0.0309646,0.0303666,0.0179651,0.00918869,0.0411697,0.0262414,0.0205957,0,0.0197949,0.0615399,0.034869,0,0,0.0179914,0,0,0.0506908,0.053668,0.0461852,0.0257749,0.0190868,0.0613456,0.0421334,0.0693157,0.0199687,0.0502169,0.0329418,0.0345889,0.0646417,0.066528,0.0175996,0.0275892,0.0198473,0.0242512,0.0234943,0,0
323,0,0.0326609,0,0,0,0,0.0430747,0,0,0,0,0,0,0.0287369,0,0.0191877,0.0694078,0,0,0.0215597,0,0,0.0428675,0.0647636,0.021385,0.00690977,0.0183905,0.0381816,0.0347355,0.0334506,0.0483227,0.0571212,0.0315482,0.00810431,0.0127978,0.0308387,0.0303015,0.0192596,0.00930155,0.0411448,0.0261651,0.0204306,0,0.0198124,0.0618631,0.034745,0,0,0.0177679,0,0,0.0506592,0.053723,0.0457735,0.0261533,0.0191958,0.0613963,0.0419611,0.0698029,0.0202663,0.0503813,0.0332605,0.0348179,0.0647891,0.0664196,0.0175408,0.0277895,0.0198492,0.0240897,0.0235818,0,0
324,0,0.0325173,0,0,0,0,0.0430419,0,0,0,0,0,0,0.0278495,0,0.0190888,0.06953,0,0,0.0214619,0,0,0.0427779,0.0644799,0.0218361,0.00696619,0.0183741,0.0381438,0.0346058,0.0338477,0.0490366,0.0577797,0.0319258,0.00789545,0.0127514,0.0306572,0.0301292,0.0206602,0.00942228,0.0410875,0.0261069,0.0202314,0,0.0198294,0.06203,0.0346321,0,0,0.0175917,0,0,0.050661,0.0537581,0.0453161,0.0265957,0.0194259,0.0614053,0.0417753,0.0703377,0.0206205,0.0505704,0.0336958,0.0351721,0.0650033,0.0662597,0.017474,0.0280452,0.0198804,0.0238655,0.0235479,0,0
325,0,0.0324752,0,0,0,0,0.0430425,0,0,0,0,0,0,0.0268524,0,0.0189657,0.0695296,0,0,0.0214088,0,0,0.0426733,0.0641531,0.0224171,0.00702777,0.0181644,0.0381274,0.034456,0.034325,0.0498322,0.0584831,0.0323193,0.00779409,0.0126535,0.0303818,0.0298611,0.0222286,0.00950495,0.0409102,0.0259173,0.0198397,0,0.0197523,0.0621359,0.0346228,0,0,0.0175268,0,0,0.0506565,0.0537857,0.0449072,0.0270869,0.0197612,0.0612697,0.0416418,0.0707698,0.0209596,0.0508346,0.033955,0.0353293,0.0653203,0.0659257,0.017442,0.028335,0.0199649,0.0235971,0.0234189,0,0
326,0,0.0325158,0,0,0,0,0.0430982,0,0,0,0,0,0,0.0257389,0,0.0187908,0.069387,0,0,0.0214292,0,0,0.0426522,0.0637457,0.0231131,0.00706367,0.0179827,0.0382058,0.0343355,0.0347517,0.0506184,0.0592509,0.0327332,0.00774973,0.0126265,0.0300804,0.0296794,0.0239751,0.00950917,0.0409066,0.0258641,0.0194278,0,0.0195805,0.0624177,0.0346789,0,0,0.0175644,0,0,0.050698,0.0538221,0.0445225,0.0275913,0.0201415,0.0610837,0.0415794,0.0710234,0.0212427,0.0510821,0.0341673,0.0354175,0.0656328,0.0653644,0.0174752,0.0286485,0.0201299,0.0235733,0.0232494,0,0
327,0,0.0326258,0,0,0,0,0.0432208,0,0,0,0,0,0,0.024519,0,0.0186422,0.0691638,0,0,0.0215515,0,0,0.0426739,0.0632632,0.0239038,0.00711301,0.0177913,0.0383482,0.0342083,0.0352075,0.0513623,0.0600626,0.0332257,0.00773435,0.012689,0.0297723,0.0295703,0.0258405,0.00944427,0.0411209,0.0260506,0.0189316,0,0.0194564,0.0628098,0.0347383,0,0,0.0176418,0,0,0.0507574,0.0538184,0.0441298,0.0280166,0.0205154,0.0608842,0.0415736,0.071106,0.0214322,0.0512151,0.0343499,0.0354764,0.0658521,0.0644527,0.0175235,0.0288403,0.0202879,0.0237567,0.0230824,0,0
328,0,0.0327717,0,0,0,0,0.0424664,0,0,0,0,0,0,0.0230655,0,0.0186133,0.0689657,0,0,0.0154398,0,0,0.0237832,0.0627723,0.0246675,0.0073369,0.0175919,0.0387466,0.0316709,0.0355547,0.052005,0.0608444,0.0337482,0.00760596,0.0127394,0.0293862,0.0294107,0.0279371,0.0133775,0,0.0207584,0.0182516,0,0.0194491,0.0629953,0.0355225,0,0,0.0175414,0,0,0.0506651,0.0536895,0.0437869,0.0285319,0.0207561,0.0609342,0.0415832,0.0711235,0.0215925,0.0512176,0.0344572,0.0354596,0.0659665,0.0631504,0.0172883,0.028687,0.0203623,0.0232116,0.0226426,0,0
329,0,0.0329951,0,0,0,0,0.0426207,0,0,0,0,0,0,0.0213108,0,0.0187656,0.0687769,0,0,0.0155094,0,0,0.0237683,0.0623869,0.0251423,0.00746935,0.017259,0.038972,0.0315486,0.0357442,0.0525336,0.0615797,0.0342748,0.00734612,0.012535,0.0289645,0.0291648,0.0302967,0.0132909,0,0.0206585,0.0174578,0,0.0193824,0.0635067,0.0355669,0,0,0.0176216,0,0,0.0505726,0.0535916,0.0434413,0.0288568,0.0208498,0.0607112,0.0416974,0.0710434,0.0216497,0.0512526,0.0346083,0.0354908,0.0660974,0.0614542,0.0173906,0.028494,0.0204764,0.023411,0.0224972,0,0
330,0,0.0332231,0,0,0,0,0.042745,0,0,0,0,0,0,0.0194596,0,0.0192379,0.0685379,0,0,0.0155508,0,0,0.0237526,0.0620979,0.0253075,0.00756009,0.017017,0.0392163,0.0314127,0.035802,0.0528951,0.0622075,0.0347649,0.00701606,0.012041,0.0286808,0.0289548,0.0328152,0.0132451,0,0.0205837,0.0166388,0,0.0192033,0.0639752,0.0356268,0,0,0.0177503,0,0,0.0505519,0.0534858,0.0431357,0.0291244,0.0208478,0.0605149,0.0418488,0.0709402,0.0216793,0.0513157,0.0346953,0.0355553,0.0662506,0.0593473,0.0174439,0.0283996,0.0205945,0.023642,0.0223343,0,0
