Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,
All Timesteps RMSE,0.0285163,0,0,0,0,0.0446774,0,0,0,0,0,0,0.0247541,0,0.0225879,0.0688686,0,0,0.0196814,0,0,0.0375543,0.0716542,0.0222143,0.0103397,0.014209,0.0368192,0.0370938,0.0348657,0.0471374,0.0513427,0.027,0.0121616,0.0150084,0.0296941,0.0302563,0.0281027,0.0124057,0.0265591,0.0203982,0.0287473,0,0.016747,0.0684875,0.0355994,0,0,0.0183725,0,0,0.047763,0.0566248,0.0401749,0.0327926,0.0122639,0.0557267,0.041243,0.0394603,0.0661544,0.0594878,0.0171382,0.0566479,0.0343183,0.0415677,0.0734014,0.0350642,0.0169973,0.0259305,0.0217571,0.0247316,0.0250844,0
0,0.0288878,0,0,0,0,0.0491963,0,0,0,0,0,0,0.0240987,0,0.0252958,0.0709625,0,0,0.0154296,0,0,0.034524,0.074928,0.0206973,0.0144483,0.0144937,0.028384,0.0327028,0.0345033,0.04294,0.0466802,0.024832,0.0137073,0.0163181,0.0291342,0.0293311,0.023976,0.0141406,0.00814201,0.0141683,0.0342783,0,0.0149202,0.0717413,0.0356039,0,0,0.018933,0,0,0.0439352,0.0544302,0.0330564,0.0352109,0.0144112,0.0525223,0.0420549,0.0363287,0.0601485,0.0562391,0.0193028,0.0605764,0.0385879,0.0459095,0.0780788,0.0172084,0.0187092,0.00711624,0.0242432,0.0300963,0.01968,0
1,0.0289143,0,0,0,0,0.0492423,0,0,0,0,0,0,0.0240109,0,0.0253282,0.0708713,0,0,0.015408,0,0,0.0345534,0.0749002,0.0206407,0.0143428,0.0143978,0.0285126,0.0327219,0.0345078,0.0429981,0.0466635,0.0248433,0.0136554,0.0162856,0.0291577,0.0293512,0.0242081,0.0141947,0.00823115,0.0141001,0.0339558,0,0.0150833,0.0717964,0.0356035,0,0,0.0188992,0,0,0.0440946,0.0545669,0.0326651,0.0352414,0.0146583,0.0526124,0.0418631,0.0365354,0.0612325,0.055785,0.0190769,0.0607264,0.0388617,0.0461669,0.0783276,0.0174078,0.0187888,0.00720165,0.0241506,0.0301197,0.0196783,0
2,0.0283041,0,0,0,0,0.048993,0,0,0,0,0,0,0.0237863,0,0.025366,0.0703133,0,0,0.0155376,0,0,0.0345429,0.0749023,0.020693,0.0134544,0.014197,0.0289108,0.0337706,0.0343488,0.0430409,0.0465044,0.024523,0.0136272,0.0162878,0.0291392,0.0293445,0.0245557,0.0137674,0.00797843,0.0147311,0.0312219,0,0.0161206,0.0713157,0.0350297,0,0,0.0190435,0,0,0.0441525,0.0566858,0.0291743,0.0329898,0.0170164,0.0513372,0.0418093,0.0358568,0.0588828,0.053704,0.0196462,0.0631099,0.0402115,0,0.0811544,0.0189342,0.0185537,0.00723628,0.0241734,0.0295674,0.0204516,0
3,0.0282925,0,0,0,0,0.0489919,0,0,0,0,0,0,0.0236616,0,0.0254159,0.0702994,0,0,0.0155479,0,0,0.0347129,0.0749643,0.0209922,0.0134753,0.0142019,0.0288444,0.033733,0.034335,0.0430415,0.046495,0.0245212,0.0136625,0.016283,0.0291095,0.0293767,0.0245851,0.0137619,0.00802745,0.014737,0.0311445,0,0.0161659,0.0713148,0.0350465,0,0,0.0190645,0,0,0.0441001,0.056695,0.0291696,0.0329875,0.0170364,0.0512896,0.0417773,0.0358445,0.0588253,0.0537499,0.019693,0.0631224,0.0402111,0,0.0811323,0.0189603,0.018554,0.00722438,0.0241288,0.0295509,0.0204256,0
4,0.0282976,0,0,0,0,0.0489676,0,0,0,0,0,0,0.0236404,0,0.0254373,0.0702899,0,0,0.0155326,0,0,0.0347246,0.0749763,0.0210247,0.0134667,0.0141661,0.0288154,0.0336914,0.0343316,0.0430401,0.0464853,0.0244925,0.0136871,0.0162912,0.0291103,0.0293709,0.0246062,0.0137846,0.00804546,0.014723,0.031095,0,0.0162227,0.0713264,0.0350398,0,0,0.0190642,0,0,0.0441212,0.0567243,0.0290928,0.0329716,0.0170858,0.051256,0.0416885,0.035878,0.0590707,0.0537355,0.0197626,0.0631447,0.0402353,0,0.0811554,0.0189964,0.0185787,0.00724594,0.0240627,0.0295406,0.0203947,0
5,0.0283164,0,0,0,0,0.0489449,0,0,0,0,0,0,0.0236542,0,0.0254548,0.0702566,0,0,0.0154824,0,0,0.0345922,0.0749862,0.0210184,0.0134661,0.0141297,0.0288094,0.033711,0.0343028,0.0430343,0.0464573,0.0245085,0.0137015,0.0163197,0.0290958,0.0293623,0.0245992,0.0137969,0.00804345,0.0146728,0.0311904,0,0.0161929,0.0713328,0.0350345,0,0,0.0190626,0,0,0.0440696,0.0567127,0.0290729,0.0329807,0.0170634,0.0512297,0.0416296,0.0358321,0.058799,0.0537962,0.0198482,0.0631067,0.0402677,0,0.0811316,0.0189364,0.0185832,0.00717669,0.0241115,0.0295754,0.0203511,0
6,0.0283549,0,0,0,0,0.0489681,0,0,0,0,0,0,0.0236855,0,0.0254797,0.0702362,0,0,0.0154331,0,0,0.0345207,0.0749976,0.0209545,0.0134616,0.0140986,0.0288112,0.0337254,0.0342656,0.0430426,0.0464368,0.0245143,0.0136744,0.0162525,0.0290577,0.0293589,0.0246167,0.0138006,0.00804489,0.0146306,0.0313062,0,0.0161443,0.0713249,0.0350546,0,0,0.0190547,0,0,0.0440364,0.0566658,0.0291506,0.0329764,0.016996,0.0511951,0.0417459,0.0357415,0.058173,0.0539718,0.0199715,0.0630368,0.0402763,0,0.0810439,0.0188521,0.0185401,0.00713133,0.0241753,0.029625,0.0202711,0
7,0.0277123,0,0,0,0,0.0487434,0,0,0,0,0,0,0.0234932,0,0.0254319,0.0699288,0,0,0.0155923,0,0,0.0343854,0.0748551,0.0208523,0.0126109,0.0137942,0.029125,0.0347807,0.0339782,0.043098,0.0463894,0.0240625,0.0136139,0.0161006,0.0289885,0.0293038,0.0249588,0.0133927,0.00776922,0.0152733,0.0351206,0,0.0169379,0.0707131,0.0344897,0,0,0.0191748,0,0,0.0441174,0.0582841,0.0274992,0.0307054,0.018525,0.049981,0.0421048,0.0349398,0.0563797,0.0534016,0.0207051,0.0644132,0,0,0.0818274,0.0153802,0.0183231,0.00707089,0.0243331,0.0291485,0.0210077,0
8,0.0284006,0,0,0,0,0.0490427,0,0,0,0,0,0,0.0236746,0,0.0255342,0.0702733,0,0,0.015378,0,0,0.0344984,0.075017,0.0209535,0.0134782,0.0138913,0.0286905,0.0337672,0.0343956,0.0430038,0.0464892,0.0245173,0.0136449,0.0160959,0.0290086,0.0293235,0.02463,0.0138355,0.00807387,0.0145658,0.0314096,0,0.0160537,0.0713273,0.0350573,0,0,0.0190437,0,0,0.0441036,0.0565775,0.0292937,0.0329273,0.0168598,0.051078,0.0419889,0.0355355,0.05715,0.0543616,0.0202194,0.0629324,0.0402946,0,0.0808721,0.0187805,0.0185607,0.00713972,0.0241948,0.0297278,0.0201415,0
9,0.0277114,0,0,0,0,0.0487768,0,0,0,0,0,0,0.0233947,0,0.0255038,0.0699698,0,0,0.0155893,0,0,0.0345395,0.0748489,0.0210195,0.0125076,0.0136469,0.0292119,0.0348189,0.0343643,0.0430926,0.046367,0.023968,0.0135838,0.0161215,0.0290338,0.0293161,0.0250498,0.0134386,0.00786022,0.0152378,0.0353905,0,0.0168327,0.0706571,0.034418,0,0,0.0191551,0,0,0.0442147,0.0583642,0.0274128,0.0306035,0.0186123,0.0499432,0.042008,0.0348587,0.056054,0.0535315,0.0209112,0.0645133,0,0,0.0818158,0.0152344,0.0184197,0.00710893,0.0241908,0.0291827,0.0209781,0
10,0.0277032,0,0,0,0,0.0487803,0,0,0,0,0,0,0.0235259,0,0.0255766,0.0700041,0,0,0.0156015,0,0,0.0346567,0.0749139,0.0210119,0.0125907,0.0136885,0.0290061,0.034784,0.0343959,0.0430111,0.046274,0.0239925,0.0136064,0.016103,0.0289812,0.0292968,0.0249007,0.0134973,0.00787041,0.0152529,0.0350663,0,0.0169934,0.0707372,0.0344144,0,0,0.019165,0,0,0.0442541,0.058265,0.0273899,0.0307742,0.0185993,0.0498649,0.0421788,0.0350072,0.0561561,0.0534556,0.0208255,0.0644826,0,0,0.0818436,0.0153722,0.0184279,0.00711026,0.0241742,0.0292047,0.0209101,0
11,0.0283852,0,0,0,0,0.0490819,0,0,0,0,0,0,0.023749,0,0.025593,0.0702979,0,0,0.0153817,0,0,0.0347084,0.0750438,0.0209488,0.013416,0.0139131,0.0286612,0.0337178,0.0346479,0.0429747,0.0463736,0.0244516,0.0136547,0.0160924,0.0289373,0.0293425,0.0246097,0.0139738,0.00815158,0.0145242,0.03124,0,0.0161099,0.0713348,0.0350131,0,0,0.0189948,0,0,0.0441635,0.0566122,0.0290885,0.0329801,0.0170188,0.0509657,0.0420739,0.0357392,0.057404,0.054209,0.0202392,0.0630481,0.0404063,0,0.0810042,0.0188973,0.0185259,0.00711289,0.0240609,0.029792,0.0200278,0
12,0.0283908,0,0,0,0,0.0490763,0,0,0,0,0,0,0.0237259,0,0.0255787,0.0702554,0,0,0.0153501,0,0,0.034797,0.0750382,0.0209989,0.013356,0.0138604,0.0287082,0.0336594,0.0345668,0.043065,0.0463814,0.0244378,0.0136272,0.0161072,0.0289755,0.0293726,0.0246663,0.0140129,0.0081954,0.0145185,0.031071,0,0.0161833,0.0713379,0.0350046,0,0,0.0189536,0,0,0.0441742,0.0566571,0.02885,0.0329808,0.0171723,0.0509663,0.0420682,0.0358054,0.0583533,0.053948,0.0200733,0.0631601,0.0404087,0,0.0811584,0.0189975,0.0183497,0.00714732,0.0240129,0.0298176,0.0199907,0
13,0.0283775,0,0,0,0,0.0490936,0,0,0,0,0,0,0.0236338,0,0.02559,0.0702344,0,0,0.0153336,0,0,0.0348935,0.0750417,0.021151,0.0133012,0.0138339,0.0287555,0.0335948,0.0344783,0.0431536,0.0463943,0.0244302,0.013638,0.0161312,0.0290444,0.0293981,0.0247597,0.014047,0.00822202,0.0145342,0.0308927,0,0.016262,0.0713694,0.0349955,0,0,0.0189288,0,0,0.044152,0.0566864,0.0287213,0.0329799,0.0173222,0.0509526,0.0420568,0.0358102,0.059204,0.0537467,0.0199629,0.0632433,0.040402,0,0.081253,0.0191202,0.0184466,0.00716109,0.0240276,0.0298442,0.0199618,0
14,0.0293038,0,0,0,0,0.0495088,0,0,0,0,0,0,0.0236985,0,0.0257497,0.0700932,0,0,0.0152155,0,0,0.0351201,0.0753937,0.0215244,0.0142534,0.0141001,0.0283495,0.032174,0.0350802,0.0431917,0.0465149,0.0250131,0.0138115,0.0162472,0.0291482,0.0295053,0.0246183,0.0147484,0.00866116,0.0136632,0.0358514,0,0.0146395,0.0732056,0.0358309,0,0,0.0187192,0,0,0.0441033,0.0536711,0.0322681,0.0369277,0.0143885,0.0528038,0.0418677,0.0383403,0,0.0556776,0.0180784,0.0599261,0.0389007,0,0.0778957,0.0160628,0.0188599,0.0072506,0.0238318,0.0306199,0.0187757,0
15,0.0283418,0,0,0,0,0.0491785,0,0,0,0,0,0,0.0234644,0,0.0255371,0.07025,0,0,0.0153209,0,0,0.0349514,0.07508,0.0214567,0.0132028,0.0138489,0.028798,0.033516,0.034545,0.0431696,0.0464396,0.024509,0.0137165,0.0161469,0.0290766,0.0294405,0.024907,0.0140441,0.00822521,0.0145423,0.0309522,0,0.0162201,0.0714037,0.0349868,0,0,0.0188686,0,0,0.0441693,0.0566289,0.028766,0.0330145,0.017343,0.0508305,0.0419486,0.0357497,0.0590515,0.0537515,0.0199997,0.0632063,0.040398,0,0.0812662,0.019066,0.0184939,0.00723589,0.0239777,0.0298731,0.0199724,0
16,0.0283449,0,0,0,0,0.0492011,0,0,0,0,0,0,0.0234343,0,0.0255245,0.0702973,0,0,0.0153073,0,0,0.0348625,0.0750914,0.0214917,0.0131456,0.0138605,0.0288117,0.033503,0.0344979,0.0431643,0.0464453,0.0245381,0.0137162,0.0161015,0.0290475,0.0294383,0.024974,0.014032,0.00820194,0.014502,0.0310929,0,0.0161807,0.0713997,0.0349522,0,0,0.0188441,0,0,0.0441085,0.0566028,0.02881,0.0330111,0.0172857,0.0507806,0.0419405,0.035761,0.0587352,0.053825,0.0200075,0.0631905,0.0403907,0,0.0812294,0.0189463,0.0182571,0.00724792,0.0240336,0.0298969,0.019993,0
17,0.0283547,0,0,0,0,0.0492303,0,0,0,0,0,0,0.0234863,0,0.0255249,0.0703489,0,0,0.0152674,0,0,0.0347023,0.0750766,0.0213541,0.0130917,0.0138362,0.028842,0.033524,0.0343318,0.0432275,0.0464591,0.0245223,0.0136785,0.0160712,0.029072,0.0294321,0.0249571,0.014056,0.00816351,0.0144757,0.0310919,0,0.0161917,0.0714006,0.0349237,0,0,0.0188173,0,0,0.0440085,0.0566075,0.0288001,0.0329934,0.0172772,0.0507483,0.0419707,0.0358444,0.058803,0.0538293,0.0199759,0.0632026,0.0403854,0,0.0812507,0.0189553,0.0181444,0.00716269,0.0241004,0.0299411,0.0199965,0
18,0.0283728,0,0,0,0,0.0492683,0,0,0,0,0,0,0.0235522,0,0.0255275,0.0703853,0,0,0.015226,0,0,0.0347372,0.075048,0.0211182,0.0130291,0.0138061,0.0288647,0.0335481,0.034192,0.0432887,0.0464478,0.0244897,0.0136418,0.0159936,0.0290528,0.029423,0.0249734,0.0141025,0.0081152,0.0145844,0.0310439,0,0.016206,0.0714075,0.0349104,0,0,0.0187916,0,0,0.0439759,0.0566237,0.0287658,0.0329966,0.0172892,0.0507315,0.0419759,0.0358046,0.0590294,0.0537841,0.0199658,0.0632025,0.0403665,0,0.0812858,0.0189866,0.0182489,0.00711893,0.0241685,0.029978,0.0199712,0
19,0.0283763,0,0,0,0,0.0493212,0,0,0,0,0,0,0.0235692,0,0.0255507,0.0703757,0,0,0.015215,0,0,0.034877,0.0750671,0.0211237,0.0129646,0.013813,0.0287906,0.0335454,0.034094,0.0433074,0.0464312,0.0245013,0.0136549,0.0159198,0.0290016,0.0293949,0.0249895,0.0141585,0.00812546,0.0146573,0.031126,0,0.0161745,0.0714191,0.034901,0,0,0.0187667,0,0,0.043976,0.0565919,0.0287638,0.0330196,0.0172822,0.0507213,0.0419624,0.0355334,0.0588549,0.0537936,0.0199513,0.0631888,0.0403664,0,0.0812615,0.0188955,0.0185174,0.00712254,0.0242105,0.0299889,0.0199543,0
20,0.0283789,0,0,0,0,0.0493633,0,0,0,0,0,0,0.0235834,0,0.025574,0.0703136,0,0,0.0151906,0,0,0.0347815,0.0750734,0.0211922,0.0129578,0.0138245,0.0286564,0.0335131,0.0340577,0.043295,0.0464085,0.0245331,0.0136733,0.0159074,0.0289968,0.0293803,0.0249241,0.0141974,0.00818557,0.0145031,0.031255,0,0.0161265,0.0714668,0.0348644,0,0,0.0187706,0,0,0.0439878,0.0565482,0.0287782,0.0330501,0.0172729,0.0507492,0.0419648,0.0351027,0.0586141,0.0538198,0.0199036,0.0631777,0.040377,0,0.0812086,0.0187616,0.018626,0.00713647,0.0242784,0.0300105,0.0199438,0
21,0.0283578,0,0,0,0,0.0494151,0,0,0,0,0,0,0.0235941,0,0.0255874,0.0702287,0,0,0.0151664,0,0,0.0347363,0.0750544,0.0212469,0.0132332,0.0138245,0.0287079,0.0334739,0.034133,0.0432293,0.0463755,0.0245318,0.0136904,0.0159338,0.0289991,0.0293733,0.024832,0.0142313,0.00821652,0.0144389,0.0313172,0,0.0161066,0.0715244,0.0347991,0,0,0.0187815,0,0,0.0440257,0.0565455,0.0287824,0.03308,0.0172698,0.0508405,0.0420267,0.0351707,0.0584515,0.0538548,0.019908,0.0631853,0.040395,0,0.0811786,0.018727,0.0186113,0.00717481,0.024257,0.0300423,0.0199572,0
22,0.028319,0,0,0,0,0.0494652,0,0,0,0,0,0,0.0235728,0,0.0255805,0.0701046,0,0,0.0151511,0,0,0.0348382,0.0750602,0.0213274,0.013678,0.0138371,0.0288768,0.0334488,0.0343596,0.0431171,0.04633,0.0245205,0.0137057,0.015919,0.0290117,0.0293682,0.0248387,0.0142748,0.0082148,0.0145155,0.0314245,0,0.0160754,0.0716407,0.0347388,0,0,0.0187273,0,0,0.0440024,0.0565159,0.0287775,0.0332147,0.0172539,0.050971,0.0420807,0.0348062,0.0584003,0.0538572,0.019867,0.0631471,0.0404052,0,0.0811701,0.0186362,0.01862,0.00717769,0.0241644,0.0300749,0.0199875,0
23,0.0282913,0,0,0,0,0.0495003,0,0,0,0,0,0,0.0235927,0,0.0255647,0.0700703,0,0,0.0151582,0,0,0.0350107,0.0750671,0.021221,0.0138421,0.013839,0.0288809,0.0334407,0.0344696,0.0430701,0.0463111,0.0244859,0.0137031,0.0158911,0.0290116,0.0293665,0.0248715,0.0143159,0.00825892,0.0145452,0.031432,0,0.0160667,0.0716789,0.0346888,0,0,0.0186795,0,0,0.0439628,0.0565218,0.0287456,0.0332555,0.0172542,0.0509918,0.0421208,0.0348328,0.0583526,0.0538474,0.0198922,0.0631454,0.0404288,0,0.0811858,0.0186205,0.0186547,0.0072031,0.0240475,0.0301089,0.0199952,0
24,0.0282614,0,0,0,0,0.0495196,0,0,0,0,0,0,0.0236076,0,0.0255534,0.0701123,0,0,0.0151464,0,0,0.0351013,0.0750463,0.0211605,0.0138531,0.0138095,0.0287646,0.0334583,0.0344874,0.0430633,0.0463025,0.0244623,0.0136854,0.0158784,0.0290111,0.0293495,0.0248869,0.0143389,0.00823596,0.014663,0.0313345,0,0.0160946,0.0716362,0.0346286,0,0,0.0186308,0,0,0.0439008,0.0565698,0.0287232,0.0332127,0.0172762,0.0509417,0.0421074,0.0354162,0.0583712,0.0538484,0.0200099,0.0631887,0.0404427,0,0.081226,0.0187193,0.0187062,0.00721765,0.0240413,0.0301401,0.0200269,0
25,0.028233,0,0,0,0,0.0495341,0,0,0,0,0,0,0.0236276,0,0.0255484,0.0701527,0,0,0.0151328,0,0,0.0350991,0.0750277,0.0211905,0.0138421,0.0137851,0.0286568,0.0334555,0.034466,0.0430735,0.046294,0.0244631,0.01366,0.0158825,0.0290143,0.029345,0.0248549,0.0143484,0.00825646,0.014633,0.0313221,0,0.0161138,0.0716114,0.0345757,0,0,0.0186542,0,0,0.0439218,0.0565903,0.0287347,0.0332269,0.0172881,0.05091,0.0420377,0.0357327,0.0583202,0.0538427,0.020063,0.0632062,0.040452,0,0.0812449,0.0187463,0.0187224,0.0072014,0.0240835,0.030168,0.0200601,0
26,0.0282195,0,0,0,0,0.049562,0,0,0,0,0,0,0.0236451,0,0.025567,0.0701334,0,0,0.0151244,0,0,0.0350663,0.0750286,0.0212097,0.0138216,0.0137799,0.0285811,0.0334555,0.0344635,0.043065,0.0462703,0.0244776,0.0136925,0.0158789,0.0290112,0.029347,0.0248158,0.014351,0.00831537,0.0144994,0.031568,0,0.0160378,0.0716412,0.0345261,0,0,0.0186927,0,0,0.0439982,0.0565441,0.0287575,0.0332696,0.017245,0.0508721,0.0419858,0.0358321,0.0577231,0.0538447,0.0199861,0.0631755,0.0404682,0,0.0812149,0.018516,0.0187414,0.00723493,0.024104,0.0302122,0.0200748,0
27,0.0282078,0,0,0,0,0.0495895,0,0,0,0,0,0,0.0237069,0,0.0255743,0.070077,0,0,0.0151191,0,0,0.035061,0.0750288,0.0210478,0.0138127,0.0137638,0.0285085,0.0335098,0.034484,0.0430433,0.0462542,0.0244896,0.0137486,0.0158589,0.0289695,0.029341,0.0248102,0.0143777,0.00832814,0.0144942,0.0318955,0,0.0159312,0.0717226,0.0344862,0,0,0.0187464,0,0,0.0440559,0.056471,0.0287846,0.0333263,0.0172006,0.0508407,0.041973,0.0359209,0.0568948,0.0538332,0.0198863,0.0631239,0.0404903,0,0.0811511,0.0182059,0.0187727,0.00729419,0.0241568,0.0302505,0.0200859,0
28,0.028177,0,0,0,0,0.0495882,0,0,0,0,0,0,0.023717,0,0.0255938,0.0701402,0,0,0.0151339,0,0,0.0350904,0.075013,0.0210913,0.0138151,0.0137513,0.0284102,0.0335503,0.0344487,0.0430545,0.0462564,0.024478,0.0138896,0.0158308,0.028968,0.029332,0.0247733,0.0143872,0.00828143,0.0146028,0.0316658,0,0.0159884,0.0717129,0.0344303,0,0,0.0187653,0,0,0.0440688,0.0564837,0.0287723,0.0333,0.0172076,0.0508226,0.0420323,0.0357859,0.0573569,0.0538814,0.0199862,0.0631426,0.0404457,0,0.0811635,0.01843,0.0188021,0.00733492,0.0240964,0.0302485,0.0201193,0
29,0.0281555,0,0,0,0,0.049574,0,0,0,0,0,0,0.0237184,0,0.0255948,0.070218,0,0,0.0151484,0,0,0.0351087,0.0749919,0.0211006,0.0138072,0.0137286,0.028331,0.0335887,0.0344114,0.0430588,0.0462545,0.0244605,0.0139096,0.0158598,0.0289578,0.0293333,0.0247417,0.0143848,0.00824928,0.0146693,0.0314603,0,0.0160459,0.0716796,0.0343794,0,0,0.0187514,0,0,0.0440394,0.0564981,0.0287632,0.0333147,0.0172362,0.0507955,0.0420908,0.0357327,0.0578208,0.0538857,0.0200407,0.0631635,0.0404342,0,0.0811887,0.0186152,0.0188163,0.00736044,0.0240396,0.030213,0.0201293,0
30,0.0281366,0,0,0,0,0.04956,0,0,0,0,0,0,0.0237325,0,0.0255964,0.0702483,0,0,0.0151424,0,0,0.0351115,0.0749851,0.0210379,0.0137964,0.0136967,0.0282678,0.0335985,0.0344111,0.0430585,0.0462367,0.0244496,0.0138506,0.0158892,0.0289652,0.0293487,0.0247351,0.0143793,0.0082453,0.0146727,0.0314386,0,0.0160459,0.0716849,0.0343372,0,0,0.0187381,0,0,0.0439065,0.0565043,0.0287548,0.033359,0.0172564,0.0507675,0.0420566,0.0357676,0.0578682,0.0538568,0.0200156,0.0631856,0.0404562,0,0.0811845,0.0186173,0.018777,0.00730775,0.0240595,0.0301924,0.0201478,0
31,0.0281198,0,0,0,0,0.0495476,0,0,0,0,0,0,0.0237242,0,0.0256171,0.0702172,0,0,0.0151436,0,0,0.0350919,0.0749858,0.0211014,0.0137735,0.0136982,0.0282756,0.0334868,0.0344579,0.0430959,0.0462184,0.0244426,0.0138727,0.015836,0.0290063,0.0293555,0.0247405,0.0143904,0.00825529,0.01462,0.0316117,0,0.0159892,0.071726,0.0343336,0,0,0.0187639,0,0,0.0438406,0.0564811,0.028735,0.0334018,0.0172574,0.0507665,0.0419535,0.0358838,0.057567,0.0538055,0.0199546,0.0631853,0.0405011,0,0.0811634,0.0184596,0.0187674,0.00735844,0.0239663,0.0302144,0.0201576,0
32,0.0281051,0,0,0,0,0.0495357,0,0,0,0,0,0,0.0237186,0,0.0256228,0.0701737,0,0,0.0151499,0,0,0.0350432,0.0749944,0.0211497,0.0137451,0.0136806,0.0282743,0.0333861,0.034507,0.0431226,0.0462213,0.0244548,0.0138364,0.0158627,0.0290096,0.0293664,0.0247385,0.0144116,0.0082787,0.0145171,0.031878,0,0.0159231,0.0717883,0.0343474,0,0,0.018815,0,0,0.0438551,0.0564229,0.0287435,0.0334368,0.0172487,0.0507573,0.0418231,0.0360328,0.057028,0.0537574,0.0198546,0.0631576,0.0405431,0,0.0811441,0.0182313,0.0188247,0.00752057,0.0238182,0.0302113,0.0201504,0
33,0.0280979,0,0,0,0,0.0495509,0,0,0,0,0,0,0.023712,0,0.0256053,0.070207,0,0,0.0151305,0,0,0.0350049,0.0749736,0.0211998,0.0137316,0.0136557,0.0282605,0.0333576,0.0344878,0.0431431,0.0462553,0.0244496,0.0138045,0.015967,0.0290244,0.0293814,0.0247182,0.0144474,0.00830114,0.0144669,0.031681,0,0.0159938,0.071743,0.0343317,0,0,0.0188795,0,0,0.0438573,0.0564428,0.0287633,0.0333886,0.0172554,0.0507409,0.0417335,0.0359343,0.0575397,0.0537991,0.0198905,0.0631861,0.0405056,0,0.0811575,0.0184156,0.0188396,0.0076512,0.0238205,0.0302341,0.0201518,0
34,0.0280923,0,0,0,0,0.0495611,0,0,0,0,0,0,0.0236883,0,0.0255839,0.0702513,0,0,0.0150951,0,0,0.0349926,0.0749585,0.0212738,0.0137223,0.013653,0.0282597,0.0333312,0.0344854,0.0431565,0.0462476,0.0244383,0.0137961,0.0160107,0.0290319,0.0293867,0.0247292,0.0144552,0.0082873,0.0144858,0.0315415,0,0.0160313,0.0717346,0.0342885,0,0,0.0185799,0,0,0.0439433,0.0564526,0.0287596,0.0333643,0.0172759,0.0507192,0.0417633,0.035838,0.0578933,0.0538144,0.0199456,0.063218,0.0404703,0,0.0811829,0.0185507,0.0188491,0.00716527,0.0240807,0.0302425,0.0201724,0
35,0.0280803,0,0,0,0,0.0495954,0,0,0,0,0,0,0.0236788,0,0.0255648,0.0702802,0,0,0.0151148,0,0,0.0350517,0.074934,0.0211907,0.0137206,0.0136472,0.0282715,0.0333381,0.0345088,0.0431487,0.0462249,0.0244054,0.0137731,0.0159578,0.029009,0.0293855,0.0248043,0.0144609,0.00830435,0.014485,0.0315058,0,0.016027,0.0717625,0.034256,0,0,0.0185334,0,0,0.0439243,0.0564444,0.0287475,0.0333904,0.017288,0.0507179,0.0417672,0.0358558,0.0579234,0.0537915,0.019946,0.0632437,0.0404622,0,0.0812052,0.0185831,0.0188861,0.00714951,0.024004,0.0302594,0.0201739,0
36,0.0280571,0,0,0,0,0.0496062,0,0,0,0,0,0,0.0236811,0,0.0255679,0.0702848,0,0,0.0151342,0,0,0.0350882,0.0749229,0.0211383,0.0137256,0.0136603,0.0282697,0.0333355,0.0345166,0.0431597,0.0462193,0.0244031,0.0137729,0.0159087,0.0290122,0.0293908,0.0248403,0.0144636,0.00832366,0.0144654,0.0315233,0,0.016024,0.071791,0.0342292,0,0,0.018497,0,0,0.0439129,0.0564424,0.0287388,0.0334124,0.0172946,0.0507092,0.0418291,0.0359049,0.0579238,0.0537965,0.0199132,0.0632633,0.0404578,0,0.0812176,0.0185674,0.0188766,0.00717083,0.023935,0.0302612,0.0201901,0
37,0.0280259,0,0,0,0,0.0496194,0,0,0,0,0,0,0.0236809,0,0.0255775,0.0703047,0,0,0.0151392,0,0,0.0350972,0.0749301,0.0211336,0.013719,0.0136789,0.0282493,0.0333049,0.0344865,0.0431625,0.0462407,0.0244087,0.0138279,0.0158775,0.0290085,0.0293908,0.0248428,0.0144773,0.00832007,0.014461,0.0315665,0,0.0160335,0.071817,0.034204,0,0,0.0184904,0,0,0.0439113,0.0564324,0.0287193,0.0334242,0.0172881,0.0507124,0.0418139,0.0359204,0.0578728,0.0538131,0.0199262,0.0632466,0.0404331,0,0.0812262,0.0185211,0.0188938,0.00717079,0.023999,0.0302337,0.0201978,0
38,0.0280068,0,0,0,0,0.0496247,0,0,0,0,0,0,0.0236567,0,0.0255829,0.0703056,0,0,0.0151309,0,0,0.0351156,0.0749424,0.0211386,0.0137266,0.0136924,0.0282073,0.0333016,0.0344553,0.0431803,0.0462435,0.0244146,0.0139037,0.0158606,0.0289747,0.0293769,0.0248547,0.0145181,0.00830779,0.0145122,0.0315595,0,0.016025,0.0718312,0.0341837,0,0,0.0185131,0,0,0.0439429,0.0564348,0.0286837,0.0334345,0.0172818,0.0507159,0.0416946,0.0358712,0.0578628,0.0538048,0.01995,0.0632242,0.0404373,0,0.0812423,0.0185101,0.0189455,0.00714689,0.0240832,0.0302126,0.0202119,0
