Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,
412,0.0267501,0,0,0,0,0.0460177,0,0,0,0,0,0,0.0250181,0,0.0231313,0.0705275,0,0,0.0275452,0,0,0.0460226,0.0717983,0.0185716,0.00930472,0.0118834,0.0373251,0.0400919,0.0293654,0.0421198,0.0468568,0.019694,0.00895594,0.0112841,0.0280392,0.0284653,0.0226498,0.00989501,0.0419485,0.0272505,0.0213444,0,0.0190423,0.0623851,0.0313007,0,0,0.0187382,0,0,0.0487638,0.0599683,0.0535766,0.0201506,0.012258,0.0530137,0.0330925,0.040885,0.0681447,0.061657,0.0175257,0.0538328,0.0300025,0.0394383,0.0693046,0.0615562,0.0142503,0.0312926,0.0197011,0.0237547,0.029897,0
413,0.0269552,0,0,0,0,0.0460287,0,0,0,0,0,0,0.0253401,0,0.0232035,0.0704078,0,0,0.0275012,0,0,0.0460112,0.071783,0.0186146,0.00923153,0.0118203,0.0373213,0.03995,0.0294038,0.0420481,0.0468628,0.0197622,0.00895197,0.0112144,0.028093,0.028495,0.0223109,0.00977478,0.04201,0.027248,0.0201072,0,0.0183175,0.0624978,0.0313453,0,0,0.0186733,0,0,0.0487828,0.0597771,0.0522866,0.0202999,0.0119092,0.0531066,0.032983,0.0411982,0.0682748,0.0616144,0.017717,0.054055,0.0304096,0.039668,0.0695972,0.0563821,0.0141515,0.0313852,0.0196733,0.0237886,0.0297668,0
414,0.027156,0,0,0,0,0.0460797,0,0,0,0,0,0,0.0256829,0,0.0232738,0.0702995,0,0,0.0274449,0,0,0.0459736,0.071812,0.0186165,0.00914852,0.0117444,0.0374462,0.0398633,0.0294266,0.0419532,0.0468512,0.0198304,0.00898064,0.011221,0.028171,0.0285377,0.0219592,0.00967143,0.0420602,0.0272617,0.0199034,0,0.0176813,0.0626361,0.0313725,0,0,0.0185976,0,0,0.048762,0.0596039,0.0511261,0.0204733,0.0114423,0.0531552,0.0328817,0.0415635,0.068388,0.061644,0.0179498,0.0542701,0.0307202,0.0398458,0.0698763,0.0508958,0.014049,0.0314234,0.019627,0.02382,0.0296451,0
415,0.0273356,0,0,0,0,0.0461306,0,0,0,0,0,0,0.0258102,0,0.0233008,0.0700406,0,0,0.0274655,0,0,0.0459683,0.0717962,0.0186159,0.00897951,0.0117222,0.0374824,0.0398523,0.0294538,0.0419515,0.0468022,0.0198817,0.00899202,0.0112512,0.028234,0.0286004,0.0218309,0.00961474,0.0420829,0.0273051,0.0207932,0,0.0169689,0.0629306,0.0313857,0,0,0.0185387,0,0,0.0487106,0.0595888,0.0501053,0.0206378,0.0107735,0.0531901,0.0327047,0.0419214,0.0687063,0.0616695,0.0182608,0.0544692,0.031025,0.0400203,0.0700811,0.0454759,0.0139392,0.0313414,0.0195543,0.023859,0.0295813,0
416,0.0275609,0,0,0,0,0.0461347,0,0,0,0,0,0,0.0260027,0,0.0233736,0.0698529,0,0,0.0274551,0,0,0.0459767,0.0718098,0.0186952,0.00889378,0.0116947,0.0372793,0.0397693,0.0294875,0.0419622,0.0467204,0.0199204,0.00903179,0.0112791,0.028288,0.0286475,0.0215136,0.00955344,0.0421369,0.0273033,0.0222881,0,0.0162045,0.0631536,0.0314363,0,0,0.0184556,0,0,0.0487053,0.0595464,0.0489147,0.0208368,0.00996634,0.0532472,0.0324887,0.0422117,0.0694268,0.0616275,0.0186046,0.0547035,0.031306,0.0402813,0.070325,0.0404277,0.0138537,0.0313879,0.0194782,0.0239465,0.0294875,0
417,0.0278042,0,0,0,0,0.046158,0,0,0,0,0,0,0.026293,0,0.0235032,0.0696385,0,0,0.0274468,0,0,0.0459855,0.0718955,0.0187915,0.00878631,0.0116742,0.0372093,0.0396812,0.0295809,0.0419302,0.0466643,0.0200147,0.009074,0.011287,0.0283404,0.0287057,0.0211435,0.00949493,0.0422098,0.0273204,0.0245198,0,0.0154986,0.0634137,0.0315061,0,0,0.0182865,0,0,0.0487057,0.0594895,0.0477614,0.0211195,0.00914624,0.0533621,0.0322005,0.042517,0.0699026,0.0616476,0.0190377,0.054934,0.0315406,0.0404846,0.0707354,0.0354265,0.0138576,0.031532,0.0195461,0.0240479,0.0293903,0
418,0.0280528,0,0,0,0,0.046198,0,0,0,0,0,0,0.0266709,0,0.0236685,0.0693469,0,0,0.027425,0,0,0.0459864,0.0720633,0.0188694,0.0086225,0.0116267,0.0369642,0.0395869,0.0296879,0.0418563,0.0465552,0.0201651,0.00915198,0.0112571,0.028399,0.0287402,0.0207625,0.00945988,0.0423126,0.0273559,0.0271716,0,0.0147527,0.0637136,0.031602,0,0,0.0181441,0,0,0.048601,0.0594096,0.0466495,0.0214583,0.00842868,0.0534327,0.0318597,0.0428357,0.0699899,0.0617506,0.019574,0.0551279,0.031777,0.0405264,0.071138,0.0305557,0.0138688,0.0316358,0.0195522,0.0240535,0.0293182,0
419,0.0283128,0,0,0,0,0.0462406,0,0,0,0,0,0,0.0270503,0,0.0238214,0.0690593,0,0,0.0273616,0,0,0.0459974,0.0721735,0.0190386,0.00855276,0.0115034,0.0367044,0.039457,0.0297219,0.0417814,0.0464231,0.0203157,0.00925437,0.0111936,0.0284087,0.0287517,0.0204146,0.00942403,0.0424265,0.0272975,0.0299197,0,0.0140612,0.0641034,0.0317344,0,0,0.0179948,0,0,0.0484985,0.0592029,0.0455482,0.0219721,0.00776307,0.053613,0.0315208,0.0430454,0.0698528,0.0619444,0.020188,0.0553157,0.0320525,0.0406878,0.0714763,0.0260877,0.0138526,0.0316753,0.0194358,0.0240018,0.0292176,0
420,0.0285672,0,0,0,0,0.0463284,0,0,0,0,0,0,0.0270691,0,0.0239502,0.068812,0,0,0.0273054,0,0,0.0459966,0.0721951,0.0192453,0.00844812,0.0113856,0.0365846,0.0393161,0.0297845,0.0417222,0.0462792,0.0204288,0.009365,0.011174,0.0283633,0.0287802,0.020212,0.00935859,0.0425046,0.0271817,0.0326565,0,0.013502,0.0646343,0.0318302,0,0,0.0177478,0,0,0.048422,0.0589904,0.0444804,0.0225748,0.00717863,0.0538779,0.0311351,0.0432552,0.0699515,0.0621843,0.0208268,0.0555728,0.0322655,0.0409018,0.0717841,0.0221716,0.013944,0.0317766,0.0194066,0.0239962,0.0291225,0
421,0.0288137,0,0,0,0,0.0464221,0,0,0,0,0,0,0.0270088,0,0.0240954,0.0687293,0,0,0.0272347,0,0,0.0459844,0.0722421,0.0194277,0.00827407,0.0112721,0.0365013,0.0391497,0.0298483,0.0416819,0.0461341,0.0205799,0.00948786,0.0111913,0.0283601,0.0287862,0.020044,0.0092956,0.0425783,0.0270977,0.0350661,0,0.0130846,0.06526,0.0319229,0,0,0.017591,0,0,0.0483572,0.0587783,0.0433746,0.0231717,0.0067826,0.0541662,0.0307507,0.0435261,0.0701468,0.062443,0.0214569,0.0558681,0.0325642,0.0411859,0.0720963,0.0189909,0.0140898,0.0318263,0.0193296,0.0240051,0.0290422,0
