Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHI,RTHIA
177,0.0227181,0,0,0,0,0.0485328,0,0,0,0,0,0,0.0259202,0,0.0198976,0.0687207,0,0,0.0148518,0,0,0.035099,0.0705018,0.0191833,0.00516411,0.0176046,0.0339683,0.0356983,0.0473727,0.0571349,0.037856,0.0102891,0.0125666,0.0276037,0.0276656,0.0209671,0.0140265,0.00814143,0.0210519,0.0366792,0,0.0153556,0.0633956,0.0307238,0,0,0.0227097,0,0,0.0458151,0.056652,0.0252173,0.0210119,0.0106883,0.0478817,0.0408801,0.0750464,0.0304837,0.0617741,0.0387423,0.0478778,0.0802355,0.0146787,0.0131729,0.00698058,0.0285124,0.0279787,0.0276304,0.0476026,0.080114
178,0.0228671,0,0,0,0,0.0485702,0,0,0,0,0,0,0.0258759,0,0.0198503,0.0683494,0,0,0.0150208,0,0,0.0347567,0.0705536,0.0193064,0.00500188,0.0175899,0.0341715,0.0355225,0.0475012,0.0574909,0.0379252,0.0101028,0.012297,0.0276745,0.0277481,0.0210271,0.0139848,0.0079463,0.0212099,0.0369504,0,0.0155863,0.0638966,0.030969,0,0,0.0227989,0,0,0.045808,0.0564225,0.0249472,0.0210033,0.0110347,0.0478039,0.0411631,0.0750985,0.030602,0.0618344,0.0387349,0.0478246,0.0803439,0.0144911,0.0133126,0.00703887,0.0287343,0.027987,0.0274577,0.0477035,0.0801898
179,0.0229622,0,0,0,0,0.0485974,0,0,0,0,0,0,0.0260441,0,0.0198692,0.0681087,0,0,0.0151738,0,0,0.034673,0.070596,0.0194136,0.00487583,0.0175617,0.0343962,0.0353135,0.047564,0.0576416,0.0379385,0.00998987,0.0121268,0.0277932,0.0278864,0.0208078,0.0140325,0.00794921,0.0212915,0.0372373,0,0.0157679,0.0642607,0.0311077,0,0,0.0227493,0,0,0.0458404,0.0562391,0.0247418,0.021018,0.011447,0.0477425,0.0413307,0.0750728,0.0307187,0.0619196,0.0388046,0.0477878,0.0805028,0.0142734,0.0136568,0.00708216,0.0289627,0.0280303,0.0273014,0.0476578,0.0801682
180,0.0230439,0,0,0,0,0.0486299,0,0,0,0,0,0,0.0263766,0,0.0198619,0.0679259,0,0,0.0152654,0,0,0.0347904,0.0706424,0.0195475,0.00477982,0.0174995,0.0345138,0.035134,0.0476005,0.0577397,0.0378584,0.0100461,0.0120635,0.0278749,0.0280285,0.0203862,0.0140557,0.00808843,0.0211083,0.0375567,0,0.0160373,0.0646311,0.0311456,0,0,0.0225714,0,0,0.045842,0.056128,0.0245988,0.0210255,0.0118287,0.0477371,0.0414849,0.0749576,0.0308021,0.0619862,0.0389044,0.0479024,0.0806262,0.0140468,0.0141657,0.00709946,0.0291307,0.0280969,0.0271756,0.0476395,0.0800752
181,0.023125,0,0,0,0,0.0486635,0,0,0,0,0,0,0.0268808,0,0.0197287,0.0677569,0,0,0.0152658,0,0,0.0349266,0.0707592,0.0196574,0.00473601,0.0175741,0.0345042,0.034934,0.0475611,0.0577397,0.0377993,0.0102345,0.0121553,0.0280088,0.0281773,0.0197657,0.0140822,0.00822606,0.0207959,0.037904,0,0.016263,0.0649932,0.031113,0,0,0.0222409,0,0,0.0458988,0.0560805,0.024488,0.0209836,0.0121929,0.0477456,0.0417541,0.0747891,0.03086,0.0620665,0.0389465,0.047944,0.0807678,0.013846,0.0146535,0.00713708,0.029165,0.0281678,0.027061,0.0476496,0.0798913
182,0.0232472,0,0,0,0,0.0487241,0,0,0,0,0,0,0.0274264,0,0.0196805,0.0676306,0,0,0.0151975,0,0,0.0350371,0.0709012,0.019837,0.00469235,0.0176637,0.0344635,0.0346808,0.0475748,0.0576062,0.0378286,0.0104389,0.0123981,0.0281608,0.0283337,0.0190627,0.0142747,0.00828522,0.0206674,0.0383233,0,0.0164637,0.0652682,0.0310457,0,0,0.0218515,0,0,0.0461065,0.0560613,0.0244024,0.0209256,0.0125568,0.0477189,0.0420063,0.074599,0.0308881,0.0621051,0.0389275,0.0479574,0.0809585,0.0136437,0.01515,0.00723429,0.0289289,0.0282333,0.0269529,0.0476564,0.0797065
183,0.0233733,0,0,0,0,0.0487716,0,0,0,0,0,0,0.0278858,0,0.019649,0.0675936,0,0,0.0150949,0,0,0.0353347,0.071056,0.0200788,0.00471947,0.0177716,0.0344285,0.0344576,0.0476273,0.0573926,0.037886,0.0106627,0.0127853,0.0283118,0.0284527,0.0184531,0.0145513,0.00839382,0.0205484,0.0386926,0,0.0167146,0.0653975,0.030926,0,0,0.021441,0,0,0.0463013,0.0560469,0.0244601,0.0208932,0.0129529,0.0476308,0.0422382,0.0744015,0.0309349,0.0621365,0.0389558,0.0480549,0.0810944,0.0134626,0.0156005,0.00734075,0.0287692,0.0282886,0.026874,0.0477273,0.0795756
184,0.023539,0,0,0,0,0.0488322,0,0,0,0,0,0,0.0281845,0,0.0196062,0.0676379,0,0,0.0149312,0,0,0.0355908,0.0712548,0.0203133,0.00478918,0.0178603,0.0344151,0.0343336,0.0476401,0.0571719,0.0379353,0.0108585,0.0133475,0.0284315,0.0285476,0.0180016,0.0147739,0.00845878,0.0204325,0.0389911,0,0.0169179,0.0654171,0.030767,0,0,0.0210358,0,0,0.0464064,0.0560189,0.0244535,0.0208629,0.0133466,0.0474919,0.0425776,0.0742419,0.0309805,0.0622137,0.0389622,0.0481614,0.0811664,0.013274,0.0160878,0.00739452,0.0287494,0.0283748,0.0267859,0.0478325,0.0795033
185,0.0237018,0,0,0,0,0.0488797,0,0,0,0,0,0,0.0283941,0,0.0195454,0.0677431,0,0,0.0146948,0,0,0.0357503,0.0714858,0.020406,0.00490712,0.0179086,0.0344435,0.0342306,0.0475594,0.0569629,0.0379521,0.010944,0.0137715,0.0285798,0.0285888,0.0177313,0.0149513,0.00847721,0.0201871,0.0392056,0,0.0170703,0.0653695,0.0306001,0,0,0.0207334,0,0,0.0465188,0.0559673,0.0243836,0.0208122,0.0137212,0.0472645,0.0429181,0.0741147,0.0310259,0.0622923,0.0389256,0.048226,0.0812205,0.0131297,0.0166271,0.00741136,0.0286322,0.0284849,0.0266118,0.047894,0.0794784
186,0.0237901,0,0,0,0,0.0489085,0,0,0,0,0,0,0.0284661,0,0.0195491,0.0679028,0,0,0.0144906,0,0,0.0358061,0.0717335,0.0205846,0.0050805,0.0179646,0.0344721,0.0342179,0.0474291,0.0567178,0.0378996,0.0109689,0.0141071,0.0287134,0.0285871,0.0176135,0.0151311,0.00852771,0.0196001,0.0392983,0,0.0172497,0.0653083,0.030474,0,0,0.0205506,0,0,0.0465699,0.0559371,0.0243918,0.0207713,0.014063,0.0469898,0.0433099,0.073994,0.031019,0.0623582,0.0388418,0.0482119,0.0813086,0.0130686,0.0171251,0.00741361,0.0285441,0.02861,0.0263102,0.0479826,0.0794775
187,0.0238467,0,0,0,0,0.0489502,0,0,0,0,0,0,0.02844,0,0.019525,0.0679804,0,0,0.0143163,0,0,0.0357753,0.0719923,0.020839,0.0052417,0.0179661,0.0343765,0.0342571,0.0472494,0.0564284,0.0378006,0.0110183,0.0142731,0.0287432,0.0285132,0.017632,0.0153169,0.00843368,0.0192932,0.0393075,0,0.0174235,0.0652556,0.0303835,0,0,0.0204309,0,0,0.0465376,0.0558877,0.0243868,0.0208124,0.0143489,0.0467986,0.0437805,0.0738843,0.0309624,0.0624014,0.038819,0.0482912,0.0814103,0.0130406,0.0175596,0.00739542,0.0285465,0.0287536,0.0259884,0.0480711,0.0794501
188,0.0239224,0,0,0,0,0.0490057,0,0,0,0,0,0,0.0283782,0,0.0195046,0.067867,0,0,0.0141299,0,0,0.0353826,0.0722086,0.0208895,0.00527712,0.0179857,0.0341054,0.0343507,0.047007,0.0561471,0.0377237,0.0110992,0.0142384,0.028599,0.0283737,0.0176753,0.0154933,0.00817129,0.0191094,0.0392632,0,0.0175532,0.0652222,0.030342,0,0,0.0204022,0,0,0.046668,0.0558417,0.0244537,0.0209172,0.0145623,0.0467746,0.0442992,0.0737625,0.0308471,0.0624461,0.0388402,0.0483817,0.0814959,0.0130582,0.0178503,0.0073363,0.0284621,0.0289682,0.0257853,0.048019,0.0793654
189,0.024039,0,0,0,0,0.0490486,0,0,0,0,0,0,0.0282314,0,0.0195735,0.0677675,0,0,0.0141231,0,0,0.0351152,0.0723447,0.0208699,0.00537027,0.0182203,0.0337606,0.0345347,0.046704,0.0559219,0.0376775,0.0111636,0.0141239,0.0283955,0.0282347,0.0176609,0.0156928,0.00809658,0.018741,0.0391568,0,0.0176251,0.0652004,0.0303505,0,0,0.0204716,0,0,0.046767,0.0558114,0.0244979,0.021047,0.014676,0.046845,0.0447572,0.0736432,0.0306872,0.0625133,0.0388684,0.0483601,0.0815671,0.0131029,0.0180912,0.00725215,0.0283854,0.0291529,0.0256192,0.0480121,0.079314
190,0.0241719,0,0,0,0,0.0490106,0,0,0,0,0,0,0.0281396,0,0.0196991,0.0678256,0,0,0.0142295,0,0,0.0350196,0.0724236,0.0206587,0.005508,0.0186042,0.0335509,0.0346635,0.0463507,0.0557659,0.0376328,0.0111645,0.0140694,0.0281456,0.02808,0.0176563,0.0158918,0.00800488,0.0185161,0.0389011,0,0.017653,0.0651703,0.0304084,0,0,0.0205933,0,0,0.0466777,0.055869,0.0244502,0.0211134,0.01477,0.0468826,0.0451065,0.0735248,0.0305179,0.0625951,0.0390403,0.0483411,0.0816472,0.0131569,0.0182739,0.00712904,0.0284191,0.0292667,0.0254468,0.0481462,0.0795822
191,0.0242889,0,0,0,0,0.0489111,0,0,0,0,0,0,0.0278764,0,0.0197888,0.0679523,0,0,0.0143705,0,0,0.0350995,0.0724638,0.0203952,0.00567172,0.0189346,0.0334084,0.0348148,0.0459759,0.0556816,0.0376394,0.0111733,0.0141956,0.0278369,0.0278347,0.017836,0.0159567,0.00802827,0.0182785,0.03873,0,0.017729,0.0651044,0.0304812,0,0,0.0207516,0,0,0.0464,0.0559481,0.024401,0.0212015,0.0148378,0.046904,0.045397,0.0734026,0.0303223,0.0626711,0.0392571,0.0485568,0.0816744,0.0132233,0.0183759,0.00702557,0.0285138,0.0293378,0.0252884,0.0481828,0.0799563
192,0.0243212,0,0,0,0,0.0488195,0,0,0,0,0,0,0.0276745,0,0.0197651,0.0680735,0,0,0.0143649,0,0,0.0350972,0.0724874,0.0202176,0.00585918,0.0193284,0.033397,0.0349987,0.0456273,0.05565,0.0377588,0.0112025,0.0144745,0.0276547,0.0276095,0.018097,0.0158911,0.00796267,0.0182207,0.0389535,0,0.0177498,0.0649671,0.0305149,0,0,0.0209003,0,0,0.0462513,0.0560138,0.0244926,0.0213628,0.014859,0.0469679,0.0456507,0.0732421,0.0300883,0.0627321,0.0386091,0.0487072,0.081665,0.0131284,0.0183724,0.00683929,0.0285213,0.0293808,0.0252345,0.0482372,0.0797391
193,0.023718,0,0,0,0,0.0484199,0,0,0,0,0,0,0.0275214,0,0.0198428,0.0678758,0,0,0.0143743,0,0,0.0348559,0.0722992,0.0199031,0.00509771,0.0192728,0.0340561,0.0359692,0.045477,0.0555773,0.0375317,0.0111326,0.0145907,0.0275258,0.027393,0.0184851,0.0155913,0.00749554,0.0190629,0.0424992,0,0.0188611,0.0639218,0.0300115,0,0,0.0211264,0,0,0.0463566,0.0573603,0.02341,0.0190845,0.0137263,0.0464879,0.0459492,0.0719699,0.0287464,0.064144,0,0.0498967,0.0825769,0.0120548,0.0182039,0.00663251,0.0284546,0.0289104,0.0260633,0.0470145,0.0789526
194,0.0236192,0,0,0,0,0.0477849,0,0,0,0,0,0,0.0271267,0,0.0201899,0.0680772,0,0,0.0100985,0,0,0.027731,0.0720205,0.0194309,0.00513417,0.0193146,0.0344478,0.0323056,0.0454835,0.0557879,0.0377425,0.0111283,0.0146756,0.0273708,0.0272206,0.0189299,0.017074,0,0.021462,0.0428561,0,0.0186018,0.0637039,0.0300623,0,0,0.0217364,0,0,0.0463582,0.0575532,0.0232566,0.0190674,0.01321,0.0465246,0.0458036,0.0718841,0.0285745,0.0643038,0,0.0500485,0.0826486,0.0121048,0.0175844,0.00722665,0.0282761,0.0283652,0.0261445,0.0466705,0.0791219
195,0.0235348,0,0,0,0,0.0483668,0,0,0,0,0,0,0.0269648,0,0.0206406,0.0683864,0,0,0.0149809,0,0,0.0339484,0.0718111,0.0190078,0.00546539,0.0192236,0.0345438,0.0360617,0.0453671,0.0557906,0.0378343,0.0112436,0.0146156,0.0270968,0.0269838,0.0190639,0.0152733,0.0075325,0.0188545,0.0426613,0,0.0185857,0.0636817,0.0299865,0,0,0.0212586,0,0,0.0462055,0.0577023,0.0232717,0.0193236,0.0131155,0.0466566,0.0456192,0.0718053,0.0284888,0.0643818,0,0.0501309,0.0826814,0.0120969,0.0178433,0.00725416,0.0279606,0.0289729,0.0263059,0.0464832,0.0790623
196,0.0233093,0,0,0,0,0.047667,0,0,0,0,0,0,0.0269618,0,0.0209651,0.0685505,0,0,0.0100649,0,0,0.0278015,0.0716018,0.0187837,0.0054838,0.0192652,0.0343632,0.0323194,0.0452303,0.0557383,0.0378666,0.0113497,0.0144528,0.0269187,0.0268498,0.0191925,0.0169287,0,0.0213381,0.0424111,0,0.0185508,0.0636902,0.029982,0,0,0.0214891,0,0,0.0462355,0.0578777,0.0232743,0.0193575,0.0130461,0.0467364,0.04508,0.0717346,0.0284046,0.0645284,0,0.0502251,0.082764,0.0121025,0.0173317,0.0072248,0.0279796,0.028261,0.0265224,0.0464026,0.0789046
197,0.0231527,0,0,0,0,0.0482378,0,0,0,0,0,0,0.0269107,0,0.0212574,0.068901,0,0,0.0150515,0,0,0.0338335,0.0715295,0.0185849,0.00570525,0.0192122,0.0339056,0.0360481,0.0449608,0.055528,0.0375396,0.0112853,0.0142108,0.0267266,0.026732,0.0192492,0.0152859,0.00748349,0.0188533,0.0421921,0,0.0185103,0.0636454,0.0298336,0,0,0.0209047,0,0,0.0459673,0.0580181,0.0232083,0.0194808,0.0130242,0.0467831,0.0444786,0.0716919,0.0284092,0.0645682,0,0.0502067,0.0828032,0.0120778,0.0176439,0.00723021,0.0274245,0.0287542,0.0267603,0.0463918,0.0788414
198,0.0229937,0,0,0,0,0.0475902,0,0,0,0,0,0,0.0268778,0,0.0213865,0.0689993,0,0,0.0100861,0,0,0.0280465,0.0715109,0.0184297,0.00580406,0.0190933,0.0338328,0.0323407,0.0447195,0.0553227,0.037162,0.0111756,0.0139585,0.0265059,0.0266614,0.019247,0.0169407,0,0.0214644,0.0420106,0,0.0185504,0.0636967,0.0297682,0,0,0.0210506,0,0,0.0459528,0.0581226,0.0231946,0.0194999,0.0130682,0.0467816,0.0437974,0.0716078,0.0283522,0.0646087,0,0.0502882,0.0828754,0.0120902,0.0171411,0.0071808,0.0273954,0.0280276,0.026964,0.046308,0.0788316
199,0.022227,0,0,0,0,0.0473042,0,0,0,0,0,0,0.0265723,0,0.0215326,0.0682865,0,0,0.0106091,0,0,0.0279705,0.0716337,0.0182275,0.00488057,0.0185877,0.0344016,0.0335075,0.0445363,0.0547904,0.0361707,0.0110595,0.0137445,0.0262534,0.0264685,0.0196013,0.0167517,0,0.022163,0.0390813,0,0.0195358,0.0630479,0.0289983,0,0,0.0211115,0,0,0.0457174,0.0605579,0.0201498,0.0164912,0.0156218,0.0460056,0.0433889,0.069028,0.0267887,0.0673057,0,0,0.0859493,0.0125136,0.0168394,0.00719195,0.0272845,0.0273607,0.0282016,0.0444659,0.0760907
200,0.023264,0,0,0,0,0.0478234,0,0,0,0,0,0,0.026871,0,0.0214557,0.0692478,0,0,0.00997875,0,0,0.0280022,0.0718666,0.0182423,0.00695959,0.0187925,0.0329085,0.0317905,0.0443884,0.0548573,0.0363998,0.011177,0.0137191,0.0263247,0.0266047,0.0191833,0.0170048,0,0.0210333,0.0441616,0,0.0177644,0.0645273,0.0299483,0,0,0.0208853,0,0,0.0455243,0.0571148,0.0225635,0.0214058,0.0228022,0.0471762,0.0427079,0.067969,0.0262934,0.0649987,0.0370717,0,0.084187,0.0121079,0.0167452,0.00717271,0.0269219,0.0281974,0.0267401,0,0.0791358
201,0.0227112,0,0,0,0,0.047607,0,0,0,0,0,0,0.027076,0,0.0213846,0.0688978,0,0,0.0103426,0,0,0.0280481,0.0721262,0.0181468,0.00640239,0.0186694,0.0333104,0.0326359,0.0440962,0.0545511,0.0359212,0.0112231,0.0137976,0.0263283,0.0265905,0.0188512,0.0169167,0,0.0217824,0.0364093,0,0.0184742,0.06378,0.0294386,0,0,0.021136,0,0,0.0455875,0.059264,0.0215513,0.0192069,0.0178695,0.0464485,0.0424917,0.0696084,0.0275546,0.0659399,0.0362058,0,0.0850001,0.0139923,0.0164251,0.00715287,0.0266932,0.0277192,0.0276422,0.0459003,0.0770901
202,0.0228698,0,0,0,0,0.0476938,0,0,0,0,0,0,0.027247,0,0.0212403,0.0688821,0,0,0.0103535,0,0,0.0281039,0.0721715,0.0182229,0.00665431,0.0187518,0.0329941,0.0325206,0.0440463,0.0544606,0.0356927,0.0113474,0.0142053,0.0265102,0.0267124,0.0186385,0.0169423,0,0.0217587,0.0338984,0,0.0186408,0.0639478,0.0296147,0,0,0.0212828,0,0,0.0456061,0.0592003,0.0214475,0.0195769,0.0167663,0.0465305,0.0423329,0.070372,0.0281468,0.0657591,0.0423344,0,0.0849523,0.0158376,0.0162728,0.00714795,0.0265868,0.027818,0.027546,0.0455949,0.0772257
203,0.0235363,0,0,0,0,0.0485747,0,0,0,0,0,0,0.0277932,0,0.0210279,0.0697635,0,0,0.0154674,0,0,0.0333758,0.0722489,0.01848,0.00806991,0.0191881,0.0320725,0.0351889,0.0439702,0.0544916,0.0359994,0.011575,0.0146394,0.0266811,0.0268148,0.0180514,0.0155225,0.00765809,0.0184852,0.0363358,0,0.0179357,0.0647103,0.0303602,0,0,0.0210789,0,0,0.0454563,0.0570458,0.0246472,0.0225954,0.0150648,0.0472049,0.042282,0.0726776,0.0296677,0.0632185,0.0408721,0.0491818,0.0820911,0.0145246,0.0166548,0.00715667,0.0263699,0.0289034,0.0266458,0.047329,0.0798089
204,0.0235926,0,0,0,0,0.0485155,0,0,0,0,0,0,0.0292213,0,0.0202029,0.0699066,0,0,0.0153438,0,0,0.0333083,0.0722259,0.0204034,0.00815198,0.0193868,0.032256,0.0351334,0.0439801,0.0544918,0.0359628,0.011646,0.0148005,0.0258848,0.0262758,0.017783,0.0154692,0.00757721,0.0186537,0.0366352,0,0.0179664,0.0645797,0.0305198,0,0,0.0213767,0,0,0.0454316,0.0570276,0.0247416,0.0225968,0.0152618,0.0471805,0.0423542,0.072552,0.0295415,0.0632558,0.0397969,0.0492024,0.082118,0.014342,0.0164109,0.00702575,0.0263921,0.0288658,0.0266444,0.0473589,0.079789
205,0.0248237,0,0,0,0,0.0489783,0,0,0,0,0,0,0.0300031,0,0.0200368,0.0700817,0,0,0.0151203,0,0,0.0335505,0.0724604,0.0214395,0.0098173,0.020036,0.0311636,0.0334358,0.0440462,0.0548542,0.036713,0.0119308,0.0150553,0.0256485,0.0262235,0.0175186,0.0159995,0.00799407,0.0174535,0.0434527,0,0.0155113,0.067049,0.0317775,0,0,0.0213701,0,0,0.0453452,0.0521711,0.0285658,0.0277048,0.0110875,0.0483507,0.0421725,0.0761794,0.0313698,0.0591352,0.0376213,0.0449594,0.0779548,0.0144195,0.0164468,0.0067648,0.0261934,0.0297555,0.0249407,0.0509245,0
206,0.0237453,0,0,0,0,0.0484789,0,0,0,0,0,0,0.0314037,0,0.0192283,0.070084,0,0,0.0152457,0,0,0.0337455,0.0720666,0.0234432,0.00820354,0.0197526,0.0322852,0.035037,0.0439172,0.0545907,0.0361022,0.0118457,0.0148907,0.0243777,0.0253686,0.0181953,0.0154556,0.00754046,0.0184758,0.036793,0,0.0179701,0.0644174,0.0308208,0,0,0.0220704,0,0,0.0455044,0.0569188,0.0246573,0.022756,0.0153773,0.0472324,0.0427555,0.0725389,0.0294892,0.0633508,0.039732,0.0492483,0.08218,0.0142439,0.0161993,0.00690215,0.0263908,0.0287872,0.026526,0.047209,0.0797607
207,0.0249487,0,0,0,0,0.0489563,0,0,0,0,0,0,0.0317216,0,0.0192874,0.0701879,0,0,0.0151132,0,0,0.0342335,0.0722859,0.0240324,0.00981607,0.0201953,0.0309179,0.0332919,0.0440902,0.0548917,0.0370156,0.0121173,0.0150305,0.0243142,0.0254478,0.0182719,0.016152,0.00826294,0.0170424,0.0435159,0,0.0154193,0.0669396,0.0320186,0,0,0.0219669,0,0,0.0453895,0.0521416,0.0283505,0.0278566,0.0111821,0.0484458,0.0424193,0.0762107,0.0313932,0.0592855,0.0378711,0.0449821,0.0780485,0.0144211,0.0164827,0.00675633,0.0263721,0.0296395,0.0247864,0.0508362,0
208,0.0249683,0,0,0,0,0.0489547,0,0,0,0,0,0,0.0323093,0,0.0191422,0.0702929,0,0,0.0152724,0,0,0.0346669,0.0722135,0.025082,0.00986891,0.0201238,0.0308038,0.0332184,0.0442631,0.0549508,0.0371187,0.0121762,0.0149789,0.0238378,0.0251918,0.0188466,0.0162407,0.00879821,0.0164518,0.0445409,0,0.0147797,0.066778,0.0320671,0,0,0.0221388,0,0,0.0453324,0.0520861,0.028565,0.027876,0.0105451,0.0484873,0.0425595,0.0763846,0.0314365,0.059257,0.0379819,0.0447202,0.0780076,0.0147424,0.0165465,0.00657567,0.026404,0.0295868,0.024681,0.050894,0
209,0.0250139,0,0,0,0,0.0489935,0,0,0,0,0,0,0.0329013,0,0.0190503,0.0702965,0,0,0.0153604,0,0,0.0348845,0.0721206,0.0261769,0.00986182,0.0201694,0.0308202,0.0331043,0.0444926,0.0550001,0.0373286,0.0122394,0.0149863,0.0234045,0.0249985,0.0195462,0.0163227,0.00864486,0.0163041,0.0448131,0,0.014596,0.0667378,0.0320882,0,0,0.0223713,0,0,0.0451371,0.0521109,0.0285157,0.0279133,0.0104181,0.0485072,0.0427189,0.0764272,0.0314062,0.0592998,0.03803,0.0447086,0.07808,0.0148665,0.0165964,0.00667592,0.0262576,0.0295465,0.0245492,0.0508238,0
210,0.0239156,0,0,0,0,0.0485325,0,0,0,0,0,0,0.0342743,0,0.0187296,0.070196,0,0,0.0152685,0,0,0.0349556,0.0717422,0.0282746,0.00819708,0.0198882,0.0320726,0.0347513,0.0446375,0.0547628,0.0369875,0.012187,0.0149984,0.022299,0.0242988,0.0211621,0.0158294,0.00843602,0.0174287,0.0371542,0,0.0177233,0.0643824,0.0310711,0,0,0.0228954,0,0,0.0451572,0.0570288,0.0242994,0.0230182,0.0156986,0.0472222,0.0431015,0.0725628,0.0293877,0.063548,0.0398897,0.0492162,0.0824827,0.0140794,0.0163773,0.00687422,0.0261471,0.028545,0.0260166,0.0469969,0.0794826
211,0.0241703,0,0,0,0,0.0487495,0,0,0,0,0,0,0.0288455,0,0.0207802,0.0705482,0,0,0.0146414,0,0,0.0356167,0.0713878,0.0212706,0.00829309,0.0181748,0.0319147,0.0344979,0.0443869,0.0545727,0.0371566,0.0129097,0.0156911,0.0275435,0.0288704,0.0187943,0.0159916,0.00806963,0.0171174,0.0350074,0,0.0168335,0.0644369,0.0308775,0,0,0.023256,0,0,0.0451622,0.0574086,0.0245096,0.0227881,0.0156311,0.0465721,0.0431916,0.072798,0.0297186,0.0637756,0.0395029,0.0498035,0.0828317,0.0152133,0.0163597,0.00688906,0.0257262,0.0287161,0.0258091,0.0465142,0.0790399
212,0.0253642,0,0,0,0,0.04922,0,0,0,0,0,0,0.0289156,0,0.0209868,0.0707545,0,0,0.0143124,0,0,0.0358519,0.0716403,0.021465,0.00996728,0.0186415,0.0307111,0.0327344,0.0445682,0.054803,0.0379904,0.013217,0.0159813,0.0277422,0.02913,0.0186442,0.0166869,0.00838209,0.0159384,0.039691,0,0.0135094,0.066842,0.0318939,0,0,0.0230072,0,0,0.0449317,0.0528985,0.0287757,0.0276899,0.0110426,0.0476161,0.0429146,0.076612,0.0318896,0.0598433,0.0370059,0.0460509,0.079027,0.0136284,0.0167933,0.0069384,0.0257081,0.0296978,0.0240742,0.0496587,0
213,0.0254076,0,0,0,0,0.049211,0,0,0,0,0,0,0.0289261,0,0.0210211,0.070845,0,0,0.0142215,0,0,0.0359124,0.0715778,0.0217079,0.0100631,0.0185296,0.0306095,0.0326517,0.044638,0.0546728,0.0379319,0.0133519,0.0161356,0.0278426,0.029284,0.018796,0.0168693,0.0083143,0.0159213,0.0404642,0,0.0128425,0.0666979,0.0318819,0,0,0.0230844,0,0,0.0448879,0.0527805,0.0290863,0.0276299,0.0101966,0.0475948,0.0428713,0.0768436,0.0319844,0.0597976,0.0371234,0.0460024,0.0789651,0.0135939,0.0168515,0.0069307,0.0259221,0.0297561,0.0239753,0.0495132,0
214,0.0243491,0,0,0,0,0.0487522,0,0,0,0,0,0,0.0289481,0,0.0208402,0.0706283,0,0,0.0142365,0,0,0.0358814,0.0711599,0.0221773,0.00838012,0.0179948,0.0317001,0.0343796,0.0444507,0.054371,0.037331,0.0133423,0.0161978,0.0278744,0.0294267,0.0192882,0.0164102,0.00801044,0.0170612,0.0350386,0,0.0167348,0.0644115,0.0309397,0,0,0.0232643,0,0,0.0450724,0.0573513,0.0243222,0.0228477,0.0155272,0.0464763,0.0428956,0.0728925,0.0297143,0.0637774,0.0396127,0.0498974,0.0828625,0.0151895,0.0165435,0.00693564,0.0263204,0.0288811,0.0254025,0.046215,0.0789316
215,0.0244085,0,0,0,0,0.0487291,0,0,0,0,0,0,0.0289817,0,0.0208628,0.0706883,0,0,0.0141813,0,0,0.0359045,0.0711367,0.0222599,0.00843151,0.0179953,0.031621,0.0344228,0.0444312,0.054378,0.0373203,0.0133814,0.0162201,0.0279081,0.0294597,0.0194,0.0164039,0.00801067,0.0170721,0.0350001,0,0.0167288,0.0643833,0.0309952,0,0,0.0232509,0,0,0.045055,0.05734,0.0243466,0.0228511,0.0155451,0.0464679,0.0426896,0.0728953,0.0297029,0.0638019,0.0396126,0.0498854,0.0828646,0.0152395,0.0165174,0.00696013,0.0265484,0.0288855,0.0253111,0.0461743,0.0788996
216,0.0253241,0,0,0,0,0.0489958,0,0,0,0,0,0,0.032501,0,0,0.072206,0,0,0.0141313,0,0,0.0358494,0.0700553,0.0203944,0.00915147,0.0176035,0.0314978,0.0341113,0,0.055734,0.0369089,0.0113023,0.0132778,0.0282674,0.029376,0.01228,0.0167634,0.0080861,0.0167854,0.0350698,0,0.0166967,0.0634434,0.0317107,0,0,0.0227913,0,0,0.0447801,0.0571966,0.0243512,0.022441,0.0151844,0.0461982,0.0414593,0.0726729,0.0292958,0.0639326,0.0397626,0.0500471,0.0829079,0.0152004,0.0163679,0.00695658,0.0261642,0.0293525,0.0243563,0.0463901,0.0789899
