Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHI,RTHIA
156,0.0226142,0,0,0,0,0.0483047,0,0,0,0,0,0,0.0321419,0,0.0191252,0.072996,0,0,0.0212223,0,0,0.0416914,0.0686876,0.0263314,0.00843818,0.0212575,0.0359071,0.0441887,0.0451467,0.0544482,0.0348945,0.013495,0.0156367,0.0240436,0.0255122,0.0207943,0.0127859,0.0283107,0.0189897,0.0278492,0,0.0136914,0.0566478,0.0249022,0,0,0.0178158,0,0,0.0446272,0.0623003,0.0350281,0.0218753,0.00805858,0.0538509,0.038071,0.0762516,0.0304807,0.0609151,0.0370062,0.0470045,0.078293,0.0244849,0.018444,0.0114101,0.0227986,0.0285638,0.0331627,0.047901,0.0813187
157,0.0225073,0,0,0,0,0.0482146,0,0,0,0,0,0,0.0322204,0,0.0191415,0.0730178,0,0,0.0206085,0,0,0.0413228,0.0687355,0.026233,0.00846481,0.021202,0.0357606,0.0438522,0.0450819,0.0544114,0.0349104,0.0134792,0.0157105,0.0240552,0.0255205,0.0205509,0.0124776,0.0270376,0.0187488,0.0277207,0,0.0136209,0.0567612,0.025076,0,0,0.0174112,0,0,0.0444083,0.0623053,0.0349329,0.0218234,0.00811256,0.0537122,0.0380341,0.0761016,0.0303671,0.0610007,0.0371186,0.0471126,0.0784405,0.0245526,0.01812,0.00995923,0.0233566,0.0286355,0.0331861,0.0478926,0.081246
158,0.0224054,0,0,0,0,0.0481959,0,0,0,0,0,0,0.0324499,0,0.0191254,0.0729639,0,0,0.0199107,0,0,0.0409454,0.068877,0.0263485,0.00847307,0.0211415,0.0355873,0.0434408,0.0450118,0.0543071,0.0349225,0.0134599,0.0156243,0.0239477,0.0254347,0.0204317,0.0123446,0.0255223,0.0187108,0.0275838,0,0.0135762,0.0568991,0.0253104,0,0,0.0170689,0,0,0.0442934,0.0622315,0.0348177,0.0217093,0.00807774,0.0535352,0.0381105,0.0760049,0.0302803,0.0611119,0.0372848,0.0472017,0.0785998,0.0246399,0.0178528,0.00854672,0.0240071,0.0287272,0.0331052,0.0478277,0.0812236
159,0.0223285,0,0,0,0,0.0481693,0,0,0,0,0,0,0.0326829,0,0.0190847,0.0727745,0,0,0.0192212,0,0,0.0405843,0.0689894,0.0264923,0.00850258,0.0211308,0.0353434,0.0429281,0.0449139,0.0542173,0.0348877,0.0134354,0.0154764,0.0238184,0.0253241,0.0203622,0.0122688,0.0239733,0.0188752,0.0274402,0,0.0136354,0.0570409,0.025555,0,0,0.016857,0,0,0.0442603,0.0621358,0.0347178,0.0216241,0.00800737,0.0533184,0.0381788,0.0759605,0.0302036,0.0612168,0.0374783,0.0472782,0.0787286,0.0247088,0.0175915,0.0076102,0.0245065,0.0287857,0.0329408,0.0477755,0.0812384
160,0.0222712,0,0,0,0,0.0481811,0,0,0,0,0,0,0.0328419,0,0.0190729,0.0726762,0,0,0.0186233,0,0,0.0403851,0.0690933,0.0264676,0.00848387,0.0211232,0.0351467,0.0424115,0.0448028,0.0541809,0.0348657,0.0133829,0.015463,0.0237717,0.025287,0.0201531,0.0122101,0.022721,0.018678,0.0272963,0,0.013654,0.0571822,0.025754,0,0,0.0169242,0,0,0.0442581,0.0620612,0.0346008,0.0215213,0.00821584,0.0531189,0.0382471,0.0759387,0.0301588,0.0613359,0.0377097,0.0474465,0.0788746,0.024751,0.0173353,0.00730189,0.0246737,0.0288532,0.0327372,0.0476809,0.0812493
161,0.022239,0,0,0,0,0.0482135,0,0,0,0,0,0,0.0329525,0,0.019148,0.0727054,0,0,0.0180421,0,0,0.040106,0.069184,0.0264159,0.00830354,0.0210996,0.0349489,0.0419492,0.0446993,0.0541639,0.0348244,0.013396,0.0154255,0.0237551,0.0252573,0.0199567,0.0122269,0.0212219,0.0185925,0.0271751,0,0.0136222,0.0573077,0.0259371,0,0,0.0171209,0,0,0.0442656,0.0619204,0.034419,0.0214073,0.008375,0.0528852,0.0383961,0.0759302,0.0301686,0.0614469,0.0379206,0.0475607,0.0790142,0.0247904,0.0170056,0.00713765,0.0246884,0.0288388,0.0325124,0.0476516,0.0812535
162,0.0222202,0,0,0,0,0.0482659,0,0,0,0,0,0,0.0330848,0,0.019249,0.0726804,0,0,0.0174828,0,0,0.039778,0.0692356,0.026413,0.00813126,0.0210882,0.0347439,0.0414923,0.044578,0.054131,0.0348499,0.013412,0.0154917,0.0237501,0.0252319,0.0197755,0.0122408,0.0194644,0.0187145,0.0271587,0,0.0135647,0.0574499,0.02613,0,0,0.0174064,0,0,0.0442878,0.061652,0.0342175,0.0213026,0.00846522,0.052655,0.0385849,0.0758988,0.0301846,0.0615708,0.0381651,0.0476725,0.0791461,0.0247156,0.0166836,0.00706859,0.0247225,0.0287628,0.0322626,0.0476443,0.081233
163,0.0221907,0,0,0,0,0.04832,0,0,0,0,0,0,0.0331645,0,0.0193072,0.0726028,0,0,0.0169287,0,0,0.0393647,0.0693181,0.0264082,0.00802893,0.0210974,0.0345809,0.040919,0.0444572,0.0540926,0.0349156,0.0134221,0.015406,0.0237288,0.0251876,0.0196385,0.0122463,0.0174471,0.0190318,0.0272181,0,0.0135037,0.0576093,0.0263544,0,0,0.0177506,0,0,0.0443454,0.0612981,0.0339673,0.0211907,0.00846006,0.0524296,0.0387594,0.0758368,0.0301885,0.0616717,0.0384076,0.0477674,0.0792454,0.0245031,0.0162858,0.00703964,0.0248586,0.0286473,0.0319738,0.0477106,0.0811834
164,0.0221736,0,0,0,0,0.0483768,0,0,0,0,0,0,0.0330602,0,0.0193944,0.0725577,0,0,0.0163358,0,0,0.0388367,0.0694536,0.0262299,0.00779658,0.0210596,0.0343483,0.0403805,0.0444013,0.0539897,0.0349861,0.0134092,0.0153054,0.0237674,0.0251927,0.0194959,0.012275,0.0151764,0.0195601,0.0274248,0,0.0135007,0.0577685,0.0265919,0,0,0.0181014,0,0,0.0444284,0.0610616,0.0334504,0.0211015,0.00849667,0.0521483,0.0387686,0.0757344,0.0301977,0.0617145,0.0385768,0.0478228,0.0792848,0.0242004,0.0159109,0.00693101,0.0249838,0.0284727,0.0316538,0.0478471,0.0810974
165,0.0221642,0,0,0,0,0.0484133,0,0,0,0,0,0,0.0328181,0,0.0195273,0.0725429,0,0,0.0156972,0,0,0.0384727,0.0696134,0.0259316,0.00759241,0.0210167,0.0340755,0.0399031,0.0443116,0.0538824,0.0350652,0.0133735,0.0151924,0.0238124,0.025219,0.0193791,0.0123684,0.0129255,0.0204092,0.0278841,0,0.013649,0.0579801,0.0268566,0,0,0.0184241,0,0,0.0445301,0.0608125,0.0323995,0.0210478,0.00849752,0.0518446,0.0387036,0.0756968,0.0302462,0.0617248,0.0387962,0.0477385,0.0792656,0.0237145,0.0154693,0.00681816,0.0251621,0.0284042,0.0313364,0.0479786,0.0811355
