Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHI,
All Timesteps RMSE,0.0276565,0,0,0,0,0.0429074,0,0,0,0,0,0,0.0305537,0,0.0189729,0.0789972,0,0,0.0205358,0,0,0.0359283,0.0703683,0.0196774,0.0128361,0.0148738,0.0289359,0.0362423,0.0440185,0.0415296,0.0506538,0.0303069,0.0111383,0.0128365,0.0274749,0.0287981,0.0197561,0.010997,0.027177,0.0209372,0.0451881,0,0.0150374,0.0624959,0.0343525,0,0,0.0207576,0,0,0.0472008,0.0572315,0.0385938,0.027338,0.0201306,0.0492095,0.041151,0.0477636,0.0558743,0.0279224,0.0545005,0.034887,0.0399822,0.0724783,0.0295763,0.0168566,0.0258136,0.0219531,0.022841,0.0259843,0.0262998,0
0,0.0235105,0,0,0,0,0.0464043,0,0,0,0,0,0,0.0310982,0,0.0213252,0.0813384,0,0,0.018143,0,0,0.0350581,0.0723398,0.0182581,0.0177829,0.014573,0.0196122,0.0338347,0.0280077,0.0381416,0.0467351,0.0316641,0.0117049,0.0115297,0.0274023,0.0285749,0.0146468,0.0122916,0.00950517,0.0136614,0.0483257,0,0.014584,0.0670599,0.0325485,0,0,0.0231065,0,0,0.0422722,0.0571414,0.0304856,0.029715,0.0237192,0.0453542,0.0416238,0.0489236,0.0524431,0.0286792,0.0570175,0.0380031,0.0423006,0.0759122,0.0190146,0.0175027,0.00745755,0.0227757,0.0275335,0.0233086,0,0
1,0.0235551,0,0,0,0,0.0463727,0,0,0,0,0,0,0.030709,0,0.0213767,0.0812918,0,0,0.0188851,0,0,0.034044,0.0723497,0.01826,0.0177418,0.0147742,0.0196773,0.0338252,0.0281533,0.0381557,0.0467852,0.0316637,0.0115706,0.0115457,0.0273938,0.0284285,0.0150742,0.012447,0.00924691,0.0137672,0.0479875,0,0.0146509,0.0670218,0.0326318,0,0,0.0236663,0,0,0.0417172,0.057105,0.0303663,0.0297188,0.0238064,0.0454098,0.0414562,0.0488915,0.0523407,0.0284962,0.0570521,0.0379257,0.0423441,0.0759225,0.0187658,0.0179094,0.00720368,0.023371,0.0274862,0.0232629,0,0
2,0.0236467,0,0,0,0,0.0462849,0,0,0,0,0,0,0.0307782,0,0.021299,0.0812624,0,0,0.0189131,0,0,0.0341701,0.0722561,0.0181913,0.0176856,0.014738,0.0197253,0.0336324,0.0282077,0.0382071,0.0468462,0.031688,0.0115906,0.0115006,0.0274083,0.0284896,0.0150156,0.012323,0.0092582,0.0138452,0.0479182,0,0.0146353,0.0670273,0.0327385,0,0,0.0236132,0,0,0.041666,0.0570274,0.030305,0.0297057,0.02376,0.0454177,0.04151,0.0488729,0.0523381,0.028356,0.0570303,0.0379118,0.0423382,0.0759152,0.0187041,0.0183521,0.00732854,0.0233193,0.0275199,0.0232172,0,0
3,0.0235698,0,0,0,0,0.0462208,0,0,0,0,0,0,0.0307715,0,0.0212891,0.0812552,0,0,0.018965,0,0,0.0343614,0.0723493,0.0179406,0.0177512,0.0147353,0.0196033,0.0337457,0.0281325,0.0381061,0.0468087,0.0316302,0.011529,0.0114981,0.0273153,0.0284032,0.0150628,0.0124159,0.00927285,0.0138814,0.0479819,0,0.0146482,0.0670877,0.0326362,0,0,0.0235594,0,0,0.0417524,0.0570658,0.0303177,0.0296799,0.0237662,0.0454098,0.0416197,0.0488537,0.0523221,0.028497,0.0570512,0.0379449,0.0423503,0.0759615,0.0187397,0.0181975,0.00732254,0.0234053,0.0274321,0.0232943,0,0
4,0.0235461,0,0,0,0,0.0461138,0,0,0,0,0,0,0.0308107,0,0.0212655,0.081226,0,0,0.0189974,0,0,0.0343906,0.0724024,0.0178043,0.0177849,0.0147564,0.0195561,0.0337692,0.0279973,0.0380567,0.0468074,0.0316399,0.011541,0.0115689,0.0273075,0.0283972,0.0150173,0.012398,0.00927805,0.0139027,0.0479459,0,0.0146645,0.0671667,0.0325879,0,0,0.0235158,0,0,0.0417433,0.0570155,0.0303231,0.0296736,0.0237955,0.0453854,0.0417764,0.0488923,0.0522662,0.0290773,0.0570224,0.0379169,0.0423401,0.0759526,0.018726,0.0183249,0.00734603,0.0232456,0.0273659,0.0233599,0,0
5,0.0235277,0,0,0,0,0.0459942,0,0,0,0,0,0,0.0309044,0,0.0213102,0.0812056,0,0,0.0189809,0,0,0.0342621,0.0724437,0.0178158,0.0177959,0.014811,0.0195358,0.0338263,0.0279121,0.0380145,0.0467739,0.0316546,0.0115918,0.011608,0.0273156,0.028392,0.0148857,0.0123754,0.00924131,0.0139112,0.0479147,0,0.0146739,0.0671935,0.0324959,0,0,0.0234833,0,0,0.0416575,0.0569815,0.0303584,0.0296244,0.0238193,0.0453622,0.0419392,0.0489009,0.0522379,0.0293232,0.0570439,0.0379396,0.0423598,0.0759447,0.0187146,0.0184236,0.00735104,0.0228868,0.027265,0.0234444,0,0
6,0.0234862,0,0,0,0,0.0458549,0,0,0,0,0,0,0.0310257,0,0.0213989,0.081193,0,0,0.0189787,0,0,0.0342343,0.0725151,0.0179554,0.0178251,0.0147874,0.0195562,0.0338965,0.0279192,0.0379285,0.0467171,0.0316682,0.0115405,0.0115025,0.0273005,0.0283569,0.0147327,0.0123425,0.00920968,0.0139382,0.0479378,0,0.0146618,0.0671318,0.0323955,0,0,0.0234532,0,0,0.0416367,0.0569984,0.0302914,0.0295816,0.0238379,0.0453372,0.0421414,0.0488734,0.052234,0.0293638,0.0570765,0.0379685,0.0423799,0.075944,0.0187178,0.0185126,0.00740098,0.0227566,0.0271623,0.0235741,0,0
7,0.0233412,0,0,0,0,0.0457846,0,0,0,0,0,0,0.0311827,0,0.0215007,0.0812098,0,0,0.0190048,0,0,0.0342378,0.072635,0.0180879,0.017927,0.0146688,0.0195585,0.034119,0.0279719,0.0378255,0.0465967,0.031675,0.0114902,0.01143,0.027241,0.0283176,0.0145302,0.0124064,0.00925588,0.0137585,0.048011,0,0.0146607,0.0670133,0.0322893,0,0,0.0234261,0,0,0.0416804,0.057099,0.0302596,0.0296284,0.0238544,0.0452952,0.0422484,0.0487952,0.0522432,0.0294315,0.0571184,0.0380233,0.0424225,0.0759668,0.0187779,0.0182815,0.00739574,0.0228777,0.0270272,0.0237223,0,0
8,0.023204,0,0,0,0,0.0457312,0,0,0,0,0,0,0.0313048,0,0.0215151,0.0811627,0,0,0.0189998,0,0,0.0341819,0.072735,0.0178704,0.0179643,0.0146098,0.0195887,0.0344024,0.0279789,0.0377254,0.0465103,0.0316946,0.011518,0.0114611,0.0271967,0.0282893,0.0144007,0.0124787,0.00930895,0.0136352,0.0480784,0,0.0146343,0.0669689,0.032244,0,0,0.0234348,0,0,0.0416924,0.05717,0.0301538,0.0296605,0.0238648,0.0452174,0.0421558,0.0487279,0.0522478,0.0294707,0.0571741,0.0380816,0.0424394,0.0759963,0.0188009,0.0179887,0.0073121,0.0229882,0.0268538,0.0238122,0,0
9,0.0241134,0,0,0,0,0.0455354,0,0,0,0,0,0,0.0454021,0,0,0.0821942,0,0,0.0189402,0,0,0.034228,0.0701755,0.0157773,0.0182335,0.0112333,0.0202071,0.0349515,0.0283239,0,0.0481366,0.0319751,0.011001,0.00892022,0.0291145,0.0319776,0.0099656,0.0131528,0.0094922,0.013276,0.0480841,0,0.0146559,0.0656892,0.0327808,0,0,0.0233159,0,0,0.041416,0.0574987,0.0296755,0.0285816,0.0241856,0.0443901,0.0404331,0.0483687,0.0519934,0.0296621,0.0575979,0.0384627,0.0428188,0.0763372,0.0186445,0.0178112,0.00742176,0.0225294,0.0265059,0.0230632,0,0
10,0.0236243,0,0,0,0,0.0445987,0,0,0,0,0,0,0.0311852,0,0.0213646,0.0810246,0,0,0.0146978,0,0,0.0289837,0.0726012,0.0177566,0.01772,0.0147194,0.0198795,0.0324697,0.0280198,0.0378061,0.0466932,0.0317087,0.0115424,0.0115258,0.0272792,0.0283741,0.0145494,0.0123929,0,0.0184738,0.0478615,0,0.0146245,0.0668372,0.0320745,0,0,0.023309,0,0,0.0418007,0.0571087,0.0302071,0.0296212,0.0238307,0.0452825,0.042589,0.0488057,0.0521904,0.0293935,0.0571371,0.0380741,0.0423894,0.0759941,0.0186554,0.0183031,0.00730601,0.0229441,0.0260152,0.0239308,0,0
11,0.0236862,0,0,0,0,0.0448139,0,0,0,0,0,0,0.0311005,0,0.021346,0.0811561,0,0,0.0146377,0,0,0.0290188,0.0725374,0.0178903,0.0177588,0.0147045,0.0197573,0.0321629,0.028067,0.037869,0.0467505,0.0316539,0.011523,0.0115138,0.027311,0.0283804,0.0146176,0.0124664,0,0.0184933,0.0478385,0,0.0146451,0.066822,0.0319882,0,0,0.0232919,0,0,0.0416314,0.0571217,0.0303065,0.0296806,0.0238089,0.0453275,0.0426453,0.0488194,0.0521914,0.0293941,0.0569979,0.038037,0.0423614,0.0759678,0.0186506,0.0181517,0.00730181,0.0228369,0.0262586,0.023863,0,0
12,0.0237418,0,0,0,0,0.0449807,0,0,0,0,0,0,0.031075,0,0.0213501,0.0812684,0,0,0.0146066,0,0,0.0289741,0.0724742,0.0180367,0.0177642,0.0147296,0.0196683,0.0318038,0.0280524,0.0379193,0.0467917,0.031634,0.0115143,0.0115171,0.027338,0.0283969,0.014656,0.0125288,0,0.0183822,0.0477828,0,0.0146243,0.0668242,0.0319112,0,0,0.0233039,0,0,0.041285,0.0571142,0.0302708,0.0297336,0.0237822,0.045379,0.0426891,0.0488064,0.0522111,0.0293722,0.0568175,0.0379872,0.042343,0.0759391,0.0186055,0.0178213,0.00729918,0.0226222,0.0264608,0.0238122,0,0
13,0.0237993,0,0,0,0,0.0451514,0,0,0,0,0,0,0.0310709,0,0.0212816,0.0813205,0,0,0.0145749,0,0,0.0289519,0.0724163,0.0178833,0.0177648,0.0148217,0.0196062,0.0315049,0.027953,0.0379536,0.0468238,0.0316213,0.0115153,0.0115337,0.0273478,0.0284096,0.0146661,0.0126235,0,0.0182699,0.0477314,0,0.0146303,0.066836,0.0318437,0,0,0.0232266,0,0,0.0413041,0.0571279,0.0302899,0.0298025,0.0237512,0.0454345,0.0426672,0.0488658,0.052217,0.029348,0.0568803,0.0379531,0.0423062,0.0758922,0.0185689,0.0178275,0.00730625,0.0225523,0.0266061,0.0237677,0,0
14,0.0238543,0,0,0,0,0.0453,0,0,0,0,0,0,0.0310667,0,0.021236,0.0813399,0,0,0.0145419,0,0,0.0290312,0.0723683,0.017783,0.0177424,0.0148502,0.0195639,0.0312751,0.0280039,0.0379961,0.0468581,0.0316004,0.0115233,0.0115406,0.0273597,0.0284279,0.0147079,0.0127285,0,0.018215,0.0477053,0,0.0146646,0.0668492,0.0317772,0,0,0.0230502,0,0,0.0416783,0.0572341,0.0303661,0.0298403,0.0237288,0.0454843,0.042624,0.048929,0.0522106,0.0293283,0.0569331,0.0379613,0.0422721,0.0758468,0.0185632,0.0181378,0.00732526,0.0225964,0.0267186,0.023724,0,0
15,0.0239063,0,0,0,0,0.0454123,0,0,0,0,0,0,0.0310543,0,0.0212303,0.0813753,0,0,0.0145176,0,0,0.0291745,0.0723406,0.017771,0.0177094,0.0148381,0.0195444,0.031087,0.0280288,0.0380394,0.046882,0.0315471,0.0114732,0.0115303,0.0273728,0.0284545,0.014747,0.0128333,0,0.0182109,0.0476662,0,0.0147057,0.0668326,0.031707,0,0,0.0229234,0,0,0.0418772,0.0572458,0.0304728,0.0298404,0.0237024,0.0455441,0.0425947,0.0489235,0.052203,0.0292841,0.056911,0.0379362,0.042246,0.0758128,0.018571,0.0181726,0.00733934,0.0226888,0.026805,0.0236992,0,0
16,0.0239262,0,0,0,0,0.0454915,0,0,0,0,0,0,0.0310411,0,0.0212339,0.0814006,0,0,0.0144911,0,0,0.0291128,0.0723219,0.0178558,0.017695,0.0148433,0.019544,0.0309345,0.028021,0.0380712,0.0469112,0.0315048,0.0114533,0.0115425,0.0273884,0.0284647,0.0147591,0.0129038,0,0.0180977,0.0477065,0,0.0147124,0.066814,0.0316567,0,0,0.0228729,0,0,0.041877,0.0571964,0.030432,0.0298941,0.0236629,0.0456124,0.0425756,0.0489057,0.0521977,0.029252,0.0568484,0.0377969,0.0422136,0.0757761,0.0185593,0.0179034,0.00732029,0.0228975,0.0268607,0.0236856,0,0
17,0.0239297,0,0,0,0,0.0455588,0,0,0,0,0,0,0.0310191,0,0.0212468,0.0814073,0,0,0.0144542,0,0,0.0290359,0.0723011,0.0180124,0.0176959,0.0148755,0.0195525,0.0308173,0.0280073,0.0380889,0.0469596,0.031477,0.0114495,0.011571,0.0273932,0.0284391,0.0147418,0.0129741,0,0.0179694,0.0477269,0,0.0146948,0.066804,0.0316449,0,0,0.0227904,0,0,0.042072,0.0571666,0.0303965,0.0299316,0.0236456,0.0456622,0.042545,0.0489319,0.0521809,0.0292584,0.0567484,0.0375328,0.042183,0.0757577,0.0185512,0.0178655,0.00732116,0.0233638,0.0268997,0.0236905,0,0
18,0.0239416,0,0,0,0,0.045584,0,0,0,0,0,0,0.0310455,0,0.0212082,0.0814304,0,0,0.0144188,0,0,0.0290448,0.07227,0.0179034,0.0176688,0.0148886,0.0195534,0.0307544,0.027997,0.0381057,0.0470084,0.0314545,0.011457,0.0115536,0.0273596,0.0284048,0.0147011,0.0130714,0,0.0178879,0.0476635,0,0.0146696,0.0667874,0.0316289,0,0,0.0227044,0,0,0.042146,0.05714,0.0304209,0.029939,0.0236421,0.0457039,0.0425107,0.0489341,0.0521615,0.0292765,0.0565374,0.0374344,0.0421782,0.0757608,0.0185263,0.0180265,0.00733961,0.0234297,0.0269201,0.023679,0,0
19,0.0239672,0,0,0,0,0.0455832,0,0,0,0,0,0,0.0310836,0,0.0211788,0.0814594,0,0,0.0143796,0,0,0.0290756,0.0722357,0.0178191,0.0176374,0.0148898,0.0195684,0.0306979,0.0280062,0.0381385,0.0470233,0.0314339,0.0114588,0.0115313,0.0273455,0.0284169,0.0146847,0.0131565,0,0.0178222,0.0476375,0,0.0146862,0.0667653,0.031606,0,0,0.0226329,0,0,0.0420029,0.0570622,0.0305203,0.029944,0.0236434,0.0457283,0.042506,0.0489083,0.0521326,0.0292572,0.0564513,0.037445,0.0421736,0.0757462,0.0185198,0.0180363,0.00735128,0.0230536,0.0269239,0.0236569,0,0
20,0.0239829,0,0,0,0,0.0455777,0,0,0,0,0,0,0.031066,0,0.0211505,0.0814834,0,0,0.0143234,0,0,0.0291053,0.0722136,0.0177675,0.0176001,0.0148957,0.0195793,0.0306482,0.0280135,0.0381489,0.0470146,0.0314348,0.0114428,0.0115466,0.0273801,0.0284494,0.0147064,0.0132402,0,0.0177769,0.0476699,0,0.0147406,0.0667539,0.031583,0,0,0.0225347,0,0,0.0419446,0.0570823,0.0306639,0.0299761,0.0236229,0.0457306,0.0424902,0.0489055,0.0520989,0.0292141,0.0565358,0.0374401,0.0421425,0.0757361,0.0185513,0.0178774,0.00734119,0.0228876,0.026859,0.0236516,0,0
21,0.023991,0,0,0,0,0.0455795,0,0,0,0,0,0,0.0310631,0,0.021113,0.0814954,0,0,0.0142649,0,0,0.0291421,0.0721817,0.0177406,0.0175682,0.0148956,0.0195833,0.0306071,0.0279867,0.0381466,0.0470142,0.0314398,0.0114196,0.0115471,0.0274103,0.028469,0.0146947,0.013328,0,0.0177508,0.0476772,0,0.0147844,0.066747,0.0315755,0,0,0.02238,0,0,0.0419933,0.0570338,0.030741,0.0300605,0.0235925,0.0457277,0.0424662,0.0489241,0.0520734,0.0291743,0.056692,0.0374288,0.0421141,0.0757106,0.0185559,0.0177085,0.00733323,0.0229252,0.0267326,0.023642,0,0
22,0.024017,0,0,0,0,0.0455872,0,0,0,0,0,0,0.0310757,0,0.0210804,0.0814883,0,0,0.0142025,0,0,0.029184,0.0721624,0.0177499,0.0175439,0.0148936,0.0195602,0.0305719,0.027989,0.0381671,0.0470347,0.0314347,0.0113937,0.0115502,0.0274031,0.0284621,0.0146773,0.0133865,0,0.0177006,0.0476357,0,0.0148115,0.0667576,0.0315965,0,0,0.0222254,0,0,0.0420977,0.057007,0.0307598,0.0300696,0.0235858,0.0457357,0.0424354,0.0489919,0.0520587,0.0291335,0.056673,0.0374036,0.0420976,0.0756993,0.0185408,0.0177928,0.00737026,0.0229491,0.0267007,0.0236135,0,0
23,0.024049,0,0,0,0,0.0455893,0,0,0,0,0,0,0.0311085,0,0.0210818,0.081471,0,0,0.0141415,0,0,0.0292287,0.0721462,0.0177484,0.0175026,0.0148441,0.0195587,0.0305345,0.0280227,0.0381968,0.0470848,0.0314447,0.0114073,0.0115502,0.0273979,0.0284628,0.0146891,0.0134283,0,0.0176543,0.0475576,0,0.0148252,0.0667545,0.0316276,0,0,0.0220681,0,0,0.042235,0.0570024,0.0307683,0.0300247,0.0235909,0.0457492,0.0424105,0.049028,0.0520472,0.0291135,0.0565569,0.0373713,0.0421,0.0757071,0.0185078,0.0178683,0.00742446,0.0229576,0.0267256,0.0235855,0,0
24,0.0240631,0,0,0,0,0.045589,0,0,0,0,0,0,0.0311053,0,0.0210556,0.0814608,0,0,0.0140625,0,0,0.0292703,0.0721351,0.0177442,0.0174719,0.0147144,0.019597,0.0305169,0.0280509,0.0382079,0.0471226,0.0314472,0.0114091,0.0115645,0.0273877,0.0284595,0.0146792,0.0135075,0,0.0176299,0.0475106,0,0.0148513,0.06674,0.0316518,0,0,0.0218357,0,0,0.0423185,0.0570005,0.0307788,0.0300734,0.0236009,0.0457511,0.0423782,0.0490366,0.0520473,0.0290928,0.0566088,0.0373666,0.0420991,0.0757033,0.0184721,0.0178464,0.00745888,0.0229534,0.026761,0.0235794,0,0
25,0.0240704,0,0,0,0,0.0456051,0,0,0,0,0,0,0.0310747,0,0.0210497,0.081478,0,0,0.0139849,0,0,0.0293195,0.0721321,0.0177264,0.0174564,0.0147199,0.0196095,0.0305015,0.0280471,0.038207,0.0471032,0.0314417,0.0113664,0.0115841,0.0274047,0.0284661,0.0146622,0.0135722,0,0.0176184,0.0474323,0,0.0148649,0.06671,0.0316658,0,0,0.0216232,0,0,0.0424114,0.0570289,0.0307876,0.0300905,0.0236169,0.0457409,0.0423312,0.0490202,0.0520443,0.0290715,0.0565249,0.0374428,0.0421002,0.0756847,0.0184414,0.0177409,0.00747813,0.0229314,0.0267104,0.0235745,0,0
26,0.0240713,0,0,0,0,0.0456027,0,0,0,0,0,0,0.0311249,0,0.0210681,0.0815062,0,0,0.0138855,0,0,0.0293632,0.0721066,0.0177389,0.017449,0.014789,0.0195964,0.0304724,0.0280743,0.038199,0.0470352,0.0314395,0.0113448,0.0115854,0.0273968,0.0284789,0.0146003,0.01362,0,0.017596,0.0474235,0,0.0148451,0.0666963,0.0316793,0,0,0.0214299,0,0,0.0424164,0.0570144,0.0308016,0.0300615,0.0236169,0.0457365,0.0422682,0.0490638,0.0520369,0.0290519,0.0565601,0.037547,0.042121,0.0756768,0.0184297,0.0176023,0.00750359,0.0228992,0.0266794,0.0235709,0,0
27,0.024076,0,0,0,0,0.0456031,0,0,0,0,0,0,0.0312331,0,0.0210569,0.0815278,0,0,0.0137822,0,0,0.0293995,0.0720658,0.0177528,0.0174169,0.01475,0.0196189,0.0304364,0.0280769,0.0381711,0.0470294,0.0314486,0.0113518,0.011577,0.0273971,0.0284941,0.0145119,0.013652,0,0.0175549,0.0474974,0,0.0148195,0.0666992,0.0317216,0,0,0.0212039,0,0,0.042369,0.0569692,0.0307853,0.0300221,0.0235957,0.0457153,0.0421773,0.0491158,0.0520055,0.029065,0.0567468,0.0374412,0.0421149,0.0756718,0.0184305,0.0177491,0.00756173,0.022926,0.0266906,0.0235579,0,0
28,0.0240761,0,0,0,0,0.0455772,0,0,0,0,0,0,0.0312264,0,0.0210507,0.0815269,0,0,0.0136706,0,0,0.0294248,0.0720657,0.0177531,0.017389,0.0148428,0.0196554,0.0303831,0.0280511,0.0381527,0.0470531,0.031457,0.0113775,0.0115797,0.0274143,0.0285159,0.0145038,0.0136875,0,0.0175177,0.0475072,0,0.0148168,0.0667034,0.031743,0,0,0.0209055,0,0,0.042489,0.0569811,0.0307667,0.0300448,0.0236033,0.04568,0.0420659,0.0491063,0.0519771,0.0290487,0.0567976,0.03744,0.0421248,0.0756967,0.0184175,0.0178541,0.00761383,0.0230837,0.0267053,0.0235756,0,0
29,0.0240583,0,0,0,0,0.045536,0,0,0,0,0,0,0.0312623,0,0.0210435,0.0815291,0,0,0.01358,0,0,0.0294612,0.0720649,0.0177547,0.0173656,0.0148873,0.0196803,0.0303474,0.0280495,0.0381229,0.0470633,0.0314544,0.0114073,0.0115741,0.0274271,0.0285258,0.0144701,0.0137483,0,0.0175078,0.0474628,0,0.0148424,0.0666648,0.0317565,0,0,0.0207084,0,0,0.0424994,0.0570163,0.0307845,0.0300354,0.0236184,0.0456503,0.0419685,0.0491005,0.051954,0.0290044,0.0567199,0.0375543,0.0421412,0.0757252,0.0184049,0.0178502,0.00762505,0.0229089,0.0267204,0.0236138,0,0
30,0.0240224,0,0,0,0,0.0455017,0,0,0,0,0,0,0.0312572,0,0.0210514,0.0815305,0,0,0.0135068,0,0,0.0294786,0.0720868,0.0177602,0.0173543,0.0149054,0.0196875,0.0303062,0.0280592,0.0381585,0.0470464,0.0314165,0.0114024,0.011578,0.0274029,0.0284995,0.014475,0.0138001,0,0.0174933,0.0475348,0,0.0148382,0.0666349,0.0317631,0,0,0.0206068,0,0,0.0425087,0.0570235,0.0307543,0.0299996,0.0236173,0.0456131,0.0418861,0.0490916,0.0519471,0.0289754,0.0566147,0.0374479,0.0421673,0.0757242,0.0184276,0.0178388,0.0076858,0.0227676,0.0266386,0.0236619,0,0
31,0.0239974,0,0,0,0,0.0454567,0,0,0,0,0,0,0.0312189,0,0.0210563,0.0815603,0,0,0.0134239,0,0,0.0294892,0.0721117,0.0177297,0.0173505,0.014909,0.0197031,0.0302505,0.0280426,0.0381668,0.0470421,0.0314018,0.0113977,0.0116,0.0273945,0.0284839,0.0144779,0.0139047,0,0.0174585,0.047603,0,0.0148453,0.0666181,0.0317836,0,0,0.0205238,0,0,0.0425903,0.0570122,0.0307464,0.0299759,0.0236217,0.0455705,0.0418209,0.0490844,0.0519365,0.0289701,0.0567193,0.0373721,0.042164,0.0756959,0.0184695,0.0178232,0.00777039,0.0227013,0.0265527,0.0237086,0,0
32,0.0240194,0,0,0,0,0.0453838,0,0,0,0,0,0,0.0311932,0,0.0210441,0.081575,0,0,0.0133476,0,0,0.0294778,0.0720858,0.0177322,0.0173582,0.0149311,0.0197177,0.0301377,0.0280239,0.0382112,0.0470753,0.0313871,0.0114004,0.0116259,0.0273873,0.0284845,0.0144978,0.0140054,0,0.0173898,0.0475093,0,0.014833,0.06661,0.0318975,0,0,0.0203534,0,0,0.0425827,0.0569328,0.0307812,0.0299829,0.0235991,0.0455788,0.0416773,0.0490758,0.0519244,0.028916,0.0567321,0.0373899,0.042134,0.0756826,0.0184277,0.0178226,0.00782497,0.0226416,0.0265269,0.0236924,0,0
33,0.0237629,0,0,0,0,0.0458149,0,0,0,0,0,0,0.0312781,0,0.0210808,0.0816367,0,0,0.0175595,0,0,0.0344352,0.0721386,0.0178472,0.0174935,0.0149132,0.0195826,0.0319499,0.0279881,0.0381751,0.0470277,0.0313475,0.0114057,0.011615,0.0273469,0.0284555,0.014392,0.0136558,0.00961408,0.0126768,0.0473817,0,0.0148444,0.0666566,0.0323022,0,0,0.0197797,0,0,0.0425527,0.0568673,0.0307885,0.0299025,0.0236345,0.0454811,0.0415121,0.0490465,0.0519126,0.0289149,0.0566652,0.0375645,0.0421602,0.0757244,0.018371,0.018397,0.00772674,0.0226471,0.0271027,0.023656,0,0
34,0.0237913,0,0,0,0,0.0457938,0,0,0,0,0,0,0.0312813,0,0.0210946,0.081636,0,0,0.0174477,0,0,0.0344935,0.0721211,0.0180396,0.0174858,0.0148742,0.0196192,0.0318867,0.0280199,0.0381979,0.0470451,0.031326,0.0114078,0.0116136,0.0273679,0.0284886,0.0143867,0.0137245,0.00958245,0.0126427,0.0473421,0,0.0148764,0.0666289,0.0324204,0,0,0.0197275,0,0,0.0425149,0.0567497,0.030808,0.029967,0.0236417,0.0455158,0.0413423,0.0490706,0.0518916,0.0288683,0.056764,0.037623,0.0421346,0.0757124,0.0183189,0.0183692,0.00787721,0.0227657,0.0270637,0.0236057,0,0
35,0.0238065,0,0,0,0,0.0457844,0,0,0,0,0,0,0.0312536,0,0.0210729,0.0816684,0,0,0.0174185,0,0,0.0345294,0.0721174,0.0179563,0.0174766,0.0147611,0.0196414,0.0318774,0.0280218,0.0382232,0.0470774,0.0312733,0.0114495,0.0116316,0.0273736,0.0284884,0.0144518,0.0137879,0.00971891,0.012594,0.0473043,0,0.0148671,0.0666072,0.0325111,0,0,0.0196765,0,0,0.0425386,0.0566656,0.0308017,0.0299421,0.0236204,0.0455225,0.0411492,0.0490617,0.0518831,0.0288272,0.0567325,0.0376193,0.0421332,0.075703,0.0182842,0.0183769,0.00795339,0.02264,0.0270241,0.023568,0,0
36,0.023789,0,0,0,0,0.0457511,0,0,0,0,0,0,0.0311884,0,0.0210524,0.0816984,0,0,0.0173974,0,0,0.0345683,0.0721211,0.0179448,0.0174929,0.0147486,0.0196565,0.0318748,0.0279636,0.0382372,0.0470924,0.0312112,0.0115065,0.0116696,0.0273926,0.0285025,0.0145106,0.0138413,0.00987122,0.0125591,0.0472457,0,0.0148752,0.0665647,0.032582,0,0,0.0195934,0,0,0.0425764,0.0566372,0.0308006,0.0299205,0.0236218,0.0455275,0.0409809,0.0490248,0.0518854,0.0287912,0.0565797,0.0375713,0.0421515,0.0757108,0.0182789,0.0183731,0.00797775,0.0225094,0.0269655,0.023582,0,0
37,0.0237512,0,0,0,0,0.0456814,0,0,0,0,0,0,0.031322,0,0.0209199,0.0817201,0,0,0.0173116,0,0,0.034546,0.0721022,0.0179551,0.0175105,0.0147643,0.0196715,0.0318363,0.0279044,0.0382096,0.0471205,0.0312003,0.0115313,0.0116789,0.0273124,0.0284655,0.0144246,0.0138645,0.00984193,0.0125167,0.0472119,0,0.0148812,0.0665494,0.0326355,0,0,0.019586,0,0,0.0425945,0.056638,0.0308262,0.0299284,0.0236114,0.0455291,0.0408236,0.0490075,0.0518883,0.0287565,0.0566485,0.037586,0.0421414,0.0756896,0.0182762,0.0183673,0.00806707,0.0224391,0.0268866,0.0236325,0,0
38,0.0236828,0,0,0,0,0.0456212,0,0,0,0,0,0,0.0316199,0,0.0207376,0.0817323,0,0,0.0173593,0,0,0.0345657,0.0720836,0.018304,0.0175148,0.0146564,0.0196679,0.0318005,0.0278595,0.0381459,0.0471412,0.0312219,0.0115004,0.0116514,0.0271907,0.0283835,0.0142407,0.0139064,0.0100733,0.0124275,0.0471975,0,0.0149091,0.0665517,0.0326922,0,0,0.0196084,0,0,0.0424827,0.0566791,0.0308618,0.029919,0.0235976,0.0455022,0.0406675,0.0490033,0.0518631,0.0287526,0.0567461,0.0375869,0.042107,0.0756849,0.0182745,0.0183318,0.00821016,0.022344,0.0268356,0.023692,0,0
